-0.0073449-0j -0.00524415-0j -0.000756928-0j -0.00302581-0j -0.00305717-0j -0.000534893-0j -4.45744e-05-0j -0.000540436-0j -4.50363e-05-0j -0.00213823-0j -0.00264592-0j -0.000356371-0j -0.00154345-0j -0.000218232-0j -0.000440987-0j -4.45464e-05-0j -0.000270048-0j -2.62492e-06-0j -0.000257242-0j -5.51234e-05-0j -0.000157528-0j -3.24818e-06-0j -3.21553e-05-0j -1.89477e-06-0j 
-0.0533013-0j 0.00080919-0j -0.0111027-0j 0.000466893-0j 0.000471731-0j -0.00388167-0j -0.000984174-0j -0.0039219-0j -0.000994373-0j 0.000329936-0j 0.000408275-0j -0.00258616-0j 0.00023816-0j 3.36739e-05-0j -0.0032002-0j -0.000653413-0j 4.16694e-05-0j -7.74104e-05-0j -0.00186679-0j -0.000808557-0j 2.43071e-05-0j -9.57905e-05-0j -0.000471658-0j -5.58778e-05-0j 
0.000865605-0j -0.0587874-0j 8.92049e-05-0j 0.000356595-0j 0.000360291-0j -0.00599619-0j 5.25315e-06-0j -0.00605833-0j 5.30758e-06-0j 0.000251993-0j 0.000311825-0j 4.19988e-05-0j 0.000181898-0j -0.00491852-0j 5.19708e-05-0j -0.000499369-0j -0.00608635-0j 3.0935e-07-0j 3.03163e-05-0j -0.000617938-0j -0.00355037-0j 3.82801e-07-0j -0.000360464-0j 2.23301e-07-0j 
0.0118768-0j -8.92049e-05-0j -0.0569446-0j -5.14701e-05-0j -5.20035e-05-0j 0.000864927-0j -0.0102772-0j 0.00087389-0j -0.0103837-0j -3.6372e-05-0j -4.5008e-05-0j 0.000576256-0j -2.62547e-05-0j -3.7122e-06-0j 0.00071308-0j -0.00335128-0j -4.59361e-06-0j -0.00121895-0j 0.000415963-0j -0.004147-0j -2.67961e-06-0j -0.00150837-0j -0.00241908-0j -0.000879882-0j 
0.00077422-0j 0.000552782-0j 7.97873e-05-0j -0.0456963-0j -0.0461698-0j 5.63827e-05-0j 4.69856e-06-0j 5.6967e-05-0j 4.74725e-06-0j 0.000225389-0j 0.000278905-0j -0.00538198-0j 0.000162694-0j 2.30037e-05-0j -0.00665986-0j 4.6956e-06-0j 2.84656e-05-0j 2.76691e-07-0j -0.00388492-0j 5.81051e-06-0j 1.66049e-05-0j 3.42388e-07-0j 3.38947e-06-0j 1.99726e-07-0j 
0.000530072-0j 0.000378464-0j 5.46266e-05-0j 0.000218369-0j 0.000220632-0j 3.86026e-05-0j 3.21688e-06-0j 3.90026e-05-0j 3.25022e-06-0j -0.0592511-0j -0.0733195-0j 2.57189e-05-0j -0.0427697-0j 1.57495e-05-0j 3.18255e-05-0j 3.21486e-06-0j 1.94891e-05-0j 1.89437e-07-0j 1.85649e-05-0j 3.97819e-06-0j 1.13686e-05-0j 2.34417e-07-0j 2.32061e-06-0j 1.36743e-07-0j 
0.00643674-0j 0.0092951-0j 0.00134078-0j -5.63827e-05-0j -5.6967e-05-0j -0.0445884-0j 0.00011885-0j -0.0450505-0j 0.000120082-0j -3.98435e-05-0j -4.93038e-05-0j 0.000312308-0j -2.87606e-05-0j 0.000777686-0j 0.000386461-0j -0.0075057-0j 0.000962337-0j 9.3482e-06-0j 0.000225436-0j -0.00928782-0j 0.000561363-0j 1.15678e-05-0j -0.0054179-0j 6.74789e-06-0j 
-0.001632-0j 8.14325e-06-0j 0.0159313-0j 4.69856e-06-0j 4.74725e-06-0j -0.00011885-0j -0.0431709-0j -0.000120082-0j -0.0436183-0j 3.32029e-06-0j 4.10865e-06-0j -7.91838e-05-0j 2.39671e-06-0j 3.38876e-07-0j -9.79849e-05-0j 0.000937582-0j 4.19338e-07-0j -0.0105029-0j -5.71579e-05-0j 0.0011602-0j 2.44614e-07-0j -0.0129967-0j 0.000676782-0j -0.00758141-0j 
0.00587591-0j -8.92049e-05-0j 0.00122396-0j 0.00737421-0j 0.00745063-0j 0.000427914-0j 0.000108495-0j 0.000432349-0j 0.000109619-0j 0.00696462-0j 0.00861828-0j -0.0408463-0j 0.00502733-0j -3.7122e-06-0j -0.0505447-0j 7.2032e-05-0j -4.59361e-06-0j 8.5337e-06-0j -0.0294844-0j 8.9135e-05-0j -2.67961e-06-0j 1.05599e-05-0j 5.19954e-05-0j 6.15995e-06-0j 
-7.65094e-05-0j 0.0104469-0j -7.88467e-06-0j -3.15189e-05-0j -3.18455e-05-0j 0.00106556-0j -4.64317e-07-0j 0.0010766-0j -4.69129e-07-0j 0.00426494-0j 0.0052776-0j -3.7122e-06-0j 0.0030786-0j -0.0411342-0j -4.59361e-06-0j 8.87408e-05-0j -0.050901-0j -2.73429e-08-0j -2.67961e-06-0j 0.000109811-0j -0.0296923-0j -3.38352e-08-0j 6.40565e-05-0j -1.97372e-08-0j 
-7.21337e-05-0j 0.00489895-0j -7.43374e-06-0j 0.00854472-0j 0.00863327-0j 0.000499683-0j -4.37762e-07-0j 0.000504861-0j -4.42299e-07-0j -2.09994e-05-0j -2.59854e-05-0j 0.00100637-0j -1.51582e-05-0j 0.000409876-0j 0.00124532-0j 4.16141e-05-0j 0.000507196-0j -2.57792e-08-0j 0.000726438-0j 5.14948e-05-0j 0.000295864-0j -3.19001e-08-0j 3.00386e-05-0j -1.86084e-08-0j 
