-0.0460152-0j -0.0519797-0j -0.0424413-0j -0.0428811-0j -0.0371361-0j -0.0306357-0j -0.00978827-0j -0.00605923-0j -0.00670634-0j -0.00530183-0j -0.00353455-0j -0.00535677-0j -0.00618547-0j -0.00218689-0j -0.00360819-0j -0.00382706-0j -0.00223245-0j -0.00058239-0j 
0.00664173-0j 0.00750263-0j 0.00612587-0j 0.00618935-0j 0.00536014-0j 0.00442189-0j 0.00141281-0j -0.0831374-0j -0.0920162-0j -0.0727452-0j -0.0484968-0j -0.0734991-0j -0.0848694-0j -0.0300059-0j -0.0495072-0j -0.0525103-0j -0.030631-0j -0.00799085-0j 
0.0379368-0j 0.00084819-0j 0.0349903-0j -0.0339534-0j 0.000605976-0j -0.0490149-0j -0.0314807-0j 0.00499547-0j 0.000109432-0j 0.00437104-0j 0.00291403-0j -0.00424151-0j 0.000100933-0j 0.00180296-0j -0.00577284-0j -0.00303028-0j -0.00537585-0j -0.00234371-0j 
-0.00670634-0j -0.00014994-0j -0.00618547-0j 0.00600218-0j -0.000107122-0j 0.0086647-0j 0.00556506-0j 0.0415315-0j 0.000909801-0j 0.0363401-0j 0.0242267-0j -0.0352633-0j 0.000839137-0j 0.0149895-0j -0.0479944-0j -0.0251933-0j -0.044694-0j -0.0194852-0j 
0.000558862-0j 1.2495e-05-0j 0.000515456-0j -0.000500181-0j 8.92687e-06-0j -0.000722058-0j -0.000463755-0j -0.0105301-0j -0.000230674-0j -0.00921381-0j -0.00614254-0j 0.00894078-0j -0.000212758-0j -0.0038005-0j 0.0121687-0j 0.0063876-0j 0.0113319-0j 0.00494036-0j 
0.0232169-0j 0.0262262-0j -0.0205924-0j 0.0216355-0j -0.0547735-0j -0.0148643-0j 0.00493864-0j 0.00305717-0j 0.00338366-0j -0.00257243-0j 0.00178335-0j 0.00270274-0j -0.00300117-0j -0.00539-0j 0.0018205-0j -0.00564469-0j -0.00108318-0j 0.000293843-0j 
-0.0234575-0j 0.0254491-0j -0.0216355-0j 0.0218426-0j 0.0181817-0j -0.0137994-0j -0.0519643-0j -0.00308885-0j 0.0032834-0j -0.00270274-0j -0.00180183-0j 0.00272861-0j 0.00302838-0j -0.00111482-0j -0.00162526-0j 0.00194941-0j -0.0053352-0j -0.00536231-0j 
-0.00386948-0j -0.00437104-0j 0.00343206-0j -0.00360592-0j 0.00912892-0j 0.00247739-0j -0.000823107-0j 0.0239632-0j 0.0265224-0j -0.0201636-0j 0.0139785-0j 0.0211851-0j -0.0235242-0j -0.0422487-0j 0.0142697-0j -0.0442451-0j -0.00849034-0j 0.00230325-0j 
-0.00236956-0j -0.0026767-0j 0.0021017-0j -0.00220817-0j 0.0055903-0j 0.00151709-0j -0.000504048-0j -0.000312021-0j -0.000345344-0j 0.000262547-0j -0.000182012-0j -0.000275848-0j 0.000306305-0j 0.000550114-0j -0.000185804-0j 0.000576108-0j 0.000110551-0j -2.99903e-05-0j 
0.00390958-0j -0.00424151-0j 0.00360592-0j -0.00364044-0j -0.00303028-0j 0.0022999-0j 0.00866072-0j -0.0242115-0j 0.0257365-0j -0.0211851-0j -0.0141234-0j 0.0213878-0j 0.0237375-0j -0.0087384-0j -0.0127393-0j 0.0152802-0j -0.0418193-0j -0.0420317-0j 
0.00239412-0j -0.00259739-0j 0.00220817-0j -0.0022293-0j -0.00185566-0j 0.0014084-0j 0.00530358-0j 0.000315254-0j -0.000335111-0j 0.000275848-0j 0.000183898-0j -0.000278488-0j -0.000309083-0j 0.000113781-0j 0.000165877-0j -0.000198961-0j 0.000544522-0j 0.000547289-0j 
0.000483685-0j 0.00054638-0j -0.000429007-0j 0.00045074-0j -0.00114112-0j -0.000309674-0j 0.000102888-0j -0.00605449-0j -0.00670109-0j 0.0050945-0j -0.00353178-0j -0.00535258-0j 0.00594358-0j 0.0106745-0j -0.00360536-0j 0.0111789-0j 0.00214515-0j -0.000581934-0j 
-0.000488697-0j 0.000530189-0j -0.00045074-0j 0.000455055-0j 0.000378786-0j -0.000287488-0j -0.00108259-0j 0.00611723-0j -0.00650252-0j 0.00535258-0j 0.00356838-0j -0.00540381-0j -0.00599748-0j 0.00220783-0j 0.0032187-0j -0.00386067-0j 0.010566-0j 0.0106197-0j 
