-0.00496255+0.00255035j -0.00495177-0.00120098j 0.00150449+0.00032691j 0.00709132-0.000954002j 0.000377256+8.99917e-05j -0.00061097-0.000677769j 0.00104328-0.000300507j 0.00599105-0.000232778j 0.00324656-0.000228404j 0.00389799-0.00048132j 0.00112317-0.000362385j -0.0029406-0.000532931j 0.00364734-1.80313e-05j 0.0018482+4.49627e-05j 0.00226725+0.000494113j -0.00038595-0.00149089j 0.00290585+0.000543354j 0.00186705+0.000523309j -0.00338084+8.15766e-05j 0.00246606-0.00088476j -0.00207163-0.000943737j 1.60216e-05-6.68702e-05j -0.00518265-0.000819358j 0.00366644-0.00189698j 0.000327294+0.00178941j 0.000899423-0.00195013j -0.000409655-4.21642e-05j -0.000293819-0.00531612j -0.00727712+0.00105141j 0.00215498+0.00303307j 0.0195296-0.0051666j -0.00845512+0.00462522j -0.0169681-0.00121096j 0.0168206-0.00901466j 0.00170351-0.00255864j 0.00065606-9.1584e-05j -0.000530828+0.00599684j -0.0131378+0.00102169j 0.000414554-0.00028935j -0.000723285+0.00275948j -0.00635718+0.00275078j 0.00227634-0.0032674j -0.00412661+0.00172063j 0.00230396+0.00137001j 0.000471205-0.00401121j 0.00307093-0.00248594j -0.00302435-0.000651798j -0.00155555-0.00302774j -0.000198773-0.000953656j -0.0034681+0.00281048j -0.00155546-0.00149506j -0.00148688-0.00284756j -0.00118265+0.0026615j 0.00165824-0.00235229j -7.71905e-05+9.54716e-05j 0.00152898+0.00137857j -0.00072641-0.000792615j -0.00186796+0.00176703j -0.00182656-0.00244733j 0.000881316-0.00264056j 0.00151884-0.00161527j 0.00310715-0.00321687j 0.000946901+0.000116548j -0.00131926-0.00292574j 0.00052495+0.00340088j -0.00331011-0.000907192j -0.003037+0.00629742j -0.000184888+0.000979992j 0.00251642-0.00164424j 0.00302264-0.00934554j 0.0049214+0.0914558j 0.0612122+0.0214445j 
-0.00490913-0.00122519j 0.00504444-0.00253653j -0.00605707+0.000797648j 0.000612728+0.000416462j -0.00208378+0.00025371j 0.00352887+3.17064e-06j -0.00285402-0.000214126j 0.0038808+9.40086e-05j -0.000320593+0.000217771j -0.00198256-0.000246571j 0.0027236+0.000645047j 0.00142785-0.000370463j -0.00285077-0.000353029j -0.000376822+0.000158559j -0.000723941+0.000590325j 0.00509995-8.18506e-05j 0.00151527-0.000934941j -0.00213473+0.00147496j -0.00314624+0.000305289j 0.00185381+0.000804857j -0.00194135+0.000352948j 0.00259877-0.000253457j -0.000812848-0.00185066j 0.00451972+0.00198265j -0.00222868+0.000822136j 0.00390457-0.00211757j -0.00143868-0.00331471j 0.00140975+5.37175e-05j -0.00239163+0.00595569j 0.0145271-0.00237146j -0.0121342+0.00435468j -0.0146412+0.00323996j -0.0165847+0.00871494j -0.015383-0.00228274j -0.00506961+0.0012749j -0.00237805+0.000947543j 0.0125509-0.00184506j -0.00342958+0.00851128j 0.000660572-0.000673655j 0.00234203+0.000324878j 0.000122455+0.00310104j -0.00532302-0.00072313j 0.00122143+0.00200977j 0.00247919-0.00260943j -0.00363023+0.00122633j -0.00105794-0.00275633j -0.00120099+0.00249805j -0.00474536+0.00319405j -0.000818912+0.000443632j 0.0019563+0.00117261j -0.00163608+0.0040084j -0.00360927+0.00324988j 0.00275552+0.000893795j -1.92422e-05-0.000993052j -0.00067337-0.000750924j 0.00202458-0.0033897j 0.000348032+0.000762125j 0.000674538+0.00208086j -0.00177366+0.0015245j -0.0017068-0.000500816j -0.0023872+0.000377244j 0.000440893-0.00411809j -0.000399322+0.00133336j -0.00108194+0.0032819j 0.00278311+0.0009091j -0.00271836+0.00559637j 0.00282339+0.000399709j 0.0021186-0.00230801j 0.00254751-0.00906534j -0.0022946+0.00201311j -0.0611952-0.0211354j 0.00492602+0.0916137j 
0.00520344+0.00436144j -0.00322467+0.00141322j 0.0026516+0.00210345j 0.00351948-0.00552686j 0.000627478-0.000480101j 0.00181454-0.00120196j 0.00614319-0.000180389j -0.000202211-0.00458172j 6.16861e-05-0.00205917j 0.00361787-0.00132559j -0.00636193-0.000699621j -0.00103829+0.00146261j -0.000386552-0.000186812j -0.00374429+0.000434477j -0.00267084-0.00079099j 0.000193187-0.00140382j 0.00651319-0.00199603j -0.00905456-0.000244112j -0.00442551+0.0027584j -0.00593243-0.00121582j -0.00739689+0.00230922j 0.00250671-0.00141113j 0.000751776+0.00299831j -0.00822032-0.00216244j 0.00206203-0.000553933j 0.0100926-0.00158978j -0.00249363+0.00573735j 0.00775172-0.00373474j -0.00683595+0.00314347j -0.0219088+0.00156434j -0.0240453+0.00339116j -0.00707938+0.0183761j 0.00111451+0.00913674j -0.00845318-0.00256016j -0.00838047-0.00286279j -0.0102521+0.0027257j 0.00178501+0.000231411j -0.00356478+3.5311e-05j -0.000589899-0.000520764j -0.00168264+0.00131278j 0.00456456-0.000686158j 0.00255554-0.000870464j 0.0024422-0.000909217j 0.00114896+0.00215228j -0.00580943+0.000577551j 0.000860111+0.00307075j -0.00042302-0.00230125j -0.00271021-0.00278327j -2.76398e-05-0.00057778j 0.00511428-0.00390831j -0.00456794+0.000435644j -0.00453952-0.000736229j -0.000771337+0.00264685j -0.000452638+0.00321711j 0.00174357-0.00427434j -0.000319822-0.0040005j -0.00284-0.00288762j -0.000207196+0.00384687j 0.000234707-0.00498227j -0.000939082-0.00205599j 0.000399879+0.00124352j -0.00206547+0.00263302j -0.000385404+0.00505097j -0.00313052-0.00085534j -0.00183688+0.0128798j 0.000626385-0.0138176j 0.00279832-0.0052897j 0.0100639-0.00529167j 0.00112997+0.0795824j -0.0474566-0.0338388j 0.00711564-0.0486956j 0.0532553+0.0183051j 
0.00303995-0.00129873j 0.00525374+0.0043576j 0.00172453-0.0043777j -0.00214007-0.00263876j 0.000960981-0.00159403j 0.00430321+0.00347648j 6.9864e-05-0.00116667j -0.00205352+0.00150382j -0.00326843-0.000128202j 0.00044883-0.000687796j 0.00374941+0.00139293j 0.00461005+0.00137381j 0.000694211-0.00157395j 0.00244477-0.000486528j -0.00365351-0.00106943j 0.00203556+0.00321992j -0.00406444+0.000456471j -0.00294225-0.00159704j 0.00388968-0.00117421j 0.000368632+0.00123672j 0.00500563+0.000216394j -0.00263595+0.000873639j 0.00602903+0.000518465j 0.00226436+0.00214706j -0.00511677-0.00157322j 0.00892815-0.000856081j 0.00660527-0.00071096j -0.000742508+0.00576647j 0.0311383-0.00946j -0.00177631+0.00483985j 0.0057165-0.0203861j -0.0271753+0.00614712j -0.00953514-0.00101594j 0.0014165-0.00609625j 0.00278899-0.00312659j -0.00668997-0.00435403j 0.00562411+0.00014605j -0.0037087-0.0041348j 0.00449442-0.00382133j -0.00383721-0.00082286j -0.00597572+0.00111069j -0.00387176+0.00547581j -0.00111587-0.000625986j 0.00101794-0.000504788j 0.00359226-0.00604934j 0.00180705+0.00184107j 0.00237344-0.00242233j -0.000886022-0.000770305j 0.00126359+0.000117308j -0.000433705-0.00103464j -0.000177112-0.00158579j 0.000787716-0.00110057j 0.000570301-0.00313437j 0.00270793-0.00120647j -0.000506307+0.00100831j -0.000754024-0.00157367j 0.00052805-0.00392903j -0.000667926-3.04962e-05j 0.00139296-0.00169197j -0.000805955+0.00155416j -0.0042941+0.00849224j 0.00390436-0.00152464j -0.00177655+0.00674236j 0.00314457-0.00561886j 0.0021828-0.00310837j -0.000757679-0.00434484j -0.00314886-0.0072754j 0.000400923-0.0239901j 0.0463289+0.0258008j 0.000441433+0.0817588j 0.0526504+0.0155484j -0.00692002+0.0469721j 
-0.0016092+0.000451949j 0.002083-0.00142036j -0.000622147+0.000224153j 0.00435008-0.00176957j 0.00109288+0.000866619j 0.0103145-0.0015261j -0.000524961-0.00115107j 0.00831056-0.000995944j 0.0035562-6.76219e-05j 0.00419225-0.00125778j 0.00604645+0.0014897j -0.00240099+3.49264e-06j 0.00226666-0.00105654j 0.00242056+0.000220016j -0.000532271+0.000676276j 0.000494769-0.00015965j -0.00623744+0.000893955j 0.00350764+0.00175904j 0.00334043-0.000653832j 0.00241148+0.00128804j 0.00640076-0.00176916j -0.0117534+0.00241228j -0.0123485-0.00106015j 0.00571698+0.0039363j 0.0106305-0.00276525j 9.55257e-05-0.00417551j 0.00128245-4.36357e-06j -0.0235709+0.00548098j -0.000105785+0.0104009j 0.00552608-0.000329072j 0.000615587+0.0107326j 0.0396701-0.0141295j 0.0156898-0.0108923j 0.00735923+0.0024711j 0.00457358-0.000610832j -0.00239345-0.00120575j -0.00521201-0.00079106j 0.00696523-0.00389111j -0.00375148-0.00618405j 0.00262655+0.00106272j 0.00529777+0.00201946j 0.00355622+0.00412825j 0.000249149+0.000268737j -0.00276739+0.000877465j -0.00496131-0.00679889j -0.00494613+0.00210846j 0.0026427-0.00402089j 0.00189694-0.0027469j 0.00133673-0.00127089j 0.00117157-0.00278023j 0.00193219-0.00216816j 0.00243115-0.000806556j -0.000163778-0.00286413j -0.0028399-0.00089483j 0.00215825+4.69154e-05j -0.00173684+0.00221417j -0.00283011+0.000123714j 0.000510398+0.00406546j -0.00146261+0.00347621j -0.000838351+0.00526101j 0.00439281+0.00665959j -0.00652127-0.00751747j 0.00232469-0.00878043j -0.00182421-0.0115301j 0.0012117-0.0226283j 0.0131909+0.0168149j -0.0126012+0.019485j -0.0323183-0.0563282j -0.00843141+0.000349536j -0.039722-0.0163576j -0.00877379-0.0609626j -0.00179006+0.0579893j 
-0.00257711+0.00131158j -0.00105506+2.20917e-05j 0.0020524-0.001526j 0.00222428-1.27124e-05j 0.0082526-0.000864162j -0.0129619+0.000683348j -0.00555579+0.000156482j -0.00495302+0.00215345j 0.000123125+0.00151272j -0.00542261+0.00023384j 0.00147966-0.000885366j -0.0048037-0.00146041j -0.00162632+0.000209461j -0.00190652-0.000678407j 0.00182054+0.00105242j -0.0150329-0.000400554j -1.45845e-05+0.00281785j 0.00921652+0.000553499j 0.00749996-0.00230542j -0.00524017+0.000622509j -0.00244249-0.00193536j 0.00155262+0.000251205j 0.0030709-0.00194906j 0.00137782-0.00461515j -0.00387967+0.00321119j -0.00702728-0.00526718j 0.0322781-0.0108156j -0.0129563-0.0015303j -0.00751013-0.0020399j -0.0102352+0.00703257j -0.0308518+0.00943084j 0.000445184+0.0117411j 0.0120449-0.00182751j -0.0128928+0.00715079j 0.00291919-0.000139972j 0.00412744-0.0070044j 0.00395793-0.000889498j 0.00879625-0.00608318j 0.00420197+0.000517968j 0.00323161-0.00145411j 0.00332365+0.000365661j -0.00491304+0.00335641j 0.0010393+0.000432378j -0.000296369-7.72881e-05j -0.00252057+0.00176453j -0.00268167+0.000668542j 0.00212856+0.000549186j 0.000569795+0.000278013j -0.00188549+0.00303752j 0.00299516+0.00258753j -0.00369128+0.00386204j 0.000242974-0.00190258j 0.00147049-0.00226858j -0.00500785+0.00619511j 0.00254734-0.00256304j 0.00475774-0.00894228j -6.27535e-05-0.00209029j 0.00194305+0.00115185j -0.00149209+0.00668071j -0.000236522-0.00172248j -0.00126447-0.00410598j -0.00406554+0.00467178j -0.00552604+0.00407115j -0.00237796-0.000476386j -0.00831834-0.0124802j 0.0108941-0.00779824j 0.0257398+0.0492576j -0.01432+0.0235314j 0.0209993-0.0178248j -0.00791375+0.0241012j -0.00375881+0.0554422j 0.00517445+0.0634972j 
-0.00486251-0.00341105j 0.00146679-0.00597643j -0.00552296+0.00248354j 0.00271854+0.00206743j 0.00280322-0.00149064j -0.000891417-0.000686361j -0.00360089+0.000563753j 0.000300925+0.00379615j 0.0060437+0.00288027j -0.00475058+0.00185928j -0.00397421+0.000681911j -0.00432148-0.00311962j -0.00805554+0.000541921j -0.00753551+6.28771e-05j 0.00497427+0.00188122j 0.00291034-0.00060121j -0.00305315+0.0016925j 0.00701392+0.00205867j -0.00178975-0.00231957j -0.00519517+0.00246328j -0.0033835-0.00249944j 0.0058555+0.000104486j -0.00616861-0.00801281j -0.00425516+0.00709168j 0.00612819+0.00276029j 0.0114874-0.00897295j -0.0168434-0.00128954j -0.0237936+0.0101129j -0.00162965-0.0118362j -0.0227693+0.00667992j 0.0239193-0.00315915j -0.00480366+0.0059142j -0.00373391+0.0067333j 0.0100337-0.00881844j 0.000273008-0.00687463j -0.00131607-0.00690997j -0.00580418+0.00499534j -0.000572846-0.00232377j -0.00213286+0.00645305j 0.000171732-0.00618992j -0.00310538-0.00478165j 0.00417345-0.00925893j -0.00247566+0.000955763j -0.00262854+0.00622568j 0.00546263+0.0096586j -0.00331906+0.0110887j 0.000163639+0.00407368j 0.00425895-0.00167227j 0.00201154-0.00108116j -0.00379008-0.00232394j 0.0079351-0.00109702j 0.00401285+0.00367426j -0.00130914+0.00665895j 0.00124599+0.014731j -0.000711584-0.00856167j -0.00340792-0.0140143j 0.000828622-0.00292162j -0.00285226+0.0117456j 0.000122453+0.00564816j -0.000689329-0.0036141j 0.00158678-0.0134408j 0.000768971+0.00629748j 0.00443219-0.00627794j -0.000756965+0.021873j -0.00901099+0.0171884j 0.0149273+0.0536995j -0.0273635-0.0104288j 0.00458865+0.00935804j 0.0231767+0.0636981j 0.048364+0.0147167j 0.00516114-0.0364283j -0.0246834+0.0142587j 
-0.000388836+0.00702105j -0.00594012-0.00372051j 0.000865973+0.00251457j 0.00476042-0.00149234j -0.00265216-0.000512171j 0.000447832+0.00117619j 0.00380249+0.00501874j 0.00405326-0.00137252j -0.00320643-0.00204239j 0.00293627+0.00192038j -0.0034-0.00256282j -0.00464711-0.000476955j 0.00407636+0.00176464j 0.00383639+0.000562943j 1.94139e-05-0.000867811j -0.00634163-0.00399119j 0.00149411+0.00208204j -0.00462758-0.00269218j 9.5464e-05+0.000607861j -0.00884346-0.00196316j -0.00753725-0.00131102j -0.0027027-0.00196567j -0.00910241+0.00243541j -0.00559141-0.00909038j 0.00836799+0.00384847j 0.0276346-0.00904107j 0.016906-0.00579318j 0.00174321-0.00340946j 0.00960304-4.49624e-05j -0.00997413-0.0129336j -0.00465783-0.00126234j 0.0102686-0.00352299j 0.00444806-0.00247618j 0.00182938-0.00515337j -0.000352831+0.000982316j -0.00411261+0.00453923j -0.00158273+0.0022261j 0.004935+0.00509428j 0.00561525-0.00468543j 0.000859513+0.00535131j 0.00286466-0.00184781j -0.000432392-0.00457077j -0.000722778-0.00135813j 0.00140098-0.00144564j 0.00138532-0.000523676j -0.00229218-0.00388146j 0.0027047-0.00267249j 0.00318185-0.0005855j 8.97176e-05-0.00106183j 0.00167156-0.00993025j -0.00118397+0.00988066j 0.00145461+0.00685553j -0.00124102+0.00439087j -0.00178658-0.000179742j 0.00325665-0.00720704j 0.000413552+0.00283806j -0.00275151+0.0108197j 0.000884725+0.00711392j 0.00164375-0.00210251j -0.000860132+0.00323456j -0.00156689-0.00308893j -0.00104864+0.00490873j -0.000951662-0.00456031j 0.00307477+0.0155503j 0.00589734+0.04937j 0.0294878-0.00911407j 0.0117422+0.0340874j 0.00454665-0.0360016j -0.0418191+0.0297885j 0.0383411+0.0632944j -0.0242353+0.0163854j -0.00372188+0.0264849j 
-0.00123926-0.00306269j 0.000795639-0.00231218j -0.00599125+6.50581e-05j -0.00901158+0.00530711j -0.00548635-7.30256e-05j -0.00861069-0.00265565j -0.00258169+0.00136208j -0.00152574+0.00320938j -0.00482161+0.00369713j -0.00383968+0.00153329j -0.00583395-0.00431977j 0.00175824-0.00331831j 0.00410399-0.000448805j 0.00049132-0.00197468j 0.00529678+0.00165486j -0.00449654+0.0014016j -0.00494342+0.0039351j -0.000312197-0.000909606j 0.00304782-0.00479124j -0.00715853-0.000428241j -0.0107825-0.00227426j 0.0242004-0.00201823j 0.00818962-0.00569825j -0.0054293-0.00492722j -0.0171108+0.00693252j -0.00132347+0.00358511j 0.0156686-0.00825166j -0.00839866+0.00782844j 0.000250522-0.0157097j -0.0150727+0.00308294j -0.0233449+0.00876806j -0.00498926+0.000385069j 0.00674407+0.00540476j -0.0272784+0.00721276j -0.00528585-0.00353963j 0.0054504-0.00697975j 0.00455429-0.000978428j 0.00722814-0.000832194j 0.00233611+0.00561493j 0.00168011-0.00183465j 0.00268547+0.000738262j -0.00300444-0.00190219j 0.00252458-0.00157909j -0.00245147+0.00182518j -0.00136348+0.00143321j -0.00431882-0.00231971j -0.00182605+0.00953739j 0.00274408+1.88342e-05j -0.0031187+0.0050027j 0.0034819-0.000762074j 0.000330666-0.00339075j -0.000960628+0.0050338j 0.00160387+0.000222758j -0.00582716+0.00908482j -0.000331949+0.00151031j 0.00195871-0.00720263j 0.00100566-0.00635105j 0.000712769+0.000531276j -0.00340268+0.0115462j -0.000973759-0.00383189j 0.000160899-0.012563j -0.000213672+0.00346629j 0.0067271+0.0160385j 0.00237169+0.0291765j -0.0208935+0.0305588j 0.00521385+0.0246533j 0.00837476-0.00745282j -0.0212607+0.0565909j 0.0185563+0.0219676j 0.00195869-0.0514197j -0.00128436+0.00360865j -0.0069568+0.00248724j 
0.000678994+0.00103712j -0.00220073-0.000734731j -0.000761898-0.000501386j -0.00250134+0.000826673j 0.00162721-0.00115311j -0.00697092+0.00263495j -0.000944746+0.000362418j -0.00396761+0.00332599j -0.00306991+0.000952551j -0.00749916+0.00290828j -0.00463981+0.000879701j -0.00587216-9.49782e-05j -0.00408868+0.00372588j -0.00438754+0.00249774j -0.00118352+0.000890229j -0.0104354+0.000741248j 0.00455919-0.00024825j 0.000640559-0.000143238j 0.00330067-0.00108818j -0.00825637+0.0023329j -0.00835733-0.000588265j 0.00209385-0.000577232j 0.00211808-0.00375883j 0.00133346-0.00401937j 0.0033976+0.00156935j 0.00247343-0.00610418j 0.00594016+0.00119504j 0.00316064-0.00516759j 0.00285534-0.0094321j 0.00933588-0.0137919j 0.00965791-0.0133395j 0.0420416-0.0207112j 0.0256499-0.00964813j -0.000513888-0.00230782j 0.000932257-4.19425e-05j 0.00355612-0.00183596j -0.00480604+0.00272911j 0.00950054-0.00599924j 0.000795682-0.00517033j 0.00229983+0.000439471j 0.00228305-0.00443976j 0.00186196+0.00196388j -0.000142565-0.00110699j -0.00279973-0.00146964j 0.00546017+0.00275077j 0.000896171-0.0018046j 0.00258812-0.00222684j 0.00409636-0.000780952j 0.000582532+0.00390176j -0.00142761-0.00589278j 0.0072166+0.0118334j 0.00336463+0.00126804j 0.00262789+0.000784983j 0.00573508+0.0026558j -0.00431612-0.0067073j -0.00992267-0.00751541j -0.00273964+0.00271726j 0.00244539-0.00408624j -0.00297234-0.00171931j -0.00275745-0.0012396j -0.00132834-0.00580797j 0.0106266+0.0266169j 0.00315082+0.00739134j 0.00817472+0.0205102j 0.000110267-0.0103801j 0.00232963-0.00869214j -0.0199514-0.0101874j -0.0398423-0.0453203j -0.0239202-0.0543071j 0.00190867-0.0299983j -0.00223491+0.00133264j -0.0111025-0.0094805j 
0.00133034-0.00248943j 0.00443419+0.0011742j -0.000187066+0.00209973j 0.00635147-9.19324e-05j 0.00572261+0.000806919j -0.00546773-0.00111527j -0.000521004-0.00129979j -0.00483506-0.00197737j 0.00343012+0.000277529j 0.00305907-0.00178221j -0.00499707+0.0020832j 0.00235157+0.000681125j -0.00234082-0.00227916j -0.0101604+0.000290763j -0.0038209+0.00078509j 0.00416865+0.00047243j 0.00322341-0.00299227j -0.0164118+0.00619264j -0.0049148+0.0022872j -0.00583455+0.00281066j -0.0173655+0.00949626j 0.0213595-0.00742983j 0.00745919+0.00145337j -0.0115068+0.00382662j -0.0165043+0.00112981j 0.0196793-0.00273965j 0.0128804-0.00506863j 0.0221622-0.00537727j 0.0323814-0.00792788j 0.0266005-0.0242191j -0.0115358+0.00240646j -0.00656016-0.0247609j -0.00944126-0.00401666j -0.012804-0.00419256j -0.00493143-0.00756211j -0.00466357-0.00622388j 0.0105735+0.0046727j -0.00600544-0.00133542j 0.00479755+0.0133687j -0.00477242-0.00269784j -0.00278103+0.000231887j -0.00599503-0.00542411j 0.000939757-0.000100375j 0.00335044+0.00642123j -0.00212843+0.0105078j 0.00296716+0.00627328j -0.000759507+0.00442388j -0.00231582-0.00326909j -0.00104713+0.00236563j 0.00241205+0.00327884j -0.00427857-0.0119834j -0.00295026-0.00351631j 0.00192983-0.00167044j 0.00138291+0.0154367j -0.00219489-0.00112356j -0.00153341-0.00617597j -0.00156271-0.00613585j 0.00173918+0.00159996j -0.000760639+0.01047j 0.000455903-0.000188901j 0.00210159+0.00214131j 0.00197907-0.0135905j 0.01411+0.0271862j 0.0152427+0.0115177j 0.0237528+0.0563578j -0.0105106-0.0317716j 0.00715523-0.0218455j -0.019416-0.0320641j -0.031953-0.0235273j -0.0281477+0.00638543j -0.00507411-0.010066j 0.00206192-0.0123329j 
