-0.0717802-0j -0.00728015-0j -0.0073556-0j -0.00417687-0j -0.00060288-0j -0.00516862-0j -0.000746025-0j -0.00301503-0j -0.000435181-0j -0.002935-0j -0.000518839-0j -0.00342416-0j -4.32366e-05-0j -0.00209686-0j -0.000605312-0j -0.00299614-0j -0.000370676-0j -5.04427e-05-0j -0.00123585-0j -3.08897e-05-0j -0.000529648-0j -4.41373e-05-0j -0.000218469-0j -1.82057e-05-0j 0.442547-0j -0.000376533-0j 0.49991-0j -0.000230578-0j -4.70666e-05-0j 0.408175-0j -2.77343e-06-0j 0.412404-0j -0.000425339-0j -0.000260466-0j 0.357153-0j -0.000347288-0j -5.31674e-05-0j 0.294636-0j -0.00021267-0j -0.000350887-0j -3.13292e-06-0j 0.0941376-0j -4.3411e-05-0j -0.000303877-0j -0.000214874-0j -0.000186086-0j -4.38609e-05-0j -2.55802e-06-0j -0.000250686-0j -3.79846e-05-0j -0.000153513-0j -8.00953e-05-0j -2.58453e-06-0j -4.90482e-05-0j -3.13357e-05-0j -2.23827e-06-0j -1.84648e-06-0j -1.00119e-05-0j -5.89958e-07-0j 
0.0119634-0j -0.057395-0j -0.0579897-0j 0.000696145-0j -0.00960639-0j 0.000861436-0j -0.0118873-0j 0.000502504-0j -0.00693426-0j -0.0712911-0j -0.0040904-0j -0.0831729-0j -0.00103701-0j -0.0509328-0j -0.00477213-0j -0.0727763-0j -0.00292232-0j -0.00120985-0j -0.0300187-0j -0.000740877-0j -0.00417562-0j -0.00105862-0j -0.00172235-0j -0.000436657-0j 0.000376533-0j 0.432629-0j 0.000425339-0j 3.84297e-05-0j -0.000749968-0j 0.000347288-0j -8.88468e-05-0j 0.000350887-0j 0.488706-0j 4.3411e-05-0j 0.000303877-0j 0.399027-0j -0.000847179-0j 0.000250686-0j 3.54449e-05-0j 0.403162-0j -0.000100363-0j 8.00953e-05-0j -0.000691719-0j 0.349148-0j 3.58123e-05-0j 3.10143e-05-0j -0.000698887-0j -8.19462e-05-0j 0.288033-0j -0.000605254-0j 2.55855e-05-0j 0.0920279-0j -8.27954e-05-0j 8.17469e-06-0j -0.000499309-0j -7.17029e-05-0j -5.91519e-05-0j -0.000159532-0j -1.88993e-05-0j 
0.00732604-0j 0.000743028-0j 0.000750728-0j -0.0824584-0j 6.15311e-05-0j -0.102037-0j 7.61409e-05-0j -0.0595216-0j 4.44155e-05-0j 0.000299552-0j -0.0102427-0j 0.000349477-0j 4.41281e-06-0j 0.00021401-0j -0.0119499-0j 0.000305792-0j -0.00731777-0j 5.14828e-06-0j 0.000126133-0j 3.15267e-06-0j -0.0104561-0j 4.50475e-06-0j -0.00431293-0j 1.85811e-06-0j 0.000230578-0j 3.84297e-05-0j 0.000260466-0j 0.435678-0j -0.000929173-0j 0.00021267-0j 2.83062e-07-0j 0.000214874-0j 4.3411e-05-0j 0.492151-0j 0.000186086-0j 3.54449e-05-0j -0.00104961-0j 0.000153513-0j 0.40184-0j 3.58123e-05-0j 3.19752e-07-0j 4.90482e-05-0j -0.000857005-0j 3.10143e-05-0j 0.406004-0j 0.35161-0j -0.000865886-0j 2.61077e-07-0j 2.55855e-05-0j -0.00074988-0j 0.290063-0j 8.17469e-06-0j 2.63782e-07-0j 0.0926766-0j -0.000618619-0j 2.28442e-07-0j 1.88455e-07-0j -0.000197652-0j 6.02123e-08-0j 
-0.00149542-0j 0.0145004-0j 0.0146507-0j 0.00837236-0j -0.0561942-0j 0.0103603-0j -0.0695367-0j 0.00604349-0j -0.0405631-0j -6.11457e-05-0j -0.0994284-0j -7.13367e-05-0j -0.0123494-0j -4.36846e-05-0j -0.116-0j -6.24196e-05-0j -0.0710351-0j -0.0144077-0j -2.57468e-05-0j -0.00882287-0j -0.1015-0j -0.0126067-0j -0.0418665-0j -0.00520001-0j -4.70666e-05-0j 0.000749968-0j -5.31674e-05-0j 0.000929173-0j 0.422097-0j -4.3411e-05-0j -0.00159543-0j -4.38609e-05-0j 0.000847179-0j 0.00104961-0j -3.79846e-05-0j 0.000691719-0j 0.476809-0j -3.13357e-05-0j 0.000857005-0j 0.000698887-0j -0.00180223-0j -1.00119e-05-0j 0.389313-0j 0.000605254-0j 0.000865886-0j 0.00074988-0j 0.393347-0j -0.00147151-0j 0.000499309-0j 0.340649-0j 0.000618619-0j 0.000159532-0j -0.00148676-0j 0.000197652-0j 0.281021-0j -0.00128757-0j -0.00106219-0j 0.0897875-0j -0.000339376-0j 
8.81186e-05-0j -0.00171783-0j -0.00173563-0j 5.12759e-06-0j 0.0204359-0j 6.34507e-06-0j 0.0252882-0j 3.70129e-06-0j 0.0147514-0j 3.60305e-06-0j -0.000122425-0j 4.20355e-06-0j -0.139133-0j 2.57414e-06-0j -0.00014283-0j 3.67811e-06-0j -8.74649e-05-0j -0.162322-0j 1.51714e-06-0j -0.0994014-0j -0.000124976-0j -0.142032-0j -5.15499e-05-0j -0.0585851-0j 2.77343e-06-0j -8.88468e-05-0j 3.13292e-06-0j 2.83062e-07-0j 0.00159543-0j 2.55802e-06-0j 0.40854-0j 2.58453e-06-0j -0.000100363-0j 3.19752e-07-0j 2.23827e-06-0j -8.19462e-05-0j 0.00180223-0j 1.84648e-06-0j 2.61077e-07-0j -8.27954e-05-0j 0.461495-0j 5.89958e-07-0j 0.00147151-0j -7.17029e-05-0j 2.63782e-07-0j 2.28442e-07-0j 0.00148676-0j 0.376809-0j -5.91519e-05-0j 0.00128757-0j 1.88455e-07-0j -1.88993e-05-0j 0.380714-0j 6.02123e-08-0j 0.00106219-0j 0.329708-0j 0.271995-0j 0.000339376-0j 0.0869038-0j 
0.00091753-0j 0.00653784-0j -0.00641754-0j 0.00375098-0j 0.000541407-0j 6.60678e-05-0j 9.53606e-06-0j -0.00529958-0j -0.000764929-0j 0.00263573-0j 0.000465936-0j 4.37693e-05-0j 3.8828e-05-0j 0.00188306-0j 7.73739e-06-0j -0.00261405-0j 0.000332881-0j 6.44783e-07-0j -0.00326631-0j 2.77401e-05-0j -0.000462102-0j -3.85085e-05-0j -0.000577408-0j -4.81173e-05-0j 0.00202884-0j 0.00033814-0j 3.26214e-05-0j 0.000207068-0j 4.22675e-05-0j 0.00187126-0j 2.49064e-06-0j -0.00183683-0j 5.43689e-06-0j 3.3294e-06-0j 2.33058e-05-0j 0.000311877-0j 6.79612e-07-0j -0.00264382-0j 0.000190985-0j -0.000306139-0j 4.00465e-08-0j -0.00169557-0j 3.89846e-05-0j 3.8843e-06-0j -0.000187471-0j 2.37864e-06-0j -3.82673e-05-0j 2.29719e-06-0j -0.000440636-0j 4.85538e-07-0j -0.000269834-0j -0.000282595-0j -2.25492e-06-0j -0.000173053-0j -5.50796e-05-0j 2.86106e-08-0j -3.24559e-06-0j -3.53243e-05-0j -2.08151e-06-0j 
-0.000148066-0j 0.049906-0j -0.0489878-0j -0.000605312-0j 0.00835294-0j -1.06616e-05-0j 0.000147124-0j 0.000855217-0j -0.0118015-0j -0.000425339-0j 0.00355668-0j -7.06324e-06-0j 0.000901702-0j -0.000303877-0j 5.90627e-05-0j 0.00042184-0j 0.00254102-0j 1.49738e-05-0j 0.000527099-0j 0.000644207-0j -0.00352742-0j -0.000894283-0j -0.00440759-0j -0.00111743-0j 0.0641338-0j 0.00258116-0j 0.0010312-0j -3.34154e-05-0j 0.000652112-0j 0.0591526-0j 7.7254e-05-0j -0.0580642-0j 4.15021e-05-0j -5.3728e-07-0j 0.000736722-0j 0.00238069-0j 1.04852e-05-0j -0.0835739-0j -3.08201e-05-0j -0.00233688-0j 1.24215e-06-0j -0.0535987-0j 0.000601463-0j 2.96505e-05-0j 3.0253e-05-0j -3.83852e-07-0j -0.000590396-0j 7.12538e-05-0j -0.00336356-0j 7.49098e-06-0j 4.35442e-05-0j -0.00215716-0j -6.99428e-05-0j 2.79263e-05-0j -0.000849779-0j 8.87438e-07-0j -0.000100671-0j -0.000544991-0j -6.45637e-05-0j 
-0.000120895-0j -0.000861436-0j 0.000845586-0j 0.0475523-0j -7.13367e-05-0j 0.000837561-0j -1.25649e-06-0j -0.0671844-0j 0.000100788-0j 0.0506138-0j 0.00590681-0j 0.000840499-0j -5.11604e-06-0j 0.0361602-0j 9.80893e-05-0j -0.0501974-0j 0.00422003-0j -8.49576e-08-0j -0.0627228-0j -3.65507e-06-0j -0.00585821-0j 5.07394e-06-0j -0.00731997-0j 6.34001e-06-0j -0.000267323-0j 0.00649329-0j -4.29824e-06-0j 0.0052774-0j 0.000535838-0j -0.000246561-0j -3.2817e-07-0j 0.000242024-0j 0.000104404-0j 8.48544e-05-0j -3.07081e-06-0j 0.00598896-0j 8.61565e-06-0j 0.000348354-0j 0.00486751-0j -0.00587876-0j -5.27659e-09-0j 0.000223411-0j 0.00049422-0j 7.45901e-05-0j -0.00477795-0j 6.06229e-05-0j -0.000485127-0j -3.02682e-07-0j -0.00846152-0j 6.15531e-06-0j -0.00687708-0j -0.00542665-0j 2.97112e-07-0j -0.0044105-0j -0.00069826-0j -3.76978e-09-0j 4.27645e-07-0j -0.000447818-0j 2.74263e-07-0j 
1.74497e-05-0j -0.0118873-0j 0.0116686-0j 7.13367e-05-0j 0.0460675-0j 1.25649e-06-0j 0.000811408-0j -0.000100788-0j -0.0650865-0j -0.00730547-0j -0.000847179-0j -0.000121316-0j 0.010124-0j -0.00521928-0j -1.40684e-05-0j 0.00724537-0j -0.000605254-0j 0.00016812-0j 0.00905325-0j 0.00723291-0j 0.000840209-0j -0.0100407-0j 0.00104986-0j -0.012546-0j 3.85848e-05-0j 0.0896035-0j 6.20398e-07-0j 3.93804e-06-0j 0.00359647-0j 3.55879e-05-0j 0.00130792-0j -3.49331e-05-0j 0.00144072-0j 6.33191e-08-0j 4.43234e-07-0j 0.0826441-0j 5.7827e-05-0j -5.02805e-05-0j 3.63218e-06-0j -0.0811234-0j 2.10297e-05-0j -3.22466e-05-0j 0.00331714-0j 0.0010293-0j -3.56535e-06-0j 4.52373e-08-0j -0.0032561-0j 0.00120633-0j -0.116764-0j 4.13136e-05-0j -5.13173e-06-0j -0.0748846-0j -0.00118414-0j -3.29115e-06-0j -0.00468663-0j 1.50244e-05-0j -0.00170437-0j -0.00300569-0j -0.00109307-0j 
1.51119e-05-0j -0.00509351-0j 0.00499979-0j -0.0119499-0j -0.000852519-0j -0.000210478-0j -1.50158e-05-0j 0.0168834-0j 0.00120448-0j 4.3411e-05-0j 0.0702148-0j 7.20889e-07-0j -9.20296e-05-0j 3.10143e-05-0j 0.001166-0j -4.30538e-05-0j 0.0501639-0j -1.52826e-06-0j -5.37968e-05-0j -6.57491e-05-0j -0.0696371-0j 9.12724e-05-0j -0.0870132-0j 0.000114047-0j 3.34154e-05-0j -0.000263439-0j 5.3728e-07-0j 0.0631385-0j 0.0128738-0j 3.08201e-05-0j -7.88471e-06-0j -3.0253e-05-0j -4.23579e-06-0j 0.00101519-0j 3.83852e-07-0j -0.000242978-0j 0.000206995-0j -4.35442e-05-0j 0.0582346-0j 0.000238507-0j -1.26777e-07-0j -2.79263e-05-0j 0.0118739-0j -3.02619e-06-0j -0.0571631-0j 0.000725288-0j -0.0116554-0j -7.27231e-06-0j 0.000343292-0j 0.000147884-0j -0.0822769-0j 0.000220165-0j 7.1385e-06-0j -0.0527669-0j -0.016776-0j -9.05737e-08-0j 1.02747e-05-0j -0.010759-0j 6.58951e-06-0j 
-1.78095e-06-0j 0.00182621-0j -0.00179261-0j 0.000700512-0j -0.0144077-0j 1.23384e-05-0j -0.000253769-0j -0.00098972-0j 0.0203559-0j -5.11604e-06-0j -0.0125222-0j -8.49576e-08-0j 0.0478286-0j -3.65507e-06-0j -0.000207945-0j 5.07394e-06-0j -0.00894629-0j 0.000794249-0j 6.34001e-06-0j 0.0341704-0j 0.0124192-0j -0.0474351-0j 0.015518-0j -0.0592713-0j -3.93804e-06-0j 9.44524e-05-0j -6.33191e-08-0j 7.77435e-05-0j 0.108222-0j -3.63218e-06-0j 0.0126724-0j 3.56535e-06-0j 1.51868e-06-0j 1.25002e-06-0j -4.52373e-08-0j 8.71164e-05-0j 0.00174008-0j 5.13173e-06-0j 7.17052e-05-0j -8.55135e-05-0j 0.000203758-0j 3.29115e-06-0j 0.0998163-0j 1.085e-06-0j -7.03859e-05-0j 8.9306e-07-0j -0.0979797-0j 0.0116882-0j -0.000123083-0j 0.00124317-0j -0.000101309-0j -7.8937e-05-0j -0.0114731-0j -6.49728e-05-0j -0.141026-0j 0.000145571-0j -0.0165137-0j -0.0904445-0j -0.0105908-0j 
