-0.00541272-0j -0.000781258-0j -0.0044373-0j -0.000784411-0j -6.53675e-05-0j -0.00270026-0j -0.00272824-0j -0.000450043-0j -0.000275594-0j -0.000454707-0j -5.62554e-05-0j -0.00027845-0j -5.68383e-05-0j -3.31488e-06-0j -3.34923e-06-0j -0.00195964-0j -0.00242493-0j -0.00141454-0j -0.000316235-0j -0.000258205-0j -0.000391321-0j -3.72687e-05-0j -0.000228271-0j -3.22756e-05-0j -0.000319512-0j -3.80372e-06-0j -4.61176e-05-0j -0.000186382-0j -3.9939e-05-0j -1.73615e-07-0j -2.6902e-05-0j -2.32978e-05-0j -4.70686e-06-0j -2.14838e-07-0j -2.74567e-06-0j -1.25322e-07-0j -0.00153953-0j -0.00179611-0j -0.00109989-0j -0.00024342-0j -0.0015716-0j -0.000648252-0j -0.000192441-0j -0.000283991-0j -0.000128294-0j -2.77764e-05-0j -0.000173908-0j -0.000248492-0j -0.000224514-0j -3.20735e-05-0j -0.000102498-0j -0.000149676-0j -1.13397e-05-0j -0.000137486-0j -3.24058e-05-0j -2.67279e-06-0j -9.16576e-05-0j -1.98444e-05-0j -0.00019645-0j -2.83492e-06-0j -0.000130967-0j -3.7419e-05-0j -2.83551e-05-0j -8.10315e-05-0j -2.36243e-07-0j -2.29144e-05-0j -1.32296e-05-0j -5.4021e-05-0j -3.11825e-06-0j -1.16959e-05-0j -8.80427e-09-0j -8.10146e-06-0j -1.90953e-06-0j -3.30741e-06-0j -3.27417e-05-0j -2.02537e-06-0j -1.15759e-05-0j -2.75617e-07-0j -1.35052e-05-0j -2.72847e-06-0j -2.89398e-06-0j -1.6878e-07-0j -4.77483e-06-0j -1.02717e-08-0j -1.12544e-06-0j -2.41165e-07-0j -6.29008e-09-0j -1.19371e-06-0j -8.98769e-09-0j -9.94755e-08-0j -3.70723e-09-0j 
0.000843856-0j -0.0116447-0j 0.000691785-0j -0.0057847-0j -0.00146656-0j 0.000420977-0j 0.000425339-0j -0.00331888-0j 4.29658e-05-0j -0.00335327-0j -0.00083849-0j 4.3411e-05-0j -0.000847179-0j -9.93338e-05-0j -0.000100363-0j 0.000305512-0j 0.000378052-0j 0.00022053-0j -0.0023321-0j 4.02548e-05-0j -0.00288583-0j -0.000555492-0j -0.0016834-0j -0.000238019-0j 4.98127e-05-0j -8.53385e-05-0j -0.000687386-0j 2.90574e-05-0j -0.000294534-0j -6.50996e-06-0j -0.000400975-0j -0.000171811-0j -0.000105601-0j -8.05567e-06-0j -6.16006e-05-0j -4.69914e-06-0j -0.0715402-0j -0.0834636-0j -0.0511108-0j -0.00179512-0j -0.0730306-0j -0.0301236-0j 3.0002e-05-0j -0.00209431-0j 2.00013e-05-0j -0.000414009-0j -0.0012825-0j -0.00183252-0j 3.50023e-05-0j -0.000236528-0j -0.000755877-0j 2.33349e-05-0j 1.76788e-06-0j 2.14345e-05-0j -0.000483011-0j -5.99655e-05-0j 1.42896e-05-0j -0.000295783-0j 3.0627e-05-0j -4.22547e-05-0j 2.0418e-05-0j -0.00027595-0j -0.000422635-0j 1.2633e-05-0j -7.07928e-06-0j -0.000168984-0j 2.06253e-06-0j 8.422e-06-0j -6.99597e-05-0j -0.000174328-0j -3.9643e-07-0j 1.26304e-06-0j -4.28414e-05-0j -4.92971e-05-0j -0.000241456-0j -3.01882e-05-0j 1.80471e-06-0j -8.25915e-06-0j -9.95955e-05-0j -6.12148e-05-0j -4.3135e-05-0j -5.05768e-06-0j 7.44407e-07-0j -4.62501e-07-0j -2.52498e-05-0j -7.22676e-06-0j -2.83223e-07-0j -1.77923e-05-0j -4.04689e-07-0j -2.98089e-06-0j -1.66926e-07-0j 
-0.0628901-0j 9.43459e-05-0j 0.000535854-0j -0.00911402-0j 7.89388e-06-0j 0.000326087-0j 0.000329466-0j 5.43479e-05-0j -0.0064375-0j 5.49111e-05-0j -0.000653628-0j -0.00650421-0j -0.000660402-0j 4.0031e-07-0j 4.04458e-07-0j -0.0583717-0j -0.0722313-0j -0.0421349-0j 3.8189e-05-0j -0.00300007-0j 4.72565e-05-0j 4.50062e-06-0j 2.75663e-05-0j -0.000753915-0j -0.0037124-0j -4.41952e-05-0j 5.56923e-06-0j -0.00216556-0j -0.000932922-0j 2.0966e-08-0j 3.24872e-06-0j -0.000544205-0j -5.46888e-05-0j 2.59441e-08-0j -3.19018e-05-0j 1.51341e-08-0j 0.000185915-0j 0.000216901-0j 0.000132824-0j -0.00725076-0j 0.000189789-0j 7.82839e-05-0j -0.00223596-0j -0.00845922-0j 1.5493e-05-0j 3.35432e-06-0j -0.00518019-0j -0.00740182-0j -0.00260862-0j -0.00037266-0j -0.00305309-0j 1.80751e-05-0j -0.000398004-0j -0.00159745-0j 3.91338e-06-0j 3.2277e-07-0j 1.10687e-05-0j 2.39644e-06-0j -0.00228254-0j -6.62199e-05-0j 1.58157e-05-0j -0.00043477-0j 3.42421e-06-0j -0.0009415-0j -2.7449e-06-0j -0.000266241-0j -0.000464338-0j 6.52365e-06-0j 3.76565e-07-0j 1.41241e-06-0j 1.06322e-09-0j -0.000284348-0j 2.30598e-07-0j -7.72566e-05-0j -0.000380424-0j -4.73098e-05-0j -0.000406296-0j -3.20238e-06-0j -0.000156917-0j 3.29494e-07-0j -6.75995e-05-0j -1.96105e-06-0j -0.000167589-0j 1.24042e-09-0j 1.35909e-07-0j -2.80208e-06-0j 7.59599e-10-0j -2.78834e-05-0j 1.08537e-09-0j -1.1558e-06-0j 4.47691e-10-0j 
-9.43459e-05-0j -0.0609262-0j -7.73439e-05-0j 0.00130717-0j -0.0156209-0j -4.70666e-05-0j -4.75544e-05-0j 0.000749968-0j -4.80372e-06-0j 0.00075774-0j -0.00438706-0j -4.8535e-06-0j -0.00443252-0j -0.00159543-0j -0.00161196-0j 0.00842523-0j 0.0104257-0j 0.00608165-0j 0.000526986-0j -4.50062e-06-0j 0.000652112-0j -0.00290639-0j 0.000380399-0j 5.37853e-05-0j -5.56923e-06-0j -0.000908978-0j -0.00359647-0j -3.24872e-06-0j 6.65559e-05-0j -0.000139751-0j -0.00209794-0j 3.88243e-05-0j -0.0011248-0j -0.000172933-0j -0.000656135-0j -0.000100878-0j -2.68346e-05-0j -3.1307e-05-0j -1.91716e-05-0j -0.100056-0j -2.73936e-05-0j -1.12993e-05-0j -3.35432e-06-0j -0.116732-0j -2.23622e-06-0j -0.00216614-0j -0.0714836-0j -0.102141-0j -3.91338e-06-0j 5.34484e-05-0j -0.0421309-0j -2.60892e-06-0j -1.97655e-07-0j -2.39644e-06-0j -0.00252716-0j -0.000638719-0j -1.59763e-06-0j -0.00154756-0j -3.42421e-06-0j -0.000221081-0j -2.2828e-06-0j 6.23565e-05-0j -0.00221127-0j -1.41241e-06-0j -0.000113702-0j 3.81854e-05-0j -2.30598e-07-0j -9.41608e-07-0j -0.000745172-0j -0.000912101-0j -1.06526e-05-0j -1.41212e-07-0j -0.000456323-0j -0.000257927-0j 5.45619e-05-0j -0.000157948-0j -2.01773e-07-0j -0.000132652-0j 2.25056e-05-0j -0.000652026-0j -0.000225686-0j -8.12327e-05-0j -8.32272e-08-0j -1.24281e-05-0j -0.000268947-0j -0.000116071-0j -7.61061e-06-0j -9.30909e-05-0j -1.08746e-05-0j -4.78768e-05-0j -4.48553e-06-0j 
0.000596696-0j 8.61257e-05-0j -0.0712911-0j 8.64731e-05-0j 7.20609e-06-0j -0.0583106-0j -0.0589149-0j -0.00723054-0j 3.03814e-05-0j -0.00730547-0j 6.20157e-06-0j 3.06962e-05-0j 6.26584e-06-0j 3.65431e-07-0j 3.69218e-07-0j 0.00021603-0j 0.000267323-0j 0.000155939-0j -0.00682893-0j -0.00414841-0j -0.00845037-0j -0.000598771-0j -0.00492938-0j 3.55805e-06-0j -0.00513339-0j 4.19321e-07-0j -0.000740941-0j -0.00299448-0j 4.40287e-06-0j 1.91393e-08-0j -0.000432216-0j 2.56834e-06-0j 5.18883e-07-0j 2.36836e-08-0j 3.02682e-07-0j 1.38155e-08-0j 0.000169717-0j 0.000198003-0j 0.000121252-0j 2.68346e-05-0j 0.000173253-0j 7.14631e-05-0j -0.00415566-0j 3.1307e-05-0j -0.00413657-0j -0.000599817-0j 1.91716e-05-0j 2.73936e-05-0j -0.00484827-0j -0.000515303-0j 1.12993e-05-0j -0.004826-0j 1.25008e-06-0j -0.00296895-0j -0.000699787-0j -4.29419e-05-0j -0.00295531-0j -0.00042853-0j -0.00424223-0j 3.12521e-07-0j -0.00422275-0j -0.000601187-0j -0.000612314-0j -0.00174983-0j 2.60434e-08-0j -0.00036815-0j 1.45843e-06-0j -0.00174179-0j -5.00989e-05-0j -0.000252567-0j 9.7058e-10-0j 8.93102e-07-0j -3.06792e-05-0j 3.64607e-07-0j -0.000526039-0j 2.23276e-07-0j 1.27613e-06-0j 3.0384e-08-0j -0.00021698-0j -4.38365e-05-0j 3.19031e-07-0j 1.86063e-08-0j 5.26375e-07-0j 1.13234e-09-0j -1.80817e-05-0j 2.6586e-08-0j 6.93416e-10-0j 1.31594e-07-0j 9.908e-10-0j 1.09661e-08-0j 4.08684e-10-0j 
0.0101488-0j 0.00145559-0j -8.64731e-05-0j -0.0695711-0j 0.00018332-0j 0.010308-0j 0.0104148-0j 0.00041486-0j 0.00103885-0j 0.000419159-0j -0.0100843-0j 0.00104961-0j -0.0101888-0j 1.24167e-05-0j 1.25454e-05-0j -3.8189e-05-0j -4.72565e-05-0j -2.75663e-05-0j -0.0571035-0j 0.000484134-0j -0.0706619-0j 6.94365e-05-0j -0.0412195-0j -0.00575495-0j 0.000599085-0j -0.00102634-0j 8.59233e-05-0j 0.000349466-0j -0.00712138-0j 8.13746e-07-0j 5.01219e-05-0j -0.00415414-0j -0.00127004-0j 1.00696e-06-0j -0.000740855-0j 5.87393e-07-0j -3.0002e-05-0j -3.50023e-05-0j -2.14345e-05-0j 0.00022439-0j -3.0627e-05-0j -1.2633e-05-0j -0.070681-0j 0.000261789-0j -2.50017e-06-0j -0.0101374-0j 0.000160312-0j 0.000229065-0j -0.0824612-0j -0.00284467-0j 9.44846e-05-0j -2.91686e-06-0j 6.42276e-05-0j -0.050497-0j -0.0118269-0j 7.49568e-06-0j -1.7862e-06-0j -0.00724248-0j -0.0721536-0j -0.00102165-0j -2.55225e-06-0j -0.00331878-0j -0.0103486-0j -0.0297618-0j -8.51407e-05-0j -0.00203233-0j 7.49323e-05-0j -1.05275e-06-0j 8.74496e-06-0j -0.00426856-0j 4.95537e-08-0j 4.58864e-05-0j 5.35518e-06-0j -0.00119193-0j -0.00290393-0j -0.000729905-0j 6.55657e-05-0j -9.93308e-05-0j -0.00119781-0j 7.65184e-06-0j -0.00104294-0j -6.08274e-05-0j 2.70445e-05-0j 5.78127e-08-0j 3.15622e-06-0j -8.69144e-05-0j 3.54029e-08-0j -0.00043019-0j 5.05861e-08-0j -3.58504e-05-0j 2.08657e-08-0j 
-7.03213e-05-0j 0.000970392-0j 0.0168611-0j 0.000482058-0j 0.000122213-0j -3.50814e-05-0j -3.54449e-05-0j -0.0808922-0j -3.58048e-06-0j -0.0817304-0j 6.98742e-05-0j -3.61758e-06-0j 7.05983e-05-0j 8.27781e-06-0j 8.3636e-06-0j -2.54594e-05-0j -3.15043e-05-0j -1.83775e-05-0j 0.000194342-0j 0.000981144-0j 0.000240486-0j -0.0135392-0j 0.000140283-0j 1.98349e-05-0j 0.0012141-0j 7.11154e-06-0j -0.0167539-0j 0.000708227-0j 2.45445e-05-0j 5.42497e-07-0j -0.00977311-0j 1.43176e-05-0j 8.80008e-06-0j 6.71306e-07-0j 5.13338e-06-0j 3.91595e-07-0j -2.00013e-05-0j -2.33349e-05-0j -1.42896e-05-0j 0.000149594-0j -2.0418e-05-0j -8.422e-06-0j -2.50017e-06-0j 0.000174526-0j -0.0708036-0j 3.45008e-05-0j 0.000106875-0j 0.00015271-0j -2.91686e-06-0j -0.00576499-0j 6.29897e-05-0j -0.0826042-0j -1.47324e-07-0j -1.7862e-06-0j 4.02509e-05-0j -0.00146156-0j -0.0505845-0j 2.46486e-05-0j -2.55225e-06-0j 3.52122e-06-0j -0.0722787-0j -0.00672582-0j 3.52196e-05-0j -1.05275e-06-0j 5.8994e-07-0j -0.00411871-0j -1.71878e-07-0j -0.0298134-0j -0.00170515-0j 1.45273e-05-0j 3.30358e-08-0j -1.05253e-07-0j -0.00104419-0j 4.10809e-06-0j -0.00588509-0j 2.51568e-06-0j -1.50393e-07-0j 6.88263e-07-0j -0.00242748-0j -0.00149201-0j 3.59458e-06-0j 4.21473e-07-0j -6.20339e-08-0j 3.85418e-08-0j -0.000615422-0j 6.0223e-07-0j 2.36019e-08-0j 1.48269e-06-0j 3.37241e-08-0j 2.48407e-07-0j 1.39105e-08-0j 
8.79016e-06-0j 0.0173946-0j 7.20609e-06-0j -0.00018332-0j -0.0673681-0j -0.000858997-0j -0.000867899-0j -0.000105177-0j 4.4756e-07-0j -0.000106267-0j 0.00125252-0j 4.52198e-07-0j 0.00126549-0j -0.0141113-0j -0.0142575-0j 3.18242e-06-0j 3.93804e-06-0j 2.29719e-06-0j 0.0144771-0j 4.19321e-07-0j 0.0179145-0j 0.00082978-0j 0.0104501-0j -7.54293e-06-0j 5.18883e-07-0j -0.00392013-0j 0.0010268-0j 3.02682e-07-0j -9.3339e-06-0j -0.00186721-0j 0.000598967-0j -5.44477e-06-0j -0.00485092-0j -0.00231055-0j -0.0028297-0j -0.00134782-0j 2.50017e-06-0j 2.91686e-06-0j 1.7862e-06-0j -5.68882e-05-0j 2.55225e-06-0j 1.05275e-06-0j -6.12186e-05-0j -6.63696e-05-0j 2.08347e-07-0j -0.121144-0j -4.06429e-05-0j -5.80734e-05-0j -7.14217e-05-0j -7.49568e-06-0j -2.39541e-05-0j 2.43072e-07-0j 1.84155e-08-0j -4.37367e-05-0j -0.141334-0j -0.00275459-0j 1.4885e-07-0j -0.0865491-0j -6.2494e-05-0j 6.3119e-05-0j 2.12688e-07-0j -8.74496e-06-0j -0.123667-0j -2.57775e-05-0j -0.00100568-0j -5.35518e-06-0j 2.14847e-08-0j 8.77292e-08-0j -0.00321369-0j -0.0510102-0j -0.00019037-0j 1.31566e-08-0j -0.00196797-0j 7.36388e-05-0j -7.65184e-06-0j 4.50944e-05-0j 1.87991e-08-0j -0.00117329-0j -3.15622e-06-0j -0.00281198-0j 6.44339e-05-0j -0.000718489-0j 7.75424e-09-0j -0.000222098-0j -0.00115988-0j -0.00102663-0j -0.000136007-0j 2.65776e-05-0j -0.000194336-0j -0.000423462-0j -8.01595e-05-0j 
0.0117798-0j -8.79016e-06-0j 0.00727612-0j 0.00170712-0j -7.35469e-07-0j -3.03814e-05-0j -3.06962e-05-0j 0.000737964-0j -0.0574057-0j 0.000745612-0j 0.000122429-0j -0.0580006-0j 0.000123698-0j -3.72967e-08-0j -3.76832e-08-0j -2.20484e-05-0j -2.72836e-05-0j -1.59154e-05-0j -3.55805e-06-0j -0.0818965-0j -4.40287e-06-0j 6.11118e-05-0j -2.56834e-06-0j -0.00672295-0j -0.101342-0j 8.27808e-06-0j 7.5622e-05-0j -0.059116-0j -0.00831922-0j -1.95339e-09-0j 4.41128e-05-0j -0.00485288-0j 1.02436e-05-0j -2.4172e-09-0j 5.97544e-06-0j -1.41003e-09-0j -1.73217e-05-0j -2.02086e-05-0j -1.23752e-05-0j -2.73879e-06-0j -1.76825e-05-0j -7.29367e-06-0j 0.000418811-0j -3.19526e-06-0j 0.000422187-0j -3.12521e-07-0j -1.95669e-06-0j -2.79585e-06-0j 0.000488613-0j -0.0101729-0j -1.15323e-06-0j 0.000492551-0j -0.00716026-0j 0.000299213-0j -3.64607e-07-0j 4.38274e-06-0j 0.000301625-0j -2.23276e-07-0j 0.000427537-0j -0.000590508-0j 0.000430982-0j -0.0118684-0j -3.19031e-07-0j 0.00017635-0j 5.1414e-07-0j -0.0072679-0j -0.00835364-0j 0.000177771-0j 5.1132e-06-0j -1.31594e-07-0j -9.90594e-11-0j -0.00511554-0j 3.13118e-06-0j -0.000688926-0j -0.0103849-0j -0.00042188-0j -0.00730944-0j 5.9983e-07-0j -0.00428354-0j 4.47405e-06-0j -0.000602811-0j 3.67319e-07-0j -0.00301499-0j -1.15569e-10-0j 1.84545e-06-0j 5.24851e-07-0j -7.07714e-11-0j -0.000248647-0j -1.01123e-10-0j 2.1649e-07-0j -4.17112e-11-0j 
-0.00119605-0j 0.00802774-0j -0.00148523-0j 0.0165714-0j 0.00205824-0j 6.20157e-06-0j 6.26584e-06-0j 0.0144016-0j -0.000122429-0j 0.0145508-0j -0.0556161-0j -0.000123698-0j -0.0561925-0j 0.000210216-0j 0.000212394-0j 4.50062e-06-0j 5.56923e-06-0j 3.24872e-06-0j -6.94365e-05-0j 0.00831531-0j -8.59233e-05-0j -0.0558112-0j -5.01219e-05-0j 0.00137079-0j 0.0102897-0j -0.0115234-0j -0.0690629-0j 0.00600231-0j 0.00169627-0j 1.84139e-05-0j -0.0402867-0j 0.00098949-0j -0.0142595-0j 2.2786e-05-0j -0.00831803-0j 1.32918e-05-0j 3.53577e-06-0j 4.12506e-06-0j 2.52607e-06-0j -5.34484e-05-0j 3.60943e-06-0j 1.48881e-06-0j -4.25238e-05-0j -6.23565e-05-0j -8.61785e-05-0j 0.000285414-0j -3.81854e-05-0j -5.45619e-05-0j -4.96111e-05-0j -0.0987508-0j -2.25056e-05-0j -0.000100542-0j -7.5693e-06-0j -3.03805e-05-0j 0.000332983-0j -0.0122653-0j -6.15689e-05-0j 0.000203909-0j -4.34097e-05-0j -0.00563454-0j -8.79739e-05-0j -0.115209-0j 0.00029136-0j -1.79056e-05-0j -0.00144144-0j -0.070551-0j -8.83085e-06-0j -3.62874e-05-0j -0.0143095-0j 0.00012018-0j 1.40361e-06-0j -5.40777e-06-0j -0.00876274-0j -0.00657363-0j -0.100808-0j -0.00402551-0j -7.72699e-06-0j -0.00168168-0j -0.0415812-0j -0.0125208-0j -0.00575193-0j -0.00102981-0j -3.18722e-06-0j 1.63754e-06-0j -0.00516457-0j -0.00147147-0j 1.00279e-06-0j -0.00237255-0j 1.43285e-06-0j -0.000606949-0j 5.91021e-07-0j 
-0.00180651-0j -8.57714e-05-0j 5.09548e-06-0j 0.0123838-0j -1.08022e-05-0j 3.10079e-06-0j 3.13292e-06-0j -2.44458e-05-0j 0.0177608-0j -2.46992e-05-0j 0.00179502-0j 0.0179448-0j 0.00181362-0j -7.31662e-07-0j -7.39245e-07-0j 2.25031e-06-0j 2.78462e-06-0j 1.62436e-06-0j -1.71776e-05-0j -8.61766e-05-0j -2.12561e-05-0j -4.09158e-06-0j -1.23994e-05-0j -0.0983901-0j -0.000106638-0j 0.000182691-0j -5.06308e-06-0j -6.22056e-05-0j -0.121752-0j -4.79504e-08-0j -2.95346e-06-0j -0.0710218-0j 0.000226069-0j -5.93356e-08-0j 0.000131873-0j -3.46124e-08-0j 1.76788e-06-0j 2.06253e-06-0j 1.26304e-06-0j -1.32223e-05-0j 1.80471e-06-0j 7.44407e-07-0j -6.42276e-05-0j -1.54261e-05-0j 1.47324e-07-0j -3.04947e-06-0j -9.44649e-06-0j -1.34978e-05-0j -7.49323e-05-0j 0.000506355-0j -5.56756e-06-0j 1.71878e-07-0j -0.0695765-0j -4.58864e-05-0j -3.55771e-06-0j -4.41687e-07-0j 1.05253e-07-0j -2.17865e-06-0j -6.55657e-05-0j -0.0174668-0j 1.50393e-07-0j 0.000590748-0j -3.113e-06-0j -2.70445e-05-0j 1.51552e-05-0j 0.000361758-0j -0.0811726-0j 6.20339e-08-0j -5.15302e-07-0j -1.28405e-06-0j -2.91998e-09-0j -0.0497079-0j -3.15557e-07-0j -0.020378-0j 0.000516904-0j -0.0124789-0j -0.071026-0j 1.7681e-05-0j 0.000213212-0j -4.50889e-07-0j -0.0178307-0j 1.08274e-05-0j -0.0292967-0j -3.40665e-09-0j -1.85982e-07-0j 1.54709e-05-0j -2.08614e-09-0j -0.0073548-0j -2.98081e-09-0j 6.38142e-06-0j -1.22952e-09-0j 
