-0.00832018-0j -0.00590699-0j -0.0008526-0j -0.00338904-0j -0.00342416-0j -0.000599103-0j -4.99253e-05-0j -0.000605312-0j -5.04427e-05-0j -0.0023814-0j -0.00294684-0j -0.000396901-0j -0.00171899-0j -0.000243051-0j -4.96126e-05-0j -0.000491139-0j -0.00030076-0j -2.92345e-06-0j -0.000286498-0j -6.13924e-05-0j -0.000175443-0j -3.61758e-06-0j -3.58123e-05-0j -2.11026e-06-0j -0.00183307-0j -0.00213859-0j -0.000295811-0j -0.00130961-0j -0.00187126-0j -0.000241529-0j -0.000771856-0j -0.000345113-0j -3.48617e-05-0j -3.01911e-05-0j -0.000211338-0j -0.000281783-0j -3.55805e-06-0j -0.000301974-0j -0.000172556-0j -4.06719e-05-0j -1.62402e-07-0j -0.000124558-0j -2.49064e-05-0j -3.52229e-05-0j -0.000246561-0j -2.15696e-05-0j -4.15106e-06-0j -3.55879e-05-0j -0.000101701-0j -3.08201e-05-0j -2.542e-06-0j -1.89469e-07-0j -1.46793e-05-0j -3.63218e-06-0j -1.16026e-07-0j -1.27126e-05-0j -1.65786e-07-0j -1.4982e-06-0j -6.8383e-08-0j 
-0.0622282-0j 0.000933977-0j -0.0128883-0j 0.000535854-0j 0.000541407-0j -0.00448081-0j -0.00113599-0j -0.00452724-0j -0.00114776-0j 0.000376533-0j 0.000465936-0j -0.00296849-0j 0.000271796-0j 3.84297e-05-0j -0.000749968-0j -0.00367332-0j 4.75544e-05-0j -8.88468e-05-0j -0.00214277-0j -0.000928038-0j 2.77401e-05-0j -0.000109942-0j -0.000541356-0j -6.4133e-05-0j -0.0714904-0j -0.0834055-0j -0.00221243-0j -0.0510752-0j -0.0729798-0j 3.8189e-05-0j -0.0301026-0j -0.00258116-0j -0.000526986-0j -0.000225805-0j -0.00158063-0j 4.45539e-05-0j -8.09592e-05-0j -0.00225852-0j 2.72836e-05-0j -0.000614817-0j -6.17589e-06-0j -0.000931591-0j -0.000376497-0j -0.000263439-0j 3.89846e-05-0j -0.000161323-0j -9.44524e-05-0j -0.000537965-0j 1.60803e-05-0j -0.000230509-0j -5.78401e-05-0j -7.20521e-06-0j -0.000221899-0j -8.26459e-05-0j -4.41227e-06-0j -9.50801e-05-0j -6.30456e-06-0j -3.40897e-05-0j -2.6005e-06-0j 
0.00104002-0j -0.0710419-0j 0.000106575-0j 0.00042363-0j 0.00042802-0j -0.00720527-0j 6.24066e-06-0j -0.00727993-0j 6.30533e-06-0j -0.0583106-0j -0.0721557-0j 4.96126e-05-0j -0.0420909-0j -0.00587661-0j -0.000596678-0j 6.13924e-05-0j -0.00727193-0j 3.65431e-07-0j 3.58123e-05-0j -0.000738351-0j -0.00424196-0j 4.52198e-07-0j -0.000430705-0j 2.63782e-07-0j 0.000229134-0j 0.000267323-0j -0.00724318-0j 0.000163701-0j 0.000233908-0j -0.0029048-0j 9.64821e-05-0j -0.00845037-0j 4.35771e-06-0j -0.000729975-0j -0.00517478-0j -0.00338894-0j -4.27918e-05-0j -0.00739408-0j -0.00207529-0j 5.08399e-06-0j 2.03003e-08-0j -0.0030499-0j 3.1133e-06-0j -0.000851637-0j -0.00296532-0j -0.000521519-0j -4.99238e-05-0j 4.44849e-06-0j -0.00122313-0j -0.000745183-0j -3.05719e-05-0j 2.36836e-08-0j 1.83491e-06-0j -4.36833e-05-0j 1.45032e-08-0j -0.000307372-0j 2.07232e-08-0j -1.80184e-05-0j 8.54788e-09-0j 
0.000693348-0j 0.000492249-0j 7.105e-05-0j -0.0826023-0j -0.0834583-0j 4.99253e-05-0j 4.16044e-06-0j 5.04427e-05-0j 4.20355e-06-0j 0.00019845-0j 0.00024557-0j -0.0096738-0j 0.000143249-0j 2.02543e-05-0j 4.13438e-06-0j -0.0119707-0j 2.50634e-05-0j 2.43621e-07-0j -0.00698292-0j 5.11604e-06-0j 1.46203e-05-0j 3.01465e-07-0j 2.98435e-06-0j 1.75855e-07-0j 0.000152756-0j 0.000178215-0j 2.46509e-05-0j 0.000109134-0j 0.000155939-0j -0.00588686-0j 6.43214e-05-0j 2.87594e-05-0j -0.000849695-0j 2.51592e-06-0j 1.76115e-05-0j -0.00686801-0j 2.96504e-07-0j 2.51645e-05-0j -0.00420578-0j -0.000991311-0j 1.35335e-08-0j 1.03798e-05-0j -0.000607052-0j 2.93524e-06-0j -0.0060095-0j 1.79746e-06-0j 3.45922e-07-0j -0.000867397-0j -0.00247879-0j 2.56834e-06-0j 2.11833e-07-0j 1.57891e-08-0j -0.000357783-0j 3.02682e-07-0j 9.66881e-09-0j 1.05939e-06-0j 1.38155e-08-0j 1.2485e-07-0j 5.69859e-09-0j 
0.0143517-0j -0.000106575-0j -0.0688235-0j -6.11457e-05-0j -6.17794e-05-0j 0.00103341-0j -0.0123494-0j 0.00104412-0j -0.0124774-0j 0.00841642-0j 0.0104148-0j 0.000684624-0j 0.00607529-0j -4.38517e-06-0j -0.00400482-0j 0.000847179-0j -5.42638e-06-0j -0.00145642-0j 0.000494188-0j -0.00495571-0j -3.16539e-06-0j -0.00180223-0j -0.00289083-0j -0.0010513-0j -3.30727e-05-0j -3.85848e-05-0j -0.0999515-0j -2.36283e-05-0j -3.37617e-05-0j -4.35771e-06-0j -1.3926e-05-0j -0.11661-0j -0.0028141-0j 5.20774e-05-0j -0.0714088-0j -5.08399e-06-0j -0.000880115-0j -0.102034-0j -3.1133e-06-0j -0.00328312-0j -0.000135314-0j -0.0420868-0j -0.00201049-0j 6.07569e-05-0j -4.44849e-06-0j 3.72059e-05-0j -0.0010268-0j -0.00287273-0j -1.83491e-06-0j 5.31623e-05-0j -0.000628784-0j -0.000157866-0j -0.00118494-0j -0.00089845-0j -9.66727e-05-0j 2.19283e-05-0j -0.000138133-0j -0.000370592-0j -5.69768e-05-0j 
0.00819928-0j 0.0118403-0j 0.00169819-0j 0.01029-0j 0.0103966-0j -0.0568046-0j 0.00014968-0j -0.0573932-0j 0.000151231-0j -4.96126e-05-0j -6.13924e-05-0j -0.0570038-0j -3.58123e-05-0j 0.000979435-0j -0.00950757-0j -0.0705386-0j 0.00121199-0j 1.17066e-05-0j -0.0411475-0j -0.011765-0j 0.000706993-0j 1.44862e-05-0j -0.00686293-0j 8.45027e-06-0j -3.8189e-05-0j -4.45539e-05-0j 0.000291513-0j -2.72836e-05-0j -3.89846e-05-0j -0.0705577-0j -1.60803e-05-0j 0.000340098-0j -0.0101197-0j -0.00575495-0j 0.000208267-0j -0.0823174-0j -0.00102634-0j 0.000297586-0j -0.0504089-0j -0.0118063-0j 8.13746e-07-0j 0.000122748-0j -0.00722985-0j -0.0067141-0j -0.0720277-0j -0.00411153-0j -0.0011974-0j -0.0103305-0j -0.0297099-0j -0.00587484-0j -0.000733256-0j 9.4937e-07-0j -0.00426112-0j -0.00104773-0j 5.81368e-07-0j -0.00242325-0j 8.30699e-07-0j -0.000432165-0j 3.42646e-07-0j 
-6.12839e-05-0j 0.0126456-0j -6.28e-06-0j -2.49626e-05-0j -2.52213e-05-0j 0.00128255-0j -3.67734e-07-0j 0.00129584-0j -3.71545e-07-0j -1.75407e-05-0j -2.17055e-05-0j -2.92345e-06-0j -1.26615e-05-0j -0.10047-0j 0.00010621-0j -3.61758e-06-0j -0.124325-0j -2.15332e-08-0j -2.11026e-06-0j 0.000131428-0j -0.0725232-0j -2.6646e-08-0j 7.66662e-05-0j -1.55435e-08-0j -1.35019e-05-0j -1.57522e-05-0j -2.17885e-06-0j -9.6462e-06-0j -1.37832e-05-0j 0.00051706-0j -5.68526e-06-0j -2.542e-06-0j -2.5678e-07-0j -0.0124801-0j -1.55665e-06-0j 0.000603236-0j 7.61701e-06-0j -2.22425e-06-0j 0.000369405-0j -2.99577e-07-0j -1.1962e-09-0j -9.17455e-07-0j -1.83453e-07-0j -0.0145601-0j 0.000527832-0j -0.00891622-0j 8.88651e-06-0j -2.6213e-07-0j 0.00021772-0j -0.0127401-0j 5.44185e-06-0j -1.39557e-09-0j -1.08123e-07-0j 7.7757e-06-0j -8.5461e-10-0j -0.00525503-0j -1.22113e-09-0j 3.20731e-06-0j -5.03689e-10-0j 
-0.00207871-0j 1.02552e-05-0j 0.0202937-0j -0.000857498-0j -0.000866385-0j -0.00014968-0j -0.0550058-0j -0.000151231-0j -0.0555759-0j 4.13438e-06-0j 5.11604e-06-0j 0.0144518-0j 2.98435e-06-0j 4.21964e-07-0j 0.00118088-0j 0.0178832-0j 5.22153e-07-0j -0.0133042-0j 0.0104319-0j 0.00146127-0j 3.04589e-07-0j -0.0164631-0j 0.000852406-0j -0.0096035-0j 3.18242e-06-0j 3.71282e-06-0j -7.39053e-05-0j 2.27363e-06-0j 3.24872e-06-0j -6.11118e-05-0j 1.34003e-06-0j -8.62229e-05-0j -0.120932-0j -7.54293e-06-0j -5.28005e-05-0j -7.12971e-05-0j -0.00392013-0j -7.5445e-05-0j -4.36604e-05-0j -0.141088-0j -0.00186721-0j -3.11195e-05-0j -0.0863981-0j -8.80008e-06-0j -6.2385e-05-0j -5.38893e-06-0j -0.00457349-0j -0.123452-0j -2.57325e-05-0j -7.70007e-06-0j -0.00280068-0j -0.00217841-0j -0.0509212-0j -0.0040018-0j -0.001334-0j -3.17612e-06-0j -0.00190611-0j -0.00165066-0j -0.000786229-0j 
-0.00146476-0j -0.00210397-0j 0.00702427-0j 6.24066e-06-0j 6.30533e-06-0j 0.0204012-0j 0.00126041-0j 0.0206126-0j 0.00127347-0j 4.38517e-06-0j 5.42638e-06-0j -6.98742e-05-0j 3.16539e-06-0j 0.00828579-0j -0.0790618-0j -8.64649e-05-0j 0.0102531-0j 0.000148645-0j -5.04378e-05-0j -0.097834-0j 0.005981-0j 0.000183939-0j -0.0570698-0j 0.000107298-0j 3.37547e-06-0j 3.93804e-06-0j -5.20774e-05-0j 2.41155e-06-0j 3.44579e-06-0j -8.60284e-05-0j 1.42131e-06-0j -6.07569e-05-0j 0.000287213-0j -0.0984003-0j -3.72059e-05-0j -0.000100366-0j -0.0173749-0j -5.31623e-05-0j -6.14616e-05-0j 0.000335082-0j 1.38104e-05-0j -2.19283e-05-0j 0.000205195-0j -0.1148-0j -8.78206e-05-0j -0.0703006-0j -0.0202707-0j 0.000293196-0j -3.62242e-05-0j -0.10045-0j -0.0124132-0j 1.61121e-05-0j 0.000120937-0j -0.0177369-0j 9.86662e-06-0j -0.0414336-0j 1.40981e-05-0j -0.0073161-0j 5.81517e-06-0j 
0.000245404-0j 8.72121e-05-0j -0.00361259-0j -5.20055e-07-0j -5.25444e-07-0j -0.00170016-0j 0.0200821-0j -0.00171778-0j 0.0202902-0j -3.65431e-07-0j -4.52198e-07-0j 1.17066e-05-0j -2.63782e-07-0j 7.21422e-06-0j 0.0202257-0j 1.44862e-05-0j 8.92714e-06-0j -0.0538299-0j 8.45027e-06-0j 0.025028-0j 5.2075e-06-0j -0.0666111-0j 0.0145997-0j -0.0388565-0j -2.81289e-07-0j -3.2817e-07-0j 8.72496e-06-0j -2.00962e-07-0j -2.87149e-07-0j 3.56598e-06-0j -1.18443e-07-0j 1.01791e-05-0j -0.000147714-0j -0.000172245-0j 6.23341e-06-0j 4.16031e-06-0j -0.137702-0j 8.90672e-06-0j 2.54766e-06-0j -0.000172333-0j -0.0156118-0j 3.67384e-06-0j -0.000105532-0j -0.000200953-0j 3.64028e-06-0j -0.000123058-0j -0.160652-0j -0.000150791-0j 1.50154e-06-0j -0.000175834-0j -0.0983789-0j -0.0182138-0j -6.21983e-05-0j -0.140571-0j -0.0111536-0j -7.25276e-05-0j -0.0159371-0j -0.0579824-0j -0.00657371-0j 
-1.37423e-05-0j 3.3781e-08-0j 0.00033846-0j 1.93813e-08-0j 1.95822e-08-0j -9.89528e-07-0j -0.00380146-0j -9.99783e-07-0j -0.00384085-0j 1.36188e-08-0j 1.68524e-08-0j -6.55554e-07-0j 9.83058e-09-0j 1.38996e-09-0j 1.96949e-05-0j -8.11206e-07-0j 1.71999e-09-0j 0.0318657-0j -4.73204e-07-0j 2.43712e-05-0j 1.00333e-09-0j 0.0394318-0j 1.42165e-05-0j 0.0230019-0j 1.0483e-08-0j 1.22302e-08-0j -4.88586e-07-0j 7.48943e-09-0j 1.07014e-08-0j 1.38126e-09-0j 4.41411e-09-0j -5.70017e-07-0j 1.38392e-05-0j -4.98661e-08-0j -3.49062e-07-0j 1.61147e-09-0j -0.000270921-0j -4.98765e-07-0j 9.86819e-10-0j 1.61457e-05-0j -0.16685-0j -2.0573e-07-0j 9.88719e-06-0j -5.81771e-08-0j 1.41003e-09-0j -3.5626e-08-0j -0.000316074-0j 1.41275e-05-0j 5.8161e-10-0j -5.09049e-08-0j -0.000193555-0j -0.194658-0j 5.8273e-06-0j -0.000276565-0j -0.119203-0j -2.09972e-08-0j -0.170326-0j -0.000114077-0j -0.0702558-0j 
