-0.0394149-0.0340154j -0.0783492+0.00375221j 0.0521342-0.0140339j -0.0108122-8.65167e-05j -0.00728548+0.00883539j 0.00208379-0.00911422j 0.00777873+0.00339993j -0.00670064-0.00239584j 
0.00717355+0.1146j -0.00376072-0.0285291j 0.0450571+0.0226691j -0.00297151-0.0158893j -0.013614-0.023457j -0.0322852+0.0028728j -0.0205863-0.0131771j 0.0252318-0.00406382j 
-0.0731083+0.0141688j 0.0114847-0.00407138j -0.0334896+0.024592j -0.0586492+0.0264837j -0.0131238+0.00801892j -0.0201337+0.0540634j -0.0155101+0.0168783j 0.0107784-0.0308604j 
-0.0304384+0.0849319j -0.00526805-0.0839971j -0.0197577-0.0527992j 0.030341-0.0210174j -0.0121312-0.0151098j 0.0159503+0.0386025j -0.00735811-0.0161877j -0.0304992-0.0318328j 
0.0724135+0.00571805j -0.0587873-0.0585054j -0.0419533-0.0727961j 0.0192854+0.0177952j -0.0235972+0.0243156j -0.00115193-0.0791109j 0.00683398+0.039075j -0.00302668-0.0313614j 
-0.110136-0.0426581j 0.0556592-0.0252216j -0.0146906-0.0531404j -0.0330144-0.0253415j 0.00222831+0.00658231j 0.00461992-0.0341246j -0.0182584+0.00312441j -0.0127661-0.0149917j 
0.00518951-0.0521881j 0.0743608+0.00732981j 0.0955958-0.0406495j 0.0130565-0.0567196j 0.0162716-0.0188431j 0.00052797+0.0416785j -0.01118-0.0341797j -0.0202431+0.00122494j 
-0.0431588+0.0479056j 0.088345-0.0359515j 0.0835706-0.0172658j -0.0372007+0.0584559j 0.0259818+0.0205776j -0.0043587-0.0812838j -0.00380437+0.0464603j -0.0172047-0.000560382j 
-0.00517491+0.0312541j -0.00804903-0.085108j -0.0118195-0.0816307j -0.00863113+0.0495786j 0.017548-0.0603843j 0.00689276+0.0496478j 0.0140666-0.00398851j 0.0272725+0.0926395j 
