-0.131985-0.279143j -0.0833633+0.266179j -0.0463415-0.122603j -0.015011+0.0184816j -0.0170137-0.0129263j -0.0153364-0.00754003j -0.0364423+0.034293j -0.00273378-0.0141348j -0.0269064+0.0261589j 0.00165401+0.0202566j -0.0156805+0.0114039j 0.0138584-0.00725051j 0.00188437-0.0282228j -0.000350682-0.000768782j -0.00876707+0.0347291j 
0.493895-0.181001j -0.0784666-0.0333709j 0.0864803+0.0119382j 0.0119935+0.0384373j -0.046054+0.0210241j 0.0399133+0.0309924j -0.0262077-0.00233732j 0.0113254-0.0118112j -0.0371576+0.0335853j 0.0328719+0.0212901j -0.00672101-0.00282512j -0.00889453-0.0051914j 0.0297187-0.0292558j -0.000641435+0.000942647j -0.0266326+0.00263864j 
0.0694633+0.17516j -0.0593614+0.0715897j 0.0606229-0.0318034j -0.00151737-0.0352328j -0.0933297-0.00808124j -0.0429823-0.012339j 0.0002679-0.0139748j -0.00600866+0.0329683j 0.0422337-0.0243759j -0.00981596-0.0251483j 0.0370809+0.0106779j -0.0399068+0.0025615j 0.0137014+0.0132366j 0.0162392-0.0166348j -0.00620558-0.00830217j 
0.163243+0.573763j -0.0328474+0.103j 0.00213051-0.00850072j -0.0172762+0.0254247j 0.0218234-0.0365975j 0.0156355+0.0104266j -0.0166737+0.0105584j 0.019767-0.0258819j -0.00498128-0.00232727j 0.0305094-0.0212085j -0.025185-0.00316056j 0.0127415+0.0346643j -0.0251914-0.0134004j -0.00214762-0.0103735j -0.00173983-0.00804144j 
0.445743-0.0708589j 0.114435+0.101283j -0.084075-0.0557139j 0.00387216-0.0500456j 3.63676e-05+0.0108663j -0.00993248-0.0480926j -0.0186739+0.0132982j -0.0119385+0.0253859j 0.00954966+0.0101111j 0.01614+0.0133464j 0.00984889-0.000573181j -0.0423011-0.00863739j 0.0225068-0.0202128j 0.0235835-1.19954e-05j 0.00788368+0.0187415j 
-0.0591813+0.20672j 0.0185954+0.306052j -0.107652-0.113176j 0.0352588-0.0278359j -0.0265213+0.0540488j 0.030274-0.00383667j -0.0237079+0.0346645j -0.0312616-0.0189067j 0.00892266-0.0315864j 0.0110309+0.000153689j -0.0107398+0.0132021j 0.00735468+0.0045662j -0.0023723-0.0164623j 0.00752392-0.0112124j -1.40489e-05+0.0277797j 
0.184744-0.0506968j 0.336095+0.0210601j -0.140761-0.00489106j 0.00662618-0.0296309j 0.0426762-0.0303294j -0.0311281+0.0632616j 0.0503694+0.0374773j 0.0117585-0.0116672j 0.0335046+0.0126384j -0.00232739+0.00241467j -0.0237097-0.000956206j 0.00451501+0.0192431j 0.00996614+0.00255826j 0.010388+0.0260175j 0.0390132+0.0259812j 
-0.0211219-0.0652834j -0.130954+0.171288j 0.0595341-0.10707j -0.0477995-0.0952809j -0.0422508-0.054951j 0.0784699+0.070096j -0.0643868-0.0220674j -0.00333989+0.0445786j -0.0277373+0.0348j -0.000386727-0.0331339j 0.00833557+0.028151j 0.00465213+0.0127771j 0.0198712-0.0252648j -0.00137868+0.0175433j -0.0559934+0.009413j 
0.0817152+0.0898691j -0.300738+0.0224776j 0.244766+0.0126496j 0.00297792-0.0279112j 0.00177022-0.0090014j 0.0103959+0.0394389j 0.00319687+0.0230982j -0.0138727-0.00479818j -0.0438813+0.0196868j -0.0299341-0.0152893j 0.0339872+0.0058223j -0.00381908+0.0169326j 0.0076358-0.0179747j -0.00529117+0.00782922j 0.00939354+0.00666003j 
0.0388554+0.0121184j 0.141152+0.161341j 0.0178218-0.171917j -0.040477+0.086304j 0.00112133+0.0207235j 0.0103669-0.0627293j 0.049215-0.0629381j 0.0495478-0.00625531j -0.0058126-0.00489174j 0.0278391-0.0266528j -0.019837+0.0247346j 0.0112257-0.0218153j 0.0206928-0.0255787j -0.00505686-0.024919j -0.0106228+0.0238941j 
0.0970598-0.0790269j -0.336846+0.00797394j 0.155653+0.00148529j 0.0068725+0.0487387j -0.0452951+0.0312176j 0.0265223-0.0383295j -0.0538587-0.00887746j -0.00524122-0.00882559j -0.0426262+0.0123354j 0.0181475+0.00954912j 0.0130412-0.0056637j -0.0075444-0.00622251j -0.0061125-0.0237964j -0.0085952-0.0217526j -0.0321281-0.0142462j 
-0.0239783-0.080584j -0.00445412+0.392747j 0.0594334-0.204231j 0.0126822+0.0138461j 0.043446+0.0476627j -0.0485697-0.0514058j 0.0647202+0.0514874j -0.00719118-0.0292855j -0.0237506+0.00993398j -0.0145748+0.00523987j 0.0131397+0.022984j -0.0121335-0.0111229j 0.0234666-0.0530132j 0.0134309-0.00747603j 0.0638282+0.0757309j 
