0.0228912-0.00257305j -0.0178017+0.0460655j 0.00500295+0.0388191j 0.0121693-0.00336175j -0.0122585-0.029834j 0.0111046+0.0510462j -0.0132878-0.0153024j 
-0.0449317-0.0581589j 0.0334895+0.0241147j -0.00268659-0.0163709j -0.00854504+0.0183253j 0.0614381-0.024532j -0.00511119-0.00244304j 0.0201302-0.013483j 
-0.0136876-0.0132614j -0.0224747-0.0154733j 0.0779737+0.0193031j -0.0183705-0.00198545j -0.0256211-0.00589607j -0.0412798+0.00379475j 0.0289044-0.0125831j 
0.0269989-0.0604201j 0.00826591+0.0167574j -0.0224342-0.0438252j 0.0409363+0.0311806j -0.0327955-0.00311807j -0.0213792-0.0162719j -0.0205459-0.00390902j 
0.0586647+0.0134544j -0.0185021+0.0410017j 0.036298-0.039449j -0.0322772+0.0336192j 0.0093144+0.0132778j 0.0269939-0.00899759j 0.0267384+0.00520108j 
0.0281811-0.0126575j -0.028793-0.0262222j 0.053222+0.00906536j -0.0229699+0.00445811j -0.00952398-0.0224549j -0.0157319-0.0137003j -0.035062-0.00637244j 
0.024945-0.00663584j 0.0149826-0.0142712j -0.0129094+0.0235961j -0.0301371-0.0133929j 0.0702682-0.00490285j 0.0359489-0.015605j -0.042102-0.0132128j 
0.024611-0.00457742j 0.0338604+0.00473944j -0.00993271+0.0189701j 0.0163064+0.0331183j -0.00684084-0.0460857j -0.00691006-0.050243j 0.0564812-0.0120964j 
-0.00372711+0.00450165j -0.0260318+0.0201064j -0.00666311-0.0123283j -0.0254353+0.034264j 0.0160156-0.0490958j 0.0245998-0.0171909j -0.0137965+0.0816327j 
