0.0261889-0j -0.0470629-0j -0.085473-0j 0.00717214-0j -0.0404002-0j 0.161908-0j -0.053822-0j -0.0199704-0j 0.228868-0j 0.0626913-0j -0.00147833-0j 0.00484483-0j -0.00858464-0j -0.0152759-0j -0.00722043-0j 0.00175521-0j 0.0280177-0j -0.002351-0j -0.00345582-0j -0.00994328-0j 0.0248401-0j 0.0176426-0j -0.00128738-0j 0.0195773-0j 0.00336114-0j -6.21292e-05-0j 
-0.016735-0j 0.0300737-0j 0.0546181-0j -0.00458307-0j 0.0258161-0j -0.103461-0j 0.0343928-0j 0.0127613-0j -0.146249-0j -0.0400603-0j 0.000944665-0j 0.0249013-0j -0.044123-0j -0.0785147-0j -0.0371113-0j 0.00902134-0j 0.144005-0j -0.0120836-0j -0.0177621-0j -0.0511061-0j 0.127672-0j 0.090679-0j -0.00661682-0j 0.100623-0j 0.0172755-0j -0.00031933-0j 
-0.00717214-0j 0.0461196-0j -0.00294626-0j -0.00196417-0j -0.13069-0j 0.0199704-0j -0.00057054-0j 0.0941621-0j -0.0438348-0j 0.187917-0j 0.140321-0j -0.00132681-0j 0.00841258-0j -0.000526562-0j -0.0233572-0j -0.000480683-0j 0.00345582-0j 0.00230388-0j 0.0162945-0j -0.000161226-0j -0.010114-0j 0.000669216-0j 0.0306588-0j 0.00546534-0j 0.0228026-0j 0.00912377-0j 
0.00458307-0j -0.0294709-0j 0.00188269-0j 0.00125512-0j 0.0835123-0j -0.0127613-0j 0.000364581-0j -0.0601705-0j 0.0280109-0j -0.120081-0j -0.0896665-0j -0.00681949-0j 0.0432386-0j -0.0027064-0j -0.120051-0j -0.0024706-0j 0.0177621-0j 0.0118414-0j 0.0837498-0j -0.000828663-0j -0.0519835-0j 0.00343961-0j 0.157579-0j 0.0280905-0j 0.1172-0j 0.046894-0j 
0.0248636-0j 0.0129195-0j -0.173661-0j 0.00680918-0j -0.0823745-0j 0.00559431-0j 0.00197789-0j 0.00153207-0j 0.001625-0j 0.000445025-0j 5.45042e-05-0j 0.0253977-0j 0.0130125-0j 0.0100794-0j 0.00478108-0j -0.156444-0j -0.0908858-0j 0.00356361-0j -0.0248901-0j 0.00308617-0j 0.00207027-0j 0.00103513-0j 0.000400906-0j 0.000491007-0j 0.000104158-0j 1.07814e-05-0j 
-0.0317762-0j -0.0165114-0j 0.221942-0j -0.00870227-0j 0.105276-0j -0.00714964-0j -0.00252778-0j -0.00195801-0j -0.00207678-0j -0.00056875-0j -6.96574e-05-0j -0.00587844-0j -0.0030118-0j -0.00233293-0j -0.00110661-0j 0.0362099-0j 0.021036-0j -0.000824817-0j 0.00576095-0j -0.000714312-0j -0.000479175-0j -0.000239588-0j -9.27919e-05-0j -0.000113646-0j -2.4108e-05-0j -2.49542e-06-0j 
-0.0136184-0j 0.0244729-0j -0.00559431-0j 0.0966667-0j 0.0210083-0j -0.132035-0j -0.00108333-0j -0.129389-0j 0.0070464-0j 0.00410322-0j 0.000768737-0j -0.0139109-0j 0.024649-0j -0.00552072-0j 0.0207319-0j 0.0627926-0j 0.0101256-0j -0.174965-0j 0.00992265-0j 0.0210613-0j -0.111852-0j 0.00196081-0j -0.0460561-0j 0.00332816-0j 0.00121471-0j 0.000178391-0j 
-0.0194589-0j -0.0101111-0j 0.135911-0j -0.00532903-0j 0.0644682-0j -0.00437824-0j -0.00154794-0j -0.00119903-0j -0.00127176-0j -0.000348287-0j -4.26563e-05-0j -0.0198769-0j -0.0101839-0j -0.00788838-0j -0.00374179-0j 0.122437-0j 0.0711294-0j -0.00278896-0j 0.0194796-0j -0.00241531-0j -0.00162024-0j -0.000810121-0j -0.000313758-0j -0.000384274-0j -8.15168e-05-0j -8.43779e-06-0j 
-0.00833951-0j -0.00433334-0j 0.0578612-0j -0.00228387-0j -0.001625-0j 0.0316919-0j -0.283539-0j -0.000513871-0j -0.0682629-0j 0.00252108-0j -1.82813e-05-0j -0.00851865-0j -0.00436451-0j 0.0571-0j -0.00160362-0j -0.00308617-0j 0.0302819-0j -0.00119527-0j -0.000491007-0j -0.129644-0j 0.0117281-0j -0.148391-0j -0.000134468-0j -0.0206262-0j 0.00059006-0j -3.6162e-06-0j 
0.0304579-0j 0.0158264-0j -0.212734-0j 0.00834125-0j -0.100909-0j 0.00685303-0j 0.00242291-0j 0.00187678-0j 0.00199063-0j 0.000545156-0j 6.67676e-05-0j -0.0198431-0j -0.0101665-0j -0.00787497-0j -0.00373543-0j 0.122229-0j 0.0710085-0j -0.00278422-0j 0.0194465-0j -0.00241121-0j -0.00161749-0j -0.000808743-0j -0.000313225-0j -0.000383621-0j -8.13782e-05-0j -8.42345e-06-0j 
