0.402865-0.0370432j -0.0685681-0.00494227j 0.0185752+0.00378191j 0.0165245-0.000993897j -0.235353-0.0060371j -0.481709-0.00802751j -0.134132+0.0154774j -0.0240251-0.0103462j -0.0174332-0.0102301j 0.00856753-0.0032021j 0.0202765+0.00662699j 0.000336359+0.00139533j 
-0.0685681-0.00494227j 0.686991-0.0157836j 0.0535115+0.00241086j 0.113809+0.00746239j 0.0846015-0.00401264j 0.0446746-0.010232j -0.451555-0.0101705j -0.144923+0.0107489j 0.0561396-0.00401103j -0.03443-0.00755596j 0.00702436+0.010841j 0.0125449+0.013261j 
0.0185752+0.00378191j 0.0535115+0.00241086j 0.937278-0.00187628j -0.00136009-0.00151247j -0.0260968-0.00198965j 0.0046358+0.00154695j 0.0185072+0.00449056j 0.238544+0.00157542j 0.0569361-0.00373058j 0.0725248-0.0036232j 0.0236061-0.00248375j 0.000131192-0.00859936j 
0.0165245-0.000993897j 0.113809+0.00746239j -0.00136009-0.00151247j 0.951091-0.00572559j -0.0354612-0.00160438j 0.00427244+0.00475212j 0.147564+0.00531285j -0.00737665-0.00624562j -0.132984-0.00866276j 0.0964303+0.00308395j 0.0891646-0.00117886j 0.00465767-0.0153239j 
-0.235353-0.0060371j 0.0846015-0.00401264j -0.0260968-0.00198965j -0.0354612-0.00160438j 0.859594+0.000123196j -0.200672+0.0145511j 0.0770582+0.00188243j 0.107514+0.00370584j -0.11624-0.00367793j -0.0589725-0.0144504j 0.059057+0.0112427j 0.0506567-0.0216064j 
-0.481709-0.00802751j 0.0446746-0.010232j 0.0046358+0.00154695j 0.00427244+0.00475212j -0.200672+0.0145511j 0.56916+0.0187532j 0.0621066-0.00197827j -0.029129+0.00745308j 0.101372+0.0121033j 0.00446461+0.00648494j -0.0619534-0.0160961j -0.019948+0.00961318j 
-0.134132+0.0154774j -0.451555-0.0101705j 0.0185072+0.00449056j 0.147564+0.00531285j 0.0770582+0.00188243j 0.0621066-0.00197827j 0.276729+0.0131293j 0.0874053-0.00243257j -0.0424813-0.0027419j 0.0201171+0.00278561j -0.0194372-0.00710724j -0.00999447-0.0135539j 
-0.0240251-0.0103462j -0.144923+0.0107489j 0.238544+0.00157542j -0.00737665-0.00624562j 0.107514+0.00370584j -0.029129+0.00745308j 0.0874053-0.00243257j 0.0364837-0.000100998j -0.0167295+1.78989e-05j -0.00503281-0.0025952j -0.00661194+0.00194476j -0.00653178-0.00394553j 
-0.0174332-0.0102301j 0.0561396-0.00401103j 0.0569361-0.00373058j -0.132984-0.00866276j -0.11624-0.00367793j 0.101372+0.0121033j -0.0424813-0.0027419j -0.0167295+1.78989e-05j -0.000777841+0.00591633j -0.00893057+0.000792511j -0.00536974-0.00292946j 0.0077426+0.00696876j 
0.00856753-0.0032021j -0.03443-0.00755596j 0.0725248-0.0036232j 0.0964303+0.00308395j -0.0589725-0.0144504j 0.00446461+0.00648494j 0.0201171+0.00278561j -0.00503281-0.0025952j -0.00893057+0.000792511j -0.040767+0.000562927j -0.0204113-0.00133198j -0.0030028+0.00354319j 
0.0202765+0.00662699j 0.00702436+0.010841j 0.0236061-0.00248375j 0.0891646-0.00117886j 0.059057+0.0112427j -0.0619534-0.0160961j -0.0194372-0.00710724j -0.00661194+0.00194476j -0.00536974-0.00292946j -0.0204113-0.00133198j -0.0737384+0.00721159j -0.022547+0.000754374j 
0.000336359+0.00139533j 0.0125449+0.013261j 0.000131192-0.00859936j 0.00465767-0.0153239j 0.0506567-0.0216064j -0.019948+0.00961318j -0.00999447-0.0135539j -0.00653178-0.00394553j 0.0077426+0.00696876j -0.0030028+0.00354319j -0.022547+0.000754374j -0.101515+0.0148331j 
