0.882824-0.0147554j 0.027318+0.000512313j -0.00268557-0.00399496j -0.000718214-0.000125321j 0.00742242-0.000565209j -0.00676905-0.0109024j 0.00196135+0.00119342j -0.00265986-0.000386664j 0.00884734+0.00127558j 0.00357723-0.000210631j -0.00505639-3.98986e-17j 
0.027318+0.000512313j 0.901037-0.00579842j 0.0278267-0.000389137j -0.000817672-0.000611821j -0.0125404+0.00180523j 0.0144079+0.0191059j 0.0122144-0.00123102j 0.00318403+0.000201279j -0.0229702-0.00170181j 0.0186653+3.51282e-17j 0.00357723+0.000210631j 
-0.00268557-0.00399496j 0.0278267-0.000389137j 0.924271-0.00115295j 0.00512488-0.000390068j -0.0171973-0.000155849j -0.0111085-0.0116747j 0.00763107+0.00112979j 0.000626034-0.00139925j 0.0153702-5.17164e-17j -0.0229702+0.00170181j 0.00884734-0.00127558j 
-0.000718214-0.000125321j -0.000817672-0.000611821j 0.00512488-0.000390068j 0.96162-0.00186596j 0.000281916-0.00127152j 0.00356548+0.00395304j 0.00090841+0.0013102j -0.0130266+6.96181e-14j 0.000626034+0.00139925j 0.00318403-0.000201279j -0.00265986+0.000386664j 
0.00742242-0.000565209j -0.0125404+0.00180523j -0.0171973-0.000155849j 0.000281916-0.00127152j 0.96079-0.000868507j 0.00584405+0.0083879j 0.0315777+3.83265e-17j 0.00090841-0.0013102j 0.00763107-0.00112979j 0.0122144+0.00123102j 0.00196135-0.00119342j 
-0.00919186+0.00895506j 0.0155608-0.0181792j -0.00901296+0.013359j 0.00309388-0.0043321j 0.00693504-0.007511j 0.949731-5.55112e-17j -0.00584405+0.0083879j -0.00356548+0.00395304j 0.0111085-0.0116747j -0.0144079+0.0191059j 0.00676905-0.0109024j 
0.00196135+0.00119342j 0.0122144-0.00123102j 0.00763107+0.00112979j 0.00090841+0.0013102j 0.0315777-1.13136e-16j -0.00693504-0.007511j 0.96079+0.000868507j 0.000281916+0.00127152j -0.0171973+0.000155849j -0.0125404-0.00180523j 0.00742242+0.000565209j 
-0.00265986-0.000386664j 0.00318403+0.000201279j 0.000626034-0.00139925j -0.0130266-6.96338e-14j 0.00090841-0.0013102j -0.00309388-0.0043321j 0.000281916+0.00127152j 0.96162+0.00186596j 0.00512488+0.000390068j -0.000817672+0.000611821j -0.000718214+0.000125321j 
0.00884734+0.00127558j -0.0229702-0.00170181j 0.0153702+5.17164e-17j 0.000626034+0.00139925j 0.00763107-0.00112979j 0.00901296+0.013359j -0.0171973+0.000155849j 0.00512488+0.000390068j 0.924271+0.00115295j 0.0278267+0.000389137j -0.00268557+0.00399496j 
0.00357723-0.000210631j 0.0186653-4.46691e-17j -0.0229702+0.00170181j 0.00318403-0.000201279j 0.0122144+0.00123102j -0.0155608-0.0181792j -0.0125404-0.00180523j -0.000817672+0.000611821j 0.0278267+0.000389137j 0.901037+0.00579842j 0.027318-0.000512313j 
-0.00505639+6.67869e-17j 0.00357723+0.000210631j 0.00884734-0.00127558j -0.00265986+0.000386664j 0.00196135-0.00119342j 0.00919186+0.00895506j 0.00742242+0.000565209j -0.000718214+0.000125321j -0.00268557+0.00399496j 0.027318-0.000512313j 0.882824+0.0147554j 
