-0.0397625-0.0591108j 0.0906818+0.164536j 0.1161-0.0875452j -0.0585948+0.0484181j -0.00600988-0.0984394j 0.0462246-0.0422499j -0.0384202+0.0199635j 0.0119665-0.0501911j -0.00542679+0.0256058j 
0.0906818+0.164536j -0.186534-0.515664j -0.40956+0.160366j 0.0724483-0.126691j 0.0958223-0.0374219j -0.146192+0.0258744j 0.00198687+0.0415966j -0.0980869-0.0435303j 0.000149747+0.00566508j 
0.1161-0.0875452j -0.40956+0.160366j 0.192983+0.399241j 0.148169-0.191554j 0.0763408+0.104728j -0.108514-0.0833746j -0.0511887-0.0128558j 0.0452673-0.0885874j 0.105497-0.0306925j 
-0.0585948+0.0484181j 0.0724483-0.126691j 0.148169-0.191554j -0.0774681-0.588067j 0.253763-0.0206368j -0.313727+0.0334852j -0.0754779-0.00445521j -0.181997+0.00561446j -0.0338816-0.0315502j 
-0.00600988-0.0984394j 0.0958223-0.0374219j 0.0763408+0.104728j 0.253763-0.0206368j -0.0472739-0.464223j 0.267194-0.323578j -0.180973-0.172267j -0.336137-0.055468j -0.126152+0.0524455j 
0.0462246-0.0422499j -0.146192+0.0258744j -0.108514-0.0833746j -0.313727+0.0334852j 0.267194-0.323578j 0.050083-0.121521j -0.359998+0.0422443j 0.198694-0.157789j 0.0153682+0.0111454j 
-0.0384202+0.0199635j 0.00198687+0.0415966j -0.0511887-0.0128558j -0.0754779-0.00445521j -0.180973-0.172267j -0.359998+0.0422443j 0.113332+0.296475j -0.220614-0.350666j 0.311992+0.0597906j 
0.0119665-0.0501911j -0.0980869-0.0435303j 0.0452673-0.0885874j -0.181997+0.00561446j -0.336137-0.055468j 0.198694-0.157789j -0.220614-0.350666j -0.0941317+0.345125j 0.356974+0.0309486j 
-0.00542679+0.0256058j 0.000149747+0.00566508j 0.105497-0.0306925j -0.0338816-0.0315502j -0.126152+0.0524455j 0.0153682+0.0111454j 0.311992+0.0597906j 0.356974+0.0309486j -0.0688624+0.707745j 
