-0.0523755-0.736466j -0.465961+0.0292842j -0.0762897-0.0157247j -0.0460292-0.00269983j -0.0513257+0.0690343j 0.00525981+0.140209j 0.0161082+0.00403792j -0.0750878+0.000447966j 
-0.465961+0.0292842j -0.143944-0.0201817j 0.454155-0.124642j -0.164123+0.0797553j 0.0984372-0.125473j 0.134277+0.0357332j -0.116682+0.0212578j -0.0364456-0.0170575j 
-0.0762897-0.0157247j 0.454155-0.124642j 0.221691+0.677659j -0.0425593+0.0205834j -0.0788355+0.169575j 0.000252716+0.0286657j 0.0672702+0.0645362j -0.0429277-0.0079481j 
-0.0460292-0.00269983j -0.164123+0.0797553j -0.0425593+0.0205834j 0.0389398-0.713715j 0.383083-0.0383275j -0.0502913-0.20406j -0.110107-0.0319591j 0.106792-0.0022228j 
-0.0513257+0.0690343j 0.0984372-0.125473j -0.0788355+0.169575j 0.383083-0.0383275j 0.00661206-0.224328j 0.261004+0.0913055j -0.45717+0.013897j -0.0790066+0.00463676j 
0.00525981+0.140209j 0.134277+0.0357332j 0.000252716+0.0286657j -0.0502913-0.20406j 0.261004+0.0913055j -0.28413+0.000376582j 0.265122-0.0953616j -0.0576111+0.250987j 
0.0161082+0.00403792j -0.116682+0.0212578j 0.0672702+0.0645362j -0.110107-0.0319591j -0.45717+0.013897j 0.265122-0.0953616j 0.0940379+0.294151j 0.357285+0.0649249j 
-0.0750878+0.000447966j -0.0364456-0.0170575j -0.0429277-0.0079481j 0.106792-0.0022228j -0.0790066+0.00463676j -0.0576111+0.250987j 0.357285+0.0649249j 0.0258482+0.722504j 
