0.905108-0.0113274j -0.0276933-0.000805952j -0.00423214-0.00284436j -0.0103548+0.000171725j -0.0109336-0.00157038j 0.00296305+0.000445974j -0.00464078-1.04083e-17j 
-0.0276933-0.000805952j 0.924775-0.00340605j -0.0220271-5.51566e-05j -0.0229597+0.000774511j -0.0180437-0.00157975j 0.0297551+1.88651e-17j 0.00296305-0.000445974j 
-0.00423214-0.00284436j -0.0220271-5.51566e-05j 0.94976-0.000280512j 0.0103587+0.000449989j -0.0192775+4.62683e-17j 0.0180437-0.00157975j 0.0109336-0.00157038j 
-0.0103548+0.000171725j -0.0229597+0.000774511j 0.0103587+0.000449989j 0.965788+2.92386e-18j 0.0103587-0.000449989j 0.0229597+0.000774511j 0.0103548+0.000171725j 
-0.0109336-0.00157038j -0.0180437-0.00157975j -0.0192775-3.65376e-17j 0.0103587-0.000449989j 0.94976+0.000280512j 0.0220271-5.51566e-05j 0.00423214-0.00284436j 
0.00296305+0.000445974j 0.0297551-3.77302e-17j 0.0180437-0.00157975j 0.0229597+0.000774511j 0.0220271-5.51566e-05j 0.924775+0.00340605j -0.0276933+0.000805952j 
-0.00464078+1.12757e-17j 0.00296305-0.000445974j 0.0109336-0.00157038j 0.0103548+0.000171725j 0.00423214-0.00284436j -0.0276933+0.000805952j 0.905108+0.0113274j 
