0.0604406-0.0548188j -0.0492096-0.0592676j -0.00137215-0.0040427j 0.00950406+0.010868j -0.0185056+0.0208852j 0.0152244+0.0175681j 0.0098384-0.012922j -0.018071-0.0068078j -0.00382234-0.0112286j 0.00454692-0.00728766j -0.00839932+0.00809374j -0.00562721-0.00274641j 0.000396388-0.00638524j -0.00326524+0.000143477j -0.00607938+0.000491375j 0.00456786+0.00555171j -0.00105872+0.00442738j 8.51773e-05-0.0135661j 0.00722676+0.0110999j 0.000954209-0.00514315j 0.00960117+0.00782411j -0.0214576+0.00770528j 0.00890242+0.0185335j -0.00641964+0.0044857j 0.0103813-0.0116478j 0.0217532+0.00278121j -0.0082199+0.0143944j -0.00233116-0.0200267j 0.000764023-0.00139186j 0.0233156+0.00803176j -0.0172369-0.00671079j 0.00780532+0.0091585j -0.0145554-0.00971013j -0.000362779+0.00342738j 0.00202784+0.00781284j -0.0130802-0.00765766j -0.00915403-0.0138012j 0.00207277-0.00531969j -0.0173904+0.00500522j -0.00622075-0.0131491j -0.00486903+0.0236069j 0.00504838+0.00953681j -0.00952377-0.00227825j -0.0124102+0.0162444j 0.0143236-0.00290758j -0.0174978-0.0211791j 0.00450997-0.00208364j -0.0132918+0.0148499j -0.00555815+0.00792998j 0.0021361-0.00474677j -0.00236312-0.0216566j -0.00577238+0.00275012j -0.0136294-0.00414371j 0.00719517+0.0102041j 0.00420235-0.00134238j 0.00911947+0.0079973j 0.00728194+0.0160069j 0.00123797-0.0136235j 0.0107812+0.00618307j 0.000815397+0.000274547j 0.00204376+0.00407086j 0.00641746+0.0149132j -0.00115233+0.00672894j -0.00261988+0.00209596j 0.00947068+0.0088293j -0.00545397+0.00555421j -0.00173789+0.00021945j -0.0197477+0.00707541j 0.00744074-0.00736991j -0.00312257+0.000440584j 0.00879877+0.0102632j 0.00821638+0.0108953j 0.0104369-0.00369726j -0.00450588-0.00492706j -0.00159292-0.00619973j 0.00217184+0.0188939j 0.00929121-0.0150488j 0.0120609-0.013043j 0.00919092+0.011222j -0.0060992+0.00885997j 0.0178073+0.0174907j -0.00464619+0.00179634j -0.00218524+0.00244194j 0.0133262-0.0407997j -0.0143731+0.0017126j 0.0113296+0.00747584j 0.0319497+0.0172967j -0.0166175+0.0234818j -0.0269056+0.0112165j 0.00443135+0.018695j 0.0186954+0.000484766j 0.00624974-0.0271819j -0.0224891-0.00854306j 0.0598876-0.0659129j 0.0650986+0.0632292j 
0.0302392-0.0126141j -0.0104295-0.0313029j -0.000151414+0.00512104j 0.0138104+0.00173393j 0.0103412+0.0154624j 0.01336-0.0106082j -0.00857444-0.00528277j -0.00479653-0.000608438j 0.00304872+0.00951618j 0.00409753-0.000310057j -0.00125233-0.00122259j 0.00327675+0.00399609j 1.60054e-05+0.00356635j 0.00606504+0.000214512j -0.00387253+0.00116239j -0.00312066-0.00117429j -0.00715061+0.00262944j -0.00636574+0.000949415j 0.00292237-0.00605817j -0.00279968+0.00822837j 0.00776092-0.00543515j 0.00223331+0.00455997j -0.00168642-0.0158184j 0.0126264-0.0110837j -0.00996261-0.0106969j 0.00527048-0.00542706j -0.00334516-0.000607994j 0.00261447-0.0018656j -0.000718458+0.00334037j -0.00182138+0.00468425j 0.00345244-8.18292e-05j -0.00188884-0.00165684j 0.00422715+0.0045047j 0.000192613-0.00111019j 0.00559238+0.00484968j -0.00559767+0.00108662j -0.00867602+0.000532978j 0.00323874+0.00299919j -0.0121888+0.00862855j -0.00115176-0.00313713j -0.000508876+0.00505421j -0.00933849+0.00868136j -0.00149621-0.00265322j -0.00119704+0.00235012j -0.0017201-0.00522684j -0.00839456-0.00892075j 0.0108515+0.00745085j 0.0028391+0.0154551j 0.0112785-0.0036149j -0.00390949-0.000683042j -0.0131775-0.0169528j -0.00663803+0.0014161j 0.00433267-0.00129846j -0.00403855-0.00706449j -0.00276283-0.00300807j 0.00414714+0.00412882j 0.0056904-7.08279e-05j -0.00451556+0.00304773j -0.000997319+0.00883292j 0.00294113+0.00885949j -0.0044247+0.00380816j -0.00504515-0.0123004j 0.00233255+0.00508217j -0.00393206+0.00731226j 0.00435705-0.000335079j -0.00640074+0.00570246j 0.00891203+0.00884072j -0.00775239+0.00562252j 0.00632127-0.0102001j -0.00980017+0.00774952j 0.00275152+0.00317759j -0.000287547+0.0048273j 0.00672312+0.0120904j -0.00734373+0.000238038j 0.00574902-0.00975176j -0.00343766-0.00828496j 0.0158833-0.012864j -0.0113704-0.00142147j 0.00456637-0.00102972j -0.00711966-0.0100266j 0.0120617+0.00381828j -0.00884555-0.00890347j 0.0157182-0.00623037j 0.0029386-0.0143848j -0.000276839+0.0110011j -0.0109356+0.00444402j 0.0247257+0.0128473j -0.0107517+0.0120014j -0.00350961+0.0133315j 0.0278824-0.0159008j -0.0138187-0.0323153j -0.0135944+0.0131313j 0.00676193+0.0079259j 0.00850726+0.00760706j -0.011363+0.010144j 
-0.134341+0.0717902j 0.0627808+0.129778j -0.142051+0.0462943j 0.0401396+0.167321j -0.100647-0.00729816j -0.030373+0.0429474j -0.105021+0.0737605j -0.034015+0.0217459j 0.075554+0.0519581j 0.0468284-0.0077286j 0.00894519+0.00984264j -0.0538857+0.0291523j 0.0346259+0.0294432j 0.0143572+0.0133726j -0.0221991+0.0329862j -0.0512259-0.0432701j -0.0190333-0.0111829j -0.0574586+0.0344551j -0.0701961-0.0322845j 0.0223676+0.0196146j -0.0188354+0.0617796j -0.0122177-0.0404045j 0.0586227-0.00107029j 0.00352052-0.0470073j -0.110925-0.0378101j -0.141264+0.0295229j -0.0906191-0.258136j 0.0435585-0.0771123j -0.037333+0.0569323j -0.210882+0.0798813j 0.048374-0.0066454j -0.145219+0.000122542j 0.133583+0.191498j 0.0368759-0.187183j -0.0431385-0.0314844j 0.0527781+0.114368j 0.0577481+0.0642025j -0.00347167-0.0301906j 0.125285-0.00213905j 0.0338643+0.0734718j -0.00158592-0.14772j 0.127724-0.0810787j 0.0280814-0.0537831j 0.0911985-0.231998j -0.0550179+0.110665j 0.0549417+0.0743572j -0.142992+0.0629861j 0.0994174-0.0415521j 0.117747-0.024242j 0.0716892+0.0563229j 0.0887963+0.155079j 0.284504-0.00409623j 0.0135273+0.0422887j 0.0205742-0.00286691j -0.0717493-0.130898j -0.0490426-0.0981036j -0.0252704+0.0279001j 0.0138491+0.0872703j -0.00741448-0.0346787j 0.0619236-0.137177j 0.0232349-0.12375j -0.0236833+0.0122809j 0.100583-0.0466233j 0.0374149-0.038029j -0.0432604-0.0134633j 0.0849075+0.00489434j -0.0289818-0.0050467j 0.0829401+0.0430829j -0.0284179-0.0156541j 0.00770021-0.0037216j 0.0332699-0.0717969j 0.00166062-0.00775646j -0.0427184-0.00517313j -0.0189041+0.027424j -0.0015659+0.00521626j 0.0343387+0.0055305j -0.0473302-0.0163446j 0.0324682-0.00528863j 0.0505696-0.0106817j -0.0179842+0.0269972j -0.0309574-0.0694365j 0.0685638+0.0142204j -0.0101762-0.0274539j 0.017096+0.0191045j 0.024343-0.0233685j 0.00353166+0.0202689j 0.0234072-0.0525382j 0.0517956+0.00185797j -0.0567491-0.044451j 0.0490137-0.00683818j -0.00697392-0.0480132j 0.0307082-0.07029j -0.068937-0.047001j -0.0542276+0.0847313j -0.0887486-0.0646739j 
0.0927622-0.0694696j -0.0558478-0.096692j -0.054756-0.0140163j 0.0153093+0.0875956j -0.070907+0.0227254j 0.0109667+0.0489022j -0.0126052-0.00500242j -0.0601497-0.0222663j 0.0376802-0.00859244j 0.0232698-0.020239j -0.0292333+0.012523j -0.0400379-0.00648075j 0.0224399-0.000322036j -0.00328075+0.00606332j -0.023341+0.0107424j -0.0100802+0.000938045j -0.0112557+0.00798119j -0.0124563-0.0307864j -0.00896198+0.0205062j 0.0123264-0.0057482j 0.0209381+0.0390746j -0.0648431-0.00209556j 0.0319313+0.0451269j -0.0153844-0.0196735j -0.0179283-0.0425733j -0.00673442+0.010888j -0.0580958-0.0686777j 0.00808253-0.0590229j -0.00251167+0.017891j -0.026447+0.0431667j -0.00726653-0.0198168j -0.024588+0.0230995j 0.00269208+0.0384636j 0.0124586-0.0515317j -0.0104301+0.00211728j -0.012412+0.00633734j 0.0126915-0.0182556j -0.00201785-0.0275474j -0.00412971-0.00404651j 0.00326387-0.00816236j -0.0171443+0.0122058j 0.056751+0.00474136j -0.0192625-0.0430594j 0.019895-0.0457684j 0.0107081+0.03487j -0.0279526-0.0260151j -0.0319085+0.017365j 0.00200514-0.00956573j 0.022034+0.0152385j 0.0275109+0.0254814j 0.0298343+0.0111281j 0.0879356+0.00401115j -0.00798129-0.0120197j 0.0271051+0.0277108j -0.0180985-0.0515354j -0.00490552-0.000970385j 0.00932381+0.0657967j 0.00964054+0.00511489j 0.00718884+0.0173248j 0.0227794-0.0429092j 0.0102655-0.0370418j 0.0142153+0.0629512j 0.0317039+0.000711874j 0.00897252-0.0103161j -0.0123221+0.0147229j 0.0172401+0.00806075j -0.0184679+0.00568469j -0.00623594+0.0277298j 0.00305643-0.0176377j 0.00336016+0.0073347j 0.0199805+0.00712903j -0.00211744+0.0290584j 0.00571821-0.0157757j -0.00860977-0.0101125j -0.0134247+0.0122823j 0.017638+0.0339941j 0.0101589-0.0582246j 0.0507755-0.052803j 0.0144234+0.0219731j -0.0156465+0.0547198j 0.0210884+0.0070015j -0.0196405+0.0179008j 0.0153775-0.0224633j 0.0479881-0.0878885j -0.016033-0.0006716j 0.0261666+0.0376375j 0.0788825+0.0174824j -0.0354858+0.0156915j -0.0822447+0.0276442j 0.0375843+0.0313486j 0.0309923-0.0317674j 0.00528143-0.0358468j -0.0239381+0.013407j 0.0538979-0.134022j 0.126866+0.0686739j 
0.1015-0.0988614j -0.0851785-0.0992984j -0.0170427-0.0125771j 0.00627979+0.067917j -0.132119-0.0374783j -0.0532736+0.135713j 0.0440211+0.00974682j -0.0536895-0.00955636j 0.0156087-0.042421j 0.00601857-0.0433095j -0.0238614+0.0318243j -0.0510169-0.0154025j 0.0196227-0.0229366j -0.0256279+0.00356575j -0.0127279+0.0159573j 0.00864717+0.00819329j 0.0145424-0.00242396j 0.00116645-0.0365974j -0.0133088+0.0308763j 0.0302236-0.0550996j -0.00347328+0.0506303j -0.0963407-0.0106214j 0.0347656+0.141441j -0.0998835-0.0026027j 0.00870518-0.0140472j 0.00555681+0.0115882j -0.053782-0.0413985j -0.00960681-0.0598967j -0.00347177+0.0128372j 0.00317845+0.0325933j -0.0297517-0.00832649j -0.001017+0.0443173j -0.00611644+0.00382555j 0.0093549-0.0270763j -0.013027-0.0127664j 0.00136177+0.0086751j 0.0272037-0.0114183j -0.0115433-0.0503337j 0.0102872-0.00489789j -0.00766396-0.024034j 0.00949818+0.0272313j 0.0915231+0.00351487j -0.0282517-0.0298808j 0.0217153-0.0111483j 0.0448339+0.0334177j -0.0346675-0.0160381j -0.0441429-0.0254391j -0.0183553-0.0334978j -0.0599978+0.0342682j 0.0319834+0.00489673j 0.0469292+0.0559261j 0.0631648-0.00497456j -0.0242312-0.0203379j 0.0543933+0.070335j 0.0264931-0.0171641j -0.0361872-0.0169557j 0.00131696+0.0740604j 0.0100016-0.0603426j 0.012567+0.00626551j -0.00160627-0.0664677j 0.031553-0.0253112j 0.0432805+0.151754j 0.0149627+0.0060876j 0.0130797-0.026191j -0.0282999+0.030902j 0.0317627+0.0050838j -0.0455202-0.0322238j 0.00161317-0.0078593j 0.00776646-0.0029787j 0.0334371-0.0504338j 0.0117905+0.0085769j 0.0205447+0.0441127j 0.00320358-0.0704884j 0.00222018-0.00747687j -0.0517177+0.0812911j -0.0193761+0.0767082j 0.00948323-0.0138418j 0.122339-0.078235j -0.0101541+0.0287978j 0.0144147+0.0888196j 0.0233405+0.0289204j -0.0118749+0.0405297j -0.0248485+0.00584631j 0.0405764-0.104107j -0.0385156-0.00770726j 0.0766913+0.0124398j 0.0936939+0.0136865j -0.0542623+0.0444536j -0.0704705+0.0599092j -0.0849365+0.126824j 0.126034+0.111018j -0.00107689-0.0598793j -0.0746117+0.0427667j 0.0237558-0.169111j 0.158292+0.0422608j 
0.152665-0.0114253j 0.00600351-0.16577j -0.0460648-0.0172871j 0.0265635+0.0392792j 0.0425622+0.12042j 0.129892-0.0994672j -0.0957028-0.0545624j -0.0545456-0.0349717j 0.0502591+0.0647801j 0.0346727+0.00483235j -0.00478058-0.0167268j 0.01269-0.000795609j 0.00664471+0.0443057j 0.0358501+0.00922459j -0.0313975-0.00747648j -0.0248014-0.0123575j -0.0367491+0.0232986j -0.0395884-0.0044018j 0.0136005-0.00490329j -0.0315329+0.0764847j 0.0434504-0.00284793j 0.0219841+0.0411066j 0.012838-0.110254j 0.118527-0.038056j -0.0426798-0.0897917j -0.00286488-0.00105665j -0.041481-0.0713695j 0.013223-0.0284674j 0.023678+0.0199677j -0.0534267+0.0556409j 0.0221022-0.0295358j -0.0361502-0.0191454j 0.00110878+0.0543733j 0.0240753-0.0236916j 0.0318799+0.0347126j -0.0428945-0.0139213j -0.0324624-0.0188458j 0.00744094+0.0305561j -0.0489106+0.00707185j 0.0047709-0.00312889j -0.0398642+0.0320882j 0.00146492+0.0105396j -0.00267554-0.0211674j -0.0105431-0.0351542j -0.0414896-0.0126328j -0.0354085-0.0396763j 0.047606+0.087965j -0.017597+0.0600726j 0.141428-0.00921242j 0.0207742+0.0473782j -0.0359317-0.102916j 0.0249722+0.0109454j 0.0249855-0.00803497j -0.0172999-0.0549778j -0.0683467-0.0872918j 0.0742696+0.0645369j 0.0477381+0.0476113j -0.0045495+0.0820942j -0.00199064+0.0664671j 0.0517195+0.0664422j -0.0249125-0.020647j -0.0225207-0.0964996j 0.0427597+0.0153905j -0.0222218+0.0444698j 0.0105098-0.0101205j -0.0157265+0.020818j 0.0395581+0.0739672j -0.0238578+0.0898675j 0.00272674-0.026274j -0.0677049+0.120971j 0.00518635+0.0354527j -0.0094002+0.0314962j 0.0244337+0.0784428j -0.0160828-0.0358275j 0.0738052-0.098791j 0.0466023-0.0754831j 0.0559246-0.138253j -0.112233-0.021582j 0.042675+0.0249351j -0.0646741-0.0367108j 0.0229664-0.0281644j -0.0715185+0.00796065j 0.112261-0.0927145j 0.031565-0.0603183j 0.013035+0.0130745j -0.0563065+0.0656829j 0.0863938+0.0192174j -0.0313029+0.0334294j -0.029103-0.00830809j 0.197679-0.153706j -0.15214-0.224778j -0.0256517-0.0469819j -0.0164987+0.0369412j 0.103541-0.0713614j 0.0767954+0.114941j 
-0.0268126+0.0478863j 0.0466103+0.0240987j 0.00961362-0.00999154j -0.00999695-0.0283341j 0.0382859+0.0388083j 0.0455486-0.0506535j -0.0334276-0.0176714j 0.00743717-0.00674814j 0.00667299+0.0255765j 0.00617645+0.0100684j 0.00742842-0.0165912j 0.021659+0.000999936j -0.00997802+0.0183398j 0.0145277+0.00145758j -0.00030582-0.0017142j -0.00472519-0.00697823j -0.0106273+0.00926345j -0.00197431+0.00766163j 0.00130466-0.0130091j -0.0138709+0.0408925j 0.0147135-0.00529749j 0.0370603+0.0110001j 0.00610849-0.0642691j 0.0570983+0.00390362j 0.000171682-0.0125546j -0.00735279+0.0061741j 0.00741905-0.022389j 0.00439778+0.00255636j 0.016802+0.000960362j -0.0231208-0.00249516j 0.0131216-0.0125555j -0.0145918-0.0232192j 0.00291667+0.022767j 0.00765056-0.00503799j 0.0045041+0.019187j -0.020279-0.00171014j -0.016287-0.00908085j 0.00480399+0.025825j -0.00356714+0.000487299j 0.00739219+0.0120756j -0.0136595-0.0062323j -0.0100633-0.0127806j 0.0135167+0.011268j -0.00442098-0.0165664j -0.0280175-0.0162072j 0.00374506+0.00620072j 0.0156891+0.0356404j -0.00208472+0.0247681j 0.0695544-0.00667385j 0.00350914+0.0119204j -0.0134192-0.038925j -0.00197878+0.00494487j 0.0168625+0.00753926j -0.0181998-0.0397401j -0.0374316-0.0228449j 0.0372019+0.0282569j 0.0131355-0.0106263j 0.00322868+0.0478666j -0.00515303+0.00556472j 0.0163615+0.0393442j -0.0144362-0.00742674j -0.0202905-0.0811013j 2.75784e-05-0.00423966j -0.00850293+0.0166137j 0.00805343-0.00413047j -0.010912-0.00545457j 0.015505+0.0320147j -0.00710522+0.0325658j -0.00290441+0.00572041j -0.0234838+0.0554758j -0.00296931+0.0104232j 0.000615846-0.00369699j 0.00356276+0.0372778j 0.00477736-0.0138547j 0.0449524-0.0559408j 0.0203201-0.0494764j 0.00802193-0.0226551j -0.0608971+0.0274972j 0.0199269+0.00223412j -0.0177017-0.0319148j -0.0106691-0.0190177j -0.00697149-0.0116293j 0.0288447-0.0222301j -0.00531174+0.0252961j 0.0131075-0.000978361j -0.0334565+0.0215484j -0.0106166-0.00188208j 0.0155891+0.00660165j 0.0164781-0.0293j 0.0537076-0.0957248j -0.0973482-0.0713731j -0.0171626+0.00695654j 0.0186372-0.00488115j 0.0115254+0.046859j -0.039304+0.00494812j 
-0.146112+0.0558575j 0.0341533+0.146939j 0.0159808+0.027459j -0.0148522-0.0359942j 0.0411606-0.0304983j -0.026109-0.0242347j 0.00856443+0.0340436j 0.0613488+0.025616j -0.0257142+0.010211j -0.00949399+0.0272701j 0.0196178-0.00747311j 0.0209395+0.0214557j -0.0127193-0.00148857j 0.000673608-0.00239641j 0.0217813-0.00529677j -0.00178456-0.00686801j 0.00813362-0.0108497j 0.00757948+0.0309391j -0.011249-0.0249528j -0.00262607-0.00522511j -0.0230118-0.0211012j 0.0573085-0.02453j -0.0253323-0.037459j 0.00157902+0.00871441j -0.00286631+0.0479012j -0.0192161-0.0063794j 0.0404605+0.0301025j 0.0122833+0.0460201j -0.0274873-0.0152145j -0.0135735-0.0417923j 0.0161415+0.0236392j -0.0142246-0.0277198j 0.0312219+0.00714876j -0.0192101+0.00335005j 0.000123337+0.00356849j 0.0105463+0.0326898j -0.00531804+0.0265799j 0.0105152+0.021385j 0.038571+0.00911327j 0.00886376+0.0224941j 0.0176517-0.0452259j -0.0437479-0.0197118j 0.0276873+0.034537j 0.00124757-0.0273965j -0.0104959-0.00519628j 0.0485292+0.0577407j -0.0200611-0.00333469j 0.0235925+0.00212892j -0.00126855-0.0151588j -0.0161024-0.0131058j -0.00837883+0.0291372j -0.0159882-0.0138096j 0.00498502+0.0253118j -0.0144296-0.0245755j 0.00847947+0.0370686j -0.0210836-0.0353287j -0.0107432-0.0754235j -0.00775317+0.00161186j -0.00944177-0.0439804j -0.0126163-0.0106924j -0.00100535+0.012754j -0.013418-0.0530575j -0.0171661-0.0150446j -0.00292389-0.00379554j -0.00402487-0.0112786j -0.00251462-0.00657437j 0.00468108-0.0159147j 0.0256232-0.0225729j -0.0170314-0.00115077j 0.0139145-0.0260373j 0.00185773-0.0326046j -0.0013599-0.0388382j -0.0167144+0.0064765j 0.00332976+0.0311317j 0.00407683+0.00540636j -0.00677467-0.0209276j -0.0325637+0.0852264j -0.0181184+0.0499838j -0.0055003-0.0194744j 0.0318008-0.0366025j -0.0169708-0.0287962j 0.0597919-0.0228314j -0.0308634+0.0459274j -0.0362471+0.100704j 0.000410661-0.00903781j -0.00912126-0.060949j -0.075035-0.0190579j 0.0609043-0.0243637j 0.0626848-0.0655491j -0.0379434-0.0163371j -0.0150485+0.0396432j -0.00777742+0.0174243j 0.010927-0.0190598j -0.0419704+0.162921j -0.161461-0.0674994j 
-0.00429332+0.00862645j 0.00907957-0.00159884j -0.0209362-0.00211993j 0.00363515+0.0105919j 0.0282517+0.0396746j 0.0455876-0.0422323j -0.0195775-0.0188674j -0.00929595-0.0132837j 0.00485342+0.0170923j 0.0165603+0.0079488j 0.00299738-0.00193566j 0.00856071-0.00304445j 0.00324061+0.0106462j 0.0135558+0.000770049j 0.00129889-0.0100105j -0.00715896-0.011334j -0.00301888-0.000994912j 0.00249591+0.00929353j 0.00288084-0.00279705j -0.0240897+0.00971054j -0.00866559-0.00728555j 0.00481193+0.0049726j 0.00392384-0.0339396j 0.0310751+0.00953662j 0.00907435-0.0038018j 0.0034672+0.0111195j -0.00195461+0.00217588j 0.0125948-0.00223928j 0.00516512-0.00763079j 0.00664904-0.00147178j 0.00638224-0.00924647j -0.0055066-0.00970802j -0.00470406+0.00170767j 0.000441872+0.0036206j -0.00178943+0.0119375j -0.0215896-0.00982391j -0.00126543-0.0157846j 0.00601065+0.00987002j -0.00809602-0.00452246j 0.00433567+0.00102908j -0.00583822-0.000261245j -0.0185095-0.000877537j 0.000265076+0.00474159j -0.00285962-0.0119173j -0.0151735-0.00921831j 0.00708445+0.00552879j 0.00888083+0.0108542j -0.00161686+0.00166384j 0.0302019+0.000496645j -0.00480335+0.0154996j -0.00268923-0.0296678j -0.000109204+0.00886952j 0.0046259-0.00169214j -0.0122366-0.017863j -0.0232515-0.0164135j 0.0148793+0.0166043j 0.000355795-0.00411683j -0.00158402+0.0255811j 0.00455386+0.00597915j 0.011693+0.0143724j -0.0130047-0.000204664j -0.00443322-0.0528965j 0.00277943-0.00603602j 0.000754737+0.00897438j 0.0140081-0.000783704j -0.0122527+0.00128406j 0.0089762+0.0191976j -0.0181362+0.0183065j -0.00246126-0.00466909j -0.0156138+0.0300871j -0.000547551+0.00226874j -0.00983145-0.00180785j 0.00780624+0.0309957j -0.000266383-0.000772222j 0.0276436-0.0368251j 0.0214361-0.0131779j -0.000486428-0.0239062j -0.0401133+0.0175325j 0.018772-4.35258e-06j -0.0179402-0.0233653j -0.00411585-0.00803245j -0.00750162-0.0163525j 0.0114084-0.0166039j 0.0133944+0.00882361j 0.0162367-0.0341123j -0.00676867+0.024123j -0.0237214+0.00110981j 0.00284889-0.0223691j -0.000421468-0.0209754j 0.0202595-0.0407304j -0.0423099-0.0315604j 0.0106204+0.00118857j 0.0175868-0.0117251j 0.0236746-0.00917957j 0.0122945+0.0218677j 
0.00160855+0.00122714j -0.00288284+0.00200553j 0.0227435+0.0320597j 0.0316602-0.0209267j -0.0108083+0.00845475j 0.0016609+0.0152201j -0.00862724-0.00156048j 0.0121722+0.0287608j -0.0270403+0.0161934j -0.000725092+0.00194645j 0.0250112+0.0148382j 0.0124906+0.0126983j -0.0069831+0.000632098j -9.14403e-05+0.00045517j 0.00313119+0.0049499j 0.00100324-0.0114595j 0.00202375-0.0132604j -0.0186146+0.0201163j 0.00422468-0.0205823j -0.00678664+0.0057105j -0.0112055-0.0114189j 0.021285+0.0156372j 0.015527+0.00713513j -0.00818005+0.0126918j 0.00843284-0.00336885j 0.000631771+0.00626415j 0.00685477+0.000160372j 0.00816425-0.00132958j 0.00364492-0.0100033j -0.00387944+0.00486868j -0.0121958+0.00827842j -0.0120673-0.00608278j 0.0238103+0.00849764j 0.0162195+0.00886247j -0.000740644+0.000887484j 0.00927554+0.0112983j -0.00972916+0.0174174j -0.000222485-0.00716526j 0.0162397+0.0181664j -0.00903191+0.000284418j 0.0307327-0.00504632j -0.0022862-0.0257128j 0.0161074+0.0236309j -0.00856419+0.00955653j -0.00260624-0.0150011j 0.0158696+0.0123338j 0.0060767-0.0121178j 0.00111428+0.0193587j -0.000470879-0.0112116j -0.000656083-0.0141271j -0.0124444+0.000930787j -0.0198521+0.00701173j 0.00696657-0.00213758j -0.00564284-0.0115047j 0.0101504-0.00630222j 0.0174749-0.017152j -0.00496087-0.0286916j 0.00696609-0.0130008j -0.00139106-0.00339746j -0.0108368+0.00928207j 0.00795997-6.87989e-05j -0.0103832-0.0296219j 0.000807134-0.00706907j -0.00412565+0.0129136j 0.00451168+0.0151369j 0.00677014-0.00206029j 0.00655261-0.00215752j -0.000747151-0.00109235j 0.0151494+0.00464792j -0.0080143+0.00041402j -0.00273654-0.0111734j 0.0206594-0.00661718j -0.00277641+0.00183943j -0.00807726+0.00588638j 0.00781147-0.0184688j -0.0174397-0.011068j 0.0112744+0.0202312j -0.0394685+0.0164574j 0.0195521-0.0113829j -0.0053528-0.0306712j -0.0016002+0.00470873j 0.0226416+0.00453796j -0.022737-0.0127895j -0.0212862+0.0208551j 0.00879093+0.00751481j -0.00466282-0.00348131j 0.0206696+0.00257954j -0.00451043+0.0368821j 0.00351353+0.00454754j -0.0291269-0.000398751j 0.00536524+0.0307652j -0.00714333-0.044071j -0.0455308-0.00711126j 0.0143951+0.0273915j -0.0313564+0.00972675j 
0.0186846+0.0110902j 0.0128445-0.0151415j 0.0141623-0.0152476j -0.0140785-0.0114717j -0.00496789-0.00249656j -0.0025024+0.00427034j -0.00454509-7.13509e-05j -0.00385895-0.00765896j 0.00464012+0.0131576j 0.00718515-0.0194021j 0.0156766+0.00294981j 0.0131222-0.0105475j -0.00324662+0.00508239j 0.0123224-0.00549405j 0.000265263-0.00334713j -0.00100782-0.0120366j 0.0109518+0.000478829j -0.000715227+0.0109987j -0.00934082-0.0146286j 0.000342675-0.00588667j -0.0246936+0.00110497j -0.000224886-0.00300197j -0.0114342+0.00740822j -0.0138887-0.0127831j -0.00831241+0.0140007j -0.00857268-0.0020297j 0.00880812-0.0163188j -0.00966792-0.00199668j 0.00287036+0.00813962j -0.0227063-0.00422774j 0.0106101-0.00305644j -0.0106796-0.00624804j 0.00412814+0.0177175j -0.00333913-0.00632739j 0.00816898+0.0131511j -0.0162692+0.00975967j -0.015338+0.00235041j 0.00140767+0.0129583j -0.000862256+0.00157478j 0.00326451-0.00140034j -0.00631348+0.0113696j 0.0202293+0.00360335j 0.0010318+0.0135152j -0.00140305-0.00680524j 0.00721869-0.00811574j -0.0120062-0.00512992j -0.00679823+0.0185107j -0.0185817+0.0168436j 0.0224379+0.0101663j 0.00955952+0.00889737j 2.61511e-05+0.00900327j -0.00367035-0.0182487j 0.000892915+0.00669974j 0.00743162-0.00378207j 0.00122505-0.00461291j -0.00297797+0.0167568j 0.0195309+0.0121877j 0.00309917-0.00126643j -0.000292296+0.00649617j -0.00324664+0.0144285j 0.00281782-0.00566473j -0.00309978+0.0109837j 0.000564205+0.00790218j -0.023016+0.00720801j -0.0159005+0.000965743j 0.00513478+0.000647155j 0.000384261+0.00431386j 0.010144+0.00815475j -0.00776662-0.00527955j -0.00721482+0.00868599j 0.00105583+0.0101597j 0.0160093+0.0127275j 0.00130627+0.00145104j 0.00983932-0.00424358j 0.00922592+0.0108621j -0.000970429-0.0161439j 0.0215685+0.0028588j 0.00489743-0.0214572j -0.00540062+0.0224152j 0.0138592+0.00899356j 0.00813268-0.00834627j -0.000102043+0.00587007j 0.0153101-0.00541915j -0.00214363-0.0169114j -0.0193646-0.0013484j 0.015177-0.0156762j 0.0367472-0.00282237j -0.00246604+0.0435061j 0.00842505+0.019952j -0.00023501-0.0229138j -0.0215439-0.00313224j -0.0378009+0.00380091j -0.00211296+0.0301865j -0.0110896+0.00985651j -0.0117675-0.00699092j 
