0.0375118+0.01787j 0.020902-0.0362537j 0.0321028+0.0215107j -0.0143558+0.0305102j 0.00247533+0.0034603j 0.00323766-0.00598334j -0.00323835-0.00184531j -0.0118219+0.0127596j -0.00569163-0.0021335j -0.00809281-0.000101313j 0.00579359+0.00113257j 0.00642286+0.0110751j -0.00660943-0.00993361j -0.000126357-0.00472299j -0.00235813+0.00549501j -0.00726475+0.00511263j 0.000221668+0.0114254j -0.004823-0.00668588j -0.00194865+0.0057648j -0.0145864+0.00254829j -0.000298455+0.00608344j -0.00520973+0.00697782j 0.00158795+0.00756164j 0.00251649-0.00109378j -0.00408743+0.00622865j 0.00230621+0.0029223j -0.0027569-0.00906377j -0.00930228-0.000789827j 0.00285378+0.00765999j -0.0112004-0.00544524j 0.00104058+0.00856345j 0.00231978-0.00475078j 0.00285918-0.00421186j -0.00528588-0.00807619j 0.00508889-0.00352375j -0.00223708-0.00377886j -0.00263984-0.00489343j 0.00283461-0.00488264j 0.00231301-0.00675934j -0.00546514+0.00065101j 0.00382326-0.00721667j -0.000236612+0.00482994j -0.00370766-0.00164928j -0.00521381+0.00579287j -0.00132241+0.00140468j 0.00224396-0.00242453j 0.00457482-0.0102202j 0.00026356+0.00276465j 0.00217729-0.000654604j 0.00403408+0.00115038j 0.00179103-0.00146041j 0.0038029-0.00111635j -0.00302622+0.010425j 0.00160606-0.00101426j -0.00413531+0.00467205j 8.95512e-05-0.00385422j 0.00148753+0.00268071j 0.00554891+0.00283224j -0.0038494+0.00351613j -0.00165859+0.00976822j 0.00781221+0.00414243j -0.00689932+0.00473382j 0.0037429+0.00323612j 0.0006256+0.00836293j -0.00174234+0.00442389j -0.00147657+0.0157658j 0.00215564-0.00275805j 0.00481996-0.00477121j -0.00523953+0.0016576j 0.00686203+0.001048j 0.00493726+0.00138538j -0.00747736-0.00135305j 0.00321804-0.00654159j 0.00460296+0.00119019j -0.00522121-0.00861517j -0.0146464-0.000852684j -0.00232152+0.00948516j 0.0109022-0.000680164j -0.00642126-0.00818821j 0.00484497+0.00510164j 0.00493721-0.014978j 0.00152645+0.0152873j -0.00820836-0.00070235j -0.017761+0.0057898j 0.0215601+0.0025606j 0.000412371+0.00239852j 0.0109652-0.0014157j 0.00408888+0.00935662j -0.0240915-0.0190169j 0.0229935-0.0240888j 0.000676311+0.0401864j -0.0407251-0.000972234j 
-0.0176437+0.0126259j 0.0106219+0.0153451j 0.00933765-0.0136485j 0.00948235+0.0078541j 0.00432587+0.0160231j 0.0124446-0.00737935j -0.0180439-0.00115608j 0.0113069+0.00837474j 0.00617047+0.00276897j 0.00641027+0.0112304j 0.00372219-0.00361133j 0.00208186-0.0072116j -0.00592188+0.00557982j -0.00122937+0.00669274j 0.000829559-0.000119611j -0.00460004+0.00684863j -0.00122587-0.00294704j 0.00767826+0.0030313j 0.000129587+0.00271775j 0.00374836-0.00327156j -0.000546549+0.000456897j 0.00125043+0.00288931j 0.00693223+0.00133786j -0.00219304+0.000114959j 0.00203431+0.00323096j -0.000349166-0.00159556j -0.0041474+0.00468169j -0.00070439-0.00318889j 0.00456903-0.00397069j 0.00385839+0.00489217j -0.00567408+0.00291151j 0.00294008+0.000838608j 0.00179421-0.00574255j 0.00333684+0.00359367j 0.00157515+0.00314027j 0.0043937+0.00510405j 0.00094262+0.00309383j 0.00046436+0.000527239j -0.00131766+0.00115377j 0.000670393-0.00342609j 0.000120541+0.00451868j 0.00276488-0.00120569j 0.0030232-0.00316366j -0.000203452-0.000173973j 0.00160386+0.00203875j -0.0033685+0.00084561j 0.00344397+0.00339832j 0.00197473+0.00315685j -0.00529857-0.00360905j -0.00398718-0.00133255j 0.00312257+0.00190293j -0.000940052-0.00204091j 0.00160825-0.0026991j 0.00224003-0.000891153j 0.000626109-0.00302401j -0.000403214+0.00546612j 0.00324542-0.00138885j -0.0051076+0.00375789j -0.00152289+0.000128292j 0.00155625-0.00300033j -0.00225552-0.00448747j 0.00196757+0.00345915j 0.00489553+0.00193344j -0.00275002-0.00545324j -0.00174193-0.00157917j 0.00237721-0.00735516j 0.00145236-0.00312383j -0.00268348-0.000909559j 0.00256104+0.00325362j -0.00837307+0.00467896j -0.00017876-0.00840871j -0.000195226-4.70247e-05j 0.00246447-0.000650063j -0.0035257+0.00340513j -0.00243319-0.00331207j 0.00170647+0.000644126j -0.00949195-0.00616j 0.0044924+0.00929273j -0.00134593-0.00471809j -0.000999841-0.00156027j -0.00823028-0.00314677j 0.00683073+0.000506069j -0.0130558+0.00946327j -0.00340811+3.09415e-05j 0.00130401-0.0169911j -0.0107882+0.00161151j 0.0111691+0.00420656j -0.00025927+0.00741903j -0.00581268+0.0220877j -0.0170799-0.00977008j -0.0194661-0.0171169j 0.0186405-0.0206062j 
0.00661096+0.0190332j 0.0176874-0.00705944j 0.017684-0.00216098j 0.00145993+0.0151274j -0.00701463+0.00742645j 0.0100303+0.0014477j -0.00745231-0.00832752j -0.00499916+0.00806157j -0.00101588-0.003781j 0.00283137+0.00411436j 0.00341467-0.000346136j 0.00775443+0.00127818j -0.00267313-0.00690814j -0.00505425+0.00124564j 0.00272459+0.00918676j -0.0115212+0.00865987j 0.0009426+0.00579589j 0.00361922+0.000931764j -0.000695444+0.00592253j -0.00572628+0.000565618j -0.00144316+0.0019568j -0.00695423+0.010219j 0.00190566+0.00610978j 0.000824071-0.00272791j -0.00569846+0.00801605j 0.000202077-0.000462982j -0.00590714-0.00129648j -0.00622728+0.00105945j 0.00197934-0.00179515j -0.00412509-0.000685745j -0.00309835+0.00717997j 0.004433-0.00334429j -0.000409205-0.00435687j -0.000752369-0.00326482j 0.00179408+0.000907333j 0.00243979-0.00249486j -0.00210276-0.00262725j 0.00278894-0.000173059j 0.000687399-0.00166931j -0.00549659-0.0062846j 0.00378643+0.000649483j 0.00312899+0.000726082j 0.00316723-0.00335988j -0.00491446+0.000116207j 0.00151568-9.88805e-05j -0.00182447+0.00103828j 0.00304252-0.00198919j 0.000923081+0.00543003j -0.0062971-0.00562889j 0.00152672-0.00244013j 0.00218922+0.000712259j -0.000657994-0.00120284j -0.000475124+0.00408791j 0.00657574+0.000840339j -0.00459362+0.00225964j 0.00153709+0.000114194j 0.00414256+0.00210873j 0.00072204+0.00630008j -0.00217541+0.00410856j -0.00194802+0.00677359j 0.00342525+0.00196445j -0.00538225+0.000455958j 0.00608396+0.00875019j -0.00221886-0.0022401j -0.00623296-0.00532227j -0.00104994+0.00352584j 0.00356839-0.00217064j 0.000937428-0.000590055j 0.00156984-0.000287656j -0.00166115+0.00488916j -0.000369846+0.000269578j -0.00194692+0.0068751j 0.00356698-0.00397865j -0.00304388-0.00199544j 0.00246323-0.00528135j -0.00622164-0.00247876j -0.00661949-0.000940266j 0.00510299+0.00746749j -0.0030748-0.00627387j 0.00252772-0.000797694j -0.001638-0.0144149j 0.00513098+0.0102103j -0.00470805-0.000765275j -0.00617759+0.0125168j 0.0155137-0.0153129j -0.0169197+0.00349821j 0.00688319+0.0105998j -0.00872962-0.000236317j -0.0110537+0.0213851j -0.0173234-0.010598j -0.00891878+0.00654106j -0.00724304-0.013616j 
-0.0562127-0.0121216j -0.017953+0.0513115j -0.0213572-0.0410544j 0.0290145-0.0228633j -8.40956e-05+0.0100568j 0.00433912+0.000859343j -0.0170804-0.000973394j 0.0226338+0.00240498j 0.00152918+0.00469677j 0.0169393+0.00294685j -0.00877439-0.006526j -0.00812596-0.0184464j -0.00687809+0.0182176j -0.00150283+0.0192469j 0.00667201-0.00889067j 0.00934304-0.00253365j -0.00582673-0.0166726j 0.0115778+0.0115932j -0.000182912-0.00759804j 0.0181717-0.0124673j -0.00219202-0.00230275j 0.00994743-0.00560666j 0.00339907-0.00829899j -0.00581503+0.00344309j 0.00699087-0.00228279j -0.00428473-0.00878902j -0.00305199+0.013321j 0.0140991+0.000927901j 0.00536721-0.00864313j 0.018086+0.0096525j -0.00905415-0.00634041j 0.0010909+0.00744077j -0.000688515-0.00403467j 0.0145749+0.0169438j -0.0057893+0.00423303j 0.00817867+0.0111744j 0.00543443+0.00693223j -0.00380495+0.0102721j -0.00601124+0.0109151j 0.0135913-0.00556057j -0.0075645+0.00965095j 0.00190481-0.00701774j 0.00963317-0.00154665j 0.0101271-0.00991304j 0.00276328+0.00417845j -0.009462+0.00400718j 0.00107239+0.011419j 0.00189402-0.00316938j -0.0100022-0.00103042j -0.0076414-0.00139288j 0.00250594+0.00315973j -0.004839-0.00196282j 0.00437038-0.0133933j 0.00134546+0.00515521j 0.00631872-0.0114516j -5.45339e-05+0.0102056j -0.000287755-0.00727457j -0.0147581+0.00164317j 0.00522234-0.0055051j 0.00131233-0.0141336j -0.0164221-0.0111505j 0.0103148+0.000932768j 0.000432947-0.0073899j -0.00478537-0.0181338j 0.00268698-0.000418856j 0.00448049-0.0218294j -0.00104488+0.00317164j -0.00552686+0.0041721j 0.00713752-0.00339421j -0.0167519-0.00362494j -0.00595806-0.0147865j 0.00507833-0.00331126j -0.00187176+0.00711787j -0.00638275+0.00077577j 0.00930415+0.00452277j 0.0181085-0.000624078j -0.00604999-0.0245692j -0.00921127+0.00212863j -0.00451149+0.000859128j -0.00470366-0.0188899j -0.0210136+0.0214216j 0.000959584-0.0153158j 0.00949293+0.0150033j 0.0157735-0.00399005j -0.025079-0.00178329j 0.0073379+0.000672665j 0.00512408+0.00259095j -0.0112704+0.0034047j 0.0171696+0.0326973j -0.0258733+0.0176222j -0.022283-0.0512271j 0.0539634-0.0200234j 
0.00538134+0.0214307j 0.0226521-0.00289825j 0.0129154-0.00543397j 0.00749229+0.0151162j -0.00121501+0.0121921j 0.0159167+0.0013803j 0.00278087-0.00560515j -0.00221954-0.00593211j 0.00487959-0.00444117j 1.14719e-05+0.0117595j 0.00398582+0.00144522j 0.0125549+0.00486712j -0.00461627-0.00906765j -0.00880636-0.00267667j -5.31231e-05+0.0191722j -0.0168228+0.0175437j -0.000736946+0.0104699j 0.00408777-0.00451476j 0.00307582+0.00842652j -0.00725937+9.47372e-05j -0.00234105+0.00225639j -0.00680736+0.00883755j 0.00605939+0.00422898j 0.00495202-0.00755349j -0.00559331+0.00900439j -0.00251857+0.000267945j -0.00424306-0.00637479j -0.00501599-0.00592311j -0.00150778-0.00206774j -0.00655051-0.000186847j -0.0051448+0.0127067j 0.00403138+0.00117132j 0.00233143-0.00479114j -0.0041905-0.00255534j 0.00462991+0.00416998j -0.000191533-0.00100284j 0.000255813-0.00129912j 0.00303734-0.0049976j 0.00282236-0.00398624j -0.013116-0.00510987j 0.0110973+0.00304094j 0.00258802+0.00235985j -0.00427643-0.00107065j -0.00529257+0.00521304j 0.00492781-0.0016512j 0.00183229-0.00112554j -0.00164156-0.00247421j 0.00025888+0.00410714j -0.00316534-0.00491466j -0.000916571+0.00103742j 0.000800264+0.00190592j 3.12514e-05-0.000506688j -0.000631511+0.00615522j 0.00839826-0.00161615j -0.00653502+0.00500171j 0.00181259+0.005997j 0.00564934+0.00326689j -0.00141378+0.00875216j -0.00149165+0.00580182j -0.00399585+0.00794903j -0.00337433+0.00011594j -0.00583393+0.00141991j 0.000521653+0.00644366j -0.00097834+0.0024321j -0.0142228-0.00484101j -0.000741956+0.00288595j 0.0157888-0.00789784j 0.00507171+0.000536629j 0.00558795+0.00434118j -0.000440125+0.00156335j 0.00947305+0.00345513j 0.00216098+0.00833354j 0.000408206-0.00302914j -0.00343727-0.00230315j 0.00671584+0.00375345j 0.000777474+0.00451282j -0.0134817-0.00493406j 0.0108507+0.0124791j 0.00469554-0.010005j 0.00456995+0.00211498j -0.00565677-0.00822866j 0.00547874+0.00272958j -0.000216022+0.00777122j -0.0061566+0.00865294j 0.0215484-0.00686511j -0.0110898-0.000435464j 0.00889969+0.00688667j 0.00173259+0.0274606j -0.0260013+0.00750375j -0.018103-0.0319683j -0.0103485+0.0128687j -0.0154753-0.010096j 
-0.021383+0.0288839j 0.0262692+0.0185168j 0.0389538-0.0142891j 0.0130372+0.0407777j 0.0129264+0.0340326j 0.0367646-0.0205345j -0.0352363-0.0114057j 0.00908518+0.0149656j 0.0123828+0.0156125j 0.0038217+0.026986j -0.00291929-0.00454823j 0.00989394-0.00347393j -0.0176423+0.0106339j -0.00506933+0.0127276j 0.00228223+0.0149552j -0.00831302+0.0242629j -0.00649522-0.00438256j 0.0165854-0.000495239j 0.0067577+0.0035921j 0.00110181-0.0166285j -0.0017996+0.00478822j 0.00192799+0.011448j 0.015306+0.00688775j -0.00409364+0.00122859j -0.00284023+0.0115991j 0.00240763-0.00779305j -0.00751623-0.000740417j -0.00965711-0.0118038j 0.00978309-9.84123e-05j 0.00348781+0.00598589j -0.0219504+0.0190039j 0.0103066-0.00468857j 0.00879079-0.0156217j 0.00386574+0.00365555j 0.00838179+0.00652832j 0.00975159+0.00962378j 0.00655274-0.00297148j 0.00495423-0.00370372j -0.00422102+0.00258857j 0.000137114-0.0131941j 0.00644554+0.00744129j 0.00750525-0.00246146j 0.00148543-0.00875985j -0.00580985-0.00112273j 0.00918562+0.00528087j -0.00412282+0.00033733j 0.00896653+0.000209129j 0.00211158+0.00979854j -0.00578687+0.00138354j -0.00420834+0.000446091j 0.00285633+0.00398779j -0.000183619-0.00290988j 0.00376964+0.00638443j 0.0135-0.00672834j -0.00982922-0.00471929j 0.000423485+0.0186034j 0.0151165-0.00170058j -0.00847023+0.0124527j -0.0124619-0.000723511j -0.00492654-0.0025269j 0.00268474-0.0070981j 0.000249578+0.0124775j 0.016883+0.00367586j -0.00770803-0.0118381j -0.00885812-0.00255566j 0.00220143-0.00523939j 0.00888659-0.00332107j 0.000533708-0.0131732j -0.000870194+0.00466953j -0.0234001+0.00306537j 0.00272724-0.0164128j -0.00211746-0.000912511j -0.0054271-0.00878772j -0.00446477+0.00853401j 0.00290046-0.0176004j 0.00410542+0.00251983j -0.0325004-0.019411j 0.00926894+0.02667j -0.00993888-0.0171019j 0.00356034-0.0177518j -0.0183637-0.00788965j 0.0162318-0.000199408j -0.0172427+0.0305972j -0.0176477+0.00592681j 0.00263426-0.0265542j -0.00768923+0.0221132j 0.0326317-0.00640956j 0.0198143+0.017578j -0.0393271+0.0170884j -0.0184411-0.0363912j -0.0341581-0.00432002j 0.00704016-0.0371968j 
-0.0471805-0.0243476j -0.0304338+0.0411021j -0.0327709-0.0405113j 0.0260907-0.0408831j -0.0155439-0.0158279j -0.0184805+0.0167761j -0.0042291-0.00398521j 0.0126823+0.000906053j -0.014898-0.00757988j 0.0252878-0.0152395j -0.0158274-0.010421j -0.0126014-0.0155297j 0.00385309+0.0146108j -0.00473058+0.0163899j 0.00734005-0.0123024j 0.0126532-0.0118921j -0.00241578-0.0188404j 0.00143081+0.0132248j -0.00619736-0.011191j 0.017619-0.0101434j -0.00517288-0.003555j 0.00735386-0.00623524j -0.0051569-0.00822147j -0.00351247+0.00778095j 0.00292438-0.0048117j -0.00122449-0.00911294j -0.000703123+0.0163018j 0.0177092+0.0104528j 0.00479457-0.010888j 0.0199879+0.00536317j -0.00323505-0.0153564j -0.00287175+0.00737652j -0.00826861+0.00253778j 0.0124519+0.0153876j -0.0148995+0.00303726j 0.00519815+0.00375039j 0.000681066+0.00823252j -0.00555764+0.0178957j -0.00527103+0.0122911j 0.0159735-0.00224855j -0.0147898+0.00760264j -0.00023366-0.00690596j 0.017423-0.00140966j 0.0092398-0.010685j -0.000210142+0.00498175j -0.00967774+0.00681056j 0.00161768+0.0170907j 0.00411711-0.00471489j -0.00957325-0.00203991j -0.00491181-0.00337258j -0.000340004-0.000696258j -0.00671363-0.000597006j 0.005006-0.0153661j 0.000241734+0.0130351j 0.00605038-0.0112746j -0.0023177+0.00239549j -0.00148486-0.0105835j -0.0144718-0.00624621j 0.00920248+0.000550715j -0.00212618-0.0135008j -0.0142549-0.0137858j 0.00976583-0.00343603j 0.000545969-0.00933354j -0.00156086-0.0202395j 0.00396684-0.00296806j -0.00289749-0.0246022j -0.00709541-0.0012716j -0.00795763+0.00513907j 0.00601583-0.0116364j -0.00997452-0.00330497j -0.00738741+0.0021197j 0.00730176+0.000649804j -0.00663989+0.0123923j -0.00521062-0.00399533j 0.01043+0.0142759j 0.0158228+0.000197843j 0.0187761-0.0240104j -0.0167206-0.0130812j -0.00750104+0.0110406j -0.0043202-0.0142539j -0.0148578+0.023011j -0.00332162-0.0118585j 0.027185+0.00523724j 0.0152346+0.00418511j -0.0210714+0.0211274j -0.00128494-0.0109591j -0.00426986+0.0103097j -0.0159847+0.00757365j 0.0405259+0.0337754j -0.0308736+0.0336516j -0.0165099-0.0491402j 0.0556506-0.0113504j 
-0.0204868-0.0471474j -0.0450683+0.0170335j -0.0453927+0.0109763j -0.0163832-0.0459984j 0.0136156-0.0218171j -0.0386265-0.0112319j -0.00344924+0.0261972j 0.00816911-0.00255422j -0.00527424+0.0102341j -0.00509285-0.0210188j -0.0138928-0.00423063j -0.0247031-0.00835416j 0.00997521+0.0106348j 0.00702915+0.00651483j -0.00174756-0.0338181j 0.0364737-0.0293582j -0.00171418-0.0263938j -0.00918944-0.00428765j -0.00331311-0.0190402j 0.0151825-0.00282551j -0.000204464-0.00225403j 0.015905-0.0297753j -0.00752763-0.00804271j -0.0069976+0.0155655j 0.0142857-0.0215923j 0.000835371-0.00648308j 0.0152964+0.00814392j 0.0183994+0.00633142j 0.000331823+0.00662853j 0.0137501+0.0064879j 0.00363374-0.0255899j -0.0143981-0.00173352j 0.000227176+0.0120146j 0.00522004+0.00323371j -0.0142162-0.00735138j -0.00838578+0.00543452j 0.00586345-0.000529985j -0.00927512+0.0071901j -0.00170446+0.00759052j 0.0213026+0.0158315j -0.0214563-0.00734825j -0.0120624+1.57279e-05j 0.00792807+0.0063681j 0.00807555-0.00656809j -0.0163741+0.0034549j -0.00122725-0.00360401j -0.00255672+0.00697639j -0.00196815-0.00945635j 0.0160452+0.0153051j -0.00645899+0.00182822j -0.00336656-0.000514738j 0.0050157+0.0018311j -0.00129716-0.0103682j -0.0144852+0.00418697j 0.0187313-0.00647379j -0.00864168-0.0115532j -0.00921234-0.0082588j -0.00285739-0.0255727j 0.00859496-0.00915042j 0.00890138-0.0170577j -0.000673307-0.0141104j 0.0117181+0.00153438j -0.00729239-0.0264576j 0.00170074-0.0060253j 0.0166408+0.0075255j -0.00536408-0.00989904j -0.0152979+0.00880439j -0.005575+0.00661463j -0.00399309+0.00143215j 0.00880305-0.00393165j -0.00932445+0.00135907j -0.00219666-0.00828439j -0.0158509+0.0111469j 0.0124151-0.00608517j -0.0208177+0.012458j 0.0209667+0.00161825j 0.0186814-0.00420757j -0.0208761-0.0289678j 0.00114239+0.025405j 0.00361989+0.00963329j 0.010621+0.0196269j -0.0208855-0.0160954j 0.00835313-0.00708246j 0.0216437-0.0361787j -0.029604+0.0299118j 0.0265027-0.000255873j -0.0262076-0.0290859j 0.0366045-0.0208679j 0.0362499-0.0303873j 0.0161508+0.0452095j 0.0181141-0.0341453j 0.0404692+0.0219573j 
0.0545597+0.0157019j 0.0211542-0.0464098j 0.00950447+0.0247002j -0.0161926+0.0121187j -0.0162818-0.00341951j -0.00522002+0.0138882j 0.027876+0.00069923j -0.0198278-0.00147754j -0.0127324-0.0276329j -0.00382018-0.0137852j 0.021274+0.00842462j 0.00644959+0.0102796j 0.000224335-0.0224455j 0.00957616-0.0145035j -0.00447873+0.000991908j -0.0145407-0.00112098j 0.00395719+0.033017j -0.0153702-0.00819616j -0.0102827+0.009478j -0.0196079+0.0180054j 0.00440754+0.00792516j -0.0108841+0.000976317j -0.0115485+0.0009428j 0.00516665-0.0105459j -0.00609276+0.00782886j 0.000898181+0.0105642j -0.000831263-0.00930886j -0.00500992+0.0100708j -0.00698225-0.0012436j -0.0176756-0.00912665j 0.0236069-0.00121888j -0.000541179+0.00184576j -0.00454199-0.000718163j -0.00347314-0.0122978j 0.00151412-0.0126107j -0.00623393-0.0136206j -0.0102929-0.000527153j -0.000162796-0.0069701j 0.00917134-0.00981546j -0.0176276+0.0041062j 0.0127766-0.0144067j -0.00609529+0.00316936j -0.0135517+0.00717219j -0.00222985+0.0058023j -0.00676573-0.00530151j 0.00487443+0.00059521j -0.00497313-0.0187308j -0.00705262-0.00152075j 0.00439713-0.00591253j 0.00461907-0.00427872j 0.00234677-0.00476676j 0.00305506+0.00223863j -0.00446468+0.00776559j -0.00723934+0.00957411j 0.00599232+0.00961095j 0.00595641-0.0122954j -0.0074592+0.00378699j 0.0120025+0.0016993j 0.00721088+0.00739987j 0.00388484+0.0168299j 0.000686015+0.0142672j -0.00798523-0.00663215j -0.00157131+0.00683663j 0.00154018+0.0225049j -0.0037231+0.00459078j 0.000404049+0.0226763j 0.00743629+0.00326737j 0.0145723+0.0129562j 0.00301781-0.00237866j 0.0275849+0.00132945j 0.00225912+0.0150559j -0.00328863-0.0019819j 0.00919203+0.000654249j 0.00526784-0.0118089j 0.00443814-0.000865739j -0.0181713+0.00273762j 0.00982561+0.0217009j 0.0180788-0.00420393j 0.0102254-0.00526437j 0.010015+0.0154947j 0.0128632-0.0173517j 0.00364344+0.0109169j 0.0115648-0.0120475j -0.00666904+0.0261208j 0.0463864+0.020171j -0.0102926-0.0167793j -0.0166095+0.017563j -0.0182493-0.00267198j -0.014161-0.0356478j 0.0213192-0.00894469j 0.0271582+0.0463374j -0.0539883+0.0232028j 
0.0210163-0.0234978j -0.0213325-0.0189358j -0.0204435+0.0179494j -0.0203181-0.0215119j -0.00933595-0.0265327j -0.0273897+0.00932493j 0.0165593+0.00614203j -0.00750735-0.00704569j -0.0259008-0.013543j 0.00273787-0.0343489j 0.00269446-0.00702808j -0.0185838-0.00618273j 0.0117241+0.000351462j 0.0117806-0.00286912j -0.00307482-0.029409j 0.0207908-0.021212j -0.00155729+0.000514076j -0.0180025-0.00678863j -0.0131353-0.00908222j 0.00136735+0.00776527j 0.00730877+0.00534117j 0.0078641-0.0224371j -0.0159046-0.00489897j -0.0103137+0.00778635j 0.00736672-0.00930194j 0.0102269+0.000437151j 0.00754365+0.00730837j 0.0085951+0.0169551j -0.000864511-0.0014815j -0.00416916-0.00243144j 0.0194841-0.0231007j -0.0160039+0.00117079j -0.0049489+0.0107748j -0.0015298-0.00349639j -0.012074-0.0135919j -0.00764194-0.00626736j -0.00813011+0.00578215j -0.00819713+0.00693199j -0.00147321-0.000515502j 0.00523096+0.0124703j -0.0119685-0.0110337j -0.00973232+0.00169719j 0.00206094+0.00512005j 0.00457787-0.00136157j -0.0134765+0.00738239j -0.00147968-0.00165944j 0.00398731+0.00455035j -0.00328773-0.00988263j 0.0139131+0.00455325j -0.00387487+9.862e-05j 0.00171653-0.00702449j 0.00512151-0.000604956j -0.00308365-0.00379319j -0.0118064+0.0067707j 0.017233+0.00681944j -0.00014059-0.0123967j -0.0105757-0.00496007j 0.00430552-0.0164118j 0.0115492+0.00444713j 0.00596146-0.00198684j -7.45988e-05-0.00208778j 0.00318878-0.00723971j -0.00173871-0.0138642j 0.00142491+0.00572045j 0.0078209+0.00773894j -0.00266115+0.00516744j -0.013898+0.00872501j -0.000806514+0.00398617j -0.00834273-0.00039178j 0.0217625-0.00204433j -0.000892499+0.00816637j -0.000400391-2.2191e-05j -0.00332662+0.0105547j 0.00389415-0.00645804j -0.00341924-0.00312879j 0.00610084+0.00624096j 0.0294875+0.0110853j -0.00793301-0.0315022j -0.0116971+0.018466j 0.000701061+0.0140159j 0.0176188+0.0164955j -0.00311465+0.0061096j 0.0232751-0.0113366j 0.00164681-0.00233753j -0.00593549+0.0280579j 0.00521513-0.0285845j -0.0458416+0.00400995j -0.00182098-0.018271j 0.0381135-0.0380466j 0.0231461+0.0245969j 0.0250767+0.00265437j -0.00177731+0.02722j 
-0.0018785-0.0302725j -0.0276125+0.00137239j -0.0419735+0.0100802j -0.0132223-0.042595j 0.0096999-0.0183814j -0.0273681-0.000983679j 0.00495131+0.0234258j 0.0196044-0.0166441j 0.0160709+0.00478489j -0.00913136+0.00199576j 0.00922132-0.0012291j -0.00904028-0.0142108j 0.0183948+0.00216303j 0.00177284-0.00948214j -0.0108793-0.0143304j 0.0125916-0.0253146j 0.00274574-0.00378914j -0.0148195-0.0108879j -0.0078666-0.00473093j 0.00818946+0.01302j 0.0118087-0.00564711j 0.00562509-0.0280541j -0.00139584-0.00657048j 0.000239683-0.00327995j 0.0174644-0.0188242j 0.000180478+0.00421268j 0.00995277+0.00344667j 0.0032339-0.000504149j -0.016661-0.00282851j 0.00493357+0.00762301j 0.0133276-0.0303753j -0.00808056-0.00224229j -0.00212801+0.0190504j -0.0097582-0.00410741j -0.00415972-0.00489425j -0.0148746-0.00100536j -0.00208429+0.0121847j -0.000459674-0.000880129j -0.00169344+0.00652052j 0.000968024+0.0176653j -0.0103721+0.00612788j -0.00469662+0.000699629j -6.15463e-05+0.00466092j 0.0103998+0.00589011j -0.0125406-0.0128223j 0.00170545-0.00593612j -0.00960339+0.00879082j -0.00561664-0.00539103j 0.0183614+0.00089255j -0.0105934+0.00543413j -0.0129673+0.000972039j 0.00071011-0.00123744j -0.00468961-0.0148935j -0.0167674-0.00946725j 0.024291+0.00809401j -0.00431423-0.0120169j -0.0109469-0.00829324j 0.0144913-0.0121632j 0.0179036-0.00368199j 0.0085263-0.00790519j -0.00653484-0.00478321j 0.00718429-0.000742023j -0.02677-0.00934415j 0.00684646+0.0130655j 0.0132222+0.00182225j -0.00377733-0.00698082j -0.00368644-0.00323222j -0.0106726+0.01914j 0.00407735+0.0100707j 0.0090956+0.00222942j 0.00519851+0.00468657j 0.000229341-0.0069786j -0.00774624+0.0171377j 0.0110041-0.00653713j -0.0172773+0.0247226j 0.0235243-0.00309396j 0.015658+0.00846711j -0.00159608-0.0163386j 0.0168915+0.0203942j -0.0104258+0.0381854j 0.00354899+0.0107781j -0.0197619-0.0161166j -0.0125312-0.00219152j 0.0116683-0.0341255j -0.00493784-0.00321026j -0.00778657-0.0186982j -0.0308562-0.00515723j 0.00774629-0.00155549j 0.0355352-0.0159607j 0.0157152+0.0259042j 0.0154791-0.0228372j 0.0245913+0.020901j 
