0.0897145-0.0839282j -0.0853445-0.0918786j -0.0635794+0.0152098j 0.0253418+0.087173j 0.0302878-0.051908j -0.0479382+0.0159839j 0.00226813+0.0171818j -0.031762+0.000669792j -0.0485948+0.0246679j 0.0191537+0.00213199j 0.00123623-0.0384564j -0.00120872-0.00881161j -0.0236088+0.010087j 0.0455979+0.0243799j -0.0279386+0.00255872j 0.00193477+0.0147755j -0.0552385-0.00609392j 0.0262228+0.0475699j 0.0167197-0.0805088j 0.0640287+0.0153661j 0.096331-0.0904989j 0.0902824+0.0956171j 
0.273044-0.192361j -0.195343-0.277744j -0.205997+0.0449506j 0.0687439+0.271031j 0.100628-0.170865j -0.137957+0.0419492j -0.00813739+0.0291427j -0.105904+0.0195611j -0.171298+0.0758884j 0.0579653+0.0152297j 0.000635456-0.0930176j 0.00133514-0.0259508j -0.0584983+0.0107783j 0.174541+0.0804013j -0.103961-0.0191122j 0.00583908+0.0296752j -0.136249-0.0461784j 0.0965534+0.172582j 0.0769445-0.269958j 0.204555+0.0510408j 0.196415-0.275046j 0.270278+0.193262j 
0.00346637-0.00651355j -0.00720913-0.00371393j 0.000757115-0.00386789j 0.000189411-0.00178359j 0.000169112+0.00399241j -0.00204391+0.000340881j 0.00181378+0.0029235j -0.000662684-0.00614605j 0.00299301-0.00382225j 0.00358156-0.000111922j -0.000913938-0.01099j 0.00474103-0.00318309j -0.00164509-0.000319469j -0.00837031+0.0029425j 0.002152+0.000669901j -0.000441721+0.00693831j -0.00233633+0.00411958j -0.0099156+0.00321119j 0.0104338-0.00815062j 0.0190077+0.00895386j -0.014482+0.00771067j -0.00666693-0.0157514j 
-0.0149865-0.033671j -0.0343819+0.0160221j 0.0210976-0.0059634j -0.00946648-0.032102j -0.0210924+0.0298586j -0.00257048-0.00966803j 0.00957007+0.0147244j 0.0207547-0.0185585j 0.0404364-0.00868737j -0.0012055+0.00341354j -0.00196564-0.0151828j 0.000435924+0.00341714j -0.000375411+0.00532231j -0.0400537-0.00881859j 0.0200434+0.0223338j -0.00915824+0.0158151j -0.00550496+0.0184923j -0.0223469-0.0341308j -0.0109594+0.0308644j -0.0164245+0.000177466j 0.0354007+0.0181073j -0.0160039+0.0347153j 
0.00545812-8.73234e-05j -0.000486848-0.00635037j 0.00302536-0.00704381j -0.00461202+0.000904941j 0.00549371+0.0023508j -0.00118611+0.00505476j 0.00358868+0.00321479j -0.0066276-0.00334783j -0.00650205-0.00351006j 0.000131101-0.00185048j -0.00642089+1.904e-05j 0.00230354+0.00150998j -0.00100936+0.00212332j -6.55685e-05+0.0105002j 0.000132493-0.0014745j -0.00174979+0.00499294j 0.000288894+0.00610888j -0.00738553+0.00551786j 0.00164106-0.025669j 0.0342498+0.00288378j -0.0165195+0.00782922j -0.00727755-0.0181164j 
0.0333201-0.0229427j -0.0225585-0.0328002j -0.0124771-0.0157468j -0.0242731+0.0112218j -0.00159111+0.0124358j -0.0183335+0.00267137j 0.0169807+0.0174822j -0.00451414-0.0107798j 0.00170085+0.00311446j 0.0150188+0.00837434j -0.000555351-0.0147824j 0.000827023+0.0134157j -0.0106616+0.00203907j -0.000366602+0.00921218j -0.0041418+0.00439006j -0.0246654+0.0202j -0.00918851-0.0180655j -0.00519096-0.00760261j -0.0184237-0.0216398j 0.0179593-0.0211944j 0.0123358-0.0313009j 0.0297023+0.0118685j 
0.0172811+0.0111525j 0.00924778-0.015906j 0.00758665+0.00831027j 0.014469-0.0123018j -0.0073994+0.000411378j -0.00559042-0.00559199j 0.0118791+0.00237429j -0.000451929-0.00205286j 0.00892246+0.0057537j -0.00883642+0.00838974j 0.00296461-0.0195616j 0.00246478+0.0122384j 0.0106698+0.00416762j -0.00844228+0.00568877j 0.00150013+0.000749965j -0.0116959+0.00355491j -0.00190599+0.00836073j -0.0108337-0.000717411j 0.0119886+0.0122673j -0.00172937+0.00896021j -0.0104419-0.0149097j 0.0164337-0.0123785j 
-0.00301094+0.0233559j 0.0231794+0.00113585j -0.0108623-0.0104607j -0.0128972+0.0168492j -0.000828554+0.0075628j 0.0069764+0.00561417j 0.0133045+0.0121974j -0.00265594+0.00069866j -0.005181+0.00766979j 0.00195937-0.00521102j 0.0119921+0.00961211j -0.00502988+0.0152479j -0.007779+0.00895288j 1.59198e-05-0.000828228j -0.0028102-5.3748e-05j -0.017256+0.00509275j -0.00382285-0.0142927j -0.00662195-0.0193768j -0.0313183+0.00562791j -0.00619149-0.0207275j -0.00752666-0.00871625j 0.00892719-0.0058202j 
0.0059757-0.0035773j -0.00164454-0.00480802j 0.0108389-0.0107878j -0.0183395-0.0149387j -0.00846464+0.00818416j -0.00270267+0.0139809j 0.00665361-0.00640153j -0.00246461+0.00432338j 0.000338005-0.0025453j 0.00884631+0.0131583j -0.0206307+0.006228j 0.010072+0.00701358j 0.00361249-0.00854887j 0.00768428+0.00744313j 0.00142226-0.00219792j -0.00853605+0.00976895j 0.00715462+0.00100228j 0.00642104-0.00360558j 0.00364715-0.0122767j 0.00137968+0.00217157j -0.0108461+0.00517084j -0.00699287-0.0112742j 
0.0099093-0.0247195j -0.0243135-0.00900367j -0.00284218+0.00524721j 0.00563881+0.00182191j 0.0102321-0.00761777j -0.0093024-0.0104758j -0.0144464-0.00371822j 0.00166988-0.00457582j 0.00241526-0.00650498j 0.00320789-0.00254044j 0.00339304-0.00903774j -0.00257316-0.0151664j -0.00328627-0.00582145j 0.00108258-0.00374145j -0.00210391+0.000501187j 0.0125755-0.00577597j 8.45826e-05-0.00516474j 0.00537367+0.0144925j 0.00821168-0.00424558j 0.0030742-0.0017002j 0.0173867-0.00988316j 0.00894175+0.0173214j 
0.00518176+0.00477139j 0.0042279-0.00644979j 0.0038673-0.00861493j -0.00566712-0.000454599j -0.00663331+0.00512683j 0.0167853+0.00734266j -0.00356803-0.0124457j -0.00138116+0.00272464j 0.00145135+0.00782064j 0.00433884+0.000431913j -0.00502979+0.0166588j 0.0175953-0.00582562j 0.0121189-0.00752877j -0.0014961-0.00596436j 0.00592793-0.000530667j 0.0112663+0.00824766j 0.00110998+0.0274309j 0.0056513-0.00843836j -0.00481201-0.00585181j 0.0104574+0.00920708j 0.0078587-0.00330801j 0.00445351+0.00753241j 
-0.0112024+0.00278566j 0.0025237+0.0111082j 0.00275501+0.00758727j 0.0106299-0.00502859j -0.0156801+0.00523477j 0.0209939+0.0150622j 0.0108302-0.00209478j 0.00109782+0.0207682j -0.0105136+0.0142799j 0.0123313+0.0112827j -0.0049085+0.0108569j 0.00683879+0.000603243j -0.00653491+0.00573584j 0.0113807+0.0122602j 0.00655008-0.0156054j -0.0177861+0.00697229j 0.0146065-0.00156541j -0.00855071-0.0202496j 0.00878116+0.00783771j -0.00823869+0.0156299j 0.00552083+0.00964763j -0.00883355+0.00548096j 
0.00682206-4.46027e-05j 0.00225829-0.00552864j 0.0116525-0.00218678j -0.000758642-0.0128463j -0.00151858-0.00280823j -0.00264146+0.0155458j 0.000578277-0.0105412j -0.00283827+0.0065158j 0.00184858-0.0025898j 0.014745+0.00688032j -0.0022549-0.00456812j 0.00559225-0.00284142j -0.0036966-0.0130574j 0.00962276-0.00572278j -0.00206737-0.00662068j 0.00255705-0.00157896j 0.0113555-0.0134769j 0.00892202+0.0053487j -0.00138553+0.012418j -0.0197136-0.0113125j 0.00508458-0.00839772j 0.00615298+0.00658099j 
-0.00998623-0.00165858j -0.00362227+0.0112477j -0.0111179+0.0109666j 0.0122744+0.00622962j -0.00254455+0.00415915j -0.00150889-0.0100123j 0.011335+0.0114023j 0.00619306+0.00753568j 0.00255832+0.00754083j -0.00628989+0.00410198j 0.00432595-0.00086839j -0.010608+0.00372403j -0.00506577+0.00884115j 0.0106504+0.0157089j -0.00469143-0.00187555j -0.0094043+0.00409761j 0.0126604-0.00289595j -0.0211961-0.00167884j 0.00625555-0.00454085j 0.0144676+0.00496252j -0.000388832+0.0105928j -0.0105078-0.00297204j 
0.00305961+0.00882778j 0.00796359-0.00161848j -0.00971646+0.00961184j 0.00476196+0.00285761j -0.0072781+0.00799697j -0.000289072-0.00501176j 0.00316877+0.000184402j -0.000666026-0.00217695j 0.00844892+0.00348754j 0.00140773+6.19643e-05j -0.00355044-0.00325162j -0.000212855-0.00255093j 0.00284476-0.00438918j -0.00562372+0.000790207j 0.000201244+0.00184761j 0.00366772+0.002072j 0.00333581+0.00811727j 0.00219109-0.00330743j 0.00173027-0.00321404j 0.00274408-0.00100299j 0.0019168-0.00337827j 0.00294266+0.000890834j 
0.00539246-0.00803298j -0.00631379-0.00556351j 0.013837+0.00790053j 0.00787994-0.00685787j 0.00600552+0.00383589j 0.00294978+0.0100878j 0.00512984+0.000253617j -9.30926e-05+0.00839946j -0.00895236-0.00164164j 0.00900815-0.0028466j 0.00451068-0.000501963j -0.00608911-0.00265852j -0.015293+0.00352986j 0.00879926+0.0037449j -0.00276094-0.0115624j -0.000742309-0.00712787j 0.00946466-0.0191867j -0.00587949+0.00485685j 0.00482097+0.00399841j -0.00447935+0.000860175j 0.000321759-0.00342286j 0.00295658+0.00176206j 
0.00431988-0.0125581j -0.0117109-0.00326897j 0.00070655+0.00677659j 0.00111037-0.000110688j 0.009394+0.00242853j -0.00544505-0.0108464j -0.00141037+0.0018979j 0.006042+0.00536785j 0.00167799-0.00210165j -0.00291265-0.00240067j 0.00154465+0.00210821j -0.0120829-0.000281649j -0.00774679+0.00328952j 0.0114152+0.0079276j -0.00895258-0.00213921j -0.00284009-0.0047388j 0.00765908-0.0158038j -0.00712893+0.00316493j 0.00555982-0.00316995j -0.00197801+0.00201931j -0.00110394-0.00458645j 0.00345404-0.0012586j 
