0.0205782+0.012651j -0.0141488+0.0201212j -0.0180703-0.0206572j -0.0186248+0.0136208j 0.000557193-0.00389148j -0.00397108+0.00107521j -0.00261786-0.00960242j 0.00723553-0.0105686j -0.00522322-0.00329144j 0.00601425+0.00395876j -0.00177176-0.00790524j 0.00748246+0.00207791j -0.00132472-0.00388114j 0.00147604-0.0106255j -0.00251796+0.000527017j 0.000486474-0.0015357j 0.00338223+0.00521744j -8.19752e-05+0.000207266j 0.00132627+0.00521775j 0.000922411+0.000811197j 0.00727564-0.00585886j -0.00592059+0.0105249j -0.00859631+0.00381187j -0.00261716+0.00524822j 0.00502153-0.00114887j -0.00477853+0.00156968j 0.00579651-0.00529633j -0.00144281+0.00358972j 0.000354475+0.00728979j 0.00273136+0.000602835j 0.00141574-0.0026896j 0.00106886+0.000648394j -0.00368779-0.00655762j -0.000877236-0.00245901j -0.00646636+0.00304668j -0.00456068+0.000792965j 0.004181+0.00405064j -0.00342207-0.00711567j 0.00864511-0.00254465j 0.00570807+0.00294787j -0.00437009+0.00462941j 0.00235+0.0123748j 0.00320612+0.00527962j -0.00977508+0.0048351j -0.0139557+0.00200912j -0.00143822+0.00199139j 0.00820536+0.00175734j 0.00181562+0.00525791j 0.0191531+0.00679759j -0.00969897+0.0184665j 0.00437366-0.0235353j -0.0238664-0.00666275j 
0.0175513-0.006977j 0.0052649+0.0160935j 0.00327898-0.0106512j -0.00705461-0.00522759j -0.00203474+0.0109768j 0.012949+0.000180374j 0.0116315+0.0027092j 0.0065148+0.00495839j -0.0025-0.0027584j 0.00229432+0.011304j 0.00135958-0.00255388j -0.00371608+0.00358332j -0.00214202-0.000150943j -0.00587143-0.00188471j -0.000812162-0.00695265j 0.00384133-0.00345709j 0.00514634+0.00701407j -0.00168561-0.00166825j 0.000735668+0.00117877j -0.000539099-0.00181508j 0.00153804+0.00114579j -0.00285882+0.00567223j -0.00306155+0.00631294j -0.00145905+0.00218214j 0.000268721+0.00296491j -0.00406219+0.00138814j 8.71821e-05+0.00138761j -0.0010059-0.00301791j -0.00403006+0.00800118j -0.00235245+0.000482528j 0.00354451+0.000762656j -0.00437762-0.00167975j -0.00729541-0.00374376j -0.00223588+0.00280254j -0.00158826+0.000786266j -0.00222807-0.000321881j 0.00344867-0.0020657j -0.000480485-0.00314665j -0.0031304-0.00338909j -0.00225684-0.00545432j -0.00286108-0.0040798j -0.00553601+0.000766257j -0.00893774+0.00638169j 0.000585099+0.000982353j -0.00260754-0.0115076j 0.00567173-9.24138e-05j -0.00599708-0.00306572j 0.00160047-0.00291952j -0.000701356+0.0159877j -0.0135506-0.00236705j -0.0125456-0.0189383j -0.0192221+0.0123378j 
0.0162623-0.0174863j 0.0143755+0.0150584j 0.0134857-0.0120331j -0.00715291-0.0144011j -0.00988268+0.0124982j 0.0158247+0.00810973j 0.0100432+0.00801959j 0.00204181+0.00855165j 0.00297764+0.000663445j 7.81439e-05+0.00942466j 0.00784601+0.0021154j -0.00702116-0.00176337j 0.000400382+0.00515169j -0.013958+0.00620097j 0.00345089-0.0150619j 0.00606235-0.00937145j 0.00776826+0.00573603j 0.000700227-0.00047288j 0.00418762-0.00191055j -0.00178005-0.0057703j -0.00328045+0.00606865j 0.00108469+0.00346689j 0.00124362+0.0100082j 0.00236552-0.000413044j -0.0027303+0.001524j -0.00613717+0.00222165j -0.00642218+0.00253428j -0.00277992-0.00637591j -0.00629258+0.00213917j -0.0067176-0.00202117j 0.00745511+0.00206007j -0.00986403-0.00178382j -0.0103959-0.00554499j -0.00260208+0.00276015j 0.000284747-0.00277081j 0.00448922+0.000982562j 0.00583987-0.000518892j -0.00514472-0.000863967j -0.00679165-0.00743342j -0.00415872-0.015941j -0.00727435-0.00867299j -0.0100456-0.0060998j -0.00647247+0.00392224j 0.0018181-0.00998174j 0.00633812-0.0172917j 0.0112086-0.00115036j -0.0106005-0.009982j 0.0101863-0.00248162j -0.00849738+0.0307262j -0.026323-0.00666684j -0.0188998-0.0151739j -0.0140377+0.0208337j 
0.048123+0.0279198j -0.0316468+0.0436479j -0.0322613-0.0490968j -0.0415612+0.0228814j 0.00145739-0.0033551j -0.00305488+0.000280954j 0.0110509-0.0208661j 0.0230607-0.0111777j -0.0116775-0.0141062j 0.00965857+0.0149616j -0.00245945-0.0247999j 0.0164643+0.00626454j -0.00368748-0.0158045j 0.00391629-0.031642j -0.00819743+0.00198174j 0.0047045-0.00347038j 0.0125591+0.0160884j -0.00189184+0.00105677j 0.00562746+0.0128825j -0.000318727-0.000110698j 0.0251979-0.0104623j -0.0169346+0.0246289j -0.0260915+0.00672659j -0.00837729+0.0141206j 0.0122624-0.000978991j -0.0162486+0.00159938j 0.0194561-0.0104024j -0.00071975+0.00457266j 0.000714853+0.0247263j 0.0111931+0.00190842j -0.000247477-0.00839607j 0.00134211-0.000581039j -0.0107869-0.0187065j -0.00177706+0.00268653j -0.0131147+0.0110315j -0.0117578+0.00330682j 0.00755606+0.00880202j -0.00757407-0.0199095j 0.0157717-0.0084104j 0.010306+0.00417341j -0.012297+0.0129924j 0.00735808+0.0299912j 0.000668506+0.0178695j -0.0216594+0.0186818j -0.0348503+0.00833749j -0.0114863+0.0049677j 0.0109342+0.00326311j 0.00921015+0.00494538j 0.0405842+0.0127256j -0.00665831+0.0407522j -0.0013911-0.0523839j -0.0560678-0.00532833j 
0.0220637-0.0163199j 0.0137569+0.0186236j 0.0210486+0.000581685j 0.00438117-0.0237675j -0.00503104+0.0245158j 0.0342983-0.00101044j 0.026938+0.0178325j 0.00321301+0.017421j -0.00794408-0.00866175j -0.0020893+0.0296595j 0.00568318+0.000146084j -0.0129112+0.00184353j -0.000165405+0.00668051j -0.0117679+0.00171444j -0.00122429-0.0164756j 0.012505-0.00565373j 0.0143717+0.00361348j -0.00865461+0.00252637j 0.000939143+0.00107813j 0.00185649-0.0094742j -0.00476405+0.00478664j -0.000819587+0.00762191j -0.00168996+0.014042j -0.00195901-0.00303316j -0.00298685+0.00952726j -0.00464556+0.00603122j -0.00694873+0.00784835j -0.00683245-0.0137655j -0.00712697+0.0135658j -0.0117229+0.000250167j 0.0026819+0.00491529j -0.00938967-0.00214072j -0.0172386-0.00555882j 0.00400884+0.0110576j -0.00354141+0.00332044j -0.001382-0.00195701j 0.00900299-0.00854814j -0.00200911+0.00377883j -0.0177423-0.010491j -0.00553004-0.0204688j -0.00602942-0.0149466j -0.013823-0.00195265j -0.0194306+0.0151758j 0.00801604-0.00119145j -0.00783395-0.0268197j 0.00663483-0.0134464j -0.0208367+0.00349499j -0.00695553-0.000399495j -0.018551+0.0171423j -0.0132553-0.0116575j -0.023897-0.0149835j -0.0168518+0.0265897j 
-0.0146926+0.0286511j -0.0289774-0.0142148j -0.0305818-0.00775602j -0.00787894+0.0324863j 0.0035764-0.0307746j -0.038907-0.00117004j -0.0142839-0.0216351j 0.00085415-0.0133769j 0.0047055-0.000604061j 0.00501801-0.0261856j -0.0114656-0.0169121j 0.0225421+0.00099201j -0.00382374-0.018991j 0.0216519-0.0203276j -0.0075181+0.0247566j -0.00886372+0.00519885j -0.010512+0.000472548j 0.00741406+0.000786829j 0.00471381-0.00401005j -0.00209901+0.00869898j 0.0136108-0.00771465j -0.00503006+0.00272192j -0.00734274-0.0193411j -5.90978e-05+0.0069114j 0.00639766-0.00864496j 0.000328879-0.00430574j 0.0188098-0.016444j 0.00995549+0.013494j 0.0110693-0.00464111j 0.0160057+0.00106314j -0.0131973-0.00622982j 0.0132464+0.00410885j 0.0140447+0.00575444j 0.00169622-0.00699264j -0.00266557+0.00450489j 0.0010567+0.00401105j -0.0132041+0.00908343j 0.0108681-0.00237455j 0.022935+0.0108951j 0.00654561+0.0275549j 0.014283+0.0193004j 0.0222678+0.008848j 0.0109517-0.0167045j -0.012583+0.00908j -0.00768725+0.0279586j -0.00441387+0.013005j 0.0259233-4.6298e-05j 0.0097076+0.0250304j 0.041279-0.0138461j 0.021885+0.0421777j 0.0269363-0.00198857j -0.00182591-0.0288997j 
-0.0697388+0.0553502j -0.0435996-0.0629855j -0.068105+0.056554j 0.0398134+0.0701347j 0.0483269-0.0314321j -0.0561194-0.053755j -0.0146473-0.0339573j -0.01072-0.0232552j -0.0131466-0.00884795j -0.0036897-0.0475221j -0.0425351-0.0170491j 0.0320256+0.00613987j 0.00105549-0.0336837j 0.0570651-0.0241444j -0.0199665+0.0689544j -0.0363576+0.0532365j -0.0400907-0.0171937j 0.00219184+0.00613091j -0.0252587-0.00297971j 0.00333152+0.0180259j 0.0115007-0.0194467j -0.00439692-0.0210713j -0.00281142-0.056696j -0.015762+0.00523313j 0.00333962-0.000771787j 0.030553-0.0101582j 0.0334763-0.00556475j 0.0281065+0.0335689j 0.0188322-0.0144368j 0.0324295+0.00930381j -0.0364655-0.00485326j 0.0451954-0.00249439j 0.0513669+0.0360078j 0.0146905-0.0188667j -0.000263346+0.00726672j -0.0351899+0.00209418j -0.0319912+0.00818682j 0.0319233+0.00826615j 0.0168778+0.0335603j 0.0196347+0.0899512j 0.0534445+0.0264551j 0.0480783+0.0108071j 0.0086036-0.0342712j -0.00859132+0.060825j -0.00545261+0.0506997j -0.0335184+0.000728577j 0.058902+0.0453284j -0.0493509+0.0403691j 0.0330478-0.100941j 0.0863127+0.0234295j 0.0743465+0.0376149j 0.0374983-0.0764363j 
0.0704635+0.0519536j -0.0569148+0.0597614j -0.0590274-0.0751508j -0.0609576+0.047363j 0.012416-0.0118858j -0.0136864-0.0143133j 0.0346844-0.0369927j 0.0332834-0.0109335j -0.0225247-0.0278281j 0.012776+0.0242604j -0.00401552-0.0392312j 0.0404395+0.00335208j 0.000756834-0.0212201j 0.0117269-0.0567337j -0.00348059+0.0123852j 0.00750514+0.00933811j 0.0210646+0.0246884j 0.00132581+0.00255121j 0.00408144+0.0221593j -0.000258311-0.00521529j 0.0430946-0.0156449j -0.0216103+0.0406462j -0.0500234+0.0026667j -0.0165802+0.020949j 0.0202944+0.0014241j -0.0202389+0.00152418j 0.0250653-0.0180196j 0.00137196+0.0203309j 0.00439635+0.0466611j 0.0171294+0.010563j -0.0006639-0.00913256j 0.00924545-0.000927173j -0.00849188-0.0232813j 0.00563045-0.00359389j -0.0270656+0.0171519j -0.0316826+0.00731669j 0.00582035+0.0231191j -0.00302329-0.0379368j 0.0253128-0.0155332j 0.026479+0.0227289j -0.00971941+0.0142835j 0.0244058+0.0445019j -0.00078317+0.0241341j -0.0331994+0.0471823j -0.0524898+0.0261435j -0.0193155+0.00317622j 0.00825946+0.0142697j -0.0134775-0.00508164j 0.0628098+0.0142725j -0.00895449+0.0653974j -0.00582272-0.0810593j -0.0922721-0.00664722j 
-0.0382546+0.113811j -0.107473-0.0341836j -0.146831-0.0627061j -0.0601366+0.137185j 0.0358088-0.0946101j -0.141119-0.0328951j -0.0355603-0.121235j 0.0427811-0.066417j 0.0214455-0.0113219j 0.0326476-0.110616j -0.0425901-0.07909j 0.1044+0.0242759j -0.0120989-0.101221j 0.0913662-0.0922317j -0.0371754+0.106334j -0.048898+0.0440409j -0.0513378+0.0314495j 0.0268596-0.0020172j -0.00919724+0.0062389j -0.0116327+0.0440753j 0.0807677-0.0264499j -0.0345253+0.0141712j -0.0511068-0.0913215j -0.0262202+0.0298284j 0.0370872-0.0273754j 0.0116555-0.0298598j 0.0985429-0.0410376j 0.0560819+0.0733331j 0.0345156+0.00779102j 0.0872441+0.0194348j -0.0397614-0.0434947j 0.0641282-9.24962e-05j 0.0798947+0.0118616j -0.00527488-0.0363386j -0.022361+0.0228496j -0.0436936+0.00841282j -0.0584577+0.0575449j 0.0233468-0.0537174j 0.104493+0.0416513j 0.0379543+0.145917j 0.040088+0.0903644j 0.0812288+0.0524613j 0.0558628-0.0271085j -0.0476464+0.0726506j 0.00289833+0.142847j -0.0315407+0.0700207j 0.12578-0.00377904j 0.00480174+0.04243j 0.144938-0.0969894j 0.0978918+0.122386j 0.0871396-0.0357425j -0.0404485-0.108767j 
-0.108789-0.04186j 0.056535-0.0909302j 0.0259048+0.113323j 0.0852944-0.0112296j 0.0199255+0.010532j -0.00877128-0.0247805j -0.0388275+0.0255781j -0.0488071+0.0117881j 0.0109387+0.0423609j -0.015209-0.0500525j -0.0156685+0.0505849j -0.0469146-0.00548721j -0.0046227+0.0105178j 0.00318769+0.0641511j 0.00408082+0.0136903j -0.0345452+0.0179313j -0.0440892-0.0355881j 0.00562336-0.00431327j -0.0205487-0.0222536j 0.000539249+0.013409j -0.0516256+0.00651376j 0.024955-0.0645386j 0.0577391-0.0317744j 0.0138133-0.0222216j -0.0200659-0.00622046j 0.0425444-0.00620647j -0.0147629+0.0207745j 0.0128699-0.00234036j 0.000644921-0.0581764j -0.00334878-0.00749934j -0.00358304+0.00607398j 0.00750939-0.00144544j 0.038137+0.0469718j -0.00555061-0.0141566j 0.0346591-0.0122982j 0.0100141+0.00252449j -0.0207496-0.0209315j 0.0241912+0.0399365j -0.022312+0.0327805j -0.0145572+0.0233235j 0.0356645-0.0248459j -0.00421697-0.0448756j -0.000256531-0.0536527j 0.0303296-0.0268903j 0.0780503-0.00796451j -0.00306878-0.0190425j 0.000831662+0.0153168j -0.0153101-0.00125079j -0.0741458-0.0571702j 0.0376457-0.0889873j 0.0416955+0.105921j 0.120446-0.0289018j 
0.00657644-0.057939j 0.0538804+0.0101952j 0.0858275+0.0181574j 0.016119-0.0787336j -0.0455571+0.0206088j 0.0416825+0.0570727j -0.0356734+0.052494j -0.0264159+0.00840247j 0.015022+0.0234744j -0.00587348+0.0282552j 0.0322469+0.0448824j -0.0448355-0.0117283j -0.00417974+0.0617723j -0.0448569+0.0590401j 0.0189392-0.0610642j 0.0264512-0.046496j 0.0211428-0.0213442j -0.00218422+0.00391241j 0.0212247-0.0123155j 0.00419505-0.0191559j -0.0480891+0.0222175j 0.0285734-0.000386779j 0.0371378+0.0494316j 0.0241968-0.0242889j -0.0198095+0.00202296j -0.00548737+0.0125467j -0.0588637+0.00260221j -0.0363662-0.0419402j -0.0105264-0.0260098j -0.0551682-0.0104017j 0.0215763+0.0151704j -0.0379786+0.0149444j -0.0378476-0.0117244j 0.00127488+0.0132224j 0.00978454-0.0124842j 0.0521897-0.0134607j 0.0294247-0.0207842j -0.0240291+0.0315936j -0.0347417-0.0254029j -0.0241007-0.0955743j -0.0410053-0.0350186j -0.055517-0.0294676j 0.00867477+0.0179842j 0.0234355-0.0886239j 0.0116373-0.0503989j 0.0389152-0.0157431j -0.0474032-0.0310884j 0.0242451-0.0171465j -0.0613105+0.0471607j -0.0648537-0.0445331j -0.0338086+0.0349342j 0.0413306+0.0431312j 
