-0.00642097+0.00674733j 0.00254789+0.00531058j 0.00181773-0.0100266j 0.00583653+0.00476187j -0.00465122+0.00764838j 0.00749432-0.00498646j -0.00161821-0.0117041j -0.00709279+0.00619364j 0.0109487+0.00511151j 0.00780351+0.00797182j 0.00321206+0.00258146j -0.0021867+0.000412822j -0.00165637-0.00801356j -0.00133984-0.00442733j -0.000224701-0.0064207j 0.00475729-0.00269927j 0.00364573+0.00142007j 0.000527012-0.011966j -0.00208747-0.00368638j 0.00271599+0.00237309j -0.00358234+0.00499817j 0.00321176-0.00216199j -0.00121254+0.00776234j -0.00424459-0.00378693j -0.00203649-0.00179934j -0.00402788+0.00221947j 0.00315315-0.00275171j -0.00307119-0.00170481j 0.000644736+0.00225925j 0.0108413+0.000717838j -0.0020162-0.00114858j 0.00604277+0.000998322j 0.00111372-0.0019321j -0.00269732-0.00445316j 0.0035993+0.00121516j -0.00741817-0.0100245j 0.00165335-0.0108525j -0.00600482+0.00619416j 0.00794229+0.0106407j 0.00970025-0.00928988j 
0.00573949+0.00454247j 0.00225077-0.00846525j -0.00811894-0.00221364j 0.0152483+0.00311855j -0.00235113+0.0045949j 0.00276145-0.00452284j -0.0059408-0.00187907j -0.00658643-7.80451e-05j -0.00110758+0.00469913j 0.00486797-0.00332659j 0.00360438-0.00745278j -9.04176e-05-0.00607145j -0.00172703+0.000820207j 0.00798385+0.00536586j 0.00617829+0.00730485j -0.00172115+0.0079846j 0.000338756-0.00088427j 0.00238416+0.0024415j -0.00475432+0.00217828j -0.00709689-0.00014951j 0.00828378-0.00343089j 0.00376743+0.000964057j 0.00361827-0.00365749j -0.00707207+0.00491721j 0.00702565-0.00429079j -0.000402885+0.00354134j 0.00187561-0.000803297j 0.00165625+0.000307361j 0.001699-0.0100648j -0.00889544+0.00195382j 0.00114845-0.000126748j 0.00181828+0.00322495j -0.0054403+0.00680416j -0.00814886-0.00112499j 0.00258618+0.00488673j -0.00289772+0.00139633j 0.00487048+0.00588567j 0.00530609+0.0176838j 0.00837681-0.0153664j -0.0148301-0.0053241j 
-0.00319195-0.00717917j -0.000140064-0.00345825j 0.00505165+0.00165456j -0.00674026-0.000556791j -0.000616182-1.16882e-05j -0.00464146+0.00190127j -0.000198055+5.96113e-05j 0.0019055+0.00059755j 0.00231834-0.00246418j -0.00355957+0.0013044j -0.0048872+0.000288386j 0.00207337+0.00363638j -0.00268771-0.00284951j -0.00340802-0.00412182j -0.00368645-0.00117029j -0.00270769-0.00384018j -0.00129801+0.0037278j -0.00438055+0.00465922j 0.00409564-0.00352425j 0.00339481-0.00110022j -0.00037798-0.00466689j -0.00379055+0.00392234j 0.00176902-0.00473085j 0.0091433-0.00281173j -0.00230351+0.00495301j 0.00591407-0.00471826j -0.00615964+0.00371998j 0.000722983+0.00187208j 0.00163312+4.23067e-05j -0.00664461-0.00617691j 0.00137914-0.00061452j -0.00797876-0.00740182j -0.00391463-0.000313412j 0.00504599+0.00183689j -0.00439941-0.00504624j 0.00957066+0.00829513j -0.0104058+0.0119964j -0.00221978-0.00854178j -0.00182765-0.00553274j -0.00585108-0.00077395j 
0.0141463-0.00426328j 0.00123982-0.0145366j -0.00517091+0.0104095j 0.00835864+0.00197893j -0.00179428-0.00172381j -0.00417011+4.13163e-05j -0.00309774+0.000648451j -0.00955932-0.00988284j -0.0105434+0.00945338j 0.00552356-0.00285595j 0.00604072-0.00535334j 0.0039986-0.00615519j -0.000420345-0.00130552j 0.00733917+0.00675449j -0.00984438-0.00648787j 0.0044103+0.00128195j 0.00296814+0.00774915j -0.00297627-0.00498677j 0.00394151+0.00195943j -0.0033953+0.000653549j -0.00499362+0.00353659j -0.00795884+0.000180685j -0.00909279+0.00432613j 0.00377442-0.00409765j -0.00680322+0.00175842j -0.00352498+0.00608105j 0.00373505-0.00471405j 0.00301756-0.00263958j 0.0012123+0.00831136j -0.00280427-0.00561136j 0.00741077+0.00665007j 0.00571812+0.00719144j 0.00693475-0.00948048j 0.00494835+0.00384051j 0.000701624+0.00754365j -0.00966633+0.00837225j -0.00394879-0.0128599j 0.00144208-0.00640952j 0.00239787+0.0099936j 0.0110789-0.00236962j 
-0.00201101+0.00704236j -0.00353367+0.0165688j -0.00353095-0.0025301j -0.00821505-0.00471385j 0.000651541-0.00736701j 0.00328938-0.00185345j 0.00289294+0.0041949j 0.00665588-0.00237672j -0.00700766-0.000953247j 0.00394488-0.00763293j 0.0098255+0.00255858j -0.00483831-0.00678038j 0.00443761+0.00271678j 0.0024429+0.00532639j -0.00274766+0.00498423j 5.48194e-05-0.000127527j 0.000521581-0.00998137j 0.00699113-0.00849691j -0.00632183+0.00319927j 0.00100044-0.000351816j -0.00584787+0.007052j -0.00272555+0.00438389j 0.0037581+0.00294295j -0.00604898-0.000963636j -0.00736489-0.000321769j 0.0054779-0.00432094j -0.00152788+0.00948737j -0.00338805-0.000876056j 0.00447502-0.00775844j 0.0129053+0.00398589j -0.000698679+0.00502355j -0.0035555-0.0150139j 0.00485366+0.0029636j 0.00604077-0.00431899j -0.00818511-0.00350889j 0.00474416-0.000545991j -0.00579677+0.00172496j 0.000687915-0.00763032j -0.00240016-0.000930882j -0.000361773+0.0014862j 
0.00417669+0.0130408j -0.00293118+0.00950477j -0.00741026-0.00143064j 0.00840229+0.000687477j 0.000958941+0.00182474j 0.0096144-0.00305055j 0.00512528-0.00543767j -0.00647697+0.00484537j 0.00324476+0.00765044j 0.00338907+0.00221551j 0.00629817+0.00740159j -0.0105787+0.00212221j 0.00180718+0.00214852j -0.00711307-0.0052021j -0.000199151-0.000474207j 0.00293876-0.00498977j 0.00011528-0.00229167j -0.001098-0.00434471j 0.00222976-0.0030423j 0.00314046-0.000862907j 0.00101814-0.00116061j 0.000764211-0.001808j -0.00415115+0.00525198j 0.00188887+0.000421792j -6.32544e-05-0.000710754j 0.00557119-0.00182472j -0.000624017+0.0113136j -0.00447517+0.0019065j -0.00472255+0.0084023j 0.0111044-0.0045846j -0.00777718-0.00394154j -0.00725396-0.00604j -0.00289379-0.00256524j 0.00245078+0.00102952j -0.00198166-0.00982155j 0.00638517-0.0024842j -0.00872201+0.000811554j -0.00117398-0.0113014j -0.006701+0.00440783j 0.00251686+0.00170365j 
-0.00805384-0.00138973j 0.00236552+0.00105943j -0.00116476-0.00116092j -0.0108024+0.000265585j -0.00550132+0.00819997j -0.0146323-0.0033289j -0.0122766-0.00370867j -0.00761583-0.0064414j -0.000526895+0.0067591j 0.00784283+0.00147265j 0.0010265+0.00632222j -0.00413079-0.000434317j -0.000716254-0.00447744j -0.00363251-0.00596209j -0.00504555-0.00436989j 0.000215833-0.00257279j 0.00119143-0.00224426j 0.00464043-0.00416706j -0.00192549+0.00773617j 0.00236285+0.0118319j -0.00742982+2.2264e-06j -0.00756297+0.0126601j -0.000668221-0.0079164j -0.00293319-0.00476511j -0.0172919+0.00722197j -0.000937681-0.000648067j 0.00195577-0.000235831j 0.00105574-0.00523149j 0.00098855-0.018733j -0.00173536+0.00130361j 0.0157721+0.00846066j -0.00360821-0.00728698j 0.0150426+0.00375609j 0.00482226-0.00522024j -0.00398089+0.01107j -0.00220302+0.00471033j 0.0018647+0.00271875j 0.000590239-6.03455e-06j -0.00207916-0.00517681j -0.00354023-0.000114465j 
0.0063478+0.0032999j -0.00347809+0.0116461j -0.00236743+0.00309063j 0.00289889-0.00184959j -0.00157712-0.00632401j 0.00482142-0.000970408j 0.00477393+0.00456955j 0.00164862-0.000312567j -0.00349481+0.00307461j -0.000227796-0.00679702j 0.00351189+0.00860763j -0.0111817+0.00461549j 0.00672638+0.00932272j -0.0111819-0.0053937j 0.00195901+0.00773344j -0.00296314-0.00227809j -0.000278186-0.00572517j 0.00137729+0.0157187j 0.00588671+0.00536662j -0.000911472+0.00621782j 0.00958437-0.0105834j -0.0062529+0.00556923j 0.000267119-0.00456251j -0.00158701+0.00817127j -0.000847912+0.00201019j -0.00569126+0.0123745j 0.00665624-0.0108842j 0.00442752-0.00117859j 0.00324867-0.00338491j -0.0141168-0.00571605j 0.00882589+0.00539575j 0.00815614+0.0138577j 0.00313391-0.00159885j -0.0044196+0.00117626j 0.004171+0.011487j -0.012368+0.0041491j 0.00582543-0.00347449j -0.00132983+0.009745j 0.00512728+0.00250607j 0.00143026-0.00114294j 
-0.000842697-0.00700234j 0.00174791-0.0189907j 0.00650395-0.00354272j 0.00913329+0.000931418j 0.00227101-0.00135206j 0.0060172+0.00323808j 0.00170216-0.00301354j -0.00129581+0.00152019j 0.00107101-0.00223043j 0.00182223+0.0096011j -0.00757404+0.0063534j -0.00179882+0.00150582j 0.0044757+0.00320062j -1.37433e-05-0.00584794j 0.00292798-0.00187076j 0.00253369-0.00476882j -0.000594371-0.0094002j -0.000223052-0.00805496j -0.00314689-0.000289415j 0.0103631-0.00101929j -0.0091433+0.00259936j 0.003378+0.000330537j 0.0116233+9.89762e-06j 0.00403944-0.00140119j -0.00591703+0.00166578j -0.00453877-0.00203692j -0.00571095-0.0180848j 0.000581682-9.67513e-05j 0.00185655-0.00323742j 0.00115415-0.000352779j 0.00423059+0.00205059j 0.00979334-0.00264991j 0.00616143-0.00219792j -0.00104396+0.000539478j 0.00434105+0.001469j -0.0113745+0.000945926j -0.00154336-0.0109355j 0.00257456+0.0038082j 0.00548324+0.00548186j 0.0053211-0.00555462j 
-0.00128312-0.00629784j -0.000104817-0.00314479j 0.00203896-0.00102676j -0.00611893+0.00053906j -0.00532616-0.00614683j -0.00284559+0.0005358j -0.00612773+0.0119188j 0.0036303-0.00624497j -0.00797777+0.00353738j 0.00816887-0.0157353j 0.00576311+0.000670764j -0.011617-0.00681721j 0.000641485+0.00815752j 0.00292814-0.00709279j 0.00391981+0.00607738j 0.00806774+0.000736702j 0.00471181-0.00818371j 0.00132169-0.00784862j -0.00385688-0.00676415j 0.00448291-0.0126223j -0.011404-0.00627759j 0.0127698+0.00079761j 0.00862895-0.00296102j 0.0147093-0.00325628j 0.00138355-0.00449538j -0.00626927-0.00203936j -0.00553981-0.0172824j 0.00592775+0.00123924j -0.00106442-0.00062465j -0.0122874+0.00164134j 0.00420984-0.00151057j 0.00594512+0.00851213j -0.00191882+0.00114352j -0.00697086+0.0038954j 0.00614744+0.00662082j -0.00554736+0.00162499j 0.00692876-0.00327366j 0.00330536+0.00905031j 0.00484326-0.00387164j -0.00124251-0.000877203j 
0.00767925+0.00219003j -0.00122281+0.00127688j -0.00411802-0.00383225j 0.0203815+0.00552899j -0.0124596+0.00501651j 0.00697469-0.00719231j 0.000655338-0.00176083j -0.00354044-0.00115309j 0.00227848+0.00508046j 0.00667879-0.00797471j 0.0108124+0.00443341j -0.00917145+0.00401649j -0.00371251-0.00327414j -0.0130248-0.00367899j -0.00491492-0.00153456j 0.000726123-0.00420282j 0.00607705+0.00276058j 0.00328452+0.00153202j 0.00389962-0.00578885j 0.000640521+0.00706992j -0.00242679-0.0110395j -0.00589292+0.00612545j -0.00909686+0.00402601j 0.00272869-0.0012422j -0.0056061-0.00130429j 0.00973445+1.22971e-06j 0.00458945+0.0140881j -0.00220738-0.000663489j 0.00108625+0.00139287j 0.00270087-0.00251715j -0.00245713+0.000952079j -0.0060211-0.00654148j -0.00114254+0.00425146j 0.00476553+0.000283022j -0.00602589-0.00504167j 0.00937404-0.00164682j -0.0065583+0.00792139j -0.00169332-0.00875195j -0.00544854-0.000607914j -0.00303591+0.00216414j 
