0.000221443+0.000676185j 0.00273329+0.000738153j -0.000720961+0.00754696j 0.00242864-0.0017734j 0.0038187+0.00200124j -0.00216559-0.00394193j -0.00263894-0.00517862j -0.00911199-0.00548291j 0.000303108-0.00956195j 0.00090348+0.00379665j 0.0108401-0.0074605j 0.0060495+0.00112968j -9.10018e-05+0.00304559j -0.00214545+0.00255344j 0.0075403+0.00654687j -0.00364975-0.0149509j 0.00200238-0.00587424j 0.00199951-0.00113479j 0.00372568+0.0104051j -0.00274939-0.000740385j 0.000410106+0.00351745j -0.00141649+0.00298903j 0.000842237+5.59649e-06j -0.000508385+0.000177272j -0.00470101-0.00324653j 0.00326628+0.000103501j 0.00224946-0.0007155j -0.00302073+0.00764074j -0.00128296+0.0074343j -0.00023382+0.0015308j -0.00309764+0.00687364j -0.0164064+0.00592019j -0.0182643+0.00554144j -0.00918432-0.022342j 
0.00105541+0.000961902j 0.00430221+0.00197578j -0.00562532-0.00410329j 0.00319012-0.00549693j -0.00634462+0.000538958j 0.00675737-0.000380966j -0.000662181+0.0048389j -0.000843079-0.00324789j 2.21611e-05-0.00722415j 0.00354823-0.00136301j 0.00115596-0.00111952j -0.000278023-0.000380392j 0.00442491-0.00192965j -0.00823922+0.00197003j 0.00664229+0.00588766j -0.007012-0.00164765j -0.00464185-0.00952554j -0.000398393-0.00170405j 0.00168651+0.00427269j 0.00767434-0.00224945j -0.00241787+0.0013881j 0.00116384-0.00549603j 0.00252177+0.00517872j -0.000625094+0.000289724j 0.00188403-0.00396436j 0.00369941-0.00755246j -0.00366478+0.00275127j 0.0111587-0.00134202j 0.000378214+0.00721557j 0.00229274-0.00244126j 0.00214953+0.0061619j -0.0121453+0.00781664j 0.000821154-0.0327037j 0.0325389+0.00224502j 
0.00404335-0.00589101j -0.00692395-0.00428387j -0.000541202-0.0143786j -0.00297988-0.000122351j -0.000444295-0.00195916j 0.00375103+0.00493081j 0.0123886+0.00132985j 0.012638+0.00989801j -0.000491742+0.00220015j -0.000173118-0.0010374j -0.00602234+0.00430749j -0.00238057+0.00299155j -0.00159054+0.00437746j 0.00199669-0.00018104j -0.00415184-0.00265452j -0.000407103+0.00937325j -0.000425387+0.00460357j 0.00459059+0.00167571j 0.00299202+0.000397033j 0.00917804+0.000564364j 0.00281504-0.00532503j -0.00427289+0.00509351j -0.00408854+0.00365249j -0.000840144-2.25805e-05j 0.00541728-0.000225192j -0.00693365+0.00146897j -0.00319614+0.00189833j 0.00105023-0.00591327j -0.0102754-0.0102926j -0.0221528+0.00317054j -2.76791e-05-0.0294727j 0.0173813-9.40073e-05j 0.00339609-0.00934427j 0.0111695+0.00683366j 
-0.000654798+0.00585548j 0.00644225+0.00113328j -0.000397592+0.000157772j 0.00655897+0.00574032j -0.00411528+0.007896j -0.00104669+0.00397157j 0.00746452-0.00640855j 0.00341507+0.00192298j -0.008112+0.00538336j 0.0123427-0.00842488j -0.00437268-0.000233623j 0.0214686+0.019378j -0.017194+0.00785065j 0.00116279-0.00591528j 0.00702285-0.00444624j 0.00859095-0.0133302j 0.0060754+0.00918169j 0.0105861+0.0060129j 0.00214676+0.0160343j -0.0128463-0.00797967j 0.00379068+0.0030908j 0.0010741+0.0233714j -0.00230119-8.35859e-05j -0.000638296-0.000686994j 0.00119353-0.00868854j -0.00767663-0.00376663j 0.00630641-0.00917351j -0.0117425+0.0145379j -0.00813129+0.0183755j -0.0374722-0.00286839j -0.00676582-0.02889j -0.0175262+0.0104955j -0.00294853+0.0214196j -0.0220518-0.00394936j 
0.0180288-0.00501706j -0.00415593-0.0198563j 0.00867579+0.00198817j 0.00398374-0.000114062j 0.0123985+0.0100689j -0.00388055+0.00639574j 0.0138634-0.0108803j 0.00362926+0.0107844j -0.00413314+0.00806746j 0.00166183+0.00378455j 1.00019e-05-0.00792231j 0.00493376+0.0101311j -0.0118744+0.0036858j 0.0145532+0.00346562j 0.00626963-0.00586031j 0.00363084+0.00241422j 0.00220235+0.00458818j 0.00209779+0.00755878j 0.00341891+0.00422216j 0.00429004+0.00867291j 0.000278385+0.0019042j 0.000531464+0.000823259j -0.00334169-0.00101824j -0.000979364-0.000694751j 0.00238803-0.0145744j 0.00370083+0.00885337j 0.0047473-0.0053201j -0.00130539+0.00279465j 0.0140875-0.0137049j -0.0157388+0.00196167j 0.00292748-0.00584304j 0.0121734+0.0119816j 0.0184344-0.0172221j 0.0163824+0.0165158j 
-0.00415094+0.00895635j 0.00938005+0.00435716j -0.0109768+0.0100574j -0.00731402+0.00723267j -0.015834-0.0108131j 0.000170682-0.00323519j -0.0129922+0.00165187j -0.00824086-0.0178292j -0.00869941-0.0224021j -3.27468e-05-0.0208003j 0.0198227-0.0163062j 0.00914029+0.0127948j -0.0301679+0.0159984j 0.0215419+0.0226149j -0.00994217+0.00355864j -0.0244891+0.0222803j 0.01393+0.00512593j -0.0108731+0.000423037j 0.0166764+0.0102454j 0.0271199+0.0231268j 0.001309-0.00505077j 0.0100413+0.021478j -0.0173178+0.00569525j -0.0034927+0.0044231j 0.00593645-0.0313809j 0.00328347+0.0112975j 0.00930707-0.0204223j -0.0124443+0.0131316j -0.00247498-0.00986086j -0.0485908+0.00298446j -0.00163401-0.0372405j 0.00775289+0.0104965j 0.0050749+0.00754093j -0.00866091+0.00445933j 
0.0158649+0.00845371j 0.00977846-0.0166349j 0.00505319+0.0182659j -0.0280667+0.00300238j -0.0119262-0.0287108j -0.00607597-0.0108996j -0.0268449+0.0172911j -0.0053373-0.0121127j 0.0123039+0.00908364j -0.00486949+0.00420156j -0.00587383+0.00814767j 0.00674669-0.00510592j 0.00337118+0.00757209j 0.000579887-0.00895497j 0.00321188-0.00692419j 0.0104629-0.00677299j 0.00232688+0.00440525j 0.00970156+0.00418363j 0.000661341+0.00152878j -0.00557698-0.00514205j 0.000246426+0.000164228j -0.00098005+0.00623414j 0.000937374+0.00210427j 0.0016879-0.00018224j 0.00051694-0.00489144j -0.00399169-0.000878565j 0.000268847-0.000384007j -0.00200952+0.00147161j -0.00105108-0.000230199j -0.0202617+0.00100891j -0.000338844-0.0165364j 0.00233897+0.00833952j 0.00792602-0.00322171j 0.00265986+0.00792037j 
-0.0201823+0.00953306j 0.0104164+0.0240353j -0.0156059-0.00535163j 0.0100267-0.00786029j -0.00212678+0.00934994j 0.00934225+0.000532217j 0.00907076+0.00130843j -0.00320773+0.00487908j -0.00276697-0.0109418j -0.0122034+0.00203458j 0.000674326-0.00246308j -0.0109313-0.0140845j 0.012629-0.00174718j -0.00650869+0.00959363j 0.00479642+0.00530244j -0.0117776+0.00350321j -0.00653146-0.00940921j -0.00565033-0.00553525j -0.000685054+3.33704e-05j -0.0078074-0.00205022j 0.000218544-0.00209454j 0.00269982-0.00788924j 0.00327494+0.00463886j 0.000425594-0.000136653j 0.00482871+0.0177886j -0.00925645-0.006602j -0.00633885+0.00956933j 0.0131083-0.00275825j -0.00144066+0.0194492j 0.00953699-0.00346564j -0.00237958+0.0050926j -0.0148636+0.00584028j -0.00295061+0.0147272j -0.013705-0.000870357j 
-0.00372086-0.00638805j -0.00875929-0.00152829j 0.000946785+0.000757103j 0.00706404-0.00270878j 0.0132921+0.00936102j -0.0095101+0.00956313j 0.000777945-0.00654291j -0.0154985-0.00924851j 0.00339172-0.00159003j -0.00862412+0.00832025j -0.00229151+2.78398e-05j -0.00239347-0.0121619j 0.00891388-0.00143237j -0.00432568-0.00273951j 0.00253884+0.00550702j -0.000615271-0.00202414j -0.00410106-0.000303353j 0.00216992-3.33154e-05j -0.00365856-0.00462906j -0.000346651-0.0037563j 0.00173179+0.00388812j -0.00629122-0.0102141j 0.000859726+0.0030457j 0.00164803-0.00282858j -0.00450747+0.00393918j 0.00470948-0.00317489j -0.00449009+0.0046015j 0.00565856-0.00302378j 0.00367258-0.00490045j 0.00583201-0.0071602j 0.00980058+0.00877256j -0.00213714+0.00451955j 9.32155e-05-0.0127545j 0.0105463-0.00228315j 
0.0105489-0.00807747j -0.0079762-0.00850365j 0.000495132-0.0101412j -0.00904193-0.00942707j 0.0110383-0.00860346j -0.000140887-0.00270957j 0.0116285+0.00476148j 0.00684039+0.00825461j 0.0172425-0.00284831j -0.023141+0.0189218j 0.00192836-0.00558516j -0.0171518-0.0133571j 0.00653468+0.00736739j 0.014072+0.00615324j -0.00302192-0.00152197j -0.000788686+0.00790713j 0.000984477-0.000253864j 0.000911028+0.00332084j 0.000948305+0.00407934j 0.00113431+0.00507884j -0.00113897+0.0027844j -0.00496323-0.00931192j -0.00105816+0.000547597j -0.000427961-0.000635262j 0.00211015+0.00892121j 0.000773909+0.0111945j 0.00285798+0.00555103j 0.00592293+0.0017642j -0.0036178-0.00428584j -0.000750065+0.00121089j -0.00555035-0.00529018j -0.00150369-0.0106561j -0.00042507+0.00168988j -0.000655057-0.00135135j 
-0.00303359+0.000835056j 0.00374353+0.00439647j 0.00516126+0.00267148j 0.00102955+0.00134609j -0.000912213+0.0011378j 0.000137135-0.00224044j 0.00267629+0.00207426j 0.00588552+0.00561384j 0.00679408+0.0132146j 0.00537627-0.00177736j -0.00368582-0.0087491j 0.0108087-0.0081619j 0.0178749-0.017389j -0.00548265-0.0106146j 0.0107207+0.00234654j 0.00307483-0.0084733j -0.00319211-0.0111475j -0.0265372-0.00552712j -0.00762664+0.0121413j -0.00103683+0.00536617j -0.00512069-0.00393765j -0.000244284-0.00614433j 0.00506402+0.0199572j 0.00363424+0.00734628j 0.00656929-0.0020036j -0.00983998-0.00467387j -0.00323837-0.000929895j 0.00952812-0.012461j -0.00236698+0.00618496j -0.0133682+0.000683278j -0.00140885-0.0113406j -0.000886023+0.00701158j -0.00215768-0.0104419j 0.0114841-0.00152499j 
