-0.426118+0.415913j -0.261512+0.416296j -0.980256+1.75408j -2.48628-0.589438j -0.657166-0.630923j -0.636624+0.413567j -0.547636-0.755803j -0.0374863+1.08336j -0.0489508+0.54778j -0.655173-0.109806j -0.185244-0.143807j 1.18571+1.06431j -0.150055+0.738038j 0.93233-0.613793j -0.171237-0.182441j -0.161687+0.483716j 0.283709-0.63874j 0.0417623+0.204554j 0.0591766+0.956544j 0.522236+0.749542j -0.307331-1.3499j -0.965598-0.440839j 0.0973617+0.642382j 1.00724+0.265046j -0.855232-0.0977655j -0.378832-0.284465j -0.2336-0.485964j 0.0739358-0.145444j 0.0438812-1.12568j 0.924599-0.838709j 0.367021+1.06846j -0.145125-0.175559j 0.325203-0.220473j -0.423213-1.08792j 0.157562-0.557874j -1.27143-1.0011j 0.165711-1.29151j 0.294532-0.326438j 1.54312-0.735702j -0.0834482-0.90701j 0.578113+2.01757j -3.65912+1.55385j 1.49602+2.78602j -2.02666+1.64231j -1.92396-2.45026j 0.610272-0.418052j -0.356939-0.461571j 0.807553-0.110416j 1.29771-0.271375j -1.29594+0.566679j 0.092544-0.734219j -0.577727-1.79979j -0.541337-2.18777j 1.33663+0.385414j -0.287724-0.298027j -0.478007+0.583411j 1.15584-0.412814j 0.953778-0.287006j -0.130683-0.393169j -0.808129+0.375731j 0.816682-0.230311j -0.617058+1.36961j -1.10361+2.24571j -0.243054-0.16198j -0.58409+0.630354j -0.076041+0.640025j -0.191744-0.358064j -0.5907-0.81654j 0.046464+0.993917j -0.999783-0.0231368j 0.686351+0.307156j -0.362753-0.0272909j -2.21368-0.513748j -0.990953+0.899601j 0.713028-0.850497j 0.825977-0.453568j -1.207+0.0377145j 0.0801862-0.357718j 0.0171635-0.408837j 0.354285+0.170055j 0.79158+0.249166j -0.763829+1.66515j -2.11968-0.882844j 0.246884-0.231128j -0.587216+0.58005j -0.59576-0.238134j -0.889045-0.980608j 0.35131+1.11501j -1.05037-0.593178j -0.054878+1.06213j -1.57696-2.13291j 1.87808-2.19431j 
1.92103-0.688896j 1.12759+1.56805j -0.646111-0.148411j -0.152633+0.046424j 0.63946+0.593069j 0.649751+0.195464j -0.19429-1.18331j 0.299163+0.169974j -0.301697+0.26679j -0.745191-1.28267j -0.882595+0.189789j -0.377951-0.647799j 0.0276505+0.290891j -0.0446652+0.459954j -0.229981+0.685198j -0.493868+0.292949j 0.890572-1.08342j 0.215458+0.693072j -0.326073+0.845031j 0.181161-1.01843j 0.326998+1.12251j -0.663476-1.2022j 0.148053+0.128394j 0.347131+0.395912j -0.381884-0.0870271j 0.12012+0.376727j 1.15289-0.182306j -0.988742-0.489668j -0.584512+1.64889j 0.100661-0.734752j -0.702716+0.764671j -0.765821-1.03137j -0.0859917-0.139963j -0.0438878-1.5424j -0.85053+0.523531j 2.87979+2.02665j -0.150177+0.904674j -2.33348+2.2269j 2.43631-2.02458j 1.45431+2.06944j 0.927355+1.02911j -0.821535-1.38066j 0.561721-1.08572j 0.756063-0.459056j -0.77368-0.798561j 0.713088-1.23569j 0.908303-0.644329j -0.536157-0.759434j 0.228972+0.0843683j 1.8086-1.3509j -1.28965-1.74501j 0.618411-0.85628j -0.36491-0.480428j -0.0859114-0.227787j 0.198472-0.130879j 1.02173-0.368914j 1.27917-0.16648j -0.497972-0.688709j 1.23289+0.723005j 1.61873-0.909075j -1.1695+0.801077j 0.404196-0.198999j -0.92842+0.724737j 0.0913715+0.923492j -0.507814+0.999452j -0.333216-0.448704j 0.0980927+0.405754j -0.903305-0.573862j 0.143179+0.0612172j -1.64676-1.50391j -1.24109-1.16593j 0.49891+0.218063j 0.781304+0.0868746j -0.210685-0.182573j -0.761195-0.14017j 1.43326+0.1447j -0.0869382+0.294017j 0.274425-0.716156j -0.875769+0.0646831j 0.181131-0.8385j -0.0553366+2.52955j 0.104635+0.876292j 0.891537+0.114815j 1.01471+0.134577j 1.06468+0.00436059j 0.0429383-0.63368j -0.484849-0.796779j -1.54705+0.200151j -0.507321+3.6852j -3.1498+0.210963j -1.10437-0.0862622j -0.238006+0.553906j 
0.101613-0.0601226j 0.479222-0.679756j 1.55883-1.07875j 1.02025+0.815819j -0.599156+0.382257j -0.0524825-1.17498j 0.243296-1.84841j -1.71712+0.751684j -1.04121+0.236749j -1.38161+1.67627j 0.0336207-0.720612j -1.06214-1.25095j 0.175694+1.46905j -3.6078-0.882067j -0.643398-0.329139j -0.309787-1.55212j 0.134769-0.790258j -0.127187-0.422873j 0.689615-0.129292j 1.01056-0.133464j 0.659343+1.31729j 0.317695+0.720757j 2.03669+0.749554j -0.452674-0.645543j 0.63551+0.725141j -1.43015+0.28883j 0.0561528+0.90635j -0.18794+0.261465j -0.0499957+0.966815j 0.697156-1.0909j -0.104925-1.39582j 0.225434+0.809636j 0.305143-0.906978j 0.546256+0.391845j -0.950982-0.0764032j 0.458422+0.290299j 0.286405+0.779667j 0.480621+0.189086j -0.747006+0.695268j 0.938745+1.38104j -2.14754-1.81014j 0.626551-0.258159j -0.931297+1.6307j 1.34101-2.22192j -0.173522+1.33007j 0.339245+0.11461j 2.0892-0.48393j 0.429065+0.355951j 1.24157+1.96549j -0.612155-1.16588j -0.212561-0.599803j -0.715327+0.920684j -0.610901+1.29442j 0.659966-1.71152j -0.16518+1.21636j 0.0865039+0.313704j -1.29997-0.508344j -0.818176-0.0304744j -0.458468-0.0393954j 0.906551-0.545311j -0.560098+0.220219j 0.78215-0.445164j 0.587387-0.978276j -0.223402+0.354479j 0.152855+1.23781j 0.112025-0.449062j -0.359004+0.871655j 0.184558+0.0852974j 1.16352+0.196343j 0.60252+0.544731j -0.0870938-0.935122j 0.360884+0.15989j 0.328141-0.236876j 1.17446-0.523454j -1.2838+0.496948j -0.104321-0.225648j -0.362023+1.27928j 0.322015-0.350272j 0.0218992+0.370915j 0.929685-0.446301j -0.107805-0.931861j 0.190057+0.702934j 1.23773+0.150862j -0.12115-0.35757j 0.0289207+0.721675j 0.553645-0.195222j -0.270585+0.120865j -0.449447-0.432332j 0.472952-0.367623j -0.672391-0.434527j 1.93079-0.471009j 0.957938+2.01345j 
-1.47327-0.567813j -0.77314+0.0229511j -2.80772-0.146824j 0.665098-1.86242j -1.54157-1.59232j 0.361886-2.38582j -0.343115+0.299644j -0.716879-0.946279j 0.264472+0.118257j -1.27535+0.665823j 1.23574+1.11154j 0.370073+1.74884j -0.0250321-0.218332j -0.0537438-0.499915j 0.402783+0.138327j 1.07177-0.474474j 0.273197-1.47089j 0.0694799-0.817643j 0.454475-0.179857j 0.0562977+0.266216j 0.0259222-1.58635j -0.532827+0.337644j 0.834378+1.10914j -0.661711-1.30481j -1.17783+0.240177j -0.264186+0.482994j -0.243649-0.169705j 0.105061-0.351036j 0.252984-1.88857j 0.569127-1.87829j 1.43364-0.766376j -0.360727-0.525292j 0.235882-0.81932j -0.614038+0.10436j -1.46719-2.09708j -0.0837765-1.02202j 1.29758-2.21339j -0.591095-1.35599j -0.704545+0.4669j -2.80197+0.139998j -1.14684+0.530885j -1.8629-1.61125j -0.537493+0.732205j -2.11327+1.18609j 0.724424+0.418752j -1.92537+0.0132761j 0.343128-0.192451j -0.326627+0.743801j -0.451702+0.275157j -1.53317-0.244661j -0.0503429+0.257669j -0.387003-0.633852j -0.102126-0.774434j 0.0699469-0.678784j -0.66668-0.292977j -0.121118+0.693821j -1.12648+0.902503j -0.703678+0.611435j -0.829308-0.813641j -0.216907-0.651342j 0.570745+0.0289155j -0.0833637+1.40134j -0.292793+1.19957j 0.0445647-0.98938j -0.242502+0.927758j 0.0287133+0.868981j -0.202018-0.975032j 0.583767+0.895429j 0.309119+0.915216j 0.659379+0.976816j 0.343559+1.38843j -0.217755-0.454013j -0.453522+0.376885j -0.59742+0.760499j -0.452534-0.32066j 0.779926+0.324166j -0.339739-0.517763j -0.321389+0.625395j -0.0650848+0.700765j 0.228193+0.593319j 0.13124-1.08502j 0.0168545+0.140272j -1.15756+0.360628j 0.582585-0.283191j 0.29508+0.397874j 0.413676+0.128963j -1.56397+0.474722j 0.830718+0.920242j -1.55018-0.537256j 0.754795-1.84925j 0.52656-0.710138j -0.021714-0.841556j 
-1.52724-2.7414j 2.17408-1.72863j -0.115767+1.13457j 0.143667+0.110816j 0.426628-0.3773j -1.04434+0.358028j -0.487274+0.13258j 0.693925-0.125592j -0.558249-1.11139j 0.0775314+1.12704j -0.989939-1.43446j 0.0951765+0.54706j -0.12554-0.457017j 0.491308-0.547666j -1.69571+0.134912j 0.347851-0.38273j -0.969533+1.25494j -1.63611+1.31717j 0.17195-0.594278j 0.691322-0.0455986j 0.369339-1.10114j 0.512227-0.107531j -0.526813-0.92932j 0.786421+0.676447j -0.281311+1.34125j -0.163844+0.362848j -3.36909+1.28466j 0.291901-2.00915j 1.07417-1.13288j -0.362308+0.217245j -2.0427-1.62516j -1.65416+0.184411j 0.0161354+0.0506286j -1.01504-1.75842j 0.931273+0.471176j 0.611244-3.08304j -0.472688+0.0837519j 0.945066-0.818978j -2.86123-0.821786j -0.702602-0.818178j -0.366209-1.04517j -0.924657+0.746606j -0.444888-0.226465j -0.144834-0.0358593j 0.250679+0.334761j 0.606571+0.0426321j -0.917305+0.0207265j -0.0835503-1.09408j 0.0207784+0.134586j -0.765776+0.526844j -0.168199-0.81164j 0.886101+1.2053j -0.660618+0.185847j 0.244572+0.463442j -0.549125-0.459728j 0.614185+0.85848j 0.286866+0.157618j 1.23386-0.0124241j -1.21559-0.0763932j -0.0283997-0.0273998j 0.178412+0.247722j -0.115204+0.734896j 0.382598-0.612024j -0.952086+0.283955j 0.0183594-0.316817j 0.14505+0.171266j -0.567148-0.765463j -0.0753922-1.28401j 0.0386208+0.11174j 0.298578+0.335413j 0.702302-0.0757978j -0.268113+0.253138j -1.20485-0.342464j 0.337693-0.243199j 0.64778-0.0580531j -1.31446+0.505548j 0.498396-0.0522347j 0.570411+1.42285j -0.810677-1.04721j 0.228861+0.787028j -1.16365-0.790883j -0.0375761+0.675448j 0.316049-1.24061j 0.434042-1.59655j 0.50376-1.22574j -1.868+0.212844j -0.0982362+0.446991j -0.171467-0.536462j 0.150879-0.434782j 0.821239-0.124255j 0.518615-0.124973j 0.0395595-0.255068j 
-0.0828304-0.0766215j -0.169472+0.276554j -0.379952+0.969753j -0.408145+0.417812j 0.487767+0.346505j 0.16992+1.31728j -0.532003+1.67081j 1.48533-0.197786j 0.905402-0.0135716j 1.10546-0.990738j 0.122438+0.270032j 0.0596231+1.60528j -1.05418-0.669658j 0.0823742+0.694879j 0.0866225-0.479571j -0.626988-0.903506j 0.114581-0.527853j -0.0423846-0.45569j -0.345157+1.19821j 0.566712+1.16442j -0.121144+0.652321j -0.5846+1.26799j -0.253627-1.29269j 0.729278-1.33887j -2.27781-0.440291j 0.844378+0.524798j 0.487169+1.9411j 1.64307+0.406922j -0.368117-0.0536125j -0.0761204-0.225816j 0.84306+0.636204j 0.53463-1.15642j -1.01592-0.37231j -1.18826+0.383549j 0.444836-0.997066j -0.287171+0.276616j -0.247858+0.415278j -0.460159-0.0788574j -0.605373-0.515248j -1.3376+0.00690308j 1.77033-1.22932j 0.629429-0.331254j -1.20029-1.62977j 1.62601+1.24835j -0.428661-0.830382j -0.185515+1.30557j -0.70241+0.715832j -0.296784+1.32249j -0.988766+1.57044j 0.348066-0.253872j 0.205389+1.97688j -0.0470365-2.07004j 0.0675119+0.236827j 0.461088+2.64979j 0.646639+1.05922j -0.329762-3.87442j -0.135281-2.41657j 0.233903+0.0156486j -0.0746301+0.76307j 0.300127-0.367179j -0.404059-0.627076j 0.350483-3.77984j 0.292095+0.340782j -0.0503066+3.59084j -0.0821423-1.14279j 0.318395-3.29161j -0.722524+1.42965j 0.201886-0.0405947j -0.850313-3.75745j -0.348772+0.853314j 0.307022-4.78435j -0.214545+0.408841j 1.32037-0.665354j -0.377668-0.927109j 0.175742-0.737523j 0.323559-2.68976j 0.132059+4.25623j 0.552594-0.45841j -0.646471-2.36147j -0.897326-1.13485j -0.00399458-1.31j 0.454577+1.72617j 0.039669+0.65886j 0.574053+1.54143j 0.505437+1.0518j 0.730346+0.365511j -0.446403-0.765131j -0.0671676-0.26399j 0.164888-0.362142j -0.184514-1.06505j 1.46882+0.738776j -0.318364+1.74776j 
-0.0662664+0.00599042j 0.121853+0.00928967j 0.431044-0.327448j 0.679175+0.196245j 0.178425-0.510913j 0.794712-0.63887j 0.963399-0.00282658j -0.762735-0.91976j -0.280086-0.610059j -1.00464-0.482991j 0.341992-0.341724j 1.34334-0.372018j -0.127971+1.40456j 0.398599+0.247692j -0.445754+0.0980266j -0.336249+0.793531j -0.407947+0.0574334j -0.338455+0.005483j 1.22648-0.220338j 0.694688-0.829646j 0.56471-0.357956j 1.40049+0.0674524j -1.21757+0.502446j -1.55203-0.331197j 0.529209+1.98608j 0.2669-0.742084j 1.51902-1.18247j -0.391103-1.69566j 0.126861+0.0776911j -0.503039+0.195928j 0.199855-0.98431j -1.40202-0.208425j -0.111145+1.12696j 0.991474+0.969501j -1.26511-0.0355682j 0.0614586+0.326443j 0.529776-0.223594j -0.238198+0.521521j 0.100054+0.571942j 0.0482682+1.8316j -1.92777-1.38209j -0.417947-0.161802j -1.04732+0.410067j 0.963637-2.56777j -0.567758+0.521945j -0.306825+0.547516j -1.15844+1.59406j -0.497406+0.271185j -1.50238+0.301807j 0.57679+0.389341j 0.180656+0.0761394j -0.338671-0.935227j -0.251518-0.875329j 1.00837+0.896427j 0.996314+0.295272j -0.164606+0.310042j 0.181298+1.00235j 0.178725-0.0778751j -0.321723-0.381592j 0.443293-1.33401j -0.549126+1.0998j 1.25335+0.209542j 1.13252+1.04245j -0.246738+0.220406j -0.460146-1.51561j 0.66699-0.394496j -1.83246+0.216623j 0.655822+0.652017j -1.51015-0.827227j -0.580199+1.04065j 0.687657-0.872995j -0.462319+0.572191j 1.94283+0.777894j -0.147792+0.158731j -0.197055-0.729626j 0.559671-0.561901j -0.182375+0.596381j 0.77435+0.400527j -0.766562-0.298945j -1.7378+0.292228j -0.0749778-0.355106j 0.392616+0.324305j 0.372719+0.987508j 0.239296+0.52792j 0.311534-0.565145j 0.568986+0.179174j -0.627618+0.118363j -0.0175666-0.315403j 0.355752+0.213769j -0.653344-0.664142j 2.06532+0.307937j -0.0070804+2.65541j 
0.531541+0.129274j 1.0829-0.363478j 2.07905+0.064108j -0.658688-0.037452j 0.0514867+0.489457j 0.0475284-0.251191j 1.87569-1.59214j -0.643679-0.72063j -0.598777-0.0779667j -0.595253+0.845498j 0.0343563+1.11233j -0.996632-0.93228j -1.33585-1.55947j -0.882911-1.08582j 0.890615+0.236075j -1.32962+0.782635j -1.14194+0.484771j 0.606054+0.973935j -0.706332+0.256654j -1.09293-1.00175j 0.745907+0.996165j -0.374351+0.360068j 0.724609-1.15061j 0.463023+0.508705j 0.808916+0.675172j 0.503333+0.172982j 0.800529+0.555355j 0.530124+0.222888j 0.76461+1.38513j -0.60779-0.984669j -0.53642+0.0847602j 1.14557-0.122434j -0.836914-0.619408j -0.661547+0.75041j 0.190167+0.142615j 0.188687+0.194329j 0.715097+1.81874j 1.1688-0.964194j -0.633948-0.239967j 0.622486-2.00741j -0.104837-1.17644j 1.21157+0.489312j 0.329513+0.511457j -0.122041-2.11283j -0.510663+1.50499j 0.797448-3.2798j 1.20782-0.329302j 0.0761695-3.37059j -0.208586-3.729j -0.496925+1.05546j -0.280594-4.90555j 0.0988738+3.73656j 0.459177-1.81623j 0.325178-4.38162j 1.83359-1.19194j -0.407389+10.7266j -0.197925+7.13618j 0.557987-0.529563j 0.122831-3.20655j 0.0223957-1.04498j 0.100594+4.23655j 0.390752+11.0112j -0.175696+1.07428j -0.564266-9.63974j 0.689569-0.690914j 0.866194+8.91097j -0.0128664-2.31635j -0.378094+0.981758j 0.0149354+7.90061j -0.510385-0.1297j 1.03305+11.6931j -0.220055+0.0306815j 0.995736+2.78016j -0.293352+1.75574j 0.849745+0.971206j 0.497666+4.97807j -0.807763-10.1703j 0.179578+1.1864j 0.27028+4.29356j -0.692168+2.66328j 0.342723+2.35367j 0.192949-5.77396j -0.362507-1.01529j -0.119076-0.939847j 0.465381-4.01235j 0.649015-0.119169j 0.173161+2.68798j -0.361486+1.69005j -0.375448+0.272782j 1.63539-0.501299j 0.994503-0.462779j 0.547118-0.304318j 
-0.0738722-0.1146j -0.761845-0.707154j -0.628571-1.48566j 0.480847+0.264j 0.411651+0.588022j -0.38595+0.0571032j -1.99498-0.714303j -0.0286256+0.664759j 0.28211+0.414215j 1.66903+0.286622j 0.671726-0.725373j -0.175553+1.04665j -0.483206+2.00034j -0.521609+1.6043j -0.743339-1.07917j 0.568298+0.810841j 0.639898+1.06016j 0.373068-0.992991j 0.962442+0.439691j 0.811866+1.66968j 0.727109-0.805861j 0.864744+0.255206j -1.04985-0.591577j 0.417738-0.762229j -0.0405624-0.964034j -0.622913-0.505783j 0.811999-0.814881j 0.973075-0.847498j 0.836281-0.946721j -0.177797+0.776238j 0.506474+0.750797j -0.190165-1.48856j -0.250074+1.04864j 1.30369+0.526876j 0.389632-0.600309j 0.319264+0.390426j 1.6744-0.70827j -1.56009-0.967498j -1.83268+0.468181j -1.01448+0.464947j -0.981269-0.180792j 0.864585+0.0147428j 1.35521-0.498897j -1.30326+0.387727j -0.301734-0.913515j 1.05863-0.264125j 1.21659-1.92546j 0.242187+0.869932j 0.744022+2.18366j -0.795008-1.02899j 0.165477+2.28438j 0.207556-0.714095j 1.07812+1.45894j 0.57041+1.82079j 1.75281+1.06974j -0.911562-2.99618j -0.724384-4.23282j 0.391586-0.605077j 0.689877+0.0473545j -0.045865+0.388675j 0.286662-0.235786j -0.35684-4.09052j -0.704338-1.18446j -0.0924494+3.22799j 0.987098-0.892241j 0.30162-2.78077j 0.765847+1.59199j -0.616321-0.0703293j -0.153974-3.0146j -0.621311+0.734115j 0.0898487-4.30513j -0.198043+0.883551j 0.227841-0.998571j -0.618093-2.36901j 0.847375-0.0432872j 0.211404-2.56846j -0.132866+4.08594j -0.700704-1.03202j -0.0769178-2.80951j -1.01338-1.79137j 0.113998-1.48957j 0.513382+1.68268j -0.734047-0.876489j 0.0156759+2.26723j 1.14273+1.45035j 0.391797-0.234455j -0.404574-1.13053j -0.392454+1.1115j -0.929736-1.5818j 1.72955-1.69034j 0.640598-0.0556777j 0.553817-1.28234j 
-0.569171-0.855949j -0.307885-0.104939j -0.799807+0.0499429j -0.406842+1.56633j -1.26625-2.09996j 1.48829-0.412453j -1.80363-0.456852j 0.881785+0.702984j 0.444726+0.888365j -1.61356+0.62806j -0.287758+0.830858j 0.0203476+1.1675j 0.594116+0.403489j -0.30007+0.11986j 0.309018-0.0686099j 0.190316-0.12059j -0.310046-0.647942j 0.1428-0.424476j 0.424281+1.11275j -0.739014+0.0952963j 0.0908331-0.584772j 0.356772+1.16335j 0.585736+0.125363j -0.316709-0.158657j -0.0568526-0.0356148j 0.813455-0.246512j 0.202192+0.141543j -0.258405+1.17811j -0.0974806-0.969072j -1.59361+0.59538j 0.301479-1.12193j 0.19529+1.16412j -0.981984+0.0795734j -0.771011+1.59609j -0.894151+1.7079j -0.20006-0.371524j -0.724777-1.92665j 1.54861-0.376662j -1.09335-0.368123j -1.68771+0.381012j -0.938863-0.0505165j 0.140542-0.172918j 0.73762+0.298203j -0.0303729+1.56384j 0.177872+1.5639j -1.89902+1.65856j 0.765679-1.08203j -0.394954+2.27319j -0.633306+2.8304j -1.49893-0.254305j -0.456677+4.47475j -0.910396-2.23289j -0.403002+2.03139j -0.3152+3.06715j 0.60967+1.86996j -0.830352-6.71552j -1.0458-5.2854j 0.124219-0.174871j -0.334261+1.08337j -0.30549+0.623277j 0.472438-1.52227j -1.04555-7.30907j 0.419424-0.768861j 0.92674+5.47696j 0.935525-0.503613j 0.521876-4.90708j 0.142961+2.18556j -0.0117008-0.539651j -0.81422-5.02766j 0.576674+0.473388j -0.447535-6.05183j 0.0763891+0.230748j 0.340446-1.32172j 0.0795078-2.39617j 0.49179-0.292723j -0.473653-3.89617j 0.403601+5.7152j 0.308062-0.933985j 0.860021-3.26812j -0.318729-1.88742j -0.975654-1.8001j -0.00566626+2.00439j 0.485997+0.413491j -0.757053+2.26969j 0.079779+2.06077j 0.399055+0.360938j 2.06791-0.474297j 0.747732-2.12975j -0.362601-2.19421j 0.504027-1.25821j 0.157068-0.123257j -0.37687-0.247204j 
0.565608+1.31807j 0.293382+0.230643j 1.35627+1.55781j -1.53857+0.580398j 0.0692399+1.01343j 0.609849-0.361104j -1.21512+0.252175j -0.520424-0.0478794j 0.463682+1.39433j -0.00245592-0.448459j 0.145676+1.61092j -0.0233178-0.928514j 0.842465+0.300159j -0.0862313+0.482752j 0.0186055+1.03832j -0.192178+0.843668j 0.576993+0.330795j 0.902541-0.824125j 0.707959-0.244568j 0.375117-2.0816j 0.00485848+0.639857j 0.818188-0.394489j -0.440143-0.550256j 0.510465-1.17895j 0.823989-0.339734j -0.53449+1.31194j -0.162917-1.30333j -0.327763-0.880981j -0.181765+1.35683j -1.13321-0.225642j 1.5784-0.349054j 0.703102-0.0420531j 0.144349+0.0920893j 2.31989-0.0490998j 0.374588+0.191081j 0.5419+1.52474j -0.370709-0.0763046j 0.847683-0.915592j -0.167613-0.762253j 0.928067-0.98162j 0.819166-1.28417j 2.06847+1.64904j 0.478389-1.34158j 0.609153-0.95091j -0.930947+1.74425j -1.03251-1.27873j -0.559039+0.290038j 0.449671-1.24572j -0.156198-4.32051j 0.603274+0.168781j 0.148074-2.43367j -0.666842+2.58306j 0.0415304-1.55053j -0.843953-3.74223j -0.0549615-1.92967j 0.741163+6.00051j 0.533103+5.56936j -0.977133+0.188092j 0.293637-2.72225j -0.115919-0.591373j 0.255141+1.43253j 0.525068+6.13837j 0.0303433+0.610363j 0.0412155-5.74136j -0.509468+0.365385j 0.682792+4.55265j 0.953742-2.61276j 1.03367+1.19234j 0.236917+4.68942j -0.182042-0.309568j -0.395792+7.34866j 0.399266-0.965939j 0.320099+1.06065j -0.271749+1.27566j -0.663931+0.31807j -0.122322+4.54856j 0.589468-6.59537j -1.7419+1.96237j 0.0737428+3.67219j -0.418207+2.41529j -0.123781+1.4463j -0.707835-4.00592j 1.32704-0.343241j 0.13947-1.78557j -0.00137412-2.50219j -1.74639-1.83488j 0.0408235+0.995304j -0.0993802-0.357913j -0.380319+0.494011j 1.13815+0.690605j 0.666807+0.0644247j 0.164959+0.125372j 
