0.01404-0.00649158j -0.00623151-0.00481321j 0.00904854-0.00447004j -0.00272067+0.0124034j -0.0119286+0.00532829j -0.0162953+0.003115j -0.0335455+0.00568474j -0.00625333+0.00911742j 0.00735917+0.00132744j 0.0184704+0.00189577j -0.0289945-0.0126127j 0.00754218-0.00322848j -0.00137441+0.0143217j -0.00161953+0.000343702j 0.000835019-0.00416359j -0.00519571+0.00366397j -0.0025-0.000883746j 0.00955674-0.00998004j -0.00130056+0.00675059j -0.0011733+0.00100787j 0.00580124-0.00156385j -0.00762985-4.66083e-05j -0.00466124+0.00739807j 0.0060502+0.00925279j 0.0124114+0.00907554j 0.00716681-0.0108697j 
-0.00870361+0.00266786j -0.00630021-7.45031e-05j -0.00158806+0.00147253j 0.00810942+0.00149083j -0.00701263-0.00642489j 0.00297987-0.00142077j 0.00564798-0.00636233j 0.00679754+0.00877936j 0.00234189+0.00229007j 0.00785266+0.00310864j 0.00539724-0.00227757j -0.00925704+0.00597304j 0.0103975+0.00148437j -0.00356065-0.0146323j -0.00464166-0.0325528j -0.00264056+0.00814137j -0.0074746+0.00178212j 0.00671261-0.0395761j -0.00761549-0.0181193j -0.0151032-0.00323396j -0.00621265+0.00263058j -0.00922902+0.000444815j -0.0261722+0.000118741j 0.0253075-0.00391673j 0.00249508-0.000650825j 0.0184545+0.00126861j 
-0.0043057+0.010362j 0.00491655+0.00644705j -0.00570013+0.00368578j -0.00341392-0.0133564j -0.00814138-0.00270473j -0.0254302+0.00395431j -0.0123683-0.0114442j 0.00493524-0.00564299j -0.0176399+0.00245264j 0.00587564+0.00139243j -0.0174309+0.010332j -0.0190113+0.00422787j 0.0210165-0.0167443j -0.00293305-0.00450992j 0.00412319-0.000411531j -0.0042737-0.00203254j -0.00249049+0.00174395j -0.00244344+0.00770679j 0.00278449-0.010807j 0.00437104-0.00253992j -0.0143681-0.00169894j 0.00840402+0.00161955j 0.0055184-0.00629171j 0.0146519-0.0157659j -0.0141292-0.0130548j -0.0105583+0.0215576j 
0.0114672-0.00177616j 0.00284267-0.00788981j 0.00987492+0.016883j -0.0152197+0.0193571j 0.00339403-0.00941437j -0.00718156+0.00914279j -0.00968029+0.00241255j -0.00843891+0.0116467j -0.0050637+0.00184243j -0.0158647+0.00131733j 0.0138813+0.00111693j 0.0118481+0.0300068j -0.00976923-0.013262j -0.0108265-0.00187149j 0.00124063-0.00339898j 0.00488374-0.0148416j 0.00668797+0.00432451j 0.0040144-0.00279803j -0.018216+0.0150184j 0.00597708+0.00455589j 0.0138476-0.00531494j 0.000370405+0.0146875j -0.0128989-0.000829657j 0.00330493+0.00368442j -0.00612757+0.00652862j 0.00627025+0.0237013j 
-0.00971695+0.00718281j 0.00318325+0.00267428j 0.00197341-0.0355433j 0.0022995+0.00756116j -0.00452478-0.00319151j 0.00898817-0.023458j -0.00201768-0.000951257j 0.00879759+0.01863j 0.00270013+0.00102214j -0.00939061+0.000356682j -0.0134903+0.00824294j 0.00329779+0.00584405j 0.0167741+0.00561372j -0.00838107+0.00148349j 0.00926997-0.00278089j 0.00435484+0.0153854j 0.00469486-0.00906042j -0.00267241+0.00568434j 0.00211831+0.00540338j 0.00358961-0.00045189j 0.00808533+0.00187335j 0.00796995+0.0132261j -0.00456545+0.00652381j -0.00222172+0.0106599j -0.0133037+0.00656066j 0.00242489+0.00428216j 
-0.00438956+0.00415738j 0.00157435-0.00589199j -0.000432356-0.0087926j -0.00363065+0.00877481j 0.0118763-0.0189535j 0.00445174-0.00516257j -0.00252723+0.00372872j -0.0427262+0.00400945j -0.0123964+1.63643e-06j 0.00464284-0.00167057j -0.00569275-0.000161805j -0.00862499-0.0124621j -0.0034394-0.0114447j -0.0047072+0.0130922j 0.00100413-0.00596402j 0.00639735-0.0113206j 0.0105723+0.00270757j -0.00594616+0.000808875j -0.00566534-0.00417361j -0.00423578-0.0025562j 0.00448091-0.0179426j 0.00246217-0.014148j -0.00579922+0.00405434j 2.96954e-05-0.0111356j -0.00321253-0.00452256j 0.00454075-0.00615876j 
-0.00204001-0.0215284j -0.00224997+0.00229696j -0.00442214-0.0231748j 0.00453574+0.0142881j -0.017239+0.013341j -0.0152668-0.012979j 0.000738562-0.000199035j -0.00646016-0.0119788j -0.00097753-0.0128588j -0.00111941+0.016624j 0.0168531+0.00295443j -0.00508379-0.00273862j -0.0172649+0.00227737j -0.00218772-0.00829314j -0.0055401-0.00120062j -0.0132079-0.000657274j -0.00109861+0.0120248j 0.00220215-0.00380916j 0.00479986+0.00850824j 0.00911087+0.00602865j -0.0131625-0.00963013j -0.00464457+0.00603087j 0.000871221+0.00297064j -0.00183571-0.007038j -0.00242505-0.00911696j 9.06915e-05+0.00686944j 
-0.014197+0.00576708j 0.0128867-0.00419878j -0.00496749+0.0134187j -0.00555407+0.000368037j -0.00938264+0.000553558j -0.0137028+0.0217055j 0.00534612-0.00299984j 0.0284968+0.0049047j 0.00117531-0.000342721j -0.00472229-0.0145067j 0.00155908-0.0166125j -0.0111337-0.0165814j 0.0136595+0.00246742j -0.00559124+0.00808139j 0.0102069-0.00453677j -0.000305342-0.00951904j -0.00448481-0.00902463j -0.00706063+0.011221j 0.0046027-0.00629674j -0.000166141-0.00355029j 0.0020378+0.000916198j 0.0115069-0.00251884j -0.00423813-0.0074703j 0.00662988-0.0119909j -0.0126701-0.0226043j -0.00534207-0.00303592j 
-0.00369279+0.00835043j 0.00304233+0.00537196j 0.0154892+0.010668j -0.00053902-0.00783696j -0.0129248-0.0189189j -0.00743512-0.0150987j 0.0013373+0.00643762j -0.00342097-0.0238129j 0.00349393-0.0101622j -0.00514808-0.0170829j -0.00762862+0.0163317j 0.00780304+0.00540947j -0.00611518-0.000863305j -0.00901615-0.000228577j 0.00357358+0.00144668j -0.0188382-0.00327518j 0.00502227+0.00597277j 0.0037441-0.00651999j 0.00407497-0.00270937j -0.00372195+0.0021541j 0.00625212+0.0071902j 0.00247417+0.00192616j -0.0120482-0.0125665j -0.0198352+0.00284809j -0.00510922-0.0052156j 0.0175131-0.00354614j 
-0.00564003+0.00976075j -0.00261897-0.00547127j -0.0265854+0.00626231j 0.0184645+0.0102655j 0.00482293+0.00443051j -0.0113102-0.00590738j 0.000814696+0.0126808j 0.00795851-0.000939789j -0.000848251-0.0235046j -0.00161523-0.00427962j -0.0067961-0.00804685j -0.0022449+0.0143205j 0.00369635+0.00669976j 0.00465411+0.0161906j 8.98941e-05+0.0266548j -8.34134e-05-0.0284333j -0.00320615-0.00918735j 0.00163639-0.0157759j 0.003517-0.032343j 0.00279346-0.00515018j -0.000342205+0.00819929j -0.000533706+0.00447079j -8.82339e-05+0.00668666j -0.00270242-0.0011429j -0.00283203+0.00538998j -0.00104383-0.00291458j 
-0.00881617+0.00797981j -0.00195029-0.00294135j -0.0166724+0.00787254j 0.00992979+0.00425106j 0.00581724-0.00134489j -0.0055384-0.00842888j 6.02674e-05+0.00692709j -0.00438458+0.00243597j -0.00427668-0.0128513j 0.0027401+0.00860316j -0.00196308+0.00692869j -0.00471759+0.000281348j -0.000703283+0.01086j -0.000224065-0.00410778j -0.00545069-0.0298404j 0.00265497+0.0103415j 0.00475587+0.00522986j -0.000704114+0.0122114j 0.00424378+0.0294395j 0.00263251+0.00343444j 0.00149949-0.0197624j 0.000743601+0.00332143j -0.00144729+0.00773435j -0.00738907+0.0114667j -0.00402257+0.00552146j 0.00194708-0.00297334j 
-0.00987537-0.0162971j -0.00852869+0.00168436j 0.0126062+0.00217297j 0.00636256-0.00574103j 0.00553756+0.00785237j 0.0065839-0.0157901j -0.00761284-0.00658798j -0.00162299+0.0230127j 0.00808032+0.00618469j 0.00675475+0.0308707j -0.000508602+0.0198297j 0.011083+0.00229434j -0.00775179-0.0144612j -0.003485+0.00464156j -0.00103336+0.0171j -0.00264396-0.00858247j 0.00764337-0.00609637j -0.00159092-0.0101875j 0.00752381-0.000845568j 0.00630173+0.00250189j -0.00278327+0.00314664j 0.0102565-0.00763148j 0.000811528-0.00102209j 0.000142847-0.00386965j 0.00727113+0.00653471j 0.0168995-0.00700746j 
-0.00633005+0.00402591j -0.00367726-0.00842812j -0.0156705+0.0093124j 0.0154959+0.00804117j 0.0191603-0.012014j -0.0100618+0.00463356j -0.000660042-0.00594043j 0.0114793-0.00873614j -0.00259495+0.00835709j 0.00978549-0.0138461j -0.00815884+0.00300653j 0.00413008+0.008544j 0.00145251-0.00906882j -0.000945768-0.0162363j -0.00724446-0.0187474j 0.000622438-0.00693306j -0.00237322+0.0122901j 0.000344598+0.0214171j 0.00932478+0.00877244j -0.00634731+0.00168767j -0.0115956+0.0240698j 0.00566627-0.0049932j 0.0071766-0.0146037j -0.000189804-0.00326784j 0.00695783+0.0051805j 0.003233-0.00428647j 
0.0050072-0.00402857j -0.00337665-0.00126288j -0.00187543-0.00518543j 0.00051888-0.00331215j 0.0110298-0.0171058j 0.000362319+0.00720435j -0.00335971-0.00760175j 0.00519243-0.0142042j -0.0122352+0.0345384j -0.00294052-0.00903469j -0.000667959-0.00115875j -0.00151314+0.00775749j -0.00231613-0.0143755j 0.00150276+0.00128087j -0.00719102+0.0198656j -0.00904962+0.00513327j -0.000290975+0.00509278j 0.0135573-0.0147297j -0.0147804-0.00171723j -0.00210226+0.00518674j 0.0114618-0.00502224j 0.00264486-0.00638753j -0.00279532-0.00172391j -0.00410347-0.00340867j -0.00983104+0.00543841j -0.00320061+0.0140451j 
-0.00194146+0.00448598j -0.007999+0.00245359j 0.00432245-0.0194084j 0.00495624+0.0181575j 0.00569999-0.0201089j 0.00455351-0.0106456j -0.00661163+0.0193512j 0.00597353+0.000928171j -0.00571782+0.011625j 0.0150959-0.00109455j 0.0123903-0.00365362j 0.00671211+0.00743718j -0.00570377+0.0127442j -0.00555287-0.0119496j -0.0195291+0.0081061j 0.0116057-0.00151578j 0.00294695-0.0085299j 0.00730443+0.00614044j 0.020574-0.00232376j 0.0118431-0.00318514j -0.0106544-0.000725518j 0.00181522+0.00587865j 0.00328058+0.0154432j 0.0123842-0.00238835j -0.000106768+0.00945215j 0.000857365+0.00425805j 
0.00259767-0.00801412j 0.00737971-0.00730192j 0.00114849-0.0291791j -0.00280029+0.0192988j 0.0197631+0.014839j -0.0109345-0.0128976j 0.00938324-0.0156688j 0.0140954+0.00684163j -0.0133956+0.0132353j 0.00714146-0.0241474j -0.00192276-0.00599963j -0.00484926+0.0026162j 0.00970629-0.00280527j -0.00164339+0.0129924j -0.00609694-0.000321834j -0.00607704-0.00691707j -0.00789171+0.00670328j 0.00468373-0.0135639j -0.000264229+0.00983596j -0.0141812+0.00536489j -0.00515931-0.0043103j 0.00636579-0.00172411j 0.00453593-0.0125227j -0.00635309+0.0103412j -0.00265184-0.0027489j -0.00428981-0.00716952j 
-0.000881475-0.00073057j -0.0008002-0.00522266j 0.000753157-0.00984762j -0.000213254+0.0157377j 0.00912171-0.00161783j -0.00180128-0.00612937j 0.000658878+0.00507368j 0.004364-9.32072e-05j -0.00753986+0.00243908j 0.00152763+0.00721627j -0.00240419+0.00501113j 0.00490684-0.0109832j -0.00736067+0.0114118j 0.0196355-0.0223205j 0.0353107+0.00275958j -0.0210551-0.00212779j -0.01318+0.00129644j -0.0263972+0.0139443j -0.0287395-0.0123738j -0.00436179+0.00511817j 0.0014912+0.0136651j 0.00140313-0.00199573j 0.000651901+0.00585508j 0.000548685-0.0109501j -0.0012514-0.000984194j -0.000242819-0.00588124j 
0.000694768+0.00626894j 0.0159659+0.00233974j -0.00837265+0.00539263j -0.0184662-0.00926389j 0.00542152-0.0121085j -0.00532788+0.0028198j 0.0101449+0.00264054j 0.00843066-0.0197775j -0.014287+0.00739997j 0.00937932-0.0167323j -0.0119884-0.00378854j 0.00488872-0.0128077j 0.00152486+0.00394767j 0.0171627-0.0124917j -0.0101534-0.0101337j 0.00701326+0.0194589j -0.00339154+0.0105248j -0.00165972+0.00241906j 0.00442522+0.016009j -0.0179908-0.0037043j -0.0103322-0.0102234j 0.00152435+0.00246407j 0.0034425-0.00534942j -0.00469027+0.00246365j -0.00139834-0.00277338j 0.00848772+0.00653555j 
-0.00492201+0.0120606j -0.00163383-0.00443203j 0.0190792-0.00649897j -0.0064562+0.00415117j -0.00176104-0.00700032j 0.00907102+0.0191873j 0.000363873-0.0165643j -0.00492377-0.00309693j -0.00135841-0.0175584j 0.0155136-0.000934887j 0.00441411+0.0118336j 0.0015514+0.0143017j -0.00581104-0.00635926j -0.00124097+0.00519311j 0.0166711+0.0123146j 0.00125587-0.00824329j 4.37022e-06+0.00489765j -0.00926001-0.0197959j -0.000500797+0.00636118j -0.00342641+0.00503646j -0.00335926-0.0126874j -0.00887685-0.000243014j 0.00387785+0.00318969j -0.00621073+0.0166009j 0.0110299+0.00466158j -0.00263422-0.000178078j 
0.00359611+0.0071225j 0.00141394+0.00205928j -0.0175414-0.0207454j 0.00611302-0.00102373j 0.00364867-0.0150135j 0.00486705+0.0230513j -0.00676757-0.0167914j 0.00757099+0.00627114j -0.00528681-0.00829475j 0.00162894+0.00482517j -0.00101095+0.00530756j 0.000492433-0.0137858j -0.00157031+0.00693695j -0.00827641-0.00372646j -0.0139478+0.00832112j -0.000881051+0.00573785j 0.00511537+0.00281537j 0.0176875+0.00670444j 0.00373742-0.00551112j -0.0122882+0.0111646j 0.0130796+0.00906078j -0.00506147+0.00218288j -0.0033928+0.00142007j -0.00797244-0.0120252j 0.00536913-0.0108413j -0.002543+0.016325j 
-0.00144639+0.00504358j -0.00648202+0.00520337j 0.000233219+0.00459174j -0.0017701-0.00851538j -0.0125262-0.00892881j 0.00729347+0.00476684j -0.00324266-0.000526259j -0.00995054-0.0025201j -0.00132756+0.00779395j -0.00426379-0.0115268j -0.00179073-0.00352335j -3.36624e-06+0.00479652j -0.0122442-0.0154357j -0.00235931+0.00186223j 0.0127066-0.0169441j 0.0126473-0.0125656j 0.0177762-0.0399772j -0.00700022+0.00440432j -0.00278327+0.00603121j 0.00461416-0.0126821j -0.0114065+0.0171706j -0.0114989+0.0222974j 0.00102767-0.00131072j 0.00467544+0.0027074j 0.00108732+0.00159618j -0.00135377+0.0035361j 
