-0.33515+0.0218615j -0.127806+0.0500878j -0.125066+0.0267163j 0.0141299-0.0169193j 0.00942115+0.0208186j 0.00491577+0.0167185j -0.000218585-0.0225802j -0.0120778-0.0113687j 0.00774126+0.0225465j -0.00494054+0.0100244j 0.0319372+0.0140468j 0.0170759+0.00848267j -0.00624796+0.00205862j -0.00390445+0.00121005j 0.0129804+0.00807092j -0.00115059-0.00411654j 0.007164+0.00399674j -0.00184849-7.16376e-05j -0.00282893+0.00254273j -0.0125331-0.0059219j -0.00446065+0.00422035j 0.0110979-0.00765422j 0.000837271+0.000524856j 0.00502821-0.00393691j -0.00926078-0.00638079j -0.00031292+0.0028806j -0.0233654-0.00391564j -0.00257841+0.00175304j 0.00181971-0.00462471j 0.00502913+0.00107521j 0.00150686-0.00494113j -0.000817352-0.00545508j 0.0173432+0.0146179j -0.00443022-0.00793406j -0.00743223-0.0026643j 0.00378358-0.000474371j 0.0117515+0.0108597j -0.0186402-0.00562958j -0.00640473-0.00100794j 0.0202962+0.0123477j 
0.00662958+0.326386j 0.0432763+0.0797363j 0.0266587+0.122896j -0.0158588-0.0197061j 0.0225438-0.0140558j 0.0139992-0.0048885j -0.0169038-0.00132762j -0.0170333+0.00911137j 0.0226713-0.010224j 0.00378956+0.00481686j 0.0120983-0.0332387j 0.00893909-0.0147482j -0.0041144+0.00714078j -0.00141875+0.00906014j 0.00777108-0.021669j -9.86438e-05+0.00732249j 0.0018025-0.00530049j 0.00467051+0.00352769j 0.00357428-0.000965843j -0.00290738+0.0135108j 0.00503017+0.00922541j -0.00172588-0.00189047j 0.00533512-0.0068218j 0.00880483-0.00124851j 0.00159943+0.0120668j -0.000139563-0.00609495j 0.00251844+0.0152484j -0.00976699-0.000158691j 0.0102658-0.000497207j -0.00205157+0.00519336j 0.00111057+0.00808944j -0.00434363+0.0147481j 0.00519451-0.0231584j 0.00599177-0.00136957j 0.00463348+0.00141355j 0.00540199-0.000324227j -0.00263085-0.0141943j 0.00795604-0.000527118j -0.00401282-0.0154404j 0.00774391-0.0177754j 
-0.097928+0.0199902j 0.291196-0.115873j -0.0357513+0.033148j 0.0197417-0.00441899j 0.0177656+0.00123772j -0.0175283-0.00905033j 0.00405001+0.0218309j -0.00667627-0.0112769j 0.0244049+0.0203017j 0.00183655-0.000455649j -0.00594574-0.00549828j 0.0143026-0.00680033j -0.00816402-0.00543508j -0.0137058-0.0062319j 0.0327539-0.00506602j 0.00876571+0.00458388j -0.0253044-0.00326271j 0.0054079+0.0183239j -0.00335779-0.000184225j 0.00160127-0.000196784j -0.002347-0.000268809j -0.00239601+0.00594302j 0.0149543-0.007188j -0.00316713+0.00204129j 0.00759599+0.0014517j -0.00538008+0.00275668j 0.0086785-0.010329j -0.0153877+0.0015953j -0.00175889+0.00052553j -0.00828531-0.00970314j -0.00137485+0.00161809j 0.00812447+0.0052573j -0.0042023-0.00103483j 0.00886054+0.011472j -0.00943058-0.00502861j -0.011638+0.00190086j -0.00160747-0.010265j -0.00189432+0.00303122j 0.00407902+0.00175531j 0.00909049-0.00309941j 
0.00575428+0.089633j -0.281785-0.0593589j 0.0364841+0.0343705j 0.0329298+0.0164675j 0.0246196-0.0222233j 0.0143391+0.000577042j 0.0158747+0.0246448j 0.0320779-0.00369027j 0.0335636-0.0187028j -0.00298977-0.00357555j 0.00185647-0.0257556j 0.000909359-0.0102641j -0.00555474+0.00192292j -0.0147264-0.0117331j 0.0177022-0.00746338j 0.00632807+0.00644545j 0.0201446-0.00207836j 0.00598471-0.00411525j 0.0130174-0.00632572j -0.0095882+0.0132724j -0.00822555-0.00863068j -8.3122e-05+0.00992313j -0.00736247-0.0232606j -0.013766+0.00311363j -0.00019358-0.00171344j -0.00660001-0.00643197j 0.00898401+0.000612115j -0.0169052-0.000208276j -0.0020109-0.00144849j 0.00199139+0.00902203j 0.00731751-0.00890012j -0.00446624+0.0073099j 0.000844184-0.0212858j -0.0149333-0.00505571j 0.00355043+0.000500633j 0.00257636+0.0102494j -0.000801873-0.0025891j 0.00376488-0.00397076j 0.00791719-0.00355252j 0.0119095-0.00945521j 
0.105526+0.011833j 0.0499378-0.250859j 0.0559395+0.000849041j 0.0129501-0.0301924j -0.0234875-0.0177698j -0.0136124+0.0210018j 0.0290923-0.0167899j -0.0121003-0.0134631j 0.010133-0.0195194j -0.012264+0.0112067j 0.00718846+0.0131688j -0.0109556-0.00359959j 0.00708107-0.000633476j -0.0004761+0.00501024j -0.0198344+0.00603256j -0.0136368+0.0135848j -0.00692085-0.0127789j 0.00426591+0.00457199j -0.000967021-0.000950255j -0.00281565+0.00218888j -0.00940463+0.0142926j 0.00204332-0.00354522j 0.00796216-0.00218212j 0.00501599-0.00363286j -0.0162758-0.00167708j -0.00182625-0.00838141j 0.0121457+0.0154215j -0.00240064-0.00495453j 0.00112765+0.0020886j -0.00373755+0.00621371j 0.00144943-0.00735547j -0.0017365+0.00296259j 0.00131489-0.0101591j -0.000431821-0.00108226j 0.0114868-0.00134483j 0.000443599+0.00533707j -0.0113026+0.00212532j 0.00138437-0.00306132j -0.00332073-0.00837431j -0.00312547-0.00326007j 
0.0969821+0.0807047j -0.166887+0.0209142j 0.0386495+0.0127016j -0.00309681-0.0113267j 0.00578497-0.015942j -0.0242754+0.0247474j -0.00840502-0.0174944j 0.00189194-0.00353028j -0.0125004-0.0265377j -0.0104162-0.00921281j 0.00116404+0.00415116j 0.000226263-0.00807368j 0.00611827+0.0093512j 0.00322635-0.00160438j 0.00121662+0.00167532j -0.00254882-0.0049144j -0.0204661+0.0132117j -0.0102293+0.0124341j 0.00116395-0.0148627j 0.00765452+0.0195228j 0.00353106+0.000476379j -0.00196769-0.00615221j 0.0077054+0.00461475j -0.00159651-0.00863256j 0.00414896-0.000716894j -0.00132867+0.00323024j 0.00483185+0.00707657j -0.00131916+0.0147948j -0.0155795-0.00888063j -0.00920751-0.00870851j -0.000897246+0.0022753j 0.00928894-0.0028046j -0.0116725-0.00360466j 0.00640063+0.0102545j -0.0210496-0.0027143j -0.00760823+0.00130674j 0.00680395-0.00188856j -0.00528145+0.0169748j -0.00104034+0.0121263j -0.000917195-0.0158486j 
0.0784629+0.0463774j 0.021356+0.401016j 0.0188553+0.011068j 0.0241859-0.0050954j -0.0220664-0.018951j -0.00232221+0.00916327j 0.00778403+0.0160113j 0.00223508-0.0242566j -0.0105271+0.0130446j 0.00556984+0.0133461j -0.00888391-0.0102157j -0.0105665+0.000504435j 0.00724893-0.00468345j 0.00344571-0.0077612j -0.016225+0.00926502j -0.0051977-0.007642j -0.00544864+0.00717709j -0.00956335+0.00226532j -0.00820682+0.0103592j 0.00109186-0.0103574j -0.00758417+0.000258243j 0.00526359+0.00284754j 0.00632248+0.00616621j -0.0024249-0.000451161j -0.00290895-0.00256196j -0.00787162-0.00804593j 0.0149459+0.00175722j -0.000952713-0.0115126j 0.00228074+0.00193358j 0.000865485-0.011324j -0.000621256-0.00941053j 0.0119386+0.00153191j -0.0105222-0.00644075j 0.00184447-0.0107417j 0.00511862-0.0131797j -0.005136+0.00488269j -0.0162958-0.000813863j -0.00428562+8.72418e-06j -0.00425826+0.00728305j -0.013781+0.0050725j 
0.00627454+0.017113j 0.0508121+0.259943j -0.000540891-0.00371591j -0.00326796-0.00701928j -0.0143923-0.0191395j -0.000635685-0.00691812j 0.0272034-0.0055059j -0.0100122+0.0134851j 0.001292-0.00343132j -0.0242924-0.00743204j 0.0175399-0.0050732j -0.0166008-0.00452894j 0.00980885-0.00599767j -0.0124532-0.00129299j -0.00327505-0.0110209j -0.00878321+0.00580635j -0.000509489+0.00184865j 0.0173346+0.00429232j 0.00056506+0.0026941j -0.0031084-0.00532447j -0.00311309+0.001151j -0.00421778-0.00199083j 0.007031-0.0129329j 0.01171-0.00447528j 0.00257744-0.00533888j 0.00370715+0.00444315j 0.014865+0.000595024j -0.0112786+0.00334421j 0.00114487-0.00661684j 0.0118313+0.00154382j 0.00697668+0.00792347j -0.00463812-0.0038887j -0.0134779+0.0109889j -0.00621105-0.000121945j 0.00476257+0.0285393j -0.00816016-0.0136826j 0.0107849-0.01807j 0.00105725+0.00247717j -6.02764e-05+0.000571468j -0.000597642-0.00312902j 
-0.0600581+0.139302j 0.111172+0.0316659j -0.00823849+0.0438618j 0.0216758+0.00304378j -0.0144213+0.000660707j -0.010591-0.0278457j 0.0181486-0.00986815j 0.019558-0.0102831j 0.0210923-0.012724j 0.030467+0.00574978j 0.00753096-0.00417395j -0.00614006-0.0125639j -0.000288671+0.00921702j 0.00153671-0.00363254j -0.00665553-0.00284884j -0.00580833-0.0116434j -0.00127592+0.0155826j -7.87859e-05-0.00231773j -0.000677551-0.00464468j -0.00424711+0.0106614j -0.00875571+0.00120301j 0.0136013+0.000467885j 0.000425766+0.00423549j -0.0173096+0.00341908j -0.0251182-0.00046271j -0.0273245-0.0130291j 0.00208255+0.00620334j -0.00110955-0.0040094j -0.010182+0.0124221j -0.00108189+0.00025892j 0.00248207-0.0148942j -0.00112522+0.00148992j 0.00333929-0.0133791j -0.00229271+0.0054646j 0.00066078+0.0133558j -0.00316506+0.00394231j 0.0031448-0.0148334j -0.00264937+0.0108761j 0.00580376+9.25459e-05j 0.00321073-0.0138397j 
-0.137782+0.0434742j 0.16021+0.0785066j -0.0527078+0.0327177j -0.00188587+0.0206403j 0.0310488+0.00687482j 0.00447785+0.0427616j 0.00594485-0.0195219j 0.00428538+0.00488455j 0.0164027+0.0136836j 0.00742696-0.0135848j 0.0258728+0.00583769j -5.83411e-05-0.000514326j 0.016337+0.00242662j -0.0101676-0.00563674j 0.0102492-0.00171957j -0.00597408-0.00408337j 0.0125647-0.0158231j 0.0145614-0.00722213j -0.000263634-0.00447603j -0.00828919+0.00379598j -0.00616874-0.00664205j -0.0105221-0.00365679j -0.00404905+0.00173336j -0.000240971+0.00658132j -0.00476735-0.00513279j 0.00105994+0.00618603j 0.00783374+0.0069994j -0.0065343+0.0011933j -0.00623915-0.00633003j -0.00651679-0.0042794j 0.00245337-0.00650075j 0.00313298+0.00212281j 0.00955217-0.00297626j -0.000646239+0.00557073j -0.00395229-0.00773152j -0.00120247+0.0069717j -0.00154141+0.00124238j -0.0075833+0.00563724j -0.000134187+0.00680997j 0.0139253-0.0029816j 
-0.0553647+0.00183615j -0.272306-0.169902j -0.0221953+0.0104101j -0.00217174+0.0185429j -0.000184565+0.0267365j -0.0242682-0.00862834j 0.0244131+0.00062993j 0.00131924+0.000477205j -0.00760771+0.0126162j 0.00674209-0.00260355j 0.0116885+0.00478824j -0.0113055-0.00297746j 0.00807618-0.00101953j 0.0065513-0.00146902j -0.00478217+0.00254437j -0.00318698+0.00816993j -0.00764813-0.0221065j 0.0146556+0.00215972j -0.00837497+0.0127446j 0.00370594-0.0155758j -0.00140767+0.00628754j 0.0109067+0.00609502j 0.00342291-0.0027477j 0.0041017-0.00124761j -0.00978399+0.00312163j -0.00965614-0.0109771j 0.00125755-0.0141068j 0.00298242-0.00604569j 0.000551729+0.00732911j -0.00150195+0.00241456j -0.00256691+0.000221551j 0.00533893-0.00319437j -0.0128735-0.00353207j 0.00621971-0.00287714j -0.0144715+0.00181655j -0.00147644-0.00370037j 0.00814697+0.00183784j -0.00240125+0.00380597j 0.0013916+0.00565887j -0.00818779+0.000468536j 
