0.00946746+0.00875837j -0.00497256-0.0243429j 0.00351234-0.00183564j 0.00324054-0.00255462j -0.000190207-0.0129147j -0.00418111-0.0227466j -4.30802e-05-0.00291596j -0.00424412-0.0278309j 0.00236196+0.0148573j -0.00176615+0.00534056j 0.00490003-0.00641399j -0.0112966+0.0110489j -0.00310846-0.0114704j -0.0107801+0.0185153j 0.00110854+0.00846561j 
-0.017724+0.00616552j 0.000681286+0.00663519j -0.0242096+0.0151933j -0.00602203+0.00253097j -0.00721565-0.00497361j 0.00609437-0.00310275j 0.00290262-0.00184338j 0.0150983-0.00350615j -0.0136123+0.0167388j 0.0205884-0.00146152j -0.00708396+0.00131716j 0.0180248+0.0245146j -0.0056258+0.00460932j 0.0187499+0.00954914j -0.00928266-0.00953772j 
0.0100401-0.00764984j -0.0113935+0.00289462j 0.00344287+0.00315552j 0.00642644-0.00528484j -0.0290554+0.000962394j 0.0174744-0.00467055j 0.0241803-0.00524337j 0.00724156+0.00530322j 0.00124456-0.00501542j 0.0206438-0.00408035j 0.0325632+0.00983973j -0.00466856-0.000707299j 0.0101066+0.00139385j 0.00198053+0.00506492j 0.0135508+0.00816708j 
-0.00498418-0.00854302j 0.00710296+0.015405j 0.0185434+0.0207046j 0.00865636-0.00832311j -0.00536115-0.00901121j -0.0077895+0.0107315j -0.0122-0.00517802j -0.0083856+0.00398463j 0.00233707+0.0100032j -0.00243904-0.00761215j -0.000379625+0.00659469j -0.0237841+0.0138125j -0.001026-0.00111736j -0.00719457+0.00650268j 0.00858002-0.00373635j 
0.013033-0.0161191j -0.0188814+0.0070851j -0.0283236+0.00961721j 0.00607023+0.000650953j 0.0117465-0.0114868j -0.0096434-0.00454166j 0.00459231-0.0121997j 0.00364719+0.000837166j -0.00835681-0.00511734j 0.0051617+0.00271331j -0.00826196-0.00345465j -0.0135776-0.0105029j 0.00111387-0.000432131j -0.00668894+0.00107189j 0.00363912+0.00360807j 
-0.0196741-0.0196917j 0.000394862+5.85301e-05j 0.00283159-0.00201226j -0.0199544-0.00495111j -0.00472953-0.0164793j -0.00133757-0.00478625j 0.00110296-0.00843458j -0.00282283-0.00497244j -0.00776226-0.0130217j -0.00215558-0.00785353j -0.00653041+0.00901145j 0.0116727-0.0134347j 0.000992787-0.0116295j -0.0036573+0.00880445j -0.00421293+0.0186781j 
0.00145973-0.00905819j 0.00675525-0.00199321j 0.0120367+0.0121145j 0.00466246-0.00146958j -0.00629784-0.014808j 0.000276429-0.0101494j 0.00513645-0.00978029j -0.000545664-0.0264148j -0.00235105-0.0354682j 0.000485297+0.0366463j 0.000190211-0.00689423j 0.00873949-0.0100783j 0.00351429+0.00801504j 0.002555-0.013477j -0.00841949-0.0122582j 
-0.015011-0.00269029j -0.00585727-0.000987014j -0.00225915-0.00771347j -0.00894348+0.0352431j -0.00878344-0.00454458j -0.00301385-0.00224241j 0.00218116-0.0141915j -0.00415432+0.00294731j -0.0112183+0.00529114j -0.0143796+0.00584264j 0.00618911-0.000391492j -0.0105935-0.00791055j -0.0109201+0.00673428j 0.0042878+0.00366833j 0.015668-0.00210649j 
0.00138861-0.00129708j 0.00114262-0.0126673j 0.0038458-0.0123164j 0.00972404+0.00103098j -0.0112223-0.00894765j -0.00350063-0.00526854j -0.00865081-0.0264551j -0.00483777+0.0169425j -0.00872259+0.00112092j 0.00648458-0.00267945j -0.00679338-0.000218829j 0.00268082-0.000359567j 0.00617565+0.0113527j -0.00486915-0.00025102j -0.012872+0.00206358j 
-0.00596379+0.000409427j 0.0049199-0.000706371j 0.00643025-0.0039275j 0.00191909+0.00223908j 0.0110342-2.78826e-05j 0.00134794+0.00531936j 0.0254978+0.00199437j -0.0300929+0.00189628j -0.015032+0.0050101j 0.0220631-0.00411742j -0.0056462-0.00153904j -0.00808659-0.00203144j -0.00897385-0.00381719j -0.00761602-0.000216375j -0.00455727+0.000713466j 
-0.0056343-0.025198j 0.000735976+0.00105354j -0.000832536-0.00736736j 0.024866+0.029396j -0.00284529+0.00732801j -0.00258656+0.0129725j 0.00266353+0.00627641j -1.917e-05+0.00150247j 0.00396715+0.0267117j -0.00219059-0.0118298j -5.27433e-05-0.002192j 0.00567794+0.00877986j 0.0114168-0.000360922j -0.00647848+0.00763067j -0.00944094+0.00144633j 
