-0.00124034-0j 0.0181026-0j 0.0182902-0j -0.142806-0j -0.176713-0j -0.103083-0j -7.30876e-05-0j -9.04413e-05-0j -5.27574e-05-0j 
0.0148841-0j -0.0713976-0j -0.0721375-0j -0.0120262-0j -0.0148816-0j -0.00868096-0j -0.0833199-0j -0.103103-0j -0.0601435-0j 
-0.0841969-0j -0.00859331-0j -0.00868236-0j -0.000716109-0j -0.00088614-0j -0.000516915-0j -0.00496135-0j -0.00613936-0j -0.00358129-0j 
3.13233e-05-0j -0.0148816-0j 0.0144222-0j 0.0576599-0j 0.00145613-0j -0.0806939-0j -0.00859192-0j -0.000216979-0j 0.0120242-0j 
-0.000153452-0j -0.00076742-0j 0.000743725-0j -6.39516e-05-0j -1.61502e-06-0j 8.94992e-05-0j 0.0846264-0j 0.00213714-0j -0.118433-0j 
-1.84574e-06-0j 0.00176305-0j -0.00170861-0j -0.0209728-0j -0.000529642-0j 0.029351-0j -5.3293e-06-0j -1.34585e-07-0j 7.45827e-06-0j 
-0.000250586-0j 0.0589-0j -0.0570814-0j 0.0099211-0j 0.000250546-0j -0.0138844-0j -0.00072353-0j -1.82719e-05-0j 0.00101257-0j 
0.00150352-0j 0.00751915-0j -0.00728698-0j 0.000626596-0j 1.58239e-05-0j -0.000876909-0j 0.00434118-0j 0.000109631-0j -0.00607541-0j 
