-0.193439-0.0419115j 0.0243931-0.339709j 0.472348-0.0150321j -0.196038+0.159135j 0.167011+0.123915j -0.243174-0.155757j 0.0439672+0.0902053j -0.38032-0.080818j 0.436822+0.338513j -0.149152-0.299547j 0.530576-0.212274j -0.441883+0.120549j -0.2975-0.0526188j -0.60159-0.0875732j -0.13902-0.169243j -1.2517+0.19049j 0.943094-0.207898j 0.107318-0.0444834j -0.260132+0.184148j -0.35992+0.39157j -0.213901+0.101732j -1.15794+0.53722j 0.05242+0.278872j -0.718342+0.290448j 0.127782+0.00571293j 0.247337+0.194372j 0.305363+0.245984j 0.0976471+0.0776902j 0.52957-0.0119637j -0.043825+0.358073j -0.718531-0.308659j -0.118977+0.0435983j -0.00530098-0.17244j 0.316148+0.321116j 0.0246264+0.0710929j 0.739433-0.227571j -1.48849-0.170501j -0.259237-0.150413j -0.551932+0.275106j -0.414543+0.1231j -0.434177+0.127811j -0.233525+0.57989j 0.412554+0.0575094j 0.0492058-0.703668j 0.392384-0.452437j 0.296869-0.333641j 0.711505+0.367458j -0.282916+0.799052j -0.43739+0.500617j 1.13553+0.503023j -2.15867-0.885885j -0.330616-2.15663j 
-0.200087-0.0378505j -0.0704407-0.417724j -0.175955-0.086186j 0.70084+0.228842j -0.228423+0.00165642j 0.643445-0.143503j -0.421674-0.0118552j 0.903072-0.0248327j -0.92834+0.141741j -0.184248-0.100164j -1.44545-0.0377047j 0.946273+0.0852282j 0.575577-0.0188961j 1.07827-0.199131j 0.245371-0.193218j 2.41883+0.0875481j -1.49815-0.0154887j -0.172756-0.114097j 0.851142+0.0904562j 0.920885-0.20451j 0.595906+0.0139815j 2.71739+0.434469j 0.29849+0.138316j 2.24992+0.4468j -0.0947879-0.380854j -1.17513-1.5455j -0.146378-0.949672j 0.271451+0.0391512j -2.29925-0.3983j -0.183343-0.266242j 3.19677+0.386272j 0.61943+0.158649j 0.0245679-0.616696j -0.716178-0.72811j 0.216159-0.550998j -2.16255-0.678513j 3.38582+0.0812087j -0.200373-0.22035j 1.45711+0.671348j 0.772877-0.140493j 0.611303-0.217753j 0.639412-0.0611666j -0.512498-0.393434j 1.43886-0.219633j 1.00074+1.01909j 1.12791-0.322022j -1.27663-0.0577885j -1.03589-0.33236j 0.251421+1.18611j -1.75041+0.899576j -0.715365-0.463824j -1.29753+0.99022j 
-0.351928-0.20681j 0.05962-0.127262j -0.385531+0.379283j 0.579999-0.223446j -0.430027-0.120788j 1.43366-0.0415638j -0.198072+0.336577j 1.91113-0.225991j -1.99948+0.114427j 0.232084+0.243974j -2.88723+0.656841j 1.18701-0.432558j 1.41442-0.0603208j 2.29676-0.317252j 0.979703-0.0437949j 4.84555-0.452158j -3.13986+0.351656j -0.269327+0.35632j 1.22124+0.0373423j 1.25318-0.205017j 0.898768-0.326133j 6.08014-0.313961j -0.446457-0.0904465j 4.34172-0.699136j 0.356298+0.107505j -3.70814-2.07164j -0.183923-2.1749j 0.0707686-0.380319j -4.14707+0.81007j 0.56628-0.0461484j 4.75401-1.34141j 1.14364+0.111712j -1.20966+0.496673j -0.764252+0.961064j 0.22581+0.356845j -2.95701+0.694385j 4.63887-0.152626j -1.02936+0.260321j 1.77468+0.228069j 1.38312-0.601054j 2.25442+0.685304j 2.78038-0.696641j -0.376018+0.115958j 1.38853+0.708652j 0.461486+0.377127j -0.138296+0.112118j -1.00682+0.929101j -0.267791-0.956598j 0.864294+1.21533j 0.547375+1.62538j -1.12823-0.161408j 0.633344+0.402534j 
-0.234117-0.0373158j 0.549028-0.148392j -1.41297+0.25205j 2.38127-0.325282j -1.97839+0.365926j 4.54443-0.116998j -0.844602+0.234483j 6.31137-0.00367415j -6.36851+0.0260387j 1.61766-0.0934117j -10.0105+0.164303j 5.05711-0.409941j 5.58181-0.0514864j 8.56852-0.459619j 3.62567+0.221917j 19.0659-0.612394j -12.2303+0.679269j -1.62206-0.0527952j 5.12355-0.0726032j 3.68436-0.0820896j 3.61697-0.398874j 21.6604-0.79557j -0.901814+0.161543j 15.7658-0.895766j 1.06455+0.329464j -11.9823-9.03152j -1.44323-6.29736j 1.3998+0.124585j -15.6377+0.800714j 1.25561-0.94248j 21.0585-0.475136j 3.81472+0.293355j -4.95169+0.170987j -5.19041+0.480989j 1.47025+0.205836j -11.5262+0.216523j 20.0231-0.264691j -3.58339-0.64577j 8.96141+0.144702j 5.57088-0.292922j 4.66456-0.392469j 10.3283+0.243899j 0.790732-0.394703j 6.79117-0.554356j 6.56822+0.072525j 0.152877+0.783747j -4.9435+0.0599996j -1.90248+2.78282j 1.68569-0.537283j 1.11664-0.330745j -0.908189+0.904889j 0.125783-0.384963j 
0.337915-0.100203j 0.493102+0.0289136j -0.425979-0.144761j 0.313555+0.251894j -0.696511+0.205841j 1.42271+0.0917519j 0.0253592+0.0586094j 1.60801+0.120849j -1.71525-0.346571j 0.572712-0.503161j -2.51515-0.0920166j 1.16635+0.238894j 1.42338+0.329685j 2.65562+0.0116833j 1.09966+0.185683j 5.0929+0.815963j -3.31206-0.143357j -0.283134+0.426299j 1.97646+0.666246j 1.42794+0.400705j 1.32951+0.161278j 5.85614+0.512275j -0.135784+0.456557j 5.0589+0.166031j 0.370944-0.20906j -3.22884-2.74617j 0.129364-2.09288j 0.246867-0.0922542j -4.31551+0.144111j 0.894863-0.0213688j 6.04013+0.0556644j 1.32162-0.316625j -1.23226-0.0314652j -1.24497-0.727673j 0.565197-0.742809j -3.98081-0.183718j 4.81663+1.13128j -0.971249+0.965001j 3.0397+1.45744j 2.01049-0.0523811j 0.672196-0.152267j 3.04273+0.231862j -0.382624+0.716158j 2.22086-0.292623j 2.31425+1.0215j -0.876161-2.12939j -1.16167-0.760627j 0.116657+0.362189j 1.55924+0.185661j -0.3042+0.232817j -0.435351-0.813709j 0.0882877-0.315698j 
-0.0317144-0.0311443j 0.478719-0.133478j -1.80013-0.116161j 2.53651+0.0427993j -2.10386+0.0764799j 5.345-0.323404j -0.732033+0.158042j 6.36961+0.109082j -6.80791-0.418122j 1.42868+0.0700027j -10.4776+0.140761j 5.42935-0.0714082j 6.08289-0.0516167j 10.0706-0.536904j 3.8488+0.0505118j 20.4502-0.866533j -13.0576+0.836574j -1.07103+0.00479325j 5.06719-0.265798j 4.00195-0.194829j 3.64621-0.0615799j 22.43-0.333623j -1.27657-0.0523535j 16.5547-0.502827j 0.508303+0.278034j -12.5494-10.7828j -1.06656-7.34423j 0.522814+0.436585j -17.2416-0.2035j 0.443362-0.216746j 22.7435-0.752111j 4.93142+0.253984j -4.39119-0.858181j -4.31665+0.434777j 0.517914-0.0169261j -14.0799+0.43758j 20.939-1.13683j -3.77199+0.833328j 9.76315+0.581579j 5.60001+0.0474354j 5.52103-0.514414j 11.4115-1.05026j 2.17533-0.941822j 7.10299+0.434756j 6.92559-0.574002j -1.19953-0.93794j -4.72944+1.4438j -1.37971-0.574861j 1.63654+0.318141j 2.08166-1.03233j -1.76717+0.527093j 0.350938-0.270669j 
-0.0419693-0.123084j 0.792217-0.0288948j -1.34858+0.0403946j 1.41292-0.0547849j -1.89562-0.461163j 4.15228+0.21413j -0.622878+0.198026j 5.36405+0.262535j -5.2062-0.442486j 1.36948-0.18386j -8.67717+0.0212555j 4.09507-0.111864j 4.81126+0.171087j 7.5897-0.350642j 2.86189-0.363549j 16.36+0.584026j -10.5614-0.276994j -0.919076-0.553403j 4.9326+0.47154j 3.66833+0.215753j 3.17594-0.113151j 19.2305+0.19499j -0.33206-0.540868j 13.9947-0.298637j 0.718433+0.748409j -10.2124-7.80317j -0.883505-5.15146j 0.821387-0.156255j -13.7851-0.721512j -0.0661082+0.311697j 18.7212-0.411057j 3.85262+0.279565j -3.08439+0.616496j -4.78134-0.574879j 0.190391-0.179624j -10.3477-0.0302037j 17.1722-0.267536j -3.52034-0.288139j 7.71791+0.709865j 4.44084+0.361774j 3.98609-0.574153j 9.483-1.32302j 1.25546-0.830055j 5.27929+1.07267j 6.07839-0.698657j 1.2191-0.141983j -3.90137+1.25637j -3.32249-0.0865557j 2.43871+0.102423j 0.9417-0.416044j -0.861512+0.198865j 0.489125+0.0569729j 
-0.0266075-0.279947j 2.06686-0.217735j -3.94579-0.199257j 5.06032+0.357668j -4.87134-0.400481j 12.2345+0.327642j -1.85239-0.15237j 15.2867+0.341154j -15.3989-0.728159j 3.62037+0.573779j -24.4931-0.180982j 12.19-0.587144j 14.2963+0.415666j 22.4331-0.167244j 8.56007+0.120539j 48.2859-0.0107413j -31.3527+0.667904j -2.82665-0.155422j 12.9963+0.328922j 10.6147+0.0249547j 8.63327-0.431396j 53.0317+0.764239j -1.28513-0.400342j 39.9715-0.111171j 2.76095+0.465195j -29.4663-24.8586j -3.12069-16.8421j 1.80022-1.03059j -40.501+1.2731j 0.895719-0.524853j 53.2092-1.01495j 9.24139-0.234645j -10.162+0.269004j -12.0313-0.600663j 3.45555+0.216086j -30.88+1.17889j 47.7516-1.52405j -9.13068-0.340386j 23.3765-1.55918j 14.9021-0.139903j 12.1427+0.690408j 24.35-0.223825j 4.26481+0.315474j 15.1718-1.03806j 14.2422-0.338707j 1.87683-1.05369j -11.7199-1.06503j -5.5893-0.075832j 4.85252-0.552167j 4.17235-0.226634j -2.80975+0.258065j 1.17818+0.160239j 
0.00569468+0.221738j -1.47556+0.276309j 2.2861-0.0895977j -3.3722-0.24841j 2.89851+0.0790592j -7.26314-0.441887j 1.36612-0.104206j -9.19369+0.150799j 9.25992+0.253455j -2.08179-0.170245j 14.4144-0.471424j -7.60205-0.229646j -8.17791-0.565168j -14.2048+0.102572j -5.09645-0.05781j -28.6846-0.779919j 19.1356+0.753231j 0.795278-0.335916j -8.23226+0.226077j -6.19189+0.605847j -5.45983-0.32479j -32.2487+0.186833j 1.44271-0.618434j -24.7049+0.670903j -0.82018+0.725339j 18.3729+15.7785j 2.16998+9.9504j -1.92619-0.301722j 23.5188-0.38726j -0.598042-0.25121j -32.319+0.125628j -5.72059+1.43959j 5.9999+0.971491j 6.83725-0.120833j -2.40517-1.30243j 17.9311-0.33755j -29.6429+1.04082j 4.93639+0.429775j -13.4099-0.407936j -8.35742-0.160124j -6.29886+0.112012j -14.8866+0.822939j -2.44293-0.463563j -8.36775-0.349977j -9.10109-0.549904j -2.00499-0.201412j 7.42055-0.856675j 1.734-0.429976j -2.41909+0.601883j -2.67435+0.448428j 1.38897-0.0107408j -0.218443-0.325002j 
-0.09235+0.134881j 0.6772-0.077314j -1.1454+0.00233929j 1.84548-0.244808j -1.41389-0.44635j 3.76813+0.0881515j -0.46067-0.111696j 5.06415+0.317283j -5.12742-0.500237j 1.67204-0.341518j -8.07584+0.100903j 4.27696+0.053466j 4.48362-0.00761181j 7.83821-0.698272j 2.46333-0.145608j 15.6679-0.00418379j -9.44394-0.616036j -1.19923-0.536589j 3.65346-0.117811j 3.66352+0.686272j 2.78921-0.324446j 17.2185-0.260261j -0.0984959-1.12596j 12.5817+0.223647j 1.2271-0.76328j -9.25444-8.12193j -0.606293-4.48955j 0.560181-0.078719j -12.2301+1.02746j 0.0864206+0.204861j 17.3108-0.737692j 3.73652-0.608311j -3.96655-0.590133j -2.65313-0.00513524j 1.40575+0.824672j -10.6949-0.65007j 15.6969-0.620219j -2.03119-0.0515632j 7.34388-0.125532j 3.93837-0.83733j 4.1318+0.0281932j 8.00577+0.0574307j 1.04003+0.127373j 5.32397-1.61332j 6.45046+1.75726j 0.502473+0.20542j -4.26154-0.500117j -1.88393-0.113583j 1.64578+0.17336j 1.30784+0.0335553j -1.04138-0.035445j 0.140693+0.0634065j 
-0.273217+0.240247j -0.521451+0.0860998j 0.857232+0.330878j -1.25275-0.327736j 0.784012-0.398644j -2.81085+0.301377j 0.294216+0.356146j -3.38064-0.254115j 3.39424+0.146707j 0.213656-0.0324701j 5.11914+0.121688j -3.07535+0.193806j -2.75204+0.784777j -4.68736-0.0191589j -1.65224+0.374326j -10.1717-0.0140604j 6.37018+0.129612j 0.693067+0.399534j -2.71649+0.284015j -2.46999+0.258546j -1.71662+0.0313742j -12.1315+0.214681j 0.303832+0.82807j -8.22022-0.506771j 0.669626+0.0709594j 6.29139+4.59177j 1.82036+4.04629j -0.134761+0.693551j 8.52509-1.05476j -1.30818+0.0965199j -10.8711+0.629726j -2.03606-0.158462j 2.23041-0.423021j 2.01947-0.417136j -0.629479-0.503084j 6.63372+0.483338j -10.8651+0.919066j 3.70447+0.907097j -4.79927-0.431252j -2.52625-0.700897j -2.99141+0.479403j -4.71697+0.735954j -0.101392-0.507809j -3.42766+0.206358j -3.26851+0.607186j -0.154714-0.352297j 3.21111-0.369512j 1.52586+0.0696439j -0.708969+1.09693j -0.33803-0.547241j 0.690575+0.0798645j -0.215558-0.182285j 
0.0197791-0.187792j 1.18874+0.0153252j -1.2277-0.0135916j 1.92954+0.0402025j -1.75434-0.0372251j 4.7091+0.112316j -0.955471-0.102427j 4.96522+0.632795j -5.4827-0.292687j 0.78641+0.449288j -9.58148-0.552378j 4.93007-0.0724824j 5.92219+0.0549077j 8.41067+0.854649j 3.0486+0.145111j 18.7161+0.381522j -12.3844-0.125433j -1.57953+0.373954j 4.53191+0.345589j 5.18184+0.625878j 4.15461+0.301137j 20.7129-0.150756j -1.33004+0.413147j 14.1354+0.0341175j 0.611741-0.169608j -11.9505-9.30592j -0.347152-5.26448j 0.885314+0.0470571j -14.7009+0.32745j 0.267226-0.863391j 20.5159-0.387963j 4.06572+0.0257681j -3.62284+0.18824j -5.02933+0.469127j 0.804765+0.416843j -12.3509-0.198678j 18.3707-0.521824j -1.29484+0.442962j 8.56251+0.0793597j 5.50918+0.13597j 4.36306+0.968036j 8.92139-0.516166j 2.10536-0.016535j 6.72423+1.11439j 6.1945-0.113338j 0.753898-0.301544j -5.42376+0.0855411j -2.25408+0.0790902j 2.42246-1.57617j 1.25136+0.2781j -0.391077-0.0291214j 0.267182+0.418798j 
-0.144235+0.0879937j 2.64376-0.29744j -3.96696+0.0603611j 5.81603+0.474712j -5.53299-0.55638j 13.0551+0.566806j -2.07324+0.0157991j 17.4298+0.331823j -17.4967-0.366443j 3.63827-0.160544j -27.104+0.474709j 13.697-0.260727j 15.2468+0.584053j 25.2868+0.792504j 9.41023+0.366179j 53.7823+1.06787j -33.4592-0.0233292j -4.09244-0.53105j 14.1002+0.351758j 11.4201+0.160395j 10.1635-0.475628j 57.8607+0.323022j -0.833196+0.122369j 44.056-0.257882j 2.15636+0.833926j -32.7463-28.0459j -4.60207-18.0364j 2.82029+0.144494j -43.5922-0.994562j 1.58356+0.533137j 57.0456-0.745268j 9.64771+0.169487j -11.2594+0.513864j -13.8225+0.590181j 3.55108-0.575019j -35.3114-0.287381j 51.9358-0.112725j -7.48393-0.28444j 24.301+0.191737j 15.7476-0.169246j 13.5294-0.582159j 27.4103+0.264377j 3.68403+0.312373j 17.783-0.651275j 16.695-0.526385j 1.83447+0.536153j -12.0724+0.432851j -4.77193+0.521973j 5.39016-0.537814j 4.33001-0.123389j -2.80996+0.0505754j 0.264066+0.411706j 
-0.263576+0.179339j 2.25275-0.145815j -3.38445+0.190151j 5.43847+0.590964j -4.55394-0.561837j 11.8434+0.618204j -1.84519+0.0799753j 14.3698+0.239079j -14.9971-0.609803j 3.76448+0.262999j -23.5154-0.722046j 12.8911+0.787561j 13.4729+0.0365833j 22.3072-0.0462453j 7.66504+0.620939j 45.528+0.77534j -29.3759-0.769709j -3.45183-0.155208j 12.1259+0.493433j 10.7889-0.467147j 7.8538+1.20521j 49.8793+0.405403j -1.03692+1.26031j 38.3315+0.520087j 2.0626+1.19668j -26.9469-22.5236j -2.93958-15.8048j 0.73009-0.344914j -38.1994-0.3076j 1.31207+0.56707j 50.9643-0.0281214j 8.70016-0.308956j -9.8771+0.949927j -12.6226-1.06143j 2.6385+1.29766j -29.4498+0.145574j 45.8159+0.914865j -8.38912-0.0303448j 21.9917+0.257247j 14.1849-0.641577j 11.8955+0.917952j 25.5834+0.320239j 2.91663+0.327139j 15.4715-0.192553j 14.9036+0.118494j 2.2235+0.0778076j -11.562+0.663266j -4.54239+0.183159j 4.59801-0.705356j 3.4558-0.228762j -2.17499-0.040165j -0.100179+0.491211j 
-0.00526541+0.11086j 0.329021-0.0426069j -0.585936+0.00273078j 0.881192+0.371022j -0.874547+0.143429j 2.43145+0.336541j -0.586845-0.0445092j 2.70922-0.275914j -2.68672-0.222724j 0.645777+0.297379j -4.99904-0.229992j 2.17562+0.0944981j 2.80141-0.0456249j 4.36432-0.348346j 1.80461-0.286724j 7.81724-0.452309j -6.20693-0.645822j -1.10464-0.123431j 3.4858+0.401796j 1.18099+0.378531j 3.20501+0.143818j 9.04285-0.478596j 0.0236419-0.299001j 5.86991+0.729764j -0.256855+0.936744j -6.10257-5.77888j -1.39254-4.03564j 0.0147415-1.06243j -5.8635+0.527878j -0.00717927-0.0802444j 8.72516+0.744173j 3.32956-0.188975j -1.39936+0.0658829j -3.66032+0.497356j 1.51831-0.318756j -6.29416+0.465658j 7.70683+0.756819j -1.70323-0.276004j 4.39573+0.68583j 2.69472+0.246231j 2.36452-0.367888j 4.68936+0.0405394j 0.642807-0.479956j 2.61163-0.156427j 2.57622+0.392095j 0.50201+0.0858786j -2.51629+0.115158j -0.854733-0.180723j 1.08197-0.156564j 0.531527+0.0787433j -0.3684-0.053302j -0.00528734+0.0682306j 
-0.193532+0.467671j 2.34222-0.0296875j -3.61812-0.248335j 4.77626+1.04092j -4.90453-0.186374j 12.0442+0.935103j -2.29906-0.177678j 15.9242+0.518429j -16.5948-0.752224j 3.42623-0.409971j -26.8234-0.823195j 12.6905-0.636086j 15.0337+1.01997j 23.452+0.65441j 8.55565-0.0315471j 48.9518+0.777361j -31.7723-0.665125j -2.88283+1.25848j 13.0761-0.723421j 10.3472+1.00994j 9.21373+0.653615j 54.6329+1.83348j -1.47645+0.476203j 40.8259+0.785451j 1.03293+0.0794448j -28.4736-25.0611j -2.8228-16.2171j 2.0915-1.13349j -41.1728-0.620361j 0.881087+1.34347j 53.4046+1.24544j 8.16087-0.81381j -11.7292-0.932686j -12.7095+0.23307j 3.65192-0.220618j -31.0857-0.244103j 48.9546+0.478041j -8.40505+0.569262j 23.8269+0.550543j 14.1688+0.26961j 14.0525-0.238107j 24.8479+0.0418702j 3.76829-0.236292j 15.8753-0.182174j 15.2128+0.0448617j 1.75379+0.251801j -12.7126+0.302411j -4.83365+0.421393j 5.80677-0.179336j 3.42009+0.299335j -2.49468-0.345942j 0.211236+0.113717j 
-0.447626+0.303327j 2.74293+0.169212j -4.05808-0.380541j 5.23972+0.560156j -4.80139-0.651467j 11.8902+0.45837j -2.00678+0.253698j 16.3391+0.868349j -17.1182-1.2064j 3.64806-0.262618j -26.3509-0.817132j 12.878+0.908939j 15.2909+0.426286j 23.8399+0.443j 7.48043-0.438499j 50.718+2.12109j -34.3137-0.673411j -3.46469-0.576021j 12.872+0.897239j 10.9315+0.482761j 9.57898+0.157577j 55.4848+2.42106j -1.62075+0.327342j 42.1443+0.229505j 3.27019-0.245165j -31.529-27.465j -3.11133-19.5585j 2.20911-0.531579j -42.7358-1.60033j 0.857362-0.408304j 56.3583+1.48479j 10.0049+1.19035j -10.9628-0.0674474j -13.9759+0.0464541j 3.77578-0.352283j -32.4761-0.775314j 52.7009+0.254889j -9.45084-0.0175218j 24.6866-0.137963j 14.6687-0.195449j 13.214+0.749979j 26.0641+1.38496j 3.43162+0.136678j 16.9298+0.197338j 16.8953+0.121793j 1.91508+0.133363j -12.6962+0.107608j -5.44116+0.355015j 5.62303-0.218708j 3.84555+0.121352j -2.532-0.489824j 0.0527959-0.0314132j 
-0.263989+0.349805j 0.329904-0.0294098j -1.2833+0.274952j 1.8126+1.53136j -1.97894-0.121512j 4.90457+0.3461j -0.710753-0.36785j 5.36538+0.378123j -6.09916+0.767935j 1.82452+0.3012j -7.5192-0.742724j 4.14438-0.922834j 4.66555-0.0191468j 7.4548+0.138104j 1.30003+0.281775j 16.1357+1.15749j -10.6677-0.014828j -0.672935+0.331076j 4.44973+0.873008j 3.02777+0.254056j 3.61535+0.0716834j 18.1669+0.912041j -0.254378-0.751913j 12.8573+0.774947j 1.1528-0.178795j -10.3909-8.53369j 0.76741-5.39142j 0.414523+0.391918j -12.3459-0.350947j 1.08698+0.354086j 18.2736+0.70937j 3.90546-0.169114j -4.9805+0.256082j -4.0256+0.136935j 1.2837+0.446731j -11.079-0.281552j 16.5916+0.149887j -2.58102+0.0451512j 7.33012-0.769868j 5.32545+0.0421732j 4.32336+0.332759j 8.42817-0.336827j 0.567789-0.668533j 4.80321-0.393179j 4.24633-0.633829j 0.991294-0.0295797j -4.12446+0.155914j -1.52052-0.0171835j 1.60238+0.0969576j 1.14141-0.0733006j -1.08466+0.0627055j -0.141166-0.174564j 
