-0.0998963-0.0392721j 0.0926774-0.0190954j 0.0411296+0.0060517j 0.0500107-0.00342269j -0.0485931+0.0162758j 0.0474961-0.0143187j -0.0655481+0.00252036j 0.0254394-0.000250744j -0.00573633+0.0283289j -0.00733661-0.0201895j -0.222318-0.0128364j 0.0173779-0.120878j 0.13173-0.10308j 0.165307-0.0167279j -0.0639118-0.17554j 0.20576+0.0777287j 0.0801748-0.280482j -0.107922-0.250577j -0.142262+0.0627411j 0.0172367-0.122022j 0.133556+0.180438j 0.049563-0.0548819j -0.058694-0.206857j 0.269981-0.134064j 0.101504-0.119879j 0.127398+0.0960068j -0.0436344-0.0271229j 0.00971587+0.207463j 0.221206-0.0212571j 0.0484422+0.00262215j 0.105672-0.000813944j -0.101358+0.0164005j 0.0207612-0.0450052j 0.0743381+0.0575278j 0.0566945-0.0400701j -0.00991147+0.0322032j 0.00583347+0.00126746j 0.0304904-0.0170391j 0.00420318-0.000921527j -0.0149433+0.00427364j -0.017973+0.00970806j 0.0195046+0.0139341j 0.015438+0.0126205j 0.0348122+0.0219717j -0.0118175+0.0391509j -0.0411667-0.0142033j 0.0283457-0.0757962j 0.085669+0.0316818j 0.102561-0.015013j 0.0463492+0.00472134j -0.00953843+0.0431809j -0.0127092-0.00930607j -0.0183162-0.00731263j -0.0071287-0.00169344j 0.000305437-0.00180796j -0.0247495-0.000681557j -0.00455657+0.00834257j 0.0223992+0.00503053j 0.00341868-0.0148081j 0.00365433+0.0146009j -0.00506537-0.0208932j 0.0166848-0.00793536j -0.0114286-0.0117694j 0.0143021-0.00333719j 0.0282566+0.00302516j 0.00652728-0.00337604j 0.0198512+0.000217723j 0.00857149-0.00632484j -0.00010425-0.019744j -0.0071575+8.15524e-05j -0.0088854-0.0160114j 0.0297173-0.0137336j 0.0170135+0.017181j -0.0341871-0.0072355j 0.0391388+0.0269358j 0.0388735-0.0450402j 0.049664-0.00812933j -0.0476569-0.00845257j -0.0118914+0.0049308j 0.0143128+0.00248781j -0.00305294-0.00547487j 0.00772589+0.00130491j 0.00523376+0.00324647j -0.00596017+0.00768683j 0.00610825-0.0138804j 0.0173964+0.0120117j 0.0141107-0.00128994j -0.0179348-0.016237j 0.0163327+0.0104435j 0.0140761-0.00320116j -0.0377265-0.000636583j 0.0572708-0.0110313j 0.0172178+0.0045904j -0.0170953-0.00212707j -0.0132627+0.00374067j 
0.060588+0.0216044j -0.0078009+0.0138531j -0.00593808-0.00559557j -0.0186406-0.000600851j -0.000815143-0.0143256j 0.00319024+0.0200275j 0.00964212+0.00939698j -0.0216119-0.00369012j 0.0350401-0.0179207j 0.00955869+0.00758484j 0.0583312-0.00543968j 0.0300757+0.050473j -0.00344863+0.0381655j -0.0168168+0.00835073j 0.0133037+0.0551831j -0.00576428-0.0199674j -0.019989+0.0953809j 0.00954111+0.0744078j 0.0190096-0.0226912j -0.002964+0.0338902j -0.00314493-0.0546036j 0.000268617+0.0130886j 0.00100184+0.0647374j -0.0161605+0.0352322j -0.0135572+0.0318487j 0.0171605-0.0252026j 0.00510983+0.00266629j 0.0146299-0.0745582j -0.0326547-0.0271168j 0.0151612+0.00597539j 0.0599502-0.0019158j -0.0182793+0.0172976j 0.0121555-0.023388j 0.0159092+0.033653j -0.0119086-0.0387655j 0.0120943-0.0223611j 0.0451647+0.0107732j 0.0261104-0.0156366j 0.0265359+0.0126687j -0.0761905+0.00816636j -0.0421409+0.00250224j -0.0157648+0.0339254j 0.0342634-0.00896466j 0.0283611+0.0373073j -0.0260582+0.0818469j -0.0673004-0.0422006j 0.0421703-0.167591j 0.113781+0.0731305j 0.190237-0.00691327j -0.0281568+0.00517628j -0.0129027-0.00893125j -0.0585467-0.0116612j -0.0138886-0.00417268j 0.00310926-0.00644816j -0.0120657+0.0269061j -0.00861372+0.00217023j -0.0150571-0.00833946j 0.0182659-0.00439347j -0.00388431-0.0052488j -0.0108374+0.0383155j -0.00841618-0.0555381j 0.0307508+0.00965395j 0.00894296+0.00975259j -0.00873514-0.00499688j 0.0711137+0.0199789j -0.0130702+0.00790288j 0.0096801-0.0131678j -0.00678995+0.0181383j 0.00946364+0.00288636j -0.0447255-0.0143239j -0.0617068-0.0064073j 0.027589-0.0387859j -0.00464487+0.043864j -0.02823-0.0224725j 0.0903865+0.0383493j 0.0886896-0.0448801j 0.0965323-0.00243795j -0.0205252-2.7947e-05j 0.000264221-0.00683617j 0.0109225+0.00180166j 0.00368468-0.00569621j 0.00272172-0.00784725j 0.0033272-0.00114716j -0.00273707+0.0171403j 0.000405502-0.027823j 0.0213186+0.0273288j 0.0215966+0.0129569j -0.0421155-0.0457925j 0.00352351+0.0269102j 0.0353095-0.0151082j -0.0891253+0.0130747j 0.140884-0.00104174j -0.0132952+0.00440407j -0.0360858-0.0131107j -0.0542636+0.00561193j 
-0.0264914-0.0155191j 0.0465193+0.0127475j 0.0278651+0.00214159j 0.0197845-0.0167252j 0.0408458+0.00584274j -0.0296873-0.00221265j -0.00746591-0.0208367j 0.0443388-0.00660987j -0.0599265+0.0143073j 0.0186309+0.0228494j -0.0262351+0.0108457j 0.0101974-0.0134201j 0.00745677+0.00220347j 0.00262911+0.00204883j -0.0293154-0.00127238j 0.0265806-0.0123624j 0.0197552+0.0026991j -0.0104594+0.000331155j -0.0163093+0.00173764j -0.00808698+0.00456796j 0.00016998+0.00199143j -0.0126663-0.00738055j -0.00168125+0.000521415j 0.00105015-0.00924848j -0.00664389+0.00508633j -0.0215972-0.00392031j -0.0218008+0.00600382j -0.0209904+0.00128922j -0.00990416+0.0461742j 0.0654107+0.0112096j -0.0654725-0.0127357j -0.0891879-0.00584843j -0.0972856-0.0878264j -0.0685493+0.048214j 0.0937462+0.0321571j -0.000524507+0.00482765j -0.050153+0.0300117j -0.112474+0.0619706j -0.0365586-0.0364001j -0.032607+0.026511j -0.0065258-0.0751531j -0.0169325-0.118229j 0.0173904+0.0986163j -0.0813527+7.03672e-05j 0.0900857-0.13428j 0.029106+0.0514927j 0.0229026+0.262406j -0.0457869-0.155455j -0.278388+0.0266538j 0.146155-0.00408118j -0.00704009+0.0775074j 0.032804-0.00964561j 0.0254563-0.011557j 0.00646556+0.00823568j 0.0177881-0.0110283j -0.0536837-0.0126925j 0.0160789-0.00106301j 0.0398339+0.0207526j 0.0109585-0.0357188j -0.0223887-0.0437664j -0.00831688+0.0228969j -0.00126402-0.0211596j -0.0404245-0.0198323j -0.0179907+0.00846783j -0.0451855+0.000172086j 0.0192862+0.000942494j 0.0514491+0.0223855j 0.0276906-0.0474387j -0.0155324-0.0625659j 0.0555187-0.00430062j 0.0747063-0.0179858j 0.0740764+0.0585022j 0.0650054-0.0695139j -0.022689+0.0372944j -0.0994812+0.0551629j -0.107628-0.0575812j 0.00736001-0.022223j -0.155763+0.00142817j -0.0370545+0.0322526j 0.0549236+0.00831177j -0.0245575-0.0190995j 0.0385623+0.0112348j 0.00209638-0.00107889j -0.0396061+0.00969112j 0.00636012-0.00661508j 0.0299269+0.0112121j 0.00937101-0.0377182j 0.0119+0.00755814j 0.0937174-0.0132372j -0.0017442+0.0225658j -0.0136341-0.0375849j -0.0124702-0.0419197j 0.136441-0.010829j -0.0256925+0.010991j 0.0284636+0.000112094j 
0.000189178-0.00461673j 0.0272832-0.00305306j 0.0139151-0.00600284j -0.00265836+0.0027148j 0.0140029+0.0185539j -0.00924031-0.0136434j -0.0121757-0.0344095j 0.00711239+0.0168151j -0.010024+0.0256628j -0.00784376+0.0104162j -0.0292778+0.00458269j -0.00833136+0.00669516j 0.0255183+0.00395124j 0.0436718+0.000634318j -0.0210428+0.0223532j 0.00403787-0.0203039j 0.0152119+0.0178989j -0.0127852+0.0151503j -0.0337397+0.0022498j -0.0102835+0.0109634j 0.00115624-0.0151672j -0.012951+0.00269032j -0.0265747+0.00882893j 0.0488878+0.016468j 0.0106889+0.0117757j -0.000259636-0.0119853j -0.0246242+0.00315731j 0.00028243-0.00762464j 0.0519514+0.0212401j 0.0465993+0.00559205j 0.0186708-0.0065998j 0.0156382+0.00326867j -0.0495066-0.0147008j 0.0045319+0.0268386j 0.126745+0.00845689j -0.0205364-0.0229313j -0.0421517-0.0214489j 0.114666+0.0180784j -0.00605893-0.0556527j 0.19056-0.14154j 0.132283+0.187573j 0.102191+0.073993j -0.0916825+0.049638j 0.0591825-0.0720734j -0.0830848-0.087744j -0.0347187+0.090292j -0.0534342+0.223426j -0.130921-0.0863421j -0.193342+0.0286492j 0.0801122-0.0048958j -0.00514688+0.0370885j 0.0230666-0.000867251j -0.00683707-0.00314047j 0.00125744+0.00323738j -0.00244323-0.0123198j 0.0242604+0.0018565j 0.00124727-0.00243025j -0.014627-0.00973057j -0.00255374+0.0155411j 0.00825839-0.00016976j -0.000352027+0.0207989j -0.0156742+0.00894135j -0.00101827-0.00774837j 0.0576438-0.00487362j -0.0128241+0.00926234j -0.0107239-0.0164362j 0.00741763+0.0141312j 0.0065403-0.00621777j -0.0190914+0.000850239j 0.00146694-0.0244189j 0.0221571+0.0243718j 0.00117088+0.0103558j 0.0177-0.0295664j 0.0742708+0.00747672j -0.0290874+0.02798j -0.0373536-0.023174j 0.0217019-0.0101502j -0.0641365+0.00198295j -0.017037+0.0101444j 0.00856079-0.00541253j 0.0111074+0.00544382j -0.00538255-0.00725284j -0.00374087-0.00481792j 0.00714816-0.00626991j -0.0182572-0.00560961j 0.0141091+0.0227483j -0.00991646+0.000387843j 0.00880954+0.00976805j 0.022917-0.0110245j 0.0466252+0.00217086j 0.00568293-0.015792j 0.0111779-0.0175987j 0.050325-0.0047867j -0.0220165-0.000264751j -0.00875244+0.00296197j 
0.0321189-0.000882789j -0.00419046+0.00587359j -0.0102055+0.00304356j -0.022031+0.00440326j -0.0273563-0.0316692j 0.00940966-0.0445983j 0.00871551-0.00245842j -0.0365349+0.00347401j 0.0680652+0.0056032j -0.0615869+0.0113815j -0.0137947-0.00711387j 0.0117407+0.00552721j 0.0402169-0.0149549j 0.00272228+0.004135j -0.0159555-0.000968783j 0.0261694+0.00455488j 0.0328729-0.00507681j -0.0346711-0.00040829j 0.0418892+0.00279098j -0.00608523+0.00168861j -0.000111727+0.00537692j 0.00582941-0.00689049j -0.00397502-0.00601407j 0.0179141+0.00409573j 0.0146238-0.00685977j -0.0430423+0.00750327j -0.00855972-0.0291653j 0.0346984+0.013067j 0.0164134-0.0145008j 0.018641+0.0109031j 0.109647+0.00955414j 0.0403612+0.0182234j 0.0544899-0.0211038j 0.0946548+0.0517863j 0.0619484-0.0468832j 0.0286869+0.00423712j 0.0657111+0.0480605j 0.131912-0.106005j 0.0927059-0.0530417j -0.151594-0.0846861j -0.090548-0.0586483j -0.0201246+0.129025j -0.0350455-0.516835j -0.167478-0.153899j -0.158548-0.0626635j 0.239482+0.00981377j -0.322394+0.13805j -0.266313+0.0534636j 0.024792+0.0120055j 0.0132377+0.00315219j -0.00711729-0.00537011j -0.0332488-0.00843486j -0.029435-0.00229987j -0.00447915-0.00895783j -0.0159995+0.0141971j -0.00455491+0.00338894j -0.00173851+0.0105426j -0.0336012-0.0124744j -0.00482908-0.00297944j 9.34351e-05+0.0242137j -0.0137407-0.0335987j 0.0087439+0.018785j -0.0208846-0.0225382j 0.0203944-0.0124844j 0.0504214+0.00827643j 0.0258399-0.00204331j 0.0208179-0.0216782j 0.0282474+0.00160874j 0.0110328+0.00852221j -0.0339432+0.00524916j -0.0404243+0.0354513j -0.000967803-0.00601243j -0.0073053-0.0022927j 0.0382209+0.00695009j -0.0171643-0.00786306j -0.000574541+0.0242243j -0.00401855+0.00592738j 0.052342+0.00359949j 0.0120762-0.0105138j -0.0184826-0.00596644j 0.0149981+0.0108667j -0.0167155-0.00920961j -0.0132981-0.0108319j 0.0113355-0.00656936j -0.0248033+0.0039592j -0.0182658+0.0112147j -0.015852+0.00747282j 0.00537144-0.0147234j -0.00946365+0.00705928j 0.00365345-0.0123975j -0.00622415+0.0201943j 0.0267663+0.018755j -0.0593112+0.00557097j 0.0027155-0.00936607j -0.0255667+0.00152183j 
-0.0350831+0.0146172j -0.0171793+0.00974234j -0.00771169-0.0439882j 0.0138604+0.00664418j 0.00204541-0.00529415j -0.00116763+0.0053798j 0.000574005-0.000175036j 0.0116638+0.0350939j -0.0287887-0.01284j 0.0100736-0.0110758j 0.00432376+0.01652j -0.016032-0.0114072j -0.0247187-0.00491032j 0.0076292-0.00459763j 0.0512946-0.00604274j 0.0338674+0.0208987j 0.0210224-0.00646432j -0.0289299-0.00438556j 0.0301294-0.00554153j 0.0090015+0.00680928j 0.030151+0.00746953j 0.0200402-0.00923931j 0.00872111-0.0028712j 0.000506779-0.0118147j 0.0370123-0.0163662j -0.00560016-0.00123193j -0.0303459+0.000673204j -0.0139863+0.0257502j 0.0472348+0.0142174j -0.00965997+0.00147428j -0.000747189+0.000791522j -0.132719-0.0443715j 0.119228+0.0102933j 0.0964787-0.00426719j -0.196035-0.0511266j -0.0985128+0.0794468j 0.00693653-0.273222j 0.0572142-0.0119296j -0.0752134+0.369394j 0.196505+0.0730375j 0.077353-0.0603058j -0.0942736+0.0206755j -0.0322856-0.0699076j -0.168059-0.134905j 0.0944067-0.0670394j 0.194257+0.00189051j -0.045495+0.169788j -0.0701091-0.0477422j -0.079608+0.0243111j 0.0135-0.00459015j 0.00668361+0.00497349j 0.0159457+0.000451668j 0.0278941+0.00641026j 0.0559885+0.0160484j 0.0142039+0.00217363j -0.0266792-0.0220138j 0.0306194-0.0364364j -0.0019312-0.00489394j 0.0226523-0.0247677j 0.00434711-0.00642532j -0.0048832+0.0357231j -0.011277-0.013178j -0.0171832-0.00959459j 0.0285481+0.0044356j -0.0378142-0.0041055j 0.00616048-0.0263476j -0.00203619+0.0136165j 0.0185915-0.0100423j 0.00952663+0.0434526j 0.0270799+5.64135e-05j 0.0160267+0.000480118j -0.0513141+0.0242423j -0.0465342-0.0167996j 0.010834+0.00715945j -0.027707+0.00679437j -0.0390171+0.00363574j -0.0163436-0.00445383j -0.0184927+0.00875586j -0.00383343+0.00603586j 0.0237881+0.006043j 0.00455279-0.0118383j 0.00689816-0.00607671j -0.00318986-0.00446271j -0.0136129+0.00941731j -0.00183954+0.00136946j -0.00289993-0.0106134j 0.00892279+0.00742467j -0.0149128-0.00202167j -0.0119293+0.00344695j -0.0118321+0.00551759j -0.0121263-0.00678348j -0.00173443-0.00759022j 0.0251702-0.00475213j -0.00325474+0.00397783j 0.0090087-0.0010945j 
0.0340247+0.0127187j -0.00754092-0.0102848j -0.00183302-0.0281053j -0.0177639+0.0272072j -0.00921189+0.0233005j 0.00497747-0.00569935j -0.0021006-0.0266899j -0.0195077+0.0440284j 0.035488+0.0283297j -0.0212694+0.00314086j 0.0254334-0.0075477j -0.00791012+0.011362j -0.0205856-0.00558549j -0.00103315-0.0056436j 0.0102588+0.0135901j -0.0544222-0.000468517j -0.0277892-0.00914249j 0.0238571-0.0157171j -0.0235848+0.0060782j -0.0246427-0.00943176j -0.0244229+0.00531525j -0.0234217+0.00540214j -0.0192218-0.0140103j 0.012716+0.0169488j 0.0077078-0.0117661j 0.010691-0.00323956j -0.00039727+0.000250482j 0.0171289+0.0130612j 0.00363952-0.0198986j 0.00149123-0.000178633j 0.0323997+0.00441399j 0.0913228+0.00248007j 0.00292586+0.0243582j 0.0522353+0.0444733j 0.107213-0.0497467j -0.0242361+0.0612608j -0.0278299-0.125076j 0.167788-0.0058304j 0.011601+0.0244072j 0.247524-0.217569j 0.170298+0.421899j 0.153603+0.229657j -0.116617+0.132307j 0.195685-0.0887745j -0.145623+0.0262014j -0.137083+0.084424j -0.0143152+0.0151481j -0.0619069+0.0354137j -0.00746894+0.0261058j -0.0428419-0.00251524j -0.00060259-0.03112j -0.0117541-7.165e-05j -0.0160915+0.00447842j -0.0192836-0.00317447j -0.0173454+0.00810114j 0.0668905+0.00898119j -0.019837-0.00199804j -0.0203598-0.0171715j -0.0156194+0.0462617j 0.00917194+0.0285455j -0.00264657+0.000141793j -0.00293277+0.0174607j 0.0250859+0.00061361j 0.0416384-0.0195196j 0.0168289+0.00659035j -0.033461-0.00901933j -0.0143883+0.00987661j -0.00786327+0.0194897j -0.0184067-0.00329954j -0.028975-0.0250564j -0.00318993+0.0379367j 0.00226557-0.0151981j 0.0211326-0.0118379j 0.063241-0.00768374j -0.000747079-0.0114412j 0.012178+0.0254437j -0.0074438+0.00838814j 0.0396178-0.00120422j 0.00872125-0.00679568j -0.0172217-0.00425979j 0.0126367+0.0095968j -0.015399-0.0077811j -0.000931248+0.000325588j 0.0178875-0.0150651j -0.00591013+0.00546905j -0.00477415+0.00668723j -0.0172532+0.00569188j 0.0157681+0.00884317j -0.00627579-0.0111909j 0.01252-0.00521771j 0.0278595+0.00447013j -0.0174633+0.0145586j -0.0318704+0.0010006j 0.00831879-0.0034495j -0.00542895-0.000888585j 
0.0811576-0.0153519j 0.0826605+0.00613786j 0.0484639+0.0143657j -0.00217754-0.0103641j 0.0200374+0.0512044j -0.0132746+0.0479017j -0.0121725-0.00989923j 0.00138761-0.0126834j 0.00334766+0.00573834j -0.032215+0.00352268j -0.0261773-0.0128124j 0.0136354+0.00291591j -0.0108756-0.0132252j 0.12132+0.00583016j 0.0106863-0.014607j 0.0202749-0.00873916j -0.0151585-0.0180345j 0.0175685-0.0162538j 0.0131027+0.000238291j -0.00315428-0.00577981j 0.00874232+0.0115926j 0.024314-0.00591956j 0.0207824-0.0112119j -0.0273861-0.0208885j -0.0100796-0.00208708j 0.0105561-0.00112264j 0.00769743-0.00602103j 0.0287325-0.00269676j -0.0198842-0.00374075j 0.138945+0.0106987j 0.054046-0.0202479j 0.0743783+0.0568452j -0.184521-0.0716699j -0.339418-0.00706331j -0.258159-0.0256383j 0.0479797-0.589599j 0.0831679-0.0164455j 0.238592+0.0497721j -0.00160553+0.105777j -0.0193402-0.128441j 0.0637245-0.0436264j -0.0603729+0.0471243j -0.00263887+0.00245415j -0.160451+0.0378461j -0.0958976-0.00880163j -0.127923+0.00523143j -0.0338054+0.0279212j 0.0270282-0.00120047j -0.0458445-0.0149175j 0.0944458-0.00135485j -0.00760718+0.0430633j -0.0201223-0.0144471j -0.0450864-0.0150627j -0.0109217-0.00230323j 0.00191726+0.00249498j -0.0644863+0.000845179j -0.00313972+0.0131564j 0.0296675+0.0155599j 0.00734207-0.0319045j -0.0254218+0.0368991j -0.0228468-0.0508354j 0.0371463+0.00518824j 0.0167294+0.0194473j -0.0209963-0.0057696j 0.0543269-0.0123602j -0.0283147+0.0203064j 0.0168401-0.00741016j -0.0153359+0.00510085j 0.0062469-0.0178461j -0.00973969-0.00919161j -0.0184953+0.00661776j 0.0232111-0.0127324j 0.0230809+0.011211j 0.00492141-0.00159745j 0.00967013+0.00233235j 0.021741-0.00476539j 0.0020676-0.000632567j 0.0161764-0.00652782j 0.00231925+0.00839905j 0.0140549+0.00522138j -0.00849202-0.0105339j 0.0128137+0.0042973j 0.00752729+0.00564352j -0.011144+0.00813654j 0.0110378-0.0214037j 0.0177838+0.0234192j 0.0081326-0.0108352j 0.00111382-0.00787776j 0.0334204-0.000709207j 0.0258643-0.00560832j -0.00748465+0.00477026j 0.0288519-0.00400615j -0.00347866+0.0026675j -0.0101278-0.00608367j -0.019305+0.00363619j 
-0.0184259-0.0109744j 0.00505986-0.0228178j -0.00337414+0.0372857j 0.00193285+0.00116594j -0.00361422-0.00407068j 0.00140104-0.0274517j 0.00324997-0.0213916j -0.0031602-0.0233437j 0.012845+0.017685j -0.00858426+0.0143294j -0.0277518+0.000801916j -0.0181569-0.0126907j 0.0347122-0.00754954j 0.0097724-5.32429e-05j -0.0457221+0.00157107j -0.0283446-0.0160416j 0.0216253-0.0199361j 0.00963416-0.0105217j -0.0253773+0.0152028j -0.0193493-0.00499768j -0.0269879+0.00283734j -0.0247063+0.000821514j -0.00811465-0.0178747j 0.0128836+0.00115478j -0.0351173+0.00456478j -0.0319768+0.00791237j 0.000209597+0.000389846j -0.00600741+0.018949j -0.00310563+0.0140375j -0.0287507+0.000231191j -0.0277051+0.00459462j 0.153099+0.0150381j -0.104942+0.0350336j -0.0816311-0.0406488j 0.195063+0.0807372j 0.094787+0.000911113j -0.0201354+0.215636j -0.10537+0.000881968j 0.0749998-0.323427j -0.225755-0.0786607j -0.10876+0.0411566j 0.0854668-0.0212315j 0.0192143-0.0604803j 0.0804804+0.0236781j -0.0656298-0.0500101j -0.0328432+0.0459266j -0.0558351+0.0788237j -0.0885379-0.0421791j -0.085096+0.010891j 0.0422873-0.00318342j -0.00685164+0.0267823j 0.000751393-0.00633115j -0.00644933-0.00980348j -0.0407309-0.00526497j -1.78604e-05+0.00161205j -0.0303724+0.00603942j -0.0068041+0.0236499j 0.0217564+0.0128966j -0.00532633-0.0213201j -0.0192909-0.0200177j -0.0041859-0.0160845j 0.00883542-0.00928961j -0.0195055-0.00889908j -0.0449875+0.0082116j 0.00452385+0.000825364j 0.024817+0.0145132j 0.0361156-0.00514524j 0.00844977-0.0248922j -0.00322295-0.0427924j 0.0145563+0.00154022j 0.0174671-0.012324j 0.0544499+0.00775507j 0.0450529-0.0186268j -0.028401+0.0144884j -0.0231748+0.015002j -0.0220019-0.0172441j 0.00934768-0.00617927j -0.0345258+0.00382766j -0.00743925+0.00372979j -0.00509596-0.00373877j -0.0193215+0.00467868j 0.00986444+0.0108574j -0.00138783-0.00156871j -0.0101385+0.00308711j 0.000154661-0.00111922j 0.00453752+0.00290136j 0.00304789-0.0099433j 0.00276133+0.000962417j 0.0229043-0.00453798j -0.00342376+0.00184187j -0.00308654-0.000991958j 0.00236086-0.0048409j 0.0106129-0.00223498j -0.00266386+0.000818054j 0.00069992+0.00017335j 
-0.145769+0.0230837j -0.0879717-0.0686238j -0.0471295+0.0319792j 0.0144418+0.0474245j -0.0447501+0.0189562j 0.0378413-0.00153646j 0.0174325+0.0162867j -0.00547341+0.00242616j 0.0102544-0.00397289j 0.0113441-0.022143j -0.0647713+0.0164987j -0.110354-0.0278018j 0.0145992-0.00393029j 0.133883+0.0031307j 0.0089346-0.000246804j -0.0261789+0.0165715j 0.0377021-0.0321639j -0.0160288-0.0142074j -0.0294311+0.0140949j -0.00792002-0.00746843j 0.03109+0.00774159j 0.021524+0.00845224j 0.00121468-0.0251807j 0.0398393+0.0150532j -0.012404-0.00384206j 0.00112404+0.0216825j -0.0371716+0.012169j -0.0525689+0.0664667j 0.163831+0.0326767j -0.213057-0.0339784j -0.0493054+0.0277483j 0.277695-0.0623716j 0.0363153+0.378046j -0.119436-0.392839j -0.257117+0.181291j 0.047484-0.10336j -0.0234424-0.0462069j -0.0466859-0.0194443j -0.00415619+0.00570805j -0.0187464-0.00708112j -0.0288624+0.0243589j 0.0321835-0.00208216j -0.0128911-0.0500393j 0.10613-0.0400877j 0.0338114+0.00273725j 0.0607944+0.00550258j 0.000731943-0.000276222j -0.0981042-0.00644863j 0.0168389+0.0259524j -0.0521959-0.00218303j 0.0187011-0.0134911j 0.113552+0.0310526j -0.0568622+0.00964057j -0.0598147+0.0151448j 0.0154173-0.089788j 0.0238006+0.00986741j 0.00394245+0.0332818j -0.0292332+0.00838946j -0.00804989+0.0348708j 0.0133194-0.0521666j 0.0292283+0.0766834j -0.0346108+0.00949723j 0.0202664+0.0172j -0.0266478+0.0163926j -0.0681208-0.0155429j 0.00604279-0.00876283j -0.027834+0.0223988j -0.0385449-0.0146135j -0.00381449+0.0284794j 0.0615773-0.000461536j 0.0519804-0.0186134j -0.0477582+0.0383997j -0.0269945-0.0292622j -0.00367876+0.0114015j -0.0298789-0.0119365j -0.0463481+0.0232559j -0.0306807+0.00173531j -0.0166129+0.0101926j -0.00594512-0.00292201j -0.0303956-0.0134801j 0.00348905+0.0225716j -0.0179997-0.00191973j 0.00677206+0.00576135j 0.0273315-0.0243926j -0.00036888+0.0165853j -0.00492924-0.0151379j -0.0182743+0.00193433j 0.0170462+0.017748j -0.0134321-0.0114032j -0.00947056+0.00838308j 0.024927-0.0136667j -0.0455013+0.000370107j 0.0224377-0.00796264j 0.00473671+0.00657215j 0.0187414-0.00379876j 
0.0406789+0.0180252j -0.0122806+0.00625622j -0.0100477-0.00170745j -0.0156171+0.0111231j -0.0176018-0.0142002j 0.00175483+0.00859966j 0.0092183+0.0155375j -0.0236044+0.00262731j 0.0422525-0.0094433j -0.0347516-0.000217791j 0.0263553-0.015285j 0.0659093+0.0359133j -0.0263823+0.00215169j -0.00120446+0.00551194j -0.00754258+0.0128412j 0.011025-0.00591864j -0.0289786+0.0213315j 0.0113281+0.00622498j 0.00274757-0.00191909j -0.00975337-0.000310589j -0.000962225-0.00830182j 0.0241693+0.00364479j 0.00676754+0.00734797j 0.0218256+0.0102535j 0.0147631-0.00581015j 0.0119411-0.000802211j 0.00461634-0.0255621j 0.0131136-0.0327022j 0.0138093-0.0427766j -0.00230099-0.000173401j 0.0651858-0.0021924j 0.0254796+0.0169058j 0.0297057+0.00710381j 0.0230108+0.0218265j -0.014614-0.0512109j 0.00571609-0.0213153j 0.0240022-0.00175845j 0.0391156-0.0558585j 0.0211202+0.0101403j -0.0172912-0.0294558j -0.00968936+0.0461048j 0.00331314+0.102374j -0.000827989-0.116341j 0.0225284-0.00056789j -0.0280448+0.0969062j -0.0166842-0.046025j -0.00865265-0.217687j -0.014348+0.137043j 0.131407-0.00256745j 0.0236529+0.0255121j -0.0111429+0.0118068j -0.00158706+0.00325759j 0.0211495+0.00457224j -0.0150187+0.000689248j 0.00176262+0.017504j -1.36485e-05+0.00405191j 0.00170255+0.0170608j 0.0194248+0.0126581j 0.00700273+0.0100976j 0.00972595-0.0273587j 0.0170911+0.0355643j -0.00728713-0.027723j -0.012141-0.00254556j 0.00494869+0.00650028j -0.0444383-0.00319775j 0.0106523-0.00800902j -0.00764361+0.0197733j 0.00730565-0.0109114j 0.000425892+0.00547766j 0.0319752+0.00734186j 0.0419725-0.0204188j -0.005804+0.0318183j -0.00414383-0.015624j -0.00952955+0.00844824j -0.0512026+0.00863211j -0.0337534-0.00444j -0.0614063-0.000281261j -0.0906915-0.0279831j -0.034089+0.0396509j 0.0437965+0.0122486j -0.0121914-0.0160422j 0.0288606+0.0056013j 0.00354211+0.00233172j -0.0310662+0.0107511j 0.0138655-0.00706029j 0.0151862+0.0018887j 0.0103766-0.00869933j 0.0129249+0.00441285j 0.0362173+0.00196675j -0.00480517+0.0301592j -0.000365056-0.0602919j -0.0530913-0.0343355j 0.178903-0.000818544j -0.0179924+0.0159573j 0.0673508-0.00482213j 
