-0.000229938-0.0892027j 0.00306125+0.0294453j -0.0530058+0.000262071j 0.0270589+0.00531534j -0.0330674-0.00211108j 0.0644964-0.00348912j -0.0212776-0.0014125j 0.00672913-0.00462915j 0.0846789-0.00366481j -0.0176644-0.00877581j 0.0206202+0.00696589j -0.00111613+0.000830379j -0.00558793-0.000822087j 0.00602099+0.00130217j 0.0105674-0.000555671j -0.0111297-0.000892849j 0.00302653-0.00184895j 0.00332463+0.00123486j 0.00434786-0.0014523j 0.000812337-0.00151367j 0.0016411+0.00219116j 0.00191835+0.00194142j 0.00133749-2.86188e-05j -0.00154063+0.000429021j -8.65394e-05-0.00327197j -0.00371767-0.00176814j 0.00289984+0.00319974j 0.00398363+0.00158596j 0.00869105-0.00108853j -0.00489648+0.00357432j 0.00431992+0.00190945j 0.00891785+0.000522911j -0.00872633+0.00772552j -0.00314601+0.00308896j 0.00573167+0.00197636j 0.00230789+0.00140758j 0.00178659-0.000322095j -0.00927929+0.000873195j -0.000617451-0.000250917j 0.00395423+0.000368522j -0.00324406-0.00217789j 0.00822751+0.0014917j -0.00125632+0.000234026j -0.00162565+0.000384779j 0.000803015-0.000361987j 0.000853503+1.06761e-05j -9.95657e-05+0.00139701j 0.00156406-0.000782654j 0.00296702+0.000884416j 0.00292141+6.74142e-05j 0.00125054-0.00020962j 0.00472401-0.00117624j 0.00364663+0.000112849j -0.00196704-0.00134186j 0.00229515-0.00129921j 0.0136173-0.00095726j -0.00558535-0.00124738j 0.00847088-0.000386869j 0.00497923-0.000307678j 0.00571186-0.000113997j -0.00117711-0.000345505j 0.00127441-3.34968e-05j 0.00149672-0.000471645j 0.00623014+0.000500186j -0.00591015-0.000342205j 0.00108144-0.000426435j 0.000513931-0.000940782j 0.00516652+0.000448937j -0.000883794+0.000215455j 
-0.0236973-0.00756087j -0.128606-0.00811755j -0.0613333+0.00842274j -0.0328863-0.00330744j -0.00809412-0.0144j -0.0263762+0.0166105j -0.00143564-0.0145594j 0.0138534-0.0192184j -0.0105475-0.00224765j -0.0386851+0.0327926j -0.0407334-0.0174511j -0.0837743-0.00549499j 0.0132318-0.0077879j 0.00179963-0.00228258j -0.00918917+0.00825024j -0.00465176-0.00924538j 0.014118+0.00609121j -0.00408974-0.0087201j -0.00309804-0.00560733j 0.0140485+0.00375045j 0.0197082+0.00286886j -0.00451716+0.00186438j -0.0063547-0.00386112j 0.00335099+0.00336784j 0.00555304+0.00764544j 0.00448371-0.000229607j -0.0150763-0.00257105j -0.014698-0.00222497j -0.00714585+0.00512338j 0.00771983-0.00697276j -0.0227578+0.00045624j -0.0128306-0.000135971j -0.0206775+0.00999857j 0.0606309-0.00261721j -0.00997808-0.00554712j 0.0141004+0.00924377j 0.0181853-0.000445162j -0.0136764-0.00253279j 0.0051233+0.00107204j 0.00769483+0.00191647j 0.00645499+0.00182938j -0.00797456-0.000747271j -0.00812417-0.00185242j 0.010637+0.000175307j -0.0039511-0.00300538j 0.00285116+0.00304344j -0.0115937-0.0076804j 0.0110597+0.00556318j 0.00208828-0.000599022j 0.00690831+0.000320404j 0.000252899-0.00310398j 0.015467-0.00121861j -0.0135087-0.000386798j -0.00451432+0.000285361j -0.0228261-0.000945851j -0.00440197+0.00263454j 0.0162232-0.00586656j 0.0305698-0.00675336j -0.028279+0.00188102j -0.0165975+0.000847541j 0.0182765+0.00274713j -0.00683267-0.000414137j 0.0251496+0.00171957j -0.0106185+0.00084222j 0.00115236-0.000568529j 0.0178044+0.00168016j 0.0472546+0.000421975j -0.0146816+0.00276929j -0.0113028-0.00196173j 
-0.00456921+0.0109339j -0.0200023+0.0109318j 0.00930637-0.00726942j -0.0551794-0.000228561j -0.00178383-0.0130524j 0.0059776-0.0247617j 0.0291334+0.0224348j 0.00266563-0.0171583j 0.00923508+0.00990287j 0.00762879-0.0321935j -0.0155406+0.0109099j -0.0205566+0.00332838j 0.00171926-0.00434015j -0.0172516+0.0029776j 0.00791989-0.002887j -0.00189328+0.00438587j 0.0212231+7.88184e-05j -0.0141053-0.0014941j 0.0150264-0.00289833j 0.00409843-0.000505544j 0.0165886-0.00346569j 0.0390168-0.00110484j -0.031165+0.00210989j -0.00752971-0.00253639j -0.0263341-0.00357504j -0.0327456-0.000572923j 0.0306815+0.00578637j 0.0210353+0.00295058j 0.0129458+0.00285799j -0.0292566+0.00405159j 0.0431903-0.00071999j 0.053502+0.00542385j -0.0394652+0.00351678j 0.00764008+0.00116004j 0.00396317-0.000522956j 0.0101177-0.000701525j -0.00116936-0.00129889j 0.00663628+0.00114618j 0.00214301-0.000422839j 0.00169413+0.000655451j 0.00321026+0.000202121j 0.0110462-0.000339148j 0.00601826+0.000509028j 0.00502848-0.000507948j -0.00742082-0.000620783j 0.00180348+0.00036438j -0.00168013+0.00175551j 0.0137813-0.00135835j 0.00759133-0.000345016j -0.00514809+0.000391605j -0.000189248+0.00151273j 0.00396161-0.000749128j -0.000735685+0.000813488j -0.00447186-0.00144124j 0.0124495+0.000357905j 0.00303252+7.53894e-05j -0.0088252-0.00123629j 0.0152872-0.00112935j 0.00136854+0.000487493j 0.00317805+0.000105026j 0.00706353+0.000299063j -0.000599861+0.000134665j 0.00326941-0.000408966j 0.0058604+7.63145e-05j -0.0024995+0.000244039j -0.00197701-0.000808087j 0.00665917-0.00128952j 0.00161522+0.00023077j -0.00334287-9.94512e-07j 
0.0189594-0.00403377j 0.0242193-0.0105229j -0.0252943+0.0125942j 0.120696-0.00318988j -0.00307467-0.0317587j -0.0322064+0.012789j -0.0713783-0.0123961j -0.0167727-0.032805j -0.0575336+0.00158207j 0.0157331+0.0254492j 0.0163629-0.0175598j 0.0252515-0.00196446j 0.0137619-0.00879646j 0.0098796-0.00220669j -0.0134213+0.00381889j -0.0103741-0.00538849j 0.0194898+0.00175168j -0.00182142-0.00573833j 0.00208417-0.0019705j 0.00654931+0.00269504j 0.00672012-0.000292012j 0.00514563+0.00200093j -0.0139437-0.0015267j -0.00703766+0.000318632j -0.0184423+0.00277882j -0.00367492-0.00434139j 0.00579348+0.00121128j -0.00730841-0.00310256j 0.00515803+0.000350161j -0.00640206-0.00235503j 0.0138814-0.00305585j -0.0110084+0.00123244j 0.00137751+0.00376061j -0.00814784-0.00282929j 0.00767288-0.000409958j -0.00395782+0.0031368j 0.00334855+0.00133287j -0.011554-0.00174012j -0.0022478+0.000310118j -0.00416205+0.000279227j 0.00101974+0.000637898j -0.00199434-0.000200013j 0.00206224-0.000115893j 0.0020027+0.000222825j 0.00179627-6.49845e-05j -0.00128732+0.000580675j 0.00151918-0.000978474j -0.000564008+0.000408382j 0.00029526+0.00035029j -0.00150464-0.000743699j 0.00116293-0.00187879j 0.00255168-0.000286593j 0.00661545-0.000144578j -0.00405941+0.00250247j -0.00894342+0.00145247j -0.00202998-0.000141974j 0.0016296-0.00113607j -0.00942697+0.000321327j 0.00503724+0.000716846j 0.00507304+0.000528538j -0.00937618-0.000604654j 2.94246e-05+8.34449e-06j -0.0057142+0.000237416j -0.00877311+0.000582427j 0.00248968-0.000328775j 0.00377229+0.000169973j -0.00926497+0.000920958j 0.00417039+0.00020383j 0.0034068+3.08937e-05j 
0.00529443-0.00180058j 0.00895596+0.0030138j 0.0248192-0.0104333j -0.0519769+0.00180244j -0.000411963+0.0339143j 0.027225+0.0143538j 0.0340354-0.00568693j 0.00909527+0.050174j 0.0377651-0.00364959j -0.00571376+0.00588287j -0.00471837+0.0103048j 0.00699975-0.00157527j -0.0101142+0.0103304j -0.0244956+0.00147906j 0.00830544+0.000323196j 0.0316132+0.00221331j -0.0287338-0.00521529j -0.0108145+0.00423314j -0.0314071+0.00426867j -0.00489406+0.00173297j -0.00948218+0.00322826j -0.00625267+0.00299522j -0.00450573-0.00183226j 0.00988759+9.91681e-06j 0.00572264+0.00128439j 0.0276702+0.0024371j -0.00668202-0.0021667j -0.0144853-0.000468483j -0.0158025+0.00068392j 0.00710798-0.00302407j -0.00872644+0.00204645j -0.0186626-0.00218983j 0.00399417-0.00181305j 0.00454118+0.00323281j -0.00209686+0.00133764j -0.000773242-0.00184891j -0.00101831-0.000400192j 0.00491068+0.000152184j -0.00738314-0.000325547j 0.00460527-0.00105138j -0.00263851-0.000921097j -0.0046196+0.00143866j 0.00489353+0.000561849j -0.00124701-0.00049829j 0.000722257+0.00122656j -0.00160914-0.000137271j -0.00557956+0.000430827j -0.00518396+1.12286e-05j -0.00330048+0.00117232j 0.000642174-8.7415e-05j -0.00568757+0.0013913j 6.76872e-05+0.000699406j 0.000186857+0.000400594j 0.00656484-0.00172694j -0.0058528-0.00158161j 0.00229031+0.000532335j -7.44337e-06+3.31694e-05j 0.00168415+0.00209626j -0.000573339-0.00053238j -0.00064745+0.000110551j 0.00195883-0.000189929j 0.000220879-9.17854e-07j 0.00015383+1.96929e-05j 0.00536452-1.32462e-05j -0.00243415-0.000372343j -0.00285241-9.04197e-05j -0.00101315-0.000325234j 0.00064298-9.98356e-05j -0.00016898+0.00023903j 
0.000435804+0.00724037j -0.00655266+0.00580594j 0.00244885-0.00896418j -0.0337671+0.00516139j 0.0100083-0.0191067j -0.00257849-0.0270998j 0.0221885+0.0183929j 0.00277418-0.0232433j 0.00764836+0.0072027j -0.00204324-0.0322886j 0.00146234+0.00692677j -0.0147673+0.00477463j 0.00476998-0.00480226j 0.0427186-0.00228428j 0.00628946-0.00397298j -0.0444401+0.00120316j 0.0107383+0.00455882j 0.0330095+0.000273436j 0.049628-0.000966602j -0.00811557+0.000497703j -0.0123234-0.0019154j -0.0209123-0.00411927j 0.0491575+0.00563293j -0.00305278-0.00252058j 0.0282359-0.00383064j -0.0280943-0.000617735j -0.0148994+0.00538465j 0.0284516+0.00076834j 0.0146129-0.00104574j 0.00282196+0.00377304j -0.0214597+0.00099062j 0.0110977+0.000688514j 0.0137435-0.00420569j -0.00705148-0.00201637j -0.0055075-0.00122017j -0.00170099-0.00247281j -0.00451904+0.000811997j 0.00621808+0.000657727j 0.00919263-0.00047323j -0.00328402+0.0013055j -0.00171193-8.97854e-05j 0.000330901-0.000567218j -0.0100447+6.89862e-05j -0.00386626+0.000432524j 0.00110807-0.000149468j -0.00136765-0.00114219j 0.00964785+0.00022582j 0.00343662-9.03326e-05j 0.00140208-0.000863505j 0.00665173+0.000777199j 0.00322722+0.000370961j -0.00880853+0.000780544j -0.00606237-0.000401424j 0.00312336-0.000171895j 0.00929651+0.00061132j 0.000967833-0.000200865j 0.00202404+0.00182652j -0.00313609-0.000617618j -0.00282013-0.000345868j -0.00438444-0.000463463j 0.00191065+0.000325526j 0.000630381+3.53754e-05j 0.000485991-0.000143685j 0.00150511-0.00048523j 0.000980329+0.000461658j -0.00187315-6.13586e-05j 0.00110724-4.91284e-05j -0.00386733-0.000430075j -6.65219e-05-5.74706e-05j 
0.012004+0.00703856j 0.0541576+0.00394638j 0.0235923-0.00567434j 0.0190876+0.0019113j 0.00976447+0.00559433j 0.000114454+0.000975268j -0.00306473+0.00448195j 0.00106972-0.00157704j -0.00580961-0.00171774j 0.00556183+0.00639671j -0.00691594+0.00907388j -0.0239713-0.00776881j -0.0380103-0.0038576j -0.0083351-0.000798334j 0.0172353+0.00015297j -0.0364612-0.00387078j 0.0452009-0.00381653j -0.0386358-0.0112065j -0.0231983+0.00184301j 0.012988+0.00412015j 0.0164396-0.0117025j -0.00678544-0.00259347j -0.0025647-0.00277396j 0.0146227-0.00325635j 0.0423615-0.00188005j -0.00367192+0.019663j -0.0266797+0.00239594j -0.0104919+0.0114637j 0.00331132+0.0150877j -0.00525891+0.00737136j -0.058923+0.0143146j -0.00104368+0.0238682j -0.056587+0.0432795j 0.0434725+0.024523j 0.0835382+0.00938718j 0.0855536+0.0159719j 0.0124581+0.0145777j 0.0206618+0.00688821j -0.00689894+0.00259627j 0.00165862+0.00617388j -0.00771759-0.00146312j 0.015492+0.000413569j 0.000940512-0.00210913j -0.00314967+0.00292799j -0.0145916+0.00240049j 0.010397-0.00364474j -0.0238781+0.00822621j 0.0358324-0.00711432j 0.00464451+0.00300943j 0.00324675+0.000904876j -0.0190291+0.00588401j -0.0259497-0.00493133j 0.0180536+0.00349239j -0.00614898-0.00701488j -0.0081946-0.00660118j 0.0346066-0.00312222j -0.0150993-0.0164466j 0.0737744+0.00109282j 0.0259516-0.00650538j 0.0615539-0.00113048j 0.0222103-0.00356856j -0.00291152+0.000221407j -0.0102558-0.00207695j 0.0402583-0.000301764j -0.0283296-8.19289e-05j 0.0155106-0.000571335j 0.0255162-0.00634751j 0.0778257+0.00481442j -0.0261908+0.00178954j 
-0.00555833+0.000840839j -0.0260262-0.00444342j -0.0104047+0.0101338j 0.00282299-0.00498833j -0.00147169+0.00336559j -0.0109284+0.0171493j -0.00241185-0.0160035j 0.008199-0.00878196j -0.0113972-0.00903543j -0.0107727-0.0128733j -0.00227182-0.00448792j -0.0388073+0.000366576j -0.00203595-0.000778101j -0.012714-0.00927193j 0.0139718-0.00586045j -0.00748203-0.00444693j 0.0170655+0.00125223j -0.00854856+0.0125957j -0.0379809+0.00199302j 0.00566716-0.00413035j 0.00820163-0.00584715j -0.00204124-0.00764526j -0.0114108+0.00783423j 0.00652729-0.00183826j 0.0117555-0.00752369j 0.012239+0.0100114j 0.00193745+0.00200193j -0.01453+0.0226739j -0.0028492-0.0170654j 0.0817907+0.0300608j -0.0494649+0.0217639j 0.0911207-0.00904814j 0.0213236-0.0193713j -0.0889656-0.00522594j 0.00770897+0.00993j 0.0113456+0.000871633j 0.009888+0.00719512j 0.010923+0.00483285j 0.00569339+0.00154576j 0.0119467+0.0016493j -0.0071636-0.00185768j -0.00553998-0.000510857j -0.000483581-0.00143692j -0.00835549+0.00272511j 0.00646149+0.00249121j 0.00162679-0.00175332j 0.0234373+0.00519208j 0.00222026-0.00411695j -0.00716957-0.00148665j 0.0139966-0.000345153j -0.0115138+0.000254406j 0.0168504+0.00222325j 0.0233536+0.00284439j -0.0351976+0.000953028j 0.051295+0.00378204j -0.00832418-0.00182582j -0.00840175+0.00799313j -0.00487472-0.00182537j 0.0244122-0.00521472j 0.019682-0.00344783j -0.00287091-0.00235721j 0.00762278+0.000854674j -0.010883-0.000805733j 0.0121668-0.00163539j 0.00204723+0.00160052j -0.00646247+0.00100237j -0.00892048-0.000593327j 0.0211547-0.00143011j -0.00462004+0.00106008j 
0.00020719+0.00555084j -0.00336218+0.00192319j 0.00189904+0.0105575j 0.00769437-0.00725693j 0.00278148+0.000140161j -0.00899387+0.0383923j -0.0015847-0.00985836j -0.00882578-0.00773353j -0.00611169-0.0345472j 0.00477994-0.0461983j 0.00336751-0.00151262j 0.00951256+0.00433793j 0.00192002+0.0049599j 0.0174699+0.004487j 0.0140749+0.00488947j 0.00875738+0.00255678j -0.0488131-0.0158507j 0.0180217+0.00431556j 0.00655399-0.0129509j 0.00360286+0.0135946j 0.0157629-0.00445435j -0.00483893+0.0158808j 0.0214818-0.00455226j 0.0208558+0.00226084j 0.0125589+0.00801118j 0.0151046-0.0222317j 0.0182122+0.0175409j 0.00776336+0.0117328j -0.0171554+0.0199607j -0.0656105+0.017939j 0.0283957-0.00660484j -0.0287184-0.00541587j -0.00814962+0.0035582j 0.0484414+0.00744091j -0.00874273-0.00500128j -0.00832745-0.00237834j -0.00596722-0.00583798j -0.019506-0.00214833j -0.00589076-0.00418626j 0.0166448-0.00440636j -0.0137662-0.00122766j -0.00146167+0.000811237j 0.0185862+0.00365282j -0.0043775-0.00383027j -0.0124782-0.0030536j -0.00182542+0.00238317j -0.00439452+0.00258232j -0.00398722-0.000484127j 0.024099-0.000808533j 0.0402439+0.00171639j -0.00514331+0.00300453j 0.0462905-0.00128112j 0.00232683+0.00530924j -0.0205511-0.00318314j 0.0488897+0.00151768j 0.00746139-0.000274278j -0.0188282+0.00243109j 0.00402652+0.00121816j -0.000908589+0.00340251j -0.0064854+0.00259961j -0.00236525+0.00114769j 0.00714164+0.000377909j 0.00852236-0.000512647j 0.0077205+7.19505e-05j 0.00648934+0.000360375j -0.013413-0.00223072j -0.012773-0.000151381j -0.0153184-0.00107512j 0.00708945-0.000170502j 
0.000547434-0.00191982j 0.00687707+0.000112167j 0.00991333-0.0282981j -0.0172471+0.00972073j -0.00250923+0.00687925j 0.0127485-0.0300296j 0.00397069+0.0328257j -0.00183183+0.00175896j 0.0113086+0.0276579j 0.00827436+0.0673914j 0.0101494+0.0124839j 0.0104402-0.00583992j 0.0258948-0.00443547j 0.0037731+0.00475834j -0.0713761-0.00289848j 0.00383318-0.00814613j 0.00792534+0.00976934j 0.0162024-0.0080632j 0.0151912-0.0150144j 0.0213714+0.0174105j 0.0328865+0.0140092j -0.0116991-0.0124788j -0.0208554-0.00342576j -0.00333403+0.019129j 0.00669591+0.00600584j 0.021563-0.0112097j -0.0119865+0.00847785j 0.000380402+0.0203779j 0.0309244-0.00535674j -0.00228362+0.0142481j 0.00532634+0.00729294j -0.00321324-0.00117772j 0.0104439+0.008086j -0.0108722+0.00687842j -0.000834098-0.000996653j -0.0238822+0.00572156j -0.0154103-0.00044647j 0.00563323-0.00278381j -0.00488736-1.63015e-05j -0.0226279+5.44005e-05j 0.0219557-0.00472772j 0.00269889+0.00372083j -0.0122096-0.00327353j 0.0178183+0.00312144j 0.0146596+0.00191221j -0.00651908+0.000331903j 0.0269162-0.000202099j -0.00146276-0.000451342j 0.00675754+0.00452957j -0.00370667-0.00237193j -0.0644072-0.00576259j 0.0252509-8.38807e-05j 0.00904824+0.00263198j -0.0317907+0.00367223j -0.0433765+0.00162616j 0.0191929-0.00129052j 0.00188511-0.00167068j -0.00551043-0.0035044j 0.00185195-0.000435892j -0.00515087+0.000962211j -0.0187828-0.00105094j -0.00230187-2.42273e-05j 0.000180445-0.00116433j -0.0124518+0.0026036j -0.00397886-0.00162318j 0.0183407+0.000891955j -0.00204086+0.000832564j -0.00997229+0.000562228j 0.00967425+0.000116603j 
0.00164739+8.29192e-05j 0.00945333-0.00102265j 0.00221922-0.0161844j -0.00292514-0.000764603j 0.00159302+0.0382547j 0.000442487+0.00569705j 0.0050468+0.00887919j 0.00361217-0.0415154j 0.00607845+0.00859611j -0.0016202+0.0142803j -0.0103288+0.0144625j 0.00712443-0.00779942j -0.00974761+0.00542201j 0.0435961-0.00649259j 0.00216892+0.00173295j 0.0132564+0.00126141j 0.0126164+0.00541585j -0.0377402+0.000291963j 0.0381153-0.000299753j 0.010507+0.00184977j -0.00283077+0.0040776j 0.0370149+0.00622616j -0.033806+0.000588967j -0.0276442-0.00343829j 0.0375082+0.00317482j -0.0179779-0.00838555j -0.0561608+0.00544114j -0.0402092+0.00337422j -0.0120166-0.00763541j 0.0633259+0.00951883j 0.0428678-0.00554351j -0.0174098-0.00156188j 0.00883159+0.00172632j -0.00224207+0.001409j -0.0106239+0.00462515j 0.00414298-0.00130174j -0.0129392-0.00168223j -0.00380739-0.000177745j 0.0192921-0.00190623j -0.00651336+0.00248335j 0.0206042-0.00266945j 0.0292467+0.00022151j 0.00319143-0.000807873j 0.00677228-0.000109863j -0.00659265-0.00199615j 0.00748307+0.00239834j -0.038924-0.000135878j -0.0501443-0.00069949j 0.0113285-0.000925731j -0.0195319-8.23437e-06j 0.0135493-0.00206874j 0.0116888-0.00265653j -0.00628114-0.00376613j -0.0212251-0.00220642j 0.0135865+0.00127165j -0.00815709-0.00185896j -0.0168868-0.00296891j 0.0134601-0.00363203j 0.010533+0.000467173j 0.00627395-0.00191291j 0.00350077+0.00136242j -0.0010572+0.000269067j 0.00793432-0.000409539j -0.00189604+0.00103074j -0.00465473-9.6664e-05j 0.00258895-5.1465e-05j 0.0130649-0.000873809j 0.00563064+0.000668476j -0.00695904-0.00029025j 
