0.000340275-0j 3.43933e-08-0j -0.00546065-0j -1.4395e-06-0j 2.83731e-08-0j 0.040049-0j 2.48117e-05-0j 2.50688e-05-0j 1.77332e-09-0j 1.79169e-09-0j 0.0396382-0j -8.31098e-07-0j -8.39711e-07-0j 1.73749e-08-0j 1.75549e-08-0j 
-0.00363183-0j 8.76727e-05-0j 0.0288443-0j -0.00244205-0j -7.61329e-07-0j -0.0676284-0j 0.025158-0j 0.0254187-0j 9.08837e-06-0j 9.18255e-06-0j -0.0669348-0j 1.48412e-05-0j 1.4995e-05-0j -4.66217e-07-0j -4.71048e-07-0j 
0.00706039-0j -0.00211522-0j 0.00182188-0j 0.0293046-0j 9.13595e-06-0j 0.000189197-0j -0.0983306-0j -0.0993496-0j 0.0103059-0j 0.0104127-0j 0.000187257-0j -8.85812e-05-0j -8.94992e-05-0j 5.5946e-06-0j 5.65258e-06-0j 
-6.39383e-06-0j 0.0127135-0j -5.38341e-07-0j 0.00185405-0j -3.65438e-05-0j -2.77568e-08-0j 0.000133804-0j 0.000135191-0j -0.124982-0j -0.126277-0j -2.74721e-08-0j -3.72974e-06-0j -3.76839e-06-0j -2.23784e-05-0j -2.26103e-05-0j 
0.0204008-0j 1.04411e-05-0j -0.0789893-0j -0.00021774-0j -0.00123172-0j -0.0168258-0j 0.00148756-0j 0.00150297-0j 5.38341e-07-0j 5.4392e-07-0j -0.0166533-0j 0.0179769-0j 0.0181632-0j 5.27464e-06-0j 5.3293e-06-0j 
0.00171803-0j 0.0119028-0j 0.00021774-0j -0.081584-0j 0.0147807-0j 1.4995e-05-0j -0.0119009-0j -0.0120242-0j 0.00123388-0j 0.00124666-0j 1.48412e-05-0j -0.0709018-0j -0.0716365-0j -6.32957e-05-0j -6.39516e-05-0j 
7.2338e-05-0j 0.000501172-0j 6.09063e-06-0j 7.30876e-05-0j -0.118659-0j 3.14032e-07-0j 5.27464e-06-0j 5.3293e-06-0j 2.58404e-05-0j 2.61082e-05-0j 3.10811e-07-0j -0.0121106-0j -0.0122361-0j 0.000253183-0j 0.000255807-0j 
-0.0691774-0j -0.000108507-0j -0.0178507-0j 0.00150327-0j -8.95137e-05-0j -0.00185375-0j -0.00504419-0j -0.00509646-0j -5.5946e-06-0j -5.65258e-06-0j -0.00183473-0j 0.000867915-0j 0.000876909-0j 0.0104698-0j 0.0105783-0j 
0.000108507-0j -0.071417-0j 9.13595e-06-0j -0.010415-0j 0.000620169-0j 4.71048e-07-0j -0.000751637-0j -0.000759426-0j -0.00740327-0j -0.00747999-0j 4.66217e-07-0j 6.32957e-05-0j 6.39516e-05-0j -0.0725369-0j -0.0732886-0j 
-0.0130389-0j 0.000950907-0j -0.00165253-0j -0.00651768-0j 0.000784458-0j -0.000113804-0j -0.000950754-0j -0.000960606-0j 4.90287e-05-0j 4.95367e-05-0j -0.000112637-0j -0.00376298-0j -0.00380198-0j 0.000480381-0j 0.000485359-0j 
-0.000868056-0j -0.00601407-0j -7.30876e-05-0j -0.000877051-0j -0.00496135-0j -3.76839e-06-0j -6.32957e-05-0j -6.39516e-05-0j -0.000310084-0j -0.000313298-0j -3.72974e-06-0j -0.000506366-0j -0.000511613-0j -0.00303819-0j -0.00306968-0j 
