-0.00801687-0.0696806j -0.0247033-0.0233761j 0.0726332-0.0951594j 0.0157804+0.0555585j -0.0255685+0.0315827j -0.0448722+0.0162466j -0.0463798-0.0676781j -0.000561653+0.217972j 0.128865+0.0140199j -0.0244355-0.0389244j 0.0186626+0.0699703j -0.098208+0.142116j 0.00719242-0.172641j -0.0422774+0.00365003j 0.0392618-0.0337848j 0.0177381-0.112101j 0.00957401-0.0415504j 0.0466842-0.0774122j 0.00730565-0.0325704j 0.0250047-0.00505091j 0.105859+0.170823j -0.0650656-0.0155037j 0.00664471-0.123976j 0.00823354-0.0280315j 0.0439152+0.064536j 0.00464628+0.0388503j 0.0418327-0.10192j 0.00925224+0.0518438j 0.0251216-0.0355373j -0.0678875-0.259083j 0.0742669-0.243528j -0.0343838+0.0622647j -0.0587909+0.0234669j -0.0204538+0.11125j 0.0732414+0.108284j 0.070166-0.128094j 0.00956006+0.143011j 0.0454393+0.0225055j 0.0387697+0.0361604j 0.0223784+0.00590775j 0.00689455+0.0276739j 0.0354804-0.0335022j 0.0180992-0.0021488j -0.0444107-0.0835855j -0.0139189-0.0248353j 0.0398966+0.0636545j -0.0555681-0.00287744j 0.0580133-0.00711283j -0.0441022+0.0549768j -0.0947035+0.000302743j -0.0373007-0.00278506j -0.0715046+0.0736381j 0.0280736-0.0289816j -1.77337e-05-0.0548797j -0.0599456-0.00256319j 0.0416205-0.00776871j 0.103299+0.0384371j 0.146457+0.205007j 0.0606703+0.0425706j 0.096769+0.0813746j 0.00319904+0.0398053j 0.0325313+0.00444428j 0.0562233-0.0171873j 0.0288223+0.0275048j 0.0662827+0.0709897j -0.0149945-0.0131873j -0.00215807-0.0483178j -0.140204-0.123707j 0.0387244+0.0353979j 
0.0284754+0.0630054j -0.019086+0.120059j -0.135206+0.0230201j -0.0138498-0.112872j 0.0148086-0.0357967j 0.0988754-0.0465641j 0.0211885+0.0292967j 0.00345442-0.0479117j -0.0903777-0.0427931j 0.0488347-0.0431287j 0.0125931-0.0342525j 0.0372664-0.0593104j -0.0272766-0.0500148j 0.0021951-0.0502988j -0.018484-0.0552471j -0.0849627+0.0141925j -0.0316893+0.0135982j 0.0106041+0.0488089j 0.0505728+0.0110935j 0.0649918-0.0368758j -0.0417371-0.0157654j 0.0989864-0.0123202j -0.0312351+0.00875554j -0.0285957-0.0888494j -0.0596143+0.099169j 0.0111696-0.130034j -0.0542614+0.0379923j 0.0708498+0.0714582j 0.0553563-0.164315j 0.0231528-0.00889799j -0.0758116-0.353266j -0.0542971-0.216986j 0.0477611-0.172307j -0.158181-0.1481j -0.0568507+0.0358311j -0.00448058-0.0494313j -0.0118387+0.0060618j 0.0116022+0.0374135j 0.0177814-0.0321795j -0.0127245-0.0293261j -0.0402078+0.0201755j 0.0407846+0.041965j 0.00449709-0.046116j -0.0304997-0.00119382j -0.0618105-0.000956416j -0.0300767-0.13787j -0.0716787-0.00885766j 0.145745+0.0333602j 0.0338127+0.00949059j 0.0232365+0.123898j -0.0786489-0.0098561j 0.0607726-0.0664972j 0.000774441-0.0764948j -0.0636401-0.0714425j 0.00100305-0.0102881j 0.0307541-0.00230697j -0.0377977-0.0348804j -0.128792-0.0456198j 0.0702725+0.10633j 0.019674+0.0961676j -0.0303967-0.0128869j 3.44581e-05-0.0608272j 0.0585075+0.0537566j -0.0113399+0.0624394j 0.0412887-0.0211279j -0.0289683-0.0681237j 0.146009+0.111766j -0.0218758-0.0374259j -0.0537225-0.0181602j 
0.0503192-0.00223245j -0.0548837-0.058669j 0.0910476-0.082081j -0.0761132+0.0602487j 0.122115+0.118969j 0.187945-0.104617j -0.268334-0.17045j 3.86271e-05+0.249421j 0.271807-0.0521772j 0.0567621-0.199858j 0.0590448-0.0675823j 0.0168318+0.0815023j 0.0820673+0.0816648j 0.00860079+0.0123884j 0.0108607+0.119943j -0.0160107+0.110441j -0.00873737-0.0906259j 0.0282062-0.105773j -0.00548509-0.123099j 0.0965322-0.137659j -0.0218707+0.00100266j 0.216637+0.0127198j -0.123706-0.0429347j 0.211971-0.0157192j -0.0454641-0.0037179j 0.0724221-0.147512j -0.0148747+0.131975j 0.0331042+0.0289335j 0.0441745-0.0917758j -0.0151462+0.0795961j -0.0113953-0.0115009j -0.0666762-0.0420577j -0.101716-0.121079j 0.0236728-0.0600906j -0.0240846-0.0140534j 0.0190569+0.0544529j -0.033562-0.0259387j -0.00805637-0.0507476j 0.012646-0.0192329j 0.0477069+0.01075j -0.00506028-0.0328478j 0.0079923+0.0100158j -0.022566-0.00550636j 0.0313322+0.0327555j -0.0115334+0.0156031j -0.00746143-0.0641122j 0.0537675+0.00588445j -0.0711379+0.00638303j 0.0399294-0.0211184j 0.0234642+0.00384342j 0.00944057-0.0111904j 0.0397046-0.013033j -0.0241183+0.0524515j 0.0156204-0.00423858j 0.0165273-0.0159568j -0.0124176+0.0288754j 0.009734-0.0139005j 0.0223015-0.00814648j -0.0124612-0.0116292j -0.0073287-0.0211078j 0.0179203-0.0114817j -0.00527181+0.0183305j -0.0278512-0.0266583j -0.018321-0.00944008j -0.0292793-0.00275008j 0.0116227+0.0339376j -0.0469241-0.0249978j 0.0264884+0.026833j 0.0116989-0.00419151j 
-0.0341899+0.0695302j -0.0416076+0.0943287j -0.0727417+0.0742525j -0.0706929-0.163294j -0.018744+0.0138809j 0.159208+0.091389j 0.0274419+0.0634757j 0.14528+0.206336j -0.121055+0.0998901j -0.0325185-0.0100149j -0.00489371-0.0368746j -0.0301165-0.124476j 0.0280162+0.0502554j -0.0124647+0.0272081j 0.0401605+0.0113611j -0.0359507-0.00482907j -0.0252836-0.00377611j 0.0377535+0.171268j -0.0496593-0.0942541j 0.0180607+0.0449119j 0.0229423+0.0489085j 0.135842-0.112575j -0.156076+0.153792j 0.1271+0.108037j -0.0268377-0.0579042j -0.02496+0.248023j 0.024886+0.0676895j 0.0708981-0.178116j 0.0872287+0.0522664j -0.0420733-0.0483527j -0.0205792+0.117292j 0.0194757+0.0138493j -0.0218724+0.0802266j 0.0114607+0.0590778j 0.0416612+0.0259326j 0.0610279+0.0434069j 0.0160197+0.0190777j -0.00938765-0.0127438j 0.0290209+0.00164494j -0.0132238+0.0352669j -0.0528593+0.0138837j -0.0250259+0.00689615j 0.00114547+0.0395312j -0.045281-0.0220747j -0.0342283+0.0174167j 0.0238057+0.111689j -0.0192116+0.0191193j 0.0344556-0.0327653j 0.0471318-0.0465425j -0.016152-0.0681905j -0.0139899-0.0209118j -0.00176683+0.0397462j -0.0327656+0.00270723j -0.0618532-0.0403054j -0.0297762-0.0195898j 0.0408983-0.0312366j 0.00782862+0.0211547j -0.00320207-0.00632582j 0.018295-0.00709667j -0.00386979-0.00932529j -0.0110082-0.0171203j -0.00384028-0.0195981j 0.00875912+0.00422243j -9.36415e-05+0.0125955j 0.0120956-0.0186036j -0.00738431-0.0142044j 0.0167261+0.00635482j 0.00762903+0.0050278j -0.00643638-0.00159662j 
-0.0281022+0.0154529j 0.0156141+0.133613j -0.0798258-0.00048523j -0.0406425-0.0939118j -0.163378-0.0161126j 0.0498548+0.0423168j 0.0907804+0.10611j -0.00265892-0.0120022j -0.136539+0.0754357j -0.117618+0.180739j 0.0396367-0.00592896j 0.0304499-0.0720636j 0.0077321-0.0679296j -0.0637801-0.109249j -0.0728216+0.0476558j -0.0180191-0.0392817j -0.0415773-0.0979232j 0.0468854-0.0985329j -0.0941987-0.239048j 0.0416653-0.13902j -0.0015061-0.0299175j -0.143982+0.0895463j 0.0906995-0.17354j 0.0655082-0.131523j 0.0808707-0.171036j -0.0272096-0.00135528j -0.0111654+0.0558396j 0.0121943+0.0435904j 0.0555118-0.136694j 0.087233-0.0748919j 0.0710221+0.0201734j -0.0645875-0.0414993j -0.0365742-0.038326j -0.0874022-0.0931198j 0.00171346+0.0332655j 0.0891935+0.0228779j -0.00198047+0.0349443j -0.0441393+0.00258096j 0.0346296-0.00482549j 0.0274446+0.0432465j 0.0328779-0.0296353j -0.0470503-0.0536907j -0.0305016-0.124143j -0.0358648+0.0839135j -0.0259193-0.0993513j 0.0420112-0.278748j 0.0685248-0.125174j -0.120623-0.083461j 0.0210235+0.051159j -0.0277188+0.0863888j 0.00619043-0.00510359j 0.00171848-0.0212789j -0.0302698+0.0313518j 0.00376255-0.0530187j -0.0641398+0.0455377j -0.0252908+0.0316697j 0.0578583+0.0300774j 0.0872731+0.0220912j 0.0197455+0.00066009j 0.0251835+0.00364921j 0.00425773-0.0239806j -0.0150534+0.0223715j -0.0158424-0.0202839j 0.0115978-0.0100053j -0.024838+0.00556439j -0.0118238+0.0309585j -0.0310114-0.0242773j -0.0115131-0.00571066j 0.0201139-0.0025659j 
0.028281+0.0128913j -0.00348852+0.122719j -0.152463-0.0356999j 0.0127173-0.0906453j -0.0778156-0.0976376j 0.0539866-0.0802691j 0.0379957-0.0135441j -0.133895-0.06024j -0.0888611+0.0308171j 0.0260892+0.0804694j -0.0449217-0.0817198j -0.0518428-0.0936908j -0.0139796+0.0289065j -0.0396658+0.100284j -0.00102079+0.0546021j -0.0285575+0.124957j 0.0127954-0.1298j -0.0749868-0.116783j 0.0210399+0.0407402j 0.0207951+0.072407j 0.0324469+0.0557924j 0.00614763+0.103425j -0.0705989+0.0204305j -0.224331-0.210323j 0.0663971+0.0887604j 0.122295-0.202889j 0.0618452+0.154349j -0.0625114+0.0488956j -0.0344948+0.0904097j -0.0267928+0.0440263j 0.0401636-0.19696j 0.0393093-0.0274441j -0.0792952-0.0502865j 0.0861965+0.0586948j 0.0182015+0.0168635j 0.104258+0.0367762j -0.0185594-0.0539376j -0.0546353-0.0683455j 0.0383439+0.0334295j 0.00160318+0.0682255j -0.00726492+0.0414135j 0.014681+0.00398428j 0.0107698+0.0983366j -0.0300597-0.0680293j -0.00235242-0.0208768j 0.00667665+0.350515j 0.119335+0.0640382j -0.0350197+0.0662328j -0.0310941+0.0327947j -0.000733532-0.137502j -0.0256303-0.0172054j -0.020906+0.108723j 0.00164952-0.0184044j -0.0103252-0.0277996j -0.065203-0.0272748j -0.0019955-0.00259821j 0.100107+0.0107224j 0.016863-0.037931j 0.0424398+0.0204957j 0.00638549+0.00326704j 0.0198351-0.00993957j -0.0105278+0.0152304j -0.0307568-0.00975369j 0.00791886+0.00384169j -0.0238392+0.00213685j 0.00974072+0.0208003j -0.00351472+0.00530687j -0.00311957+0.00504172j 0.00121311-0.00737966j 
-0.02987-0.0768233j 0.0445588-0.157369j 0.163755-0.0207069j 0.108213+0.195287j 0.00368066+0.0770973j -0.217273+0.062035j 0.0477988+0.0574394j -0.00982893-0.0637015j 0.0956826-0.050477j 0.0151534+0.0777633j 0.0258329+0.0443747j -0.00449045+0.242449j 0.00838691+0.00552385j -0.0397853-0.0359154j -0.0221997+0.0114343j -0.00193218-0.0469811j -0.0383452-0.188783j 0.0347965+0.101438j -0.0314397-0.205275j -0.0748033-0.00231906j -0.0596337-0.0150873j -0.0379725+0.0977662j 0.0702641+0.00789862j -0.115988-0.190946j 0.0372879-0.02553j -0.056808+0.0466039j 0.00118992+0.160535j 0.0400179-0.0534798j -0.0430062+0.00456035j 0.038023-0.00448809j -0.0674052-0.101541j 0.0163868-0.0826078j 0.0122261-0.0104983j 0.0515967-0.0469068j 0.00529041+0.0839994j 0.00502897+0.0179686j -0.00384431+0.0126697j -7.22112e-05-0.020913j 0.0423404-0.0247856j -0.00366926+0.0198276j -0.0257365+0.0233033j 0.0169349-0.00082963j -0.0209952+0.0777231j 0.0128956-0.0105141j -0.0466074-0.029905j -0.0324413+0.0719298j 0.0494536+0.0701862j -0.00655664+0.0212857j 0.0287207-0.0541267j 0.0324466-0.0280902j -0.0597107-0.0048638j 0.00627371+0.0452989j -0.0113144-0.00347295j -0.0331356+0.0152031j 0.00985377-0.00431808j -0.00499947-0.0252656j -0.0598572+0.0110748j -0.0420052+0.0216716j -0.00973352-0.00683317j -0.0211353-0.0268372j -0.00104498+0.00287488j 0.00304043-0.00397507j -0.0122995-0.0153869j -0.00536898+0.015052j -0.0236244-0.0132355j 0.006565+0.0020121j -0.0321537-0.0237056j 0.0145992+0.00267483j 0.0102331+0.00522333j 
0.0496917-0.0218241j -0.0287803+0.124934j -0.0296461-0.162956j -0.113496-0.020789j -0.134451+0.251176j 0.20968-0.101099j -0.298698-0.0614155j -0.143488+0.13828j 0.112786-0.00956147j -0.17529+0.0117867j 0.00347533-0.273307j 8.68795e-05-0.0118344j -0.0614445+0.100474j 0.0118869-0.0842148j -0.016003+0.00261919j 0.0163393+0.0845714j -0.00202132+0.0253362j -0.0731605+0.0517552j -0.0269835+0.0211157j 0.0131998+0.000384037j -0.00756986-0.102372j -0.257152+0.0270219j 0.188352-0.0404864j -0.248062-0.104153j 0.00823872-0.0618981j -0.0501037+0.152934j -0.0122219-0.0733633j -0.0259548-0.0131863j -0.0652099+0.0663164j 0.00358779+0.0446719j 0.012963+0.0620318j 0.0341658+0.00862845j 0.0452547-0.00861075j -0.0281759+0.0364969j 0.0390265+0.034022j 0.000693168+0.0832426j 0.0254007-0.0266575j 0.00436165+0.0312881j -0.00679126+0.00647236j -0.0490803-0.00545046j 0.0294884+0.010977j -0.00648303-0.0250376j 0.00319144-0.0303045j -0.0283227-0.0212195j -0.000291515-0.0407212j 0.0300642+0.026898j -0.0695042-0.028971j 0.0408818-0.0212438j -0.040899+0.0392997j -0.02305+0.00843367j -0.0132066+0.0349856j -0.0145807+0.0315332j 0.0179483-0.0149333j 0.00444307+0.0015378j -0.00804848+0.0147127j -0.010886+0.00475077j 0.0259862+0.0174821j -0.00340087-0.0148544j 0.00194468-0.00156716j -0.0128268-0.000919964j -0.0192907-0.00228002j 0.0112927-0.0166786j 0.0185595+0.022726j 0.00693518+0.00249959j 0.022828-0.00628752j -0.00856922-0.0219874j 0.0388154+0.0309141j 0.0080458+0.0111163j -0.0196808-0.00721154j 
0.0539482-0.00537497j 0.05723+0.0289126j -0.0208704-0.154929j -0.0625842+0.00847759j 0.0347181+0.112789j 0.0301649-0.0859933j -0.0909424-0.102931j -0.0826948-0.00227478j 0.0342792-0.043313j -0.0115537-0.0727558j -0.0432907+0.185506j 0.114019-0.215656j -0.00925663-0.114091j -0.0604576+0.257369j -0.0332833-0.198016j 0.0106503-0.234561j -0.0665966+0.113198j 0.00751045-0.0679807j -0.00208744+0.0455075j 0.0119598+0.132214j -0.12152+0.0443768j -0.0154372-0.153485j 0.0169329+0.0682736j -0.122199+0.0330226j -0.00918183+0.0539726j 0.0317086+0.0106182j -0.0726819-0.122095j 0.0184198-0.0566556j -0.00283954-0.0190784j 0.109419-0.0519643j -0.00656287-0.0758079j 0.00450719+0.0527095j 0.042767-0.0308194j 0.0257869-0.0260544j 0.00698833-0.190887j -0.0172681-0.153323j -0.0315349+0.044881j -0.0293986+0.0308103j 0.0198741+0.00540062j 0.0190907+0.0127215j 0.0102689+0.0123809j -0.0270925+0.00570547j 0.000277424+0.0605782j 0.000837228+0.0590477j -0.057097-0.0134419j -0.0224368-0.0885604j 0.152712-0.0329424j -0.0597025+0.00321407j 0.0527269-0.0249426j 0.0194848+0.0475817j -0.0189244-0.0273811j -0.00391118-0.0256994j -0.0379481-0.000591315j -0.000942295+0.022417j 0.0149069+0.037289j -0.012746-0.0358767j -0.0651864-0.0410489j -0.0306568+0.0173334j 0.00789409-0.0219386j 0.000601076+0.0174166j 0.0195808+0.0113061j -0.00015898+0.0265685j -0.0352655-0.0224615j -0.00213958-0.00481341j -0.0400702+0.00202536j 0.0165596+0.0291404j -0.0548681-0.0422684j -0.0102958-0.0193293j 0.0291222+0.0105066j 
0.0227799-0.110182j 0.0522995-0.228371j 0.0104408+0.0556226j 0.13763+0.166232j 0.0621584-0.273777j -0.188597-0.00865469j -0.022553-0.0989633j -0.105519-0.0476753j 0.122547+0.0308784j 0.0378191+0.0280113j 0.116678-0.0954964j 0.0813725-0.128365j 0.000232546+0.117104j -0.0938237+0.00824092j 0.00870642-0.0530235j -0.0497897+0.0859281j -0.0359504+0.0951747j 0.0404242+0.0180207j 0.00942747+0.0663031j 0.0715053-0.0372667j -0.027199-0.216763j -0.0611345-0.0430329j 0.00640088+0.0858999j -0.113396-0.0246898j 0.032622-0.052019j 0.0579817+0.0537155j -0.0223477+0.0478364j 0.0895201-0.0480254j 0.0542957-0.0337217j 0.0893235+0.0309009j 0.061336-0.00156009j -0.0413139+0.0470643j 0.0105653-0.161426j -0.0765778+0.112212j 0.0193513-0.131785j 0.0788296+0.0662462j 0.000200223-0.0328934j -0.031413-0.00748897j 0.0369705+0.0172178j -0.0132222-0.0246533j -0.0359138-0.0204847j 0.0156903-0.0712703j 0.00579104-0.0873973j -0.0340758+0.0567945j -0.0654455-0.0803922j 0.0514287-0.148517j 0.0406493-0.0987482j 0.0842752-0.0518483j -0.00208374+0.0616361j -0.0454664+0.0208762j -0.063018+0.00863781j 0.00951113+0.0513832j -0.00398655+0.0378893j -0.023343-0.0660608j -0.0450589+0.011571j 0.000769934+0.0440715j 0.103569-0.0443197j 0.010471-0.0646035j 0.0568798-0.0297435j -0.00975098-0.00491908j 0.00609809+0.00110215j 0.0164434-0.00598063j -0.011901-0.0159286j -0.00850187+0.0144361j 0.004802-0.00297807j 0.0172349+0.000174388j 0.0255643+0.0108869j 0.0115138+0.0302318j -0.012365-0.00846296j 
-0.00194815+0.0076339j -0.0451097-0.0173832j -0.0910785+0.0244798j -0.0106197-0.0211983j 0.0484522-0.0176599j 0.0972549-0.0400605j 0.0246245+0.0109896j -0.00661922-0.103619j -0.0906445-0.00231304j -0.024554+0.00166302j -0.0805145-0.0329235j -0.034336+0.00114355j -0.0347414+0.0225967j 0.0133816+0.00442855j -0.0152546+0.0189771j -0.000129641+0.0476901j 0.0227843+0.0549861j 0.0852081+0.0257233j 0.0143272+0.0555935j 0.0463557-0.0355766j -0.0506061-0.105928j 0.0342845-0.00851895j -0.0837263+0.0792639j -0.0476223-0.0430498j 0.0189183+0.0394541j -0.0886003-0.0145276j -0.0692641+0.0104209j 0.0566636+0.0256758j 0.0774098-0.00777802j 0.0482828-0.0329713j 0.0372477-0.0626698j -0.00624614-0.0308786j -0.0113913-0.0649305j -0.00770313-0.0545146j 0.0807506-0.0765289j -0.0342471+0.0853923j -0.0368074-0.0904307j 0.0297838-0.0209151j -3.58448e-05-0.0483186j -0.0191934+0.0439562j -0.0304688+0.0270407j -0.0476791-0.0920666j 0.00462706-0.0284763j -0.0344494-0.0406371j -0.0845068+0.043122j -0.0538914-0.120968j 0.000285342+0.0369707j 0.0616707-0.0369832j -0.000868247-0.00572255j -0.0939484-0.0776049j 0.046595-0.0119138j -0.129864+0.0357724j 0.0176423+0.0912246j 0.0219925+0.0547187j -0.0294651+0.0138712j 0.171469+0.0258979j -0.0484307-0.0642193j 0.0562748+0.0938174j -0.0280397-0.164468j 0.0473822-0.132359j 0.00668875+0.143634j 0.02496+0.0524695j 0.0378612-0.0628718j 0.0613259-0.0574824j 0.0469856+0.07675j 0.00305516+0.0275044j -0.192634-0.163769j -0.125944-0.0766112j 0.139319+0.0730612j 
