0.00205733-0j 0.276026-0j -0.0348284-0j -0.00785798-0j -0.0200849-0j 0.00176421-0j -8.5777e-05-0j 0.00178889-0j -0.000162284-0j -0.00235188-0j -0.000543065-0j -1.44284e-05-0j 5.94349e-07-0j -1.23952e-05-0j 0.134888-0j -0.00683266-0j -1.52684e-05-0j 0.000318424-0j 7.30862e-07-0j 0.0451959-0j 0.00158432-0j -7.70308e-05-0j 7.13218e-06-0j -0.000148742-0j -5.22189e-05-0j 6.62976e-06-0j 
-0.0115359-0j -0.000345268-0j 0.197245-0j 1.51199e-05-0j -0.00238925-0j 0.00010439-0j 0.00146325-0j -0.0100307-0j 0.00045263-0j 1.46332e-06-0j 9.99575e-08-0j -0.0117179-0j -5.04322e-06-0j 3.45716e-05-0j 0.0248414-0j 1.31471e-05-0j -0.0250166-0j 0.171491-0j -6.20157e-06-0j -2.80002e-05-0j 9.3746e-05-0j 0.00131405-0j -6.05186e-05-0j 0.00041486-0j 6.39081e-09-0j -5.62554e-05-0j 
-0.0202851-0j -0.000296095-0j -0.000575723-0j 0.242411-0j 0.0972772-0j -0.00564091-0j -8.73511e-06-0j 0.000121026-0j 0.00105635-0j 0.0353764-0j -2.77409e-05-0j 0.000106516-0j 0.00170323-0j -0.0235984-0j -0.00014761-0j -0.00144628-0j -5.14721e-07-0j 7.1315e-06-0j 0.00104364-0j -3.20948e-05-0j -0.00506574-0j -7.84444e-06-0j -6.98808e-05-0j 0.000968205-0j -2.13025e-06-0j -6.49581e-05-0j 
0.141434-0j -7.14808e-06-0j -0.000172445-0j -0.0001225-0j 0.0144933-0j 8.73511e-06-0j -0.00582273-0j -0.00084383-0j 7.65506e-05-0j -8.87633e-06-0j 2.76876e-09-0j 0.142743-0j -0.0118003-0j -0.0017101-0j -1.44284e-05-0j 7.30862e-07-0j -0.00103646-0j -0.000150203-0j -0.00723054-0j -4.63268e-07-0j 7.84444e-06-0j -0.00522902-0j 0.000484149-0j 7.01628e-05-0j 1.51658e-10-0j 0.000450043-0j 
-0.969543-0j 0.00019911-0j 0.00238925-0j 0.00255474-0j -0.00285824-0j -0.000121026-0j -0.00084383-0j 8.23359e-05-0j -0.000524761-0j 3.51933e-06-0j -1.15887e-07-0j 0.000294445-0j -0.0017101-0j 0.000166862-0j 4.28305e-06-0j -2.16955e-07-0j -0.000150203-0j 1.46559e-05-0j -1.49149e-05-0j 2.29837e-07-0j -1.54701e-06-0j -1.07862e-05-0j 7.01628e-05-0j -6.84607e-06-0j -1.05462e-10-0j 9.28333e-07-0j 
-0.000584343-0j -1.74893e-05-0j -0.00010439-0j -0.000148145-0j -0.000121026-0j 0.200355-0j -0.0145191-0j 0.0995295-0j -0.00443485-0j -1.43376e-05-0j -9.79379e-07-0j 6.20157e-06-0j 4.94132e-05-0j -0.000338732-0j -1.31471e-05-0j 0.0252331-0j 4.36755e-06-0j -2.99399e-05-0j -0.0119026-0j -1.41833e-06-0j -0.00091852-0j 6.65623e-05-0j 0.000592959-0j -0.00406478-0j -6.26169e-08-0j 0.000551188-0j 
1.63117e-06-0j -0.0312942-0j -2.76832e-05-0j 0.00374285-0j -3.20948e-05-0j -0.000271239-0j -4.06923e-08-0j 1.41833e-06-0j 1.23797e-05-0j -0.0256547-0j 0.334453-0j -3.4047e-09-0j -2.71282e-08-0j 9.45555e-07-0j 0.000332159-0j 0.00325448-0j -2.39781e-09-0j 8.3576e-08-0j -3.33591e-08-0j 0.0917956-0j -0.000243582-0j -3.65431e-08-0j -3.25538e-07-0j 1.13467e-05-0j 0.0652601-0j -3.02606e-07-0j 
-0.00255474-0j 0.00235188-0j -0.00014761-0j -0.938843-0j 0.000355006-0j -0.00144628-0j -7.30862e-07-0j 2.16955e-07-0j 0.000133039-0j -0.00399962-0j 0.0004452-0j 1.26854e-07-0j 0.000142508-0j -4.23033e-05-0j 8.13728e-06-0j 7.97287e-05-0j -4.30665e-08-0j 1.27842e-08-0j 1.24291e-06-0j 5.48133e-06-0j -1.84871e-05-0j -9.34224e-09-0j -5.8469e-06-0j 1.73564e-06-0j 6.0933e-07-0j -7.73611e-08-0j 
0.00019911-0j -0.91556-0j -0.0050827-0j -0.00235188-0j -4.17209e-05-0j 0.000257461-0j -6.2154e-06-0j 2.46431e-06-0j -1.5706e-05-0j 0.000111038-0j 0.00563311-0j -1.48812e-08-0j 4.30665e-08-0j -1.70752e-08-0j 0.000574645-0j -2.91082e-05-0j -1.10635e-06-0j 4.38651e-07-0j 7.53799e-10-0j -0.00440946-0j 3.29099e-06-0j -7.94482e-08-0j 5.16798e-07-0j -2.04902e-07-0j 1.03195e-05-0j 6.83782e-09-0j 
-0.00238925-0j 0.0050827-0j -0.94589-0j -0.00014761-0j 0.000163086-0j -0.000500603-0j 0.000149945-0j -2.95707e-05-0j 9.3746e-05-0j -3.0662e-07-0j -2.46186e-06-0j -1.70916e-05-0j -5.16798e-07-0j 1.01918e-07-0j -0.00345195-0j -1.82691e-06-0j -0.00256355-0j 0.00050556-0j -9.04558e-09-0j 7.84185e-06-0j -6.39895e-06-0j 1.91667e-06-0j -6.20157e-06-0j 1.22302e-06-0j -2.69089e-09-0j -8.20538e-08-0j 
-0.000121026-0j 0.000257461-0j 0.000500603-0j 0.00144628-0j 8.26101e-06-0j -0.960801-0j -0.00148783-0j 0.000293415-0j -0.00091852-0j 3.00425e-06-0j 2.41212e-05-0j 9.04558e-09-0j 5.06356e-06-0j -9.98589e-07-0j 1.82691e-06-0j -0.00350637-0j 4.4756e-07-0j -8.82637e-08-0j -1.73611e-05-0j 3.97224e-07-0j 6.26966e-05-0j 9.70874e-08-0j 6.07628e-05-0j -1.19831e-05-0j 2.63652e-08-0j 8.0396e-07-0j 
