0.199306-0j -0.00819928-0j -0.000245404-0j 0.025101-0j -0.0205318-0j 0.140747-0j -0.00169819-0j -0.0118403-0j 0.00104002-0j -0.00712943-0j -1.99015e-05-0j 0.0568046-0j 0.0573932-0j 0.000933977-0j 0.0204012-0j 0.00170016-0j -0.00014968-0j -0.000151231-0j 0.00171778-0j 0.0206126-0j -0.00103341-0j -0.00104412-0j -0.00720527-0j -0.00727993-0j -0.00448081-0j -0.00452724-0j 4.99253e-05-0j 5.04427e-05-0j -9.89528e-07-0j -0.00129584-0j -9.99783e-07-0j -0.00128255-0j 0.000599103-0j 0.000605312-0j 
-0.0247547-0j 0.00207871-0j 0.278895-0j 0.0958734-0j -8.84557e-06-0j 0.000184475-0j -0.0202937-0j -1.02552e-05-0j -8.66685e-05-0j 0.00180748-0j 0.0456657-0j 0.00014968-0j 0.000151231-0j -7.78314e-05-0j -0.00126041-0j 0.0200821-0j 0.0550058-0j 0.0555759-0j 0.0202902-0j -0.00127347-0j -0.0123494-0j -0.0124774-0j -6.24066e-06-0j -6.30533e-06-0j 0.00113599-0j 0.00114776-0j -4.16044e-06-0j -4.20355e-06-0j 0.00380146-0j -3.71545e-07-0j 0.00384085-0j -3.67734e-07-0j -4.99253e-05-0j -5.04427e-05-0j 
-0.955772-0j -0.00169819-0j 0.00361259-0j -0.00348802-0j -0.00210397-0j 0.000414925-0j 0.000115915-0j -1.72702e-05-0j 0.000106575-0j -2.10178e-05-0j 5.5737e-06-0j 0.011765-0j -0.0115486-0j 1.36229e-06-0j -0.097834-0j -0.025028-0j 0.00146127-0j -0.00143438-0j 0.0245675-0j 0.0960339-0j 0.00495571-0j -0.00486453-0j -0.000738351-0j 0.000724766-0j -0.000928038-0j 0.000910963-0j 5.11604e-06-0j -5.0219e-06-0j 2.43712e-05-0j 0.000129009-0j -2.39228e-05-0j -0.000131428-0j 6.13924e-05-0j -6.02628e-05-0j 
-0.000122568-0j 0.142904-0j -7.22237e-06-0j -1.02552e-05-0j -0.000600457-0j -8.70182e-05-0j 0.014644-0j 0.101456-0j -0.00588325-0j -0.0008526-0j -4.68083e-07-0j 0.01029-0j 0.0103966-0j -0.00528337-0j -6.24066e-06-0j -5.20055e-07-0j 0.000857498-0j 0.000866385-0j -5.25444e-07-0j -6.30533e-06-0j -6.11457e-05-0j -6.17794e-05-0j -0.00042363-0j -0.00042802-0j -0.000535854-0j -0.000541407-0j 0.0826023-0j 0.0834583-0j -1.93813e-08-0j -2.52213e-05-0j -1.95822e-08-0j -2.49626e-05-0j -0.00338904-0j -0.00342416-0j 
0.00169819-0j -0.97962-0j 0.00020118-0j 3.04423e-06-0j -8.70182e-05-0j 8.49071e-06-0j -0.00288795-0j 0.00020928-0j -0.0008526-0j 8.31917e-05-0j 2.32226e-07-0j -0.0705386-0j 0.0692408-0j -1.08984e-05-0j 8.64649e-05-0j 1.44862e-05-0j -0.0178832-0j 0.0175542-0j -1.42196e-05-0j -8.48739e-05-0j 0.000847179-0j -0.000831591-0j -6.13924e-05-0j 6.02628e-05-0j 0.00367332-0j -0.00360574-0j 0.0119707-0j -0.0117505-0j 8.11206e-07-0j 3.55102e-06-0j -7.9628e-07-0j -3.61758e-06-0j -0.000491139-0j 0.000482103-0j 
0.00210397-0j -8.70182e-05-0j -6.40949e-07-0j 2.5057e-06-0j -0.986526-0j -0.00203497-0j -1.26924e-07-0j 0.000170092-0j -0.000522109-0j -1.07699e-06-0j -5.91274e-10-0j 0.00121199-0j -0.00118969-0j -6.67385e-06-0j -0.0102531-0j 8.92714e-06-0j -5.22153e-07-0j 5.12546e-07-0j -8.76288e-06-0j 0.0100645-0j -5.42638e-06-0j 5.32653e-06-0j 0.00727193-0j -0.00713813-0j -4.75544e-05-0j 4.66794e-05-0j -2.50634e-05-0j 2.46022e-05-0j -1.71999e-09-0j 0.122038-0j 1.68835e-09-0j -0.124325-0j -0.00030076-0j 0.000295226-0j 
-0.00361259-0j 0.00020118-0j -0.925076-0j 0.000408436-0j -6.40949e-07-0j 2.54126e-07-0j -4.21545e-05-0j -1.0577e-08-0j -6.28e-06-0j 2.48992e-06-0j -0.00445529-0j 1.44862e-05-0j -1.42196e-05-0j -8.0274e-08-0j -0.000183939-0j -0.0666111-0j 0.0164631-0j -0.0161602-0j 0.0653855-0j 0.000180554-0j -0.00180223-0j 0.00176907-0j -4.52198e-07-0j 4.43878e-07-0j 0.000109942-0j -0.000107919-0j -3.01465e-07-0j 2.95918e-07-0j -0.0394318-0j 2.61557e-08-0j 0.0387062-0j -2.6646e-08-0j -3.61758e-06-0j 3.55102e-06-0j 
0.000106575-0j 0.0008526-0j 6.28e-06-0j 1.26924e-07-0j 0.000522109-0j 1.07699e-06-0j 1.2436e-06-0j 8.61591e-06-0j -1.00208-0j -0.00206705-0j 5.79327e-09-0j 6.13924e-05-0j -6.02628e-05-0j 6.53901e-05-0j 5.42638e-06-0j 4.52198e-07-0j 5.11604e-06-0j -5.0219e-06-0j -4.43878e-07-0j -5.32653e-06-0j -0.0104148-0j 0.0102232-0j -0.0721557-0j 0.0708281-0j 0.000465936-0j -0.000457363-0j 0.00024557-0j -0.000241051-0j 1.68524e-08-0j -2.13061e-05-0j -1.65423e-08-0j 2.17055e-05-0j 0.00294684-0j -0.00289262-0j 
0.0204012-0j -0.000417475-0j -1.2495e-05-0j 0.00256937-0j 0.100056-0j -0.685893-0j -8.64649e-05-0j -0.00121199-0j 5.29538e-05-0j -0.000363002-0j -1.01331e-06-0j -0.00572131-0j 0.00587484-0j 4.75544e-05-0j 0.0978252-0j -0.000171238-0j 7.49884e-06-0j -7.70007e-06-0j 0.000175834-0j -0.10045-0j 5.1773e-05-0j -5.31623e-05-0j 0.000725709-0j -0.000745183-0j 0.000224485-0j -0.000230509-0j -2.50122e-06-0j 2.56834e-06-0j 4.95746e-08-0j 0.0127401-0j -5.09049e-08-0j -0.0124072-0j -3.00146e-05-0j 3.08201e-05-0j 
-0.0206126-0j 0.000421801-0j 1.26245e-05-0j 0.00252209-0j -0.101093-0j -0.673273-0j -8.48739e-05-0j -0.00118969-0j -5.35025e-05-0j -0.000356323-0j -9.94661e-07-0j -0.00587484-0j 0.00593332-0j 4.66794e-05-0j 0.10045-0j -0.000175834-0j 7.70007e-06-0j -7.77672e-06-0j 0.000177584-0j -0.10145-0j 5.31623e-05-0j -5.36915e-05-0j 0.000745183-0j -0.0007526-0j 0.000230509-0j -0.000232803-0j -2.56834e-06-0j 2.5939e-06-0j 5.09049e-08-0j 0.0128669-0j -5.14116e-08-0j -0.0127401-0j -3.08201e-05-0j 3.11268e-05-0j 
0.1715-0j 0.00014968-0j 0.0200821-0j -0.66421-0j 0.000123201-0j -0.00256937-0j -0.00146127-0j 7.10479e-05-0j -6.24066e-06-0j 0.000130149-0j 0.00328821-0j 0.00102035-0j -0.00104773-0j -5.60434e-06-0j -0.0172734-0j 0.136897-0j -0.00389722-0j 0.0040018-0j -0.140571-0j 0.0177369-0j 0.000874971-0j -0.00089845-0j -4.25417e-05-0j 4.36833e-05-0j -8.0486e-05-0j 8.26459e-05-0j 2.94772e-07-0j -3.02682e-07-0j -0.000269337-0j 7.7757e-06-0j 0.000276565-0j -7.57249e-06-0j 3.53726e-06-0j -3.63218e-06-0j 
