0.239917-0j -0.0285399-0j -0.00558289-0j 0.00144567-0j 0.00104549-0j -0.000383377-0j -2.74555e-05-0j -0.0113143-0j 0.00168571-0j 2.1102e-05-0j -0.000416589-0j -1.22898e-05-0j -0.000993763-0j 0.000129854-0j -9.3703e-05-0j 0.000464206-0j -6.9162e-05-0j -8.99812e-05-0j 1.45643e-08-0j -1.02679e-06-0j 4.40195e-07-0j 6.09952e-06-0j 
-0.000146621-0j -0.000822135-0j 0.198294-0j -0.00815764-0j -0.00438923-0j 1.16249e-07-0j -9.69305e-07-0j 7.01415e-06-0j 4.89049e-05-0j -0.000244157-0j -2.46064e-05-0j -0.0204275-0j -0.000180189-0j 1.15656e-05-0j -5.45558e-06-0j 8.41697e-05-0j 0.000586859-0j 0.000377765-0j 3.66722e-10-0j 8.71264e-06-0j 0.00146708-0j -5.17561e-05-0j 
-0.0110557-0j 0.00203605-0j 0.00248213-0j 1.07756e-06-0j -0.000228324-0j 2.72244e-05-0j -0.00076406-0j -8.55489e-06-0j 8.36213e-07-0j 0.000144573-0j 0.273172-0j -8.489e-05-0j -0.0424361-0j 0.000433789-0j -4.64006e-08-0j -0.000102659-0j 1.00346e-05-0j 9.77472e-06-0j 3.0327e-07-0j -2.15187e-05-0j -3.17683e-08-0j -4.40195e-07-0j 
2.60987e-05-0j -0.0140557-0j 0.000180189-0j -2.45394e-06-0j 0.00078129-0j -6.85006e-09-0j 1.72538e-07-0j -4.13312e-07-0j -8.70515e-06-0j -7.34461e-08-0j -0.000420687-0j 0.00178287-0j 0.195195-0j -6.8151e-07-0j 3.21473e-07-0j -4.95975e-06-0j -0.000104462-0j -2.226e-05-0j -2.16093e-11-0j -0.0287376-0j 2.20097e-07-0j 3.04976e-06-0j 
-0.0280935-0j -1.74796e-05-0j -2.1102e-05-0j -0.000171265-0j 1.2873e-06-0j 0.306449-0j -0.000461701-0j 0.00411461-0j 1.0324e-06-0j -0.00540358-0j -0.000551501-0j -3.74393e-09-0j -1.24345e-06-0j 0.00146298-0j 5.5215e-06-0j -0.000168816-0j -4.23578e-08-0j 1.06599e-05-0j -5.94311e-05-0j -1.55997e-10-0j -2.59387e-08-0j -3.59418e-07-0j 
-0.00017235-0j 0.139972-0j 1.22898e-05-0j 7.40787e-05-0j 0.000107702-0j 4.06697e-08-0j 3.89548e-09-0j 1.23888e-05-0j -0.0166023-0j -3.74393e-09-0j -7.07417e-06-0j -0.00576253-0j -0.000210114-0j -4.64006e-08-0j 0.000459049-0j -5.08293e-07-0j 0.000681168-0j -4.6108e-06-0j -5.49341e-13-0j -0.00146074-0j -2.15651e-06-0j -2.98814e-05-0j 
-0.000297141-0j -0.000828761-0j 7.01415e-06-0j -0.00812016-0j 3.0413e-05-0j -2.26671e-05-0j 6.71631e-09-0j 0.198638-0j -0.0143946-0j 8.30948e-07-0j 8.48083e-08-0j -3.59418e-07-0j 4.13312e-07-0j 7.7104e-06-0j 0.00106377-0j 5.61132e-05-0j -4.06635e-06-0j 0.000251843-0j 2.44481e-10-0j -1.49757e-08-0j -2.49012e-06-0j -3.45041e-05-0j 
-0.000560019-0j -1.07756e-06-0j -0.024629-0j 0.00206815-0j -1.15656e-05-0j -0.000266744-0j -3.87029e-05-0j 8.38204e-05-0j 4.23578e-08-0j 0.277478-0j -0.000144573-0j -8.80064e-06-0j 7.40875e-06-0j -0.00425024-0j 4.54631e-07-0j 0.00100585-0j 5.08293e-07-0j -9.57723e-05-0j -2.97142e-06-0j 1.87197e-09-0j -0.000122257-0j 4.31301e-06-0j 
0.00370435-0j 2.29496e-06-0j -0.000268449-0j -1.16249e-07-0j 1.22524e-05-0j -0.00752375-0j 0.331013-0j 1.86008e-06-0j -2.68491e-08-0j 0.00223026-0j -0.0440291-0j -5.72516e-08-0j -4.77843e-05-0j -0.000292203-0j 2.99515e-09-0j 2.2321e-05-0j -3.22189e-07-0j -1.05452e-06-0j -0.000899306-0j -4.7833e-09-0j 2.05064e-09-0j 2.84145e-08-0j 
-8.73026e-06-0j -7.40787e-05-0j -0.000121945-0j 0.142178-0j 5.45558e-06-0j -3.9848e-07-0j 1.97323e-10-0j -0.000121385-0j -0.00084098-0j -7.18569e-06-0j 3.74393e-09-0j -0.000597407-0j 3.66829e-08-0j 4.54631e-07-0j -0.00449774-0j 4.98024e-06-0j 3.45041e-05-0j 4.51765e-05-0j 5.38242e-12-0j 1.27073e-07-0j -0.00829905-0j 0.000292777-0j 
-0.000129854-0j 7.68361e-06-0j -0.000440384-0j 7.52837e-05-0j -0.0203418-0j -1.99645e-05-0j -2.16572e-06-0j -0.00029359-0j -4.54631e-07-0j -0.000160153-0j -1.63455e-05-0j -4.82209e-07-0j -2.59499e-05-0j 0.243089-0j 0.0012036-0j -0.00352308-0j -5.45558e-06-0j 0.00068291-0j -1.10536e-07-0j -2.00921e-08-0j -3.34084e-06-0j -4.62921e-05-0j 
