-0.00353645+0.00996267j -0.00852959-0.00222762j -0.00931588+0.00131014j -0.000169746+0.00926588j -0.00698711+0.00309356j -0.0046523-0.00590277j 0.00321693-0.00883263j 0.00986224-0.00131862j 0.000575459-0.0059765j -0.00191197-5.99142e-05j 1.83842e-05-0.00369979j -0.00494921+0.00607049j 0.00868856+0.00626967j -0.00378627+0.00354496j 0.00336026-0.00315892j 0.00204516-0.00126302j 0.000350954-0.00502556j -0.00329599-0.00384377j -0.00197791+0.00132235j -0.00215818+0.00307529j 0.0069504-0.000474801j 0.0011245+0.0060611j -0.00494783+0.00127247j 0.00247695+0.00162239j 0.00018917+0.00109807j -0.00159277+0.00181145j 0.00349848+0.00121639j 0.00515264-0.000359712j -0.00265529-0.00192538j -0.000275838-0.00265645j 0.000571978+0.000130256j -0.0077167-0.00289638j 0.00449448-0.00121299j 0.00458973+0.00138373j -0.000915493+0.000450466j 0.00170008+0.00208724j 0.00117318+0.00560624j -0.00488933+0.00955852j -0.00314991+0.00691494j 0.000938604-0.00261415j -7.5433e-05+0.00472951j -0.00143018+0.00507228j 0.00109622-0.00609341j 0.00263897+0.00127381j -0.00213374+0.0072844j 0.00529901-0.00223154j -0.00391681+0.000118379j -0.00124388+0.00471389j 0.00640315+0.00318415j 0.00255039-0.00320537j -0.00148035+0.00184396j 0.00395321+0.0023604j 0.00510671-0.000664749j -0.00651268-0.00190567j -0.00580309+0.00102579j -0.0106328-0.0085632j -0.00177874-0.00181478j 0.005323+0.0125923j -0.000845288-0.000742228j 0.00519732-0.00368415j -0.000198609-0.00887662j -0.00141758-0.00570669j -0.00519937-0.014326j -0.0028629+0.00286197j 0.00455515-0.00185189j -0.002847+0.00272906j -0.0263817+0.00495518j 0.0274704-0.0074928j -0.0187237-0.00481359j -7.01124e-05-0.00715398j 0.0074383+0.00343784j -0.0301793+0.00351575j -0.00555188+0.0111852j -0.00644286-0.0160855j 0.0172759+5.31482e-05j 0.0369257+0.0214873j 0.0262135-0.0337091j 
-0.00857603-0.00252348j 0.00406491-0.0103004j 0.00141572-0.00952451j -0.00867845-0.000334721j -0.0022201-0.0032566j 0.00589823-0.00579433j 0.00835542+0.00353164j -0.00151514+0.00557796j 0.00119262-0.00188497j 0.000540139-0.00085638j 0.00626056-0.00376201j -0.00793294-0.00356319j -0.00365831+0.0072514j 0.000643902-0.00135359j 0.00473802+0.00132902j 0.00311476-0.0030456j 0.00186268+0.00139231j 0.00180632-0.00107661j -0.000322485-0.000774366j 0.00130641-0.00577977j 0.000388285+0.00491258j -0.00998574+0.00291564j -0.00360764-0.00674761j -0.00380308+0.00309701j 0.00346499+0.00025226j -0.00188312-0.00203667j -0.00099898+0.00705201j 0.00348771+0.0046094j 0.00328595-0.00204229j 0.000950327+0.000561092j 0.00121563+0.0025423j 0.00173585-0.00567397j 0.00122748+0.00368843j 0.000424713+0.00223614j -0.00210919+0.00242035j -0.000593231+0.0013778j -0.00528575+0.00165793j -0.00220657-0.0081055j -0.00283506-0.00536277j 0.0038521-0.000609121j -0.00138754-0.00123147j -0.00381593-0.00078451j 0.007455-0.00160753j -0.00367088+0.00271554j -0.00452793+0.00438315j 0.00151037+0.00255821j 0.00341869-0.00394646j -0.00158409+0.000967614j -0.00941899+0.00471356j 0.00602921+0.000289861j -0.00409617-0.000728041j -0.00391464+0.00395889j 0.00720151+0.00252793j -0.00173781-0.00530458j -0.00420099-0.00426416j 0.000639069-0.00766591j 0.000850858-0.00497712j -0.00755067-0.00354568j -0.00588488-0.0128519j 0.0075126+0.0119468j 0.000555235+0.00597582j -6.81467e-05-0.00485873j -0.000308388-0.00581928j 0.00272239-0.0096924j -0.00547109-0.000683231j -0.0167924+0.00398098j -0.0167684+0.000501985j -0.0300996-0.000745622j -0.018737+0.0109566j -0.00327422+0.00290002j -0.0101271+0.000509145j -0.010126+0.00441902j 0.0329576-0.00731974j 0.0163267-0.00333146j 0.0106011+0.0135943j -0.0265752+0.0331799j 0.0365119+0.0221262j 
-0.00706642-0.0019806j 0.00358076-0.00927605j 0.00703559-0.00408082j -0.000234601-0.00748701j -0.00327817+0.00681951j -0.00151591-0.00417547j 0.00171714+0.0103278j -0.01221-0.00140776j -0.00877968+0.00816105j -0.00639633-0.00162149j -0.0011934-0.00769783j -0.00530369+0.00144768j -0.00245098-0.00844362j 0.00636599-0.00554135j -0.0138126+0.00490268j -0.00573215-0.00110556j 0.0022357-0.00143195j 0.00235323+0.000966444j -0.00102075-0.000278941j -0.00882899-0.0107444j -0.00450631+0.00302115j -0.00253268+0.00839944j 0.00611397+0.00332138j -0.00425323+0.00612398j 0.00525467-0.00562277j 0.0017502-0.0028676j 0.000322834-0.00245807j 0.00376995-0.0102899j 0.00393776-0.000988501j 0.0015249+0.00748301j 0.00542178-0.00541032j 0.00287736-0.00130175j -0.00196287+0.0080083j -0.000922728+0.00271178j 0.00319458-0.00379951j -0.000256628-4.94958e-05j 0.00516107-0.00802091j -0.00879847+0.00151204j -0.00551761-0.00606147j -0.000102591+0.00391642j 0.00316772-0.00633115j 0.00118849-0.00239635j -0.0138676+0.00425385j -0.000798042+0.000268065j 0.00306369+0.0034185j -0.00911626-0.00136209j -0.00279688-0.00415614j -0.00644917-0.0039212j 0.00232192-0.000603952j -0.00982831-0.00337526j 0.000864828+0.00406096j -0.00383198-0.0024788j -0.00710174-0.00383201j 0.0101225-0.00265367j -0.00206408+0.0014794j 0.00455283-0.00342462j -0.00982641+0.00029753j -0.00806739+0.0160854j -0.00229375+0.00507968j 0.00101389-0.0126909j -0.0166081-0.00923837j 0.00164252-0.010913j 0.00238557-0.0030987j 0.00269941+4.93051e-05j -0.0023645-0.00729198j 0.0197618-0.00464127j -0.0138687-0.00608844j 0.00796031-0.0010934j -0.0193766-0.000193333j -0.00674532+0.0222383j -0.0178706+0.00275371j -0.00499089+0.00126271j -0.0133328-0.00710985j -0.0373577-0.0126808j 0.0153711-0.0338699j -0.00925386+0.00650263j 0.00268091+0.00527442j 
-0.00407905+0.00860907j -0.00585607-0.00420856j 0.00338878-0.00510503j -0.00198241-0.0034045j -0.00147055+0.0105447j -0.00846702-0.00158042j 0.00564705-0.00128144j -0.00311849+0.00322941j 0.0016871+0.00136723j -0.00475983+0.00199876j -0.00243714-0.00138475j -0.00558734+0.00400179j -0.00296797+0.00382542j -0.00284601-0.000334736j -0.000350195+0.00228066j -4.55388e-05+0.00544253j -0.00358927-0.00517599j -0.00169564-0.000858234j -0.00349184+0.000934924j -0.00201751+0.0097118j 0.00304894+0.001885j -0.000165983+0.00158541j 0.0028896-0.00429815j -0.00140835-8.67767e-05j 0.00358111+0.000408442j -0.000952043-0.0020885j 0.00243734+0.00805925j -0.00306188-0.00475446j 0.00108204+0.0020867j 0.00399992-0.00368236j -0.00430322+0.000531899j -0.00240732+0.00213278j 0.00886796+0.00293344j 0.00656522+0.00134468j -0.00543264+0.00171162j 0.00536782-0.000717517j -0.00595657+0.00191938j 0.0077628+0.00544337j -0.000654082+0.00417081j 0.00599233-0.000672996j -0.000279467-0.000178604j -0.00230814+0.00348897j 0.00120243+0.00530891j -0.00106951+0.001669j 0.00949875+0.00495558j -0.000135112-5.99966e-05j 0.00560612+0.00353987j 0.00324722+0.00593997j -0.0170099-0.00152255j 0.00162316+0.00350579j -5.089e-05-0.00374658j -0.000440253+0.0117147j 0.0102089+0.00892453j 0.00190771-0.0139597j -0.00541521+0.00898364j -0.00368361+0.0101273j 0.00143556-0.00205064j 0.00885868-0.0109923j -0.0192885+0.0179925j -0.00577327-0.00160376j -0.00393359-0.00308916j 0.0230775-0.0027954j 0.00545913+0.0158297j 0.0125579+0.00561603j -0.00760913+0.00243185j 0.00621476-0.00202987j 0.0211734-0.00583099j 0.0112065+0.0115074j -0.0196637+0.00793267j 0.023458-0.0108868j 0.0166612+0.0129835j 0.0042406-0.000264232j 0.0301271+0.0118476j -0.0204183+0.028038j -0.0251765-0.0198427j 0.000387841+0.00377923j 0.00988527-0.00387009j 
0.00418014-0.00230037j 0.00258686+0.00287221j 0.00625472+0.000269367j 0.00128857-0.00690167j 0.00238046+0.00344212j -0.0055066+0.00576287j -0.000332711+0.00375782j -0.00520655+0.000543377j -0.00589067+0.0053115j -0.00334705-0.00139897j -0.000598444+0.00447909j -0.0032664-0.00237831j 0.00278494-0.0036211j 0.00255118-0.00423319j -0.00372387+0.00322307j -0.000378946+0.00424605j -0.0020396+0.00202818j 0.00216414+0.00538175j -0.00146191-0.000843653j 0.000871818-0.000354779j 0.000873268+0.00429176j -0.00227417-0.00453912j -0.000267876-0.00219652j -0.00203356-0.00118556j 0.00495819+0.000643083j 0.000832207-0.00216623j 0.00513047-0.00301927j -0.000123155-0.000812358j 0.00396826+0.000984523j -0.00143306+0.00121523j 0.00219858-0.00124161j 0.00541101+0.00266657j 0.00356614+0.00310988j 0.00300078+0.000544098j 0.00274235-3.20728e-05j 0.00672475-0.00252837j 0.000367673-0.0034293j 0.00156195-0.00666105j -0.000637727-0.00690706j -0.00100895+0.00325059j 0.0013811-0.00416268j 0.00092402-0.000934434j -0.00172261+0.00677262j 0.00109041+0.00136299j 0.00296394-0.00776183j -0.00245222+0.00386998j 0.000718199-0.000146119j 0.00263358-0.00544872j -0.00953216+0.00526022j -0.00434179+0.00786272j 0.00453562-0.0032458j -0.0103433+0.0005546j -0.00183868+0.00535869j -0.00329822+0.000130867j -0.00106594-0.00335891j -0.00571049+0.00634027j 0.00466676-0.000541647j 0.00292994-0.0103664j -0.016957+0.00375915j 0.00480313+0.0101585j 0.0123781+0.00408004j -0.0104288+0.00410464j -0.00250107+0.00064559j -0.00451751-0.00721799j -0.0004994+0.00166797j -0.00728861-0.00732223j -0.0165089-0.003276j 0.0076517-0.00305055j 0.00342641+0.00323349j 0.00209015-0.0061762j -0.00659713-0.0200826j -0.0330895-0.0369107j -0.0163052+0.015853j -0.00597573+0.013053j -0.00954653+0.00796126j -0.00419352-0.00187026j 0.00182715+0.0241792j 
-0.00335892-0.00117183j 0.00365938-0.00388187j 0.00280748-0.00668281j -0.00281581-0.0023984j -0.000835407-0.00211398j -0.0012205-0.000959933j 0.00143864+0.0018437j 0.000643306+0.00641702j 0.00191574-3.65316e-05j 0.000457612-0.00231105j 7.8696e-05-0.000827689j -0.00211807-0.00321701j -0.000830322+0.0076057j 0.00083517-0.00181003j 0.00379189+0.000211623j 0.0013042+0.000849615j -0.00487044+0.00070293j -0.00375326-0.000158995j 0.00245391+0.000339148j 0.00318587-0.00109044j 0.00256496+0.00398042j -0.00274842+0.00268964j 0.00088376-0.00402958j 0.000489852+0.00084954j -4.26794e-05-0.000741043j 0.000651983-0.00286858j -0.00533117+0.00815223j 0.00239963+0.00247214j -0.00420488-0.000813971j 0.00355738-0.0015134j -0.00194674+0.00168447j -0.00349617-0.00667704j 0.00178853+0.00250997j 0.00290286+0.0035221j -0.000283789+0.00310612j 0.00169438-0.000426325j -0.00209273+0.00474401j 0.0109096-0.00577587j 0.00201157-0.00353202j -0.000572706-0.0034049j -0.000593605-0.00250452j 0.000540789+0.00194072j 0.00561619-0.00490395j -0.00226961+0.00492204j -0.00634571+0.00519114j 0.00188544+0.00140954j -8.38551e-05-0.000745085j -0.00225649+0.00256932j -3.59581e-05+0.00743751j 0.00557766-0.000527244j 0.000614615-0.00300617j -0.0031827+0.00822859j 0.00693386+0.00173653j -0.0111184-0.00170181j 0.000349204-0.00499156j -0.0128858-0.00549727j 0.00236471-0.00801088j 0.0149484-0.00278473j 0.00718434-0.00549101j -0.00407565+0.00479733j -0.00755392+0.00072661j -0.00665793-0.00172036j -0.0102826-0.00285771j 0.0079313-0.00030462j 0.00481272-0.00183892j 0.0112663+0.00116545j 0.00401106-0.00732123j 0.00824032+0.0104266j -0.00184964-0.00600966j 0.00637186-0.00449458j 0.0233352+0.0114264j 0.0115609-0.0361534j -0.0132961-0.034829j 0.00140135-0.00924101j -0.00815518+0.00619072j 0.000868017+0.0262085j 0.00702536+0.00151107j 
-0.00161423-0.00369956j 0.00305671-0.00246532j -0.00516447+0.00320693j 0.000263341+0.00541422j -0.00167648-0.0118775j 0.0106915-0.00267605j -0.00229343+0.0069963j 0.00101624-9.29362e-05j 0.00084247-0.00286362j -0.000105965+0.00507918j 1.12499e-05+0.00180335j 0.00291455-0.00498814j 0.00330104-0.003065j 0.00199359+0.00372974j 0.00609386+0.0036497j 0.00171355-0.00495383j 0.00606588-0.00109778j -0.00082427-0.00980004j 0.00423869-0.0008134j -0.00628111-0.00462436j -0.00151581-0.00157418j -0.00248972-0.00178801j -0.00334829-0.00217617j 0.00301191+9.98893e-05j -0.00342302+0.00495009j -0.00527747+0.00458691j -0.00929556+0.00418318j 0.00366284+0.00947771j -0.00314238-0.00164078j -0.000278848+0.00201038j 0.000689328+0.00328366j -0.00634642-0.00493217j -0.00772821-0.000446057j -0.00511743-0.00201697j -0.0051613-0.00322297j -0.00635189+0.00334984j -0.00630347-0.000692217j 0.0027063-0.00449944j 0.00221011-0.000730129j 0.0024623+0.00337697j 0.00175258+0.00583775j -0.00470321-0.00499699j 0.00294432-0.00216158j -0.00202617-0.0110585j 0.00536821+0.00590523j 0.00244668-0.00229361j 0.00684294-0.000907914j 0.0070172-0.00327391j -0.000179771-0.0198585j 0.00468414+0.000853363j -0.00801208+8.89815e-05j 0.0115597+0.00110257j 0.00404014+0.00139427j 0.00353632-0.0158411j -0.00168301+0.00990462j -0.0029434+0.00154424j -0.008871+0.00131507j -0.00181597-0.00956481j -0.0105283+0.0020557j 0.00625572-0.00725732j -0.0296912+0.00319645j 0.0129681-0.0125443j -0.0216719-0.0064151j -0.0202407+0.00805225j 0.0113273-0.00818484j -0.00591975-0.00155284j 0.0180183-0.0173129j -0.00673244-0.00350739j -0.0125518-0.000308691j 0.0273235+0.00846046j 0.0099474-0.00775753j 0.0228481+0.00248819j -0.0290952+0.0305213j 0.006511-0.00692669j 0.000864931+0.00693891j -0.00599631+0.00137933j 0.000663731+0.0129924j 
-0.0049603+5.38826e-05j 0.000572794-0.00639132j 0.003604-0.0091903j -0.00568983-0.00405547j 0.00526806-0.00149651j 0.00353914+0.00521487j -0.00362735+0.0062027j -0.000318898+0.000163945j 0.00761166-0.0018922j -0.00493338+0.0106422j -0.00204715-0.00198913j 0.00314482-0.0078408j -0.00381208-0.00333983j 0.00494889+0.00722293j 0.00380164+0.00744051j -0.0106864+0.0030675j -0.00726501+0.000416666j 0.00668744-0.00377659j 0.00905486+0.010098j -0.00224964+0.00531868j 0.00337936-0.0131919j -0.00244136-0.00332377j -0.00368376+0.00087249j 0.00138851-0.00240658j 0.00230365-0.00937582j 0.0046829-0.0122244j -0.00260249+0.00183209j 0.00535368-0.00255392j -0.00641353+0.00265227j 0.0103399-0.0019061j 0.00108107+0.000437186j 0.000260275-0.0111618j -0.000750545-0.00256458j -0.00366019+0.00211064j 0.015252-0.000316206j -0.0134391-0.000113004j 0.00135168+0.00332319j 0.0114152+0.00532991j 0.00584303+0.00503126j -0.00628215-0.0126868j -0.00877525-0.00218165j 0.00498028+0.00201217j -0.00195689+0.0032687j -0.00530458-0.000165777j 0.00489224-0.0100188j -0.00677869-0.00177637j -0.00114653+0.00279732j -0.00939656+0.0132629j 0.00607525-0.00329814j 0.00488761-0.00811082j -0.00315995+0.00309498j 0.00419525+0.000469154j 0.00741058-0.00895288j -0.00384136+0.00968281j 0.00397463+0.00260629j -0.00177154-0.00454672j -0.000923754-0.0108009j 0.0126733+0.0116794j -0.00312096-0.00473682j 0.0230338-0.013146j 0.000473883+0.00708293j 0.00170249+0.00613613j 0.00434397+0.0102049j 0.00411636+0.00237038j -0.0115016-0.0184674j 0.0176831-0.0138791j -0.00953732-0.00283152j -0.00961956-0.00192751j 0.00479639-0.0189164j -0.0182908-0.0233063j 0.0251035-0.0114378j -0.0114597+0.0219339j -0.0146629+0.00281666j -0.00713518+0.00642454j -0.00354216-0.000939004j -0.00620605-0.000517147j -0.00182002+0.00412273j 
0.00440894-0.00831959j 0.00595389+0.00430626j -0.00111716+0.00435303j -0.000752859-4.88862e-05j 0.00440308-0.00147192j -0.00345778+0.00741439j 0.00160828-0.00793308j 0.00137026+0.00101905j -0.00412623+0.00376163j 0.00125772-0.00549454j 0.00523386-0.000156994j 0.00148093-0.000408324j 0.000285836+0.00242936j -0.00192884-0.00213172j 0.000804234+0.00150396j -0.000931942-0.00282481j -0.0037546+0.00585092j 0.00514405+0.0086277j -0.00275318+0.00665959j 0.00547552-0.00451378j 0.00683567+0.00150934j 0.00255874-0.00412791j -0.00230204+0.00345127j 0.000523829-0.00601384j -0.00161541-0.00211225j 0.00766784-0.00716949j -0.00922915+0.00361751j 0.00236492-0.000616272j -0.00404457-0.00178133j 0.00902784+0.00492092j -0.00634621-0.00105313j 0.000581473+0.00265487j 0.00990327-0.00316326j 0.00237676+0.000803177j 0.00640084+0.0103464j 0.00668519+0.00080271j -0.00509111-0.0035992j 0.00412565-0.000111948j -0.00725624-0.00927506j -0.00457897-0.00924948j -0.00443232-0.0137022j -0.000790897+0.000798909j 0.00567625-0.00703779j -0.00576504+0.00408993j -0.00714494+0.0161654j 0.00112303+0.00744084j -0.000294543+0.00385486j -0.00590596+0.000766311j 0.00868861-0.00914272j -0.0043165-0.00183701j 0.00133301+0.000372127j -0.0032899+0.0124397j -0.00635517-0.00680583j -0.0112146-0.00902925j 0.00618859+0.00259638j -0.0219151+0.00533134j -0.0140929+0.00432892j -0.0156529+0.000946491j -0.0115117+0.00101119j 0.00494068+0.00829898j -0.0151106-0.00955822j -0.0130582+0.00960806j 0.0240296-0.00792574j 0.013021-0.00527595j 0.001065-0.0106489j 0.0239762+0.00022097j 0.00948521+0.00704234j -0.0102439-0.00799541j -0.0148689-0.00566504j 0.0237267+0.00796471j 0.00413217+0.0273301j -0.0286173+0.0104616j -0.00143073-0.00502078j 0.00296968-0.00216063j 4.93856e-05+0.00229695j 0.00166264-0.00848608j -0.00650257+0.00271791j 
0.0021119+0.00352694j -0.000658467+0.000376871j 0.00120852-0.00441495j -0.00393834-0.00038006j 0.00202744+0.00174763j -0.00218673+0.00262889j -0.00274363-4.04136e-05j 0.00145389-0.00247691j -0.00293199-0.00373618j -0.00161538+5.31804e-05j -0.00184578+0.00219634j -0.00498458-0.00161759j 0.00585409+0.00108229j 0.0039865-0.000890562j -0.00484418-0.00294934j 0.000729228+0.00280362j -0.00205718+0.00392675j 0.00553142+0.00180671j 0.00108942-0.00139082j 0.00174981+0.000309266j 0.00292728-0.00320576j -0.00440808+0.00132309j -0.00659161+0.00292515j -0.0031125+0.00242639j 0.00452414-0.00523578j -0.00244811+0.00257783j 0.0116815-0.0107197j -0.00132667-0.00123703j 0.00624973-0.000922586j -0.0072506+0.00146958j 0.00448822-0.00507166j 0.00819632-0.00287069j 0.00264285-0.00263648j -0.000202121-0.00140412j 0.00434754-0.0045055j -0.00642464-0.00304218j 0.00266152-0.00144876j -0.012485-0.00599886j 0.00446467+0.00325842j 0.000348131-0.00223207j 0.00457981+0.000916034j 0.000444545-0.000289049j 0.0097343+0.00200407j -0.00999692+0.000166742j -0.00292928-0.0100424j -0.000950539+0.00630838j -0.00182678-0.0118923j -0.0168943+0.00243293j -0.00151973+0.000764079j -0.00667624+0.00459804j -0.0255684+0.0099367j 0.0018029-0.0077476j -0.0162834+0.00202725j -0.0167243+0.0115779j -0.0128618-0.00483875j -0.00644685-0.00365494j -0.00348169-0.000983417j 0.0123222+0.00117126j -0.000190228-0.00798681j -0.0226243+0.00540935j -0.00579638-0.00442329j 0.00191145-0.00310978j 0.00624738-0.00646777j -0.0133609-0.0093679j -0.00642747+0.0206921j -0.00195042+0.00998197j 0.0172868+0.0174662j -0.00425983+0.00513848j -0.0173156-0.0397445j -0.00581538+0.0228101j 0.00180476-0.00227357j 0.00163532+0.00569104j -0.00103074+0.00128959j -0.00426214+0.00348798j -0.00694413-0.00355163j -0.000788952-0.000318799j 0.00645124+0.00441806j 
-0.00424418-0.000289362j 0.00496933-0.00156955j 0.00244406-0.000800719j 0.0054417-0.000570244j -0.00569467-0.00243069j -0.00619917-0.000584766j -0.00519198+0.00318723j -0.00197989+0.00099768j -0.00846081+0.00229443j -0.00312016-0.00330114j 0.00144965-0.00290637j -0.0036793-0.00170223j 0.00676456-0.00198038j 0.00306063-0.000984323j -0.00660236+0.00302507j 0.000703865-0.00123703j -0.00550868-0.00117916j -0.00356515+0.00344532j 0.00308123+0.00166312j 0.000459187-0.00414722j 0.00469777+0.000895245j 0.000211561+0.00391324j 0.00337427-0.000388142j -0.000956048+0.000505783j 0.00633487-0.000579532j -0.000226901-0.000838877j -0.00663975+0.00432234j 0.00528589-0.00538769j -0.00314885+0.000325657j -0.001521+0.00635362j 0.000843991-0.00329039j -0.00600207-0.000939745j 0.00477644+0.00439948j 0.00299005+0.00259242j 0.00175384+0.000715418j 0.000915457-0.000232807j -0.000752148-0.00264606j 0.00611503+0.0040723j 0.00267032-0.00167785j 0.000186965+0.0016494j 0.00831098-0.00185596j -0.00713408+0.00417422j -0.00545267+0.00767433j 0.00528571-0.00157491j 0.000847236-0.000567807j 0.00715111-0.00154105j 0.00402171+0.00153857j 0.00813244+0.000264651j 0.0151882-0.00520116j -0.013538+0.00751674j -0.00311145+0.00445279j 0.025447-4.05691e-05j 0.00469221+0.0156502j -0.00123859-0.00308666j 0.00885091-0.000477881j -0.007593-0.00612173j 0.00413411-0.00620629j -0.0042043+0.00725848j 0.0104252+0.00133159j -0.00115385+0.00301939j 0.0156843-0.00374828j 0.00400936+0.0034731j 0.0161837-0.00749851j 0.0185822+0.0116637j -0.0148385-0.0121218j -0.0205965-0.00261121j -0.0130257+0.0180984j -0.00240071+0.0200311j 0.0121848-0.00510007j 0.00110878+0.0114085j 0.00159648+0.0166361j 0.00251491-0.000995687j -0.0159333+0.00780872j 0.000168268+0.00228382j -0.0161799-0.0128862j 0.00272859+0.00805112j 0.00305944+0.00665925j 
