-0.0846917-0.159318j 0.139524-0.0232779j -0.174002+0.0935876j 0.194205+0.0421833j -0.0713145-0.134934j 0.108589+0.0593958j 0.0212982+0.0890547j -0.244454+0.104497j 0.116419+0.0231069j -0.0272054-0.191789j -0.0169538+0.267596j -0.0365174+0.00655393j 0.0401451+0.0804368j -0.119752-0.124678j -0.238222+0.027833j -0.0708141+0.0215686j 0.0398458+0.201879j -0.163366-0.115771j 
0.0110507-0.0294492j -0.0963362-0.0456776j -0.0376082-0.149065j -0.127808-0.0700897j 0.157065+0.0298487j -0.0529786-0.12559j -0.0510895+0.00369309j 0.204647-0.0218195j 0.123136+0.042347j -0.154504-0.0635221j 0.0372269-0.22122j 0.025711+0.155404j 0.0135922-0.126418j -0.118952-0.0532076j -0.356087+0.044115j -0.13394-0.0293249j 0.0881019+0.26656j -0.217033-0.155267j 
-0.165593+0.040683j -0.00577971-0.345401j -0.0644735-0.128323j 0.0195594-0.092249j 0.0582226-0.107884j -0.10692-0.0014682j 0.0436443+0.119281j 0.0350999+0.1673j 0.0637451-0.0256254j 0.0719141-0.0800422j 0.179735+0.0074063j -0.30989+8.9073e-05j 0.137246-0.148467j 0.016571+0.0528981j 0.226717-0.0787926j 0.273051+0.116324j 0.20575+0.157267j -0.07397+0.239966j 
0.0610935+0.0433621j -0.087379+0.0102141j -0.229599-0.282033j 0.0195892+0.2335j 0.276757-0.409605j -0.352792-0.00100689j 0.0854765+0.230387j -0.174501-0.0688099j -0.0285281+0.0702193j 0.038558+0.0628661j -0.203911-0.0513814j -0.148571+0.00467878j 0.0494466+0.0191242j 0.0210075-0.0114759j 0.0214919+0.00114908j 0.0188782-0.0126962j -0.0082752-0.0168713j 0.0202373+0.035006j 
-0.0519413-0.229286j 0.215729-0.00061402j -0.052213+0.149135j -0.153962+0.0164173j -0.16222+0.127084j 0.079268+0.0943245j -0.217293-0.0374446j 0.159975-0.388185j 0.0780404-0.076112j 0.341874-0.0673358j -0.17986-0.0246252j -0.0335378+0.105548j -0.147049-0.0537406j 0.262424+0.0229269j 0.165623-0.0829148j 0.226233+0.0384874j 0.0440041+0.17602j -0.130534+0.0723433j 
-0.0319981+0.00792612j 0.104367+0.011654j 0.00998806+0.125064j 0.0283347-0.0115408j 0.0176749-0.12109j -0.122607-0.326042j 0.028712+0.176601j 0.0633242+0.111334j 0.0043844-0.0857642j 0.156699-0.0260383j 0.155005-0.0228537j -0.31834+0.219229j 0.159193+0.151042j 0.221698+0.0280648j 0.101687+0.0817977j 0.141062-0.160958j -0.207997-0.0738033j -0.0301369-0.086894j 
0.0764293-0.188462j 0.0686863-0.00245836j -0.216544-0.112074j 0.0232269-0.0733577j 0.0624717-0.0889559j 0.101594-0.0765311j -0.137244-0.00860589j 0.0984525+0.027642j -0.0839252-0.0918725j -0.186345-0.110746j 0.000952397-0.0389325j -0.183325-0.0101628j -0.123825-0.0923463j -0.155631+0.0185609j -0.155292-0.326222j 0.0553654+0.106989j 0.00110973+0.147179j -0.0816279-0.0716802j 
-0.0235226-9.06673e-05j 0.0202597+0.0354445j 0.0555682+0.0845808j -0.0372927+0.0121908j -0.000855555+0.0667147j -0.0375558-0.0670355j 0.00520591+0.0454449j 0.00580712-0.0446302j 0.14958+0.070179j 0.0862545+0.0382371j 0.0106367-0.0247349j 0.0602474+0.123667j 0.066254+0.0667627j 0.0230553-0.165771j -0.158488+0.325382j -0.0860866-0.0885094j -0.0100802+0.0286056j -0.0289901-0.0607376j 
-0.134156-0.0200209j 0.0836751-0.182791j 0.17552-0.0218783j -0.00544801-0.0763323j -0.0972902+0.0442105j -0.202893+0.116592j 0.0766484+0.013363j -0.0752288-0.000316796j -0.264916+0.416991j -0.0600814+0.329709j 0.0157172+0.0648716j 0.0887555-0.129298j 0.0484134+0.0880462j 0.192148+0.184655j -0.131569-0.190726j 0.00876302+0.042077j -0.112074+0.0585905j 0.0788929+0.0580949j 
-0.0536679-0.000778568j 0.00643909-0.080579j -0.0321457-0.0567999j 0.0122316-0.0220223j -0.0320427-0.00419311j -0.020868+0.0566165j -0.00861211+0.014244j -0.0703934+0.0190649j 0.0337208+0.02499j -0.0224581+0.000878904j -0.0108807+0.0432192j -0.0212302-0.0116251j 0.00328865-0.0319603j -0.0206788+0.0141056j -0.0472489-0.0299426j -0.00264434+0.0491133j 0.0408364+0.0688121j -0.0563094+0.0139275j 
0.0854964+0.0355818j -0.00482701+0.133838j 0.041924+0.105395j 0.0484056+0.031006j 0.0161939-0.024564j -0.0195987-0.169726j 0.0235703+0.0679882j -0.0328445+0.0276686j 0.040775-0.0183811j 0.0842099-0.0309328j 0.0113409+0.00158171j -0.00714692+0.149404j 0.0984747+0.0869465j 0.0198219-0.0811301j 0.0702206+0.172255j -0.044891-0.149279j -0.06115-0.0591225j 0.0442017-0.0679203j 
