-0.301269+0.050357j 0.249148+0.0367282j 0.0159562+0.100938j -0.182539-0.00426826j 0.0955074-0.0845173j -0.595818-0.0127089j -0.36147+0.0235372j 0.211196+0.0219546j -0.0288476-0.0452852j -0.106598+0.0156402j 0.0894499-0.0109668j 0.0570445+0.0467764j -0.0562766+0.0304083j -0.0187453+0.00298908j 0.106716+0.0734682j 0.0552917+0.0167963j -0.0979578-0.0646769j 0.0524221+0.0591362j -0.0765345+0.063106j 0.022814+0.0373117j 0.00551172+0.0787809j 0.0643726+0.018226j -0.00566809-0.0262512j -0.0244724-0.00180109j 0.0254917-0.0459967j -0.00718601+0.0209883j 0.0448071+0.00683962j 0.0791687+0.0332886j -0.00710012+0.0493531j -0.00110278-0.0434941j -0.0998481-0.0465771j 0.0205855+0.0249234j -0.00858219-0.0189786j 0.0418869-0.0622638j -0.0110532+0.126611j -0.160263+0.0385412j 
-0.152402-0.0708927j 0.42692-0.0814725j 0.0754007+0.701077j 0.518901-0.0665961j 0.0670725-0.0199232j 0.12069+0.0447846j 0.0280737-0.0400087j -0.128051-0.0492424j 0.0301063-0.0425206j 0.0312696-0.0242646j -0.048861+0.0107858j -0.0163814+0.0226365j -0.0121763+0.0276565j -0.0157156+0.0143868j -0.00447665-0.0326805j -0.0344147+0.0188052j -0.0221302+0.0125448j -0.0292103-0.0291245j 0.00796234-0.013642j -0.0115436+0.00775909j -0.00719018+0.00283786j 0.0529953+0.0204012j 0.00256561-0.00102994j 0.0103956-0.042959j -0.00393714+0.033321j 0.00699334+0.00770488j -0.00230696-0.0191985j 0.0166438-0.0178534j -0.00545384+0.00507324j 0.016562+0.00760112j -0.00291274+0.000632232j 0.0352173-0.00325049j -0.00363079+0.0194294j -0.00143336-0.000585774j -0.0020982-0.0131379j 0.00676066+0.00283614j 
-0.0797837-0.0565231j 0.107929-0.0547247j 0.0111228-0.00151822j -0.0310763-0.00212497j 0.0329793+0.0903107j -0.345288+0.0249729j -0.22567-0.0457895j 0.188822-0.0538042j -0.0105887+0.0561796j -0.157942-0.0103082j 0.115958+0.0211714j -0.190704-0.0610203j 0.198019-0.0172588j 0.0609284-0.0363529j -0.0285774-0.038697j -0.0488333+0.0251898j 0.0116747+0.0565129j -0.0218284-0.0511278j 0.0243108-0.0392018j 0.0468781-0.0336989j -0.0248594-0.142212j 0.0367075-0.0479074j -0.0557759+0.00600762j 0.085923-0.0137087j -0.095275+0.0920314j -0.0561882-0.0317544j -0.130434-0.0275698j -0.153272-0.0422695j 0.0376951-0.0815572j -0.0472279+0.0208026j 0.0790413+0.0947515j 0.00795152-0.0119035j 0.0287905+0.0666693j -0.0796525+0.0710451j -0.0241889-0.221871j 0.222499-0.0655464j 
0.0689636+0.08645j 0.103797-0.0768347j -0.00207645-0.00541835j -0.0168271+0.0796185j -0.085036+0.0808776j -0.0453628-0.00879483j 0.095608-0.199083j 0.0895454-0.011651j -0.0848093-0.0498j 0.210016+0.122308j 0.0690667+0.0771896j -0.0429779+0.137783j 0.0804614-0.0581671j 0.119793+0.0594065j 0.122803+0.168614j 0.102901+0.169053j 0.0209069+0.08283j -0.130571+0.0243031j 0.127804-0.161662j 0.166835-0.00992347j -0.0602182+0.191528j -0.0602251-0.0723626j -0.0162016+0.0729329j 0.0635482-0.0799498j 0.0168224+0.000832934j 0.0454152-0.0366113j 0.0815573-0.0237727j 0.0200372-0.0787201j 0.0028949+0.0336428j -0.0873071+0.0628545j -0.0110788+0.151842j 0.0161166-0.0253833j 0.117413-0.0395091j -0.110905+0.034717j 0.215995+0.00643664j 0.00804317+0.210706j 
0.0914968-0.0778686j -0.0590673-0.0378503j 0.0297808-0.0202563j 0.0567147+0.00688398j -0.0615479+0.0898282j -0.00215097+0.0585764j 0.114385-0.0122421j 0.0549459-0.100949j -0.0115503-0.175024j -0.292699-0.0579109j -0.143607+0.141284j -0.0788388+0.0622725j 0.0729098-0.140081j 0.0670337+0.00267859j 0.160186+0.113933j -0.101062-0.211481j -0.0794514-0.00429223j 0.130975+0.013829j 0.0207191-0.296454j -0.268814+0.131105j -0.0789212+0.136397j 0.128245+0.0414255j -0.146745-0.00573213j 0.0245172+0.0335692j -0.141326-0.0471735j -0.101573-0.057346j -0.0181193-0.0692343j -0.0212847+0.0671242j 0.0497488+0.0982632j -0.0556441-0.116425j -0.0869586-0.0431572j 0.0209602+0.0552153j -0.0456524+0.0776606j 0.0870844-0.0907022j 0.0606653-0.0531141j 0.0545141+0.0576618j 
0.0486765-0.0440766j 0.0231935-0.00166494j 0.00992816-0.047865j 0.0770985+0.016979j -0.00856518+0.0673759j -0.016904+0.0100818j -0.170867+0.115815j -0.098013+0.153298j 0.129974+0.0848625j -0.00121748+0.239785j -0.162265+0.245505j 0.0272581-0.0365549j 0.145261+0.148839j 0.174067+0.0507554j -0.0058333-0.187115j 0.168929+0.419331j 0.17588-0.327607j 0.240927-0.31612j -0.0142878-0.101571j -0.0579672-0.256849j -0.0224355+0.0342811j 0.00065778+0.0203962j -0.0757197-0.0303237j 0.0138192+0.071358j -0.026648-0.0211734j -0.00921758+0.00814517j -0.00909353+0.0479387j -0.0119451-0.0192909j -0.0114384+0.0280505j 0.0372221-0.0703042j 0.0302322-0.0372035j -0.0167832+0.0102521j -0.00557559-0.0216802j 0.0471062-0.000725892j 0.0276062-0.00623409j 0.00633261+0.0241673j 
-0.108548+0.0518059j -0.00146553+0.0315323j -0.0439821-0.015966j -0.0277421-0.0373403j 0.0674142-0.107153j 0.0262344+0.00567158j 0.149085-0.106929j 0.00990532-0.15406j -0.0398001+0.0863471j 0.108932+0.00761743j 0.0569822-0.0232764j -0.271891-0.307273j -0.00754264+0.125939j 0.314872-0.00235508j -0.106272-0.267002j 0.0676644+0.0861236j 0.139222+0.0601439j -0.226681+0.150216j -0.114439+0.0567716j 0.0581573+0.0187019j -0.100389-0.164584j -0.0127314-0.101252j 0.119979-0.0867534j -0.0638809+0.0799188j -0.154949+0.134513j -0.000963507-0.0475241j 0.0544377+0.0594953j -0.0139342+0.111186j 0.0325359+0.0307812j -0.0571655-0.121938j -0.0569691+0.0330016j 0.0266659+0.0421262j 0.0532817+0.05117j -0.0497564-0.104808j -0.000953794+0.0289957j -0.00755335+0.00863358j 
-0.0206192-0.0345978j 0.000446579-0.0478644j -0.0248564+0.0113389j -0.030048-0.012615j 0.0214267+0.0146331j -0.0172572+0.0120255j -0.00752839-0.104702j -0.0101689-0.119583j 0.0542268+0.0131385j 0.195829-0.0825776j 0.00453342-0.0226342j 0.227957+0.231443j 0.0102902-0.0557542j 0.236912+0.00686432j 0.142719-0.119479j 0.220033-0.12432j 0.0397602+0.0715986j 0.0215837+0.149195j -0.0912176-0.278196j 0.131539-0.186694j 0.141324+0.161663j 0.0387819+0.0680797j 0.0571027-0.0941942j -0.0781318+0.148053j -0.193776+0.0650459j 0.0120743-0.0662193j -0.069624-0.0163288j -0.0311527+0.0155504j -0.0253797+0.0205837j -0.0124392+0.0227435j -0.0402539-0.00928081j 0.0165378-0.00263927j 0.0396077+0.0250259j -0.00964998-0.0577369j -0.0701266+0.127001j -0.149302-0.0731987j 
0.0652004-0.116094j -0.0323782-0.0637423j 0.00917414-0.0162649j 0.131703-0.0304211j -0.0417747+0.101484j -0.0946245+0.0424934j 0.0121001-0.0274459j 0.153476-0.011785j 0.0773061+0.0467551j -0.197488-0.0860928j 0.0811494-0.0941043j -0.173454-0.0898485j 0.116599+0.088877j 0.181195+0.0962272j -0.0286218-0.215773j -0.043641-0.123204j -0.0109936+0.152306j -0.106615+0.0016739j -0.0228008-0.0671669j 0.0655052+0.00479143j -0.246155-0.0354866j -0.0131827+0.0611941j -0.0904402+0.016772j 0.0108066+0.0116108j -0.026942-0.00205125j -0.0266989+0.062186j -0.111156+0.0626631j -0.133479+0.0317213j 0.124698+0.0050446j 0.114467+0.103147j 0.164945-0.116663j -0.0556021-0.0352909j 0.106696-0.0698724j 0.137444+0.0680316j 0.0956892+0.0353307j -0.0807834+0.0668196j 
0.011193-0.010792j 0.0280498+0.0079133j -0.0228834+0.018807j -0.031938+0.0272306j 0.0449+0.0238665j -0.0215273-0.0408585j 0.0126646+0.00627379j 0.0524265+0.00053867j 0.0365438-0.0532927j 0.09526-0.00276739j -0.0503768-0.0505221j 0.128554-0.102618j 0.0822284-0.128243j -0.023495+0.0387708j -0.0132561+0.15324j -0.0926845+0.0708901j 0.194178+0.105662j -0.147968-0.00442929j 0.150182-0.0152993j -0.0339956-0.291731j -0.0124715-0.0927038j 0.141862-0.164914j 0.0767058+0.123604j 0.104158-0.0409634j 0.048694+0.0131905j -0.269409-0.0957115j 0.0532195-0.0290468j -0.181416+0.0648706j -0.0698705-0.0111194j 0.0664974+0.0535639j -0.100397-0.109058j -0.00317538+0.191617j -0.026389+0.107627j 0.00487196-0.0732125j 0.00275341+0.0479382j -0.00353922+0.0430193j 
0.11892-0.024325j -0.0738483-0.0131136j -0.0208829-0.0309185j 0.0880219+0.0454512j -0.0593213+0.0434343j 0.0268956+0.044571j -0.0893997-0.0129244j -0.0784303+0.0808923j 0.036982+0.134508j -0.0538079+0.00870754j 0.106833+0.0788854j -0.118285+0.125995j 0.0212038+0.111621j -0.0214658-0.0940838j -0.0269609-0.146947j 0.0578041-0.0334454j -0.109034-0.0558749j 0.0971425-0.0518845j -0.0612904+0.0291373j 0.152317+0.108431j -0.00802586+0.0267932j 0.0532084-0.121034j 0.0277505+0.0214263j -0.0416039+0.00426293j -0.00465329+0.000503604j -0.225776+0.0323173j -0.00852493-0.17965j 0.0518365-0.0339075j 0.184194+0.00344252j -0.0723406+0.160096j -0.117376-0.0369919j 0.0623162+0.132274j -0.0326078+0.108935j 0.0367674-0.113453j 0.00719308-0.0284191j 0.000619137-0.00328414j 
