0.0120523+0.00310116j -0.0307754-0.0720559j 0.0314911-0.0709397j 0.0258466+0.0413046j -0.0467829+0.051301j 0.00274246+0.05499j -0.022211+0.0556681j 0.0471298-0.0178461j -0.0257137-0.0103956j 0.0353707-0.0042327j -0.0346711+0.00138076j 0.0782665-0.0393961j 0.0707216-0.0212543j 0.0165248-0.00900661j -0.0193811+0.0136346j -0.00246158-0.000268049j -0.00477584-0.000667033j -0.0405989+0.0194472j 0.058894-0.0435412j 0.0334025-0.0165265j -0.0241726+0.0116661j 0.0226306-0.0150078j -0.0168841-0.000921039j -0.0567153+0.0280935j 0.0184283-0.00625683j 0.0440798-0.0242839j 0.00554519-0.00322487j -0.0375208+0.0137605j 0.0244543-0.00928434j -0.0228097+0.00197259j -0.0230729-0.010221j -0.0349674+0.0307472j -0.0156846-0.00745625j 0.0384-0.0307649j -0.00426916+0.0389778j 0.00623256-0.0227839j -0.0041781+0.0175261j 0.0231762-0.0484557j -0.0266653-0.0439543j 0.0813395-0.12146j -0.0920512+0.0101199j 0.0261004-0.0203688j 0.0863975+0.0217549j -0.0794041+0.146696j -0.12097+0.106084j -0.112275-0.00514623j -0.112296+0.0625117j 0.041139+0.054838j 0.0244831-0.185352j 0.160534-0.168089j 0.164731-0.0523485j 0.00178926-0.0213915j 0.0685681-0.00340756j 0.0832982-0.0820121j -0.0950573+0.0018305j -0.0192535+0.0922554j 0.0383016-0.0252935j -0.0350217+0.0443685j 0.0155194-0.0129085j -0.0205623-0.0231403j 0.0822617-0.0627489j 0.0263137-0.0430878j 0.00563227+0.0210703j 0.00288802+0.0402036j 0.0573507-0.0318843j 0.0148152+0.00255001j -0.00952238+0.0202515j -0.00434787+0.0383678j -0.00744708+0.0182085j 0.0311956-0.0149549j -0.0248866+0.0103963j 0.0353997-0.0150304j -0.00167131-0.0185396j -0.017075-0.00236984j -0.00976861-0.00272634j 0.0063949-0.0206361j 0.0514727-0.0441294j -0.0180285+0.00633976j -0.0135961-0.00257625j -0.00514607+0.0155461j 0.00551313-0.00102593j 0.0236108-0.012127j -0.00863448-0.0103664j 0.00830306+0.00537046j 0.00554042-0.0126155j -0.00782436+0.019598j -0.0377027+0.0240847j -0.0212406+0.0318472j 0.00340758-0.00216174j -0.0202308+0.0130182j 0.00886122-0.0283335j 0.0346944-0.0250336j 0.0214694-0.0426977j 0.0178028+0.000996432j -0.0753372+0.143196j -0.104317-0.0205438j 0.0825186-0.12491j -0.0670046+0.0222844j 
-0.0305842-0.0717756j -0.011885-0.00350077j -0.0239006-0.045164j 0.033283-0.0752403j 0.0478246+0.0336596j 0.0329525-0.0189558j 0.0767068-0.0472198j 0.0301396-0.0601814j -0.0533051+0.0377916j 0.0534878-0.0325091j -0.0462962+0.0320049j 0.000294454-0.0125138j 0.00372046-0.015786j 0.0262346-0.00729682j 0.0489311-0.0297909j 0.012996-0.0128403j 0.0304902-0.0113444j 0.0154675-0.0226539j 0.0376078-0.0187966j -0.030099+0.0116134j 0.00793761-0.00177564j -0.034637+0.0215663j 0.0182079-0.0103411j -0.00160465+0.00643112j 0.0462758-0.0294047j -0.0428972+0.00597351j -0.0131282+0.00374871j -0.0123575+0.00307667j 0.0312293-0.0171129j 0.00904759-0.0155826j -0.045837+0.00202459j -0.0316457+0.0406968j -0.00907211+0.0330188j -0.00616085+0.00944002j 0.0323557-0.0185692j -0.0332665-0.00206889j 0.00810574+0.0545001j 0.0294555+0.0046571j 0.080958-0.0556412j 0.0166828+0.0535629j 0.00125466-0.036231j -0.0404522-0.0449435j -0.13636+0.167408j -0.127846+0.0178634j -0.0927694-0.0418184j 0.0762199-0.0978552j 0.0266809-0.104219j -0.0976182+0.114821j 0.191083-0.103841j 0.0947695+0.0629888j -0.0647547+0.164732j 0.0174798-0.0205328j -0.0884551+0.0994363j 0.0256515+0.0526477j 0.0668104-0.11597j -0.131307+0.0649737j 0.0153218+0.013156j -0.0394148-0.00840447j 0.00964025+0.0105082j 0.0348325-0.031308j 0.023134+0.0399638j 0.0450291-0.0153122j -0.0328231+0.0356926j -0.0601446+0.0366753j 0.013137+0.0349038j -0.0275279+0.0232796j -0.020878+0.00846185j -0.0473068+0.0161051j -0.0474848+0.00991807j -0.00432727+0.0196313j 0.00659833-0.0166582j -0.0186985+0.0301574j 0.0287605-0.00602583j 0.00352974-0.00598843j 0.0154486-0.0193127j 0.0143268-0.0157183j 0.00965854+0.0226383j 0.0116813-0.00344968j 0.0372589-0.0259939j -0.0344309+0.0228543j 0.00484287-0.0120995j 0.00709764+0.0108187j 0.00909013-0.0120311j -0.00433905+0.000699763j 0.00833649+0.00538582j -0.00556797+0.00852878j 0.021793-0.042989j -0.0398013+0.0257174j 0.0169246-0.0140587j 0.00514032+0.0072154j 0.0237858-0.0121165j 0.0137604-0.00876811j -0.0183087+0.0153898j -0.0251058+0.061167j -0.105482-0.0184074j 0.0782706-0.140395j 0.0675125-0.0216952j 0.0809552-0.123414j 
0.0656512+0.0139413j 0.0524658+0.0086755j 0.0317445+0.0131171j -0.00103637+0.00263322j 0.000256258-0.0615518j -0.0550729-0.0252805j 0.0199869+0.000502227j 0.0311472+0.032527j -0.0497241+0.0857377j 0.00487193-0.0161346j -0.00533056+0.0136623j 0.0743531+0.0226256j 0.0399597-0.049692j -0.00280292+0.000104272j -0.0473661-0.00219241j -0.00616766+0.00975723j -0.0285578+0.017877j -0.0362698+0.00381115j -0.0358691-0.00987619j 0.00188953-0.0141194j -0.0132839-0.00438998j 0.0202446-0.000588367j -0.0297554-0.00291117j 0.00647738+0.0121666j -0.0458797-0.00445207j -0.0466081-0.0247912j -0.0608016-0.0122881j -0.0332692-0.018697j 0.0383071+0.00634175j 0.0479493-0.00901077j 0.0361123-0.00712544j -0.0299887-0.0059081j -0.00725519+0.0121902j -0.0810117+0.0368623j -0.00927286-0.0370782j 0.0136785+0.045636j 0.0524536-0.0858948j -0.00513056+0.000268868j 0.00135739+0.0339559j -0.084248+0.00288796j -0.0108842-0.0787769j 0.0402301-0.0104985j -0.0231217+0.047872j -0.0131166-0.0417172j -0.0400091+0.0123624j 0.0180044+0.0427444j 0.0330293+0.00899722j 0.00410199-0.0197662j -0.00884463+0.0786304j 0.0235868+0.00330801j -0.0719665-0.0612384j -0.0189743+0.0345418j -0.0567781-0.0362633j -0.0323185+0.0301637j 0.0210944+0.0408414j -0.0570872-0.0333201j -0.00131542+0.016254j -0.00341129+0.00539814j 0.0127512-0.0109889j 0.0042858+0.015819j -0.00157356+0.00608233j 0.00358727+0.00103817j 0.00102617-0.00258853j -0.0140456-0.0197923j -0.0115933-0.00453248j -0.00392798-0.0166031j -0.00620243-0.000368327j -0.00815278-0.0178779j -0.00895626+0.00898148j -0.00538441-0.0153061j -0.00464969+0.00564223j -0.00638407-0.0230963j -0.00182471+0.0155955j -0.00305161-0.00247632j 0.015067+0.0129999j 0.00270909+0.0156818j -0.00684128+0.0154674j 0.0128818+0.00222262j 0.0157609+0.0115585j -0.0124838-0.0106136j 0.00482741+0.00528666j 0.00198364-0.0258963j 0.00462661+0.0110144j 0.0117903-0.00113221j 0.000759024+0.0178713j 0.00284867-0.0115982j 0.00457055+0.005421j -0.028161-0.00149255j 0.00603807-0.00662635j -0.0126568+0.000854863j -0.044666+0.0732219j -0.0101921+0.0457241j -0.0587637-0.00848264j -0.0600963-0.0473481j 0.0299452-0.0126413j -0.00825423-0.0369871j 0.0202763+0.00991265j 0.0767035+0.0589571j 
-0.0542074-0.00922104j 0.0689188+0.01626j 0.00483002+0.00261794j -0.0450985-0.00400908j 0.0469333+0.0638517j -0.0229699-0.0535617j -0.0235091+0.0131449j -0.0395706+0.016141j -0.0999902+8.77377e-05j 0.0257023-0.00550021j 0.0125855+0.0222546j -0.0270026+0.0331102j 0.0629828-0.031764j -0.0230859-0.00264308j 0.000146569-0.049763j 0.00153083-0.0173118j -0.0374286-0.0083269j 0.0268884-0.0123903j 0.0218075-0.0336293j 0.0528016-0.00628735j -0.00992116+0.010974j 0.0282276-0.0116439j 0.042236-0.0289061j -0.0141306+0.033221j -0.00683788-0.0260668j 0.0216898-0.0271894j 0.0342432-0.0235997j 0.0528059-0.0171571j -0.0262385-0.00189113j 0.0140171-0.00998117j 0.0188618+0.0274521j 0.0218151+0.0546345j 0.0315038+0.0364995j 0.0583787-0.0313305j -0.0586359-0.0105381j 0.0294558-0.0127223j -0.0110449+0.0432741j 0.0163449+0.0577293j -0.0124733+0.0308469j -0.0119818+0.0105492j 0.0675057-0.00894987j 0.0673338+0.059106j -0.0364763+0.0400478j -0.0204653+0.0726198j -0.0395449-0.0892236j -0.0255625+0.0446316j -0.0115672-0.00165336j -0.0467012+0.0200837j 0.0324895+0.0335626j 0.052021+0.0743608j 0.0292072+0.0225138j -0.00987192-0.0173534j 0.0151528+0.0214974j 0.00059671+0.0392894j 0.00645247-0.021799j -0.011065-0.023169j -0.0055198+0.0103385j -0.0173742-0.0241254j 0.0100565+0.0117179j 0.0177432+0.000448314j 0.00844241+0.043033j 0.0234713+0.0203647j -0.0270901-0.00124809j 0.00139344+0.00751165j -0.00597542+0.0157085j 0.0164564+0.0122719j -0.0248479-0.0122748j 0.00373544-0.00439173j -0.0105648-2.06842e-05j 0.0245616+0.0145985j -0.0134509-0.0153728j 0.0239537+0.0248208j -0.011243+0.000504126j -0.00200441-0.00539774j -0.0126634+0.00354882j 0.00987011+0.00364305j 0.0150927+0.024894j -0.0105404+0.00401752j 0.00572708-0.00338699j -0.000995002+0.00525178j 0.01269+0.00155476j 0.0129804-0.00283865j -0.000440705+0.0144841j 0.0130327+0.0130729j -0.00181227+0.0185551j 0.00892572-0.0159858j -0.0021907-0.0274968j -0.00821032+0.00458367j 0.0046307+0.0116709j -0.053518+0.0453575j 0.0387247-0.0131005j 0.00497451+0.0523695j 0.0399278+0.057583j -0.0806556+0.0402887j -0.00746339+0.0244415j 0.00534667+0.00273775j 0.0736933+0.0573687j -0.0159854-0.0137147j 
-0.0235182+0.00450941j -0.0158898-0.00125313j -0.0309338-0.0212566j 0.0348838+0.0290314j -0.00583269+0.0944046j -0.0077554-0.0638803j -0.056937+0.0645108j 0.0119658+0.0416238j 0.03814+0.0328634j -0.0466238+0.00949761j -0.00406848+0.0385371j -0.00860509+0.0358923j -0.0724319-0.0164722j -0.00139298-0.00836048j -0.0349342+0.0227274j -0.00750284-0.0215673j 0.00209185+0.0187923j 0.0114918+0.0238814j -0.0735964-0.0298818j -0.03501-0.027038j 0.038356-0.0208823j -0.0547238-0.0263708j -0.0211036-0.022369j 0.0640114-0.0657226j -0.0139061+0.0182238j -0.0353594-0.0102856j 0.00219801-0.0110257j 0.0255828-0.0480269j 0.0101251+0.029346j 0.0173059-0.0164232j 0.0244367-0.0275956j 0.0349781+0.0388565j -0.0145486+0.039137j 0.00119938-0.0479254j -0.0107939-0.00588781j 0.0179596-0.000354462j 0.042455+0.0540176j 0.0870913-0.0106268j 0.024716-0.00691527j 0.0420516-0.0947291j 0.056184-0.0906543j 0.0407749-0.0431852j 0.0334746-0.0358061j 0.104463-0.0924422j 0.0520351-0.09145j 0.0455107+0.0180553j 0.0477513-0.0507836j -0.0235688+0.0945628j 0.00689375+0.0416593j -0.012023+0.0161818j -0.03252+0.0355268j -0.00470158+0.0117867j 0.012697+0.0287633j -0.00477749+0.0577933j 0.0322982-0.0212728j 0.0252109+0.00403733j 0.00027268-0.0010087j 0.0114377-0.00286292j -0.00188238+0.000433967j 0.0154665-0.00845047j 0.00524627+0.0091124j -0.0148719+0.0137773j -0.00958913+0.0220246j 0.00334804+0.0183417j -0.00892558-0.00095942j 0.0151323-0.00695635j 0.0090845-0.0102781j 0.00926207-0.00662947j 0.0369827-0.0165447j -0.00825823+0.00637723j -0.00135402-0.00686132j 0.00112915+0.0199751j -0.00491479+0.00162567j 0.00893321+0.00143281j 0.000718275+0.0107647j 0.00119739-0.0047394j -0.0129183+0.0089952j 0.00407685+0.0141287j -0.0114143+0.00555104j 0.0293755-0.0281602j -0.00769839+0.0150201j -0.0455988+0.0221191j 0.0390558-0.0260275j 0.00426448+0.0111706j 0.0295551-0.0131111j -0.0240422+0.00457288j -0.0240085-0.0229025j 0.0165045+0.0202515j -0.0176452-0.0261212j 0.0201831+0.0315601j -0.0136897+0.00665283j -0.00473104+0.00321931j 0.0335824-0.0368471j 0.00758135-0.0331368j 0.0418084-0.068814j -0.00769046-0.0684375j -0.0227324+0.00761701j -0.00406807-0.0363825j 
0.0115397+0.00978203j -0.0287339+0.00677144j 0.0450993+0.0362937j 0.0745722+0.0452227j 0.00537389+0.0579884j 0.0427071+0.00531756j -0.0254267-0.0491882j 0.022808+0.00980179j -0.0259361-0.0779191j -0.0233895-0.00202097j -0.0106789-0.0164627j -0.00406733+0.0210064j -0.0418807+0.0498046j 0.0273288-0.0148603j 0.020892-0.0386933j 0.0592896-0.015958j 0.00685223-0.0610026j -0.0410573+0.0277996j -0.00443097-0.00577244j -0.00911034+0.0138543j 0.019657-0.0281138j 0.00605947-0.0160845j 0.0072827+0.0112592j 0.0278617-0.0884298j -0.00421359+0.0531845j 0.0124008+0.00448794j -0.0192602+0.0172448j 0.00253304+0.0194891j -0.0177011+0.0691142j 0.00241229+0.0269063j -0.0131762-0.00885292j 0.0182115-0.0218548j 0.00968109-0.065389j -0.0394601+0.0649342j 0.0445958-0.00747139j -0.0803065+0.033399j 0.111099-0.0475166j 0.0502945+0.0244552j -0.0355458-0.0514864j 0.00757298-0.0842523j 0.0770843-0.0319409j -0.0419542+0.0925509j -0.154262+0.0590799j -0.0137611-0.0473106j -0.0691991-0.0321034j 0.0330204-0.0705184j -0.0113315+0.0256391j -0.0128811+0.0772368j 0.0522794-0.0995281j -0.0192227+0.0110714j 0.0026411+0.0272335j -0.0260273-0.00996763j 0.0157473+0.0181325j -0.00762005-0.00854063j 0.030886-0.0359671j -0.00512141+0.0308604j -0.0397747+0.0259758j -0.018246+0.0154061j 0.00298776+0.0174453j 0.0200704-0.0235171j -0.0130217+0.00814352j 0.0258895-0.014515j -0.0264141+0.0267461j -0.00982757+0.016862j -1.05419e-05+0.0019393j 0.00461168+0.0159848j -0.00608015+0.013219j -0.00513255+0.0120571j -0.0209156+0.00567993j 0.0114764-0.0103501j 0.00548526-0.00859246j 0.0266846-0.00842303j -0.00505024-0.00791284j 0.0211352-0.00682032j -0.0136931+0.00849926j 0.000552799-0.00309191j -0.0148212-0.00121819j 0.0065529+0.00472328j 0.0215615+0.00130021j -0.0023347-0.000234694j 0.00438355+0.00553474j 0.00429684+0.0329113j 0.00739143-0.0104947j -0.00917059+0.0185694j 0.013174-0.0372681j -0.000184566+0.0294346j -0.00870431+0.0170014j 0.0177844-0.009742j 0.0115271-0.00973632j 0.0354123+0.00280799j -0.0196429-0.0114189j -0.0536432+0.0254651j -0.00133771+0.010629j -0.0148909-0.00779474j -0.00922885+0.041824j 0.023425-0.0609575j -0.0134291-0.0382174j 0.0178404-0.025616j 
-0.0191917+0.00604479j -0.0682779+0.021504j -0.0334762-0.00375842j 0.00384717-0.0139357j -0.0688104-0.0858823j 0.0806476-0.0387067j 0.0139176-0.0388667j 0.029484+0.0354584j 0.0316623+0.168768j 0.0687356-0.0137913j -0.108847+0.0594934j 0.00913013+0.0701735j 0.000763593-0.0201898j 0.0348114-0.0172496j -0.0342719-0.0223811j -0.0442738-0.0111297j 0.0478823+0.0292336j -0.0128644-0.0561695j 0.0534957-0.0579069j -0.0320287-0.0033564j 0.0048083+0.0111009j -0.0340063+0.0492914j -0.045516-0.00949727j 0.0137533+0.0103136j 0.011045-0.0748483j 0.0710693+0.00618242j 0.0592037-0.0271462j -0.00374455-0.0381741j 0.000134203-0.0411604j -0.0585466-0.0209549j 0.0364013-0.0108354j 0.033561+0.0293495j -0.0263067+0.063909j 0.100804-0.12041j -0.00902731+0.0555469j 0.0402277-0.0978966j -0.099493+0.111741j 0.0483493-0.00759638j 0.116375+0.0368293j 0.078301+0.130355j 0.0265932+0.000562955j 0.0793329-0.00183089j 0.0594442-0.0949534j 0.0866835+0.131921j 0.0208176-0.0450377j -0.0284014+0.023489j 0.0123201-0.0660537j -0.0798286-0.0413276j -0.0252578+0.0731832j 0.0402806+0.0233173j 0.0201567+0.0962601j 0.00351657-0.0042708j 0.0206438+0.0354776j -0.0210585+0.0158036j 0.00301522-0.0157222j 0.0186805-0.0248571j 0.0185996-0.0235792j -0.00101136-0.0437961j -0.000462481-0.0109647j -0.00224096+0.00126668j 0.0160373+0.0240655j -0.00427393+0.0552997j -0.0266543-0.0390858j 0.0108741+0.00604101j 0.001188+0.0242576j 0.00798731+0.00122252j -0.0128778-0.0222079j 0.0179843+0.00389437j 0.0130337-0.0147954j 0.00607264+0.0384606j -0.00779023-0.00278738j -0.00973648+0.0472772j -0.00469806-0.00186029j -0.0189151+0.00247414j -0.00283151-0.0119196j -0.000260697-0.00862834j 0.000941641+0.00512926j -0.0187646-0.00494467j -0.0191394-0.0128348j 0.0169356+0.00306475j 0.00200496-9.79909e-05j -0.0122499-0.00271709j 0.0183505-9.72443e-06j 0.0142621+0.0115345j -0.00429729+0.0161947j -0.0214584-0.0155625j -0.0074768-0.00522258j 0.0190305-0.000665552j -0.015587+0.0488524j 0.00468588+0.000105485j 0.00601848-0.034045j 0.0325408+0.00488671j 0.054014+0.0129663j 0.00468756+0.0630803j 0.011053-0.0337946j 0.030693+0.0633295j 0.00054121+0.0659304j -0.0696543-0.0318932j 
0.0806041-0.0403021j -0.00412106-0.00221976j -0.0200983-0.0466654j 0.00201221+0.00999202j -0.0701989+0.0644219j -0.0889767-0.0227481j -0.027529+0.0109781j 0.0361733-0.0127302j 0.11704+0.0196088j -0.133319+0.0126453j -0.000591359+0.0221463j 0.0575895+0.0108425j -0.0860535+0.0191144j 0.0298863-0.052521j -0.00839838-0.0230347j 0.0444989-0.0393862j 0.0310842+0.000706174j -0.0958974+0.05108j -0.0377359-0.0410521j -0.0342315+0.0519379j 0.0019275-0.0377107j 0.0519242+0.0133188j -0.0772971-0.0268965j -0.00439233-0.0136455j -0.103546-0.0466774j 0.0559037-0.0319071j -0.0470185+0.0464215j -0.075372+0.0601739j -0.0268318+0.00541367j -0.0417034+0.0443125j 0.132769+0.00543383j 0.0694377+0.0188486j 0.0011091-0.0173335j -0.12184-0.126584j 0.00739524+0.044798j 0.00280522-0.00685949j 0.149228+0.153865j 0.0803092-0.0881726j 0.0264347-0.0222531j 0.0870712-0.0420633j 0.0441143-0.00584082j -0.0813301-0.0567282j -0.0116848-0.116553j 0.101025-0.0725745j 0.0798231+0.0180466j 0.0534922-0.0227242j -0.0444968-0.0707496j 0.0037854+0.105464j 0.00301077-0.0409334j -0.0347417-0.0592718j 0.00123244+0.0459559j -0.00837428+0.0106289j 0.0547368+0.0390364j -0.0158405-0.00665473j 0.0141037-0.00861222j 0.00672349+0.0280992j -0.0395647-0.0255849j -0.00329224+0.0156247j 3.26938e-05-0.00744408j -0.00176836-0.0100705j -0.00848362-0.0240539j -0.0140525+0.0159834j -0.0175513+0.0142535j -0.0180235+0.00803402j -0.00975258+0.0141414j -0.00424255-0.0132027j -0.00144219+0.0101143j -0.0108557+0.00432956j -0.0185737-0.00623833j -0.00521243+0.00525534j 0.0115604+0.00355768j 0.00518729+0.018748j 0.00662182-0.0163737j 0.0237555+0.00413413j -0.00647318-0.00130891j -0.00374089-0.00991998j -0.0168097-0.0147547j 0.0125858-0.0159343j 0.00301888-0.0336564j 0.00367855-0.00909085j -0.012503+0.000530196j 0.00779444+0.00521812j 0.0104433-0.0177134j -0.0256127-0.0104191j -0.0056453-0.0246441j -0.00311379-0.0212882j 0.0148577+0.00921273j -0.000709068+0.00269713j -0.0162231-0.00178898j 0.0325945-0.0390304j -0.0429316-0.0325681j -0.0184049-0.0120523j 0.00224287-0.0209904j 0.0733068+0.0268815j -0.0289768-0.0350091j 0.0549471-0.0192251j -0.0711587-0.0218244j -0.00217735-0.0552269j 
0.0225991-0.0163175j -0.0158917+0.0294222j 0.0558158-0.0288988j -0.0439099-0.00773281j -0.0742176-0.0525548j 0.0824344+0.037929j 0.00901122-0.0688893j -0.000496575-0.0166089j 0.0889266+0.0926807j 0.0133376-0.0646562j -0.0370841+0.0162712j 0.0524504+0.0478026j -0.0354966-0.0661859j 0.0308967-0.0326949j -0.0928776-0.084216j 0.00898444+0.0303047j 0.035352-0.04331j -0.0886192-0.0215401j 0.0140377-0.0777203j 0.0133732-0.0479194j -0.00424863+0.0513129j 0.0403795+0.0213354j -0.0496763+0.0519012j 0.060552+0.0436686j -0.0482128-0.0348756j 0.0799111-0.0516933j 0.00176733-0.0987696j -0.0188313-0.0110563j -0.0242739-0.00653668j -0.0303474+0.00162008j 0.0354785+0.0193336j -0.0415293+0.0971898j -0.00406898+0.0814406j 0.0120602+0.0349794j -0.0391445-0.0353376j 0.0172364-0.0614712j -0.0714561-0.0860033j -0.0224308+0.0782772j -0.023294+0.0434269j 0.170815-0.0675837j 0.0293504+0.0550198j 0.0502505-0.0100506j 0.0611178+0.0360321j 0.0539236+0.0716817j 0.0333245-0.0131889j -0.0402451-0.010742j -0.0273187+0.0312459j -0.00997589-0.0853016j -0.0367265-0.037886j -0.0453326+0.022346j 0.0501558-0.0069289j 0.0137081+0.0084069j 0.0526194-0.0131742j -0.0115119-0.000180873j -0.01545-0.00792733j 0.0522559+0.00963085j -0.00955942+0.0359537j 0.021505-0.016959j -0.0191526-0.00497358j -0.00312382+0.00219178j -0.005367+0.0205537j 0.00605052-0.0210213j -0.00530003-0.0140526j 0.0103456+0.00837427j 0.0155474-0.00906366j 0.00812028+0.0164245j 0.017804-0.00523779j 0.0214861+0.0124566j 0.0419638+0.000686625j 0.00623229-0.0030747j 0.00545592+0.00391559j 0.00886358-0.0202401j -0.0122828+0.0110443j 0.00337858-0.0093108j -0.0108382-0.00139559j 0.0010235+0.0175216j -0.0111342+0.0240784j -0.0157713-0.0234371j -0.014588-0.00103125j 0.00785776+0.0220787j 0.00297664+0.00639883j -0.011138+0.00113435j 4.09569e-05+0.0140218j 0.00274139+0.0182781j -0.000292682-0.0101324j -0.0301795+0.0348577j -0.024351+0.0119863j 0.0153051-0.00644037j 0.011035+0.00333776j 0.012662+0.013272j 0.00515927+0.0129561j -0.0174456+0.00818133j 0.0245017+0.0163727j 0.00977736-0.0270263j 0.0148042-0.00197385j -0.00843967+0.0205368j -0.0223241+0.0135227j -0.0226423+0.00134245j 
0.0126491-0.00561192j -0.017426+0.0126276j -0.00585111-0.0084213j -0.000280555+0.0114225j 0.0544169+0.0326316j 0.0176568-0.00174014j 0.0668658-0.0365426j 0.0093858-0.0100279j -0.0369502+0.00325615j 0.0608586-0.00998724j -0.083628-0.025995j 0.0557822-0.0127353j 0.0324693+0.034933j -0.0115863-0.000658036j -0.00660708+0.0153554j 0.00576071-0.0324512j 0.021298-0.0304928j 0.0275593+0.0331809j 0.0499208+0.039951j 0.0424301-0.0101721j 0.0111353-0.0575623j -0.0316089+0.0186347j -0.0229977+0.0160253j -0.0496972-0.101497j 0.0555733+0.00747186j 0.066145+0.0431786j 0.0249349+0.0254906j -0.0264771+0.00306292j 0.0475552+0.0103058j -0.0184239+0.0171021j 0.0132212+0.0114078j -0.0793346+0.0514047j -0.0907786+0.017867j 0.00487389-0.0109483j 0.0331582-0.0635252j 0.00704077+0.0855624j -0.0475966+0.0440095j 0.07203-0.0393262j 0.0425814-0.0459789j 0.161189-0.0944584j -0.0147184+0.0667107j 0.0720744-0.00667968j 0.0248983-0.124963j 0.0367187-0.0479272j -0.0447292+0.00283022j -0.0394209+0.000431481j -0.0746514+0.0144187j 0.0198648+0.000901025j -0.0189528-0.00641983j 0.0041875-0.0118199j 0.0651957+0.0274249j -0.0119538+0.0244925j 0.0384477+0.0132313j -0.00176762-0.0186017j -0.0103158+0.00177597j 0.00965581-0.00505593j -0.00725373-0.00564083j -0.018074+0.00491524j -0.00396507+0.00852302j -0.00298579-0.0132295j 0.0199173-0.0149265j 0.0115215+0.0254588j -0.0144846-0.00922083j 0.0133215+0.000844043j 0.0209878-0.0113281j 0.00488625+0.00330409j 0.00115101-0.0072259j 0.0159836+0.00530778j -0.0145585-0.00754515j 0.0130349+0.00393491j 0.000544223-0.00168587j 0.0297305-0.00241292j -0.0175389-0.00160405j -0.00351874+0.00974575j -0.00385926-0.00216161j -0.0159071+0.0138373j -0.0364062+0.0224284j -0.00172112-0.0044195j 0.0230261-0.00994941j -0.0122523-0.0137872j 0.0215527+0.00968657j 0.0278667+0.00609106j -0.00740279-0.0261244j 0.000623936+0.0145329j -0.0240385-0.0134225j -0.00664352+0.00683342j 0.0289871-0.0180011j -0.0377413+0.0112661j 0.0149478-0.0319821j -0.0395196+0.000717405j 0.0458736-0.0411436j 0.0197037-0.0384486j 0.0529579-0.0457974j 0.021659-0.0425185j -0.0203007-0.0171043j -0.0105035+0.0271925j -0.0170723+0.000899229j -0.0335615-0.0132016j 
-0.0133002+0.0141974j 0.0166948-0.0233459j -0.0167575+0.0161004j 0.0153055-0.00599597j -0.00759217-0.0816579j 0.00563916+0.00603946j -0.00716722+0.00129564j -0.00962582+0.00624779j -0.00787451+0.0792185j -0.00910373-0.0618412j 0.0278081-0.0179285j -0.00086443+0.063753j 0.0208155-0.125299j 0.0453895+0.0282097j 0.0103686-0.0523748j -0.00332386+0.0630548j -0.0140721+0.000188484j -0.0271095-0.0734123j 0.0512439-0.0376787j 0.0338827-0.0510922j -0.0258748+0.0452291j 0.0280481-0.000943564j 0.0177308-0.022634j -0.0260638+0.09244j 0.0137921-0.0386662j 0.0216787-0.0176584j 0.0199302-0.0781292j 0.0373325-0.0260182j -0.0247383-0.0438196j 0.0307898-0.0385531j -0.00818036+0.0117329j -0.0733145+0.116637j 0.0194935+0.0783285j -0.00487349+0.0669444j -0.127295-0.035353j 0.090688-0.0169417j 0.060865-0.0677513j -0.0361503+0.0494405j -0.136119-0.00864663j 0.0784269-0.145715j 0.00286836-0.022044j -0.0464108-0.124997j 0.040841+0.0128266j 0.0195444-0.190544j 0.0979253-0.0654757j 0.0124255-0.0466838j 0.0262402-0.0536706j 0.0267689-0.0185825j -0.00402865+0.0165855j -0.0411471+0.0416831j 0.00667482-0.021058j 0.0130928+0.0203872j 0.0114516-0.00299743j -0.00143734+0.0565194j -0.0150727+0.00603399j 0.0143811+0.0101663j -0.0129712+0.0310991j 0.0385192-0.00144259j -0.00319707+3.72826e-05j 0.000931981+0.0194836j -0.0279828+0.0121669j -0.00496079-0.0288494j 0.0239728+0.000665611j -0.019269-0.00464332j -0.00814413-0.00884764j 0.00186456-0.00678531j 0.0248623-0.0190575j -0.00526107-0.00999021j 0.0313314-0.0295775j -0.00872687-0.000500958j 0.00917495-0.00626802j -0.0143775-0.00406637j 0.00507819+0.000213832j 0.021459-0.0122365j -0.00160335-0.000223107j 0.0121996+0.0236172j 0.00939769+0.0321982j 0.0088207-0.0362717j -0.0160051-0.000898561j 0.000221631-0.010194j -0.0167212+0.0202054j -0.0268785+0.00689029j -0.0088626+0.00327504j -0.0137548-0.0160447j 0.0143704-0.0035686j -0.00884762+0.0054405j -0.0133596-0.0257201j -0.0236111+0.00782458j -0.000725473-0.0480244j -0.0298896+0.0208332j 0.0188532+0.0289896j 0.0042251-0.0158442j -0.00155147-0.00234747j 0.0477321-0.0642465j 0.000418309-0.0625649j -0.0420392-0.0255568j -0.0115192-0.00102823j 0.0233802-0.0116851j 
