-0.448006-0j -0.045438-0j -0.0459089-0j -0.0260693-0j -0.00376278-0j -0.0322591-0j -0.0188178-0j -0.00465621-0j -0.00271612-0j -0.0183183-0j -0.00323826-0j -0.0213714-0j -0.000269855-0j -0.0130873-0j -0.0187-0j -0.00377796-0j -0.00231352-0j -0.00771334-0j -0.00031483-0j -0.00330572-0j -0.000192793-0j -0.00136354-0j -0.000275477-0j -0.000113628-0j 0.0571671-0j 0.00952785-0j -0.0159282-0j 0.00583459-0j 0.00119098-0j -0.0130053-0j 7.01793e-05-0j -0.00265469-0j -0.0131401-0j -0.0113796-0j -0.00162566-0j -0.00216755-0j -0.00938771-0j -0.000331836-0j -0.00132735-0j -0.00219001-0j -0.00299942-0j -1.95537e-05-0j -0.0013411-0j -0.0018966-0j -0.000270943-0j -0.00116143-0j -0.00156462-0j -0.000273751-0j -1.59655e-05-0j -0.000237075-0j -0.000958129-0j -0.000499903-0j -1.61309e-05-0j -0.000195577-0j -0.000306127-0j -1.39698e-05-0j -6.24879e-05-0j -1.15245e-05-0j -3.68213e-06-0j 
0.0072034-0j 0.0513277-0j -0.0503833-0j 0.0294484-0j 0.00425052-0j 0.000518689-0j -0.0416063-0j 7.48663e-05-0j -0.00600535-0j -0.0624527-0j -0.0110402-0j 0.000343627-0j -0.000920015-0j 0.0147836-0j -0.0205225-0j 6.07452e-05-0j 0.0026134-0j -0.0256434-0j 5.0621e-06-0j -0.0036279-0j 0.000217783-0j -0.00453315-0j -0.000302325-0j -0.000377762-0j 0.0159282-0j 0.00265469-0j -0.000772952-0j 0.00162566-0j 0.000331836-0j 0.014691-0j 1.95537e-05-0j -0.000128825-0j -0.0144207-0j 0.000182971-0j -7.88891e-05-0j 0.0024485-0j -0.0207563-0j -1.61032e-05-0j 0.0014994-0j -0.00240345-0j -0.0133117-0j -9.48888e-07-0j -0.00147181-0j 3.04951e-05-0j 0.000306063-0j 1.86744e-05-0j -0.00345938-0j -0.000300432-0j 1.80349e-05-0j 3.81189e-06-0j -0.00211843-0j -0.00221861-0j -1.77031e-05-0j -0.000432422-0j -0.00135862-0j 2.24618e-07-0j -0.000277327-0j -2.54807e-05-0j -1.63416e-05-0j 
0.41321-0j -0.0412366-0j 0.0423432-0j -0.0479616-0j -0.00692265-0j -0.0292763-0j 0.0173563-0j -0.00422567-0j 0.00250516-0j 0.0168956-0j 0.00298674-0j -0.0393184-0j 0.000248895-0j -0.0358251-0j -0.0169709-0j -0.00695058-0j -0.00633304-0j 0.00711426-0j -0.000579215-0j -0.00300006-0j -0.000527753-0j 0.00125763-0j -0.000250005-0j 0.000104803-0j 0.0130053-0j 0.00216755-0j 0.014691-0j 0.00132735-0j 0.000270943-0j 0.0235429-0j 1.59655e-05-0j 0.0024485-0j -0.0241747-0j -0.0311506-0j 0.0014994-0j 0.00392382-0j -0.00851968-0j 0.000306063-0j 0.00240284-0j -0.00402911-0j 0.00276646-0j 1.80349e-05-0j -0.00246732-0j -0.00519177-0j 0.000490477-0j -0.0031793-0j -0.00141995-0j -0.000503639-0j 2.89016e-05-0j -0.000648971-0j -0.000869536-0j 0.000461076-0j -2.96772e-05-0j -0.000177493-0j 0.00028235-0j -3.8241e-05-0j 5.76345e-05-0j -1.04589e-05-0j 3.39615e-06-0j 
0.405607-0j -0.0423432-0j 0.0427646-0j 0.0484586-0j 0.00699439-0j 0.0292062-0j -0.0160598-0j 0.00421555-0j -0.00231803-0j -0.0170707-0j -0.00301769-0j -0.038595-0j -0.000251475-0j -0.0121959-0j 0.0174192-0j -0.0068227-0j -0.00215595-0j -0.0343204-0j -0.000568558-0j 0.00307932-0j -0.000179662-0j -0.00606704-0j 0.00025661-0j -0.000505587-0j -0.0131401-0j -0.00219001-0j 0.0144207-0j -0.0013411-0j -0.000273751-0j 0.0241747-0j -1.61309e-05-0j 0.00240345-0j -0.0244153-0j 0.0103027-0j 0.00147181-0j 0.00402911-0j -0.00801181-0j 0.000300432-0j 0.00246732-0j -0.00406922-0j -0.0295641-0j 1.77031e-05-0j -0.00249188-0j 0.00171711-0j 0.000503639-0j 0.00105151-0j -0.0013353-0j -0.000508652-0j 2.96772e-05-0j 0.000214639-0j -0.000817702-0j -0.00492736-0j -2.99726e-05-0j -0.000166913-0j -0.00301738-0j 1.26477e-05-0j -0.00061592-0j -9.83542e-06-0j -3.62934e-05-0j 
-0.00514636-0j 0.108834-0j 0.0359955-0j -0.021039-0j -0.00303672-0j 0.00109982-0j 0.029725-0j 0.000158745-0j 0.00429043-0j -0.0147836-0j -0.0026134-0j -0.000245499-0j -0.000217783-0j -0.00988966-0j -0.0435156-0j -4.33985e-05-0j -0.00174826-0j 0.0183205-0j -3.61654e-06-0j -0.00769254-0j -0.000145689-0j 0.00323864-0j -0.000641045-0j 0.000269886-0j -0.0113796-0j -0.0018966-0j -0.000182971-0j -0.00116143-0j -0.000237075-0j 0.0311506-0j -1.39698e-05-0j -3.04951e-05-0j 0.0103027-0j -0.0001224-0j -1.86744e-05-0j 0.00519177-0j -0.0440112-0j -3.81189e-06-0j 0.0031793-0j 0.00171711-0j 0.00951032-0j -2.24618e-07-0j 0.00105151-0j -2.04001e-05-0j 0.000648971-0j -1.24924e-05-0j -0.0073352-0j 0.000214639-0j 3.8241e-05-0j -2.55001e-06-0j -0.00449188-0j 0.00158505-0j 1.26477e-05-0j -0.0009169-0j 0.000970643-0j -1.50261e-07-0j 0.000198132-0j -5.40289e-05-0j 1.1675e-05-0j 
-0.583804-0j -0.0297662-0j 0.0279917-0j 0.0173563-0j 0.00250516-0j 0.0413631-0j 0.048509-0j 0.00597026-0j 0.00700166-0j 0.0121959-0j 0.00215595-0j -0.0278494-0j 0.000179662-0j -0.0258599-0j -0.0112189-0j -0.00492313-0j -0.00457143-0j 0.00597539-0j -0.000410261-0j -0.00198324-0j -0.000380952-0j 0.00105631-0j -0.00016527-0j 8.80258e-05-0j 0.00938771-0j 0.00156462-0j -0.0207563-0j 0.000958129-0j 0.000195577-0j -0.00851968-0j 1.15245e-05-0j -0.00345938-0j 0.00801181-0j 0.0440112-0j -0.00211843-0j -0.00141995-0j -0.0238116-0j -0.000432422-0j -0.000869536-0j 0.0013353-0j -0.0258735-0j -2.54807e-05-0j 0.000817702-0j 0.0073352-0j -0.000177493-0j 0.00449188-0j -0.0039686-0j 0.000166913-0j -1.04589e-05-0j 0.0009169-0j -0.00243026-0j -0.00431225-0j 9.83542e-06-0j -0.000496075-0j -0.0026407-0j 5.40289e-05-0j -0.000539031-0j -2.92315e-05-0j -3.17627e-05-0j 
0.374413-0j -0.00966548-0j -0.103292-0j -0.00554541-0j -0.000800411-0j 0.02696-0j 0.0518639-0j 0.00389134-0j 0.0074859-0j -0.00389664-0j -0.000688835-0j 0.0178608-0j -5.74029e-05-0j -0.00278389-0j -0.0420735-0j 0.00315737-0j -0.000492127-0j 0.0306687-0j 0.000263114-0j -0.00743762-0j -4.10106e-05-0j 0.00542151-0j -0.000619802-0j 0.000451793-0j -0.00299942-0j -0.000499903-0j 0.0133117-0j -0.000306127-0j -6.24879e-05-0j -0.00276646-0j -3.68213e-06-0j 0.00221861-0j -0.0295641-0j 0.00951032-0j 0.00135862-0j -0.000461076-0j 0.0258735-0j 0.000277327-0j -0.00028235-0j -0.00492736-0j -0.0324264-0j 1.63416e-05-0j -0.00301738-0j 0.00158505-0j -5.76345e-05-0j 0.000970643-0j 0.00431225-0j -0.00061592-0j -3.39615e-06-0j 0.000198132-0j 0.0026407-0j -0.0054044-0j -3.62934e-05-0j 0.000539031-0j -0.0033095-0j 1.1675e-05-0j -0.00067555-0j 3.17627e-05-0j -3.98071e-05-0j 
0.0586602-0j -0.281426-0j -0.284342-0j 0.00341342-0j -0.0471032-0j 0.00422389-0j 0.00246394-0j -0.0582872-0j -0.0340009-0j 0.00239854-0j -0.0200565-0j 0.00279829-0j -0.0050848-0j 0.0017136-0j 0.0024485-0j -0.0233993-0j -0.0143291-0j 0.00100996-0j -0.00593226-0j -0.0204744-0j -0.00363275-0j -0.00844524-0j -0.00519073-0j -0.00214107-0j 0.00184626-0j -0.0145555-0j 0.00208557-0j 0.000188433-0j -0.00367733-0j 0.00170286-0j -0.000435644-0j -0.0164422-0j 0.00172051-0j 0.00149001-0j 0.000212858-0j -0.013425-0j 0.00122919-0j -0.00415399-0j 0.000173798-0j -0.0135641-0j 0.000392733-0j -0.000492112-0j 0.000175599-0j -0.0117468-0j -0.00339172-0j 0.000152073-0j -0.00969065-0j -0.00342686-0j -0.000401808-0j -0.00296775-0j 0.000125454-0j -0.00309621-0j -0.000405972-0j -0.00244827-0j 4.00831e-05-0j -0.000351582-0j -0.000782234-0j -0.00029004-0j -9.26693e-05-0j 
-0.000924131-0j 0.311481-0j -0.30575-0j -0.00377796-0j 0.0521337-0j -6.6543e-05-0j 0.00533771-0j 0.000918254-0j -0.0736572-0j -0.00265469-0j 0.0221985-0j -4.40842e-05-0j 0.00562784-0j -0.0018966-0j 0.00263285-0j 0.000368631-0j 0.0158594-0j 0.00328981-0j 9.34567e-05-0j -0.0220159-0j 0.00402072-0j -0.0275093-0j -0.00558154-0j -0.00697426-0j 0.00828465-0j -0.0653142-0j -3.2856e-05-0j 0.000845549-0j -0.0165011-0j -0.00188472-0j -0.00195485-0j 0.000259029-0j 0.00185005-0j -2.34735e-05-0j -3.35336e-06-0j 0.0148587-0j 0.00266284-0j 6.54418e-05-0j -0.000192359-0j -0.0145853-0j 0.00170777-0j 7.75272e-06-0j 0.00018882-0j 0.000185059-0j 0.00375394-0j -2.39575e-06-0j -0.0209932-0j -0.00368487-0j 0.00044472-0j 4.67538e-05-0j 0.000271775-0j -0.0134636-0j -0.000436537-0j -0.00530377-0j 0.000174298-0j 5.53881e-06-0j -0.00340148-0j -0.000628324-0j -0.000402965-0j 
-0.0513277-0j -0.242297-0j 0.248799-0j -0.00298674-0j 0.0412153-0j 0.00363662-0j -0.00215595-0j -0.0501832-0j 0.0297508-0j 0.00633413-0j -0.0529659-0j -0.0024485-0j -0.0134281-0j 0.00445009-0j 0.00210807-0j 0.0204744-0j -0.0372116-0j -0.000883712-0j 0.00519073-0j -0.0176277-0j -0.009434-0j 0.00738959-0j -0.00446903-0j 0.00187343-0j -0.00161548-0j 0.012736-0j 0.00550765-0j -0.000164879-0j 0.00321766-0j 0.0014661-0j 0.000381189-0j -0.043421-0j -0.00150545-0j 0.00386944-0j 0.000562122-0j -0.0115584-0j 0.00105829-0j -0.01097-0j 0.000149634-0j 0.0118686-0j -0.000343641-0j -0.00129959-0j -0.000153649-0j -0.0305057-0j -0.00292015-0j 0.000394923-0j -0.0083433-0j 0.00299851-0j -0.000345942-0j -0.00770704-0j 0.000108011-0j 0.00270918-0j 0.000355225-0j -0.00210787-0j -3.50727e-05-0j -0.000913033-0j 0.000684455-0j -0.000249714-0j 8.10856e-05-0j 
-0.0342185-0j 0.164165-0j 0.165866-0j 0.00993469-0j -0.137093-0j -0.00246394-0j -0.0014373-0j 0.0340009-0j 0.0198338-0j -0.00139915-0j 0.0116996-0j 0.00814436-0j 0.00296613-0j -0.000999598-0j -0.00142829-0j -0.0681031-0j 0.00835862-0j -0.000589141-0j -0.0172657-0j 0.0119434-0j 0.00211911-0j 0.00492639-0j 0.00302793-0j 0.00124896-0j -0.00107699-0j 0.00849069-0j -0.00121658-0j -0.000109919-0j 0.00214511-0j 0.00495615-0j 0.000254126-0j 0.00959125-0j 0.00500751-0j -0.00086917-0j -0.000124167-0j -0.0390731-0j -0.000717028-0j 0.00242316-0j 0.000505835-0j -0.039478-0j -0.000229094-0j 0.000287066-0j 0.000511076-0j 0.00685232-0j -0.00987152-0j -8.87093e-05-0j 0.00565288-0j -0.00997381-0j -0.00116945-0j 0.00173119-0j -7.31814e-05-0j 0.00180612-0j -0.00118157-0j 0.00142816-0j -2.33818e-05-0j 0.00020509-0j 0.000456303-0j 0.00016919-0j 5.40571e-05-0j 
