-0.00485189+0.00692655j -0.00549765-0.00351678j -0.00407878+0.000883844j 0.00215998-0.00521406j 0.000592283-0.00376984j 0.000431766+0.00530935j -0.00440228-0.00189167j 0.00041965-0.0027131j -0.00200328-0.0011442j 0.000326656-0.00390147j -0.00378167+0.00126291j -0.00112158+0.00197711j 0.000638267-0.00482091j -0.00417775+0.00452016j -0.000755778+0.000258249j 0.00269982-0.000781167j -0.0037913-0.000421296j 0.00148827-0.000799424j 0.0055813-0.00453469j -0.0042843+0.00321775j 0.00135219+0.000158306j 0.00515835+0.000192293j -0.00072959-0.00062605j 0.00262718+0.000766751j 0.0060048-0.000449201j -0.000228145-0.00233383j 0.00300451-0.00127328j 0.00672443-0.00012608j 0.00330555-0.000844237j 0.000298087-0.00218016j 0.000133115-0.00153235j -0.000937222+0.00322256j 0.00470321+0.00115523j -0.00215391+0.000910867j 0.00297276-2.8044e-05j -0.000647235-0.00160953j -0.00139136+0.0030938j -0.000544935-0.000603925j -0.00329473+0.000798823j 0.00405412+0.0021724j 0.00307119+0.00346801j -0.00547622+0.00485557j 0.00147912-0.00104459j 0.00272036+0.00277971j 0.00250068-0.00191494j -0.00298264+0.00799492j -0.000750155+0.00499897j 0.012064-0.00183721j -0.000374699+0.00128675j 0.00318444+0.0296013j 0.0157092-0.00280512j 0.0184191-0.0238351j -0.00739985+0.0337508j 0.0748389+0.00468909j -0.0799832+0.028829j -0.268113-0.0223589j 
0.00557282+0.00353588j -0.00487264+0.00699337j -0.0021077+0.00518083j -0.00408563+0.000925717j 0.00104259+0.000545081j 0.00107742+0.0050702j 0.000114562+0.00612315j -0.00680504+0.00420682j 0.000570234+1.06002e-05j -0.00347208+0.00213625j 0.000361467-0.000636905j 0.00336944+0.00286052j -0.00291295+0.000963429j 0.00347885+0.000792249j -0.000542967-0.000615492j 0.000296021-0.00120684j 0.000145335+0.00317849j 0.000973958-0.00121018j -0.000764554-0.00408403j -0.00120064-5.80256e-05j -0.000367459-0.000879326j 0.00466466-0.00180424j -0.000632161-8.45089e-05j 0.00256776-0.00389052j 6.62237e-05-0.00102548j -0.00482894+0.000897699j 0.00191619-0.00140249j 0.00204618-0.00324385j 0.000701095-0.00264423j -0.0020824+0.000718845j -0.0042254-0.000160175j 0.000456482-0.00175361j 0.00171024-0.00183059j 2.5281e-05+0.0026832j -0.00206767-0.00102227j -0.00605333+0.00104963j 0.00371262-0.001672j 0.00323399+0.000863507j -0.00180497+0.000541006j 0.00430871-0.00400867j 0.00288606+0.00333842j 0.00431052+0.00103059j -0.00669616-0.000229643j -3.02788e-05+0.000186832j -0.00140373-0.00651394j 0.00882395-0.00345817j -0.00851556+0.0039461j 0.00340377-0.00148173j 0.0151327+0.00241945j -0.0133035-0.0016117j -0.00613865+0.0381745j 0.007903-0.00880702j 0.0739509+0.00117818j 0.00759197-0.0332652j -0.267111-0.0221078j 0.0799279-0.0287756j 
0.00702021+0.00548663j -0.00605473+0.00473513j -0.00131064+0.000246457j -0.00221978-0.00475661j 0.00346977-0.000306343j 0.0040659-0.00030928j 0.00312721+0.00916011j -0.0052107-0.0027218j 0.00194678+0.00519453j 0.000861315+0.00799532j 0.00228671+0.00666431j 0.00491668-0.0102109j -0.00147637-0.00654777j 0.00535129+0.00341286j 0.00161701+0.004261j 0.00151173+0.00144885j 0.00231489+0.00725281j 0.00064009+0.0101389j -0.00240821-0.00503197j 0.000585132+0.00144718j -0.00351881+0.014618j 0.00149196+0.0106309j 0.00229728+0.00378374j 0.00118756-0.00458025j -0.00631802-0.00489329j -0.00527347-0.000615261j 0.000260234+0.00758389j -0.00669252-0.000298467j -0.004501-0.000542502j 0.000916175+0.00192769j -0.00121332-0.00323297j 0.00106438-0.0160848j 0.00170882-0.00166302j 0.00284998+0.00040274j -0.00104354+0.00460301j 0.00363018-0.00614706j 0.00162537+0.0129731j -0.0114904+0.0186144j 0.000590644-0.00347498j -0.0261412+0.00409079j -0.0050437+0.0102806j -0.00670603-0.0111138j 0.0115185-0.0228476j -0.0102799-0.0161003j -0.00341067-0.0183627j 0.00546328+0.0104913j 0.0107723-0.00241674j -0.0160091-0.00496253j 0.0288663-0.0670826j -0.0340645-0.0356799j 0.0287978-0.00308635j -0.0372584-0.0136926j -0.00426508-0.057325j 0.191774+0.0279639j -0.014001-0.00590898j -0.0571106-0.00111911j 
-0.00769617+0.00418375j -0.00749171-0.00694239j -0.000969794-0.00906711j 0.0031011+0.000197891j 0.000448331-0.0017568j 0.00416682+0.00505046j -0.00789743+0.0079492j -0.00320416-0.00600153j -0.00078823+0.00123452j -0.00255786+0.00876352j -0.000586095-0.0066311j -0.00302053-0.00915132j -0.0084055-0.00937641j 0.00762541-0.0075908j 0.00335992-0.00675462j 0.000624102+0.0119065j -0.00497317+0.007576j -0.00333661+0.00377533j -0.00741149+0.000584569j 0.00506873-1.70394e-05j 0.000535768+0.00812849j -0.00462637+0.0110612j 0.000543486+0.00708313j 0.00252809-0.00204148j -0.000370588+0.00106836j -0.00180281-0.00296909j -0.00222423+0.00277922j -0.00301271+0.00731818j -0.00475052-0.00808337j 0.00485981-0.00703163j 0.00163418+0.00785552j 0.00195868-0.00269725j 0.00488529+0.000769111j 0.00336325+0.00535427j 0.00306135+0.00352402j -0.000876721+0.000565336j 0.00432636-0.00716781j -0.00413639+0.00407721j 0.00309389-0.00432564j -0.000529964+0.00216894j 0.00466367+0.0138154j -0.00412357-0.0122649j -0.00205522+0.0114179j 0.00842933-0.00705129j -0.0162047+0.0207201j 0.00180738+0.0201298j -0.00766231+0.0467237j 0.0318746+0.00218561j 0.0461595+0.0198991j 0.0475134-0.0412606j 0.0037236+0.0195731j 0.00827362-0.0551844j -0.172263-0.0159171j -0.02585-0.0525467j 0.0574319+0.000423214j -0.0142849-0.00584909j 
0.0025295+0.00293108j -0.000830752+0.000851588j -0.0017881+0.0073244j 0.00165311-0.00210537j 0.00135833+0.00824303j -5.4587e-05-0.00113839j 0.00141194-0.0184638j 0.00245287+0.00549073j -0.000996002-0.00677369j 0.000244602-0.0196931j -0.000469994-0.00155355j 0.000515018+0.0363374j -0.000621668+0.0164144j -0.00604813+0.00954668j -0.00120171-0.000235261j -0.0013162-0.0122495j 0.000352278-0.00684929j 0.00377221-0.0101944j 0.00327482+0.00500352j -0.00244759-0.015152j 0.000233325-0.0231506j 0.00697058-0.0168103j -0.00427341-0.0126766j 0.000158961+0.00491827j 0.0022394+0.021795j 8.23517e-05+0.0102177j 0.00584292-0.0144845j 0.00592747-0.000241155j 0.00386975+0.00545338j -0.000460856-0.00348732j -0.000524126-0.0158222j -0.002633+0.0309751j -0.00218601+0.017277j 0.00235953-0.0230966j -0.000139912-0.00315913j 0.00160859-0.00219888j -0.00154818-0.0208454j 0.00422597-0.00970236j -0.00606757+0.000229477j 0.00391498+0.023968j 0.000719065+0.00879114j -0.00837901+0.035228j -0.00426052-0.000601894j -0.00820636+0.0246319j 0.00460808-0.0340425j -0.00207311-0.00710544j -0.0222641+0.0024642j 0.00667956+0.0375918j 0.0435465+0.00946553j -0.0160194-0.0441341j -0.0248359-0.0192563j -0.0754325-0.0255382j -0.0509847-0.0268515j 0.0962316+0.00481813j 0.0163604+0.000291939j 0.00361452-0.00371974j 
0.00516948+0.00465411j -0.00257919+0.00067309j 0.00405246+0.00946493j 0.000456527-0.00232016j -0.00251704+0.0102395j 0.00554653+0.00247841j 0.00175005-0.0169592j 0.0057737+0.0162621j 0.000579189-0.0021986j 0.00174558-0.00335958j 0.00673665-0.00235074j -0.000987905+0.0213904j 0.000735418+0.00795021j 0.00235802+0.00788814j 0.0048804+0.0195736j -0.00260982-0.0222691j -0.000159133-0.0241286j 0.000337502+0.00650062j -0.00258739+0.0096124j 0.0092501-0.00331101j -0.00387667-0.00471397j -0.00670279+0.0119564j 0.00145447-0.0240412j -0.00830193+0.0233191j 0.00365516+0.000230037j 0.00385398-0.0124359j -0.00229032-0.00273352j -0.00303537-0.0193079j 0.00248891+0.00270712j 0.00174318+0.014187j -0.0011722-0.0199876j -0.00637968+0.00551379j 0.00305208-0.0252033j -0.00685065+0.00333248j 0.00175125-0.027063j 0.00494029+0.00480317j -0.00854149-0.0150294j -0.00662258-0.0118321j 0.00551672-0.0220328j -0.0151055+0.0249251j -0.010133-0.0181272j 0.0125904-0.046161j 0.0150081-0.0170332j -0.0133082+0.0245973j -7.44643e-05+0.0171161j -0.0098284+0.00542259j 0.0109198+0.017805j -0.00222086+0.0119789j 0.039385-0.0126781j -0.0306966-0.012031j 0.02217+0.0566103j 0.0892816+0.00654896j -0.0503644-0.00895262j -0.0187759-0.0118911j -0.0368721-0.00100851j -0.0123567+0.0082781j 
0.00327257+0.00189904j -0.00147892+0.00173166j -0.00353107+0.00318909j -0.00644085-0.00648062j -0.00220496-0.00890523j -0.00612058+0.00169991j 0.00146442+0.00761799j -0.00579007-0.00277559j 0.00057569+0.00713276j -0.00517285+0.0113574j 0.00460276+0.00322414j 0.00596264-0.0233212j 0.00458409-0.00384717j 0.00437205-0.0066202j -0.00491845+0.0151066j -0.00456328-0.0300726j 0.00308402-0.028289j -0.000533972-0.00539909j -0.00408159-0.0117847j 0.00328444+0.000691074j -0.00038669-0.00162474j -0.00539569+0.0223113j 0.00283424-0.00845901j -0.00622193-0.0173372j 0.00122433-0.000265922j 0.00427094-0.0248309j -0.00668925-0.00204607j -0.00761753+0.00135922j 0.0038282+0.0266018j -0.00564177+0.0275577j -0.00593458+0.0171003j 0.00666173-0.00412533j -0.0026995-0.0220906j -0.00392558-0.00939135j 0.000954703-0.0232761j 0.00863533-0.00448743j -0.00820377+0.0162182j -0.0051429+0.0104316j -0.00283764-0.0239447j -0.00511233-0.0185315j 0.000633082+0.00095353j 0.00657177+0.0220071j -0.0124547+0.033055j 0.00687338+0.0772896j -0.0123637+0.0249941j -0.00727564-0.0251833j -0.0296407+0.0349829j -0.0232389-0.0169388j 0.0131364+0.0598962j -0.0127306+0.0269381j 0.0587468-0.00759581j -0.0774235-0.02431j 0.00329272-0.00620717j 0.0315797+0.00852452j -0.00397653-0.00735904j -0.0319345+0.00175013j 
0.000260027-0.00682043j 0.00924753+0.0060543j 0.00378618-0.00114201j -0.00214445+0.00864813j -0.00147833-0.00709952j -0.00307673+0.00224989j -0.000657246+0.0127391j -0.000104738-0.000116804j -0.000182432-0.0020878j -0.00246589+0.00327909j -0.00233374+0.00554762j -0.00555982-0.0147495j 0.00300227-0.00862972j 2.62438e-05-0.00990771j -0.00195679-0.00618575j 0.000375216+0.0168026j -0.00218513+0.0058374j -0.00430407+0.00112625j 0.00119069+0.000903083j 0.00318778+0.00353046j 0.00246778-0.00555539j -0.0117078+0.00540999j -0.0011629-0.0209735j 0.00323652+0.0157217j -0.00429123-0.0132686j 0.00113481+0.0070724j -0.00563021+0.0175016j 0.00115747-0.00504166j -0.000459708-0.016335j -0.00111892-0.00343152j 0.00882364+0.00682817j -0.00225073+0.00108182j -0.00451654-0.00761723j 0.00907563+0.0026389j 0.00499913-0.0168553j 0.0188789-0.0222197j -0.0151969+0.0233734j -0.0120902-0.0150745j 0.0101406+0.0187489j 0.00812692-0.000460729j -0.00169646-0.0425532j -0.002301-0.00526187j 0.0258504-0.023485j 0.0286993+0.00955429j 0.0141482-0.0129223j -0.0288598+0.0130216j 0.0113879+0.0790287j -0.0144756+0.0399358j -0.0330745+0.0297997j -0.0663967-0.046661j -0.0398817-0.0110674j -0.0326075-0.00893013j 0.030728+0.00705975j 0.0244842+0.0189163j -0.0352027+0.0100186j 0.037809+0.00672226j 
0.00288548+0.000204563j 0.00238018+0.00487397j 0.00438281+0.00673254j -0.00272267+0.00734471j -0.00102886+0.00505235j -0.00150917+0.0023457j -0.00154283-0.0107254j 0.000487247+0.00523329j 0.00265127-0.00791377j 0.00521101-0.01888j -0.00481745+0.00698171j -0.00550202+0.0230956j -0.00075855-0.00377817j -0.00485757+0.00302276j 0.000560849-0.00617964j 0.00172967+0.0179189j -0.00295635+0.0149791j 0.00218745-0.0215303j 0.00157044+0.00880952j -0.00676475-0.0111489j 0.00492067-0.0348743j -0.004052-0.00197495j -0.00212687+0.00705089j 0.00853024+0.00433781j 0.00373898-0.00572806j -0.00275947+0.0307547j -0.00038036-0.00482329j 0.00665822+0.0132154j 0.00318535-0.0071129j -0.0054941-0.00914563j -0.000363565+0.0208296j -0.00646835+0.00256878j 0.00388358+0.010983j -0.00761301+0.00207322j 0.00583615-0.0257298j -0.01113-0.0335082j 0.00135168-0.0104553j -0.00792924+0.0121599j 0.00378006-0.0200641j 0.00530982+0.000373388j -0.0101978+0.0369085j 0.0133936-0.0147406j 0.00271762-0.039603j 0.0119851-0.0192098j 0.018325+0.0613406j -0.0132699-0.0272377j -0.0175232+0.0431295j -0.00454525-0.0179931j -0.00273612+0.00788385j -0.0323455+0.0132816j 0.0507465+0.0231093j -0.00941889-0.0126161j 0.0066433+0.00144634j 0.0286448+0.00682826j 0.000116951+0.0026011j 0.00878098-0.00122614j 
-0.00448891-0.000230031j -0.0025173-0.00614838j 0.000385374-0.000284223j 0.00502361-0.00156413j 0.00116619+0.00756855j 0.000281487-0.00261644j 0.000213386-0.0102048j 0.00498359+0.00435672j 0.000399417+0.00140806j 0.00278837+0.00116879j -0.00211303-0.0152586j 0.00396953+0.00285845j -0.00105502+0.00281534j -0.000368697-0.00765259j 0.000718369+0.00751562j -0.000589217-0.019854j -0.00358005-0.00907388j 0.00319604-0.000454032j -0.0014718-0.00339925j 0.0105639-0.0190357j -0.0021259-0.00521565j -0.00323593+0.0196802j 0.0102634+0.00812455j 3.02009e-05-0.00229935j 0.00118212-0.0253136j -0.00311255+0.00214097j -0.00856184-0.00662388j -0.00428429+0.00281129j 0.00355595+0.0348101j -0.00487147+0.0209312j 0.0001953+0.00440246j 0.00737974+0.0219982j -0.00120962+0.0157411j -0.00131117+0.0433149j 0.00809025-0.00871341j -0.00367728+0.0205791j 0.0044497+0.0190455j -0.00554112-0.0135423j -0.00973502-0.040833j -0.0163608-0.00582781j 0.00801086-0.0278889j -0.022399+0.0307034j 0.0211411-0.0174243j -0.00681559-0.0163016j -0.00944356-0.0212423j -0.0221759-0.0207675j 0.0335189+0.0307258j 0.0503-0.0128931j -0.0279219-0.0259307j 0.0356844+0.00136412j -0.0232519-0.019072j 0.0165729-0.000842434j -0.0168767+0.00775346j -0.0470279-0.0080539j 0.00220946+0.00912533j 0.0307101-0.00193614j 
0.00122065+0.00400614j -0.00255234-0.00276859j 0.000478874+0.0117576j -0.00518118-0.010376j -0.00510511-0.00659144j -0.00197846-0.00260583j 0.00026196-0.0207888j -0.00334357+0.0219531j 0.00127345+0.00245932j -0.00226229+0.00638285j 0.00145424+0.00871537j 9.31923e-05+0.0124979j 0.00119357-0.0127386j 0.000127724+0.0195455j 0.00250407+0.00530821j -0.000834161-6.89893e-05j 0.0036251+0.00525654j -0.00460667+0.035162j 0.00105064+0.0030213j 0.00516829-0.00360424j -0.000157417+0.0128244j -0.00586924-0.0165668j -0.00441125+0.00370109j -0.00331442+0.0401765j -0.00560081+0.0105681j 0.000710017+0.0492191j -0.00152954+0.015159j -0.00575472-0.0012138j -0.00675774+0.00705858j -0.00123049+0.00632999j 0.0027834-0.046954j -0.00738013-0.0505809j -0.0119631+0.00338884j -0.00302373+0.0430471j -0.0139816+0.0261014j -0.0050269+0.00280931j 0.00389504-0.00511423j -0.00360904-0.00671917j 0.00540233+0.0456856j -0.0101492+0.0117409j -0.0133735+0.0319123j -0.00888029-0.0351344j -0.0259391-0.0236635j 0.0135484-0.022443j -0.0229544+0.00110278j -0.020578-0.011856j -0.0216363+0.0260948j -0.00226652-0.034003j -0.0136453+0.0192264j 0.0262368+0.0191063j 0.0310184-0.00999748j -0.0302596-0.0113357j -0.00620902-0.00406215j -0.021006+0.000762357j -0.0177267-0.00697547j -0.0274712+0.00752433j 
