0.020675-0j 0.0231154-0j 0.00871736-0j -0.0445837-0j 0.0141552-0j -0.0528698-0j -0.0610488-0j -0.0591103-0j 0.0193828-0j -0.072395-0j -0.014561-0j 0.00304356-0j -0.0229381-0j -0.0626959-0j 0.00192492-0j 0.0011478-0j 0.00181483-0j -0.0136776-0j -0.0086505-0j -0.0145073-0j 0.0026358-0j -0.019865-0j 0.00255211-0j -0.0192342-0j 0.00322819-0j -0.0243295-0j 0.0017014-0j -0.0128228-0j 0.00030608-0j -0.00810984-0j -0.0023068-0j 0.00107606-0j 0.00285334-0j -0.0215045-0j 
-0.00462308-0j -0.00516876-0j -0.00194926-0j 0.0206458-0j -0.0031652-0j 0.0244829-0j 0.0282704-0j 0.0273727-0j -0.00433414-0j 0.0335246-0j 0.00674288-0j 0.0199945-0j -0.0696401-0j 0.0290331-0j 0.0126456-0j 0.00754039-0j 0.0119224-0j -0.0415253-0j -0.0262629-0j -0.0440443-0j 0.0173157-0j -0.0603101-0j 0.0167659-0j -0.058395-0j 0.0212073-0j -0.0738645-0j 0.0111772-0j -0.03893-0j 0.00201077-0j -0.0246215-0j -0.00700345-0j 0.00706911-0j 0.0187448-0j -0.0652876-0j 
-0.0693462-0j -0.0775314-0j -0.0292389-0j -0.0106097-0j -0.0474781-0j -0.0125815-0j -0.0145279-0j -0.0140666-0j -0.065012-0j -0.017228-0j -0.0034651-0j -0.0102084-0j -0.0026358-0j -0.0149198-0j -0.00645637-0j -0.00384984-0j -0.00608713-0j -0.00157169-0j -0.000994024-0j -0.00166703-0j -0.00884075-0j -0.00228267-0j -0.00856002-0j -0.00221019-0j -0.0108277-0j -0.00279569-0j -0.00570668-0j -0.00147346-0j -0.00102662-0j -0.000931897-0j -0.000265073-0j -0.00360922-0j -0.0095704-0j -0.00247107-0j 
0.0126608-0j 0.0141552-0j 0.00533827-0j 0.00193705-0j 0.00866827-0j 0.00229706-0j 0.00265242-0j 0.00256819-0j 0.0118695-0j 0.00314538-0j 0.000632638-0j -0.111378-0j 0.00048123-0j 0.00272398-0j -0.0704416-0j -0.0420033-0j -0.066413-0j 0.00028695-0j 0.000181483-0j 0.000304356-0j -0.0964562-0j 0.000416757-0j -0.0933933-0j 0.000403523-0j -0.118134-0j 0.000510421-0j -0.0622622-0j 0.000269016-0j -0.0112009-0j 0.00017014-0j 4.83955e-05-0j -0.0393781-0j -0.104417-0j 0.000451153-0j 
0.000487315-0j 0.000544835-0j 0.00020547-0j -0.00442707-0j 0.000333642-0j -0.00524986-0j -0.00606201-0j -0.00586952-0j 0.000456858-0j -0.00718866-0j -0.00144587-0j 7.17375e-05-0j 0.0484251-0j -0.00622556-0j 4.53708e-05-0j 2.70539e-05-0j 4.2776e-05-0j 0.0288751-0j 0.0182622-0j 0.0306267-0j 6.21265e-05-0j 0.0419374-0j 6.01537e-05-0j 0.0406057-0j 7.60891e-05-0j 0.0513626-0j 4.01025e-05-0j 0.0270704-0j 7.21437e-06-0j 0.0171209-0j 0.00486993-0j 2.5363e-05-0j 6.72539e-05-0j 0.0453985-0j 
0.0133061-0j -0.000949334-0j 0.0175471-0j 0.00420147-0j -0.0102728-0j -0.000154055-0j 0.00278761-0j -0.00304356-0j -0.0140666-0j -0.000210948-0j 0.00278682-0j 0.00367234-0j -3.22741e-05-0j -0.00322819-0j -0.0363965-0j -0.067878-0j -0.0708197-0j 0.000622395-0j 0.000596541-0j 0.000319869-0j -0.049838-0j 0.000437998-0j 0.0544141-0j -0.000478216-0j 0.0038951-0j -3.42319e-05-0j 0.0362761-0j -0.00031881-0j -0.0304142-0j -0.000201633-0j 0.000267293-0j 0.022943-0j 0.0608369-0j -0.000534661-0j 
0.0162966-0j -0.00116269-0j 0.0214907-0j -0.0725267-0j -0.0125815-0j 0.00265932-0j -0.0481203-0j 0.0525387-0j -0.017228-0j 0.00364143-0j -0.0481066-0j -0.00015309-0j 0.00115377-0j 0.0557257-0j 0.00151727-0j 0.00282964-0j 0.00295228-0j -0.0222501-0j -0.0213259-0j -0.0114351-0j 0.00207761-0j -0.0156581-0j -0.00226838-0j 0.0170958-0j -0.000162376-0j 0.00122376-0j -0.00151225-0j 0.0113972-0j 0.00126788-0j 0.00720823-0j -0.00955552-0j -0.000956431-0j -0.00253612-0j 0.0191137-0j 
-0.00297534-0j 0.000212277-0j -0.00392365-0j 0.0132415-0j 0.00229706-0j -0.000485524-0j 0.00878552-0j -0.00959221-0j 0.00314538-0j -0.000664831-0j 0.00878303-0j -0.00167027-0j -0.000210649-0j -0.0101741-0j 0.016554-0j 0.0308726-0j 0.0322106-0j 0.0040623-0j 0.00389355-0j 0.00208775-0j 0.0226676-0j 0.00285876-0j -0.0247489-0j -0.00312125-0j -0.00177159-0j -0.000223427-0j -0.0164993-0j -0.00208084-0j 0.0138331-0j -0.00131604-0j 0.00174459-0j -0.010435-0j -0.0276701-0j -0.00348967-0j 
-0.00343562-0j 0.000245117-0j -0.00453064-0j 0.0316647-0j 0.00265242-0j -0.00116105-0j 0.021009-0j -0.0229381-0j 0.00363197-0j -0.00158983-0j 0.0210031-0j 3.22741e-05-0j 0.00330253-0j -0.0243295-0j -0.000319869-0j -0.000596541-0j -0.000622395-0j -0.0636881-0j -0.0610425-0j -0.0327314-0j -0.000437998-0j -0.0448192-0j 0.000478216-0j 0.0489346-0j 3.42319e-05-0j 0.00350286-0j 0.00031881-0j 0.032623-0j -0.000267293-0j 0.0206326-0j -0.0273514-0j 0.000201633-0j 0.000534661-0j 0.0547105-0j 
0.000627256-0j -4.4752e-05-0j 0.000827178-0j -0.00877078-0j -0.000484263-0j 0.000321597-0j -0.00581927-0j 0.00635359-0j -0.000663104-0j 0.000440364-0j -0.00581762-0j 0.000173116-0j -0.00194362-0j 0.006739-0j -0.00171575-0j -0.0031998-0j -0.00333847-0j 0.037482-0j 0.035925-0j 0.0192632-0j -0.00234939-0j 0.0263772-0j 0.00256511-0j -0.0287992-0j 0.000183617-0j -0.00206152-0j 0.00171007-0j -0.0191994-0j -0.00143374-0j -0.0121428-0j 0.016097-0j 0.00108154-0j 0.00286788-0j -0.0321984-0j 
-0.0564531-0j 0.00402768-0j -0.074446-0j -0.0178253-0j 0.0435837-0j 0.000653598-0j -0.0118268-0j 0.0129127-0j 0.0596794-0j 0.000894976-0j -0.0118235-0j 0.000530318-0j 0.000136928-0j 0.013696-0j -0.00525598-0j -0.00980218-0j -0.010227-0j -0.0026406-0j -0.00253091-0j -0.00135709-0j -0.00719705-0j -0.00185827-0j 0.00785788-0j 0.0020289-0j 0.000562487-0j 0.000145234-0j 0.00523859-0j 0.0013526-0j -0.00439208-0j 0.000855458-0j -0.00113403-0j 0.00331317-0j 0.00878538-0j 0.00226838-0j 
