0.155897-6.93889e-18j 0.0761025+0.0167851j -0.0475283-0.0858521j 0.0167134+0.041845j -0.0088575-0.0289277j 0.0480139-0.0346134j -0.00891298-0.0267212j 0.00126742+0.0283118j 0.00935732-0.0117445j -0.0154384+0.00205057j -0.0140908-0.0364923j 0.0922544-0.00236099j -0.0139298-0.0703589j 0.0398158-0.0374383j 0.00290391-0.0529292j -0.00269264+0.00687302j 0.0292147+0.0348644j 0.00677423+0.00466064j 0.0248563-0.0851404j -0.0466341-0.0675264j -0.0110989+0.00415073j -0.0412515+0.0618343j -0.0202617+0.0468788j -0.0423783-0.0382071j -0.0189838-0.0564924j -0.0120874+0.00870859j -0.00861149+0.0321753j 0.00406305+0.0379545j 0.00816543-0.0166539j -0.00914136-0.0138407j 0.00554681+0.031102j -0.010433+0.0397026j 0.000728303-0.0784015j -0.00155652-0.00917859j -0.00576957-0.0457026j 0.0467574+0.0148352j 0.00733337-0.0818514j 0.00666239-0.0181547j -0.0272563-0.0429361j -0.0433854-0.0131594j -0.0359149-0.0122819j -0.0199983-0.0647747j 0.134936+0.0161077j 0.0088459+0.0642474j 0.0275582-0.0380225j 0.0561503-0.00571709j 0.0172267+0.0181525j -0.0298689+0.0193244j 0.0606662-0.0309045j -0.0453052-0.0175104j -0.00196561-0.01209j -0.00339793-0.00448108j -0.003762+0.000349788j -0.0138914+0.0364403j 0.12219+0.0597523j -0.00326474+0.0344843j 0.0173417-0.0406966j -0.126185-0.111499j 0.0451277+0.101515j 0.0636572-0.0638784j -0.126096-0.0352088j -0.0197204+0.328379j 0.170401-0.0478614j 0.0132794-0.0499943j 0.119859-0.0217784j -0.00859029+0.152771j -0.132913-0.0759709j 0.0923796-0.0192982j -0.172887-0.0767215j 
0.0761025-0.0167851j -0.159931-8.32667e-17j 0.0459111+0.0800072j 0.038843+0.146245j 0.0404945-0.045026j -0.0114893+0.0239643j -0.0195354-0.00232482j 0.0376602+0.0408887j -0.00259511-0.0200661j -0.00940264-0.024648j 0.0436931+0.0038893j -0.0100734+0.0242727j -0.00215714-0.013732j 0.0346599-0.0185026j 0.00685207-0.0498299j 0.0252067-0.00218746j -0.0318943-0.0468029j -0.0272632-0.0388219j -0.023616+0.0123295j -0.0316749-0.0172518j -0.0492348-0.0513546j 0.0422717-0.0041106j 0.00549807-0.0332033j 0.0112127+0.014685j -0.0110366+0.0184005j -0.000435087+0.0268457j -0.0169145+0.0116536j -0.0177983+0.00521413j 0.00293855+0.0114185j 0.00554248-0.0222643j -0.0506678-0.00820442j -0.020097+0.010324j -0.0489531+0.0345063j 0.0460927-0.0173521j 0.0619484-0.0241427j -0.00570179+0.0954685j 0.00188982+0.00579368j -0.0426906+0.013113j 0.0804666+0.0380483j -0.0454164-0.0169745j -0.0251346+0.023746j 0.0310636+0.00708035j 0.0102851+0.114834j 0.031373-0.076229j 0.00444867+0.0216871j 0.00319409+0.125992j -0.0348654-0.0192669j -0.0250884-0.00191051j -0.0485979+0.0041953j 0.0117764+0.00972078j 0.00344472-0.0256814j -0.00866232-0.00235653j -0.023082-0.0126402j -0.0203661+0.0190829j -0.0962123+0.108093j -0.0174262+0.00372899j -0.0275897-0.0749111j 0.0797802-0.209531j -0.0126188+0.0848019j -0.0553035-0.0294577j -0.0911475-0.0294561j -0.277736-0.0366219j 0.0908061+0.272754j -0.0410943+0.0952385j -0.0494937+0.0924495j 0.0426148+0.0700541j 0.0188162+0.00319022j 0.181172+0.0562625j 0.0580771-0.0296799j 
-0.0475283+0.0858521j 0.0459111-0.0800072j -0.0646682-5.27356e-16j 0.022135-0.0352792j -0.050534-0.0398688j -0.00269773-0.0758075j 0.0667643+0.0209896j -0.0256192-0.000269903j 0.0385906-0.142823j 0.0783636-0.035583j -0.0345125+0.030057j 0.019298+0.0060325j 0.0063626-0.0305263j 0.0280292-0.0297193j 0.0659467-0.130091j 0.0178931-0.0847911j 0.0198773+0.034749j -0.0175367+0.0230521j 0.00109939-0.0235056j -0.0332526-0.0388679j 0.0745272-0.0344847j -0.0426283-0.0413254j -0.0220681-0.0893394j 0.00409147-0.0155254j -0.0436813+0.0764108j 0.00415014+0.00846401j -0.00397218+0.097872j 0.0883725-0.0374862j -0.0180966+0.0512759j 0.0173895-0.0947736j -0.0109963+0.0431451j -0.0037163+0.0251468j -0.0181606+0.0435332j -0.0875675+0.0182871j 0.0832404-0.0767295j -0.0691612+0.076482j -0.0810116+0.0269749j -0.100762+0.0410798j 0.0501422+0.0333176j 0.0844331-0.0350638j -0.0682556+0.0339625j 0.00543306+0.0228652j 0.0819182+0.00176743j 0.0241243+0.0628631j -0.0667923-0.00691864j -0.0366312+0.0530873j 0.0781336+0.00575387j 0.0243898-0.011458j 0.020164-0.0992748j -0.0648444+0.0503809j -0.0405776-0.0589418j -0.0595979+0.0768992j 0.00366255-0.0305518j 0.0253012-0.0421781j 0.119156-0.13551j -0.0307748+0.039923j -0.00349965-0.0909932j 0.0494528-0.102482j -0.118644+0.0391527j -0.130657+0.292024j -0.00160603-0.0349809j 0.154808+0.00265717j 0.03589+0.0479203j 0.0377313-0.0766175j -0.0597943+0.0112961j -0.00464856+0.0990639j -0.0566267+0.0276122j -0.0719365+0.132901j -0.069668-0.052471j 
0.0167134-0.041845j 0.038843-0.146245j 0.022135+0.0352792j 0.0811443+7.21645e-16j 0.0452056+0.0113787j 0.0448754-0.06427j -0.00502797-0.011202j 0.0023252-0.0697902j -0.046814-0.00154643j -0.0427334+0.234422j -0.057792-0.0255511j 0.0354045-0.00675713j -0.0496301+0.0315074j -0.0275876+0.0568273j -0.0282015+0.0399659j -0.0299823+0.0520132j 0.0652859-0.043079j -0.00630037-0.0899193j 0.088596+0.0210045j 0.00549292+0.0398538j 0.0223874+0.061821j -0.0181305+0.00265244j 0.0470348-0.0483605j -0.0127759-0.0321926j 0.00346399+0.0953851j -0.0370125-0.00154257j -0.0152593+0.080707j -0.00979465+0.0677293j -0.00884021-0.0157947j -0.0169429-0.0722906j 0.0115137+0.0465949j 0.127667+0.00792574j -0.00698765-0.0660354j 0.00987585-0.0232598j 0.00322284+0.0741329j -0.0452026-0.09301j 0.0114444-0.020905j 0.0366896-0.0499503j -0.0597711+0.178194j -0.0706982+0.123368j 0.0124715-0.0697981j 0.0331939+0.00928351j 0.0296444-0.0415431j -0.0916552-0.0316153j -0.0261333+0.0453443j 0.0227306+0.0700379j -0.0131708+0.125192j 0.0595307-0.0716856j 0.0177078-0.123899j 0.00760456-0.0502825j 0.00388454+0.0232636j -0.0240876-0.0332076j 0.0179314-0.0329899j 0.0180595-0.0302181j 0.0466807+0.0970265j 0.0276297-0.0752522j 0.0724051+0.0476617j -0.0823623+0.0239359j -0.0342493-0.129462j -0.221349+0.108524j -0.0695896+0.00997433j -0.0176022+0.00448789j 0.0428362+0.142908j -0.00246471-0.00629259j -0.00882903-0.0264228j 0.00556173-0.0618621j -0.104077+0.0606674j 0.0876675+0.0514967j -0.0399083+0.135j 
-0.0088575+0.0289277j 0.0404945+0.045026j -0.050534+0.0398688j 0.0452056-0.0113787j -0.103452-1.1241e-15j 0.0191949+0.03645j 0.0456138+0.133136j -0.0382972+0.0545024j 0.0229205+0.00761421j -0.0958211+0.0360055j -0.0264066+0.0819686j 0.061994+0.0928677j -0.0501487+0.0767138j -0.0486609+0.050524j -0.0108465+0.0123522j -0.0973622+0.032722j 0.00564823+0.00651226j -0.00914278-0.0799858j 0.0312221+0.0288198j -0.0110715-0.112047j -0.01912-0.0041223j -0.000116204-0.0978436j -0.0723073-0.0354162j 0.00488212+0.0283677j -0.0786946-0.0649408j 0.0800022+0.00733602j 0.00584118-1.02754e-06j -0.0421758+0.0272629j 0.109761+0.0689897j -0.101828-0.0381187j -0.0809807-0.00852802j 0.0408913-0.211211j 0.0681349+0.017891j -0.0552255+0.0437386j -0.0613598-0.0390367j -0.0134663+0.14285j 0.0565033-0.00948725j -0.051427-0.0854265j 0.0668096+0.00917965j -0.00867704+0.13202j 0.0488479-0.0468412j -0.0508027+0.14228j 0.161131+0.120027j 0.0747616+0.0802887j 0.0280628-0.00363257j 0.0647219+0.0464895j -0.0147735+0.0398373j 0.00763755-0.107214j 0.00555167+0.0335901j 0.0122546-0.0325851j -0.0322856+0.0575228j 0.0705505-0.0617058j -0.0592913-0.107876j 0.0243242+0.0301633j -0.0280548+0.0253099j -0.0245522-0.0434803j -0.0695307-0.11155j -0.113808+0.0408977j -0.0422563-0.00731257j 0.0664111-0.00123757j 0.0271003-0.136159j 0.0681745-0.031767j 0.0944+0.120079j 0.0145671+0.0660682j 0.0400596-0.0126323j -0.035385+0.0243577j -0.0195653+0.015233j -0.0419974+0.110643j -0.14873-0.0641032j 
0.0480139+0.0346134j -0.0114893-0.0239643j -0.00269773+0.0758075j 0.0448754+0.06427j 0.0191949-0.03645j -0.0622194-7.21645e-15j 0.00550834+0.065843j -0.0486527-0.143998j 0.0133563+0.0627262j 0.0533092+0.115882j 0.0831722+0.091184j -0.0815922-0.110677j 0.0545952+0.0893751j -0.0825738+0.00588136j -0.0500136+0.0264145j 0.0694047+0.017623j -0.0902297-0.0393301j -0.0572124+0.0229547j -0.110715+0.0810454j 0.0356441-0.0148975j -0.0172337+0.0364765j 0.0350958-0.049579j -0.0484037+0.0170239j -0.0183785+0.0549613j 0.0471883-0.0477816j 0.0366192-0.0156505j -0.0120553-0.00763826j 0.044603-0.0889604j -0.0323737+0.00904126j 0.053487-0.157777j 0.00190288+0.0345858j -0.0118299-0.109182j 0.0106803+0.088119j -0.0133758+0.0201144j 0.0767599-0.0083946j -0.113616+0.0084539j -0.0823467+0.100672j 0.074203-0.0346996j -0.00286071+0.0149971j 0.062373+0.0282999j -0.0941786-0.0576399j -0.133346+0.115006j -0.0686227+0.0254126j 0.0842171+0.00686221j 0.0310419+0.00627478j -0.0498677+0.00370378j 0.0462766+0.0297809j 0.0299549-0.179316j -0.00695309+0.0755972j 0.0358957-0.0916656j 0.0980717-0.0660822j 0.00330175+0.0320136j 0.00127014+0.0132587j -0.000726583+0.0406825j 0.0753689-4.31511e-06j -0.0104354-0.0338417j 0.000585142-0.0713906j -0.0500872+0.131237j 0.113659+0.0475763j 0.164695-0.0825777j 0.0733125-0.0872693j 0.0434334+0.0750577j 0.0411456+0.0391839j 0.0426962+0.0759527j 0.0415784-0.0319839j 0.0104137-0.0403974j 0.0198062+0.0136127j -0.0602404-0.0685903j 0.0337083-0.0182878j 
-0.00891298+0.0267212j -0.0195354+0.00232482j 0.0667643-0.0209896j -0.00502797+0.011202j 0.0456138-0.133136j 0.00550834-0.065843j -0.0986153-6.03684e-15j 0.0235727+0.0230674j -0.0914974-0.217051j 0.119951+0.125029j 0.0815176-0.0227789j 0.0405245-0.0141423j 0.0781772+0.0923294j 0.00454783-0.0603674j 0.06776-0.0348403j -0.0107497+0.00230898j -0.0142538+0.0151896j 0.0629646-0.147235j 0.100344+0.000190151j 0.00259944+0.0297202j -0.0094618-0.0907438j -0.0484985+0.0116001j 0.0684013-0.0216951j -0.00472569+0.102684j -0.00756673+0.0376863j 0.0313118-0.0459342j -0.00316532+0.0335787j 0.0439196+0.070262j 0.0895978+0.0999471j 0.0643947-0.116058j -0.00713968-0.0224452j 0.00720974+0.00511738j -0.158968+0.0674438j 0.0336919+0.0687948j -0.0459182-0.0425717j 0.0315646-0.0612548j -0.0981243+0.0839798j -0.0208182-0.0594278j -0.00483061-0.0974283j -0.0927153+0.0367621j -0.0153678-0.00336864j 0.0642021+0.149636j -0.01223-0.0101575j 0.00472001-0.0487387j 0.0558035+0.0606716j 0.0416396+0.0685396j -0.0653522+0.0696371j -0.026079-0.0879776j -0.0274355-0.0218078j 0.0572773-0.0214048j 0.0770932+0.104772j 0.00551814-0.145636j -0.00547952-0.012166j -0.0827475-0.0495993j 0.0270568+0.0856551j -0.0357767-0.0804494j 0.0316131-0.0471782j -0.00786062+0.0928331j 0.0456624+0.021123j 0.0249505-0.0618389j 0.0776345-0.0299445j -0.0256559-0.0373065j -0.0220553-0.0201222j -0.00722754+0.0412611j 0.0126304-0.0200203j 0.0330436-0.0826432j 0.0214694+0.051528j 0.0813908+0.0468436j -0.00176766+0.102823j 
0.00126742-0.0283118j 0.0376602-0.0408887j -0.0256192+0.000269903j 0.0023252+0.0697902j -0.0382972-0.0545024j -0.0486527+0.143998j 0.0235727-0.0230674j -0.0115194+8.11851e-16j -0.115567+0.150337j 0.0363321+0.197332j 0.172797-0.0266236j 0.00292823-0.0478852j 0.0208745+0.0720746j 0.059581+0.0132178j -0.145539+0.0290921j -0.0724162+0.0073135j -0.0524931+0.142026j 0.0176622+0.0546398j -0.0567876+0.0287556j -0.00364986-0.127898j -0.0268172+0.139879j 0.0335552+0.153756j 0.000979509-0.0255864j -0.0461777+0.127901j 0.0911873-0.0506496j -0.0375159+0.0117667j -0.0603702+0.0914524j -0.050772+0.0334336j 0.0761412-0.0280788j 0.0478476+0.0226994j 0.022584-0.132591j -0.0267172-0.0221928j -0.0132156-0.0615399j 0.0590198+0.048173j -0.152064-0.0377247j 0.190611+0.0639457j -0.00406533-0.0257461j 0.0143279-0.0937388j -0.0684325-0.00679818j 0.101752+0.165242j -0.0524871+0.072644j -0.0454986-0.0152932j 0.0449349+0.136169j 0.018748-0.0338235j -0.0582999+0.0153737j -0.0130773+0.112775j 0.0443829+0.0643349j 0.00848473+0.0151133j -0.0256447+0.0610108j -0.00572977-0.0400799j -0.0592606+0.0602521j -0.00171839-0.0678012j -0.0103748-0.0113675j -0.0197832-0.0410569j -0.0357852-0.0335476j 0.0528802+0.00496271j -0.036228+0.00872033j 0.0450079-0.0254213j -0.00431748-0.0428594j -0.0368762+0.10544j -0.0247193-0.0124779j 0.116422+0.0103827j 0.00263338+0.0612557j -0.0300488+0.0339077j -0.0572512+3.63316e-05j 0.0642005-0.00245232j -0.00756993+0.0874009j -0.0753341+0.0355134j -0.0029375-0.0337253j 
0.00935732+0.0117445j -0.00259511+0.0200661j 0.0385906+0.142823j -0.046814+0.00154643j 0.0229205-0.00761421j 0.0133563-0.0627262j -0.0914974+0.217051j -0.115567-0.150337j -0.152402-5.82867e-16j -0.0709381-0.0872666j -0.0317221+0.236488j -0.0339638+0.0871629j -0.0910082-0.094968j -0.0513433+0.153733j -0.107347+0.191851j -0.0609714+0.126301j -0.0693835+0.0466226j 0.0166862+0.00903078j -0.0896483+0.0537194j 0.0410328-0.0506679j -0.0876855-0.0316719j 0.0548598-0.0674098j 0.000100315-0.0693172j 0.0704246-0.0599824j -0.0536603-0.0733826j 0.16322-0.0281415j 0.0686695+0.0589458j 0.0679525+0.115747j 0.037706-0.0465553j -0.0195364+0.0574849j 0.100342+0.00387888j 0.114788-0.0487657j 0.106661+0.0285582j 0.0262074-0.00422446j 0.000629352+0.0857409j -0.0703725-0.146943j 0.179678-0.0698721j 0.0808502+0.0594296j -0.0719476+0.0506084j 0.026313-0.00881641j -0.0235177-0.0376426j 0.0349571-0.0565956j -0.0359407-0.119092j -0.0848425-0.0503325j -0.00677935+0.00573666j -0.0431196-0.0320518j 0.0480266-0.0147971j 0.00401166+0.0490565j 0.0392997-0.0316899j -0.0150264+0.00777928j -0.109862+0.0930052j 0.0813099-0.126459j 0.0152525+0.043931j 0.00762743-0.00658047j 0.0394403-0.0182836j -0.000935742-0.00901973j -0.00435411+0.00275698j -0.0474633+0.0523231j -0.0265219+0.0295901j 0.000252519+0.023382j 0.00824632-0.00807923j -0.0247086-0.0195995j 0.0370576-0.0308061j 0.0196341-0.020198j 0.0155621+0.00111561j -0.0242109+0.0165847j -0.00185996-0.0382723j 0.00793531+0.00229455j 0.0213508-0.014979j 
-0.0154384-0.00205057j -0.00940264+0.024648j 0.0783636+0.035583j -0.0427334-0.234422j -0.0958211-0.0360055j 0.0533092-0.115882j 0.119951-0.125029j 0.0363321-0.197332j -0.0709381+0.0872666j -0.0563013+2.81719e-15j -0.125963-0.113707j 0.00891088+0.0268987j 0.00442429-0.0708034j 0.0323072+0.11462j -0.083468-0.132423j 0.0263738+0.049167j 0.107374-0.000575937j -0.0721468-0.0108378j 0.0386899-0.129751j -0.00855198-0.0331192j 0.00759505+0.0337606j -0.0437583-0.104988j -0.0266462+0.0493861j -0.00616402+0.0358867j -0.0369564+0.0232837j -0.134108-0.0553047j 0.0620343+0.013781j 0.0323512+0.064334j -0.125983+0.0739642j -0.0554582-0.0906581j 0.0341157-0.0524881j 0.030807+0.0158381j 0.0962177-0.00395575j -0.0396002-0.107103j 0.0122725+0.0816132j -0.0950642+0.0157643j 0.00845839-0.0414279j 0.00274817-0.17225j -0.0376841+0.0680247j 0.00347583-0.0331674j 0.159065-0.020567j 0.0143936+0.00136571j 0.0176582+0.0327858j 0.00770168+0.0718807j 0.01232-0.0355494j 0.0222566-0.00129872j -0.0389515-0.00440105j -0.012901-0.095385j 0.0087946-0.0660141j 0.0229726-0.00533363j -0.0115477-0.211779j 0.00309842+0.226044j 0.00185646-0.0502165j -0.0326862+0.0459728j -0.0379893+0.0273964j -0.0110328+0.00479951j 0.0280784-0.00772562j -0.00873482-0.0349608j -0.00160653-0.0690008j 0.0274712-0.0316851j -0.0101324-0.00485285j -0.0548694-0.051542j -0.0489124-0.0110776j -0.00322756+0.00691086j 0.0114914-0.0309039j -0.0315986-0.0211873j -6.83252e-05-0.0131892j 0.0726919+0.0188384j -0.0209035+0.0543445j 
-0.0140908+0.0364923j 0.0436931-0.0038893j -0.0345125-0.030057j -0.057792+0.0255511j -0.0264066-0.0819686j 0.0831722-0.091184j 0.0815176+0.0227789j 0.172797+0.0266236j -0.0317221-0.236488j -0.125963+0.113707j 0.159254+1.02612e-13j 0.0645077+0.11664j -0.0385424+0.12692j -0.0484841+0.0115726j -0.0255005-0.0529535j 0.0302798-0.0490003j 0.0189137-0.0533917j -0.130203+0.00228052j -0.0115455-0.00489064j -0.0513792+0.0623589j -0.00965148+0.0056548j -0.107994+0.0506442j -0.0480734-0.01581j -0.0170951-0.0268427j 0.0485516+0.117353j -0.0671076-0.00674696j 0.00639907-0.0381544j -0.0373452-0.07635j -0.00872213-0.00278936j -0.101016-0.0537573j -0.100856-0.0412228j -0.0189487+0.053593j -0.00987679-0.0952511j -0.0551353-0.0765023j 0.0238512+0.0147142j 0.0278811-0.133873j -0.120209-0.0798241j -0.106918+0.00240739j -0.0264214+0.0144811j 0.114139+0.0194925j -0.0739462+0.089286j -0.0858803-0.0269267j 0.0266432+0.00798686j 0.0149325+0.0100289j 0.036007+0.0284209j -0.0398278-0.0346271j 0.0656339-0.014582j -0.00147778+0.0569425j -0.0248376+0.0589851j -0.0526831+0.010241j 0.0305845+0.00887824j -0.0361955-0.0265711j 0.0272758-0.0137675j 0.0239039-0.00760701j -0.0568566-0.00843405j 0.0245266+0.0257936j -0.0125315+0.0415268j 0.0249957+0.00865935j 0.00876844+0.0103704j 0.0127333-0.0309796j -0.0332208+0.0267785j 0.0332818+0.0780703j 0.00997036-0.0253947j 0.0157978-0.000755951j 0.0239686+0.0282036j 0.0215697+0.0198996j 0.0213739-0.0290983j -0.0976033-0.043482j 0.0215076-0.0845448j 
