0.156861-0j 0.0532972-0.00630614j -0.026378-0.104405j -0.0264708-0.0783792j 0.00812595-0.067537j 0.0602884+0.0644771j 0.00222494-0.0116504j -0.094184-0.0186606j -0.0175084+0.0283543j -0.000768163-0.00379503j 0.0118407+0.0199526j 0.0266262+0.0176599j 0.0309634-0.0102385j -0.00262883-0.0298716j -0.0152815+0.0153137j -0.0485908-0.0272578j -0.0151429-0.00543476j 0.0071003-0.0355246j 0.00599689+0.0366159j 0.00852593-0.000476918j -0.00895495-0.0428875j -0.0427794-0.0364544j 0.00319612+0.0387678j -0.0514865+0.0029795j 0.0802359-0.147849j -0.0687866-0.060239j 0.135375+0.0537688j -0.0833028+0.114707j 0.118875+0.011081j -0.0629889-0.000251014j -0.00694831-0.106061j 0.0471758+0.0045044j -0.0202412+0.0107449j 0.0377979-0.045392j 0.0402238-0.0238987j -0.0335524+0.0737463j -0.0237807+0.00628268j -0.00831544+0.0200054j 0.054479+0.0035848j 0.0214584+0.0416914j 0.000758167+0.0172632j -0.0641313+0.0108144j -0.127368+0.0267759j 0.018152-0.0581794j -0.0277841-0.104008j 0.074198+0.249828j -0.11432+0.270474j -0.151987-0.11887j 0.035744+0.0841753j 0.149909+0.0940591j -0.0952329+0.0177666j 0.133563+0.0112638j 
0.0532972+0.00630614j -0.153627-1.75207e-16j 0.00911738+0.0407147j -0.0189942-0.0921229j -0.0531617-0.0411926j 0.0174322-0.0189899j -0.00849495+0.0681415j 0.0301301-0.0657476j 0.0418282+0.0434089j 0.0267744-0.0438972j -0.029314+0.0250104j -0.02129-0.00144924j -0.00449622+0.0298698j -0.0579704-0.0226088j 0.00559161-0.0127271j 0.00478013+0.0229759j 0.0187085+0.0301574j 0.0276422-0.00264299j -0.0200842-0.0912373j -0.0121251+0.00857025j -0.0501233-0.0244225j -0.0558843+0.046555j 0.00986222-0.0446462j 0.110991+0.0725695j -0.0207707+0.0708768j -0.029133+0.0558304j -0.00621088-0.118478j 0.0139392+0.0608337j -0.0463852-0.174977j -0.0621414+0.0688036j 0.022932-0.0164843j 0.0663931-0.0658468j -0.106386+0.0151749j -0.00177218-0.00687578j 0.0183399-0.0757504j -0.0757477+0.0167013j 0.0228105+0.0205147j 0.0438213-0.0141603j -0.00928926+0.0864158j -0.00712336+0.0534358j -0.0136872-0.0060437j 0.0108768+0.0101997j 0.0467147+0.106088j -0.0176171+0.192717j -0.0930739+0.0623434j 0.176672+0.0661576j 0.263512+0.0752234j -0.000182616+0.254681j -0.0617736+0.00439347j 0.110259-0.0797857j 0.101341+0.0203098j 0.0585563-0.0714996j 
-0.026378+0.104405j 0.00911738-0.0407147j 0.0372809+4.57967e-16j 0.0122973-0.0511516j 0.00426827-0.05156j -0.0169152-0.0855892j -0.0180055+0.0377669j 0.014356-0.0357781j -0.00204255+0.0697003j -0.0666126-0.113973j 0.0618848+0.00515341j -0.0732599-0.108876j -0.0441428-0.0350277j 0.0295151-0.0671866j -0.0606333-0.139469j 0.0225376-0.0733774j 0.0362502+0.0272904j -0.0224741-0.0863859j -0.0101814+0.0799948j -0.00690026+0.00106579j 0.116642-0.156403j -0.0151495+0.0941253j 0.0921954-0.0511665j 0.0133827-0.0094938j 0.116111-0.0516852j -0.0373017-0.107766j -0.119329+0.0212584j -0.0638926+0.118555j 0.0721317-0.0254337j 0.0095051-0.0476092j -0.0455342-0.0763102j 0.0306131-0.110203j 0.117982-0.0567395j -0.0246829+0.0173579j 0.0881229+0.0425437j 0.00789649-0.0844337j -0.0386744-0.0266899j -0.0730058-0.0619095j 0.0198315+0.0660213j 0.0610944-0.0148838j -0.0212692+0.0968297j -0.0314506-0.00429069j -0.111246+0.142291j 0.0544078-0.178335j 0.15812-0.0270545j 0.0448842+0.00844385j 0.0811887-0.106054j 0.109385+0.109769j -0.0664621-0.0229528j -0.0545229+0.0261486j 0.0500856+0.0562713j -0.0296896+0.0580083j 
-0.0264708+0.0783792j -0.0189942+0.0921229j 0.0122973+0.0511516j -0.0430183-1.66533e-16j -0.0567597+0.00792627j 0.0295567-0.0257176j 0.00126581+0.0463534j 0.173521-0.000376352j 0.0957871+0.0724841j -0.0456024+0.0420622j -0.013121-0.111429j 0.00322099+0.0045256j -0.00739929-0.199561j -0.00696611-0.0243561j -0.0639135+0.0494184j -0.067097+0.0573148j 0.0519941+0.0565435j 0.065697-0.137701j -0.0883829+0.0300405j 0.0712505-0.144774j -0.0235236+0.138742j 0.00878717-0.206532j 0.00281383-0.0689728j 0.125804-0.00448989j -0.0858206+0.111898j 0.0139998+0.00101319j 0.0252336-0.0503639j -0.0438126+0.134475j -0.067712+0.0264403j 0.000803249-0.0190401j -0.0986992+0.0104116j -0.0181793-0.106574j -0.046756+0.0333707j -0.00872097-0.0552878j -0.0359233+0.133708j 0.0648483-0.0408542j 0.0929839+0.0240174j 0.0792921-0.0431414j 0.0106919+0.096815j -0.0339492+0.0450362j -0.1237+0.0362888j 0.0437802-0.0546278j -0.13932-0.0168278j 0.0443145-0.242924j 0.0896007+0.181115j 0.0221269+0.0254665j 0.00182131+0.0424943j -0.0451347+0.0867047j -0.0882898+0.118171j 0.048628+0.0560096j 0.0150697-0.059085j 0.000926203+0.0553724j 
0.00812595+0.067537j -0.0531617+0.0411926j 0.00426827+0.05156j -0.0567597-0.00792627j 0.0430302+8.32667e-17j 0.0810653-0.000674509j -0.0571948-0.0490521j -0.0533504-0.00909986j 0.0387602+0.0209186j 0.0372167+0.0121702j -0.0326512+0.186547j -0.0474246+0.00653791j -0.0129014+0.0108879j -0.0267394-0.0248708j -0.0358834-0.0858661j -0.0385358-0.0549055j 0.0344893+0.00732581j -0.0133371-0.0270988j 0.0557641+0.131491j -0.00521021+0.060227j 0.0220993-0.0356255j -0.039807+0.0178429j -0.0719486+0.0937283j 0.13312-0.0365842j 0.0610624+0.122618j 0.128159+0.0285414j 0.192101+0.158997j 0.0517945+0.0316187j 0.133896+0.0750091j -0.0213875+0.0410446j -0.0337817-0.00790107j 0.0880119-0.00344516j 0.0454377+0.16632j -0.0630759-0.0902684j 0.0488076-0.0808542j -0.0206243-0.00565049j -0.0544581-0.0207052j 0.0428516+0.00982988j -0.0157664-0.132479j 0.0110732-0.0406863j 0.0413093-0.0382573j 0.022533-0.0374919j 0.0472739-0.100409j 0.193485-0.0629348j 0.0305407+0.17354j -0.0518822+0.0412498j 0.136532-0.110235j -0.0728491-0.127207j -0.0524174+0.0305579j 0.0794371-0.0282555j -0.0329638-0.237049j 0.20003+0.00675637j 
0.0602884-0.0644771j 0.0174322+0.0189899j -0.0169152+0.0855892j 0.0295567+0.0257176j 0.0810653+0.000674509j -0.0225205-4.30211e-16j 0.067751+0.0821762j 0.0454831+0.0238966j -0.00922852+0.0202529j 0.00584375-0.0429211j -0.00699931-0.00562777j 0.0047877+0.0178364j -0.0625797+0.0753236j 0.0634333-0.0368814j -0.00418142-0.023943j -0.0741496-0.0791528j 0.0117178+0.0444155j -0.011767+0.00901032j -0.0396286+0.0207742j 0.0162843-0.0294547j -0.0399269+0.0704604j 0.0352211+0.0603824j -0.00159881-0.264229j 0.0248827+0.0462119j -0.077035+0.0464777j -0.0848699+0.212686j 0.0163133+0.145332j -0.0323116+0.0490254j 0.022632+0.165288j -0.0083909+0.0201209j -0.0371771-0.0692418j 0.0913845-0.128914j 0.071103+0.0390766j -0.0190464+0.0139058j 0.0339725+0.103303j -0.0344358+0.00980453j 0.00627589+0.0519979j -0.0629364+0.040301j 0.0153435-0.00685918j -0.0547459+0.0463344j -0.0563379+0.13071j 0.0516391+0.0837612j -0.021821+0.0761778j -0.00508694+0.129375j -0.0962962+0.171733j -0.0577464-0.0318049j -0.10324-0.0411574j 0.0050069-0.0494814j 0.0313385-0.136556j 0.0408768-0.0564036j -0.166779-0.00867975j 0.0299218-0.197056j 
0.00222494+0.0116504j -0.00849495-0.0681415j -0.0180055-0.0377669j 0.00126581-0.0463534j -0.0571948+0.0490521j 0.067751-0.0821762j -0.129011-2.11636e-15j 0.110586-0.00783659j 0.146481+0.0298423j 0.00300413+0.0468259j -0.00914341-0.013932j 0.0288948+0.0646909j 0.0917096-0.00725105j 0.0491297+0.116356j -0.047258+0.0251953j 0.0033619-0.0255143j -0.0434324-0.0393063j -0.0729234+0.136324j 0.0607446+0.0177799j 0.0674634-0.0134132j -0.0642707-0.138639j -0.0398734+0.0549781j -0.00320093+0.0321424j 0.132108+0.0704282j -0.0222766+0.048334j -0.00862314+0.0828582j 0.0798781+0.0838602j 0.132609-0.0258855j 0.0311032+0.0617075j -0.0554069-0.0491888j -0.0127046+0.0469698j 0.0408156+0.00919892j 0.00659123-0.0378736j -0.0375765+0.0611694j -0.0585952+0.0120698j 0.0261356+0.0263566j 0.0619599+0.0282322j 0.0395192-0.191888j 0.0227636-0.010397j 0.0255488+0.0774664j -0.137644+0.0873312j -0.0233891-0.136824j -0.0259975+0.00988536j -0.167925+0.0070064j -0.0510213+0.0374987j 0.0314322+0.0582981j -0.0211365-0.0459568j -0.15322-0.0940633j -0.0890338-0.00705073j 0.0616453+0.064895j 0.162091-0.0658794j 0.195242+0.127361j 
-0.094184+0.0186606j 0.0301301+0.0657476j 0.014356+0.0357781j 0.173521+0.000376352j -0.0533504+0.00909986j 0.0454831-0.0238966j 0.110586+0.00783659j 0.0529885-1.59595e-15j 0.0399719-0.0538183j 0.0488666+0.0526266j -0.130758+0.0499027j -0.00385457+0.0625683j 0.0269452-0.0657384j -0.0452578+0.0670269j 0.0990611+0.070534j 0.0269406+0.06616j -0.00238968-0.038415j 0.0535804-0.0422769j -0.145503+0.0354992j -0.0432945+0.0141459j 0.139804-0.0905983j -0.047082+0.0182404j -0.081148-0.0830784j 0.0333251+0.0501942j -0.0239798-0.0643175j -0.0531359+0.179356j 0.0456809-0.0268787j -0.0795735+0.0347053j 0.0193747-0.0485472j -0.024747-0.0253874j 0.0785557+0.132635j -0.049456-0.0217257j -0.0384838+0.0286939j -0.0154273+0.015681j -0.00499218-0.0806134j 0.0623528+0.0179692j -0.0273266+0.080108j 0.162942+0.108026j 0.0154633+0.0790139j 0.148987-0.229723j -0.0699705+0.0328949j -0.00901073+0.0602262j -0.16967+0.172411j 0.0877381-0.0533176j -0.111233-0.0124495j -0.0432149-0.0467419j -0.102132-0.0623965j -0.00681519+0.0959377j -0.114734-0.0544492j -0.0351155+0.0880093j -0.071109-0.107449j -0.0138477+0.00102708j 
-0.0175084-0.0283543j 0.0418282-0.0434089j -0.00204255-0.0697003j 0.0957871-0.0724841j 0.0387602-0.0209186j -0.00922852-0.0202529j 0.146481-0.0298423j 0.0399719+0.0538183j 0.02318-8.60423e-16j -0.0731703+0.0763913j -0.013953-0.0490246j -0.0144741-0.0223477j -0.0154192-0.12603j 0.0645267+0.0434215j 0.0638963+0.0120582j 0.0188376+0.021738j 0.0732047-0.131671j -0.07678-0.0475462j 0.100342-0.0505051j 0.0319498-0.00129487j -0.0617926+0.0851983j -0.097606-0.0125503j -0.0572661-0.00148744j 0.0556522+0.0474954j -0.133056+0.0569759j -0.0124609-0.098142j -0.0455303-0.0361373j 0.101602+0.0866402j -0.0604726-0.0147431j -0.0624837+0.0159723j 0.0859852-0.0175715j -0.0192459+0.0900374j -0.0708168+0.00782886j -0.0299898-0.044619j -0.0654246-0.0017357j -0.0271177+0.018403j 0.0341237+0.0414632j -0.0465276-0.103324j 0.0412765+0.0640118j -0.0501012+0.0691817j -0.125051-0.0411596j -0.00527138+0.057037j 0.02095-0.0971453j 0.0874995+0.0439543j -0.110758-0.125669j -0.141789-0.163535j -0.204013-0.0450929j 0.0644453+0.0965802j -0.0759077+0.12481j -0.00377747+0.015641j -0.228632-0.0529052j 0.115796-0.103921j 
-0.000768163+0.00379503j 0.0267744+0.0438972j -0.0666126+0.113973j -0.0456024-0.0420622j 0.0372167-0.0121702j 0.00584375+0.0429211j 0.00300413-0.0468259j 0.0488666-0.0526266j -0.0731703-0.0763913j 0.0866933-2.41506e-15j -0.0354251-0.0126958j -0.0604763-0.0389418j 0.0187482-0.041703j 0.0179708-0.0563268j 0.135004-0.0209147j -0.0452135-0.0275072j 0.0811018+0.0600977j 0.00472625-0.151685j -0.0532277-0.139456j -0.0410116-0.023637j -0.0957314+0.0383435j 0.0109493+0.0123813j 0.0766219+0.0543621j 0.0474586+0.144494j 0.0648272+0.067087j -0.0790477+0.00323541j -0.0305599-0.101012j -0.0873038+0.117662j -0.00432632-0.0253742j -0.042859-0.0590068j -0.0204914+0.00505533j -0.0300067-0.0198172j 0.0117713+0.108046j -0.0229372-0.182673j 0.0378257-0.0628659j -0.0374853+0.0482447j -0.0411973-0.172414j -0.0109515+0.056017j -0.102995-0.0062141j 0.0124806+0.111018j -0.0687962-0.0924144j 0.0589465+0.0520528j 0.15334-0.0601737j 0.0359441-0.0629986j 0.0131193-0.0112463j 0.132116-0.0547525j -0.190112+0.100592j 0.0691475-0.00470947j -0.0531833+0.272489j 0.0906845+0.151372j 0.0802679+0.0418243j -0.0117841+0.0929186j 
0.0118407-0.0199526j -0.029314-0.0250104j 0.0618848-0.00515341j -0.013121+0.111429j -0.0326512-0.186547j -0.00699931+0.00562777j -0.00914341+0.013932j -0.130758-0.0499027j -0.013953+0.0490246j -0.0354251+0.0126958j -0.0120148+2.78597e-15j -0.0237759-0.126004j -0.0238531-0.105239j -0.0773301-0.0306032j -0.01978+0.0179262j -0.047459-0.0509804j -0.00497759-0.0783897j 0.0242012-0.0347054j -0.0792062-0.0654858j -0.000567575-0.00322105j -0.0393387+0.0586321j 0.0902446+0.0273959j 0.0133086-0.0548577j -0.0102384-0.0232863j -0.0481213+0.0229194j -0.0138334-0.0392195j 0.0421131+0.00501582j -0.0313844-0.0172443j -0.0387049+0.109012j -0.0380676+0.00946501j -0.0615657-0.0122018j 0.0470633+0.0315917j 0.0047117+0.0683908j 0.00684952-0.0998144j -0.00802216-0.00637896j 0.00672085-0.039271j -0.107938-0.029004j -0.0188441+0.0747488j -0.026254+0.0256966j 0.0228523+0.0308893j 0.123949-0.00816875j 0.0988936-0.0974216j 0.0367216-0.103425j -0.108011-0.0643861j -0.10954-0.0213707j 0.00301432+0.166659j 0.0589747+0.0766536j 0.0154703+0.121252j -0.0112818-0.0333604j -0.015012+0.0331161j 0.017343-0.0398423j 0.0346378-0.0418749j 
