0.362556+0.173602j 0.0941346-0.33243j 0.0554732-0.0569882j 0.0941532+0.128556j -0.0553833-0.0362116j -0.0312965-0.013139j -0.000139745+0.0363965j -0.00158884+0.0176245j 
0.215254-0.273762j -0.3008-0.053174j -0.13617-0.148164j 0.0788036-0.0296492j -0.0477016-0.0066609j -0.0259105+0.0157664j -0.0333468+0.0305792j 0.00966487+0.0464477j 
-0.0237755-0.33658j -0.0518783-0.1124j 0.245371+0.302607j 0.0276281-0.173153j 0.102498-0.0187828j 0.0144685+0.0253177j -0.00693341-0.0188915j -0.0310442+0.00688929j 
0.249986+0.154802j 0.245958+0.0697025j -0.340792+0.19453j 0.0929792+0.122943j -0.00804388-0.0149462j -0.0263899-0.00289056j -0.0244409+0.0635448j 0.0088782+0.0425083j 
-0.230012+0.231441j -0.0879103+0.0853516j 0.0355223-0.415794j -0.0799641+0.113765j -0.0256913-0.0209276j 0.0185802-0.0233176j 0.0774344+0.0332936j -0.0257389-0.0102277j 
-0.187114+0.156127j 0.275049+0.0388761j 0.133635+0.244467j -0.108347+0.0298977j 0.134736+0.0808589j 0.0254016+0.00979197j -0.0597816+0.0304324j -0.055549-0.0994222j 
0.0533563+0.126968j 0.0309253-0.342732j 0.364705-0.115001j 0.0267303+0.0755792j 0.0668971-0.0793854j 0.0252975-0.0118511j 0.0879709+0.0673765j -0.0769312-0.00592061j 
