-0.0485828-4.16334e-17j 0.15854+0.00533241j 0.0291937-0.0811922j 0.0201496+0.0134904j -0.0468628-0.0381124j -0.0526741-0.0573889j 0.00590138+0.0816342j 0.0372514+0.0829374j 0.014141-0.020441j 0.00545869+0.0121416j 0.0200279+0.0406757j 0.0566251+0.0403804j 0.0575697+0.0132021j 0.0147751+0.078409j -0.022537+0.0114355j 0.054623-0.0786113j 0.0922939+0.00392131j -0.0236513+0.0197864j 0.056306-0.12915j -0.026983-0.110265j -0.0965822-0.0166072j 0.0710404+0.0398079j 0.00164802+0.0463408j 0.0358938-0.0477985j -0.074663-0.0361185j 0.0241797+0.0755308j 0.0645502+0.000196406j -0.0350904-0.0358516j 0.0714725+0.00716984j 0.0737812+0.0156498j -0.025537+0.00729551j -0.0243482+0.108714j -0.0252376+0.0152209j -0.0468605-0.0407934j -0.0692487-0.0364444j -0.0246109+0.02853j -0.0738123-0.0357596j -0.000474662+0.0974731j 0.0104728+0.050545j -0.0220918+0.0222134j 0.00488041+0.0460058j -0.0152204-0.0106413j 0.0272677+0.00875743j 0.0537527+0.0441491j -0.0295672+0.0190369j 0.0458051+0.019615j 0.0153876-0.00416559j 0.016021-0.0309471j -0.0153443+0.0397323j -0.0394524+0.0201j -0.00919417+0.0582403j 0.00885245+0.0349985j 0.0054108-0.00193764j -0.0019758-0.0628966j -0.0165823+0.0127426j -0.0582902+0.0163261j 0.0175255-0.0211753j 0.0143357-0.018271j -0.0133027-0.00620019j 0.0693291+0.0171053j -0.0202735-0.0684776j -0.0799444-0.0593855j -0.0174149-0.0241396j 0.017385-0.0679901j 0.013588+0.00505003j -0.0527072+0.0140265j 0.0582775-0.0267955j 0.0335025-0.0170094j -0.020067-0.0160389j -0.0109636+0.0342402j 0.0372463-0.0198105j -0.00133821+0.0338269j 0.01254-0.0674848j -0.0312468+0.0349519j 0.0222379-0.0441569j 0.000373779-0.0480194j -0.0266189+0.0106424j 0.0170401+0.0438394j 0.00231512+0.0256906j -0.0199709+0.013386j -0.00902726-0.0028642j -0.0414578+0.0597103j 0.100406+0.0625609j -0.0135212+0.216475j 0.109461+0.174464j 0.13061-0.104468j -0.141813-0.00618276j -0.000775024-0.0130102j -0.014921-0.0280796j 0.00400203+0.0688093j 0.0473714-0.0278647j -0.028442+0.0545306j 0.0814323+0.0735471j 0.113193+0.019503j 0.137642+0.114633j 
0.15854-0.00533241j 0.0860111-4.16334e-17j -0.0353523-0.035647j -0.0288395+0.0605675j -0.0776654-0.118598j -0.0133637+0.0254085j 0.0126023-0.0638725j -0.0554991-0.0250327j 0.0258304+0.0103214j 0.00872632-0.00254913j 0.0264498+0.0261117j -0.00926694-0.00718256j -0.0101251-0.0571637j -0.0159667+0.0072738j 0.0332549+0.0398169j -0.00201823+0.00552935j 0.0600304-0.0740367j -0.00937884+0.0609935j -0.0800767-0.0680227j 0.000489031-0.000115695j 0.0162749+0.00999253j 0.0291633+0.0627092j -0.031196+0.0535877j -0.0183408-0.0785138j -0.0183448+0.0532284j 0.0372222-0.0635991j -0.0360982+0.0170571j 0.0294619-0.0274481j -0.0395107-0.0301837j 0.0227663-0.00910785j 0.0411429-0.0194048j 0.0939518-0.0227186j -0.000691618-0.104085j 0.00278272-0.0211405j -0.0223414+0.168541j -0.0318473-0.0480401j -0.0325075+0.0304602j 0.0719548+0.0204731j 0.0418347+0.00370088j -0.0660311-0.0847708j 0.00303057-0.0815776j 0.00284449+0.0197216j 0.000985244-0.0132762j -0.00432822-0.0429495j -0.0133811-0.012911j 0.062519+0.0204674j -0.00295376-0.0298989j -0.0407294-0.0224026j 0.0163949-0.0154634j -0.00710542+0.0434968j 0.00489407-0.0536632j -0.00321993-0.00869291j 0.00373157-0.0230618j 0.0456308-0.0236577j 0.0777213+0.0062176j -0.0276761-0.00151073j -0.00768251-0.0103429j -0.0309351-0.0359354j 0.00373276+0.0412503j 0.0444135-0.0565699j 0.00417239+0.0641963j -0.0362665+0.0728943j -0.034237-0.0315484j 0.00977168+0.0212515j -0.00640552+0.0120703j 0.00854257+0.0340888j -0.0211045-0.0321987j 0.0407985-0.0226836j -0.0152491+0.0219881j 0.00433314-0.0381897j -0.00479703-0.01671j -0.00048527-0.0216404j -0.00205738+0.00631467j -0.0236449+0.0562394j 0.0118474-0.0279997j 0.00784735-0.0289138j 0.0061283+0.00205177j 0.0168085-0.0270355j 0.0117293+0.0191148j -0.0278429-0.0202626j -0.0632921+0.0272895j -0.0342829+0.00204484j -0.00567287-0.0755458j 0.249557+0.0170451j 0.013243-0.0484619j -0.0410184-0.165041j -0.0354903+0.240819j 0.00117804+0.0164538j -0.0273497+0.0470048j -0.0254615-0.0853482j 0.0480635-0.00834842j -0.0923291+0.0739815j -0.0154828+0.0616428j -0.16626-0.0975438j 0.0997297+0.028428j 
0.0291937+0.0811922j -0.0353523+0.035647j 0.0222013-2.63678e-16j 0.0653909+0.0817648j -0.0571082-0.0655596j 0.0809559-0.080763j -0.000572298+0.0163862j 0.0451173-0.0479606j -0.0725295-0.097912j 0.032113-0.0788776j -0.00389411+0.0199367j 0.108666-0.00395642j 0.0488727+0.149599j 0.0160335+0.257523j -0.150699+0.178192j 0.13917-0.19042j 0.139001-0.112527j 0.0988787-0.258264j 0.0550553-0.127003j 0.104802-0.130714j 0.0195583-0.0247447j -0.0847247+0.0443702j 0.00616269-0.0183614j -0.0218403-0.0441544j 0.0560769-0.0126108j -0.00568324+0.0650856j -0.0722631+0.0032461j -0.0695576-0.0361244j 0.0336388+0.0433909j -0.000341299-0.023222j -0.0136639+0.0458769j -0.0477667+0.025317j -0.00855038+0.0470308j -0.0153887+0.0189612j 0.0138451+0.0475288j -0.0136307+0.00742849j -0.00137974-0.0121244j -0.0183451-0.0479382j 0.00336622-0.021828j 0.0043398+0.000680683j -0.0373833+0.003349j 0.00337242-0.0218468j -0.0031114-0.00703004j -0.0166208-0.0225166j 0.00241465+0.0248718j 0.00856816-0.00697849j 0.0172463-0.0150648j -0.0136518-0.0116296j -0.0434263+0.0250634j -0.0119271+0.0344312j -0.00642791-0.00738957j -0.0275495+0.029382j -0.0221431+0.0284049j -0.0214206-0.00831726j -0.0111096-0.00702021j 0.0154984+0.0405583j -0.000564948+0.0163167j 0.0260358-0.0349552j -0.0285665+0.0269299j -0.0203462-0.00290229j 0.0248759+0.0170549j 0.0414199+0.0202082j 0.00456239-0.00321479j -0.0227774+0.0119953j -0.00932486+0.0202091j 0.014658-0.0155096j -0.0118268+0.00224725j -0.0139427+0.0138732j 0.00580931+0.00301402j 0.00376322-0.0360473j -0.0196234+0.00639093j 0.0153547-0.0196052j 0.0182601-0.0245595j 0.0198787-0.031345j 0.0284335-0.00814647j -0.00544775+0.0124511j -0.000422874-0.00730432j -0.0179824-0.000262695j -0.0404825+0.0174771j 0.0171542-0.0115691j -0.00964595-0.0265868j -0.00103403+0.00603596j -0.0223504+0.028592j -0.0021052-0.0531586j -0.0344148-0.0614404j -0.0592831-0.00908411j 0.0374913+0.00712702j 0.00332078+0.0328792j -0.00739949+0.0075259j -0.00442493-0.0246699j -0.0173599+0.0550246j 0.0170431-0.000221222j -0.0508777+0.012129j -0.0348374-0.0271644j -0.0559947+0.00839653j 
0.0201496-0.0134904j -0.0288395-0.0605675j 0.0653909-0.0817648j 0.0965701-1.78677e-16j -0.0515953-0.0485298j -0.126085+0.129485j -0.0352879-0.0690896j 0.0553068-0.112417j 0.216135+0.219667j -0.068584-0.0193302j 0.0850841+0.304957j 0.0511611+0.236769j -0.0742151-0.000178077j -0.0244897+0.10366j 0.133183+0.0142865j 0.0539694-0.101611j -0.00460893-0.144154j -0.0942337+0.0831502j 0.176087-0.145086j 0.0262804+0.0751837j 0.0413395-0.0578537j -0.00730668+0.0127962j 0.035043-0.0385825j -0.00518393-0.0191226j -0.0367483-0.0767483j 0.0166307-0.0108657j 0.0849168-0.0713931j 0.0177593-0.0902781j -0.0351615-0.0214049j 0.000519889-0.0193059j 0.0129012-0.0144873j -0.000786042-0.0229898j 0.0390926-0.00937255j 0.0138425+0.0225103j 0.0150106+0.0567159j -0.0188636+0.0631262j -0.0146382+0.0070905j -0.0473858-0.0335829j -0.0257826+0.00724975j 0.037051+0.0161476j -0.00671077+0.0153532j -0.0387173+0.00807795j -0.000919965-0.00551532j -0.000707615-0.00867403j 0.0234576+0.00487654j -0.0404998-0.0265552j -0.0270554+0.0200556j -0.0083692+0.006046j 0.00651355+0.00374456j 0.00503486-0.00247211j -0.000149788-0.00633785j 0.010614+0.016702j 0.0234475+0.0189517j 0.0200441-0.0024752j -0.013451-0.00582186j 0.0565945-0.00383094j 0.0236947-0.0266504j 0.00938206-0.014172j -0.00806362-0.00271789j -0.0126683+0.0177739j 0.00798213-0.00698591j 0.0215668+0.0109475j -0.00496926+0.03254j -0.0124732+0.0140758j 0.013351+0.0218802j -0.00595695+0.0205817j 0.0109905+0.0109152j -0.0184092+0.0073822j 0.0255576+0.0058087j 0.0148252-0.0132548j 0.00675298+0.0234783j -0.0153151-0.00895452j -0.00682461+0.015805j 0.00241664+0.0147194j 0.00743713-0.0361785j 0.00610693-0.00719087j -0.000766897+0.00572025j -0.0081889+0.00330334j -0.00472928+0.025618j 0.00283142-0.0281458j -0.00299503-0.00782555j 0.0221529+0.00748207j 0.0187802-0.00885858j -0.0614366-0.041489j -0.0371512-0.0198972j 0.00371438+0.0227515j 0.0345471-0.0534724j 0.0145665+0.0155365j 0.00161425+0.00607126j 0.0111751-0.0294887j -0.0206641+0.00181225j 0.0111442-0.000761171j 0.00438161-0.0145688j 0.0520975-0.0171136j -0.0402133-0.0489045j 
-0.0468628+0.0381124j -0.0776654+0.118598j -0.0571082+0.0655596j -0.0515953+0.0485298j 0.0225592-9.71445e-17j 0.0566074+0.0385644j 0.00439619+0.0187761j -0.0631942-0.0246306j 0.0290492+0.145137j -0.0338892-0.00124628j 0.0173512-0.00649282j -0.0939034+0.0285355j -0.0228485-0.0563348j -0.103403-0.029433j 0.00662325+0.0608703j -0.0213415+0.134327j -0.0168595-0.103225j 0.00990822+0.0470917j -0.055602+0.0346316j 0.0515183-0.0717762j 0.033001-0.0416173j 0.0192501+0.129422j 0.0883645+0.0210476j 0.0830933-0.10889j 0.0208097+0.00524422j -0.0219169+0.0281355j -0.0871574+0.0640581j 0.0850496-0.0645446j -0.0622088-0.00755706j 0.0258686-0.223318j -0.072067+0.0596489j -0.0756267+0.186751j -0.104564+0.0763442j 0.00472557+0.0104568j 0.0755986-0.107847j 0.0179708-0.00315647j -0.00661039-0.0917866j 0.0607757-0.0287998j 0.0893286+0.0246178j -0.0212167-0.0226331j -8.41375e-05+0.0103479j 0.0200574+0.000688745j -0.0063974-0.0180705j -0.0112969+0.00804751j 0.00533666+0.0283009j -0.018053-0.0328145j 0.0210383-0.0885697j 0.0824146-0.0881812j -0.0370141+0.0145734j -0.0323819+0.11825j -0.0994924-0.0065967j -0.0495594+0.0200267j -0.0856679+0.00339471j -0.0364107+0.0146056j -0.0680438+0.00132399j -0.0710386+0.0995121j 0.0126237-0.0114595j -0.00926187-0.0371056j -0.0140389+0.0287626j -0.0357783-0.0217266j 0.0515303-0.0188924j 0.023649+0.0099159j 0.00566939-0.0443404j 0.00588229+0.0117718j -0.00982171+0.0446733j 0.00994187-0.014974j 0.00473988-0.0307644j -0.00180223-0.0260318j -0.0064753-0.0169707j 0.00369445-0.0301999j -0.0113047+0.00597324j 0.010797-0.0166025j 0.0376502-0.0522515j 0.0280994-0.0150243j -0.0292951+0.0088553j 0.00374658-0.00492971j -0.0350483+0.0289982j -0.0280987-0.00526448j -0.0714258+0.0219016j 0.0433202+0.00308408j 0.0194147+0.0129334j -0.0194633-0.00851075j -0.092346+0.15358j 0.00200481+0.0796094j 0.0145197-0.03982j -0.0557497-0.0270629j 0.00501082+0.0350666j -0.0177051+0.0034009j 0.0012349-0.057577j -0.0295566+0.0123002j -0.00812424+0.0103175j 0.00882277+0.0201129j -0.0467289+0.0479363j -0.0641583+0.0135494j -0.00271117+0.0939212j 
-0.0526741+0.0573889j -0.0133637-0.0254085j 0.0809559+0.080763j -0.126085-0.129485j 0.0566074-0.0385644j 0.0544965-1.44329e-15j -0.119315+0.0314608j -0.0262617-0.00626112j 0.0777703+0.0393303j 0.0252814-0.0723828j -0.0702121-0.0362433j -0.0602381-0.135907j -0.0512565-0.1888j 0.0347737+0.0304292j -0.076897+0.000455525j -0.0517978+0.0572001j -0.271546-0.229187j 0.0613348+0.0499748j 0.116722-0.110034j 0.0326658+0.128743j 0.0318246-0.0632338j 0.0505884+0.0851584j -0.060238-0.0189766j 0.0274287-0.0509821j -0.0679071+0.0535076j 0.0243494-0.0817393j 0.120139+0.0826746j -0.0800557-0.0480092j -0.0187683-0.134829j -0.0117354+0.00883793j 0.0670515+0.0154085j -0.0709985-0.0812355j 0.00758279+0.0171807j 0.020881-0.0124322j 0.038039+0.114728j -0.00558846+0.0506545j 0.120827+0.100351j -0.155361+0.120795j -0.0902027-0.0806328j 0.0172337-0.0672009j -0.0644019-0.0102539j 0.0332213+0.0655934j -0.0487823-0.0255259j -0.00926745-0.0285071j -0.0289677-0.0228063j 0.0202913-0.0551169j -0.00414622-0.0745988j -0.0318871-0.044009j -0.00314372+0.101612j 0.010493+0.0475968j 0.029781+0.0350249j 0.043391+0.074619j 0.00877581+0.0265374j 0.0217069+0.0127099j 0.0171986+0.0956085j 0.074923+0.0694102j 0.0299481-0.03145j 0.0206112+0.0190706j 0.018199+0.0275603j -0.0254001+0.0738289j -0.00298338-0.0282753j 0.0561837+0.0864971j 0.0319369+0.0431859j 0.0488429+0.0414814j -0.0177911-0.0166156j 0.00309598+0.0131376j 0.0117996+0.0207566j 0.00598457+0.0159956j 0.0162365-0.00179872j -0.0112341-0.023112j 0.0152207+0.000503188j -0.024511-0.0171722j 0.00748657-0.0492252j -0.0075641+0.0304867j 0.0166645-0.048708j 0.00460372-0.0646738j 0.012519+0.0253153j -0.0451404+0.0456541j -0.0339329+0.0853694j 0.00575703-0.0212802j 0.00793406+0.003307j -0.00328391+0.0217097j 0.0860156+0.0114852j -0.0582969+0.0239833j -0.0959565-0.119775j 0.034379-0.0397735j -0.00421894+0.0589404j 0.00655005+0.0388374j 0.00506635+0.0546951j -0.0147823-0.0676073j -0.0727352+0.00599399j 0.0254541+0.0315209j -0.0161492+0.0422421j 0.0981007-0.106301j -0.101345-0.0744203j 
0.00590138-0.0816342j 0.0126023+0.0638725j -0.000572298-0.0163862j -0.0352879+0.0690896j 0.00439619-0.0187761j -0.119315-0.0314608j -0.132512-1.52656e-16j 0.0720635+0.117252j 0.112729-0.0891329j 0.0385911+0.122086j -0.0370601-0.0879529j 0.0352072-0.0415662j -0.138728+0.108498j -0.0780733+0.0544221j -0.0655943-0.156717j 0.0925473-0.103956j -0.0332316+0.0411916j 0.110101+0.0664589j 0.20592+0.0988487j 0.0726604-0.0611558j 0.0972345+0.0532062j -0.0233075-0.169482j -0.00444781-0.0339303j 0.0121145+0.00779198j -0.0132109+0.050414j 0.00669146-0.0295338j -0.0396604+0.113532j -0.117419+0.0619134j 0.0291808-0.0482932j 0.10411-0.0285606j 0.0335169+0.0112548j -0.125707-0.01435j -0.0520276+0.0262713j -0.0162382-0.0113442j 0.0558957+0.0151831j -0.0136111-0.00488171j 0.0806259+0.102657j -0.00550921-0.0715974j -0.0140762-0.0444659j 0.000862064+0.0720046j -0.00293186-0.0235106j 0.00647244-0.0276546j -0.0140289+0.00927983j -0.00456752-0.0264437j 0.00290955+0.056503j -0.033721-0.0674267j -0.0146904-0.0794535j -0.029109-0.0200516j 0.0340806+0.00522019j 0.00232352-0.0188603j 0.0172448-0.0261318j 0.0354863-0.0400903j -0.0137001+0.0377018j -0.0576525+0.0763333j 0.0154451+0.0446867j -0.0146141-0.0231941j 0.0329524-0.00340198j 0.0208305+0.0181403j 0.00324871-0.00531885j 0.0110752-0.0217416j -0.00726471-0.00434603j 0.00847032+0.0111195j 0.026363-0.000460645j 0.0119876+0.00432798j -0.000589604-0.0308518j 0.0155481+0.0176059j 0.0338428-0.0267642j -0.00497285+0.00667996j 0.0133143+0.0282914j 0.00909513+0.0170297j 0.0243509-0.0546183j -0.01837-0.00170266j 0.0179242+0.00372443j 0.0500626-0.00565448j -0.00735787+0.0388701j -0.0255543+0.0612503j -0.0214917+0.00156747j 0.00975909+0.000579193j 0.0272072-0.0565657j 0.0038916+0.0166733j 0.0132498-0.0422731j -0.0459726+0.00492906j -0.0250275-0.0092229j 0.033516-0.0112715j -0.0157242-0.0213819j -0.0110472-0.00980633j 0.0166215+0.0548761j -0.00834384+0.0302216j 0.0463454-0.0049153j 0.00940001+0.0486626j -0.0108563-0.0343384j -0.0200943-6.69059e-05j 0.019446-0.0268333j 0.00627872+0.0339985j 0.000342473-0.0466407j 
0.0372514-0.0829374j -0.0554991+0.0250327j 0.0451173+0.0479606j 0.0553068+0.112417j -0.0631942+0.0246306j -0.0262617+0.00626112j 0.0720635-0.117252j -0.131559+1.09218e-14j -0.142677-0.0706713j 0.0778651-0.0021098j 0.0406769+0.135704j 0.128385-0.118652j 0.0581686+0.0325777j 0.0885791+0.0104469j 0.0792788-0.0988956j 0.0115179+0.118542j 0.0199541-0.186651j 0.0550125+0.00896651j -0.084632-0.20663j 0.074189+0.0703651j 0.0626857-0.060005j 0.0300904-0.0179654j -0.085502-0.00865565j -0.0076963-0.0155622j 0.00629593+0.0942283j 0.0277561+0.0354404j 0.0220178+0.0109897j 0.148476-0.0811444j 0.0305485+0.0378439j 0.0621792-0.119608j -0.0701517-0.0460062j -0.0357687-0.0581986j -0.0473073-0.0217306j 0.0131184-0.0191488j 0.13834+0.00598394j -0.0282354+0.0135354j 0.0542433-0.0255424j 0.0810066-7.19136e-05j -0.00536535-0.00898683j -0.0184064+0.0638849j -0.0091072+0.0361099j 0.0138784+0.0357751j 0.0149342+0.000814979j 0.0152277+0.00563541j 0.0029014+0.0442261j -0.0253317-0.0642548j 0.0161512-0.0804135j 0.00374512-0.0220779j 0.0229045+0.0617615j -0.0187637+0.0408052j 0.0185424+0.0159282j 0.00252494-0.0430377j -0.016889+0.0382702j -0.0431806+0.0986245j -0.0323522+0.0464468j -0.0294479-0.00894067j -0.0157804+0.00249869j -0.0326099+0.00459309j -0.000802123+0.0200707j 0.0187042-0.0378206j 0.0218679-0.0514807j 0.00298977+7.86883e-05j 0.014837-0.0120846j -0.00137228+0.000197736j 0.00917693-0.0254892j -0.00935542+0.0378914j 0.00716604-0.00604411j 0.029102-0.0373178j -0.0276609+0.0251229j 0.00166135+0.00491714j 0.0220119-0.0190118j 0.00465523+0.00117902j -0.0229556+0.0727589j 0.0137625+0.0153813j -0.0586814+0.00777644j -0.0277094+0.0310906j -0.0125301+0.0325374j -0.00627451-0.0156271j 0.0376702+0.00426794j -0.0348975-0.0122497j -0.00148067+0.0226698j 0.0335976-0.0582604j -0.0391009+0.00332953j -0.0369474+0.0259205j 0.0511466+0.0325562j -0.00392317+0.0021641j -0.0132922-0.0635074j 0.0173296-0.0157411j 0.050084-0.0238219j -0.00982592-0.0127058j 0.0199497-0.0456747j -0.00158508+0.00821152j 0.0322223-0.0159416j 0.00655088+0.0132556j -0.00978531-0.0152696j 
0.014141+0.020441j 0.0258304-0.0103214j -0.0725295+0.097912j 0.216135-0.219667j 0.0290492-0.145137j 0.0777703-0.0393303j 0.112729+0.0891329j -0.142677+0.0706713j 0.113072+1.14908e-14j 0.12183-0.0741466j 0.02922-0.0363025j 0.0235955+0.0970681j 0.0977584+0.0642583j 0.0545081+0.111289j -0.0232069-0.197955j -0.0555942+0.133315j -0.134439+0.0880466j 0.200329-0.0115702j 0.00372274+0.0930402j 0.0357007+0.115414j -0.0388927+0.0361513j -0.00114998+0.0164879j -0.0323474-0.0277466j 0.00411855+0.0764291j 0.113138-0.145531j -0.0174623+0.103101j 0.0191767+0.0213822j 0.0455022+0.00644103j -0.0272342-0.040918j -0.00840948+0.0885022j -0.0290795-0.0223927j 0.0879564-0.0290388j -0.0213044+0.0306705j 0.0223247-0.0242974j -0.0451698-0.0142084j -0.00485318+0.0308478j -0.0235622+0.0245678j 0.00877686-0.0254177j -0.00407133+0.0339166j -0.0132156-0.0260672j 0.0164192+0.0148899j 0.00644359-0.0186995j 0.00630849+0.0168286j 0.0388374-0.00878383j -0.0111363-0.03209j 0.0431214-0.00161411j 0.0197017+0.0302122j -0.0308485+0.0123059j 0.00518978-0.0579608j -0.0115351-0.0512253j 0.0124065-0.0589937j 0.0100345-0.0111138j -0.0115129-0.0188065j -0.0147653-0.0167024j 0.0275954-0.0164597j -0.0395339-0.000542031j -0.0319249+0.0342601j -0.0102135+0.054006j 0.00860158-0.0336429j -0.00491608+0.0230129j -0.011351+0.0191227j -0.0204217-0.0534991j 0.000645087+0.0135293j 0.00937598-0.0107852j 0.0316192+0.0104672j 0.000154519-0.00231693j 0.00787991-0.0107251j -0.0202548+0.026139j 0.00856268-0.013619j -0.00662546+0.0243274j 0.0217408-0.00343542j 0.00549769+0.0122822j 0.00130018-0.0221213j -0.0102736+0.0330489j -0.0249431-0.0127424j 0.0229849+0.00773489j 0.0339596-0.0131388j 0.00557852+0.0207266j 0.0187485-0.0248933j 0.0398218+0.0026164j 0.0341449+0.0348845j 0.00404842-0.0165374j -0.0168716+0.0247881j 0.059204+0.0323984j 0.00564215+0.0285869j 0.0258414+0.0234834j -0.0430394+0.0262384j 0.00482946-0.00952622j -0.020452+0.0081282j 0.0043697+0.0146741j -0.00322542-0.0334708j -0.0118546-0.0292886j -2.48283e-05+0.00316739j 0.0148109+0.0296676j 0.0645749-0.00688227j 
0.00545869-0.0121416j 0.00872632+0.00254913j 0.032113+0.0788776j -0.068584+0.0193302j -0.0338892+0.00124628j 0.0252814+0.0723828j 0.0385911-0.122086j 0.0778651+0.0021098j 0.12183+0.0741466j -0.105165-1.4537e-15j 0.077045+0.118552j -0.00874509-0.0918005j -0.0249884+0.0121149j 0.0820081+0.0215809j -0.158892+0.0960888j 0.149211-0.156777j 0.0368815-0.0876606j 0.0548683-0.12537j 0.00909615-0.130029j 0.145424-0.0644746j -0.0142152-0.0729676j 0.0374466+0.0435344j -0.0374311+0.0241706j 0.00404305-0.0415641j -0.0434029-0.135919j -0.0280435-0.024944j -0.0844301+0.0162203j -0.0220028+0.00112316j -0.0360065-0.0155423j -0.00859748-0.16555j -0.00253068+0.0532866j -0.0265793-0.00824236j 0.000435372-0.00304266j -0.00804766-0.0206142j 0.0221134+0.0415882j 0.0173415-0.0164035j 0.0212711+0.00171558j 0.0534841+0.0119468j 0.038098+0.0155723j -0.0194893+0.00839698j 0.0256139-0.0578084j -0.00649566-0.00291143j 0.0198898-0.0210457j -0.00893198-0.0331058j 0.044776+0.0146388j -0.0723422+0.0217793j -0.0354701-0.0245061j 0.0596595-0.0176203j 0.00164726-0.00273221j -0.00988375+0.0545205j -0.0535744-0.0189428j -0.0114484+0.000473527j -0.0129897-0.00900771j 0.0591955+0.0147147j 0.00260965-0.00217823j -0.0135-0.00643707j 0.0150246+0.0308759j 0.0317758-0.0129058j 0.00469213+0.000566743j 0.0420153-0.0228389j 0.0140042+0.0153433j -0.0239674+0.0489158j -0.0284576-0.0251665j 0.0188254+0.0157439j -0.0158215+0.0163576j 0.00654171+0.0246424j 0.023118-0.0172193j 0.00773245-0.0255817j -0.0129301+0.00347845j 0.000321946-0.0105688j -0.00357917-0.0136864j 0.0167206-0.029539j 0.00954088-0.0165854j 0.0124149-0.0143888j -0.00672084-0.00487759j -0.00206701+0.0127641j 0.0167549+0.00661859j 0.0245703+0.00739374j 0.0249172+0.00483198j -0.0212287-0.00664103j -0.00135091-0.0252291j -0.0257308+0.0109198j -0.016865-0.00186076j 0.0284003+0.0132212j 0.0119586+0.00210548j 0.0220538-0.057538j -0.013313+0.0561356j -6.11e-05-0.0147737j -0.00662004-0.010841j -0.0290021+0.00450315j 0.0134872-0.00715905j -0.0419336+0.0181198j -0.00172452+0.043227j -0.0655017-0.0346405j 0.00246428+0.0392521j 
0.0200279-0.0406757j 0.0264498-0.0261117j -0.00389411-0.0199367j 0.0850841-0.304957j 0.0173512+0.00649282j -0.0702121+0.0362433j -0.0370601+0.0879529j 0.0406769-0.135704j 0.02922+0.0363025j 0.077045-0.118552j -0.104949-4.98733e-16j -0.00359933+0.0761552j -0.0163075+0.149271j 0.179121-0.0240642j 0.00654103-0.104901j -0.225538+0.138639j -0.168059+0.0410285j 0.057523-0.0519528j 0.0664846+0.092486j -0.0477982+0.072781j 0.0262577+0.0481938j -0.0351628+0.0614333j 0.00590025-0.0499123j 0.0459956-0.124149j -0.108185-0.11422j 0.0184939-0.0104935j -0.0770039-0.035877j 0.0863094-0.0786378j -0.0796218+0.0304684j -0.00531608-0.162169j 0.0225712+0.0303567j -0.0278799+0.0291434j 0.0365308-0.0194982j -0.0311611+0.0232695j 0.0264264+0.000684239j 0.0337457-0.0300714j 0.0463-0.0347793j 0.0425504-0.0242513j 0.0531713+0.0110291j -0.0046849+0.00521689j 0.0293111-0.0654847j 0.00291737+0.0095096j -0.00707172-0.0212977j -0.03805-0.0371903j 0.0528364+0.0195769j -0.059648-0.0113486j -0.0504018-0.0606913j 0.0583896-0.0354665j -0.00387327-0.0349056j -0.0223394+0.0470696j -0.0716859-0.0183434j 0.000183121-0.0161312j 0.0277191+0.0113151j 0.0071081+0.0194852j -0.0229552-0.0173473j -0.0177956+0.0107128j 0.0300975+0.008737j -0.00388679-0.0107183j 0.0324689-0.0219935j 0.00115215-0.0256755j 0.0120242+0.0270067j -0.0115696+0.0368893j -0.00427045-0.0348506j 0.00678113+0.00541809j -0.0245514+0.0132297j -0.0093959-0.00733758j -0.000138295-0.0405509j 0.00629264+0.0254882j 0.0198142-0.00067499j 0.00776932-0.0342041j -0.0161939-0.00546958j 0.0165516-0.000219833j -0.0219122+0.00887755j 0.0136518-0.0123655j -0.013446+0.0295219j 0.00720609-0.00489541j 0.00132575+0.015992j 0.0406845-0.0182061j -0.0167145-0.0195716j 0.000133635-0.00438722j -0.00306822-0.000437648j -0.0243157+0.0189013j -0.0407193+0.0141403j 0.0298005+0.0140537j 0.00293187-0.0242141j -0.00122234-0.0409731j 0.025047+0.0407313j 0.00649773-0.000373558j -0.00747155-0.0167706j 0.00469609-0.0113172j -0.0195808-0.00342356j -0.0245523+0.0132649j -0.00442412+0.00313845j -0.0607001-0.0275483j -0.00940511+0.0283066j 
