2.29623e-14-0.290315j -1.07262e-14+0.10125j 9.88575e-16-0.0408675j 1.23116e-14-0.129651j -6.0114e-15-0.0831509j -2.33886e-15+0.11794j 9.28816e-15-0.166747j 4.17509e-16-0.0718207j -5.81607e-15+0.218349j -1.91e-14+0.247285j -3.98189e-15+0.19114j -1.59611e-14+0.109026j 4.61029e-15+0.0807701j 1.26793e-16-0.13117j 1.97939e-14-0.247236j 2.08344e-14-0.0335633j -2.25882e-14-0.104136j -9.66984e-15-0.0194047j -7.91669e-12-0.0712768j 1.32598e-14+0.0833029j 1.38695e-14-0.120852j 9.04999e-15+0.139873j -1.02326e-13+0.0670301j 2.09478e-14+0.0811178j 1.09756e-14-0.0369821j -4.36516e-15-0.0615876j 2.25782e-14-0.0314309j -2.46969e-14+0.196025j -3.12544e-14-0.00446354j 1.98696e-14-0.0324831j 3.98382e-15-0.039842j -5.35133e-15+0.0330879j -5.58271e-15+0.0531502j 7.84834e-16+0.0429062j -1.68819e-15-0.104476j 1.96926e-15+0.0367593j 1.35555e-15+0.00683281j 4.16661e-15-0.0281014j -3.65854e-15+0.0204438j 2.89293e-14+0.0363187j 8.07544e-15+0.0880715j 1.34753e-14-0.0463093j -2.76973e-15+0.0446279j 1.46031e-15+0.00547655j 5.68062e-15-0.0721049j -1.68704e-15-0.000533547j -3.59018e-15+0.0457986j -8.27346e-15+0.0822878j 2.4086e-15-0.0370441j -6.81018e-15+0.129496j 6.29479e-15-0.0561512j 1.13531e-15-0.0170653j 9.77968e-15-0.143179j -1.09245e-15-0.054385j -3.47663e-14-0.0318519j -1.89126e-15-0.171533j 
-8.0938e-15+0.0814582j -3.13265e-14+0.288613j -5.18889e-16-0.0193268j -9.08103e-15+0.0859367j 3.6376e-15-0.291404j 5.68278e-16+0.092741j -4.04536e-15-0.0380977j -1.15079e-15-0.0637839j 3.44795e-15+0.242308j 1.04681e-14-0.277145j -3.33342e-15+0.189132j 1.3677e-14-0.119661j 4.70768e-16+0.107986j -7.377e-15-0.0390804j -5.6479e-15+0.0822767j 2.78244e-14-0.108474j -6.54775e-15+0.0117312j 1.2745e-14+0.267968j 7.69312e-12+0.0688716j 5.3153e-16+0.175382j -1.35212e-15+0.0211732j 1.25596e-15-0.00766053j 5.37997e-15-0.00265369j -3.43905e-15-0.0513197j 3.25373e-15+0.0396688j -3.11592e-15-0.0281557j -7.27926e-15+0.0203979j 9.16448e-15-0.0094325j 3.15984e-15+0.000361596j -7.15908e-15+0.00769373j -1.62434e-15+0.020038j -3.55672e-15+0.0335054j -3.30233e-15+0.0415052j 1.21136e-14+0.0917154j -1.92327e-15-0.0940602j 5.11422e-15+0.144315j -5.19265e-15+0.0213211j 2.18097e-14-0.0272675j 1.83486e-14-0.106343j 2.34346e-14+0.0434254j -7.05885e-15-0.0264354j -1.79434e-14-0.0013037j 2.56569e-15-0.0304526j 2.98258e-16+0.0208857j -2.98824e-15+0.0690036j 1.15044e-15-0.0712998j 2.58123e-15-0.0327894j 5.68743e-15-0.0836013j -2.31783e-15-0.00726144j 4.72397e-15+0.0142302j -4.99306e-15+0.0910499j -7.42401e-16+0.00124578j -5.67736e-15+0.000398973j 1.86136e-15-0.125047j 1.01093e-13+0.180063j 1.82434e-14-0.0474014j 
2.83243e-15-0.0228205j -1.06327e-14+0.0994598j -4.30447e-15+0.326813j 9.84467e-16-0.152235j -5.5021e-15+0.0326421j 1.1329e-15-0.198809j -3.09087e-15+0.164047j 4.73371e-15-0.364203j 3.25586e-15-0.115914j 2.22099e-15-0.159487j 2.68031e-16-0.0478704j 4.96764e-16-0.00465309j 4.01865e-16+0.0931998j -1.42038e-16-0.0244658j 2.22877e-14+0.298787j 5.88617e-14-0.247722j 4.98271e-14+0.278917j -1.68968e-14-0.188093j -3.88297e-12-0.0346543j 5.31225e-15-0.100499j 7.40143e-15+0.213485j 6.89069e-15-0.00556015j 5.99994e-14-0.0182683j 4.42345e-14+0.155433j 2.19575e-14-0.019042j -2.01964e-14-0.147215j -1.76004e-14+0.0254951j 1.08136e-14+0.0513595j -1.68655e-13-0.0593247j -3.95894e-15+0.0357508j 6.03044e-15+0.0588796j -4.70463e-15+0.0361942j -1.8391e-14+0.0957661j -1.26561e-14+0.0256572j -1.0014e-14-0.0757461j -4.38762e-15-0.0873072j 5.32336e-15-0.107809j 3.70709e-15+0.0641541j 5.3795e-15-0.102709j -1.25997e-14-0.0483892j -2.47976e-14+0.154638j -1.76744e-14-0.188275j -8.93625e-16+0.177816j 5.61246e-15-0.0862839j 1.92407e-15+0.0627185j 1.40793e-16-0.0651961j 7.50252e-16+0.00599523j -2.33821e-16+0.174769j 1.93292e-15+0.114666j -1.36013e-15+0.109855j 1.08942e-15+0.0130049j 9.43066e-16+0.166692j -9.91502e-16-0.134804j -1.05094e-15-0.0166338j 7.12687e-14+0.127401j 1.6865e-14-0.0621341j 
4.91383e-16+0.0603117j -2.10283e-15+0.0411815j 1.03809e-15+0.10986j 8.10817e-15-0.2878j 5.20134e-15-0.0672581j -2.53298e-15+0.0812847j 1.38116e-15-0.00279082j -7.08512e-15+0.223656j -5.97434e-15+0.242259j -4.67256e-15+0.236252j -9.12354e-15-0.157933j 3.52586e-15-0.0814746j 5.14896e-16+0.0584895j -3.29359e-15+0.205505j -4.62346e-16-0.236842j -2.1e-14+0.170691j 2.45875e-14+0.156208j -3.07581e-14-0.386546j 1.98577e-11+0.179275j 7.40104e-14+0.390998j 1.19958e-14-0.0174562j 8.67402e-15+0.0888269j -3.42384e-13+0.246312j -7.93023e-15-0.123693j 1.30947e-14+0.137239j -6.50379e-15+0.0270891j -2.02207e-14-0.00446694j 9.44337e-15-0.293189j -1.05365e-13-0.0401127j -6.82714e-15-0.00430491j 4.38617e-15+0.0786694j 4.97406e-15+0.0144734j 5.23171e-15+0.0475118j 3.45392e-15+0.010263j -7.93599e-15-0.0850399j 8.91468e-16-0.0286904j -8.34175e-16+0.0107299j 1.33403e-14-0.0464184j 8.38567e-16+0.0249015j -4.77112e-14-0.0734637j -1.60772e-14-0.0951154j -1.27747e-14+0.0445735j 3.08597e-15-0.0401309j -1.91568e-15+0.0400336j -1.01134e-15+0.0688728j 6.08525e-15-0.0343171j -1.31322e-15-0.0332176j 2.3471e-15+0.0898544j 2.85939e-15+0.0196153j 3.40603e-15-0.0136638j 1.79566e-15+0.0104536j -1.41626e-15+0.177257j 2.07636e-15-0.140921j -3.55847e-16-0.0202127j 8.36809e-14+0.115297j 1.54717e-14+0.0762149j 
5.78912e-16+0.000452769j 1.24012e-14-0.0356251j -1.48418e-15+0.0086481j -1.15498e-15+0.0195092j 1.93666e-14-0.0311146j -5.33809e-14+0.23491j -3.00192e-14+0.0944976j 3.10437e-14-0.121735j -5.16737e-14+0.244319j 2.00722e-14-0.115607j -1.53932e-14+0.00546362j -7.06399e-14+0.288785j 5.39796e-14-0.246709j 1.28597e-14-0.0498041j 8.50507e-15+0.0972555j 1.64048e-13-0.339222j -9.12148e-15+0.173298j 9.68158e-15-0.0462138j 1.05012e-11+0.094695j -2.68567e-14+0.14966j 3.54313e-14-0.183653j -1.31628e-14+0.0804809j 1.72494e-13-0.109278j -2.38401e-14-0.000944445j -2.72658e-14+0.0400299j -1.46721e-14+0.080722j -3.98664e-14-0.0192199j -3.15401e-16+0.043894j -8.83652e-13-0.341177j 1.16983e-13-0.229468j 6.31664e-14-0.222458j 7.60154e-14-0.287241j 1.09219e-13-0.256673j 1.46873e-15+0.0407353j 3.04152e-14-0.156609j 2.24109e-14-0.103363j -3.08265e-14+0.0877307j -2.47645e-14+0.0823219j 1.1914e-15-0.0244407j 7.29322e-14+0.128804j -5.35131e-14-0.0518694j -6.92954e-14-0.116232j -3.42859e-14+0.138046j -5.59798e-14+0.177201j -6.80607e-15+0.0390639j 5.64834e-15+0.0173707j 2.90233e-14-0.0943281j -1.72908e-14+0.0441817j 6.61416e-15-0.00712512j 9.64488e-15-0.00771772j -1.89363e-14+0.0890904j -9.12297e-15+0.0265192j -3.77143e-15+0.0381737j -1.59411e-14+0.0682588j -1.23354e-14-0.0506023j -1.42381e-14+0.0368465j 
6.58122e-16+0.0110468j -5.84023e-15+0.028245j -7.95254e-16+0.028937j -3.43387e-15+0.0827045j -1.54227e-14+0.304953j 1.23912e-14-0.0491848j 1.49642e-14-0.215525j 2.96736e-15-0.0101392j 2.31373e-14-0.0252464j -2.31989e-17-0.0582104j 2.46638e-14-0.365723j 2.60817e-15+0.0133695j -1.18749e-14+0.145146j -2.09111e-15+0.134651j 1.11061e-14-0.117591j 4.11232e-14-0.132357j 5.16031e-15-0.0338983j 7.99688e-14-0.0826602j 4.9905e-11+0.449217j -8.23726e-15-0.13658j 3.45349e-15-0.0397269j -1.17428e-14-0.0336459j -5.73373e-13+0.386097j 3.22355e-15-0.0337564j -1.56452e-15-0.322567j 1.73095e-14+0.186013j -6.0529e-14+0.15474j 2.45246e-14-0.0624128j -4.51194e-13-0.176466j 2.85273e-14-0.0954628j -9.8909e-15+0.119154j -1.15266e-14-0.0339744j 2.27788e-14-0.173412j 4.56362e-14+0.127764j 6.8954e-15+0.187062j 1.61631e-15+0.121192j 1.2229e-14-0.147512j 1.41883e-14+0.0933946j 1.22987e-14-0.184129j 6.10981e-14+0.0959089j -3.37653e-14-0.0235728j -4.75177e-14-0.0583517j 1.46952e-15+0.00727981j 2.3724e-14-0.216418j 9.77308e-16-0.00743575j -1.22818e-14+0.0800075j -1.19806e-14+0.15885j 3.11288e-15-0.0661376j -5.64038e-15+0.0704561j -1.03057e-14+0.200514j -1.42711e-16-0.00113895j 5.88121e-15-0.124919j -6.82748e-16+0.0912623j 5.30325e-15-0.0082963j 3.34231e-14+0.0682645j 1.12565e-14-0.0247568j 
-2.01657e-15+0.0403899j -3.38802e-15+0.0248832j -3.43676e-15+0.0334677j 1.06256e-14-0.185636j -1.13709e-15-0.032459j 3.50094e-15-0.0234393j 1.65547e-14-0.196396j -6.22793e-16-0.0158876j 3.04211e-16-0.235115j -4.03562e-15+0.0692279j -7.96231e-15+0.0243226j -1.40484e-14+0.0878046j 9.04258e-15-0.199395j -1.75901e-14+0.181526j 1.78394e-14-0.277928j 1.72332e-14-0.00443785j -3.68028e-14-0.196317j 1.2925e-14+0.168865j 3.28653e-12+0.0293027j -2.41674e-14+0.0236463j -7.69559e-15+0.180468j 2.49893e-14+0.126111j 3.80143e-13-0.258947j 1.55739e-14+0.0878219j 3.93316e-15+0.244759j -1.50871e-14-0.00702512j 1.44212e-15-0.0429581j -1.18553e-14+0.207196j -3.02359e-13-0.100537j 3.5667e-14-0.0329105j -7.23642e-15+0.210753j 4.30619e-15+0.0939942j 1.02953e-13-0.467401j 1.43917e-14-0.0334008j 1.40083e-14+0.11784j 4.143e-15-0.0808438j 2.31209e-14-0.124719j 3.89193e-15-0.0956413j -1.88682e-15+0.086705j -1.21095e-13-0.195422j 1.66944e-14-0.141868j 2.79438e-14+0.179672j 8.07774e-15-0.04395j 2.10422e-15-0.0795495j -1.6273e-16+0.0199935j 1.38268e-14-0.0733577j 6.44399e-16+0.0493082j 1.68283e-15-0.0141139j 2.93045e-17+0.101842j -2.38548e-15+0.0250098j 6.02144e-15-0.0576719j -8.02793e-16+0.0810386j 7.15979e-15-0.166624j 2.7616e-15-0.0803841j 6.77227e-14+0.0979924j 1.1975e-14+0.0817896j 
9.52096e-16+0.00458649j 1.74387e-16+0.0110099j 2.36208e-15+0.00389722j -7.76281e-15-0.0871529j -5.71436e-15-0.0547287j -1.71158e-15+0.0655318j -3.66928e-15+0.0464345j 5.33016e-16+0.022586j 6.74125e-16-0.170445j 6.48105e-15-0.229128j 7.96447e-15-0.298501j 6.95694e-15-0.0782506j -7.08241e-15+0.0101835j 6.98521e-15-0.178055j 8.00896e-15-0.106484j 4.19229e-14-0.118204j -1.81344e-14+0.0331496j 1.29887e-14-0.0412721j 2.10754e-12+0.0190383j -1.01467e-14-0.151923j -1.58117e-14-0.154555j -2.84143e-14-0.109136j 3.26909e-13-0.242877j 7.78408e-16+0.0641152j -6.03716e-15-0.25756j -2.59642e-14-0.215456j 7.02179e-14-0.343584j -7.84869e-16-0.128329j -7.09126e-15+0.00939191j -1.14751e-13+0.348739j -1.57896e-14-0.00399885j -8.46408e-15-0.166296j -4.02951e-14+0.0318079j 1.59647e-14+0.163859j 2.19911e-14+0.094667j 1.45067e-14+0.113856j -6.54475e-15+0.00291662j 1.45088e-14-0.0618552j -4.95684e-15+0.0528812j 1.24171e-13+0.205344j -1.49273e-13-0.380998j -1.85529e-13-0.0668658j -2.45725e-15+0.10232j -6.40203e-15+0.0141115j 8.8545e-16+0.114883j 5.08954e-15+0.138203j -4.62517e-15+0.134485j -5.68443e-15+0.0399576j 3.39798e-15-0.0574242j -1.15773e-15+0.020496j 3.97057e-16+0.0121946j 7.88163e-15+0.0735021j -5.2076e-15-0.133216j -2.31927e-15-0.0337618j 1.20182e-14+0.00923827j 5.20946e-15+0.0046594j 
1.84083e-15+0.0203684j 9.1136e-16+0.0101375j 2.96408e-15+0.0266612j -5.58719e-15-0.0194008j -2.99118e-16+0.0953104j 5.97541e-15+0.0363312j 5.22021e-15-0.0612499j -6.82945e-15-0.0339077j -1.88575e-14-0.117945j 1.84613e-14+0.142641j -2.93241e-14-0.206253j 1.94782e-14+0.166591j -1.26451e-14+0.02409j -1.55746e-14-0.166666j -2.39393e-14+0.159566j -5.63558e-14+0.246707j -7.71862e-14-0.26144j 1.26608e-14+0.124079j -1.00071e-11-0.0901407j 3.25472e-15+0.01324j -2.34179e-14-0.0235088j 1.32952e-14+0.0123788j 3.55756e-13-0.267596j 6.84101e-14+0.128963j 5.97751e-14+0.269448j -7.07748e-14-0.298741j -7.68239e-15+0.0345228j -5.6949e-14-0.169736j 5.31911e-13+0.178926j 2.59585e-14-0.292904j -4.83941e-14-0.350782j 6.63612e-14+0.083762j 3.07423e-14+0.00710487j -8.64977e-14-0.503914j 3.35133e-14+0.0745237j 1.80253e-14+0.187316j -7.98566e-15-0.0819624j 1.65411e-14-0.177825j 8.89305e-15-0.050534j -7.9837e-14-0.105259j -7.6135e-14-0.141986j -3.72908e-14+0.000200676j 3.94782e-14+0.294327j 8.42268e-15-0.117113j -1.13853e-14-0.026018j 3.56203e-14+0.226737j -1.30828e-14-0.051651j -1.02448e-14-0.109891j 9.04559e-15+0.0656488j 2.52224e-15+0.122734j 6.89289e-15+0.0935415j 1.37065e-14-0.00520773j -5.90723e-15-0.00670956j -4.84283e-15-0.0358058j 5.61377e-14+0.0719842j 1.03214e-14+0.021428j 
1.2291e-14-0.0221451j 2.72396e-16+0.0015981j 1.33816e-14-0.0197847j -2.23142e-14+0.0357942j 6.98909e-14-0.12594j 1.698e-14-0.0329767j -1.12329e-13+0.211372j -9.15235e-15+0.0176312j -1.48629e-14+0.0172511j -1.94396e-14+0.0472815j 5.35253e-14-0.126912j 1.82835e-14-0.0248991j 1.06309e-13-0.200384j -3.14016e-14+0.0572227j 6.15882e-14-0.14649j -6.61105e-14+0.107658j 7.98083e-14-0.26213j 6.6899e-14-0.0757128j 1.71747e-11+0.155358j -1.94743e-14+0.0668499j 6.96503e-14-0.129145j 2.08684e-14-0.0674497j -3.98685e-13+0.211047j -3.49826e-14+0.225918j 1.1163e-14+0.0633377j -4.60884e-14+0.0236279j -1.864e-13+0.247172j 5.53572e-14-0.0955454j 9.18019e-14+0.00494337j 1.92439e-14-0.0419153j -4.7804e-14+0.0499971j -2.66726e-13+0.481444j 5.26131e-14-0.116576j -1.73981e-13+0.36566j -6.6972e-14+0.203414j -1.82971e-14+0.121928j 1.56036e-13-0.286748j -5.56891e-14+0.0809521j -1.84731e-14-0.0117836j -2.26558e-14-0.0443521j 5.13157e-14+0.0269258j -2.00215e-15+0.187077j -7.50402e-14+0.179482j -2.11771e-13+0.377524j 4.28897e-14-0.085994j -2.49399e-14+0.0520962j 7.54002e-14-0.151699j -1.38658e-14+0.0202626j 4.60733e-14-0.0871545j 8.30222e-14-0.147147j -7.1219e-16+0.0068538j -5.97219e-14+0.112661j 1.3514e-14-0.0279173j -1.75879e-15+0.000235755j -1.35027e-14-0.0561247j 3.15757e-14-0.0805424j 
-3.62054e-15-0.00836353j -8.51573e-16-0.000709992j -1.83268e-15-0.0234688j 2.36301e-14+0.0648325j 1.2848e-14+0.000620625j 4.38285e-15-0.0821495j -1.17553e-17+0.00404908j -3.5305e-16-0.000858746j 3.48794e-14+0.00700093j -4.24484e-14-0.0639363j 2.56178e-14-0.0117994j -1.67576e-14-0.102087j 7.84105e-15-0.100014j 2.74749e-15+0.131188j -1.21959e-14-0.0231277j 2.81406e-14-0.0913273j 6.84482e-14+0.226444j 1.48194e-14+0.109387j -5.6554e-12-0.0509852j 5.51866e-14+0.12431j 5.18591e-15+0.016085j 4.29279e-14-0.0302787j 2.92215e-13-0.204358j 1.80636e-13+0.351825j -4.27927e-14-0.177238j 2.16547e-14+0.0233878j 2.56481e-14+0.170187j -3.53724e-14-0.00927922j 1.02645e-12+0.330424j 8.76458e-15-0.0707346j -2.71716e-14-0.117576j -8.86399e-15-0.138843j -8.02987e-15+0.032811j -2.77134e-14-0.186034j -2.5024e-14-0.0299427j -3.1533e-14-0.185837j 4.90032e-14+0.0800409j 4.67671e-14-0.362912j -5.77448e-15-0.226803j -7.014e-14-0.0128808j -2.10315e-13-0.197903j -1.9112e-13-0.284296j 1.53216e-14+0.1185j 4.32489e-14+0.1753j 4.06548e-15+0.000925132j -7.52697e-14-0.351112j 2.75102e-14+0.229395j 4.11961e-14-0.0910949j -1.49587e-14+0.0338659j 3.31475e-14-0.0414772j -1.01603e-15-0.117866j -4.39408e-14-0.097055j 2.9066e-14+0.0611833j 2.05166e-14-0.0181967j -4.02962e-14-0.0235644j -1.59467e-14-0.0574958j 
