0.0411901+0.0161512j -0.0312711+0.0297284j 0.0215809-0.0864127j -0.0521484-0.0355615j -0.0180361+0.0930035j -0.00373656+0.0438095j 0.000927674-0.0577484j 0.125959-0.0153827j -0.0477553+0.00643945j 0.0131553+0.0516651j -0.0241322-0.0270716j 0.0409643+0.0576333j 0.0050273-0.0812032j 0.00601275+0.059626j -0.0323921-0.00659178j -0.0454007-0.00768826j 0.0852543-0.0274673j -0.0839579+0.105864j -0.035971+0.0806503j -0.0337969+0.0451942j -0.0190618-0.0287925j -0.0331635+0.00427918j 0.0246586-0.00668779j -0.0705049-0.0372058j 0.00379019-0.105834j -0.0871557-0.105461j -0.00043075+0.0713483j 0.0190122+0.0187812j 0.0162407-0.00790098j 0.0229915-0.0687197j -0.0845002+0.116151j 0.0800774+0.0865324j 0.0889623-0.0413025j -0.144108-0.0789128j -0.0565462-0.0544548j 0.0027406+0.00954805j 0.0621734-0.00658537j 0.0556116-0.147569j -0.000127309+0.0800208j -0.0883016-0.106997j -0.0325214-0.00216412j 0.00706532+0.120565j -0.108218-0.11721j -0.0550612+0.130308j -0.00717336+0.0515639j 0.0230359+0.0119616j 0.18521-0.0694689j 0.262173+0.0351593j 0.0480094+0.00213408j 0.00647217+0.0950422j 0.0852593+0.112448j 0.000936299+0.031328j -0.126594-0.0323515j -0.0863602-0.0621622j -0.132072+0.0728842j 0.00914836-0.301608j 0.0942069+0.00746512j -0.0211524-0.0797917j 0.0517979-0.0125845j 0.0365356+0.00224682j -0.0973985-0.0406893j -0.0265178-0.040282j 0.0288746-0.00717521j -0.00585935-0.0619923j 0.0274582-0.0252216j 0.104734-0.00405507j -0.0288322+0.059134j 0.0112759+0.047726j 0.0449491-0.0361426j 
-0.0909279+0.0604119j -0.00482781-0.00600734j -0.0329058-0.0279684j -0.0112463-0.018091j 0.0742296-0.114997j 0.0503359-0.0679049j 0.000812358+0.02667j 0.0782951+0.0432642j -0.0693835+0.0567851j -0.0019514+0.150136j 0.00939675+0.0315758j -0.0614921-0.00615209j 0.0920924-0.0596282j 0.0609443-0.0774073j 0.0754533+0.0354846j 0.0130356-0.0494484j -0.0852266+0.0282271j 0.0105888+0.029048j 0.0394988-0.0476686j -0.129079+0.0296417j 0.0415201+0.0830053j 0.0237902-0.0154311j -0.0805732-0.013002j -0.134171+0.114828j -0.0464783-0.0505597j -0.0264669-0.0745763j 0.036077-0.0220925j 0.0360951-0.125431j 0.151981-0.095613j 0.0192649+0.0943642j -0.152461+0.0663957j -0.0344892+0.0239609j -0.0636811+0.0591233j 0.00928804+0.0584355j 0.024432-0.0183748j -0.053393-0.0229676j 0.0530411-0.0502871j -0.00487427+0.0826919j 0.0647172+0.0355999j -0.0039935-0.0894729j 0.0754851+0.0712062j -0.119233-0.0240842j 0.0256244+0.0741364j 0.0143903-0.0714949j 0.0126288+0.130681j 0.110432-0.00256481j -0.0839767-0.0480871j 0.0101236+0.00470134j -0.0363194-0.021269j 0.0735508+0.0896398j -0.0513206+0.215711j -0.203875-0.0664649j 0.0207611+0.0309442j -0.0338689-0.262521j -0.0126755+0.0270089j 0.0927315+0.0454936j -0.208715+0.133271j -0.0346227-0.000779498j 0.0166701+0.0278693j -0.0386482+0.0216314j -0.032211+0.0119133j -0.0475359-0.00610013j 0.0176207+0.056816j 0.0223478-0.0188126j -0.0469753-0.0489513j -0.00523744+0.0738498j 0.0145772-0.0189985j -0.0563007+0.0274012j 0.0021685+0.0179079j 
0.0504532-0.0532939j -0.0233383+0.0137664j 0.00966025+0.0689392j 0.0259019+0.0648377j 0.00857874-0.196445j -0.0792035+0.010275j 0.100531+0.0476014j -0.293527+0.0617732j 0.0869589-0.0567198j -0.125291-0.176726j -0.0165476-0.0895425j -0.0202931+0.0830142j 0.031288-0.00200974j -0.0542003+0.0127201j -0.0797979-0.0843423j -0.00674881-0.0287546j 0.0803724-0.0781938j -0.0811099-0.0568195j 0.0378227-0.0518847j 0.0246217-0.0865917j -0.088633-0.0868776j 0.101753+0.163165j 0.129365+0.110229j 0.0494151-0.117463j -0.025352-0.029916j 0.000282196+0.0540184j 0.0426309-0.101496j -0.0140045-0.0627805j 0.0119815+0.116568j 0.0537944-0.0769517j -0.0281996+0.0232254j 0.039772+0.0926855j 0.0560086-0.0443845j -0.0542959-0.0036961j 0.0186823-0.0248983j -0.0219651-0.00243846j 0.105852+0.0359982j -0.00999938-0.135208j 0.0655756+0.099682j -0.0395451-0.021873j 0.0268778+0.0731373j 0.0278076+0.0171894j -0.00482463+0.0428324j -0.0129455+0.04666j -0.142116+0.00317515j -0.0492745+0.107893j 0.109307+0.0177903j 0.000776192-0.00303039j -0.125071-0.074661j 0.00483916+0.0653657j -0.0214247+0.0295798j 0.0144915-0.0328162j -0.0320702-0.0248898j 0.0564423-0.0407667j -0.0364724+0.0285835j 0.0308671-0.0890311j -0.0424858-0.0130871j 0.0238207-0.0507237j 0.0291018+0.0145813j 0.00808784+0.00328729j -0.0559855-0.0143266j -0.0140993-0.0274689j 0.013+0.0377591j -0.00252908-0.0014374j -0.000119612-0.0255271j 0.0339868+0.015443j 0.0100833+0.00526336j -0.00660826+0.0191677j 0.00840051-0.00518081j 
0.0426513+0.0604605j -0.0294051-0.0183548j 0.0198541+0.0219577j 0.0227889+0.0327164j 0.102613-0.163734j 0.124248+0.0555492j -0.0388885+0.074516j 0.0263443+0.0350511j -0.0430858-0.146646j -0.0338331+0.0129151j -0.00568171-0.00531532j 0.0468403+0.117912j 0.046191+0.0584518j -0.0432503-0.00840348j -0.0636237-0.0412582j -0.0565753+0.015241j -0.15052-0.0172189j -0.021406+0.1501j -0.107197-0.0244527j -0.02151+0.0338088j 0.0253109-0.0371115j 0.086459-0.0506652j 0.0733357+0.114248j -0.099878+0.131822j 0.0747102+0.00106541j -0.123189-0.123938j -0.0457153-0.189448j -0.200115-0.167834j 0.028137+0.0722919j -0.0946352+0.04546j -0.0698436+0.0759999j 0.0641692+0.238438j 0.0464888+0.0573514j 0.0316031+0.187941j -0.0486058-0.0185988j 0.0137279-0.0522772j -0.0158456+0.0510884j -0.0337724-0.0585559j 0.0244204+0.0300484j 0.0528706+0.0567335j 0.0500342-0.023243j -0.0225857-0.0371259j 0.126183-0.00322347j 0.0030475+0.00850437j -0.0957197-0.207189j 0.0831327+0.0426515j 0.0201009+0.0105887j 0.0766532+0.00712029j -0.0615732-0.0666689j 0.0433754-0.0511428j 0.0665677-0.204909j -0.0488978+0.0411497j 0.0445456+0.0469923j -0.0786096+0.20875j -0.025084-0.0254443j 0.112528+0.119558j 0.0170079-0.0320458j -0.0544734-0.0418894j -0.0316558+0.022773j -0.00161263-0.0115778j 0.0161798-0.0156634j 0.0356402-0.00379865j -0.0101374-0.0030097j -0.0132427+0.0166528j 0.0214861+0.030169j -0.00571355-0.00914293j -0.0191464+0.000901358j -0.00235425-0.0127689j 0.00833136-0.000176125j 
-0.0587771+0.0523768j -0.00413532-0.0383435j -0.0217076-0.0378894j -0.0626565+0.0597852j 0.0473879-0.0294596j 0.0737532+0.0489812j -0.102258+0.115252j 0.109947+0.0915856j -0.0365491-0.0361718j 0.0971617+0.00268989j 0.0209795+0.0280901j -0.0559134+0.141881j 0.0089303+0.00971455j 0.0837648+0.0567949j 0.03957+0.0638199j 0.11254-0.115205j 0.145218-0.0274173j 0.181535-0.111123j -0.119761+0.143578j -0.0177111-0.0416313j -0.0473171+0.0627206j -0.0564118-0.0892325j -0.0503109-0.190347j 0.111465+0.00628987j 0.0320217-0.110798j -0.12767+0.0805327j -0.0319354+0.121404j 0.0883241+0.00289605j 0.0455488-0.0414738j 0.0789871+0.134658j 0.0833772-0.093148j -0.0366913+0.0939053j -0.0451985+0.00488004j -0.0198898+0.12681j -0.0106739-0.0156467j 0.0184162-0.0563577j 0.0348228+0.0926434j 0.0152283-0.125866j 0.0417124+0.232214j -0.0397364-0.0445201j 0.0433658+0.190823j -0.0356699+0.0106555j 0.0495065+0.0401846j -0.0194394-0.0108802j 0.0948278-0.116356j 0.0487968-0.0899544j 0.0920959-0.0182319j -0.0374205+0.016032j -0.0137597-0.211532j 0.0303177-0.0048243j -0.0167889-0.00224246j -0.085087+0.0214646j -0.0403138-0.00945704j -0.00162643+0.123545j -0.00036109+0.109918j 0.0226667+0.0128671j -0.0592674-0.0742605j 0.043193-0.0664559j 0.00683932+0.0500726j 0.0199524+0.00293703j -0.0493325-0.0192672j 0.00910413-0.0498654j 0.00496684+0.0485101j -0.000940416+0.00914349j 0.0352782-0.0230518j 0.0213239+0.027548j 0.0267115-0.00133669j -0.00968394+0.0147794j 0.000377622-0.000229753j 
0.0323391+0.0459451j -0.0702436+0.0138801j 0.0334037-0.108049j 0.0184207-0.0919337j 0.271694+0.0460518j 0.175839-0.0543744j -0.049509-0.0416335j -0.00973544-0.254339j -0.0155909+0.0562476j -0.0242366+0.0587461j -0.012198+0.0788463j -0.0201064-0.0901049j 0.128137-0.0379201j -0.0759455-0.0769068j 0.0608466-0.0340416j -0.00133408+0.0968688j -0.0164112+0.0845451j 0.00580361+0.0235056j 0.0186089-0.0843759j 0.0547839+0.089055j 0.0909223-0.212048j -0.00643425+0.0118448j -0.0396077-0.00168775j -0.158945+0.210827j 0.101067+0.0254279j -0.0889956-0.0858285j -0.00225189-0.00601039j 0.00252911-0.0154711j -0.093673+0.109283j -0.0482156+0.0380124j -0.0537522+0.0283031j 0.0493876-0.0364914j 0.0430256-0.0692737j 0.00969504-0.0379289j -0.014663+0.092015j -0.089748+0.00730221j 0.0156576+0.00427496j -0.0278491-0.0715433j 0.0217394+0.0481237j -0.039805-0.00938869j -0.0443169+0.0235473j 0.0561322+0.0408837j -0.0482439+0.0819131j 0.00378986+0.0327656j -0.143849+0.0468843j -0.0488536+0.101921j -0.0211969+0.059983j -0.0443142-0.0487083j -0.135295-0.0580395j -0.00207347+0.0585773j -0.0579133+0.0494039j 0.0243811-0.0436519j 0.00994568-0.0163431j 0.0849173-0.0747133j -0.0108416+0.0122104j -0.0149061-0.0864718j -0.055601+0.00723816j 0.014968-0.00847417j 0.0487535-0.00859169j -0.00157293-0.00205703j -0.00570702-0.00437496j -0.0217185-0.0148769j 0.0121637+0.0139065j 0.00690862+0.00704745j -0.010712-0.0281745j 0.0118472+0.0130077j 0.0181638-0.00129347j -0.00470493+0.0100983j -0.00554982+0.0037499j 
0.10333+0.0598269j 0.00817786-0.00185855j -0.0283502-0.100822j -0.0283942-0.0964268j 0.0681693-0.0503158j 0.0465589-0.00819974j -0.0900504-0.0385228j 0.104077+0.105932j -0.00407431-0.0831538j 0.0203378+0.0396298j 0.00445269+0.124671j 0.0423111+0.0376091j 0.0856337+0.00767985j 0.0597447-0.0386617j -0.00288601+0.0861415j 0.0297568+0.0517582j -0.0275239-0.0493603j -0.100697-0.173015j -0.0256643+0.0416473j -0.0198473-0.0103154j -0.10309-0.132315j -0.0306917-0.118885j -0.120001-0.110821j 0.0317837+0.0286399j 0.173157+0.0435292j 0.0153065+0.0995449j 0.0926634-0.0391584j 0.176535+0.00342784j -0.0358267+0.118478j -0.0628531+0.0390826j -0.0251652-0.185344j 0.00414272+0.0545091j -0.00949192-0.102076j 0.0684101+0.0416284j -0.160663+0.0886988j 0.13196-0.0156045j -0.075294-0.0815796j -0.0113577-0.0344934j -0.0300941-0.108126j -0.102194+0.0472323j -0.058327-0.140267j 0.107744+0.0862056j 0.20787-0.120432j -0.0708366+0.0451458j -0.0221513-0.00891175j 0.0220547+0.0643959j 0.0541515-0.0334528j -0.204042+0.0333415j -0.0545142+0.142497j 0.0383406+0.019311j 0.0510049-0.0171568j 0.0315923+0.0510268j -0.0618835-0.0463203j -0.0737642-0.0358407j -0.0858471-0.0739015j 0.023169-0.109234j 0.0364182+0.00834005j 0.012419-0.0910375j -0.0577862-0.0186368j 0.0760057-0.0232784j 0.0366652-0.00360034j -0.0238473+0.0271959j 0.0122604-0.0846915j -0.00296579+0.0188081j -0.019393-0.0071463j 0.000283061-0.0319852j 0.0184785+0.0199656j 0.00732156+0.0129825j 0.00158339+0.0014702j 
-0.022425+0.0498345j -0.0141911+0.0559347j 0.00397677-0.117099j -0.0329315-0.0537017j 0.19123+0.0260102j 0.047714-0.107065j -0.0511691-0.00517579j 0.0169153-0.10066j -0.0382799-0.00288739j 0.0281286+0.125053j 0.0438683-0.0442675j 0.0721988+0.051162j -0.104784+0.0509306j 0.150877+0.170741j -0.072639-0.0416634j 0.0319395+0.00562381j -0.000653068-0.127768j -0.0337209+0.0844558j -0.100312+0.201825j -0.00348141-0.0422525j -0.0142034-0.0824407j -0.11841-0.0126831j -0.0904375+0.00454732j -0.012402+0.0201016j -0.0374505-0.0164689j -0.0343915-0.0432329j 0.0901007+0.122813j -0.0387524+0.0864467j 0.0108368+0.0785279j 0.0683937-0.0426827j -0.0680726+0.0748078j -0.09084-0.00697268j -0.0304528-0.0148707j -0.043582-0.0299951j 0.0357075-0.153184j 0.120375+0.045562j 0.0841039-0.0124058j -0.0460259+0.117906j 0.0394967-0.132142j 0.139323+0.0474724j 0.105906-0.05527j -0.0555066-0.0948399j 0.0306795-0.035633j 0.0462731-0.0548196j -0.0419321-0.0170201j -0.0227594+0.0420618j 0.258711+0.00288722j 0.19473+0.0022238j 0.0476805+0.120814j -0.0357481-0.0480969j 0.0159849-0.0184231j 0.0163571-0.0252832j 0.0253735+0.0047703j 0.0299794-0.0305848j 0.0803862-0.14142j 0.0290455+0.130174j 0.0216826+0.0393212j -0.0484258+0.0633688j -0.0704369-0.0209661j -0.0199405+0.0101857j -0.0398998+0.0396361j 0.0261261+0.0340067j -0.0239405+0.0224485j -0.00269612-0.0205178j -0.00532609+0.0549651j -0.0259977-0.0162113j -0.0476155-0.0177541j 0.00486388-0.0299839j 0.0116666-0.00596632j 
0.0188472-0.00582311j -0.0547656+0.0440676j -0.00517276+0.011864j -0.026838-0.0044917j -0.0265977+0.0636394j -0.0557598+0.0154874j -0.00318538-0.00696015j -0.00584113-0.0267873j -0.0317687-0.028798j -0.00442965-0.0310974j -0.0599702-0.0290553j -0.0443217-0.00389068j -0.00133749+0.0420325j -0.00619988-0.00774355j -0.0312922-0.0094134j -0.0836691+0.0808669j 0.060817-0.0282623j 0.00486859-0.0246087j -0.0673583+0.0393573j 0.0365539+0.0121173j -0.0733848-0.000867053j -0.0922962+0.0271816j 0.0842759-0.039176j 0.0173536-0.0363486j -0.0849264+0.0835107j -0.0156104+0.030168j 0.0477348-0.0614065j -0.039558-0.0481977j -0.0221817-0.010916j -0.0439097+0.0407271j -0.0126269-0.00473943j -0.000960667-0.0528038j 0.020523-0.0188771j 0.0243097-0.00163386j -0.00197308-0.0249665j 0.0712406+0.0455048j 0.0407355-0.0594865j 0.0145191-0.0429536j -0.0482868+0.000814436j -0.00787453-0.0294342j -0.0266912+0.000709179j -0.0180847-0.092654j -0.0466602-0.0988537j 0.140601+0.00501849j -0.0386297-0.140717j -0.11407-0.00991191j 0.0266804+0.0607549j 0.0398647-0.0897811j 0.00408582+0.119246j 0.103635+0.0195012j 0.0207424-0.00898796j -0.103957+0.0101858j -0.0449052+0.0318714j -0.000828043-0.00893261j -0.00441392+0.040272j 0.0610779-0.00825711j 0.0579734-0.0133526j 0.0558519-0.0480596j 0.0273166-0.00554476j 0.124852-0.0686151j 0.0699566-0.121356j -0.0682705+0.0619798j -0.171708+0.0155962j 0.139888+0.101305j -0.212671-0.1166j -0.00657858+0.214781j -0.0536239+0.07536j -0.23729+0.0821707j 0.00789804+0.122466j 
-0.0168559+0.0319239j 0.0442449+0.000497504j 0.0254446-0.010863j 0.00347253+0.00338411j -0.051042+0.0421889j 0.0219612-0.00899871j -0.0329388+0.0129844j -0.0973204-0.0726974j -0.0174587-0.000303214j 0.0354797+0.0215698j -0.0257943+0.0181468j 0.000459231-0.0110097j 0.0178334-0.0617996j -0.0857999-0.0229465j -0.0302845-0.0337525j 0.0119552+0.0715152j -0.0185604-0.061805j 0.0869748-0.0339402j -0.0202408+0.0508025j -0.0146741-0.0270014j -0.0372199+0.105975j -0.048566-0.0541772j 0.0303132+0.0716468j 0.0310585+0.0332754j -0.0305166+0.0428763j 0.0102463+0.000877678j 0.00966961+0.0398036j 0.0579752-0.0420643j 0.0567745+0.0121008j -0.00986672+0.0256656j 0.0134249-0.0858109j 0.01506+0.0546592j 0.0531625+0.015335j 0.0275359-0.0194137j 0.0858403+0.017403j -0.0119136-0.0511578j -0.139012-0.0137509j 0.0158345+0.0204658j 0.0789596-0.0667364j -0.00193262-0.0506911j -0.0692922-0.0408442j -0.026942-0.0838437j 0.0394031+0.000597422j 0.0563144-0.00671285j 0.0237083-0.107206j -0.00134164+0.00247683j -0.0833247-0.039965j 0.00739034-0.0205013j 3.27365e-05+0.0688256j -0.0360183+0.0302124j -0.00516615-0.0191695j -0.0379082-0.0243728j 0.0546712+0.152489j 0.131065-0.0261248j 0.0176359+0.0514639j -0.00353428+0.111052j 0.0828449+0.0280617j 0.101324-0.0334659j 0.00788284-0.0888956j -0.0646053+0.0159624j 0.0549205-0.07166j -0.0628707+0.00284992j 0.159562+0.0995526j 0.0126013-0.194254j -0.0368+0.0663216j 0.30583+0.0624636j -0.130137-0.0243256j 0.0298019+0.0505327j 0.142708-0.0881038j 
-0.00524376-0.015284j -0.0474264-0.0421763j -0.0497021-0.0019607j 0.0154084+0.0158539j -0.0396573-0.0231684j -0.00538257-0.0290988j -0.0173876+0.00601197j -0.0232865+0.0102006j 0.0210649+0.0280631j -0.0288864-0.0043272j -0.00126604+0.0667247j -0.100457-0.0526986j 0.0908939+0.130662j 0.0884126-0.0112109j 0.0261836+0.08856j 0.0103701-0.0910973j -0.0630061+0.0125427j -0.0439546+0.0697041j 0.00648613-0.0028851j 0.083911+0.00891712j 0.0707112-0.0981571j 0.0255448+0.113803j -0.0540774-0.0972109j 0.0164094-0.0188105j 0.0302491+0.0425964j 0.0466505+0.00580941j -0.0144277-0.0266675j -0.0883756+0.0259069j -0.0419811-0.0493741j 0.0997036+0.0489138j 0.0720051+0.0226483j 0.0576245+0.0591419j -0.0528935+0.00900429j -0.0279818-0.119632j -0.00831689-0.00304697j 0.0428023-0.00252202j -0.0407274-0.00338528j -0.0890766+0.0134808j 0.143864+0.080947j 0.110701+0.0247439j -0.0889962+0.0163561j -0.141376+0.0278476j -0.125574+0.112857j -0.0389025-0.12841j -0.012418-0.00482853j 0.0526534+0.054191j 0.000146373-0.0457749j -0.0778358+0.122509j -0.0484596+0.074656j -0.0651553-0.117754j 0.130369+0.180658j 0.0700409-0.0295758j -0.0287277+0.0771848j -0.0922518+0.18007j 0.0880493-0.0735496j -0.0164491-0.104591j -0.0269627+0.0363216j 0.0377916-0.0369553j 0.0328187-0.120964j 0.11927-0.0388329j 0.00193301+0.07063j 0.181713-0.0176356j -0.05933-0.0543272j 0.161606+0.0256131j 0.13858-0.0125582j 0.0266278-0.00018474j -0.0390731-0.00754415j -0.0632764-0.0094649j 0.00576106+0.0428639j 
