0.153794-0.0116582j -0.0625544-0.0478003j -0.011931-0.0257232j -0.314593+0.119151j 0.101679-0.106175j -0.158916-0.0885817j 0.366162+0.0657517j -0.0659685-0.143949j -0.210504-0.233391j 0.383171-0.11642j -0.100054+0.0390649j 0.0633204-0.032376j 0.12189-0.0128176j 0.261273-0.0860753j -0.441418-0.400089j 0.0884231+0.237568j 0.0189438-0.228804j -0.0227325-0.0888551j 0.362871-0.135571j 0.122496-0.0924763j -0.0307065-0.0774793j 0.564678-0.202264j -0.409994+0.0728019j 0.120764-0.313831j 0.0913344+0.36379j -0.229607+0.375668j -0.232518-0.503919j 0.0352318+0.0637749j -0.450579-0.414884j -0.145527-0.00206157j -0.671153+0.259181j -0.0192783-0.19063j -0.28048+0.101766j -0.299304-0.833382j -0.201499-0.394201j -0.281734+0.201598j -0.674923-0.607767j -0.602428+0.996721j 0.262109-0.113525j 0.797048-0.186674j -0.294702+0.0642233j -0.373301-0.929668j -0.233449+0.534738j 0.974996-0.468763j -0.136466-0.380746j -0.257564-0.330958j -0.285175-0.758917j 0.293392-0.482466j 0.328085+0.824572j 1.5431-0.246298j 2.30243-1.27126j -1.07919-2.12048j 
0.0940598-0.425368j 0.922073-0.405266j -1.17004-0.875593j -0.697974+0.0986374j -0.386097+1.55976j 0.117169-0.712555j -1.05877+0.16891j 0.518784-0.200261j 0.469711-0.0832586j -1.06119+0.0696349j -0.0737366+0.243783j -0.225773-1.05324j 0.123952+0.645303j -1.4669+1.87499j -0.472415+1.18473j 1.33329-0.506425j -0.84047-0.0623201j 0.0516166+0.339177j -0.666965-0.723137j 0.33849-0.960669j -1.06022-0.981052j 0.901942-1.50622j 0.110612+0.00333617j -0.152001-1.45876j -0.455001+0.554181j -0.669498+0.575889j 0.839184-0.977862j -0.0987461-1.1386j -0.440472-0.43466j 0.373323+0.0193603j 1.05249-0.999763j 0.361351-0.108875j 0.464712+0.954804j -0.147825+0.117144j -0.154252-0.683498j 0.293771-1.2239j -1.15094+1.7175j -1.07632-0.812818j -0.20805-0.360227j 0.462253-0.816986j -0.242039-0.0533857j 0.4025-0.958449j -0.0608456-0.948684j -0.0238878-0.146791j 0.0671532+0.499137j -0.0921408+0.122881j -0.19023+0.14581j -0.240791-0.289081j 0.468836-0.162417j 0.153461-0.317644j -0.697271+0.190997j 0.382578-0.0134154j 
0.307034+1.22454j -0.553555+0.825526j 0.17021-0.302746j -1.29452-0.643888j 0.326277+0.846195j -1.48726+0.467472j -0.148879-0.517406j -0.329659-0.0997155j 0.38619-0.341272j -0.00885923+1.31355j 1.28686-2.12084j 0.435947+0.64763j 1.67564+0.16464j -0.170116-0.325036j -0.174376+1.44008j -1.2192+2.16963j 0.874157-0.970164j -0.285617+0.111706j -0.000977903+0.537045j -1.52649+0.334909j -0.173988+0.75981j -1.05326+1.8581j 0.255099-0.882768j -0.521093+1.34717j 0.107452-0.0626004j -0.120692+0.218336j -0.561113+2.43406j 0.387476+0.686488j -1.01554+1.90456j -0.19013-1.15476j -0.999165+3.41719j -0.116256-0.230125j -0.19804-0.214263j 0.91846-0.658097j -0.0619692-0.668647j 0.51028+1.62978j -0.0521414-2.21765j 0.190221+0.942164j -0.360747+0.56782j -0.0514064+0.863107j 0.225479+0.0718259j -1.20046+0.494804j -0.26566+0.240396j -0.466942+1.24965j 0.628261-0.890568j -0.366825-0.463791j 0.149816+0.845141j 0.286745+0.114771j -0.302495-0.205424j -0.450963+0.283849j 0.412717-0.0222727j -0.036975+0.0378787j 
-0.150907+1.29678j -0.363342-0.992176j 0.366325+1.69342j 2.38354-0.71454j 0.868947+0.149382j -0.577622-0.690493j -0.346942-1.08873j 0.261308+0.460139j -0.945413+0.571356j -0.420905-0.155213j -0.224961-0.98705j -1.22398+0.193327j 0.160971-1.42579j -0.412396-0.0799846j -0.359699+0.343012j 0.287051+0.91414j 0.370276+0.0782163j 0.183896-0.874176j 0.70238-0.970325j 0.287652+0.830802j 0.285862-0.143961j 0.162451+0.538343j 0.303143-0.455778j -0.333398+0.109478j -0.401371-0.411885j 0.793677+1.02152j -0.727486+0.698066j 0.37848+0.994744j -0.360782+0.154604j -0.340313-0.652518j -0.497794+0.418079j 0.0831296+0.0893717j -0.888168+0.200965j 0.10219-0.67825j 0.0550486-0.259652j -0.129496+0.114083j 0.149606-0.738362j 0.0219394+0.583661j 0.0811771+0.489851j -0.103342+0.425205j -0.0352873-0.223339j 0.36979-0.0334798j -0.480431+0.523777j -0.156708+0.0672113j -0.0299883+0.0050341j -0.350233-0.440936j -0.0420615+0.345751j -0.337193+0.296528j -0.138686-0.651603j -0.204429-0.509474j -0.089683+0.461012j 0.0653102-0.0959164j 
-2.13093+1.66461j 1.94399+2.13698j 1.817+0.501754j -0.505472+1.08642j -0.0985073-0.312267j -0.312766+0.737719j -0.435962+0.853814j -0.222176-0.473504j 0.862344+0.552917j 0.550974+0.499002j 0.409608-1.15612j -0.216022+0.112478j -0.93854-0.0897067j -0.29217-0.0718351j -0.612916-0.942985j 0.861516-0.967773j 0.11319+0.359259j 0.220045-0.469311j 0.168591-1.06004j 0.262153+0.143458j -0.0221742+0.202792j -0.933457-0.518965j -0.0816678+0.0580214j -0.589228+0.386784j -0.0230089+0.0379754j 0.344546+0.508272j -0.450001+0.522697j -0.169678+0.476422j 0.140886+0.315715j -0.547632-0.19982j 0.681522+0.285477j -0.0224668+0.0528737j -0.204732-0.127238j -0.409731-0.153613j 0.0305563-0.109953j 0.137813-0.334665j -0.199303+0.376612j -0.562947+0.39762j -0.271169-0.272937j -0.151243-0.0365015j 0.157344-0.0288904j 0.0674019+0.021049j -0.420727-0.236814j -0.31836+0.120575j 0.130268-0.0885548j 0.342038-0.131126j -0.193335+0.0237946j -0.0803352-0.171059j 0.360113+0.0841445j 0.0622754-0.133515j -0.193189-0.0183784j 0.127031+0.152104j 
0.125997-0.207611j -0.179037-0.00953764j 0.0223855+0.123645j -0.194937+0.397565j -0.0840333-0.19794j -0.0780201+0.127912j 0.328524-0.349731j 0.0151081+0.0615009j -0.27556+0.155686j 0.196124-0.537256j -0.448231+0.047657j 0.222888-0.13652j -0.0283732-0.207454j -0.139817-0.409805j -0.665811+0.0709421j 0.860871+0.414595j -0.562487-0.415649j -0.0775696-0.0254294j 0.578252-0.259277j 0.296379-0.134336j 0.111345-0.0664718j 1.2082-0.320399j -0.384722+0.424999j 0.588181-0.30872j 0.262612+0.197765j -0.414533+0.584299j -0.0448883-0.389911j -0.0312851-0.0456384j -0.0506066-0.18073j 0.30092-0.478424j -0.135834+0.473174j 0.0869857-0.137424j -0.424529+0.249206j 0.232073-0.760451j -0.184167-0.294643j 1.01073+0.0100592j -1.59425-0.703713j -0.00940265+0.0936989j 0.331651-0.454825j 0.907422+0.0905915j 0.379822-0.997607j -0.0952624-0.833127j -1.18792-0.0257749j 0.216541-0.746747j 0.868321-0.399552j -1.07081-1.97068j 0.455108-0.66503j 0.0106284+0.72293j -0.0522999+1.1043j 1.4769-0.574956j -1.38527-2.65587j -3.87304+1.58214j 
-0.127709+0.0691704j -0.289457-0.128831j 0.470594+0.640968j -0.549937-0.781161j 0.321563-0.0328903j 0.0392271-0.0980138j -0.0686185+0.853623j 0.281467+0.136124j 0.210583+0.394507j 0.633642+0.364516j -0.654344+0.098001j 0.457442+0.453645j -0.0187734+0.266513j -0.244178+0.362277j 0.139053-0.541987j 0.477131-0.355603j -0.423352+0.209963j -0.05261-0.212934j 0.204343-0.147567j 1.38057-0.172945j 0.252219-0.0676787j 0.296811-0.197563j -0.269968-0.228171j 0.0861759+0.0257598j -0.172347+0.919794j -0.0294995+0.700661j -0.278053-0.330069j 0.319072-0.237068j 0.0113122+0.0430811j -0.627852-0.293961j 0.147706-0.208851j 0.188201+0.161985j 0.790172+0.246045j -0.609516-1.79663j -0.0222906-0.943172j -0.266665+0.162636j -0.936566+0.427553j -1.43407-0.180349j 0.400137+0.929586j 0.467601-0.950267j -2.11568-0.241904j 0.0953524-1.11487j -0.515468+0.558897j -0.870817-0.149428j -0.0846057-1.04905j -0.529702+0.775879j -0.945692+0.607441j -0.160594-0.0678344j -1.19283+1.50422j -1.97731-1.87008j 1.23331+0.320252j -1.5835-1.8084j 
-0.00187679+0.0763735j -0.519109+0.387756j 1.03914+0.125251j -0.877839+0.354912j 0.0183492-0.245249j 0.883705+0.595822j 0.150555-0.364358j 1.84225+0.548429j 1.7894+0.938323j -0.262424-0.495367j -2.90898+0.00362952j 1.12729-0.180051j -1.22309-0.622608j -1.81286-0.3095j 1.14928+0.763202j 4.08184+1.2797j -2.55846-0.735525j -0.358588+0.57941j 1.17179+0.739905j 0.61019+0.170968j 0.781751-0.454376j 5.82676+2.05591j 1.08007-0.646047j 4.254+0.406926j 0.0113664-1.09437j 0.640942-0.242237j 4.44152+1.18493j 0.368639-0.315382j 3.9546+0.34875j 0.589457-1.89737j 5.00673-0.615848j 0.973575+0.68059j -2.19111+0.238687j -0.189039+0.642281j -0.0110853+0.28372j 3.60581-0.574398j -5.2652-0.529139j 0.934666+0.805039j 1.19452+0.0782363j 2.28329-0.0439222j 1.56956+0.206119j 3.16668+0.456273j -0.765292-0.474141j 1.15382-0.160942j -0.866829-0.506957j -0.738667+0.222277j 0.83837-1.40899j -0.0543112-1.838j 0.569863+1.97133j -1.65994+0.423208j 2.11778+0.0445952j 0.896479+0.62368j 
0.200488-0.223978j -0.710666+0.428299j 0.468364+0.281305j -0.747333+0.00359514j 0.0984744-0.280358j -0.239532-0.164063j -0.242008+0.464041j 0.134621+0.243069j 0.175924+0.00789037j 0.0710294-0.891342j -0.418959-0.411679j 0.544546+0.344628j -0.678627-0.20235j 0.0257849-0.174853j 0.0692908+0.50213j 1.91151+0.27202j -1.25778-0.323111j -0.200763-0.885553j -0.394557-0.399816j -7.01458e-05-0.262264j 0.160211-0.177778j 1.90757-0.408219j 0.911872+0.422703j -0.187452-0.317838j -0.0137494-0.76829j 1.68741+1.25834j 0.462839-0.0391749j 0.246301+0.728032j 0.492967+0.457667j -0.0922544-0.570001j 1.11283+1.10302j -1.06946+0.44929j 0.374886+0.495516j 0.367053-0.0336362j 0.0448841+1.35857j -0.117438-0.850639j -2.07658+0.4122j 0.368164-0.607837j 0.612238+0.926609j -0.538429+0.613124j 0.0134157-0.755868j 1.22097+1.39113j 0.316463-1.66683j -0.85904-0.616373j 0.0128137+0.678005j -1.17812+0.487446j 0.880063+0.399625j 1.79884+0.729576j 0.472279-1.43625j 0.940827+3.14083j 1.56075-0.890098j 0.326516-0.608069j 
0.00551479+0.378241j 0.508981-0.298992j 0.915671-0.0704248j -1.46775-0.0459631j -1.71895+0.0868201j 2.19635+0.577112j 0.802221-0.27921j 3.32169+1.27505j 3.28316+1.77487j -1.24244+0.128599j -5.26392-1.20331j 2.05983+0.0135659j -2.77603-1.17743j -4.13658-0.331357j 1.509+0.641604j 9.2297+2.84855j -5.56517-0.732284j -1.18726-0.75936j 4.06573+1.2445j 2.20482-0.0736101j 2.34722-0.0510552j 11.5027+2.67146j 0.872775-0.300123j 7.80937+1.42566j -1.56117-0.615609j 0.0263263+0.242257j 7.52202+1.9364j 0.492661+0.5702j 7.5575+0.660475j 0.209325+0.395758j 10.8751+2.10346j 1.78152+1.05011j -2.80487-0.930494j -2.24357-1.04859j -0.426557+0.153333j 5.5297+1.63838j -9.51-2.51254j 2.57822+1.23431j 3.7983+2.35109j 2.51162+0.378628j 1.34666-0.462791j 5.16767+2.58228j 1.27344-1.82563j 3.04903+2.29105j -2.77811-1.18476j 0.0825316-1.17165j 2.40107+2.56621j 3.53475+0.604318j 0.932362+0.694033j 1.9637-0.398081j 1.26613+0.644028j 0.613853+0.944004j 
-0.186068-0.578618j -0.340413+0.805421j -0.866298-0.379852j 1.86362+0.456869j 0.696811+0.150288j -2.76421-0.454861j -0.954946+0.00989217j -2.55252-1.10021j -2.74866-1.67004j 0.401459+1.1065j 4.84047+1.81378j -2.48523-0.0571869j 3.06567+1.14551j 5.30848+1.46691j -1.09058-0.130007j -10.0895-1.89656j 5.68323+0.218397j -0.0406377-0.390047j -2.6974-0.19449j -1.97605+0.0354166j -0.957135-0.165755j -9.80839-2.6825j -0.664883+1.1011j -6.63558-1.32708j -0.529378+0.345892j -0.321146-0.596422j -8.44471-3.12661j -0.0351033+0.769794j -7.45288-2.65296j 0.130487+0.390525j -9.51535-2.67518j -2.9311-0.944698j 0.80501+1.65574j 1.17089+1.28214j -1.21835-1.07699j -6.1574-1.13293j 9.17141+2.00191j -2.0188-0.127274j -4.32157-1.38752j -3.80123-1.38008j -1.03466-2.7705j -4.21193-0.295637j -2.69113-1.5404j -3.5503-0.394018j 3.19216-0.318669j -0.467412+1.48532j -3.94057+0.630101j -0.312238+0.494622j -0.861278+2.50738j -1.35316-0.516334j -1.06695-0.546252j -0.132-0.959084j 
