0.153794-0.0116582j -0.0625544-0.0478003j -0.011931-0.0257232j -0.314593+0.119151j 0.101679-0.106175j -0.158916-0.0885817j 0.366162+0.0657517j -0.0659685-0.143949j -0.210504-0.233391j 0.383171-0.11642j -0.100054+0.0390649j 0.0633204-0.032376j 0.12189-0.0128176j 0.261273-0.0860753j -0.441418-0.400089j 0.0884231+0.237568j 0.0189438-0.228804j -0.0227325-0.0888551j 0.362871-0.135571j 0.122496-0.0924763j -0.0307065-0.0774793j 0.564678-0.202264j -0.409994+0.0728019j 0.120764-0.313831j 0.0913344+0.36379j -0.229607+0.375668j -0.232518-0.503919j 0.0352318+0.0637749j -0.450579-0.414884j -0.145527-0.00206157j -0.671153+0.259181j -0.0192783-0.19063j -0.28048+0.101766j -0.299304-0.833382j -0.201499-0.394201j -0.281734+0.201598j -0.674923-0.607767j -0.602428+0.996721j 0.262109-0.113525j 0.797048-0.186674j -0.294702+0.0642233j -0.373301-0.929668j -0.233449+0.534738j 0.974996-0.468763j -0.136466-0.380746j -0.257564-0.330958j -0.285175-0.758917j 0.293392-0.482466j 0.328085+0.824572j 1.5431-0.246298j 2.30243-1.27126j -1.07919-2.12048j 
0.113434-0.0208279j -0.0614997+0.0852761j -0.378984-0.145081j 0.333028-0.258474j 0.707565+0.618071j -0.939837-0.433659j -0.289929+0.233151j -1.15632-0.526295j -0.948951-0.833531j 0.243622-0.694014j 2.01496+0.589019j -1.29944-0.0822528j 0.971929+0.636653j 1.65948-0.658529j -0.694674+0.197556j -3.35619-1.70089j 2.72707+1.55969j -0.0537662+0.973383j -0.947247-0.414536j -0.540758+0.153743j -0.694454-0.301967j -4.58782-0.846865j -0.556181-0.381926j -3.03734-0.788824j -0.292337+0.287814j -0.537499+0.330307j -3.08313-1.54027j -0.591737-0.271762j -2.18648-2.91728j 0.110796-1.32641j -4.8122+0.0228075j -2.37148-0.64051j 0.430379-0.510756j -0.60303+1.80382j 0.326012+0.743294j -2.31927-0.668048j 5.01245+2.18279j -0.483257-0.426994j -0.294722+0.0703781j -0.0908917-3.61808j -1.63679-1.88408j -2.73155-1.00978j -0.876412-0.273525j 0.165034+1.50332j 2.76779+4.03068j -0.370271-0.169853j -0.688987+0.0283416j -0.111814-0.341989j 0.0788772-0.26534j -0.548906-0.177868j -0.545633-0.300751j 0.0400612-0.271062j 
-0.395036+0.153875j 0.610902-0.511863j 1.06233+0.616923j -1.95146-0.308524j -1.78311-1.03582j 3.22272+1.49644j 0.551812+0.103541j 4.25441+1.49039j 3.41529+1.72384j -1.06145+0.0906663j -6.37226-2.6647j 3.55445-0.0514669j -4.07557-2.26534j -5.89497-0.652191j 1.95045+0.664527j 13.6654+5.12598j -8.42014-3.63848j -1.16307-0.506156j 3.72603+1.58684j 3.22779+0.648986j 1.6802-0.397641j 14.0838+6.44057j -0.896745+0.269429j 11.4634+4.75712j -1.61262-0.427856j 1.86504+0.72298j 12.0164+5.45149j 0.161709-0.917156j 11.2557+3.30575j -0.401155-0.157155j 15.5654+6.33535j 1.87139+0.42576j -1.3495-0.669682j -3.12324-1.46159j 1.39687+3.0577j 10.5349+4.11484j -13.9934-5.50914j 1.34247+2.04318j 7.07957+3.63007j 4.92574+0.61424j 3.46495+0.812105j 8.92654+2.11007j 0.336559+1.2167j 4.79838+1.25522j -3.83294-1.55241j 0.113594+0.378073j 0.915931+0.331594j 1.42496+0.725677j 1.44018+0.102555j 0.953134+0.491981j 1.26078+0.885482j -0.384736+0.988904j 
-0.255993-0.655443j -0.339032+0.550492j 0.395027+0.473139j -0.550096-0.0217379j -0.910501-0.618207j 0.472644+0.837835j -0.411488-0.256958j 0.527369-0.217687j -0.180604+0.952121j -1.34541+0.383045j -1.55192+0.0430971j -0.362628+1.18548j -0.730216-1.4282j -2.21366-0.65825j 1.3231+1.74407j 3.26719+1.25305j -2.7367-0.198869j -0.557866+0.451556j 0.746666-0.458102j 1.72479+0.156882j 1.16893+0.789854j 2.00504+1.40247j 0.122456-0.14282j 3.25926-0.34614j -1.11657-0.434177j -0.453803+1.07106j 2.82039+1.75175j 1.18823+0.39587j 2.2723+2.07205j 0.337006+0.871371j 3.64086+1.2729j 1.62189-0.537156j -2.38198-1.22638j -0.806052-0.790829j 0.797956+0.223695j 3.53836+0.419587j -3.15194-1.75348j 0.913806-0.0708412j 0.519759+0.0847879j 1.91288-0.716226j 0.562931-0.142963j 1.9149+0.70887j 1.10255+0.586529j 1.53603+1.6053j -0.4853-1.06068j 2.81332+0.0325381j 0.342366-0.693033j 0.279107-1.58306j 0.641625+0.998841j 0.966662+1.60248j 0.876377+0.647858j 0.331339-0.520109j 
-0.538415+0.0738856j 0.862944-0.305102j 0.684633+0.502506j -1.38318-1.22327j -1.01612+0.00419501j 2.04964+1.79374j 0.510773+0.109717j 3.44398+0.481095j 2.48343+0.741365j 0.0900152-0.267543j -4.3962-0.298387j 0.996973+0.342129j -1.80334-1.22286j -4.74455-1.92022j 1.07523-0.169705j 7.373+4.12526j -5.61008-2.03398j -0.194101+0.528708j 2.50124+0.59763j 2.40705+0.324333j 1.0981+2.03116j 10.5365+3.92438j 0.422199-0.688985j 6.80403+2.91328j 0.083863-0.468006j 1.24748+1.03637j 8.90272+3.27429j 1.83904+0.194793j 6.84556+3.41898j 1.00907+1.99195j 9.72382+3.97622j -0.143624-0.57179j -1.85211-0.637072j -3.48201+0.351654j 2.17489-0.540745j 5.20306+0.440954j -9.65228-2.81702j -0.04137+0.636576j 5.56148+1.92861j 2.42159+1.9563j 4.34752-0.258004j 5.4212+1.6434j 0.0709247+0.626661j 1.91714+0.206482j -2.41455-1.09538j -0.409522+0.791214j 3.2976+0.404569j 1.00624-0.754915j 1.80804+0.0505864j 0.945524+0.129877j 0.6531+0.72699j -0.434643+0.270523j 
-0.574415-0.297319j 0.778518-0.0304286j 0.34768+0.593497j -2.30715-1.39541j -1.0621+0.0622152j 2.8087+0.537689j -0.205978+0.141677j 1.84613+1.2605j 2.26848+0.455699j -0.64189+0.0238362j -5.82427-3.07072j 2.59863+0.720028j -4.51202-1.32318j -3.74509-2.61359j 1.38576+1.03063j 10.6297+5.15711j -5.92428-3.88747j -1.60978+0.387553j 3.27756+1.73015j 2.85744+1.79931j 3.07608+1.36457j 11.6609+5.51552j 0.40687-1.70217j 7.30068+4.3921j 1.27618-0.659947j 0.0724277-0.325587j 8.33958+3.96308j -1.58378-0.0922551j 7.27764+3.24436j 0.135508+1.88044j 11.7638+4.74353j 3.16972+0.63429j -4.09898-0.538514j -3.35063-0.889254j 1.06801+0.885265j 5.79127+2.2939j -10.551-4.15766j 1.72332+0.573662j 3.47951+1.43589j 4.28537+0.970925j 2.16366+2.04559j 5.48186+2.04254j 0.201211+0.101425j 1.92007+2.54237j -1.83736-1.64159j 0.15432+0.277746j 2.79523+1.71149j 0.951197+1.20558j 2.60008+0.0673315j 0.334799+0.00860319j 0.912473+0.4624j -0.73613-0.10871j 
0.166264+0.236986j -0.742822+0.294962j -0.753617-0.2101j 0.694681+0.199612j 1.04212+1.05722j -0.778301-1.52778j -0.0335644-0.22551j -3.01532-1.61751j -2.23435-0.995682j -0.306357-0.251283j 3.28441+0.846426j -1.79061-0.874423j 1.96657+1.45722j 3.71681+1.38194j -0.373592-1.14417j -8.88202-4.0625j 2.84491+1.50602j 2.43641+1.01656j -0.731557-1.69169j -1.49818-0.808349j -1.85189-0.117226j -8.02205-3.81896j 0.51031+0.617581j -7.39011-1.53329j -0.729041-1.58627j 0.0925659-1.2217j -7.11166-2.66566j 1.05502-1.74675j -7.63507-3.88496j 0.81785-0.367923j -8.12413-3.46528j -1.91571-1.50136j 1.764+0.750477j 1.02562+0.0418408j -2.18866+0.660056j -2.39236-2.83855j 8.99881+2.38194j -0.932369+0.262255j -3.81293-1.66273j -1.72296-0.053906j -1.48802-1.4625j -2.73051-2.97956j 0.287769-0.693838j -2.26487-1.425j 3.23694+0.460238j -0.0262332+0.0236214j -1.10178+0.0222781j -1.28874+0.233701j -0.858652-0.428531j -0.685552-0.350258j -0.548755-0.699732j 0.280872-0.0781263j 
0.168542+0.363833j -0.709396+0.314051j -0.907221-0.461114j 0.941223+0.585211j 0.431662+1.62269j -2.21742-1.48251j -0.0594763+0.326897j -1.68069-0.898105j -1.44298-1.98768j 0.31188-0.306019j 4.57887+2.24045j -2.97852-2.35584j 1.94204-0.0244228j 4.53923+1.27566j 0.0200804+0.0247937j -7.25651-4.08304j 4.39697+3.80661j 1.71195+0.489545j -2.64873-1.56379j -0.637511-0.507013j 0.674959-2.13988j -7.70443-3.72818j -1.27998+1.17775j -4.90174-2.52654j 2.55299+0.368476j 0.574228-1.19603j -7.68033-2.68815j -0.808318+0.414512j -5.44055-3.32978j -0.380413-0.480395j -7.90895-4.01989j -0.184131+0.226326j 1.7693+1.82783j 2.44891+1.45833j 0.709824-0.651096j -4.81231-2.65851j 5.21879+2.97944j -0.977295-1.44552j -3.90425-1.81038j -0.843019-0.652736j -0.398524-1.34417j -2.72116-3.47406j -0.114075+0.00217114j -1.77708-1.31968j 2.68121+1.89584j -0.544241-0.39365j -1.7855-0.120151j -0.928802-0.55746j -1.24319+0.149449j -0.704766-0.117037j -0.559968-0.65334j 0.416542+0.305522j 
-0.322743+0.0966203j -1.31204+0.371833j -1.32732+0.473505j 0.82733+0.182107j 0.701933+1.25885j -0.0243137-1.67858j -1.8541-0.973208j -2.07269-0.575377j -3.25809-0.767794j 1.34297-0.153488j 5.21109+2.88912j -1.39299-1.33966j 3.51959+2.25003j 3.02436+2.04068j -1.46446-0.158344j -7.98347-3.6044j 7.41904+2.66495j 0.706153-1.33324j -1.37014+0.0479708j -1.92979-0.115547j -2.5879-1.59489j -9.72235-4.63965j 0.249648+0.0656164j -6.35364-3.7599j 0.472201+0.655625j -0.254941-0.622822j -6.9903-2.05513j -2.05807+0.084206j -7.25106-4.28127j -0.0741874+0.206521j -7.30558-4.1327j -1.50217-1.70921j 2.66158+1.21795j 2.46002+1.36823j -0.539006-0.200394j -5.7162-3.41458j 8.36665+4.52746j -2.47529+0.323777j -3.95554-3.50183j -2.48291-0.0970783j -1.3035-1.29807j -3.61068-2.36959j -1.84308-1.16575j -1.27368-0.559632j 2.00884+1.52883j 0.524119-0.387916j -1.98997-0.884313j -1.52493+0.11862j -1.19482-0.751408j -0.824722+0.301278j 0.323322-0.165636j 0.363481-0.383383j 
0.141298+1.07624j -0.747547-0.239333j -0.0575685-0.768725j 0.214682+1.06401j 1.32111-0.702027j -0.158983-0.944903j 1.42313-0.0167465j -2.15705-1.42885j -2.06603-2.59593j 0.102828+0.126581j 4.56096+2.76899j -1.7744-0.762146j 2.00023+0.905946j 4.31462+0.712776j -0.834265+0.38045j -7.46846-4.22736j 5.03858+1.62624j 0.396987-1.80641j -0.910491-0.50155j 1.15745-1.38607j -0.543411-0.306358j -8.03563-3.94749j 0.695559-1.09175j -5.99575-4.54783j -0.496778+1.44923j 1.03246+0.111731j -6.24558-2.83139j -0.960447-0.293722j -5.40261-2.11877j 0.683174+0.935156j -8.42937-3.57246j -0.124877-2.40546j 0.908735+1.40256j 2.108+0.515944j -0.322768+0.410998j -3.77429-2.19928j 7.25228+4.09322j -0.193678-1.99253j -2.25509-3.48807j -2.23441-1.03224j -2.43519-3.00129j -3.30055-1.39186j -0.0121931+0.000705976j -2.3585-1.46971j 2.52969+0.986019j -0.978443-0.237228j -1.9521-1.18362j -0.773506-0.0871368j -1.07051-0.905068j -0.60462-0.506913j -0.534908-1.05091j 0.0248615+0.675871j 
0.173064-0.624535j 1.34826+0.268523j 1.16311+0.138212j 0.0431154-2.23575j -0.208388-1.09873j 3.06686+2.05293j -0.344913+1.51305j 1.78828+2.59906j 2.39247+1.67714j -2.27546-0.210302j -2.25587-2.71307j 0.126739-0.767392j -2.5648-1.34476j -2.67839-1.50673j 1.69332+1.24542j 5.78489+5.08751j -3.59229-3.35858j -0.785524+0.242571j 0.105012+0.510235j 0.979468-0.853601j 2.29133-0.147696j 5.63471+4.69001j -0.334291+1.05726j 4.72237+3.17623j 0.222185-0.431577j 0.805784+0.878906j 5.3819+2.70128j -0.401793-0.141772j 3.63571+4.31505j 0.974038+1.46019j 6.1644+4.8088j 0.459971+1.20203j -0.738073-1.70192j -1.53298-1.64573j -0.000371987+0.68721j 3.19665+4.73608j -6.67675-5.3046j 0.764577+0.926468j 3.62185+2.02876j 2.03055+1.08986j 1.55851+1.58576j 3.3061+1.73528j 0.450466-0.892803j 2.15763+0.64285j -1.76203-1.08007j 0.791758+0.45404j 1.73499+1.48308j 0.469498+0.644041j 1.71658+0.407891j 0.786984+0.257396j -0.0324365+0.988388j 0.349685-0.448566j 
0.163094-0.265168j 0.616674+0.0552007j 0.497309+0.309974j 0.038118-0.0685616j -0.529196-0.119402j 0.826009+0.781954j 0.0767187+0.287652j 2.66521-2.42685j -0.401241+1.88407j -0.892029-0.706653j -2.19703-0.981948j 1.01418-0.877569j 0.346907+2.89707j 0.244217-1.14481j 0.840497+0.275437j 4.20194+1.29167j -1.34237-1.59158j 0.89671-1.32475j -0.590031-1.07307j 0.406966+1.17028j 2.51609-0.403013j 3.69903+3.85478j 0.00765635-1.20053j 1.41635-0.440205j -0.581825+0.305259j -0.020193-0.511761j 1.95071+1.67544j -0.485157-0.512113j 2.05428+2.27789j 0.98068-0.158006j 4.17423+3.06748j 0.687084+0.280412j -0.305796-0.972424j -1.03502-0.38024j -0.152464-0.811746j 2.00812+0.970357j -2.43649-1.68058j 0.564956+0.857515j 1.14479+2.1846j 0.758412+0.438511j 0.984801+0.843179j 1.72792+1.07455j 0.223418+0.853917j 0.91315+0.166151j -0.914597-0.412124j 0.298555+0.483791j 0.813937+0.556441j 0.685473-0.104262j 0.272833+0.598898j 0.363334+0.185164j -0.0110417+0.25074j -0.0214228-0.116116j 
-0.669518+0.559495j -0.938058-0.0539891j -0.655244-0.951259j 0.730247-0.713459j 2.4778+1.06473j -1.22041+1.11442j 0.694393-0.816029j -1.27374-0.795945j -1.69011+0.503061j -0.539558+2.28928j 2.69448+0.604662j 0.112764-2.44305j 1.17122+2.25718j 1.71304-0.070532j -1.82689+0.236027j -4.77928-3.35725j 2.0834+1.9004j -0.704842+0.389876j -1.60964-1.04655j -2.4054-0.681341j -0.679978-0.140995j -5.15549-4.49561j -0.724221-0.662125j -3.39981-4.81451j 0.495746-0.267952j -0.720196-0.0763267j -2.87164-4.03813j -1.51993+0.300344j -3.86425-3.78928j -0.752859-0.463147j -6.57651-4.36918j -1.51736-1.28717j 1.09034+1.15181j 2.79159+0.273082j -1.11542-0.0110506j -2.07241-3.18003j 4.22356+3.37571j -0.905735-0.403777j -1.4556-2.49637j -1.26985-0.925367j -0.765608-1.55455j -2.78999-2.09364j -0.985908-0.701885j -1.94155-0.764486j 1.90641+0.861092j -0.4549-0.637848j -0.857544-1.09196j -1.07913-0.896751j -0.837356-0.725477j -0.491045-0.663639j -0.255183-0.417556j -0.0437616+0.301358j 
0.174418+0.572435j 0.957092+1.27699j 1.14891-2.51171j -0.174349-1.31502j -1.79583+0.114664j 0.662227-0.231775j -0.667291-1.04953j -0.515069+0.943381j -1.16615+0.510193j -0.00682586-2.2187j -1.06478+1.27509j 0.153657+1.19072j 0.674108+0.310502j 0.0902511-0.0459041j -0.0886462+0.208309j 1.57791+1.19973j 0.858613-1.30253j 0.0201144+1.43436j 0.0326023+0.538819j -0.246712+0.885963j -1.26672-0.248632j 0.731219-0.474965j -0.47598+0.721862j 0.0341745+0.246207j -0.177149+0.92505j -1.84672+1.14299j -0.0387414+0.4819j 0.192549-0.921116j -0.682286+0.765792j 1.17741-0.225987j 1.23907+1.3199j 0.0934829+0.239326j 0.169486-0.443896j 0.808337-0.578528j 0.519797-0.79141j 1.05677+0.266783j -1.2133-0.616375j 0.373412-0.466962j -0.225539+0.201453j 0.557626+0.127954j 0.368678-0.157175j 0.305589+0.081466j 0.150986-0.645338j -0.0376675+0.143754j -0.0996372+0.0361309j -0.467254-0.502959j -0.44013+0.284906j -0.137686-0.206884j 0.609842+0.0739137j 0.413087-0.327675j -0.863744-0.508189j 0.24975+0.479389j 
1.25975-0.651718j 1.31811+0.535017j -1.40523-0.850325j -1.07433+1.54948j 1.03839-1.51403j -0.22659+2.62158j -0.812703-0.499262j -0.815555-0.028302j 0.181129+0.538345j 1.52+0.20492j -1.69562-1.74189j 1.76187+0.0351129j -1.42444-0.921493j 0.292165-1.42071j 0.257896-0.0811276j 2.25779+1.82255j -1.49222-2.56692j -0.139422+0.490798j -0.565173+1.87321j 1.4743+1.4684j 0.499675+0.0796375j 1.32734+3.72092j 0.780779+1.84264j 1.37324+2.12947j 0.0313276-0.752756j -0.0663971-0.345355j 2.11954+1.65516j -0.103788-1.05714j 1.92736+2.11716j 1.01643+0.625931j 2.84267+1.45373j 0.136964+0.852779j -0.0340947-0.387025j -0.0907053+0.0368001j 0.196045+1.0327j 1.02319+1.08466j -1.23314-1.58064j 0.867689-0.177662j 0.542509+0.917983j 0.474106+0.308772j 0.330166+1.07325j 1.31034+1.66134j 0.180879-0.253405j 0.790647+0.328277j -0.942785-0.619666j -0.277715+0.506868j 0.254842+0.118412j -0.234641+0.0290257j 0.431278+0.680195j 0.658981+0.219007j -0.67401-0.346207j 0.152205+0.0761587j 
1.99755-0.937657j -1.59428+0.0256051j 2.95099-0.808672j -0.721418-2.60767j 0.1752+0.113696j 0.623853+0.116489j -0.272491+0.799433j 0.0784598+1.62823j 0.638041-0.161396j -1.28689-0.246831j -0.571228+0.924864j 1.74562-0.233057j 0.357803+0.928449j 0.0386711-0.801084j 1.74598+0.231621j -1.01591-0.472609j -0.150596-0.270824j -0.195714+1.10425j -0.686863+1.68216j 0.955492+0.238526j -0.0827969+0.223375j -0.118296-0.248113j 0.971317-0.772304j 0.0339674+0.205836j 0.327576-0.0120512j 0.191086-0.487364j 0.328102+0.0343123j 0.0141093-0.778909j -0.191394+0.237155j 0.273746-0.3709j 0.00420324+0.0925712j -0.315493-0.112729j 1.19655+0.42996j -0.0160052+0.0757697j -0.0548137+0.220529j -0.27487-0.123915j 0.0500296+0.168032j -0.284198-0.380469j -0.0449582-0.391907j 0.226814-0.333181j -0.523892+0.533971j -0.507272-0.225114j 0.605773-0.252055j -0.214491+0.24924j 0.334571-0.120941j 0.092643+0.802647j 0.0770509-0.158915j 0.317116+0.153044j -0.668179+0.834214j -0.513437+0.66831j 0.583126-0.181526j -0.120074-0.0668532j 
-2.97693-2.97289j -3.21368+2.37318j 0.54746+0.922856j 0.169443+0.272232j 0.342743+1.28163j 0.739685+0.222796j -1.22599+1.69805j -1.20057-0.532442j -0.247083+0.347727j 1.32601-0.0575171j 0.605981-1.01989j 0.319441+1.16394j -0.594902-0.0269135j -0.302758-0.801427j -0.26534+0.234882j 1.33257-0.308645j -0.890044-0.211299j 0.225416-0.376746j -0.104726-0.814809j 0.153838+0.213842j -0.0110847+0.195916j -0.483378-0.675372j 0.242101+0.540635j -0.429037+0.0716669j 0.215518-0.0807152j 0.388568+0.662453j -0.726221+0.284905j -0.397758+0.19392j 0.00134879+0.362832j -0.36588-0.662956j 0.371004+0.788303j 0.00389423+0.0217693j -0.129016-0.271421j -0.339209-0.466966j 0.0235109+0.00744005j 0.397213-0.134122j -0.514926-0.0327262j -0.693768-0.115474j 0.0951562-0.384749j -0.0172734-0.0878797j 0.201262+0.24385j 0.0762894+0.0547398j -0.108518-0.504567j -0.318367-0.099656j 0.183464+0.0231987j 0.236445+0.244461j -0.0820109-0.0829785j 0.0846626-0.0728881j 0.146347+0.32416j 0.0964695-0.0656766j -0.285526-0.139606j 0.036751+0.295219j 
-0.232776-0.00198504j -0.132131+0.494088j 0.518431-0.102493j -0.0122706+0.413077j 0.0831709-0.179104j -0.616902+0.153486j 0.0697821-0.0161727j -0.566457+0.0638822j -0.55545+0.367859j -0.0156713-0.492327j 1.15621+0.452609j -0.268859-0.455966j 0.724169-0.0734485j 0.859565+0.00919603j -0.483809+0.239387j -1.93912-0.445486j 1.07811+0.497416j 0.0486992+0.104736j -0.546061-0.339301j -0.370724-0.784295j -0.375696-0.237873j -2.44102-0.935261j -0.0531533+0.519955j -1.98313-0.511966j 0.473895-0.0373996j -0.0567208+0.457166j -2.71545-0.0755928j -0.297376-0.0625173j -2.32693-0.00350672j -0.153923-0.660867j -2.81012+0.57734j -0.552893-0.0593357j 0.775371+0.0879216j 0.342757-0.662646j -0.406912-0.256044j -1.01229-0.466196j 0.959252-0.0406268j -1.19462+0.0593535j -1.01232-0.637773j -0.296357-0.283337j -0.267887-0.485412j -2.01241-1.1067j -1.4198-0.120563j -1.08869+1.22516j 1.97781-1.17409j -0.432567+0.00504119j 0.551847+0.41814j -0.718603+1.3472j 0.345954-0.761186j -2.16667-0.0828913j -3.44795-0.735367j 1.02555+3.68636j 
0.00740257-0.29024j -0.531546+0.0648886j 0.208863+0.520384j -0.26499-0.197115j 0.139664-0.169864j -0.270119+0.218771j -0.0803894+0.131919j -0.151807+0.364554j -0.410691+0.495476j 0.326005-0.214727j -0.0280498-0.390554j 0.154573+0.390446j 0.190096-0.277763j 0.23257-0.539773j -0.25558+0.158352j -0.0705027+1.08206j -0.0722105-0.79774j -0.0613961-0.110056j 0.131365+0.130902j 0.383292+0.151816j 0.0511376+0.138723j 0.179548+0.805362j -0.377544+0.121169j -0.0537617+0.510837j 0.0956918+0.181651j -0.263444+0.213308j -0.445284+0.250506j 0.0516951-0.107341j -0.468774+0.463124j 0.304313-0.162016j -0.897586+0.836445j -0.0492373+0.0860235j 0.00367416+0.0419685j 0.388952-0.631547j 0.0212935-0.142482j 0.097638+0.710275j 0.147093-1.58991j -0.179295-0.287658j 0.2952+0.441435j 0.153671+0.322387j 0.0572826+0.390552j 0.353419-0.197322j -0.100995-0.572776j -0.983855+0.10409j 0.819962+0.297285j -0.288714-0.0771031j -0.389624+0.935978j -0.827389-0.234457j 0.847116+0.53436j -0.0254142-1.33528j 0.144234-2.31501j -2.22809+1.48379j 
-0.272309-0.109299j 0.556773+0.749416j 0.218938-0.210498j 0.438938+0.426585j -0.398164+0.0124964j 0.91723+0.180086j -0.408841+0.0987204j 1.01433-0.00316514j 1.08921+0.239496j -1.04357-0.103132j -1.41852+0.274932j 0.298152-0.265002j -1.27716+0.124647j -1.84827-0.111852j 1.11588+0.316081j 3.47598-0.657877j -2.41173+0.482394j -0.144494+0.206927j 0.38679-0.2228j -0.14125+0.315872j 0.405381-0.121493j 3.58887-1.32838j 0.868633+0.221722j 2.32733-1.16191j -0.578727-0.791374j 0.292421-0.433632j 2.86917-1.01059j -0.124548+0.0558265j 2.28973-0.897305j 0.5605+0.294286j 2.88586-0.838771j 0.276601-0.297309j -1.48107+1.42931j -0.583736+1.57172j 0.246959+1.13161j 0.974582-1.34098j -2.17636+0.389819j 1.01561-0.256149j 0.904736-1.66772j 0.992881+0.256034j 1.27659+0.105183j 2.98605-0.550174j 1.66201+0.245617j 0.338292+0.568808j -0.285531+2.05241j -0.977792+0.901167j -0.104258-0.000778375j -0.772631-0.442204j -0.0883158-2.02742j 2.71633-1.92053j -1.304-0.373084j 1.9208-1.71493j 
-0.0175397+0.391926j 0.491907-0.377324j -0.163752+0.246888j 0.12032-0.865025j 0.0758832-0.281806j 0.0477495+0.553947j 0.17945+0.493006j -0.143117+0.906157j 0.016834+0.858852j 0.234638+0.256063j 0.228538-1.51738j -0.0772777+1.08446j 0.162575-0.496804j 0.105393-0.9602j -0.0252365-0.00259138j -0.635211+2.40985j 0.469612-1.51001j 0.198431-0.289383j -0.0756072+0.87677j 0.381367+0.856237j -0.0634442+0.633166j -1.08507+3.01475j -0.1347-0.383546j -0.81625+2.5645j -0.313848+0.4275j -0.329872+0.162018j -0.790099+2.32515j 0.00135867+0.276134j -0.629712+2.5525j 0.234631-0.145518j -0.536867+3.39622j -0.174318+0.718858j 1.11329-0.345336j 0.787009-1.04613j 0.631553-0.0722611j -0.708699+2.63338j 0.126986-3.39446j -0.338367+0.317274j -0.82315+1.75445j 0.0435458+0.580489j 0.028143+0.674386j -0.622596+0.451903j 0.302822-0.871679j 0.455603+1.35771j 1.13139-1.46348j 0.6717+0.921528j 0.254694+1.48879j -0.110476+1.12642j -1.26189+0.773295j -1.9126-1.18949j 0.112354+1.00544j -1.74165-0.919553j 
0.382003+0.125907j -0.80134-0.128866j -0.927841-0.663944j 1.27009+0.875142j 1.34375+0.144252j -2.74684-0.936924j -0.719525-0.814525j -3.62414-1.5144j -3.58634-1.46191j 1.07241-0.287921j 6.07107+2.57044j -3.45394-1.45263j 3.51078+0.748792j 5.82799+1.81325j -1.87842-0.634311j -12.2458-3.28628j 8.00201+2.24932j 1.10418+0.859332j -3.22258-0.490419j -2.35945-1.1652j -2.57715-1.01811j -12.3165-3.359j 0.390199-0.0974917j -9.92146-3.17584j 0.405865+0.0275646j -1.48897-0.227867j -9.86252-2.96526j -1.14694-0.773024j -10.2225-3.1183j 0.516254-0.199109j -14.902-4.20523j -1.84115-0.342606j 2.67287+1.01256j 4.55419+1.86448j -0.774064+0.462087j -8.16554-2.38538j 12.5474+2.04917j -2.1199-1.16229j -6.31064-0.49974j -3.58297-1.44285j -1.3632+0.280728j -6.04121-2.61354j -1.48956+0.607142j -4.12286+0.871887j 5.72603-0.354625j -1.42044+0.0528092j -3.91287-1.81386j -1.57216+1.96951j 0.131582+1.09991j 0.101472+1.88515j 0.674157-0.519184j 1.3721+0.0226375j 
0.0255998-0.472023j 0.0952223+0.054379j -0.200398-0.066289j -0.0240452+0.191664j -0.438022+0.339142j 0.541085-1.01655j -0.189543+0.166561j 0.399555-1.21709j 0.567051-1.38436j -0.537639+0.222138j -0.453603+1.57719j 0.333104-0.469282j -0.770006+0.955283j -0.982486+1.34944j 0.355295-0.647535j 2.30644-3.09253j -1.44073+2.02807j 0.168005-0.150361j 0.688367-0.904567j 0.123333-0.764441j 0.188632-0.378873j 2.19914-4.28456j 0.058733-0.415947j 1.23847-2.80407j -0.15807+0.293799j 0.323424+0.600772j 1.43543-3.1763j -0.215533+0.360651j 1.33455-2.47102j -0.0295533-0.671841j 1.976-2.26815j 0.373824-0.88296j -0.0439604+0.542997j -0.0597014-0.0632184j 0.634462-0.291217j 0.989789-1.69083j -2.8051+3.17526j -0.172973-0.498171j 1.65791-1.43551j 0.07343-0.746815j 0.88801-2.21554j 0.314209-1.67673j 0.775935+0.152777j 1.76325-1.41681j -1.72698+0.0413168j 0.250701+0.339181j 0.0163573-0.252443j 1.78253-0.683194j 0.80139-1.63761j 1.76755-1.47539j -0.439705-0.923256j -0.283229-0.939558j 
-0.00370408-0.0849187j -2.4964-0.740487j -3.37924-0.946131j 4.26235+2.41632j 4.92325+2.05687j -12.4651-3.18421j -1.86945-1.69991j -14.7469-4.13593j -15.5381-4.89483j 3.29661+1.0011j 23.5986+5.89615j -11.9333-4.08194j 13.4804+3.10137j 22.9518+5.83881j -7.5734-1.85311j -46.4053-11.5751j 30.5042+7.96697j 1.98795+1.0561j -11.9421-2.66067j -10.2164-2.74669j -9.1844-2.66169j -49.9187-12.3691j -0.376196-0.991884j -39.3941-9.04179j 1.2813+0.311332j -2.27133-0.396738j -41.034-8.86648j -1.13565-0.505867j -39.4557-8.99061j -0.358707-1.86364j -51.2705-9.81075j -8.69696-1.08605j 8.78299+2.14533j 12.1844+3.41755j -1.90971+0.145932j -31.5635-5.10334j 44.8274+8.64928j -7.51808-0.242564j -22.4563-3.09748j -13.5863-3.30318j -12.3315-1.58653j -23.397-3.88775j -4.85048-0.325025j -15.6858-2.31725j 15.4406+1.61549j -2.49425+1.95857j -11.6637-1.59075j -6.19486-3.70077j -5.60764-0.669741j -3.41247-0.603715j -1.8521-1.46753j 0.0479215+0.0203297j 
