-0.0144765-0.0840185j 0.000510842-0.121689j -0.191282+0.307291j -0.154103+0.127531j 0.126801-0.185057j -0.201784+0.250689j 0.278143-0.221118j -0.207055-0.152631j -0.104518-0.0844242j -0.347618+0.175663j 0.107663-0.153863j 0.017662-0.308412j -0.0906127+0.462169j -0.131248+0.122129j -0.227987-0.0758363j -0.492716-0.114874j -0.498511-0.0611003j 0.00540846+0.126917j 0.479504-0.0763014j 0.397657-0.737468j -0.647143-0.39502j -0.108334-0.329265j -0.5364-0.500426j 0.0296835-0.07972j -0.91772+0.868331j -0.705615-0.0920012j 0.573411+0.511022j 0.411017-0.146262j -0.041735+0.509975j -0.711857-1.06783j -0.296506+0.296653j 0.82882-0.0870996j -0.127062+0.512059j -1.04798-0.190969j -0.62377-0.346313j -0.0609872+0.152865j -0.872088-0.645971j -0.25104-0.893413j -0.652822+0.89947j 1.3225-1.41941j -0.683769+2.41771j -0.115985+0.616551j -0.875899+0.0122863j 2.2898+0.501906j -0.228713-0.30906j 0.182765+0.238068j 0.278538+0.763259j -0.0950298+0.277962j 0.183983-0.518235j -0.760938-0.229602j 0.0947744+0.0177785j -0.0862915-0.128661j 0.204041+0.0803434j 0.637428+0.0713961j 0.405983+1.12824j 0.0635681-0.644649j 0.0862986-0.666486j -0.14148-0.209355j 0.203385-0.273894j -0.152179+0.0271712j -0.0261984-0.0603811j 1.48881+0.239354j 0.43005-1.00037j -0.436854+0.369392j -0.289237+0.776228j -0.271255+0.805613j 1.5576+0.636399j 0.351931+0.224501j 0.656441+1.10543j -0.681669-0.453224j 0.981154-0.141206j -0.183062-0.484909j 0.765531-1.94612j 0.929944+0.737446j 0.751991+0.864189j -1.22616+0.182863j -0.257437-1.12983j 0.255539+1.73702j 0.396668+0.364253j 0.882758-1.01853j -0.618085-0.54112j -0.788198-0.0689053j -0.619447+0.283363j 0.715963-0.870869j -0.911489+0.348105j -2.01914-0.176094j -0.202506+0.169939j 0.0230599-0.381819j 0.83855+0.704125j 0.269652-2.19305j 2.06726+2.21089j -1.85591+2.23325j 
-0.123248-0.118688j 0.317606+0.330129j -0.318163-0.332653j -0.205539+0.166919j 0.445359+0.265635j -0.257785-0.136635j 0.513439+0.147372j -0.151049+0.0834584j -0.151043+0.0385347j -0.576722-0.334427j -0.165369+0.0116379j 0.189624-0.940034j -0.439842-0.266267j -1.26021-0.277209j 0.0655943+0.385044j -0.386319-0.225253j -0.459187-0.559103j 0.249985-0.212846j 0.351525+0.177904j -0.426571+0.0276914j -0.700036+0.134402j -0.00967792-0.102852j -0.691194-0.578922j -0.58269+0.63575j -0.263272+0.41515j 0.487565+0.617716j -0.757176+0.328649j 0.0846437+0.253049j 0.879902-0.637802j -1.21491+0.646727j -0.0850983+0.577409j -0.731269-0.903401j 1.06215-0.118586j 0.62653+0.605181j -0.525091+1.31076j 0.144323+0.204739j 0.713661+1.09119j 1.92207-0.750315j -0.176723+0.851007j -0.870047-0.322652j 0.239209-1.0928j -0.709316+0.0232909j -0.67166+0.169892j 0.0980003+1.51335j 0.11832+0.160934j -0.277767+0.463351j -0.662094+0.613839j 0.0648089-0.157234j -0.0620488-0.0528091j -0.731497-0.563336j -0.215947+1.44654j -0.735711-0.161076j 0.516771+0.239243j -0.102439-0.190815j -0.701136+1.88582j -0.241202+0.166315j 0.458112+0.281521j -0.663416-0.210871j -0.911056+0.114397j 0.211777-0.188607j -0.26537+0.0364755j -0.665998+0.0860158j -0.30242-2.07953j 0.71396-0.322649j -0.723203+1.48039j 0.633002+0.101361j 0.943062+0.378622j -0.198484+0.943319j 0.0300284-0.823144j -1.5264+0.149989j -0.252531-0.0615576j 0.760421+0.847235j 0.298101-1.48589j -0.0196072+0.126795j 0.639882-0.0370781j 0.551718+0.310337j -0.784446-0.296816j 1.41813-1.2024j -0.0708662-0.658064j -1.7646-0.491764j -0.166641+1.9429j 0.8875-0.391405j 0.780481-0.555438j 0.8282-0.314038j -0.757553+0.202901j 1.67659+0.663539j -0.27216-0.91106j -0.344763-0.337553j -1.30996+2.0722j -2.15135+0.309273j -0.950748-0.759016j -1.11979+0.640689j 
0.309984-0.293269j -0.107525+0.447723j -0.0510456-0.504857j -0.818005-0.345016j 0.238693+0.220673j 0.33718+0.220236j -0.263488+0.658267j -1.009+0.161358j -0.573487-0.196497j -0.18777-0.797815j -0.156279-0.674459j -0.695089-0.515226j 0.441307+0.114063j -0.395533-0.258964j -0.0123262+0.442831j -0.055313+0.00395943j -0.40821+0.564029j -0.147776+0.202331j 0.661949+0.25279j -0.51311-1.00253j 0.764585+0.322437j -0.27667-0.765389j -0.447342-0.319689j 0.110437+1.02409j 0.173106-1.28687j 0.705339-0.980772j -0.433718+0.693254j 0.611202+0.0717067j -0.459057+1.59924j -0.257461+0.86133j 1.38532+0.363525j 0.781901+0.975879j -1.2787-0.678389j 0.437863+0.0105442j 1.09843+0.0483145j -0.027455-0.365744j -0.285869+1.0682j -1.41761+0.445128j -0.550535-0.486449j 0.507058-0.337678j 1.21056+0.579723j -0.161776-0.0176595j -0.466178+0.100989j 0.143354+1.0633j 0.058935-1.34938j -0.88984+0.117737j -1.24454+0.285258j 0.389969+0.184879j -1.05227-1.57455j 0.0878927+0.909721j -1.8856+1.35566j -0.358622-0.155732j 0.832612-0.357097j 0.542355-1.08158j -0.247445-0.123259j -0.0850146-0.592233j 0.409369-0.188323j 0.353626-0.809592j -0.765549+1.43122j -0.745692+0.0220041j 0.261624+1.53748j -0.269634-0.616429j -0.907447-0.614729j 0.848034+0.301671j 0.21948+0.694823j 0.618563+0.620711j -1.36914+0.337594j -0.0954572+0.976136j -1.02383+0.00415333j 1.05594+1.24481j 1.57339+0.0393953j 0.587443-0.538619j 0.365633-0.782765j 0.191034+0.189191j 0.530701-0.200826j -0.169945-0.398642j 0.746582+1.3749j 0.670297-0.0714582j -0.0982479+0.0823753j 0.847089+0.766155j 0.556649-1.92053j -1.0737-0.839934j 1.6458-0.498554j -2.44648-0.151456j 0.10549+0.109789j 0.443493-0.462172j -0.309541+0.551012j -2.23504-0.0306248j 0.627556-1.89164j 0.0430386-0.312038j 0.62246-0.625244j -1.44682+0.0362271j 
0.271886-0.0951566j -0.260427+0.209543j 0.390357-0.393939j 0.000682169-0.0786882j 0.577141+0.574867j 0.311491-0.950771j -0.712318+0.429304j 0.36202+0.0110515j -0.156499+0.423207j -0.111034-0.0398103j -0.255455+0.825349j 0.563442-0.297065j 0.171585-0.47101j -0.182571-0.297666j 0.939701-0.158166j -0.460016-0.957069j -0.536921-0.409769j -0.33686+0.159264j -0.0455175-0.496138j 0.664322-0.245101j -0.219695+1.09978j -0.193583+1.10534j -1.29242-0.425677j 0.567693+0.230079j 1.15938-0.154626j -0.142693-1.47248j 1.03332+1.14407j -1.36813-0.758391j -0.836527+0.57137j 0.310628+0.188573j -1.06321-0.32782j -0.367386+0.0594665j 0.246091-0.610394j 0.663452-0.0813623j -0.255495-0.248063j -0.144961-0.504961j -0.719995-1.19717j 1.21992-0.430711j -0.6543-0.0269086j -0.191173-1.73456j 0.830334+0.0326212j -0.280523-0.11401j -1.05506+0.207191j -0.914105+0.412752j -0.107883+0.16398j 0.199216-0.737853j -0.93748-1.08808j -0.232918-0.623306j -0.885559+0.758769j -0.460513-0.420493j 0.597333+0.0272391j -0.669334+0.242679j 1.10189+0.823036j -0.561174-0.888602j -1.71859+1.49889j 1.5458+0.293047j -0.330373-0.0552202j -0.877215+0.67327j -0.131434+0.130715j 0.173639+0.775581j -1.18384-0.378034j -0.00838742+0.870267j -1.05944+0.112713j -0.558956-0.635646j 0.316171+1.44015j 0.599143-0.991997j -0.472151-1.36761j 0.164868-1.07311j -0.0111164+1.72964j 1.51437+0.593456j -0.504189-0.455484j 0.773344-1.74789j -0.323522+0.413492j 1.27587+1.94083j -1.07677-0.570914j -1.41718+0.0459911j -0.0780444-0.0401118j -0.883406+0.34528j -1.097+0.193727j -1.86731-0.777469j -0.46278-0.653687j 0.345393-0.583079j 0.136222+1.4651j -0.254711-0.150034j -0.125607-0.223108j -0.286532-1.83464j 0.146251+0.531981j 1.50083-0.487676j 0.356973+0.725761j -1.03996-1.44103j -0.215186-0.752554j -0.680743-0.0430612j 
-0.175206-0.0912392j 0.105697-0.350345j -0.0615279+0.230595j -0.0194941+0.478434j 0.123604+0.874729j 0.301165-0.467998j 0.105288+0.181692j 0.504243-0.105844j 0.319725-0.00791163j 0.0656906+0.355961j 0.158768+0.0901491j 0.0343404-0.634948j -0.728627+0.979282j 0.925237-0.954384j -0.534309-0.437655j -0.359357+1.13798j 1.0237-0.288032j 0.331928+0.252843j 1.02077+0.300447j 0.264558+1.43236j 0.751683+0.30621j -0.385311-1.22662j -0.81901+0.286136j 1.17675-0.0663697j 0.635616+0.0965525j 1.11609+1.03593j 0.0319213+0.482468j -0.124435+0.175919j -0.0223455+0.14721j -1.88254-0.688225j -0.519587-0.693281j 0.928034+0.309662j -1.55736-1.20124j 0.665656-0.876751j -1.42253+1.11804j -0.296047+0.2942j 0.29316-0.415182j -0.211568+0.759792j 0.123277-0.160193j 0.267901-0.296026j -0.287009-0.311611j 0.00553598-0.244101j -0.698517+0.288768j -0.687357-0.0772507j -1.50524+0.638186j 0.0829038+0.658664j -0.274817-0.552162j -0.231193-0.0629282j 0.621428+0.831285j -0.762383+0.234671j 0.418852-0.75328j -0.0255578+0.547446j -0.0983583-0.476118j 1.64396+0.888017j 0.610698-0.0212678j 0.0758538-1.07807j -2.42905+1.39603j -1.13883-1.45992j 0.276826+1.00236j 0.954532-0.377051j 1.36136+0.142421j -1.12632+1.10464j 0.789149-0.356566j -0.414518-0.604322j 0.363229+0.776459j -1.43675+1.15626j -0.205494+0.0272886j 0.930657+0.616334j 0.144211-1.61591j 1.65613+0.452628j -0.636269+0.00414816j 0.67377-0.43692j -0.286561-0.720107j -0.420034+0.0108312j -0.0644365+0.666723j -0.390845-0.324946j -1.90266+0.13997j 0.340625-0.0567495j 0.79606-0.030186j 0.564539+1.21281j -1.24566-0.580629j 1.62212-1.04768j -0.624173+0.486521j -2.17621-0.172467j -2.20563-0.507545j -0.782717+0.0362315j 0.0094938-2.7875j 0.558833+0.656521j 0.191788+0.0101053j 0.285093+0.0987549j -0.135325+0.0277693j 0.291519+0.0167267j 
-0.546787-0.393306j 0.662874-0.705367j -0.417787+0.0988258j 0.384862+1.09334j -0.0471503+0.456177j -0.414682+0.142977j 0.111581-0.0182029j -0.285472+0.964846j 0.283385+0.869359j 0.335619+0.93652j -0.164832-0.619218j 1.2723-0.173771j 0.502658+0.513747j 0.267013+0.216728j -0.894077-0.0909893j -0.508839+0.0469228j -1.37607-0.246998j -0.528618-1.23533j -0.899318+0.340923j 0.676628-0.0217245j 1.60133+0.246185j -0.733952+0.438281j 0.475626-0.992073j -1.26695+0.428663j 0.823556+0.490838j 1.02661-0.381769j -0.520282+0.0212446j -0.239627-0.155727j 0.928486+0.619709j 0.382301+0.0997676j -0.168242+0.9636j 0.192681+0.891064j 0.179529-0.674242j -0.124161+0.037695j -0.208459-1.04863j -0.547826+0.760438j -0.469225-0.34336j -0.0857116+1.60459j 0.577238+0.789303j 0.0773303+0.175829j -0.683711-0.626082j -0.46002+0.340001j -0.132648-0.143678j 0.52007-0.501078j -1.92539+1.30767j -0.741499+0.0669681j 1.50258+0.154494j -0.451129+1.3139j -0.982537+1.19831j -0.782404-0.530446j 0.476692-0.476005j -0.0552209-1.20646j -0.399971+0.54999j -0.333533-0.048654j 0.125246+0.813111j -2.11782-0.484145j -0.862972-0.119839j 0.49051+2.3182j -1.41471+0.77271j -1.08794-0.578278j -0.334943+0.200086j 1.62688-0.0331911j 0.152054+0.147993j -1.80532+0.971113j -1.37442+0.0373647j 0.383497+0.262556j -0.132981+0.0388632j -1.61005+0.00231446j -2.0036+0.481259j 0.916814+0.234095j -0.984968+1.29141j -0.640293+0.0168272j 1.09487-0.805108j -1.01487-0.573992j -0.381773-2.11325j 0.673936-0.7825j -1.82359+2.45665j -0.365459+0.807174j -0.759717+0.35211j 0.202288-0.972122j 0.200961+0.885523j 0.259638-0.0150198j 0.956162-0.513642j -1.16777-1.62653j 0.663523-0.312548j -1.24408+0.247269j 0.493984+0.216997j 1.36054+0.438198j -1.31257-0.895932j 0.327124+0.548957j -0.288487+0.692775j 0.353676+0.689146j 
-0.195778-0.175257j 0.566459+0.108998j -0.406712-1.01905j 0.652526-0.245602j 0.0888096-1.14502j 0.342932+0.417776j 1.04656+0.408973j 0.0391434+0.36491j 0.19457-1.22086j -0.736936+0.560318j 1.04061-0.267466j 0.770235+0.614475j -0.675342+0.388412j 0.983582-1.25358j 0.642579+0.64201j 0.974324+0.0546902j -1.16386+0.331882j -1.3136+0.232676j 0.639752+0.538813j -0.671232+0.8701j -0.317241+1.18615j -0.541473+0.0455148j -0.231564-0.243814j 0.0306384-0.67466j -0.361699+0.623721j 0.99689+0.0475853j 0.883654+0.541519j -0.0822069-0.166981j -0.645569-0.405664j 0.647824+0.550318j 0.236763-0.0329263j 0.3007-0.678673j 0.300588+0.101106j -0.954684-0.831857j -0.775245-0.887603j -0.83943-0.190769j -0.421259+1.17385j -0.435214-0.212991j -0.152076+1.07392j -0.519433+0.511173j -0.0964387-0.1847j -1.0207+0.998186j 1.08255-0.724984j 0.948747-0.255196j 0.644905+0.190598j 0.122737+1.45046j -0.49734+1.9153j 1.70688-0.369183j 1.46576+0.306872j -0.281757-1.39931j -1.40299-1.3756j 0.349981-0.481278j -1.08836+0.783389j 0.896864+0.0980104j -0.506553-0.365976j 1.59475+0.887444j -1.38666+0.641103j 1.06538-0.997073j -0.458835+1.55521j -1.27835-0.801531j -1.11057-1.18145j -0.501071+0.494986j -2.00539+1.0408j 0.235474+0.559997j -0.601296-0.34094j -0.0673102+0.37883j 0.805738-1.62145j 0.122518+1.20683j 0.540334-0.397376j 0.861058-0.173037j -0.641521-0.684319j 0.0955235+0.0832068j 0.610794-0.173063j 0.103017+0.671839j 1.37582-0.255829j -1.6911-0.522365j -1.05716+0.368707j -1.32028-0.921718j -0.736493-0.0408468j 0.480338-0.810063j 0.566087+0.289924j -0.310159-0.622755j -0.691402+0.298021j 0.506862+0.597276j 0.139961-0.588957j -1.18839+0.927608j 0.35193+0.242676j -1.51229-0.401151j -0.583442-0.022588j -0.419274+0.263644j -0.268453+0.818934j -0.243137+0.417461j 
0.0946918+0.422779j -0.551111+0.256402j 0.257429+0.374149j -0.366229-0.16909j -0.383729+0.110425j 1.70269+0.713823j 0.327264+0.707898j 0.145737+0.559732j 1.0626-0.666316j -0.0886838+0.492217j 1.38545-0.748111j -0.38837-0.592358j 0.442404-0.695437j -0.298713+0.37006j 0.21387-1.81999j -0.375739+0.259746j -0.850267-0.495457j 0.188065-0.539699j -0.347199-1.35538j 0.174632+0.931265j -0.191718-0.434574j -0.807328+0.380775j 0.335436-0.877026j -1.5093+0.349756j -0.476089-1.19017j -0.377698+0.795416j 0.822275+0.65509j -1.36718-0.405519j 0.293149-0.312091j -0.10729+0.607268j 0.000235424-0.194318j 0.983158+0.407767j -0.205736-0.115102j 0.477873-0.0496128j -0.363974+0.389907j 0.856022-0.150733j 0.459483+0.392928j -0.178276-0.450038j -0.148154-0.886491j 0.267538+0.0555538j 0.0748097+0.637622j 0.774669-0.558399j 0.119989-0.256942j -0.242361-0.580453j -0.242166-1.43472j -0.390689+2.72511j -0.778421-1.33258j 2.43199+0.191797j 0.384379+0.428894j -1.64121+0.0219675j -1.32588-0.272511j 1.82359-0.837027j 0.497541-1.42051j -1.61228-0.186021j 0.600638+0.0112946j 1.28658-1.24393j 0.552994-0.401299j -0.788917+1.69787j 0.513679-0.236298j -0.537152+0.337864j -0.0650899+0.028235j -0.627673+0.161421j -0.236262-0.3961j -0.57518-2.63384j -0.979424+0.80654j 1.94425+0.49108j -0.381321+0.668977j -0.625626-0.238989j 0.16123-0.666074j -1.1248-0.0290168j -1.03331-0.94649j -2.11313-0.623936j 0.0309144+0.52452j -0.702666+0.963267j 0.643747-1.6926j -1.55979-1.14666j 0.803394-1.20378j 1.21597+0.479739j -1.00884+1.00112j -0.441644+0.86235j -0.920828+0.908007j -0.306205-0.47737j -0.500048-0.299107j -1.01112+0.549002j 0.403875-0.674935j 0.589463-0.123752j 0.32686-0.671924j -0.74225-0.228543j 0.46879+0.227611j 0.438107-0.0633512j 0.369651-0.224358j 0.0873089-0.318012j 
0.211583-1.05703j 0.773539-0.351984j -0.580862+0.0385742j -1.08472-0.333297j -0.101111+1.56476j -0.724229+0.142089j 0.522424+0.11559j 0.114485-0.0365522j 1.3222-1.20807j 1.37238-0.405623j 0.469995+0.626413j 0.136624+1.03208j 0.536182-0.0628203j -1.02657-0.281911j 1.01743+0.0410801j -0.00763469+0.972272j 0.238964+1.30463j -0.5452-0.322506j 0.239999-0.85041j 0.696674-0.254699j -0.792987+0.39055j -0.527235+0.878624j -0.0702774+0.0432339j 0.0804034+0.571416j -0.164266+0.204955j -0.422356+0.0220069j -0.32285+0.0403854j 0.158403-0.936644j 0.413557-0.960752j -0.623575-1.4838j -0.175675+0.654218j -1.39231+0.313138j -0.157933-0.0447022j -0.249854-0.472314j 0.410922+0.571796j -1.75811+0.312494j -0.241706+0.390704j -0.883872+0.846187j 0.591712+0.684451j 0.588027+0.229394j -0.224791-0.732195j 0.0684793-0.192918j -1.16824+0.794408j -0.883991+0.905541j -2.32002-1.00716j -1.32423+0.232268j 0.61721-0.0195307j 1.21586-0.0437901j 2.33163-0.518401j 1.93083+0.761739j 0.719086-1.74046j 0.0143663-1.41009j 0.761105+0.125032j -0.643698-0.389186j 1.20337+0.0825603j -0.394752+1.80105j 0.0235012+1.24852j -0.712499-0.269842j 0.28121-0.577458j 0.461346+1.03965j -0.610716-1.27896j 2.18664-1.02332j -0.734195+1.53265j 0.591785-0.356628j -0.0760833+1.23085j -0.26647+1.29972j 1.29792+0.697098j 0.320444+0.644885j -0.782113+0.81415j 0.25586-0.934349j -0.571831+1.37641j -0.183941+1.20886j -0.573254+0.936894j 0.975102+1.29588j -0.32026-0.496115j 0.238209-0.367465j 0.352113-0.0262762j 0.0690995+0.0686444j -0.891361-0.66564j -0.0601683+0.0841798j 0.293075+0.0809813j 1.90837+1.08322j -0.0172292-0.802278j 0.340039-1.44946j -0.856127+1.08918j -1.35548-0.0602404j -0.716097-0.791322j -0.259624+0.32548j -0.187646-0.884334j -0.427721+0.393187j -0.25517+0.201795j -0.031716+0.00906272j 
0.719434-1.11895j 0.129808+0.621438j 0.650014-1.04017j 1.88808+0.683429j -0.599411+0.813133j 0.198658+0.775829j 0.54056-0.526412j 0.269353+1.12449j -1.22981+0.810391j 0.112324-0.595367j 1.33252+0.187512j -0.892812-0.617403j 0.15707-0.0664122j -1.01717-0.312277j -0.218277-1.0517j -0.508258+0.286159j 0.727935+0.452424j -0.785171+0.840073j 0.284112+0.0990242j 0.286222+0.28759j 0.784461-0.113477j -0.449376+0.650955j 0.248255+0.366566j -0.00654114-1.06942j -0.649445+0.368378j 0.0344452-0.481874j -1.51457+0.539066j -0.0494629+0.270887j -0.580646-1.04035j 0.481483-0.3916j -0.197169+0.717611j 0.052053-0.507866j 0.0771194-0.0784806j 0.622842-0.212835j 0.201241-0.198524j -1.70213-1.06964j -0.879367+0.42677j 0.0809063-0.145659j -0.9339+0.819513j -0.221242+0.067356j 1.02142-0.192091j -2.58954-0.412027j -0.774656-1.7491j -0.522405-0.671508j 0.890398+2.08755j -0.0744551+1.6174j 1.80479-0.950693j 0.0806471+0.575332j -1.356-0.412739j 0.0274074+0.281971j -1.69633-0.288884j -0.381762+2.46452j -1.79676-0.497103j 0.011579-0.00999326j 1.61986+1.49342j 0.21937-0.358328j 0.144583-0.453026j -0.463506+0.276909j 0.16172+0.247198j -0.234592+1.79619j -0.609278-0.114383j 0.0936181-0.468664j 1.65828-0.378489j -0.550358-0.562041j 0.33848+0.574715j -0.643619+0.441202j -1.08171+0.505729j 0.7981+1.51009j -0.773253-0.0928688j 0.066624-1.91657j -0.741358+0.285397j 0.0495222-0.0948401j 0.49448+0.280016j 0.403495-0.428805j 0.697397-0.220621j 0.70999-0.178319j -0.0389305+0.67755j -0.629741-1.95103j 0.14451+0.0285465j -0.116405-0.620242j 0.732004+0.208587j 0.140614+1.13481j -0.55532+0.766186j -0.0735146-0.254428j -0.0335626-0.150955j -0.650701-0.671109j -0.19962-0.289012j -0.0770498-0.93132j -0.648646-0.395249j -0.650815-0.299861j -0.429493-0.428346j -0.0814526-0.148476j 
2.13964-0.143542j -0.500002-2.16126j -1.05068-0.740592j -0.173168+0.527004j 0.710542-0.686606j 0.550001-0.421724j -0.672588+0.329547j 0.345883-0.233415j 0.588057+0.506757j -0.336663-0.610728j 0.625707-1.13884j 0.207157+0.607606j 0.802279-0.450622j 0.29938-0.86488j -0.966484+0.644527j -1.12396-0.284293j 0.00190174+0.155523j 0.0683077+0.915429j -0.26167-0.550852j -1.33232-0.555413j 0.317743-0.417645j -0.897246+0.63538j -0.461619+0.304174j 0.641664-0.595341j -0.740156+0.755147j 0.0956905+0.282647j -0.451653-0.636182j -0.544481-0.713514j -0.144898-0.643858j -0.169036-0.190281j -0.769854+0.211593j -0.159034+0.49873j -0.0791511-0.0351818j 0.416249+0.966349j 0.402233+0.850117j -2.10995-2.83757j -0.453411-0.475967j 0.375513+0.0195308j 2.55744-2.20496j 1.06893-0.78436j 0.052058-0.64861j 0.640593+2.89757j 0.976794-0.407682j 0.442774+0.169101j -0.634824+1.13795j -0.621348-0.103457j -2.44448+0.860295j 0.510088-0.00420345j -1.1981-0.690243j -0.778666-0.576854j 0.576205+0.0760773j 0.889412-0.113936j 0.693849+1.41886j -0.394075+0.142626j 0.0201634-1.6973j 0.173708-1.01857j -1.54386-0.416179j -0.136691+0.788207j -0.836506+1.15644j 0.811223+1.07128j -0.145088-1.45034j 0.911007-0.00614494j 0.17412-0.095969j -0.760095+1.34617j -0.0430162-0.018491j 0.312764+1.03342j -1.48452+0.416034j 0.163864+1.03401j 0.242097+0.577213j -0.38829-0.707522j 1.55053-0.286603j 0.465142-0.0997807j -0.360866+0.21114j -0.224171-0.12004j 0.0433095-0.452007j -0.0878243+0.671738j 0.00659599-0.854046j 0.422817-1.02175j -0.720421+0.00822005j 0.184649-0.0402327j -0.155846-0.164368j -0.137093+0.143684j -0.791612+0.158212j 0.167472-0.602332j -0.0434172+0.483742j 0.23592-0.53813j 0.169542-0.323792j 0.472396-0.0506748j 0.34834-0.371781j -0.0908051-0.0989995j 0.179671-0.192634j 0.284401-0.0857234j 
