-0.145833-0j 0.7068-0j 0.69955-0j 0.0850557-0j -0.00620298-0j -0.0106337-0j 0.14581-0j -0.00859331-0j 0.117832-0j 
0.00212629-0j -0.0103054-0j 0.0106337-0j -0.00124014-0j 0.816233-0j -0.014729-0j 2.23784e-05-0j -0.583239-0j 0.00088614-0j 
-0.000306904-0j -0.141308-0j 0.14581-0j 0.790636-0j 0.00124014-0j -2.23784e-05-0j -0.0142671-0j -0.00088614-0j -0.564949-0j 
0.0582959-0j 0.00626204-0j -0.00620298-0j -0.000328372-0j -0.00227503-0j 0.00425074-0j 0.000613542-0j -0.00358129-0j -0.000516915-0j 
-0.0103054-0j 0.0520282-0j -0.0515375-0j -0.00551461-0j -0.0382064-0j 0.071386-0j 0.0103037-0j -0.0601435-0j -0.00868096-0j 
0.000858779-0j -0.0131915-0j 0.0130671-0j -0.0654836-0j -3.35143e-05-0j 6.26193e-05-0j 0.122352-0j -5.27574e-05-0j -0.103083-0j 
0.0601532-0j 0.00620298-0j -0.00588877-0j 0.000369302-0j 0.0025586-0j -0.00420714-0j -0.000607249-0j 0.00354456-0j 0.000511613-0j 
-0.0106337-0j 0.0515375-0j -0.0489269-0j 0.00620198-0j 0.0429686-0j -0.0706538-0j -0.010198-0j 0.0595266-0j 0.00859192-0j 
0.00088614-0j -0.0130671-0j 0.0124052-0j 0.0736458-0j 3.76917e-05-0j -6.19771e-05-0j -0.121097-0j 5.22163e-05-0j 0.102025-0j 
