-0.0336128+0.0651999j -0.0124756-0.0203444j 0.341392+0.237101j -0.24119+0.0778307j 0.000219476+0.109767j 0.609986+0.207668j -0.380064-0.0904146j -0.358286-0.240394j 0.851036+0.168801j -0.650725-0.383774j 0.058055+0.0442601j 1.42416+0.709559j -0.301764-0.237879j -0.372247-0.340299j 0.462301-0.0177575j 1.52506+1.12913j -1.2964-0.547206j 1.32778+0.853753j 1.41586+0.700509j -0.223281-0.121049j 0.412592+0.0333687j 2.01624+1.00355j 1.61733+0.809206j 1.10707+0.280568j 1.41651+0.75772j -2.8871-1.22997j -0.338061+0.322015j -0.636637-0.477403j 0.0806638-0.0858839j -1.37148-0.428569j -0.848405-0.400764j 1.5297+0.588177j -1.18429-1.08933j 1.0031+0.699816j 1.199+0.860758j -0.0360007-0.109559j -0.839343-0.472432j 0.973014+0.84496j -1.40725-1.08864j 0.930334+0.572632j 1.21984+1.07459j 0.0474292+0.487974j -0.585098-0.0528078j 0.452967+0.358722j -2.69697-2.10321j 0.868548+0.459034j -0.54491-0.659969j 1.29561+0.91126j -1.73062-0.716435j 0.591806-0.0320906j -0.55901-0.185616j 1.18083-0.00452853j -1.53967-0.882753j 0.665751-0.093455j -0.7667-1.01773j 0.0429612+0.00864204j 0.75096-0.489552j -0.365638+0.662772j -1.22983-0.834791j -0.421839-0.614858j 0.208277-0.261294j -0.676503+0.545512j -0.512923+0.141697j 0.00287355+0.47539j -0.526106-1.01816j -0.194+0.707508j -0.345923-0.325099j 0.0821607+0.388844j 2.59201+0.397224j -0.761083+2.40226j 
0.111114+0.00782438j 0.0207167-0.0951143j 0.246823+0.608252j 0.280799-0.410503j 0.0692236-0.223914j 0.955586+0.351134j 0.280604-0.269437j -0.483487-0.143798j 0.901272+0.700438j -1.38339-0.159951j 0.403003-0.0599625j 1.26439+0.988678j -0.0947532-0.124217j 0.230736-0.311928j 0.746179+0.428292j 1.21842+0.706094j -1.59477-0.584199j 1.77558+0.706347j 1.11688+0.773898j -0.248815-0.476592j 0.413704-0.0501372j 1.9135+0.965815j 1.46699+0.918415j 0.792333+0.640764j 1.48562+0.84278j -2.69014-1.44779j -0.830495+0.285521j -0.721789-0.0927521j -0.242747+0.42809j -1.21765-0.855188j -0.750166-0.510159j 1.86685+0.975242j -1.76379-1.30744j 0.53381+0.237118j 1.70484+1.42324j -0.0587237+0.0111802j -0.777912+0.0270115j 0.814067+1.70725j -1.79926-1.01504j 1.30908+0.492115j 1.83868+0.983113j 0.308437+0.245513j -0.255595+0.15586j 0.127485+1.30757j -2.55902-1.75558j 0.383273+0.9218j -1.186-1.39489j 0.803499+0.394301j -1.74504-0.871519j 0.637404+0.161153j -0.713898+0.349671j 0.13669+0.18816j -1.25379-0.675509j 0.876075+0.432627j -1.22827-1.40052j -0.284562+0.97505j -0.0192332-0.119041j 0.460479+0.908772j -0.517078-0.892133j -0.922275+0.503663j 0.00500164-0.592094j 0.350772+0.733726j -0.248074-0.52987j -0.302005-0.267816j -0.191736-0.500565j -0.235404-0.813399j 0.889757+1.24032j 1.63739-0.729412j -0.878202+0.483408j -0.879693+0.329094j 
-0.22806-0.0181782j 0.41338+0.0188472j 1.62635+1.61427j -1.0651+0.144554j -0.0536653-0.23888j 4.33309+2.13785j -1.43236-0.350991j -2.44144-1.56458j 5.44749+2.42297j -6.74958-3.27652j 1.49635+0.423045j 8.78385+4.74598j -1.45249-2.16251j -0.52101+0.116867j 3.23144+1.45814j 9.50566+5.67689j -7.8025-5.63645j 9.97184+6.10344j 6.81706+5.29501j -0.605405+0.729734j 2.23167+2.46947j 11.2764+8.61375j 9.4874+6.60782j 3.93915+3.41925j 7.58451+5.70434j -17.2491-13.2001j -2.33651-2.10343j -4.68242-3.07046j -0.451578+0.287331j -8.23677-7.19536j -4.40881-4.15017j 10.4682+8.48561j -9.00404-8.30921j 5.60826+3.80108j 8.84097+7.49551j 0.453528+0.618014j -3.96003-4.24378j 8.95201+7.36147j -9.28496-8.5328j 4.81201+4.66017j 7.0266+7.07837j 0.874567+0.339088j -2.09208-2.73927j 2.41152+1.67528j -12.7074-13.9827j 5.67018+5.59254j -3.3155-3.952j 6.49242+7.15641j -7.73877-9.69322j 2.12733+2.16703j -1.04818-0.241146j 4.81962+4.65989j -6.11595-7.29753j 5.59368+6.5349j -4.91696-7.44809j 0.481772+2.12985j 0.352257-0.608034j 2.64895+1.035j -4.24996-5.1292j -1.79918+0.731919j -0.585857-5.7343j 0.861759+3.56899j -1.59166-2.1831j 1.39034-1.01998j -0.209582-2.16544j -1.15771-0.468674j -0.207076+1.26277j -1.0158-2.02616j -0.523573+0.214536j 0.304863-0.725128j 
0.0913027-0.17997j 0.433627+0.133926j 0.0125438-0.486892j 0.0167946+0.333602j 0.296038+0.122658j 0.13734+0.374039j -0.343099+0.324757j -0.288859-0.202793j -0.0657578+0.22432j -0.760884-0.21901j 0.250856+0.0549136j 0.576385+0.157466j 0.129078-0.200185j 0.307149+0.307153j -0.0595574-0.206023j 0.604225+0.320189j -0.158039-0.603525j 0.409556+0.184716j 0.123316+0.950696j -0.177291-0.23801j 0.403756-0.110512j 0.28459+0.743874j 0.241358+0.481321j 0.120164+0.697018j -0.34667+0.498208j -1.52726-1.3661j -1.01425-0.321145j 0.377798+0.143484j 0.430948+0.387853j -0.256646-0.691752j -0.680493-0.266125j 0.887733+0.652854j -0.469596-0.646657j -0.344781+0.710043j 0.868433-0.346681j 0.28848+0.175752j -0.18227-0.230992j 0.951931+0.705378j -0.228334-0.435234j 0.846838+0.356027j 0.938201+0.209989j -0.805996+0.337494j -0.44596-0.0935403j 0.358839+0.742086j -0.75146-1.16242j -0.0922964+0.804439j -0.273067+0.136579j -0.720561+0.379791j -0.9671-0.538208j 0.651159-0.22037j -0.179741+0.0235615j 0.452275+1.07191j -0.909514-0.500767j -0.0578476-0.0472108j -0.87542-0.807831j 0.190237+1.17823j 0.0485353-1.45677j -0.860849-0.109281j 0.0189317-0.281511j -0.0353709+0.874121j -1.00901-0.982771j 0.452454-0.0752528j -0.121489-0.655168j 0.470651+0.982359j -0.0201763-0.783137j -1.23098+0.36301j 0.221555+1.16437j 1.50696+0.837354j 0.0745165-0.979688j -0.0228832+0.67855j 
0.367628-0.0865587j -2.24409-0.518657j -3.33926-3.11509j 2.2067-0.373652j -0.760149-0.364233j -10.4968-5.4571j 3.79709+0.541456j 5.54433+4.44044j -12.3498-5.736j 16.6869+8.55145j -4.26009-1.11853j -19.4165-12.2609j 2.3919+5.8178j 1.30275+0.193856j -7.57519-3.49782j -21.7914-14.9926j 18.2978+14.8855j -22.5256-16.3504j -16.6244-13.2801j 1.02773-0.265149j -5.68976-6.32778j -26.4064-21.4203j -21.9438-17.1822j -10.5618-9.54197j -17.4159-14.2161j 39.3724+32.7661j 6.22033+4.91329j 9.89912+7.24052j 0.625803-0.570053j 18.8459+16.788j 8.80358+10.5711j -24.0591-21.247j 22.7821+21.3109j -11.5472-9.53036j -20.5813-20.6639j -0.502444-0.633319j 8.32684+10.6354j -19.2409-22.0183j 20.7934+22.6214j -11.0806-10.0672j -16.2332-18.2996j -2.64462-0.414125j 5.17258+8.02384j -3.91555-5.0976j 29.3328+35.9723j -11.4031-16.3471j 8.59377+11.0191j -13.9469-18.7309j 18.1058+24.3411j -4.32649-5.71868j 1.02781+0.210974j -10.2576-14.7329j 12.6917+19.2888j -12.3337-16.1997j 11.6692+19.2844j -1.3352-5.55524j -1.25539+0.374652j -7.02076-4.55112j 7.54413+16.9549j 0.234439-3.76695j 3.27523+11.4818j -2.52989-9.34044j 4.3467+4.98324j -1.74636+2.35285j 4.50078+9.14412j -0.430998+0.502095j 2.67491+0.177505j 3.16702+2.71021j 0.185736+0.613488j -0.232306+0.166635j 
-0.310446+0.0607343j 2.46401+0.464046j 3.17466+3.23171j -2.03465+0.590827j 0.45348+0.106759j 10.9173+5.797j -4.25153-0.604285j -5.52616-4.56938j 13.0319+5.81685j -16.2034-8.71977j 4.23732+1.06848j 19.4851+13.0165j -2.11107-5.99182j -1.32971-0.642655j 8.25604+3.93637j 22.5279+16.5038j -18.8598-15.1834j 23.151+16.6747j 16.4588+13.4061j -1.25247+1.42663j 5.8156+5.32186j 26.9228+22.0388j 21.2938+17.4287j 9.62783+9.4785j 18.0255+14.8685j -38.576-33.6642j -6.18006-4.8409j -9.88596-7.26499j -0.607302+0.988288j -18.8398-19.5999j -9.71715-11.4601j 22.9851+22.7483j -22.6631-22.1511j 11.3654+9.98324j 20.47+22.2668j 0.717167+0.934291j -7.98956-11.7445j 18.8151+22.5501j -20.1996-23.4193j 12.321+10.7094j 16.5678+19.9728j 1.86387+0.546356j -4.11496-8.79851j 3.62947+6.22798j -28.0973-37.6056j 11.8233+15.9587j -9.03864-11.2739j 13.8915+19.4754j -17.6956-25.5284j 4.01617+5.51273j -2.03321+0.808922j 9.68567+16.3413j -12.7022-20.2066j 11.4913+16.9843j -10.4119-18.1476j 1.45118+6.58269j -0.0268101-1.52467j 5.87232+3.48914j -7.53284-16.0546j -0.899353+2.39099j -4.42919-11.4136j 0.746451+9.15624j -4.34863-5.40435j 1.7075-1.32154j -1.95588-6.74111j 0.17983+0.924451j -3.93957-0.0576685j -3.25933-3.21962j 0.217459-0.745635j 0.162571+0.183382j 
0.194282-0.117598j -0.60233-0.219779j -1.14179-1.13726j 0.725528-0.259986j -0.0131302-0.499749j -3.51916-2.1038j 1.18742+0.120502j 1.99943+1.813j -3.93687-2.20532j 6.09023+2.92376j -1.58478-0.369569j -6.74732-4.7324j 0.574728+1.97811j -0.00776363+0.27445j -3.01467-1.19813j -7.51639-5.18326j 6.25806+5.07841j -6.88299-6.73326j -6.07463-4.71559j -0.173225-0.472253j -1.64713-2.36949j -9.2172-8.29047j -7.29942-6.50465j -3.93814-3.43093j -6.26098-5.27926j 13.6436+12.1623j 1.90441+2.2715j 3.68481+2.70837j 0.528069-0.185352j 6.1157+6.45879j 3.15348+4.16041j -7.3507-8.24551j 8.32716+7.4486j -2.70379-3.59161j -6.95432-8.15029j -0.327258-0.235263j 2.89472+4.19828j -6.53817-8.25074j 7.46507+8.15537j -4.74673-4.98169j -4.90763-6.46906j -0.152252-1.58664j 1.82242+2.41565j -1.55123-2.24184j 10.0037+13.6013j -4.14841-6.03752j 2.70075+2.5897j -5.80201-7.01475j 5.7755+9.12623j -1.69359-2.61285j 1.33653-0.0806353j -3.49693-6.927j 4.58606+8.0304j -4.4552-6.20007j 3.25455+6.68153j -0.255454-3.24855j 0.0587374+0.232373j -3.16103-3.34656j 2.87542+5.16765j -0.341209+0.689753j 1.17626+5.58288j -0.637794-3.82613j 3.69547+2.72917j -0.14093+0.923973j 0.552137+3.1574j 0.0577158+0.0664042j 0.755829-0.0454863j 1.15133+0.994348j 0.140539+0.490905j 0.148903-0.0571495j 
0.708609-0.497756j -3.03469-1.00237j -4.38877-4.79491j 2.93688-0.86457j -0.162868-0.760628j -14.7736-8.73112j 5.29928+0.80383j 7.8936+7.34545j -17.9494-8.30738j 23.7175+12.6355j -6.10903-1.58809j -27.086-18.8877j 2.80184+8.7835j 1.74143+0.611538j -11.4941-5.37123j -30.7777-23.4827j 26.1615+22.7286j -31.1271-26.2378j -22.8655-19.683j 1.53273-1.18242j -7.58464-8.98572j -36.5219-33.7214j -29.5144-25.4837j -14.9312-15.3657j -24.9564-22.8469j 53.5165+52.1958j 8.63331+7.35209j 13.521+11.2025j 0.0244533-1.78646j 26.2559+27.9837j 12.4862+17.051j -32.3788-33.567j 32.0259+33.8857j -16.3838-15.4576j -29.1958-33.5899j -0.20333+0.0137264j 10.6318+15.8228j -26.5412-33.1581j 27.8136+35.9855j -15.4654-15.9673j -22.9193-30.6925j -3.34285-0.229304j 6.78475+12.4999j -5.10585-8.7347j 38.9588+56.0649j -15.9532-25.7742j 11.7993+15.3489j -17.9007-30.1946j 25.341+37.5426j -8.19584-9.56023j 3.16473-0.308985j -14.8811-22.8987j 18.4647+30.2323j -15.2326-26.4787j 15.6316+28.1924j -1.68412-8.29963j -1.22822+0.810638j -9.75257-5.88214j 11.4508+23.1078j 0.684367-3.84103j 3.83765+18.7666j -0.819964-13.2649j 5.24213+7.76212j -3.00391+4.00666j 1.97545+12.8472j -0.331732-0.204844j 3.84568-0.204542j 3.65526+4.87487j -0.0621146+1.56631j 0.364316-0.773185j 
-0.446189+0.478431j 0.193614+0.311577j 1.67656+1.93788j -1.22676+0.0837958j -0.00697735+0.67078j 4.47631+3.01494j -1.32297-0.0485595j -2.45323-2.15902j 4.88029+2.10461j -7.30448-4.7174j 2.01986+0.783569j 8.25632+5.65927j -0.887162-2.50294j -1.00291+0.540836j 2.51043+2.36403j 9.99417+7.4015j -7.96164-7.11426j 10.1901+8.86112j 7.5594+6.54279j -0.907949-0.167144j 2.60293+2.20808j 11.5249+10.2433j 8.89246+8.23225j 4.19421+4.77455j 7.63546+7.46803j -16.9383-15.6206j -3.32258-2.98881j -3.73304-2.86651j -0.0892078+0.609014j -7.53929-8.78491j -4.46855-4.44327j 10.0767+11.3637j -10.2146-10.2218j 4.98683+5.04389j 8.17137+10.0652j -0.160113+0.535261j -3.81592-5.69678j 8.31608+11.4969j -9.25831-11.2898j 4.87882+4.97129j 7.45446+9.29141j 0.231055+0.164697j -2.62801-4.52028j 2.60112+3.30627j -12.9414-17.6952j 5.5184+7.63321j -3.69786-4.41985j 5.32932+9.26856j -7.95009-11.2396j 1.81913+2.77154j -0.397683-0.8193j 5.92027+7.46037j -5.98636-9.00951j 4.51048+8.74379j -4.66131-8.70027j 0.111261+2.81728j -0.430642-0.482885j 3.17156+1.57887j -3.66525-7.44262j 0.245941+1.75958j -1.89103-5.42087j 1.0321+4.79828j -1.17917-2.52744j -0.104365+0.0828824j -0.254194-4.18803j -1.21459-0.442799j -0.953279-0.353999j -2.0135-1.94998j -0.634235-0.601508j -0.195725-0.516199j 
-0.35295+0.345064j 2.02789+0.646776j 2.98683+3.26467j -1.94942+0.438246j 0.594017+0.0964588j 9.41205+6.1392j -3.54326-0.333147j -5.22916-4.90791j 12.4065+5.60982j -15.4105-7.93414j 4.06063+1.1681j 18.1849+11.9135j -1.62093-5.23905j -0.374624-0.27747j 6.49191+3.59719j 19.7535+16.3355j -16.2468-14.269j 19.6181+17.1521j 14.6077+14.0131j -1.64443+1.40852j 5.73374+5.32255j 24.304+22.3895j 18.7645+17.8884j 8.79402+9.99388j 16.3076+15.258j -34.8093-33.6474j -5.35616-5.24087j -8.44644-7.2723j -0.549573+0.951579j -17.1238-18.8308j -8.2507-11.4861j 20.5515+22.7044j -21.2258-21.0451j 10.2097+9.99325j 18.5125+22.5992j 0.221576+0.860347j -8.63209-10.355j 17.1092+22.4134j -17.4994-23.3529j 8.63498+9.84896j 15.0169+18.7707j 2.65066+0.905313j -5.0525-9.67868j 3.68891+5.78634j -25.0795-37.8178j 9.5666+16.3767j -6.75891-10.2698j 12.0632+18.6704j -15.7182-24.1397j 4.92904+5.21809j -2.22133-0.830022j 8.58754+15.6273j -9.70879-19.8547j 10.2979+16.4586j -10.2088-18.6719j 2.03252+4.79032j 0.663389+0.303876j 6.37727+4.88912j -6.80443-14.8695j -1.10496+2.51904j -2.13662-12.7697j -0.183258+9.55997j -3.69564-4.83232j 1.58221-2.45635j -1.94354-7.25563j -0.285201+0.240004j -2.69026+0.271783j -2.50318-3.45442j 0.100188-1.00962j -0.428142+0.399625j 
0.847444-0.928391j -2.45863-1.36184j -3.28246-4.11036j 2.39783-0.941792j -0.496639-0.0390152j -12.8252-7.87291j 4.77896+0.332985j 5.74268+6.1575j -15.4636-6.66154j 19.623+11.0073j -4.86807-0.713043j -22.485-16.9315j 3.23124+8.38133j 1.67366+0.425291j -9.87943-4.85319j -25.0696-21.536j 21.383+20.0861j -26.2506-23.0525j -18.2037-17.7223j 1.59781-0.808488j -6.78261-6.63193j -30.1911-30.1792j -25.297-23.9546j -11.6687-13.4777j -19.7301-19.9795j 44.161+45.8393j 7.82587+6.52849j 11.2464+9.26736j 2.06704-1.1362j 21.745+24.6503j 9.85366+15.0501j -25.6452-29.8547j 26.0229+28.863j -12.5668-13.4774j -22.2817-28.4616j -1.428+1.25087j 7.84963+15.0825j -21.4145-30.7156j 22.1178+32.2j -12.2262-13.9265j -18.3451-25.5245j -1.81653-1.27569j 5.22806+11.5811j -4.36169-7.94476j 30.413+49.4223j -12.4717-22.0301j 8.57077+13.5737j -15.3991-25.5054j 18.4406+32.3892j -5.25229-8.91342j 2.06402+1.29766j -10.8786-19.989j 13.8895+27.0815j -11.7572-22.7221j 10.4235+24.7145j -1.14968-7.94749j -0.380394+0.912685j -8.4518-4.96566j 7.8307+21.5844j 1.94149-4.26466j 1.4702+17.1936j 0.085288-13.3538j 3.99125+6.74103j -2.03865+2.93693j 2.14773+10.6719j -0.36582-0.649789j 3.20348-0.243174j 2.34715+4.64028j -0.103614+1.10628j 0.833885-0.755342j 
