0.891986-0j -0.114566-0j -0.0866035-0j -0.0866035-0j -0.0763771-0j -0.0724577-0j -0.0935424-0j -0.0540068-0j -0.0836669-0j -0.0572828-0j -0.0512353-0j -0.0724577-0j -0.0661445-0j -0.0295807-0j -0.025459-0j -0.0661445-0j -0.0572828-0j -0.0540068-0j -0.0467712-0j -0.0270034-0j -0.0311808-0j -0.0147904-0j -0.0467712-0j -0.0165361-0j -0.0270034-0j -0.0190943-0j -0.00697224-0j -0.0104584-0j -0.00322752-0j -0.00053792-0j 
0.114566-0j 0.00275431-0j 0.0918569-0j -0.0924349-0j 0.0810101-0j 0.076853-0j -0.000312189-0j -0.115106-0j -0.00027923-0j -0.000191176-0j 0.0543433-0j -0.0773366-0j 0.0701568-0j -0.0945202-0j 0.0270034-0j -0.0705983-0j -0.000191176-0j -0.000180242-0j -0.099685-0j 0.0286414-0j -0.0664567-0j -0.062997-0j -0.0499206-0j -5.51877e-05-0j -0.0862847-0j -0.0406962-0j -0.0371155-0j -0.0445456-0j -0.0206152-0j -0.00458056-0j 
0.0866035-0j 0.0918569-0j 0.432819-0j -0.427431-0j 0.0612379-0j 0.0580954-0j -0.0759463-0j 0.0433017-0j 0.0670828-0j 0.0459284-0j -0.124275-0j -0.0588277-0j -0.0537021-0j 0.0237173-0j 0.0204126-0j 0.0530336-0j -0.138943-0j -0.0438476-0j -0.0379731-0j -0.109073-0j 0.0250003-0j 0.0118587-0j -0.113447-0j -0.0934773-0j -0.0219238-0j -0.0771264-0j 0.00559023-0j -0.0253674-0j -0.0026204-0j 0.000431296-0j 
-0.0866035-0j 0.0924349-0j 0.427431-0j -0.427423-0j -0.0612379-0j -0.0580954-0j 0.0754728-0j -0.0441218-0j 0.0675049-0j 0.0462175-0j -0.0410796-0j 0.0580942-0j -0.0530336-0j -0.119784-0j -0.0204126-0j 0.0530325-0j 0.0462175-0j 0.0435742-0j -0.0382106-0j -0.0216509-0j -0.0254737-0j -0.131567-0j 0.0374997-0j 0.0133418-0j -0.109347-0j -0.0155994-0j -0.10706-0j -0.093032-0j -0.0756165-0j -0.0238926-0j 
0.0763771-0j 0.0810101-0j 0.0612379-0j 0.0612379-0j 0.560246-0j 0.0512353-0j -0.338274-0j -0.195303-0j -0.120004-0j 0.0405051-0j 0.0362288-0j 0.0512353-0j -0.0948711-0j 0.0209167-0j -0.145552-0j -0.0948711-0j 0.0405051-0j -0.193112-0j 0.0330722-0j -0.038731-0j -0.111494-0j 0.0104584-0j -0.067084-0j 0.0116928-0j -0.038731-0j 0.0135017-0j -0.0100003-0j 0.00739518-0j 0.0022822-0j 0.000380367-0j 
0.0724577-0j 0.076853-0j 0.0580954-0j 0.0580954-0j 0.0512353-0j 0.604845-0j 0.0627502-0j 0.0362288-0j -0.228945-0j -0.272873-0j -0.140199-0j -0.198272-0j -0.135358-0j -0.0809442-0j 0.0170784-0j -0.135358-0j -0.117223-0j 0.0362288-0j -0.0957123-0j 0.0181144-0j 0.0209167-0j -0.0302669-0j 0.0313751-0j 0.0110928-0j 0.0181144-0j 0.0128088-0j 0.00467712-0j 0.00701568-0j 0.00216509-0j 0.000360848-0j 
-0.0935424-0j 0.000312189-0j 0.0759463-0j 0.0754728-0j 0.338274-0j -0.0627502-0j 0.00132004-0j -0.48065-0j 0.00022799-0j 0.000156094-0j 0.134232-0j -0.0639411-0j 0.0580049-0j 0.0771754-0j -0.0220482-0j 0.0576433-0j -0.000472219-0j -0.000149022-0j -0.0824185-0j 0.117812-0j 0.0542617-0j 0.0514368-0j -0.123308-0j -0.000317696-0j -0.0713393-0j -0.167398-0j 0.0303047-0j -0.110031-0j -0.0170444-0j 0.00374001-0j 
0.0540068-0j -0.115106-0j 0.0433017-0j 0.0441218-0j -0.195303-0j 0.0362288-0j 0.48065-0j -0.55631-0j -0.0840618-0j -0.0575532-0j 0.0256177-0j 0.036915-0j 0.0330722-0j 0.0142266-0j 0.0127295-0j 0.0336986-0j -0.0575532-0j -0.0542617-0j 0.0942047-0j 0.0135017-0j 0.0628031-0j -0.105287-0j 0.0238285-0j -0.0166142-0j 0.0129871-0j 0.0384589-0j -0.166029-0j -0.0744488-0j -0.169865-0j -0.0853938-0j 
-0.0836669-0j 0.00027923-0j -0.0670828-0j 0.0675049-0j 0.120004-0j 0.228945-0j 0.00022799-0j 0.0840618-0j 0.00168728-0j 0.000139615-0j 0.161888-0j -0.230386-0j 0.103926-0j -0.281575-0j 0.159444-0j -0.10458-0j 0.000139615-0j -0.00066563-0j 0.0727997-0j 0.0424277-0j -0.245423-0j 0.0460065-0j -0.0739493-0j 4.03034e-05-0j -0.127817-0j 0.0297203-0j -0.0549807-0j 0.0325315-0j 0.0150552-0j 0.00334517-0j 
-0.0572828-0j 0.000191176-0j -0.0459284-0j 0.0462175-0j -0.0405051-0j 0.272873-0j 0.000156094-0j 0.0575532-0j 0.000139615-0j 0.0016835-0j -0.0271716-0j 0.0386683-0j 0.249098-0j 0.0472601-0j -0.0135017-0j -0.250665-0j -0.000678785-0j 9.01211e-05-0j -0.35394-0j -0.0143207-0j 0.0332283-0j -0.223676-0j 0.0249603-0j 2.75938e-05-0j 0.0431424-0j 0.0203481-0j 0.0185578-0j 0.0222728-0j 0.0103076-0j 0.00229028-0j 
