0.191743-0j -0.569295-0j 0.000923807-0j -0.00719329-0j 6.60997e-07-0j -1.10758e-05-0j -2.64619e-09-0j -6.82524e-05-0j 0.000774143-0j -2.8244e-08-0j 7.83347e-07-0j -1.6736e-08-0j 3.62043e-06-0j -6.06644e-05-0j -2.5104e-08-0j -1.19829e-07-0j 3.32346e-06-0j -1.12268e-07-0j 
-0.125227-0j -0.09911-0j 0.133927-0j -0.499605-0j 0.000498844-0j -0.00553136-0j -4.23335e-06-0j 0.000570394-0j -0.00382001-0j -1.47273e-05-0j 0.000290644-0j 2.97034e-07-0j -4.57219e-05-0j 0.00050698-0j -1.309e-05-0j 2.12675e-06-0j -4.19715e-05-0j 1.99256e-06-0j 
0.00322337-0j 0.000709467-0j -0.203852-0j -0.120749-0j 0.0741657-0j -0.400911-0j -0.00217851-0j -0.00143195-0j 0.0028586-0j 0.000259426-0j -0.00304436-0j -2.57239e-06-0j 0.000235451-0j -0.00127276-0j 0.000230584-0j -1.84182e-05-0j 0.000216138-0j -1.72561e-05-0j 
-4.81951e-06-0j -6.27075e-07-0j 0.00316376-0j 0.000562078-0j -0.283823-0j -0.110139-0j -0.239257-0j -0.000126716-0j -2.94127e-05-0j -0.00151553-0j 0.00566053-0j 9.96282e-06-0j -0.000290238-0j -0.000112629-0j -0.00134705-0j 7.13335e-05-0j -0.000266431-0j 6.68327e-05-0j 
-0.0740992-0j -0.0252077-0j 0.0124517-0j -0.0206324-0j 4.70628e-05-0j -0.000388281-0j -3.32094e-07-0j 0.107328-0j -0.468048-0j 0.000158997-0j -0.00250182-0j 0.000190528-0j 0.000257774-0j -0.0021267-0j -3.15052e-06-0j -1.50384e-05-0j 0.00023663-0j -1.40896e-05-0j 
0.000570394-0j 9.31886e-05-0j -0.0594958-0j -0.0161326-0j 0.0131158-0j -0.0333685-0j -0.000283982-0j -0.154349-0j -0.0761214-0j 0.0443152-0j -0.342779-0j -0.00180751-0j -0.00120214-0j 0.00305841-0j -0.000878104-0j 0.000142667-0j -0.00110353-0j 0.000133665-0j 
-3.54459e-07-0j -3.83469e-08-0j 0.000259426-0j 3.43735e-05-0j -0.0355276-0j -0.0066572-0j -0.0462133-0j 0.00106659-0j 0.000163183-0j -0.246855-0j -0.0654158-0j 0.00495006-0j -0.000112788-0j -2.11343e-05-0j 0.00489143-0j -0.00039071-0j -0.000103537-0j -0.000366058-0j 
3.04813e-05-0j 3.96597e-06-0j 0.000221985-0j 3.94383e-05-0j 0.000335138-0j 0.000130052-0j -9.96282e-06-0j -0.0726992-0j -0.0168745-0j 0.00964617-0j -0.0360285-0j -0.253502-0j 0.00183563-0j 0.000712326-0j -9.45156e-05-0j -0.000451153-0j 0.00168506-0j -0.000422687-0j 
-0.0176551-0j -0.00388591-0j -0.0186842-0j -0.0110673-0j -0.000235451-0j 0.00127276-0j 2.22776e-06-0j 0.00784313-0j -0.0156572-0j 2.37778e-05-0j -0.000279033-0j 1.40896e-05-0j 0.0780568-0j -0.421944-0j -0.0012792-0j 0.000100881-0j -0.00118384-0j 9.45156e-05-0j 
4.57219e-05-0j 5.94895e-06-0j -0.00978269-0j -0.00173801-0j -0.0300411-0j -0.0116576-0j 0.00134705-0j 0.00120214-0j 0.000279033-0j 0.0046862-0j -0.017503-0j -9.45156e-05-0j -0.166658-0j -0.0646725-0j -0.252108-0j -0.000676729-0j 0.00252759-0j -0.00063403-0j 
1.94145e-06-0j 2.10035e-07-0j 2.37778e-05-0j 3.15052e-06-0j 0.000112788-0j 2.11343e-05-0j 4.72578e-05-0j -0.00584193-0j -0.00089379-0j -0.0226257-0j -0.00599573-0j -0.0271126-0j -0.0373916-0j -0.00700647-0j -0.0271359-0j 0.00214001-0j 0.000567094-0j 0.00200498-0j 
-0.00241998-0j -0.000395366-0j -0.00859171-0j -0.00232969-0j 0.000931171-0j -0.00236903-0j -1.33665e-05-0j -0.0145988-0j -0.00719979-0j -0.000142667-0j 0.00110353-0j -8.45374e-05-0j 0.00510023-0j -0.0129757-0j -0.000126806-0j 0.0462399-0j -0.357666-0j -0.000567094-0j 
2.12675e-06-0j 2.30082e-07-0j -0.000765254-0j -0.000101395-0j -0.00738339-0j -0.00138351-0j -0.0046663-0j 0.000142667-0j 2.18275e-05-0j -0.0162335-0j -0.00430182-0j 0.000327412-0j 0.000676729-0j 0.000126806-0j -0.0144287-0j -0.179086-0j -0.0474572-0j 0.00219635-0j 
-0.000204474-0j -2.66045e-05-0j -0.00148912-0j -0.00026456-0j -0.00224817-0j -0.000872417-0j 6.68327e-05-0j -0.00537612-0j -0.00124787-0j 0.000713335-0j -0.00266431-0j 0.000422687-0j -0.0123138-0j -0.00477843-0j 0.00063403-0j 0.00302643-0j -0.0113037-0j -0.262161-0j 
-9.84496e-06-0j -1.06507e-06-0j -0.000120576-0j -1.59761e-05-0j -0.000571941-0j -0.000107171-0j -0.000239641-0j -0.00066042-0j -0.000101041-0j -0.0025578-0j -0.000677807-0j -0.00151562-0j -0.00313265-0j -0.000586998-0j -0.00227343-0j -0.0108518-0j -0.00287569-0j -0.0101671-0j 
