0.0337264-0.0575593j -0.0429632+0.0302986j -0.0441834+0.0395564j -0.08541+0.0167069j 0.0148933+0.034022j -0.0726741-0.00488738j 0.107469+0.0119203j -0.0216907-0.062174j -0.00488981-0.0303557j -0.014564-0.127905j 0.0424159+0.0123736j 0.127477+0.0277054j -0.129171-0.0594598j -0.066846-0.115007j 0.0387762-0.0536919j 0.112511-0.112082j 0.0944329-0.0906179j 0.0210583-0.0588149j -0.0516522+0.131409j 0.0271869+0.153968j 0.134076+0.17782j 0.0650844+0.0898857j 0.0909084-0.0109387j -0.029974-0.0727271j 0.260654-0.189799j 0.0393667-0.0079742j 0.0935727-0.0520755j -0.0432954+0.108663j 0.0800118+0.301798j 0.116794-0.0146022j 0.0178402-0.0440248j 0.14438-0.235615j 0.0410866-0.0497302j -0.262636-0.0542746j -0.34349-0.123233j -0.0879408+0.0303736j 0.146744-0.279671j -0.0845558-0.535803j -0.286446+0.0220096j 0.236031+0.119625j 0.789576+0.0603926j 0.0891575-0.0626981j -0.61446+0.495462j 0.788729-0.48423j -0.09398+0.0846701j -0.0711874+0.0634222j -0.0500876+0.0934584j -0.0386638+0.0548233j 0.18521-0.184744j 0.110001-0.244349j -0.0956922+0.0868507j 0.042561-0.0442273j -0.0653927+0.0650731j 0.0161857+0.0844585j -0.244332+0.0951236j 0.146187+0.0231298j 0.183396+0.0309146j -0.019284+0.0149922j -0.116883+0.158685j 0.219146-0.153087j -0.181874+0.16604j -0.207423+0.254698j -0.0778215+0.276182j 0.0380108-0.204666j -0.0874085-0.109653j -0.178761-0.0939283j -0.513074-0.2639j -0.153243-0.0859047j -0.225968-0.0790367j 0.293765-0.412718j -0.37857+0.186892j -0.0696702+0.0714691j 0.216286+0.0494216j 0.291305-0.477318j 0.0165375-0.283641j -0.173271+0.0942507j 0.552977+0.363316j 0.506193+0.253466j 0.231175-0.167673j -0.21548-0.0438753j 0.0945233-0.512455j 0.217438+0.635079j -0.662091-0.341666j -0.225039-0.14861j -0.675513+0.487638j 0.10398-0.454243j -0.725354+0.0803474j -0.0932068-0.929824j -0.680116-0.112391j -0.523776+0.541504j 1.69533-0.190002j -0.295009+1.41397j 
-0.00537921+0.0461384j -0.0250243+0.0773763j 0.130461-0.0709494j 0.0738872+0.0042442j -0.123483+0.130869j 0.141791+0.0495198j -0.0958108-0.108121j -0.0787577+0.0704083j -0.0284361+0.00499598j 0.153637-0.0286363j 0.015368-0.112207j -0.175068+0.0973334j 0.035453+0.189056j -0.00527409+0.17851j -0.0838132-0.0304877j -0.0902559+0.0351387j 0.188944-0.107642j -0.0797514-0.0243995j -0.0834162+0.089833j 0.187293-0.0847532j -0.123249+0.118253j -0.016393-0.0866351j 0.09107-0.00940552j -0.0786284-0.0393182j 0.0407415-0.0715885j 0.044755-0.114703j -0.378586+0.0793032j -0.0645408+0.0515244j 0.525791+0.136976j 0.105335-0.177307j -0.199037+0.261924j 0.0337164-0.0516529j -0.124964-0.17137j -0.108675-0.0370143j -0.380855+0.452218j 0.0609742+0.0448825j -0.0598367-0.526462j -0.0814259-0.0692551j 0.246479+0.0601748j -0.607087-0.205471j -0.0249123-0.0754442j -0.28459-0.150548j -0.199617-0.568338j -0.104576+0.195683j 0.0580315+0.114704j 0.0109484-0.0860112j -0.0331413-0.412815j 0.0611008-0.0339891j -0.221731+0.00365432j 0.151689+0.345549j 0.0212258+0.0039523j 0.237967+0.142488j -0.225672-0.269961j 0.00664814-0.210535j 0.245971-0.364732j -0.122566-0.245462j -0.121371-0.321184j 0.0127908+0.100203j -0.0636287-0.180759j 0.331921+0.0155111j -0.237199-0.0740648j 0.326446+0.00682338j -0.332413-0.455164j -0.186884+0.208561j 0.0648965-0.345163j -0.210516+0.0661656j 0.0403597+0.0279434j 0.210086+0.121792j -0.035793+0.159387j -0.564641-0.183172j 0.193073-0.0354943j -0.033695-0.0620002j 0.705401-0.309885j 0.102872-0.67479j 0.249629-0.535122j -0.117796-0.35837j 0.303941-0.342966j 0.104311+0.153352j 0.0871357+0.670973j 0.0194382+0.299834j -0.33514-0.556335j 0.574327-0.150885j -0.834062+0.0919214j 0.27479+0.709298j 0.366415+0.533375j 0.495077-0.336594j 0.187777+0.0408099j -0.0686165+0.423264j 0.354501+0.369626j -1.42139+0.545624j -0.600994-0.0467708j 0.20416-0.114755j 
-0.0533669-0.00849107j 0.0717022+0.195203j 0.0809334-0.0783531j -0.114866+0.00553876j 0.0244988+0.211983j 0.127637+0.00220849j -0.00279853-0.036075j -0.201652+0.059625j -0.120838-0.000589309j -0.0131315-0.144314j -0.0451341-0.108149j 0.0495865+0.0613044j 0.0606255+0.0361151j -0.0288131+0.0358832j 0.0169341-0.0592092j -0.220467+0.130228j -0.0235514+5.73297e-05j 0.0953358-0.0713295j 0.00873557+0.160799j -0.165231+0.415276j -0.0387362-0.256867j 0.127474+0.315572j -0.133542+0.107182j 0.0802862-0.354699j -0.00917571+0.315695j 0.132777+0.0766459j 0.413669-0.126434j -0.0118074-0.141885j -0.365992+0.0977276j 0.0824284-0.00829885j -0.159634-0.288293j -0.130297-0.00840001j 0.372859-0.256681j -0.0541039+0.236719j -0.428481+0.0873245j -0.0310284+0.00469494j -0.116775-0.598075j -0.0430418-0.0885312j 0.00509366+0.185064j -0.670184-0.155017j -0.399308-0.0331305j -0.380064-0.0722428j -0.0656933-0.211916j -0.589065+0.351373j 0.00342982-0.0813456j -0.116337+0.0888121j 0.0463685-0.0424281j 0.139968+0.110313j -0.133521-0.363232j 0.259504-0.139873j -0.355282+0.137422j 0.17216-0.213912j -0.157318+0.101085j -0.0825866-0.202375j 0.421439+0.0779419j -0.165809-0.197749j -0.0529911-0.447342j 0.165916-0.194735j 0.280467-0.268553j 0.154714-0.0253506j -0.131398+0.375143j -0.22905-0.217508j 0.676878+0.183594j -0.0197151-0.264887j 0.101172+0.183321j -0.0198131+0.162617j 0.181384-0.336846j 0.222977-0.404288j -0.14559-0.106242j 0.778334-0.239314j -0.100965-0.31303j -0.180989-0.454957j -0.293983+0.0488436j 0.310383+0.869633j 0.0654628+0.294156j 0.362833+0.0122478j 0.471877+0.0625074j 0.121692-0.22038j -0.460859+0.396488j 0.0465841+0.36497j 0.63125+0.134848j -0.277192+0.283083j -0.560109+0.437443j 0.0502281-0.240631j -0.373817+1.15382j -0.539615+0.65127j 0.853375+0.253604j 0.602413+0.643528j 0.129591+0.7526j -0.771785-0.0281848j -0.257571+0.341882j 0.0676492-0.855099j 
0.0067147+0.0114675j 0.0155175-0.135635j -0.125801+0.101967j -0.0995568-0.0108913j 0.102265-0.138926j 0.0602422+0.0691207j 0.141673+0.0794315j -0.0265732-0.0676148j -0.105729-0.154006j 0.0113012+0.0292816j -0.21142-0.220426j 0.063783-0.134008j 0.0687672+0.019376j 0.129243-0.0895773j -0.0798381+0.148302j -0.0791984-0.14704j 0.0875929+0.0344628j 0.101616+0.158836j -0.00820152+0.0182224j -0.0310884-0.161131j -0.367619+0.0412204j -0.1569-0.028035j 0.120559+0.0888291j -0.064845-0.139243j 0.0536907+0.105459j -0.0817173+0.0846462j 0.0992086+0.288011j -0.308097-0.291243j 0.0646069+0.211328j 0.00879578+0.114873j 0.531323+0.531834j 0.0846813-0.0674093j -0.154639-0.255901j 0.466766+0.249177j 0.0921672+0.33735j 0.156623+0.0211675j -0.119876-0.325121j 0.194247-0.561926j 0.373913+0.310062j -0.0717121-0.902441j 0.175357+0.062185j 0.251263+0.109064j 0.18686+0.120745j 0.454046-0.0418455j -0.0615307-0.0571326j 0.142658+0.104935j -0.138909+0.530773j 0.0204549-0.0125697j 0.134925-0.0572945j -0.331659+0.133901j -0.0665806+0.221678j -0.416073-0.154245j 0.0469802+0.0899698j 0.264866+0.00265372j -0.280968+0.333143j -0.298192+0.0895566j -0.181386-0.0685267j 0.0633847-0.483139j -0.226405-0.533776j 0.104004+0.242769j -0.188993-0.290629j 0.298236-0.0474077j 0.146888-0.200117j 0.49356+0.162501j -0.0276917-0.228884j -0.0467704+0.224435j 0.419798+0.0485972j -0.0766724-0.265725j 0.0114799-0.126711j 0.583499-0.0217682j 0.281189-0.579704j -0.382713+0.119373j 0.226051-0.136485j -0.162488-0.352424j 0.126309-0.910499j -0.495183-0.064758j -0.650695+0.614626j 0.389347+0.868158j 0.75143+0.147847j -0.221433+0.390372j 0.445303+0.472177j 0.46916+0.440939j 0.0434629+0.952838j -0.330667-0.0100344j 0.646952+0.557644j -0.0937238-0.55378j 0.163621-0.149584j 0.517701-0.366786j 0.488433+0.569056j -0.599631-0.565189j 0.0721303+0.0530815j -0.293065+0.368372j 
-0.0571994-0.0143799j 0.0927431-0.00373685j -0.0153355+0.148708j -0.0998381+0.272594j -0.0159811+0.0559592j 0.0624828-0.0272599j 0.0185227-0.0138102j 0.0706844-0.00245728j 0.0727569+0.0670892j 0.0664098-0.151594j 0.192974+0.185229j -0.153174+0.102095j -0.344569-0.217221j 0.0400967-0.189403j -0.0257436+0.0543493j 0.250258+0.0506303j 0.0672194+0.128388j 0.0373709+0.153293j 0.253684-0.237476j -0.058281-0.59433j 0.109482-0.0171212j -0.357555+0.119132j 0.1615-0.150075j -0.116273+0.103621j -0.299166+0.0560802j -0.155138-0.0801702j -0.106248+0.0226578j -0.0562533+0.039542j -0.43183+0.0533012j 0.000629611-0.255141j 0.26563+0.325188j 0.0740499-0.64041j 0.548124+0.24625j 0.33291+0.405332j -0.211954-0.311077j 0.109012+0.226177j -0.289752-0.52909j 0.43884+0.342796j 0.148878+0.0820968j -0.659021+0.343747j 0.341484-0.0265813j 0.0591695-0.168677j -0.11963+0.00403351j 0.267177+0.157215j -0.506745-0.0537873j 0.12917+0.285309j 0.210702-0.284777j 0.10517-0.0356579j -0.251373-0.0722846j 0.416132-0.0289154j -0.262507+0.00660678j -0.0777818+0.215116j 0.261929-0.167111j 0.243713+0.677963j -0.120437-0.128709j 0.233876+0.0889025j 0.0256633+0.493682j -0.225894-0.470299j 0.286569+0.518164j 0.0168637-0.0835369j 0.127625+0.0386398j 0.655262-0.0468047j -0.269681-0.0441352j 0.0722726+0.414058j -0.377911-0.553512j 0.588543+0.226004j 0.232342+0.246006j -0.152885-0.00105408j 0.0338255+0.468441j -0.0497141+0.725706j -0.339175-0.25418j 0.16542-0.192324j 0.417569+0.189682j 0.0721457-0.0406286j 0.0917747+0.137607j -0.741757+0.393791j -0.17741-0.190275j 0.37528+0.209059j -0.399043-0.948181j -0.318436+0.352868j 0.884262-0.0772016j 0.0611171+0.686455j 0.0255942+0.432118j 0.120866+0.645195j -0.178345-0.361375j 0.322928-0.0533609j 0.268849+0.952669j 0.677557+0.0122495j -0.575096-0.0434399j -0.230582+0.498814j 0.185097-0.607731j -0.445827+0.306513j 
0.109724+0.0629988j -0.155953-0.138653j 0.0223412+0.0085799j 0.0200305-0.12467j -0.088435+0.00408637j 0.145647-0.191841j 0.0636933+0.00443384j 0.0183531-0.0686783j -0.0950895-0.0670395j -0.0014053-0.141683j -0.157018-0.0784026j 0.16241+0.178719j 0.0589881+0.42045j 0.0799943+0.281917j -0.0905214-0.372172j -0.246663-0.0779949j 0.0527083-0.148165j -0.142741-0.335849j 0.30911+0.21179j 0.0497329+0.302904j 0.307665-0.281761j 0.0417882-0.224006j -0.0197182+0.0438003j -0.429862-0.107436j 0.0412822+0.166136j 0.0347492-0.21506j 0.352537-0.266724j -0.293721-0.142273j 0.25713+0.111113j -0.474722-0.430404j -0.295791+0.691737j -0.0934344-0.726662j 0.165739-0.472653j 0.212795-0.0580551j 0.554449-0.772996j 0.147148-0.185962j -0.100118+0.0884548j 0.21822+0.624268j 0.0232095-0.489185j 0.366482-0.11242j -0.0572504+0.145139j 0.0439613+0.0955589j -0.0976057-0.0512838j -0.146724-0.566368j 0.233682+0.0916263j 0.254723-0.133661j -0.369114+0.300228j -0.230004-0.162369j 0.3234+0.181628j 0.34309-0.0983235j 0.438626-0.0282796j 0.245209-0.140403j -0.190333+0.125216j 0.193727-0.00645045j 0.234459-0.059916j 0.250474-0.406366j 0.235595-0.714745j -0.0765406-0.070395j 0.162405+0.352687j 0.153635-0.0779515j 0.523535+0.0878019j -0.0133229+0.131618j 0.724623+0.0334714j -0.52281-0.18767j -0.322843-0.324543j 0.527742+0.742486j -0.250089-0.0750755j 0.00140358+0.00322952j -0.225183+0.0457013j -0.209308-0.0888785j -0.120015-0.194833j -1.03096+0.00236353j -0.0379832-0.84566j 0.834933-0.538579j -0.158056+0.51031j -0.186038-0.114312j -0.152603-0.503284j -0.188154+0.153411j -0.0330303-0.0593938j -0.221532-0.487539j -0.0623733+0.981658j 0.502036+0.560824j 0.990727+0.197268j -0.289858-0.0658746j -0.0296-0.321821j 0.220294-0.447258j -0.10037+0.714408j 0.0757433-0.238613j -0.62696-0.695854j 0.44042-0.195009j 0.0788873+0.391015j 0.549897+0.15427j 
0.0360626+0.00239934j 0.0552389+0.00242748j -0.0760227-0.0210947j 0.00666198+0.0228495j -0.157954-0.128343j 0.112653+0.0307916j -0.0599892-0.0739797j -0.0172611+0.0657424j -0.011077+0.0647563j -0.00216375-0.110207j 0.0357586+0.0678484j 0.185479+0.217558j -0.202033-0.228165j -0.0202526+0.0392461j -0.0396726-0.0724438j -0.103777-0.302593j -0.0219259+0.0405629j -0.0369353-0.00286831j 0.121064+0.0569117j 0.0522524-0.298764j -0.218454-0.238194j -0.172218+0.122798j -0.206436+0.560518j -0.176931+0.0114366j 0.347995-0.026074j 0.412795+0.579238j 0.116497+0.231j 0.343177+0.458672j 0.204232-0.176179j -0.400585-0.600369j -0.214584-0.232735j 0.254321+0.195164j -0.272935-1.34339j 0.276387+0.0277078j 0.00185232-0.195668j -0.0343027-0.0477231j 0.099339+0.107706j -0.170475+0.164594j 0.0784725-0.00744013j -0.120046+0.0331455j 0.0843391+0.0781314j 0.023227+0.096295j 0.0166808-0.29866j 0.0762933-0.207329j 0.123087-0.1712j 0.0663994-0.0652637j 0.114655-0.196514j 0.0468576-0.0375096j -0.273848+0.0840128j 0.228529-0.30863j 0.0886654-0.0929889j -0.0256401-0.149398j 0.0667043+0.171921j -0.410769+0.481595j -0.244068+0.441711j 0.168337+0.0249339j 0.426605-0.376964j 0.271769-0.230893j 0.138472+0.0192481j -0.0475259+0.11902j -0.143703-0.123128j 0.695055-0.197827j -0.241552-0.427136j -0.111218+0.26066j 0.281516-0.366074j 0.559183+0.0223772j -0.161631-0.301794j -0.134146-0.201708j 0.379032-1.16699j 0.289261-0.659126j -0.632757+0.534248j 0.772272+0.150489j -0.201154-0.45128j -0.60191+0.496588j 0.154508+0.40934j -0.109623+0.00858046j -0.485146-0.50913j -0.203031-0.0800615j 0.357268+0.252165j -0.0155387+1.18439j -0.211509-0.486283j 0.243811+0.189671j 0.0932816-0.219542j -1.00644-0.614218j -1.095-0.730399j 0.0363796-0.190302j 0.132757+0.315509j -0.0941294-0.12989j 0.0461113-0.193335j -0.0179824+0.143386j 0.219418-0.0949537j -0.0339086-0.0190949j 
0.0971029-0.0547188j 0.162864+0.151675j -0.186251-0.107523j -0.0345518+0.0990464j -0.0640917-0.150257j 0.12209+0.0160361j -0.150511-0.133729j -0.100968-0.0778382j -0.0218529-0.00978979j 0.122508-0.174232j 0.307648+0.0855662j -0.181253-0.135594j -0.447841-0.366147j 0.102119-0.0857494j -0.149873+0.355529j -0.0414501-0.100813j 0.109135+0.00953974j 0.211866+0.0437886j 0.102104-0.201924j 0.0450513+0.0972201j 0.0903606-0.271877j -0.276778+0.0810837j 0.368321-0.570022j 0.392462+0.357777j 0.55801+0.410068j -0.350721-0.11269j 0.110105-0.133338j 0.105575-0.288237j 0.319085+0.0775717j -0.317219+0.347136j 0.0593759+0.261993j -0.34257+0.193973j 0.134499-0.209627j 0.140863-0.362506j 0.650182+0.247904j -0.0622318-0.109626j 0.205238+0.0208681j -0.0906175+0.0633264j -0.126554+0.108925j -0.219978+0.152295j 0.127642+0.00899908j -0.0556902+0.250622j 0.135084-0.218991j -0.0471445+0.156215j 0.276034-0.317035j 0.169662-0.109795j 0.00847607-0.332522j -0.0460624-0.000123212j -0.246636-0.38579j 0.196534+0.122152j -0.373248-0.385111j -0.147558+0.414901j 0.108792-0.215814j -0.115983+0.756641j -0.0237345+0.183526j -0.501099+0.225467j 0.258117+0.243197j -0.168345-0.465683j 0.304719+0.12811j -0.621432-0.342378j -0.0802044-0.524119j 0.185508+0.370039j 0.201128-0.449846j -0.153485-0.558841j -0.382389-0.316779j -0.370187-0.496988j -0.00706848-0.489785j 0.248263+0.890583j 0.0604906+0.480172j 0.410399+0.0939757j -0.115764-0.041658j -0.451577-0.348706j -0.477095-0.33967j 0.173407+0.458042j -0.425649-0.879845j 0.724963+0.506055j -0.172742-0.151645j -0.238592+0.494318j -0.450056-0.0755875j 0.52172-0.397907j -0.41815-0.222407j 0.697665-0.455368j 0.208275-0.521218j 0.03926-0.452743j -0.187941-0.23729j 0.0600296-0.443013j -0.616181+0.562635j -0.202691-0.184009j 0.352687+0.0448091j 0.00258589+0.243952j 0.309103-0.342524j -0.203382-0.39205j 
-0.126756-0.0678262j -0.0143529+0.201139j 0.127674-0.13504j 0.0855608-0.0944012j -0.0158612+0.190861j -0.099055+0.0667385j 0.0953726-0.0351406j 0.251745+0.0160851j -0.0929427-0.0702832j -0.0102541+0.128275j -0.212981-0.0291239j 0.180723-0.20008j -0.250656+0.229268j -0.218429+0.0941069j 0.1229+0.13559j -0.122791-0.100329j 0.0144583+0.137362j 0.212107-0.17563j 0.0354474+0.0973288j 0.283561-0.0317421j -0.268834+0.0235645j -0.513032-0.431326j -0.150092+0.040516j 0.0570287+0.011376j -0.132242+0.154754j -0.187494+0.221362j 0.73847-0.0619049j -0.185367+0.184501j 0.184048+0.143124j 0.456692+0.0639497j -0.0347423-0.132799j -0.163997+0.236094j -0.34502-0.0992808j 0.477318+0.487784j 0.169322-0.1985j 0.0862199+0.298188j 0.132355-0.312714j -0.0142666+0.121934j -0.264276+0.16677j -0.077573+0.324615j 0.0300814-0.410575j -0.286855-0.363538j -0.195456+0.0778343j -0.468343+0.0771994j 0.128097+0.359634j -0.323355+0.0971729j 0.0555181-0.299343j -0.108982-0.342723j 0.238721+0.203463j -0.467496-0.266593j 0.0848737+0.30616j -0.269579+0.151433j -0.106698+0.567735j 0.270182-0.027133j 0.0911442-0.017451j 0.295893+0.0789694j 0.514986-0.343945j -0.00646637-0.277973j -0.307071-0.265963j 0.0369526+0.156231j -0.121314-0.292595j 0.603087+0.0565656j 0.0690981-0.591541j 0.464091-0.789387j 0.614807+0.073935j 0.279036+0.56173j 0.350804+0.19442j 0.675048+0.75971j -0.215738+0.692615j -0.155107+0.373676j 0.584951-0.0801936j -0.00911891+0.542962j -0.944785-0.444487j -0.169222-0.153299j 0.0455237+0.0254929j -0.688065+0.530913j 0.147774+0.479099j 0.403284-0.00375862j -0.282471-0.135077j -0.60369+0.813007j -0.113208+0.0938969j -0.514054+0.0304801j 0.398534-0.374733j -0.405103-0.190409j 0.337361+0.345543j 0.366108-0.00806432j 0.226038-0.0100206j 0.56736+0.136303j -0.00485663-0.0313759j 0.0100459+0.128551j -0.483139-0.378836j 0.231578-0.257267j 
-0.104792+0.0444341j -0.0251966-0.0658743j 0.0284293-0.0164778j 0.0439865-0.147915j -0.148357-0.11467j 0.0187986+0.203624j 0.096784+0.186404j 0.135544+0.204809j 0.0263828-0.088j 0.150113-0.206078j -0.47628-0.266249j 0.121906+0.0919026j -0.040892+0.204973j 0.0212106+0.0656325j -0.237043+0.0194286j -0.0642364+0.280299j 0.0641793-0.408213j 0.248471-0.225534j 0.241349+0.193567j 0.029606+0.349554j 0.110184+0.217098j -0.448362+0.126093j -0.161399+0.315862j 0.080259+0.66159j -0.153723+0.0978447j 0.2156-0.169013j -0.621161-0.586565j 0.283431-0.339706j -0.445277+0.219058j -0.0685757-0.353145j 0.565602-0.504869j 0.0538085-0.276781j 0.0376911+0.0673629j -0.395455-0.0285109j 0.0515266-0.0511627j 0.147983+0.112589j -0.278654-0.22412j -0.156709+0.00945774j 0.291039-0.00506933j 0.0347508-0.0812502j -0.242107-0.137072j -0.0306143-0.175539j 0.124669-0.271612j 0.258721-0.335401j 0.163202+0.0390156j -0.510149+0.162207j -0.244476+0.162492j 0.228078+0.00808082j 0.0550764+0.412167j 0.205662+0.241804j -0.173189+0.561216j -0.105369-0.595j -0.36056+0.129894j 0.236877+0.148749j 0.443572-0.138475j -0.450589-0.172053j 0.237707+0.318072j -0.33567-0.135253j -0.848407+0.298621j 0.135414-0.552808j 0.31632-0.139765j -0.163448-0.103523j 0.433305-0.438414j 0.0654263-0.262445j -0.279393-0.351992j 0.814653-0.505272j -0.406862+0.468156j 0.917146-0.134006j -0.0397471+0.285529j 0.600559+0.510989j -0.237817-0.0128292j 1.21511+0.83389j -0.230655-0.0937433j -0.423523+0.70324j 0.730428-0.434459j 0.490026+0.57609j 0.210493-0.682155j 0.562724-0.120161j 0.719645+0.164099j -0.126464-0.460822j 0.716059-0.958345j -0.18519-0.0706021j 0.124117-0.0661939j 0.249168+0.218069j -0.248986+0.195646j -0.168688+0.42356j 0.0561727+0.345037j 0.500334-0.223688j 0.286421-0.108951j -0.0381556+0.0558121j -0.337774+0.155227j 0.0303788+0.188587j 
0.253592-0.0552353j -0.0723182+0.103102j -0.0116381-0.0636964j -0.0644105+0.0600128j 0.275043+0.1536j 0.0420074+0.234012j -0.135523-0.0792369j -0.37316+0.242057j 0.0064642-0.161998j -0.183198+0.123683j 0.0504752-0.0133394j -0.145486-0.29561j -0.266474-0.00678278j 0.0791433+0.0406904j 0.161947+0.324871j 0.281067-0.0472013j 0.120586+0.322112j 0.626256-0.120531j 0.0917194-0.364399j -0.119702-0.416723j 0.440581-0.0520583j 0.172947+0.159148j -0.742909-0.119627j -0.0154998-0.316289j -0.328188-0.368598j 0.0393711-0.0592958j -0.170749+0.346423j 0.32899+0.506349j -0.0454025+0.33056j 0.0717106+0.235414j 0.507403+0.25861j 0.42587+0.214129j 0.311704+0.338103j 0.250899-0.22103j 0.210413-0.0563645j -0.0500677-0.401279j 0.100352-0.236174j -0.0191319-0.0320947j -0.132205-0.359695j -0.0253351-0.0600256j 0.221983+0.0682033j -0.0639938+0.259978j 0.0497875+0.371159j -0.272853+0.184708j 0.194105-0.0559535j -0.223036-0.0425154j 0.0912337-0.211133j 0.717072+0.218276j -0.0458943-0.560667j -0.382595+0.10336j -0.259054+0.050284j -0.609068+0.205996j -0.310209-0.284456j 0.340188+0.227007j -0.080885-0.124828j -0.119385-0.15234j -0.0685624-0.139857j -0.788915+0.400091j -0.14191+0.114457j -0.605066+0.125046j 1.20804+0.72577j 0.4057+0.0124493j -0.179548+0.517424j 0.837212-0.357755j 0.540408-0.30017j 0.476803+0.0441135j -0.0807067+0.12013j 0.857074+0.209067j 1.05492+0.503808j -0.091531-0.633305j -0.209958+0.562018j 0.473682-0.555194j 1.12288-0.264417j 0.229303-0.206718j -0.543487-0.331495j 0.0392919-0.328991j -0.13003+0.44376j 0.0826153-0.243387j 0.513022+0.116911j 0.591208-0.406771j -0.2272-0.308891j -0.0336186-0.179668j 0.484086+0.171542j 0.0983343+0.504672j 0.736142-0.395233j -0.0839834-0.376413j -0.00167271-0.0808576j 0.13909+0.125342j 0.347549+0.360619j 0.187154+0.142072j 0.248825-0.18994j 0.208448-0.27626j 
