0.878225-0j 0.0056626-0j 2.50636e-06-0j 1.46261e-10-0j -0.000450387-0j -1.18728e-07-0j 1.65475e-09-0j 2.45572e-05-0j 2.48213e-09-0j -9.01085e-07-0j 1.9857e-08-0j 
-0.0056626-0j 0.908401-0j 0.00510943-0j 1.12636e-06-0j 0.00237904-0j -0.000201417-0j -4.44016e-08-0j -0.000262105-0j 6.32723e-06-0j 1.6091e-05-0j -5.32819e-07-0j 
2.50636e-06-0j -0.00510943-0j 0.938633-0j 0.00257709-0j 0.000150266-0j 0.002417-0j 5.32819e-07-0j 0.00050954-0j -0.000152653-0j -9.60406e-05-0j 6.39383e-06-0j 
-1.46261e-10-0j 1.12636e-06-0j -0.00257709-0j 0.968913-0j -4.44016e-08-0j 0.000152919-0j -2.13128e-06-0j -4.61435e-07-0j 0.000917515-0j -4.04382e-06-0j -2.55753e-05-0j 
-0.000450387-0j -0.00237904-0j 0.000150266-0j 4.44016e-08-0j 0.931635-0j 0.00256812-0j -0.000144174-0j 0.0014723-0j 7.5352e-07-0j -0.000136298-0j 6.02816e-06-0j 
1.18728e-07-0j -0.000201417-0j -0.002417-0j 0.000152919-0j -0.00256812-0j 0.962238-0j 0.00173008-0j 0.000123988-0j 0.000859013-0j 0.000537569-0j -7.2338e-05-0j 
1.65475e-09-0j 4.44016e-08-0j 5.32819e-07-0j 2.13128e-06-0j -0.000144174-0j -0.00173008-0j 0.986135-0j 5.22054e-06-0j 3.6169e-05-0j 4.57505e-05-0j 0.000289352-0j 
-2.45572e-05-0j -0.000262105-0j -0.00050954-0j -4.61435e-07-0j -0.0014723-0j 0.000123988-0j -5.22054e-06-0j 0.953558-0j 0.00149569-0j 0.000941002-0j -6.26465e-05-0j 
2.48213e-09-0j -6.32723e-06-0j -0.000152653-0j -0.000917515-0j 7.5352e-07-0j -0.000859013-0j 3.6169e-05-0j -0.00149569-0j 0.984429-0j 6.86258e-05-0j 0.000434028-0j 
-9.01085e-07-0j -1.6091e-05-0j -9.60406e-05-0j 4.04382e-06-0j -0.000136298-0j -0.000537569-0j 4.57505e-05-0j -0.000941002-0j 6.86258e-05-0j 0.975087-0j 0.000549007-0j 
-1.9857e-08-0j -5.32819e-07-0j -6.39383e-06-0j -2.55753e-05-0j -6.02816e-06-0j -7.2338e-05-0j -0.000289352-0j -6.26465e-05-0j -0.000434028-0j -0.000549007-0j 0.996528-0j 
