0.659722-0j -0.421072-0j -0.245625-0j -0.0425347-0j -0.0303883-0j 0.0962095-0j -0.0434209-0j -0.0179102-0j 
0.421072-0j -0.0101997-0j -0.589283-0j 0.052634-0j -0.109741-0j 0.00125319-0j 0.0494339-0j -0.064679-0j 
-0.245625-0j 0.589283-0j -0.676651-0j -0.0307032-0j -0.0219354-0j 0.0694477-0j -0.0275833-0j -0.0159032-0j 
0.0425347-0j 0.052634-0j 0.0307032-0j 0.729275-0j -0.178531-0j -0.29154-0j -0.255098-0j -0.105222-0j 
-0.0303883-0j 0.109741-0j -0.0219354-0j 0.178531-0j 0.107149-0j 0.208286-0j -0.531874-0j 0.0751745-0j 
0.0962095-0j -0.00125319-0j 0.0694477-0j 0.29154-0j 0.208286-0j -0.0134579-0j -0.285466-0j -0.358257-0j 
0.0434209-0j 0.0494339-0j 0.0275833-0j -0.255098-0j 0.531874-0j 0.285466-0j -0.249575-0j -0.502535-0j 
-0.0179102-0j 0.064679-0j -0.0159032-0j 0.105222-0j 0.0751745-0j -0.358257-0j 0.502535-0j -0.608052-0j 
