-0.112806+0.0251147j -0.0430406+0.00289999j -0.0526192+0.00344613j 0.0337203+0.00450175j 0.00257302-0.00973615j 0.00632013+0.0241744j 0.000643187+0.0108645j 0.00517761-0.00187198j -0.0112985-0.0083975j -0.00064364+0.0154362j 0.00626832-0.00855376j 0.00553669+0.0207877j 0.00349959-0.026488j -0.00229218-0.00898147j 0.0107105-0.0125628j 0.0113565-0.00742662j 0.0410343-0.00685507j 0.0139805+0.0029031j -0.00246539+0.0133773j 0.00867664-0.00149362j -0.00826096+0.00059786j 0.00347797+0.00510215j -0.00890763+0.00373581j 0.00805459-0.00105012j -0.00769621+0.0010993j -0.00155171+0.00463477j -0.000648078+0.000278275j 0.00203177-0.00263651j -0.00569193+0.00586655j -0.00122424-0.00109235j 0.001485+0.00584553j -0.00161636-0.00496629j 0.00626142-0.00376379j -0.00336868+0.00351253j 0.00285926-0.00183857j -0.00514234+0.00554172j 0.00906547+0.000523698j 0.000170201-0.00217518j 0.0115877+0.00132954j 0.00648814-0.00282067j -0.00711188+0.00447811j -0.0212859+0.00449429j 0.0229157-0.00141908j 0.00213886+0.00166054j -0.00506256+0.00745557j 0.00541215+0.0023159j 0.000559445+0.00117135j 0.000372137-0.000267129j -0.00464054-0.00296557j -0.00284296-0.00369899j -0.000274736-0.000168111j -0.00645233+0.00283247j -0.0103345+1.45626e-06j 0.00994909+0.000572084j -0.00599555+0.000687072j 0.00544093-0.00199393j 0.00113707+0.00194396j 0.0237521-0.0060326j -0.00184113-0.0106938j -0.00689153+0.0129331j 0.0316499-0.00441568j 0.0207736-0.00150663j 0.00462375+0.00519384j -0.00178096-0.00239771j 0.00351334+7.54617e-05j 0.0206693-0.00504761j 0.0153113-0.00485583j 0.0224455+0.00483232j 0.0311474-0.00282275j -0.000995157-0.000548713j 
-0.0803573-0.0552231j -0.021767-0.0229736j 0.0275848-0.0077897j 0.0179547+0.010129j 0.0225388+0.00962796j 0.00517909-0.00745299j 0.00453643-0.00461674j 0.00157773+0.00214598j -0.0161561-0.000883351j -0.00253189-0.00304831j 0.00511268+0.00574031j 0.00686305-0.00130613j 0.00118836+0.00634621j -0.00439064-0.000279237j 0.0186721+0.0063749j 0.00621888+0.00384291j -0.0118099+0.0104264j -0.016075+0.00123324j -0.00481259-0.00288766j -0.00582886+0.00310737j -0.00558843-0.00328113j -0.00803821-0.00218321j -0.0108941-0.0057046j 0.00531145+0.00430718j -0.00393414-0.000102141j 0.0205633-0.00128291j 0.00500529+0.00216269j 0.0107715+0.00187579j -0.00940952-0.00667721j -0.00429953-0.00199501j 0.00436967-5.46423e-05j 0.00638403+0.00398997j 0.00485569+0.00604743j 0.00288518-0.00620659j -0.00608949+0.00286186j 0.0050441-0.0028073j -0.00951505+0.00451349j 0.0199373+0.00642162j 0.00457078+0.00972686j -0.0167258+0.00941941j -0.0234746-0.00880002j 0.021096-0.0074549j 0.00138737+0.00285043j -0.00282203+0.000226783j -0.00827109-0.00857998j -0.00628161+0.00260244j 0.0242475-5.41881e-05j -0.00221512-0.00222529j 0.00417814-0.00101196j 0.00625614+7.04273e-05j 0.000737622+0.000146275j -0.00478877+0.000898013j 0.00169975-0.00419604j 0.00186973+0.00288537j 0.00584718-0.000827799j 0.00135015+0.00150002j 0.00142141-0.0024556j 0.00276537+0.0126139j -0.0137387-0.00709296j -0.0453448-0.00369889j -0.0144137+0.00388031j 0.0027159+0.00235125j -0.00693547-0.000550296j 0.000640232-0.000304136j 0.00207581+0.000695421j -0.00819923+0.00568639j 0.0253768+0.0115058j -0.0497566+0.00373238j 0.00209794+0.00403403j 0.0180047+0.000184398j 
0.0542961-0.0216527j 0.0229764-0.00532572j 0.0127426-0.00801248j -0.0100565+0.0134625j 0.00154025+0.0173047j 0.00269646+0.00309691j -0.00128011-0.0029855j 0.00811394+0.0116312j -0.00360365-0.00973865j 0.00295744+0.0418977j 0.00165759-0.00836347j 0.00213371+0.0805451j 0.00693244-0.0635699j 0.00532212-0.0249952j 1.51315e-06-0.0258775j 0.000896026-0.0218876j -0.0134163-0.00068478j 0.000183046+0.00433948j 0.00621893+0.00837962j -0.000525714-0.000572399j 0.00330904-0.00151342j -0.000426108+0.00240644j 0.0021832+0.00336261j -0.00145045+0.00276836j 0.000589803+0.0020885j -0.00119283+0.0028047j -0.00221797-0.000154911j -0.000458486-0.00264972j 0.00172783+0.00385993j 0.00062415-0.00302903j -0.000208178+0.00649967j -0.000974334-0.00401612j 0.000470976-0.00408561j -0.000410102+0.00392359j 0.000765109-0.00442866j 0.000312213+0.00910675j -5.04676e-05-0.00245967j -0.00111203-0.00289744j -0.00218861+0.00268885j 0.000211686-0.00417825j 0.00158356+0.00449779j 0.00105591+0.00215901j -0.00769257+0.000930056j 0.00212969+0.000168652j 0.00391627+0.000397185j 0.00307757+9.24063e-05j -0.00295936+0.000878253j 0.000410606+0.000326848j -0.000156227-0.00360203j -0.000578911-0.00170624j -4.25307e-05-0.0001777j 0.00299902+0.00036119j 4.6603e-05+0.00458758j -0.00167319+0.00029604j -0.000303937-0.000193416j -0.0010919-0.000249707j -0.000564323+0.00414036j -0.00659476+0.00121624j -0.00151107-0.00595085j 0.00741313+0.00327773j -0.00770905-0.000109079j -0.00652401+0.000418971j 0.00126896+0.000471336j -8.98916e-05-0.00277718j -0.000714678+0.000264277j -0.00604817+6.73874e-05j -0.00348747-0.00129106j 0.00067614-0.00099824j -0.00993581+0.000385977j -0.00110603+9.85851e-05j 
0.0182578-0.0221175j 0.0127392-0.00742483j 0.00295986+0.00353631j -0.00176484+0.0357566j 0.00219482-0.0429859j 0.0074147+0.0836776j -0.00409851+0.0458526j 0.0129974-0.0216426j -0.00644242-0.0219655j -0.00412512-0.00593471j 0.00404955-0.0228431j 0.00418013-0.0356143j 0.00705872-0.00875885j 0.00354997-0.00213352j 0.000448795+0.00158276j -0.000267835+0.00835927j -0.00424795-0.00150738j 0.0030344-0.000413142j 0.00781121-0.000115851j 0.00133876-0.00546131j 0.001785-0.000576749j 0.000183057+0.00723122j -0.00020531+0.00371835j -0.000429662-0.00576055j -0.00175812-0.00696918j -0.00197142+0.00446565j -0.00289322+0.000165603j -0.000533389-0.00239362j 0.0015319+0.00678381j 0.00041439-0.00299304j -0.000421744+0.0057059j -0.00198707-0.00512304j 0.0022106-0.00199467j -0.00101274+0.00593591j 0.00124619-0.00319718j -0.000300093-0.00118987j 0.00131586-0.00305449j -0.00147484-0.00525395j 0.000288973-0.00546782j 0.00142792-0.00722722j 0.00152694+0.00352765j -0.00323175+0.00494571j -0.0041082+0.001451j 0.00264954+0.00112099j 0.00368529+0.0133069j 0.00392534-0.00509507j -0.00364414-0.000917642j 0.001097+0.0013546j -0.000655552+0.00247771j -0.00116492-0.000360421j -0.000114944-0.000124057j 0.00213943-0.000275742j -0.00144983-0.00224359j 0.000302013-0.000611256j -0.00167591-0.000917875j -0.000794612-0.00213588j -0.000408529+0.00354109j -0.00268155-0.00378383j -0.00194867+0.00429529j 0.00714536-0.00173705j -0.0026262-0.000250555j -0.00334105+0.000353161j 0.00243601+0.00131304j -0.000323798+8.03371e-05j -0.000300978+0.0022134j -0.00259287-0.00094385j -0.00157544-0.00395563j 0.00476855-0.00211766j -0.00510448-6.89071e-05j -0.00153997+0.000107837j 
0.00261143-0.0493347j 0.0183647-0.016526j -0.0887452-0.00384848j 0.0114658-0.0045931j -0.0216589+0.00688838j -0.00250292-0.0239273j -0.00505526-0.00990652j 0.00179404+0.000202491j 0.00584519+0.00809139j -0.00034713-0.00699337j -0.00186808+0.00937961j -0.00798958-0.0052458j -0.0014543+0.0127505j 0.0042012+0.00419147j -0.0123907+0.00727218j -0.00184151+0.00162673j 0.0530983+0.0057965j 0.0335187-0.00423375j 0.00568271-0.00418289j 0.0145277+0.00341294j 0.00308706+0.000247423j 0.0156337-0.000598213j 0.0131732-0.00185836j -0.000351357+0.00151747j 0.00142458-0.00226099j -0.0336713-0.000871533j -0.00869918-0.000823193j -0.0163657+0.000407833j 0.0063458+0.000527068j 0.00453071+0.00302358j -0.00389818-0.00317254j -0.0107494-0.000682362j -0.00272041-0.00164882j -0.00814268+0.00380857j 0.00913329-0.00149295j -0.0123425-0.000636099j 0.0204184+2.3905e-05j -0.026862-0.00303094j 0.00610938-0.00192157j 0.0295468-0.00661067j 0.0257254+0.000263135j -0.0498271+0.00135307j 0.0179051-0.000973767j 0.00489732-0.0035172j 0.00589981-0.00263967j 0.0148523-0.00455753j -0.0393644+0.00254108j 0.00289507+0.000932028j -0.00850704+0.00258471j -0.00887152+0.00287782j -0.000918535-0.000133416j 0.00486747-0.00308347j -0.00874321+0.00474119j 0.00342007-0.0023423j -0.0141862+0.00186677j -0.000346648-0.000362739j -0.000770677+6.08377e-05j 0.0175177-0.0104386j 0.0206458+0.00544643j 0.0607144-9.86387e-05j 0.0536557-0.0021774j 0.0121408-0.00129174j 0.0113131-0.00239153j -0.00179133+0.00159606j -0.000592912-0.00220936j 0.0342614-0.00669248j -0.0301813-0.0109797j 0.10078-0.00509376j 0.0244819-0.00481474j -0.0336225+0.000188635j 
0.0651855+0.00092434j 0.0241111+0.00123232j -0.0425821-0.00607161j -0.0213147+0.00333776j -0.0191157+0.00431415j -0.000892381+0.000620886j 0.00160115-0.00357487j 0.00221445+0.00589288j -0.0230641-0.0086894j -0.00789907-0.00503729j 0.00805203+0.00980905j 0.0155446-0.00385332j 0.00304661+0.00788277j 0.00752979+0.00547702j 0.017273+0.00631053j 0.0135917+0.00169609j 0.0134785+0.00148051j 0.0176042+0.00857561j 0.0123216+0.0183577j 0.00732499+0.00522291j -0.00724771-0.00239169j -0.00639718+0.00420352j -0.0191808-0.00645363j 0.000507039+0.00368614j -0.00905758-0.000383667j 0.0279141+0.00418033j 0.000797254+0.00357227j 0.015683+0.000447453j -0.00607816-0.00459532j -8.941e-05-0.00394179j -0.000406898+0.00895078j -0.0018598-0.00121396j 0.00128884+0.0106999j 0.00549075-0.010989j 0.000721781+0.00793205j 0.011353-0.0033119j -0.00861023+0.0140591j 0.0150854+0.010452j -0.0070365+0.02414j -0.0167338+0.0172377j -0.00860881-0.0085322j 0.0124644-0.0129127j 0.046754+0.000197067j 0.00832018+0.00754397j 0.0193757+0.0141544j 0.0215499+0.0123776j 0.046062-0.00103627j 0.00219831+0.00157027j -0.0097502-0.00719527j -0.0070314-0.0107048j 0.000492155-8.22136e-05j -0.0203552+0.00749168j -0.0149765-0.0103656j 0.0213505+0.00598807j 0.00408087-0.00379999j 0.00945104-0.00304867j 0.00316817-0.00129611j 0.0103689-0.00438337j -0.0209415-0.0125195j -0.0295107+0.0169974j 0.045899-0.00207851j 0.0534593-0.000494074j 0.0245018+0.0137814j -0.00641092-0.00239951j 0.00683634+0.00020808j 0.0177894-0.00612208j 0.0323502+0.000340003j 0.00707994+0.0191744j 0.0892825-0.00240224j 0.0228627-0.00161506j 
-0.0165756-0.00266022j -0.00442401+0.000698513j -0.0246429-0.00189726j -0.00649738+0.00509927j -0.0342317+5.74609e-05j -0.0115837+0.0158883j -0.0136753+0.00402535j -0.00110908+0.00356734j 0.0736956-0.00771565j 0.0200669+0.00719973j -0.0247889-0.0148091j -0.0467348+0.0066391j -0.00944741-0.00370096j 0.0132799-0.0106209j -0.0837375-0.0074835j -0.065917+0.00173659j 0.00660543-0.000563891j -0.0116247-0.00423679j -0.020029-0.00382331j -0.0113726+0.0181602j 0.0055735+0.00729573j -0.0178014-0.00686625j -0.00282446-0.0141209j -0.0282348-0.000184763j 0.0115384-0.00458848j -0.0110222-0.00270891j 0.0216851+0.000898699j -0.00606427+0.00797873j 0.00743005-0.00299666j -0.00244403+0.00314368j 0.00889015-0.0148289j 0.020215+0.0105305j -0.000992383+0.0148101j -0.00169175-0.0138639j 0.000200734+0.0157204j 0.00734519-0.0240822j -0.00852889+0.0221192j -0.00724813+0.00986345j -0.0204935+0.00864249j -0.00357757+0.0107102j 0.0402565-0.00892282j 0.025824-0.00570737j 0.0213884-0.00249025j -0.0123347+0.00265887j -0.0046981-0.00255068j -0.00985455+0.00907179j 0.0117167-9.28264e-05j -0.0014829-0.00449211j 0.00586857+0.000780755j 0.0104925+0.00130122j 0.000995525+0.000709222j -0.0106843+0.000270368j 0.00903356-0.00477965j 0.000913726-7.30422e-06j 0.013716+0.0013303j -0.013374+0.00577613j 0.00661708-0.0101463j 0.00413285+0.000711138j 0.0187036-0.00957887j 0.0019362+0.0102987j 0.0166532-0.0028421j 0.0177417-0.00158033j -0.0027063+0.00220814j 0.000336401-0.00103289j 0.000604082-0.0007131j 0.024521-0.00353551j -0.0100854+0.00661479j 0.00800255+0.0131787j 0.0470788-0.00277422j -0.000766834-0.000889423j 
-0.0101505-0.000456418j 0.042087+0.00228036j 0.0239545-0.0056449j 0.0465467-0.004793j 0.0524792+0.000211242j 0.0148184-0.00331992j -0.00855357-0.00845437j 0.028064+0.0142474j -0.00274555-0.00867621j -0.00113766-0.00370885j 0.00493822+0.0151078j -0.0193444-2.57334e-05j 0.0103991+0.0147034j -0.00218263+0.00519543j -0.00623383+0.000875482j -0.0113009-0.0124024j -0.0327892+0.00344187j -0.000156213-0.00126238j 0.0167551+0.00388532j -0.00569527+0.0137878j -0.00183989+0.0135235j -0.0196526+0.00442293j -0.0156195-0.0128609j -0.00749209-0.0049069j -0.00754906-0.0162937j 0.0125557+0.000392679j 0.0103086+0.0015674j 0.00757627+0.00474048j -0.00380184+0.0175264j -0.00243713+0.0123195j 0.0187009+0.0181073j 0.00987825-0.0201823j 0.0235291+0.00995829j -0.00316563+0.0124017j -0.00100073+0.0056666j 0.0191249-0.00343412j -0.00701203+0.0248921j 0.0275612-0.0205979j -0.0189822+0.0126338j -0.00964989-0.0384775j 0.00322333+0.0346066j -0.038241+0.0160741j 0.000390375-0.00136909j 0.00894203+0.00139408j 0.00752228+0.00734071j 0.00745031+0.000800525j 0.0177562-0.0034188j 0.000750076+0.00518055j -0.00158259-0.000322329j 0.00100907+0.00353147j -0.00176543-0.000302132j -0.00683623-0.00178832j -0.00254477+0.00125751j 0.00868797+0.00117292j -0.015768-0.000372521j -0.00952865+0.00446813j -0.000898601+0.010537j -0.00273508-0.00375513j -0.0124214+0.00841919j 0.00331255-0.00250468j -0.0106728-0.00116601j 0.00147485+0.00029976j 0.00947466+0.00511171j -0.00227363-0.0013302j 0.00196038+0.00192751j -0.0103114+0.000957828j 0.0198611+0.000861755j -0.0276548+0.00402583j 0.00454403+0.00171692j 0.0186413-0.000385206j 
-0.0107964-0.00483079j 0.0128673-0.0043912j 0.0154718+0.0061705j -0.0166037+0.00275309j -0.0620146-0.0180809j -0.0542265+0.0133846j 0.0258828+0.00670134j -0.0735435-0.00314017j 0.0660514-0.00577655j 0.00249005+0.00464375j -0.027397+0.0143296j 0.013648-0.00130678j -0.0308141-0.0136829j -0.0245127+0.0138724j 0.00266345-0.00951816j 0.0340615-0.0325965j 0.0118033-0.00542786j -0.00990295-0.00982745j -0.0343295-0.0201603j -0.0112947-0.0156581j -0.000734365+0.00411538j 0.0198571-0.00678245j 0.0217987-0.00836561j 0.0060283+0.00284876j 0.0219903+0.010585j 0.0133753-0.00606736j 0.00640122+0.0076096j -0.00265451+0.0122151j 0.00856795-0.0196754j 0.00702786+0.0209757j -0.00935155+0.0151575j -0.00102511-0.00941081j -0.0203607+0.00485634j 0.01161-0.0038747j -0.00695322+0.00752702j 0.00658014-0.000549432j -0.0037383+0.0113437j 0.00279048+0.00373277j -0.0179626+0.0202486j -0.00337842-0.000885826j -0.00533407+0.0123207j -0.0114695-0.00152288j 0.0115947-0.00407865j -0.0113421-0.00165712j -0.012565-0.00667184j -0.0232927+0.000928564j 0.00305887+0.000159555j -0.00256668-0.00783624j 0.00559872-0.0003619j 0.00280826+0.00285506j -0.00128444+0.000421048j 0.00180935+0.00165293j 0.0116776-0.00132951j -0.0114519+0.00184652j -0.0036683+0.000652136j 0.00212527+0.000126324j -0.00223706-0.00097657j -0.00272708-0.000477344j 0.0160649-0.00556629j 0.00316531+0.00640562j 0.0110397-0.00137512j 0.0031275-0.0021667j -0.0159244-0.00710068j 0.00392314-6.33819e-05j -0.00340219+0.000134059j 0.00524315+0.00186234j -0.023475+0.00774354j -0.00433866+0.00167193j 0.000325744-0.000449062j -0.00639228+8.74465e-06j 
0.00423856+0.0018141j 0.0369583+0.00384389j 0.00383423+0.00861591j 0.0386154-0.00944866j 0.0119148+0.00102771j -0.01985+0.00145108j 0.0105741-0.00903221j -0.0152833-0.0103304j 0.0162674+0.0143532j -0.0084829+0.00669725j -0.00995607-0.0282339j 0.0040788+0.00129084j -0.00629699+0.010689j -0.0148649-0.0314226j 0.0210882-0.00632593j 0.0277651+0.0296831j 0.000119937+0.00245553j 0.0132673-0.00928417j 0.00457268-0.0250663j -0.00768809-0.00679766j 0.000746566-0.000419695j 0.013283+0.0100026j 0.0143261-0.00513908j 0.00213235+0.00175805j 0.0136045-0.0105247j -0.00538162+0.0136009j -0.00478089+0.0135187j -0.00605793+2.8779e-05j 0.0124738+0.00151509j -0.00257125-0.037891j 0.00878099+0.0353467j 0.00974984-0.0133385j 0.015496+0.00245976j -0.0155441+0.0060264j 0.00881053-0.00436334j 0.00126788+0.00870827j -0.000565898+0.0138976j 0.0173274+0.00560861j 0.00819046+0.0345502j 0.00214792+0.0163883j -0.0104477-0.00857435j 0.0034463-0.00579903j 0.00407571+0.000218173j 0.000715461+0.00185461j 0.000807901+0.000830239j 0.00171335+0.00108246j -0.00956325+0.00252323j 0.000712702+0.00328595j -0.00238643-0.000391433j -0.00338072-0.000555447j 0.000897311-0.000381897j 0.00655512+0.00400836j -0.00241991-0.00546217j 0.000404311+0.00218351j -0.00392777-0.00167486j -0.00392576+0.00217467j 0.000319643+0.0041489j 0.0110431-0.000530795j -0.000320728-0.0049973j 0.00376938+0.00296259j -0.00386913-0.00133056j -0.00615366+5.84371e-06j -0.00185276-0.00105723j 0.000495487+0.000406437j -0.000474052+0.00129274j 0.00663432-0.000416161j -0.00500607+0.00258023j 0.00651949+0.00037452j -0.0116098-0.000555557j -0.00918391+0.000220113j 
-0.0111015-0.000403786j 0.044241-0.00051785j 0.00295532+0.00198557j 0.000903258-0.00380156j -0.00805002-0.00587043j -0.00629983+0.00531741j 0.00885469+0.0250212j -0.00716685+0.0353561j -0.0189439+0.0205988j -0.0073475+0.000254717j 0.00226254-0.00194997j 0.019019+0.0220855j -0.000707399+0.00876745j -0.00233908-0.000293467j 0.0299158-0.0141963j 0.0162067+0.0141347j 0.00611992-0.00068654j 0.00936555-0.00517826j -0.00134833-0.00512039j 0.00101754-0.0187104j -0.00382115-0.0040924j 0.00941868+0.00883217j 0.00211928+0.00319929j 0.007956-0.0248181j -0.000580806-0.0185848j 0.00727794+0.00228849j -0.00384586-0.00225644j 0.00611644+0.0112784j -0.00247154-0.00766413j 0.00327692+0.0332781j -0.00818495-0.0194594j -0.00591256+0.00845165j -0.00485972+0.0112822j -0.000565021-0.0185509j -0.007489+0.0161904j 0.00519747-0.0530691j -0.00988653-0.00351267j -0.0018703+0.0101243j 0.00427982-0.0373487j 0.00343498+0.00722029j -0.00419298-0.014494j -0.00265217+0.000720769j -0.000438832+0.00039181j 0.00498813-0.00232273j -0.000699842-0.00548237j 0.0012264-0.00163142j -0.00010687+0.000696911j -0.000139595+0.000183603j -0.00141428+0.00180712j -0.00231851+0.00108732j -0.000442741+0.000125812j 0.00240358-0.000640787j -0.000949163-9.09432e-05j -0.00128646-0.000130703j -0.00684469+0.00184171j 0.0068704-0.002866j -0.00123653-0.0101681j 0.00111551+0.00322602j -0.00274114-0.00349388j -0.00710718-0.000242148j 0.00636128+0.000282582j 0.00296939-0.000179546j -6.78257e-05-0.00217826j -0.000158826+0.000153431j 0.000528011-0.00165875j -0.00198392+0.00144912j 0.0043424+0.00274717j -0.00215601-0.000684631j 0.00051106+0.000559774j 0.00213707+0.000123079j 
