0.795833-0j -0.188309-0j -0.230631-0j -0.164771-0j -0.190261-0j -0.135929-0j -0.0434299-0j 
0.188309-0j 0.322989-0j 0.212718-0j -0.443513-0j -0.340223-0j -0.120254-0j 0.0400567-0j 
0.230631-0j 0.212718-0j -0.0155165-0j 0.00379853-0j -0.20615-0j -0.297695-0j -0.191231-0j 
-0.164771-0j 0.443513-0j -0.00379853-0j -0.00227978-0j 0.147281-0j -0.620689-0j 0.136622-0j 
-0.190261-0j 0.340223-0j 0.20615-0j 0.147281-0j -0.343462-0j -0.111476-0j -0.420749-0j 
0.135929-0j -0.120254-0j -0.297695-0j 0.620689-0j 0.111476-0j -0.331277-0j -0.361976-0j 
-0.0434299-0j -0.0400567-0j 0.191231-0j 0.136622-0j -0.420749-0j 0.361976-0j -0.449676-0j 
