0.101123+0.0595101j 0.167472+0.122301j 0.200141+0.281181j 0.116658+0.191829j 0.155611-0.204765j 0.302946-0.392415j -0.0623472-0.290203j 0.160477-0.0250439j -0.131373-0.291412j -0.328782-0.548419j -0.492786+0.016539j -0.00956719-0.546087j 0.937898-0.0265569j -1.71258+0.777952j -0.73419-2.26783j 0.082027-0.187404j 0.148294-0.190901j 0.0874867-0.437054j 0.120675-0.272859j 0.444712-0.30366j -0.620397+0.406077j -0.0572041-0.115663j -0.186497-0.521784j 0.358477-0.0292715j -0.299888-0.384964j 0.522465+0.374397j -0.312651-0.0475724j -0.400033+0.00638191j 0.591954-0.220984j -0.18356+0.116303j 0.519562-0.00311126j 0.143707-0.183028j 0.152909-0.596614j -1.06207-0.40884j 0.94235-1.14931j -1.5795-3.06407j 2.3719-1.44543j 0.13692+0.0286929j 0.0255901+0.0761047j 0.124088-0.22734j -0.0302005-0.266175j -0.0240921+0.0364215j 0.0373862-0.0057507j -0.367716-0.244471j 0.0276247-0.00526021j 0.328455-0.182576j -0.135328+0.145214j 0.252499+0.0250323j 0.329828+0.377188j 0.0245237-0.143012j 0.495934-0.0630088j -0.348447+0.462523j -0.14313-0.3434j 0.191987+0.381561j 0.106366-0.469876j -0.160323+0.0296176j 0.246992+0.111565j -0.288597-0.137468j -0.0135072+0.698331j -0.238402-0.491239j 0.133276-0.194307j -0.659829-0.587301j 0.150385-0.231895j -0.639953-0.428218j 0.0223234+0.0530876j -0.684973-0.0123207j -0.562529-0.0313635j 0.250698-0.0191866j 0.453136-0.0233726j 0.523918-0.557906j -0.227681+0.211283j 0.0572602-0.188295j -0.255503+0.755585j 0.182675-0.149702j -0.289946+0.278847j -0.0724885-0.692555j -0.451987-0.00390192j -0.0495333-0.13919j 0.259449+0.739042j 0.0640788+0.211167j 0.157762+0.222268j 0.206518-0.0237905j 0.314993+0.488323j -0.300039-0.314593j 0.11981-0.207669j 0.629576-0.0559734j 0.88151+0.2801j -0.468751+0.448203j 0.359662-1.72853j -0.589801+0.281905j -1.6121-1.23361j -0.973497+1.16947j 3.49424-0.323179j -1.15356+0.0183099j 0.194679+4.11428j 
0.251447-0.0762992j 0.306151-0.0242389j 0.120141+0.0194264j 0.0998841-0.0240233j 0.0675177+0.267454j 0.124826+0.362357j 0.436311+0.0674877j 0.0030017+0.347142j 0.506833-0.00483625j 0.862314-0.427848j 0.344784-0.150163j 0.132441-1.0978j -0.352854+0.509636j 0.293068+0.598467j -1.66889+0.991982j -0.22353-0.338245j -0.272622-0.435546j -0.312674-0.495532j -0.248346-0.265563j -0.00475308-0.00447746j 0.102356+0.23292j 0.225184-0.00114033j 0.573439-0.117647j -0.697601+0.110326j 0.331551+0.0556758j -0.724053-0.0260593j 0.193938-0.403239j 0.331831-0.436383j 0.83768+0.674948j 0.679087-1.08784j 0.467416+1.18806j 0.217385+0.244779j -0.254435+0.12983j -2.33688+0.389876j -0.109422+1.32367j -0.284787+0.667395j -0.378172-3.93218j 0.261979+0.044835j 0.150276-0.0105859j -0.0602089-0.303427j -0.203984-0.0971361j -0.287263+0.238031j -0.0301926+0.201869j -0.219708-0.0839761j -0.217265-0.0864294j 0.0543301-0.0926872j 0.102249-0.061611j 0.509612+0.0439229j 0.514822+0.0345122j 0.202196-0.174815j 0.298494-0.40397j -0.382472-0.0365354j 0.28598-0.113878j -0.497266+0.340071j -0.183525-0.200023j 0.0166054-0.178757j 0.0967911+0.213236j -0.00535881+0.217591j 0.642054+0.00723003j 0.223555-0.452453j 0.321939+0.0527522j -0.216671+0.511715j 0.246959+0.0903998j 0.0319831-0.666402j -0.0242697-0.0661661j -0.36722-0.565338j 0.430897-0.189647j -0.0217008+0.10954j -0.0645232+0.520095j -0.162915+0.781064j 0.927132-0.0355411j 0.358359-0.116768j -0.602282-0.644328j -0.107511-0.157974j -0.155664-0.41725j -0.341086+1.13499j -0.0791377-1.02131j 0.452303-0.232213j -0.490068-0.236953j -0.354094-0.622585j 0.0354466+0.452305j -1.24513+0.0442235j -0.334801-0.10977j -0.786925-0.637882j 0.454765+0.368796j -0.050203-0.644499j -0.669765+1.14023j -1.0623+0.956272j 0.760866+1.50851j -0.0643351-0.32326j 1.8024-0.572477j 1.81948+0.0848671j 0.798833-1.10913j 0.218545+1.11472j 2.753-0.236974j 
-0.0156196-0.2921j 0.117193-0.250028j -0.160518+0.192584j 0.127405+0.0744036j 0.228655+0.379661j 0.258689+0.163885j 0.393528+0.260344j 0.507474-0.525087j 0.0288956+0.252746j 0.279887+0.296064j 1.11468+0.608271j -1.49481-0.32389j -0.66102+1.72035j -1.42783+0.820192j 0.310588+1.09652j -0.340157+0.225433j -0.505516+0.237445j -0.0600378+0.0289357j -0.374419-0.0084807j 0.152046+0.789431j -0.0812016-0.0717387j 0.234889+0.0223817j 0.468599-0.0108794j 0.204828-0.0640615j 0.121376+0.193401j -0.00662131-0.00697405j 0.449516+0.265612j 0.692379+0.0904656j -1.6284-1.18045j -0.199131-0.374461j -0.480715+0.753041j -0.638202+0.446564j -0.473734+1.93919j -0.441329+1.44917j 2.20776-0.794693j -0.958822-1.0653j 0.122777+0.447583j 0.0964434-0.0661643j 0.0303159-0.0549665j 0.196643+0.227698j 0.18414-0.0769359j -0.0161814+0.08565j 0.0917046+0.0524623j 0.401204-0.597396j 0.326768+0.281855j 0.262474+0.534674j -0.435678-0.0991087j 0.219443+0.254601j -0.0362718-0.317634j 0.286012-0.159659j -0.264236-0.0947107j -0.838379+0.0248048j 0.359394-0.579396j -0.63469+0.445479j 0.0441782+0.17002j -0.0377572+0.59459j -0.211536+0.186559j 0.188001+0.205875j 0.0280884-0.0472881j 0.0965594+0.0375281j -0.311765-0.486813j -0.0392116+0.0538187j -0.393112+0.206594j -0.146013+0.125042j 0.230699+0.031962j 0.241025+0.449357j -0.173981+0.0304916j 0.0019314-0.244883j -0.770662-0.527181j -0.24113-0.321528j -0.353922+0.68208j 0.0946541-0.313072j 1.15956-0.426816j -0.681341+0.622395j 1.01902-0.257087j -1.01193-0.637043j -0.424194+0.11818j -0.18163+0.218781j 0.131405-1.77082j 1.25501+0.174034j -0.0548966-0.371641j 1.04051-1.82141j 0.680684-0.337086j -1.05675+1.04782j -0.90229-0.0703922j 0.840259+1.04085j -0.164439-0.870597j 1.7095+2.08422j 0.858541+0.876308j 1.37759+0.772956j 1.73569-2.45347j 1.61423+0.265025j 2.13573+0.180328j 1.08543-1.46494j -1.66876-0.516602j 
0.310848-0.0438732j -0.0525356-0.127325j 0.2182-0.457138j -0.412787+0.0746592j -0.0832025-0.538543j 0.232097-0.268702j -0.812919-0.198004j 0.968324+0.749991j -0.0222628-0.136934j -1.19086+0.040023j 0.32388-0.568948j -0.230524-0.601514j 0.441251-0.184498j -0.359075-0.139612j 0.464073+0.778291j -0.351913-0.411985j -0.263816+0.0250569j -0.849959+0.279063j 0.247825+0.192114j -0.128557-0.46655j -0.217345-0.313065j -0.277192-0.19135j -0.578181-0.653611j 0.116923+1.35635j 0.37006-0.094923j 0.580894+0.680345j -0.204397+0.638973j -0.32632+1.25054j 0.459302-0.119809j 0.642537-1.63292j -0.415864-1.9312j -0.0154323+1.00906j 2.21788-0.204061j -1.17803-0.753239j -1.44987-0.159722j 0.125096-2.07835j -2.43172-0.0166641j 0.347853-0.258265j -0.06447-0.31646j -0.299935-0.00674304j -0.0882234+0.262271j 0.248273+0.687046j 0.565389+0.0119507j -0.213528+0.752962j -0.49057+0.382655j -0.301538-0.355645j -0.00556436-0.175854j -0.0515354-0.755794j 0.0859957+0.154219j -0.0786727-0.188219j 0.0469464-0.0757764j -0.472162+0.615916j 0.361171-0.520837j 0.115147+0.852954j 0.516012-0.280206j 0.163849-0.0519404j -0.132203+0.15352j 0.13058-0.305023j -0.744603+0.417769j -0.313842-0.912631j 0.186908+0.237874j 0.254741-0.959047j -0.401691-0.334235j -0.641438-0.580564j 0.433968+0.475173j -0.442234+0.470633j 0.288569-0.812199j 0.689416-0.147331j -1.09894+0.29318j 0.109409+1.11838j -0.831631+0.611545j 1.25235+0.253552j 0.816914-1.82568j 0.38153-0.869896j 0.263487-0.457627j 0.105053-1.75275j 0.766244-1.18926j 0.540012+1.13091j 1.07081+0.0625545j -0.743657-0.381075j -1.41584-1.34669j -0.394507+0.60037j -0.424701-1.07488j 0.814458+0.442017j -1.53932+1.39013j -2.46612+0.862599j 0.820096-0.0951728j 0.636224+0.0442841j -0.345577-1.18367j 0.202165+0.723844j -0.021679-0.0682963j -1.02047+0.490285j 0.0836105+0.589648j 0.834687+1.05523j 0.480153-1.09938j 
-0.098595+0.230637j 0.0121141+0.00698262j 0.473927-0.0549559j 0.382692+0.103276j 0.27585-0.220171j 0.134121-1.12993j 0.0642775-0.518566j -0.708336-0.717476j 0.0391669-0.28911j -0.304105-0.063593j 0.601466-0.146103j 0.227276-0.792196j -1.3337+0.0388868j -0.205397-0.939729j 1.07557-1.0313j 0.421747-0.0894805j 0.24338-0.0795261j -0.0637599-0.00762573j 0.181823-0.481937j 0.101286-0.346672j -0.414039+0.561682j 0.354458-0.337629j 0.136206-1.25824j 0.286835-0.671605j -0.541585-0.278714j 1.66191+0.355875j -0.190254-0.175604j -0.191127+0.601363j -1.11486+1.30305j -0.548147+0.17206j -0.0741064+0.423757j 0.111184+0.702828j 0.0251143+0.602525j -2.56525+1.37217j -0.437492+1.58037j 3.19367+0.607406j 0.745491+0.30843j -0.0857792+0.033738j -0.00640227+0.0688148j -0.141966+0.0435278j 0.0468453+0.0699021j 0.419416-0.149212j 0.127427-0.277729j 0.259325+0.567226j 0.0203632+0.244145j -0.24574-0.0631012j -0.274462-0.0308903j -0.147151-0.0875427j -0.54951+0.184442j 0.168399-0.197565j -0.0633145+0.412324j -0.0303328+0.218537j 0.0110568+0.0906536j -0.00780545+1.11193j -0.11301-0.240699j -0.0461504+0.407894j 0.667125+0.262041j 0.0888765+0.368806j -0.283269+0.572281j -0.386805-0.929439j -0.37727-0.435421j -0.60202-0.585548j 0.15369-0.489477j -1.20697-0.764545j 0.238373-0.0100111j -1.31598+0.366163j -0.057154-0.0667236j 0.286385-0.313595j 0.0466049-0.107984j -0.045741+0.310096j -0.405078+0.348745j -1.79948+0.157725j 0.254903+0.169008j -0.373388-0.510298j 0.580191-0.0827249j -0.801981-0.446458j -0.549535+2.07417j 0.340588+0.0978393j 1.07753-0.535921j 0.0745864-1.78384j 0.113723+0.044587j -2.07448-0.841224j -0.00218862-0.684345j -0.789983-0.0115035j -0.0816422+0.289233j 0.206436-0.966319j -0.0648297+0.996345j -0.282638+0.765248j -0.723015+0.979158j -0.971456+0.608575j 1.61024+2.17566j 0.457062+0.187184j -0.68031+0.847742j -0.740821+0.132488j -0.625239+0.483476j 
0.343761+0.264074j -0.267929+0.141885j -0.067999-0.381432j -0.101434-0.801113j 0.516106+0.405797j -0.148322-0.129154j 0.277892+0.272568j -0.743153+0.171878j -0.60896+0.501122j -1.24615-0.610853j -0.383582+1.45448j -1.1803+1.08297j -0.594152-0.838892j -1.39755-0.402598j -0.0467924+0.982129j -0.0572843-0.73235j 0.2724-0.303573j -0.184087+0.436315j -0.331166+0.504529j 0.247048+0.441735j 0.484192+0.184444j 0.398713-0.338324j 0.544097-0.376054j -1.13703+0.377758j -0.405172-0.0484527j 1.09388+1.00345j 0.549276+0.51982j 0.456736+0.0413779j 0.787865-0.0286467j -0.748674+1.74767j 0.551392-1.40232j 0.571483-0.955539j -2.27547-1.27654j -0.41832-0.554781j -0.199748+0.128454j 0.642394+0.163555j -0.859617-1.17963j 0.454516-0.319978j -0.0563829-0.333296j -0.891299-0.0923554j -0.307542+0.51832j -0.0985235-0.397083j -0.182134-0.0806651j 0.386764+0.465281j -0.230091-0.372046j -0.117092+0.0342358j 0.043353+0.279498j 0.609804-0.51027j -0.61382-0.317006j 0.163211-0.6549j -0.3387+0.240906j -0.270339+0.401564j 0.541296-0.370644j -0.476575+0.729193j -0.0919737-0.15204j 0.511545+0.396115j -0.177942+0.219471j 0.0228253+0.186265j -0.588007+0.454744j 0.566224-0.833315j -0.631106+0.400754j -0.0918185-0.875973j -0.0379039-0.0482543j 0.330232-1.61228j 0.234567+0.230545j -0.183684-1.0627j -0.575823-1.4353j 0.340988+0.181097j -0.509344+0.28717j 1.11248+0.310398j -0.968855-0.0750381j 0.285835+0.520047j 0.278883-1.08293j -1.08949+1.39989j -1.12854-1.20014j 0.86173-1.02355j 0.656975+0.297724j 0.628374-1.14189j -2.0408-1.07378j 0.197917+1.62784j -0.000459528+0.783416j 1.38742-0.323222j 2.56564-0.343872j 0.930784-0.0904843j 1.30739+0.670727j 0.196227-1.79927j -0.0693471-0.679488j 0.101992-1.04077j -1.24054+1.0568j 1.66727+0.105026j 0.363778+0.847649j 1.03596+0.508013j 0.200821-0.71439j -0.120609+0.0298445j 0.437194-0.147904j 
-0.155554+0.000899604j 0.263411-0.0580767j -0.106496+0.276235j 0.0339118-0.29834j -0.169237+0.31208j -0.247991+0.360972j -0.449179-0.122936j 0.464619-0.591391j -0.545981+1.67833j -0.4386-0.759159j 1.24564-0.269174j 0.604627-0.651633j 1.44029-0.154157j -0.361808-1.24033j -0.728512+0.353549j 0.188838+0.198721j -0.21336-0.185056j 0.115239-0.358577j -0.335037+0.424421j -0.458542+0.328243j 0.439466-0.289141j -0.00436716+0.279412j 0.0384421+0.425104j 0.810328-0.542307j -0.866372+0.779854j 0.0821299+0.66994j -0.109926+1.6237j -0.840752+0.21676j -1.25589-0.401754j 1.23049-0.0530662j 1.34144+0.158785j 2.46605-0.506162j -0.215989+0.0798849j -0.168123-0.661889j 1.77755-0.308565j 0.483517+1.06608j 0.604201-0.121645j -0.074785+0.3351j 0.210413+0.129176j -0.020332+0.0948556j 0.0529691+0.00825155j -0.660667+0.0897093j -0.0780415+0.427177j 0.064787+0.257286j 0.364328+0.28909j 0.000113053-0.115726j -0.121727+0.0683968j -0.6987-0.213462j -0.315193-0.885775j 0.0685943+0.305651j -0.677413-0.00824793j 0.534258+0.0148691j 0.453665+0.239403j 0.142138+0.113515j -0.214688-0.503495j -0.271468+0.41699j 0.0189255-0.0962671j -0.424365+0.145296j -0.542362+0.424523j -0.990311-0.309971j -0.183014-0.442615j 0.0240388-0.807758j -0.0854314-0.670271j -0.563361+0.0872716j 0.460291+0.66292j -0.00723011-0.21128j -0.443009+0.991852j 0.844097-0.103926j -0.474507-0.026989j -1.5872-0.806669j 0.488142-0.702304j -0.289324-0.596287j 1.60751-1.30195j -0.647845-0.712704j -2.18606-0.454603j 0.37639+0.712511j -0.907313-0.158438j 1.61586-1.4584j 0.0698257+1.12932j -0.166409-0.0998332j -0.422763+1.14576j -0.528468-0.751533j -0.312262-1.17637j 0.0625412+0.165197j 2.14305+0.528664j -0.163386+0.41178j 1.98507+1.58026j 0.0530637+0.0572654j 0.995067-0.283212j -1.769+1.33667j 0.0529463+0.159274j 0.437577-0.411672j -0.293108+0.0993728j -0.298818-0.431237j -0.27724+0.121214j 
-0.163372+0.273519j 0.404507-0.0559973j -0.607872-0.0319729j 0.443838-0.391862j -0.651383+0.925919j 0.239998+1.23163j -0.663209-0.0294309j -0.926427+0.163302j 0.00987775-0.385378j -0.692154+0.0818344j 1.6294-0.439022j 0.503267+0.701783j 0.410488-0.354703j 0.119663-0.257363j -1.29351-0.821426j 0.529666-0.151922j -0.281504-0.63887j 0.274158-0.181491j -0.755517+0.0184146j -1.34263+0.871133j 0.365735-1.08934j 0.0264658+0.283133j 0.428702+0.239394j -1.09024-0.480559j -0.295637-0.804189j -0.420102-0.0779175j -0.346671+0.285353j 0.605149+1.49527j -0.116341+0.54287j -0.428154+0.849214j -0.47065-0.282119j -1.9787+1.62801j 0.0542597+1.58506j 0.00699816+0.875216j -1.90025-0.45374j -0.315422-0.744474j 0.818221-0.0853765j 0.125522+0.659475j 0.493259+0.105989j -0.398667-0.0260531j -0.0773534+0.265623j -0.808014-0.428906j -0.396036+0.325178j 0.968275+1.15649j 0.00514741+0.462068j -0.491136+0.0640406j 0.0191279+0.0368008j -0.827806-0.607968j -0.388106-0.51033j 0.353019+0.117481j -0.41002+0.310219j 0.684278+0.895549j 1.17736+0.162508j 0.300155+0.949576j 0.165987-1.03811j -0.0326239+1.18854j -0.323552-0.155148j -0.12233-0.879195j -0.717142-0.66695j -0.543078-2.43664j -1.17249-0.691109j 1.51259-0.560791j 0.727633+0.547569j 0.0431306-1.51916j 0.917544-0.138866j 1.41898-1.51261j -1.1368-1.32274j -0.0188909-0.466883j 0.138528+1.49003j 0.164054+0.194784j 1.33559-0.557614j 0.35346+0.16058j -0.0195197-1.54308j 0.00822557+0.226477j 0.763967+0.779347j -0.343039+2.13806j 0.954151-0.523693j -1.46321+0.510613j 1.24546-1.44456j 1.02914-0.474316j 0.260198-0.892297j 1.57603-1.59122j 0.781826-2.49448j 0.0872209+1.5112j 0.273025-1.03195j -2.1649+0.504426j 1.15218+0.0125094j 1.79406+0.970298j -1.03481-0.970485j -1.05313-0.523654j -1.00326+1.07274j -0.597932+1.7242j 0.984132+0.168973j 0.634775-0.486022j -0.296584-0.260698j 
0.268237+0.0539287j -0.430597+0.193936j 0.0159411-0.10485j -0.173807-0.248626j -0.356468+0.049907j -0.261801-1.1901j 0.866718+0.542248j -0.316407-0.261787j -0.33194-0.179032j -1.20171-1.18294j 1.49696-0.460741j 0.838219-0.562698j -0.357715+0.489264j 0.514194+0.250506j 0.0452519+0.421066j -0.336668-0.287017j 0.436158+0.154591j 0.056811+0.315295j 0.0273771+0.558861j -0.0941844+0.00287707j -0.206513+1.07937j -0.174362+0.749043j -0.026867+0.771877j 0.287528-0.243618j -1.70355-0.47593j 1.83356+0.979888j 0.680195-0.219344j -0.58104-2.71744j 1.25376+0.186702j 0.562806-0.756278j -0.31378-0.313907j -2.55401+0.426496j 0.279932+0.364169j 1.67728-0.265957j 0.845758-0.444848j -0.334567+0.382773j -0.0486094-0.448767j 0.13963-0.637539j -0.351053-0.248054j -0.396133+0.270013j -0.0616795+0.207774j 0.18428-0.148774j -0.164784-0.0963666j -0.403967-0.558617j 0.455833-0.505514j 0.135734-0.0333533j 0.208023+0.232055j -0.188046+0.798898j 0.35282-0.172304j -0.244583+0.508891j 0.222504-0.347574j 0.276981-1.15479j -0.588946+0.0902082j -0.938831-2.23325j -0.102299-0.577391j -0.389775+0.257426j -0.674683+0.292764j -1.35998+0.0154097j 0.753241+0.647678j -0.365855+1.30947j -0.28993-0.355842j -1.64828+0.0805628j 0.570808-1.23673j 0.827768+0.656996j 0.351592+0.869663j -0.324526-0.94574j -1.03907+0.261259j 1.21315+0.0074377j 0.00477144+0.991655j 0.896115-1.93525j -0.386142+0.641278j 0.607651+0.592563j -1.9809+1.05405j -1.0701-0.226889j 1.67874+0.234497j -0.191565-1.47543j 0.607538+0.363393j 0.0828158-0.197091j 0.327806-0.911264j -0.380641-0.316542j 1.35897+0.351531j -1.33349+2.58238j -1.12826-0.84231j 0.816411+1.06508j 1.0549-0.934205j -1.27347-1.16628j 0.500626+0.256751j 1.09354-0.675513j 1.39611+0.0949898j -0.0500153+0.275517j 0.338157-1.265j 0.414186-1.18414j -0.178641-0.442096j -0.774359+0.00668952j 0.136711+0.671666j 
0.0321148+0.0433048j -0.163531+0.309518j 0.271859-0.500039j 0.256576+0.305847j -0.25233-0.187066j 0.581801-0.117414j 0.57623+0.25247j -0.436477+0.653857j -0.119907-0.881493j -0.482155+0.467396j 0.383189-0.773738j -0.0456251-0.117454j -0.627135+0.551628j 0.770231+0.858288j 0.286189-0.36429j -0.0511826-0.0646057j 0.401202-0.140222j -0.347961+0.143234j -0.414122-0.371452j 0.156269-0.597664j -0.284988-0.27351j 0.252348+0.178992j 1.21379+0.502581j -0.418929+1.13937j 0.381804-2.42414j 0.998652-1.95755j 1.01864-0.0340774j -0.202302-0.0670734j -0.537198+0.0847342j 0.543463-0.0876088j 0.515351-0.898848j 4.14236+0.143514j -1.43931+1.82802j 0.857389-0.435132j -0.230615-0.545881j -0.496549-0.314991j -0.0642553+0.0855539j -0.141111-0.221963j -0.126168+0.0113389j -0.251058-0.387206j -0.295895+0.104832j -0.158612-0.28666j -0.162706-0.00470125j -0.348201+0.165944j -0.528178+0.656239j 0.228371-0.410446j -0.249179-0.466077j -0.00363084-0.668794j 0.0474768-0.253875j 0.0865214-0.106456j -0.208086-0.221727j 0.0240489-0.12365j 0.344625-0.0826118j -0.72283-0.0856854j 1.71841-0.613798j 0.990002-0.194897j -0.667202+0.90505j 0.524385-1.51186j 1.0659+0.586942j 1.15713-1.39122j -0.0592743+0.381492j -0.716728+0.896956j -0.355597+1.68927j -0.249693-0.965035j 0.974595+0.526856j 0.821576-0.444246j -0.212966+0.370976j 0.856182-0.566061j -0.388789+0.518655j -0.654229-0.0884262j -0.694457-0.342114j -0.413593-0.140758j 0.0849665-1.285j 0.3466-0.40133j 0.297772-0.129545j 0.265328-0.436087j -0.0790908+0.338443j 0.322212+1.40828j 0.378532-0.303896j -0.502158+0.347364j -1.10204-1.39236j 0.423166-0.627181j 1.96493-0.00607302j -0.0979796+0.462808j -1.3713+1.59101j -0.711755-0.880233j -0.95827+0.918834j 0.786172+0.47317j 0.562018+0.37171j -0.525571-1.2423j -0.297122-0.371903j -0.124163+0.261053j 0.334852-0.129475j 0.161285-0.00548628j -0.00605917-0.0114641j 
-0.0580515-0.152339j -0.395976+0.415193j -1.04201-0.583435j -1.38597+0.161456j 0.00739738+0.0255228j -0.231634-0.0215796j 0.376494-0.446482j -0.0271955-1.0221j -0.0740161-0.374722j 0.293078-0.520928j 0.0615499+0.0715689j 0.245115-1.1334j 0.264892-0.834567j 1.11484+1.95213j 0.116095+0.211975j -0.292052+0.404002j 0.452038+0.38962j 0.353158+0.66244j 0.912867+0.880145j -0.901986+0.0724975j 1.18125-1.22612j 0.498207-0.299608j 0.0225939+0.211303j 0.409279+1.31722j -0.372466+0.0798346j 0.454765+0.90775j -0.387454-0.418148j -0.232287+0.409417j -0.586002+1.20821j -0.374034+1.9038j 0.21295+0.467805j 0.186731+0.202129j -0.400895-0.334139j -2.16885+0.922908j 0.198225-2.26475j -1.26613+0.423565j -0.491128+0.420413j -0.0546783-0.117116j -0.133433-0.0598279j 0.0130347-0.146399j -0.244993-0.0256642j -0.245867+0.635111j 0.241548+0.219112j 0.192981+0.079584j 0.262468-0.438534j -0.484209-0.0422011j 0.492416+0.17082j -0.31041+0.499382j -0.537809-0.29491j 0.0360534+0.385719j -0.507581+0.258217j 0.864599-1.19552j 0.224237+1.55021j 0.271728-0.164214j 0.195419+0.0337695j 1.27943-2.27817j 0.842046+0.136732j 0.0180787-0.166223j -0.343265+0.222084j -0.0796546+0.750261j 1.21591+1.98706j 0.461214-0.0203753j 0.109067-0.0455788j 0.666416+0.653349j 0.096275-0.294606j 0.231677-0.231758j -0.667482-0.512457j -0.219895-0.153334j 0.918396-0.177834j 1.13792-0.609106j -1.32515+0.620025j -1.73189+0.494452j -0.71895+1.81027j 0.0543847+0.0734865j 0.478766+0.426233j -0.262528-1.6239j -0.35237+2.08319j -0.354691+0.211736j 0.376554+0.181175j -0.153425-0.411173j -0.0129927+0.772608j -0.608022+0.176018j -0.489155+0.570009j -1.72422-0.464553j 0.211625+0.223767j 0.940251+0.200178j 1.11018+0.432029j -0.60736+1.56156j 0.512771-1.12884j -0.68319+1.04838j -0.722233+0.0230662j 0.0522029-0.188743j 0.00655395-0.697213j 0.138148-0.493175j -0.184589-0.136718j 
