-9.92873e-13-0.291075j -6.29149e-14-0.00609196j -1.97599e-15+0.0206521j 3.19591e-15-0.0879086j 9.43778e-16+0.0411788j -9.07921e-17+0.141137j -5.43317e-15+0.140414j -5.40522e-16-0.00251723j 3.83021e-15-0.0677039j -1.33421e-15-0.0323783j 6.51646e-15+0.0966061j 9.85082e-16-0.133233j -2.84842e-15+0.0591949j -7.23824e-15+0.10979j -1.81001e-15-0.0393896j -3.66888e-16-0.0449267j -4.37313e-14+0.162326j -2.17914e-14+0.0252493j 1.94907e-14-0.121164j -4.72275e-15-0.00994046j 9.59902e-15+0.043446j 4.14223e-15+0.0433049j -1.09817e-14+0.123358j 1.08298e-14+0.147259j 9.68841e-15-0.0524909j -1.94012e-14-0.0842319j -1.7897e-14+0.131087j 6.30968e-14-0.0949218j 8.26964e-15+0.0791833j -2.76172e-14-0.0137125j 2.80171e-14+0.0266451j 1.49e-13-0.031245j -2.94278e-12+0.29715j 1.8884e-15-0.0967893j 1.76342e-14-0.021309j 3.51716e-13+0.0423351j -9.23042e-15-0.0100229j 6.09832e-14+0.00607892j -1.35374e-13+0.0983837j -1.88455e-14+0.0354806j 2.26846e-14-0.117625j 6.37375e-15+0.00696491j -1.12895e-14+0.00880436j 4.42057e-15+0.102682j 6.15741e-15-0.0499919j -6.88746e-15+0.0146917j 1.82507e-14-0.0179743j 3.46474e-15-0.0328036j 5.56548e-15+0.172279j -2.81192e-14-0.0510315j 1.30132e-14+0.124744j 1.87314e-14+0.0479374j 1.08696e-14+0.0380237j 7.16999e-14-0.166117j 2.81726e-14-0.0796125j -8.46202e-16+0.134553j -2.36451e-14-0.00254049j -1.51445e-15-0.033264j -6.98158e-15-0.0100484j -3.93522e-15-0.00975947j 1.19405e-14-0.121255j 1.09843e-14+0.170802j -2.94171e-15+0.0809565j 6.18836e-16-0.0103681j -1.48095e-15+0.0708114j 5.69787e-15-0.116161j 7.9698e-15-0.0384664j -3.495e-14-0.0587586j 2.40589e-15-0.0488268j 9.52306e-16-0.0911033j 2.43459e-15+0.0869388j 2.0412e-15+0.112575j 2.92614e-15-0.0316664j 1.41463e-15-0.146838j 2.93865e-15+0.0273201j 2.82344e-14-0.133971j -3.8278e-13-0.238232j 
-2.18309e-13-0.0736374j -1.85363e-14+0.158502j 1.89491e-15-0.0633201j -7.65334e-15+0.226589j 6.32492e-17+0.0117651j -1.40528e-15+0.111462j 5.30831e-15-0.0686405j 2.11271e-15-0.0665281j -3.15826e-15+0.115152j -9.54852e-16+0.011075j -7.16709e-16-0.0113626j -4.40599e-15+0.0302746j 2.65206e-15+0.0107848j 4.2375e-15-0.185789j 5.93088e-15-0.125554j -5.91655e-15-0.112337j -2.45147e-14+0.039175j -1.36515e-14+0.194885j -7.55528e-15+0.0967073j 7.52993e-15-0.021642j -1.4236e-14-0.0383168j -8.90413e-15+0.147914j -6.475e-15+0.0646635j 1.02704e-14+0.0028248j -1.35339e-14+0.187998j 1.6043e-14-0.0430576j -9.1846e-15+0.133183j -3.7822e-14+0.0283932j -2.18171e-14+0.238439j -3.10878e-14-0.010005j 2.7884e-15+0.146863j -9.12224e-14+0.00549106j 1.36937e-12-0.136638j -5.16749e-15-0.108568j -3.54253e-14+0.113341j -3.3166e-13-0.0407064j 2.96704e-14+0.112934j -1.03833e-13+0.0375396j 2.20586e-13-0.141308j 3.69727e-14-0.0254375j -2.05728e-14+0.075837j -1.20798e-14+0.0207551j -2.31946e-15-0.0301101j -3.01109e-14+0.159821j 5.44551e-18+0.188672j -6.29669e-14+0.265768j -1.6648e-14+0.00187268j 1.24016e-14-0.108121j 1.47065e-14-0.0706983j 6.08359e-14+0.0140004j 2.02061e-14+0.162315j -1.22608e-15-0.0279295j 1.56889e-14+0.102371j -8.11423e-15-0.0211169j -6.16395e-15+0.0819609j 1.88649e-15+0.0579506j -7.09504e-13-0.0758407j 5.19943e-15+0.0318974j 1.07637e-15+0.0580834j -3.94735e-15-0.0483372j 2.57501e-14-0.159442j -4.80227e-15-0.0765171j 8.70633e-15-0.123231j 1.15728e-15-0.0735165j 1.35362e-15-0.104082j -4.52022e-16-0.023006j 2.16157e-15-0.0265897j 6.73162e-15+0.0154383j -1.67259e-15+0.10815j -1.49211e-15+0.0328635j 1.45258e-15+0.0582116j 2.82905e-17+0.120577j -3.44408e-15+0.136976j -4.45694e-15+0.16607j -6.63197e-15-0.0698815j 1.40376e-14+0.0856012j -2.66444e-13-0.153738j 
2.03565e-13+0.0643757j 1.23765e-14-0.0712114j 2.39641e-15-0.102434j -7.0164e-16-0.102402j 1.67945e-15+0.0852437j 9.38435e-15-0.00562602j 9.54203e-15-0.148467j -3.20002e-15+0.118296j -1.15322e-15+0.111104j 9.32297e-15+0.0892777j 2.82391e-15+0.112939j 1.76462e-14+0.0109741j -2.09374e-15+0.195856j -5.57904e-15-0.0252441j 8.83971e-15-0.126363j 7.80397e-15+0.0959741j 7.39049e-15-0.0529635j -3.63659e-15+0.0856381j 1.56609e-14-0.0718466j -1.51763e-15+0.105255j 2.81018e-14+0.0549981j -8.75044e-15+0.0742624j -5.13009e-15+0.0528995j -5.54315e-16-0.13183j -4.50755e-15+0.182507j 1.07076e-14-0.0468757j 1.0922e-14+0.151561j -5.27157e-14+0.172876j -2.1666e-14-0.0916246j 1.21467e-14+0.187632j 5.27715e-15+0.304142j 8.9753e-14-0.0948863j -1.75016e-12+0.175061j -2.0389e-14+0.0344035j -1.08236e-15+0.00541661j -5.99996e-13-0.0740729j -5.78501e-14-0.119513j 6.41561e-14-0.0167041j -1.58466e-13+0.10678j -4.92562e-14+0.0569468j 4.06598e-14-0.16164j 1.70597e-13-0.168196j -1.65643e-14-0.0771043j 1.32595e-14+0.141j -1.16382e-14+0.228525j 4.19486e-14-0.236038j 1.66133e-14+0.00505408j 3.53983e-15-0.124117j 1.02972e-14+0.0104136j 2.71775e-14+0.0224466j 7.98981e-15-0.0397027j -1.94331e-14-0.104382j -1.52928e-14+0.0545882j -8.83205e-14+0.12951j -2.66769e-14+0.217918j -1.16609e-14+0.15308j 1.51187e-13+0.0171876j -2.30673e-15-0.0139186j -1.18099e-14-0.0305853j -1.30365e-14-0.0918173j -9.30983e-15+0.0668958j 1.42524e-14+0.149034j -7.31279e-15-0.134018j 8.64998e-15-0.00723518j 6.05524e-15+0.0646312j 1.59115e-14-0.0680206j -1.45291e-15+0.0673102j 1.17351e-14+0.0202515j 2.37993e-16+0.179362j -3.64851e-15-0.0360628j -2.20181e-16-0.116107j 7.84866e-15-0.0958476j 1.30284e-15+0.0409905j -2.2416e-15-0.102181j -2.94048e-15-0.0689689j -1.46755e-14-0.0385319j 1.91403e-13+0.111383j 
-7.30471e-14-0.0253514j -1.36846e-14+0.0356476j -2.37402e-15+0.00676186j -1.0456e-14+0.0484773j 1.34312e-14-0.0416341j 4.02936e-14-0.146709j 2.73763e-14-0.0780539j -1.06777e-14+0.0140227j 1.12175e-14-0.0158102j -2.26983e-15-0.00890237j -2.78919e-14+0.106296j 7.99996e-14-0.325012j -1.14557e-14-0.0110161j -3.6006e-14+0.125286j 3.69556e-14-0.0823973j 6.46593e-14-0.247526j 7.1975e-14-0.133219j 3.43517e-14-0.0570798j 3.83969e-15-0.0499825j 1.0254e-17-0.00931089j 1.31429e-14+0.0612074j -6.64795e-14+0.245966j -1.47829e-14-0.0220182j 1.36214e-14-0.0500671j 1.20168e-14-0.090305j -5.05769e-15-0.0189161j 2.89507e-14-0.127734j 2.92986e-14-0.0453331j 4.18544e-14-0.0956966j -2.29689e-14+0.0128089j -4.75867e-14+0.112826j -3.72407e-14-0.0320103j 7.63919e-13-0.0779802j -1.44161e-14+0.12277j 1.46925e-13-0.227073j -1.33942e-12-0.173171j 2.13452e-14+0.214642j -6.15926e-14+0.0217104j 6.48184e-14-0.0480028j 3.46818e-14-0.0313946j 4.37099e-14-0.0714613j 1.79957e-13-0.153302j 5.62147e-14-0.142288j 4.67346e-14-0.178588j -7.97038e-16+0.0457579j -1.76374e-14+0.106079j 1.19442e-13-0.209159j 1.0957e-14+0.0598819j 1.92625e-14-0.113535j 4.29998e-14+0.0664613j 2.59163e-14-0.0694082j -2.637e-15+0.0331629j -7.47697e-15-0.0288059j -7.27798e-15+0.030975j 5.7744e-15-0.0750566j -5.97251e-14+0.214538j -4.97918e-13-0.0553805j -1.59185e-14+0.0989311j -1.57133e-14+0.123992j -2.8244e-14+0.0827613j -3.51827e-14+0.0908986j -3.13447e-14+0.149158j -2.762e-14+0.147414j 4.68046e-14-0.148443j 1.62086e-14-0.101241j 8.56855e-14-0.254545j 6.87552e-14-0.186133j 1.09303e-14+0.024613j 1.25185e-14-0.0390018j -1.60281e-14+0.0781005j 1.35618e-14-0.0711703j 3.50098e-14-0.106333j 4.10336e-15-0.00860414j -1.44305e-14+0.0604202j -2.83472e-15-0.00603417j -1.2128e-15+0.0254072j -7.54161e-14-0.0497965j 
2.03831e-14+0.0102331j 3.85164e-15-0.0516497j 3.2286e-15-0.105514j 2.76153e-15-0.0608394j -4.31976e-15+0.140144j -7.99312e-15+0.0250287j -2.28928e-15-0.0393026j 1.17466e-15-0.00762808j -4.04677e-15+0.219502j 5.22467e-15+0.0512538j 1.95397e-15-0.0805266j -1.59932e-14+0.0103464j 1.07876e-15-0.00232722j 5.2912e-15+0.0525564j -9.24889e-15+0.238283j -9.81268e-15+0.00109044j -3.23919e-14+0.0805315j -1.42784e-14+0.0887379j -2.11123e-15+0.0232251j 4.38919e-16+0.0205771j 2.78044e-14+0.0545505j 8.21127e-15+0.102738j 7.19185e-15-0.232783j -4.11594e-15-0.0275265j 1.27683e-14-0.121122j 1.02581e-14+0.13364j 2.58168e-15-0.012667j 2.16126e-14-0.0507567j 5.78752e-15+0.0264522j -6.81579e-14-0.150836j 4.43219e-14+0.0435619j -1.26531e-14-0.344925j 3.40831e-13-0.0514974j 3.03987e-14-0.242663j 8.63281e-14-0.0594544j -6.86945e-13-0.0815125j 1.25619e-14+0.0340933j 5.57749e-16+0.00607711j -1.49257e-14+0.00713286j 5.21297e-14-0.0225742j -2.09665e-14+0.0723507j 1.27134e-14-0.0156496j 2.07662e-14+0.113357j -3.15176e-14+0.106349j 1.59859e-14+0.038095j 2.30711e-14+0.0325476j 9.46952e-14-0.281027j 2.33563e-14+0.117993j 1.11562e-16-0.0359414j -2.50198e-13-0.216568j -6.36712e-14+0.10306j 8.67565e-15+0.0292288j -1.57262e-14-0.282473j 7.95526e-15+0.049657j 1.06228e-14-0.0617425j 7.79664e-15+0.0544473j 7.60996e-14+0.0093137j 6.57421e-15+0.0242327j 1.4527e-15-0.0700071j -1.45775e-14-0.18368j 4.56906e-15-0.0302489j 1.04767e-14-0.000497489j 7.87948e-15+0.177659j -1.01865e-14+0.203761j -4.34094e-15-0.0938941j -1.85942e-14+0.0925958j -7.50792e-15-0.0140517j 4.36616e-14+0.0675094j -2.977e-15+0.178771j 3.50887e-15+0.0215703j -8.68271e-15-0.147007j -6.25141e-15+0.0770736j 5.37431e-17+0.0699631j 5.23445e-15-0.0986209j -6.01389e-15-0.114812j -3.75708e-15-0.0593276j 7.00525e-14+0.0403783j 
4.68443e-13+0.135518j 3.13368e-14+0.0279308j 5.70644e-18-0.0125314j 1.27753e-15+0.0794028j -4.84846e-16-0.0270603j 4.4061e-16-0.0589042j 1.30725e-15-0.0765573j -4.01118e-16-0.00922408j 6.00508e-19+0.0381756j 4.95752e-16+0.0140067j -4.08682e-15-0.0479426j -4.88768e-17+0.0675764j 1.44123e-15-0.0319928j 8.20463e-16-0.0807242j 2.58254e-16-0.00532539j -2.11473e-15+0.00361195j 1.9626e-14-0.0805759j 1.26369e-14+0.00732956j -9.02243e-15+0.0739185j 3.1317e-15-0.000684585j -8.86444e-15-0.029729j -1.14493e-15-0.00547572j 4.42389e-15-0.0451461j -5.00246e-15-0.0710381j -4.24199e-15+0.0524668j 1.1076e-14+0.0318968j 8.35196e-15-0.0519758j -3.56822e-14+0.0503578j -4.02634e-15-0.0087415j 1.23431e-14+0.00870915j -1.36535e-14-0.000108539j -8.86697e-14+0.0323842j 1.68955e-12-0.170081j -3.01878e-15+0.0452618j -1.49847e-14+0.0260242j -1.97004e-13-0.0237504j 1.19558e-14+0.022866j -4.57932e-14+0.00217072j 9.89102e-14-0.0711826j 1.27381e-14-0.0216893j -1.20974e-14+0.0686871j -7.12521e-15+0.00140504j 4.18599e-15-0.0132189j -3.8222e-15-0.0393799j -2.16187e-16+0.0451122j -2.58492e-15+0.031774j -1.52604e-14+0.0190058j -2.20248e-15+5.61459e-05j -3.55287e-15-0.0962597j 3.36378e-14+0.0369926j 8.28126e-17-0.0457751j -1.0298e-14-0.0269842j -1.34985e-15+0.00498868j -3.51721e-14+0.0770661j -1.34879e-14+0.0491069j 9.05617e-16-0.0632405j -9.44197e-14-0.010032j 2.18909e-15+0.021247j 5.14694e-15+0.0174897j 1.77522e-15+0.00866323j -4.06893e-15+0.0410605j -8.75745e-15-0.0976921j 3.94947e-16-0.0609304j -1.14824e-15-0.0143984j -1.25261e-15-0.047823j -2.33629e-15+0.0505087j -3.66521e-15+0.0134872j 1.73477e-14+0.0287966j 5.57637e-16+0.0279691j 5.1066e-16+0.0509157j -5.87215e-16-0.0286576j -7.67812e-17-0.0434375j 2.57347e-16+0.0304589j 2.06043e-15+0.102845j -3.31895e-15-0.0171053j -9.72282e-15+0.0825204j 1.50139e-13+0.0958191j 
3.12001e-13+0.0950096j 1.80043e-14-0.0630729j 8.91169e-16+0.00704762j -2.81902e-15-0.072896j -3.24155e-17-0.00146184j -1.01851e-15-0.0636448j 8.49594e-16-0.0158999j 8.52979e-16+0.0332491j -1.7619e-15-0.0119995j 1.70765e-15+0.011862j -6.22264e-16-0.0130568j 2.056e-15+0.0321732j 1.76996e-16+0.000353691j 3.6086e-15+0.0358712j 1.05669e-15+0.0500498j 4.90139e-15+0.0674215j 1.59246e-14-0.0461254j 4.65248e-15-0.0630285j -1.85085e-15-0.0117434j -1.05602e-15+0.0193798j 5.66162e-15+0.00739196j -7.0627e-16-0.0633014j 3.47397e-15-0.0483687j -6.34471e-15-0.0421166j -7.1345e-16-0.0384528j 1.05429e-15+0.0326332j 5.83437e-15-0.0574514j -5.3769e-15+0.0257046j -1.16248e-15-0.104469j 1.74985e-14+0.0188322j -7.27773e-15-0.0357814j 8.33366e-15-0.00848202j -2.06302e-14+0.00145054j 1.13072e-15+0.0523605j 4.32892e-15-0.0269158j 3.49592e-14+0.00455801j -1.85121e-14-0.0558278j 3.05277e-14-0.0167263j -6.1635e-14+0.0398631j -1.27044e-14+0.00700428j 2.81092e-15-0.010864j 1.10875e-14-0.0170192j 2.20495e-15+0.0102066j 7.53762e-15-0.057325j -5.73644e-15-0.0378518j 2.18529e-14-0.120498j 1.78076e-15+0.00675105j -3.23641e-15+0.0346044j -3.73707e-15-0.00715785j -2.11672e-14+0.0010536j -1.37157e-14-0.0826005j -4.79384e-15-0.00996459j -1.14409e-14-0.0439254j -1.9151e-14+0.053619j -6.83349e-15+0.00828772j -1.8599e-15-0.0441158j 2.92057e-13+0.0311929j -2.56236e-15-0.00885729j -1.85272e-15-0.0272911j 1.51658e-15+0.00459167j -8.78499e-15+0.0836365j 2.225e-15-0.00313521j -6.37698e-16+0.0123128j 1.55345e-15+0.0374811j 2.58611e-15+0.0293242j -3.72921e-16+0.0394025j -3.02486e-15+0.0305717j 6.0951e-15+0.00912829j -1.51513e-15-0.00767594j -7.57735e-16+0.00213225j -2.64303e-15-0.0488469j -2.47198e-15-0.0689654j -1.83903e-15-0.036457j -2.54582e-15-0.0400838j 2.53124e-15+0.0110876j -1.44514e-14-0.00691277j 2.00253e-13+0.117483j 
2.3678e-15+0.000928511j 2.14006e-16-0.00410164j -4.75639e-18-0.00629619j 1.69407e-16-0.00622968j 8.59716e-17+0.00674287j 2.10765e-16+0.0021717j 7.985e-17-0.00580566j -9.80246e-17+0.00488565j 1.72678e-16+0.008435j 6.01311e-16+0.00463791j 1.30085e-16+0.00364301j 5.44705e-16+0.00154102j -3.09467e-18+0.00905741j -3.02792e-16-0.00028425j 2.07174e-16-0.00132981j 6.70439e-17+0.00516619j -8.71901e-16+0.00106967j -5.13377e-16+0.0060272j 9.65888e-16-0.00324871j -4.20451e-17+0.00493284j 1.63069e-15+0.00330203j 3.01854e-17+0.00415478j -2.85318e-16-0.000659362j -1.7112e-16-0.00489916j 2.25158e-16+0.00620714j 6.95023e-16-0.000273224j 3.93517e-16+0.00824858j -1.54086e-15+0.00628115j -8.33976e-16-0.00217901j -8.54531e-16+0.00540329j 1.53266e-15+0.013824j 4.69308e-15-0.0102489j -9.53938e-14+0.00924714j -6.00763e-16-0.00425967j 1.03937e-15+0.000436205j -2.85439e-14-0.00343843j -2.64435e-15-0.00580036j 3.50048e-15-0.00066277j -8.40153e-15+0.00564714j -1.54772e-15+0.00251128j 1.54412e-15-0.00620231j 6.86591e-15-0.00671734j -5.53166e-16-0.000565088j 1.24683e-16+0.0099763j 2.77691e-18+0.0102706j 2.23382e-15-0.00998227j 1.87512e-15-0.00365843j 4.86405e-16-0.0040701j 3.49344e-16+0.00165245j -3.77007e-15-0.00354245j -6.19734e-16+0.00154517j -6.39224e-16-0.00393039j -9.3823e-16-0.00200353j -3.04752e-15+0.00513409j -6.20539e-16+0.0084013j -2.68804e-16+0.00751456j 9.84607e-15+0.00112714j 4.0661e-17-0.000950758j -6.15766e-16-0.00327481j -9.85723e-16-0.00783364j -1.51979e-16+0.000831369j 7.57047e-16+0.00686202j -2.3888e-16-0.00313132j 2.31896e-16+0.00393016j 3.53818e-17+0.00216501j 3.47392e-16-0.000810252j -2.90296e-16+0.00343934j 1.04597e-15+0.00151825j 2.30516e-16+0.0109763j -4.24709e-18-0.00227532j -2.95378e-16-0.00656755j 2.17997e-16-0.00129989j 2.35713e-16+0.00298755j 1.14843e-16-0.00744705j -3.6457e-16-0.00487769j -4.20192e-16-0.00376303j 7.1205e-15+0.0039569j 
1.13574e-14+0.00310181j 7.26826e-16+0.00195321j -2.78797e-16-0.00043838j 1.18474e-16+0.00388994j 2.00536e-16-0.00126034j 8.42032e-17-0.00304497j -2.42232e-16-0.00319039j 6.53975e-18-0.000576272j 5.26365e-16+0.00135572j 1.41357e-16+0.000213063j -2.16872e-16-0.000343233j 3.4966e-16-0.00210685j 9.78274e-17-0.00136781j -3.8854e-16-0.00132906j 1.50285e-16-0.00121632j 1.94552e-16-0.0036664j 8.22925e-16-0.00362867j 8.97343e-16+0.0001916j -2.59312e-16+0.00199654j 2.46481e-16-0.000398908j 6.50719e-18-0.000261681j -5.33169e-17+0.00352549j -2.45465e-16-0.00163485j -4.06227e-16-0.002413j 1.95e-16+0.000620188j 3.1296e-16+0.000713866j 4.14929e-16-0.00285364j -4.34231e-16+0.000585247j 1.53823e-16-0.00031242j 6.15592e-17-0.000136542j -1.27605e-16+0.00149309j -3.86148e-15+0.00035161j 6.60684e-14-0.00671748j 1.67277e-17+0.00208951j 9.40548e-16-0.00176703j -2.41254e-14-0.00297744j 1.33171e-15+0.00407915j -2.54932e-15+0.000524089j 4.57864e-15-0.00337503j 1.02298e-15-0.00124196j -1.31883e-16+0.00171087j 1.12847e-15-0.00152629j 4.42691e-16-0.0020393j 1.49095e-16-0.00289498j 6.87542e-16+0.00222077j -4.3686e-16+0.00377785j 4.66265e-16-0.00241008j 1.17565e-16+0.000683385j -3.46018e-16-0.00449816j 1.58352e-15+0.00167931j 1.65144e-16-0.00134606j -4.09815e-16-0.000227717j -1.44379e-16-0.000209158j -5.03596e-16+0.00229499j -2.49707e-17+0.000290997j -3.19321e-17+0.000939677j -1.21918e-14-0.00131139j 1.89209e-16+0.00203413j 2.60235e-16+0.00228465j -3.63028e-16+0.00108444j -1.45928e-16+0.00152152j -3.66141e-16-0.00144876j -2.18238e-16+9.20652e-05j 2.16572e-16-0.00236105j -2.12191e-16-0.00326822j 4.11202e-16-0.0016748j 4.25062e-16-0.0022282j 8.7757e-16+0.00121904j 5.53873e-16+0.000575931j 9.46402e-17+0.00264989j -2.97001e-16-0.00141554j 5.15871e-17-0.00183744j 2.68367e-16+0.00129303j 1.30217e-16+0.00442276j -4.14724e-16-0.000828136j -9.6151e-18+0.00300509j 2.1127e-15+0.00129427j 
-7.8329e-15-0.00271846j -7.4149e-16+0.00353515j -1.70614e-16-0.000507617j -1.26977e-16+0.00490518j 3.14573e-17+4.88119e-05j -5.43092e-16+0.00318665j -5.15299e-16+0.000646196j 2.33024e-16-0.00257073j 2.84173e-16+0.00169505j 9.55606e-17-0.000574192j -1.29978e-16-0.00171627j -1.46986e-16+0.00129033j 1.58663e-16-0.00156873j 3.94562e-17-0.00338897j 8.24083e-17-0.000299096j -1.21032e-16-0.00243267j -1.30443e-15+0.0024159j -3.94497e-16+0.00350106j -7.04046e-17+0.00255287j 2.94286e-16-0.00141143j -5.17772e-16-0.00123818j 7.22455e-17+0.0017412j -4.2423e-16+0.000427641j -2.5803e-16+0.00184134j -2.35163e-17+0.00167556j 4.61711e-16-0.000122816j -5.63826e-16+0.00183366j 2.46386e-16-0.00141495j -5.79331e-16+0.0062154j -8.41856e-16-0.00261208j 5.27167e-16-0.000348172j -2.47538e-15+4.56044e-05j 3.49054e-14-0.00356912j 2.92744e-16-0.00388091j -8.09127e-16+0.00271788j 2.77918e-15+0.000397613j 9.14339e-16+0.00275904j -2.35961e-15+0.000864746j 5.2641e-15-0.00341005j 1.1915e-15-0.000940635j -8.00562e-16+0.00327374j -2.62679e-15+0.0025896j 2.51565e-17+0.00103402j -9.54802e-16+0.00292479j 4.49053e-16+0.00124899j -1.89262e-15+0.00736158j -6.36947e-16-0.000192486j 2.98375e-16-0.000813741j -1.8091e-16-0.000773178j -1.10726e-16-0.000962977j -1.78744e-16+0.00445675j 7.10395e-17+0.000594236j 2.15677e-16+0.000806839j 1.45977e-15-0.00209344j 5.6312e-16-0.000705587j 1.5781e-16-0.000622092j -1.35097e-14-0.0014514j 2.19236e-16+0.000415526j 5.22505e-17+0.000785654j -1.19667e-16-0.000894186j 1.07101e-15-0.00451737j -3.44573e-16-0.003074j 1.59299e-16-0.000840498j -5.49836e-18-0.000273836j -1.91937e-16-0.00244939j -1.31646e-16+0.00108542j 4.18067e-17-0.000699755j 1.97309e-16+7.01304e-05j 2.98985e-16+0.000877961j 2.09565e-16+0.000572001j -4.18659e-16+0.00232935j -4.74278e-16+0.00421593j 3.10815e-17+0.00244178j 8.0194e-17+0.00340762j -2.81653e-16-0.000939151j 6.6164e-16+0.00145984j -6.95467e-15-0.00445397j 
-6.72797e-15-0.00193082j -4.94535e-16-0.00118697j 7.83613e-18+0.000630745j -4.35073e-17-0.00240822j -3.65133e-18+0.000371477j -6.11494e-17+0.0015561j -6.42294e-17+0.00212848j 2.38693e-17+0.000396033j -1.84925e-17-0.00151721j 8.59426e-18-0.000313205j -1.1155e-17+0.000458139j 1.32679e-16+0.000884455j -2.70519e-17+0.000724685j 2.08339e-17+0.00105735j 5.41842e-17+0.000342263j 1.05518e-16+0.00206198j -4.40663e-16+0.00191319j -3.39903e-16-0.000626257j 2.99138e-16-0.00140718j -8.54311e-17+0.000158458j -5.66733e-17+0.000122152j -1.46559e-17-0.00233128j -7.63932e-17+0.00140058j 4.50971e-17+0.00156802j 2.89566e-17-0.000515915j -1.15609e-16-0.000684793j -2.20831e-16+0.00143383j 4.99039e-16-0.000424964j -6.10096e-17-0.000171705j 1.34643e-16+0.0003379j 9.26937e-17-0.00121221j 2.22133e-15+0.000543645j -4.16007e-14+0.00424015j -1.54419e-16-0.000534168j -4.98144e-16+0.000850719j 1.55395e-14+0.00191353j -8.90126e-16-0.00241923j 1.57744e-15-0.000344503j -2.93874e-15+0.00211476j -7.37624e-16+0.00078054j 2.82237e-16-0.00129111j -6.70126e-16+0.00087815j -2.0437e-16+0.000931757j 1.67586e-16+0.00112103j -2.28299e-16-0.00172948j 1.57857e-16-0.00244788j -4.41829e-16+0.00186977j -1.33583e-16-0.000434448j 3.94153e-17+0.0028096j -5.39602e-16-0.00052166j 7.57698e-18+0.000383453j 1.42003e-16+0.000199544j -3.06269e-17+0.000576962j 5.93443e-16-0.00154391j 2.18441e-16-0.000331987j -1.18555e-16-0.000605461j 7.5157e-15+0.000801561j -1.30732e-16-0.00122999j -2.39482e-16-0.00117048j 6.12051e-17-7.98104e-05j 9.95015e-17-0.000644695j 2.24432e-17+0.0010658j -3.43832e-17-7.94032e-05j 7.505e-17+0.000935402j 6.55708e-17+0.00219311j 6.08799e-17+0.000613833j -6.66644e-17+0.00119694j -5.35134e-16-0.000902708j -3.99219e-17-0.000999904j -8.34801e-18-0.00161829j 1.51532e-17+0.00112011j -4.95347e-17+0.000777577j -3.15443e-17-0.00112958j -4.28532e-17-0.00257948j 1.31229e-16+0.000867409j 9.88008e-17-0.00177476j -1.07315e-15-0.000844154j 
