-5.74766e-15-0.169402j -3.15067e-15-0.0220258j 2.4412e-15-0.251588j 4.23868e-16-0.000883047j -7.37079e-15-0.245055j -1.44059e-14-0.214022j 9.46631e-15+0.0794145j 3.16527e-16-0.0211081j 3.1095e-14+0.0861949j -2.26121e-13-0.405492j -1.4408e-14-0.0194803j 9.27274e-15+0.213395j -4.31112e-14-0.169188j -4.47548e-15+0.0576781j -3.98904e-15+0.0796991j -3.61508e-15-0.0376965j -2.17862e-13+0.0456195j -7.75326e-14-0.3223j -1.61307e-14-0.286218j 1.35372e-14+0.108559j 4.23335e-14+0.0899208j 5.57944e-15+0.218849j -1.34927e-14-0.149101j 5.56404e-14+0.205258j -2.62794e-15+0.085083j 7.91353e-17-0.148286j 7.6528e-18+0.184361j -1.29474e-14+0.139703j -1.16512e-13+0.0521857j 3.30616e-13+0.185405j -5.2542e-13+0.294581j -9.12031e-14-0.00660532j -4.59011e-16-0.0167124j -5.00612e-16+0.0309154j -4.92879e-17-0.0230805j -1.21421e-15-0.0153875j -9.66479e-16+0.00346345j -1.63443e-15+0.00026202j 2.15651e-16+0.0105405j 3.56558e-16-0.0101032j -2.61339e-16-0.00366026j -3.5665e-16+0.0146483j -5.1062e-16+0.00368119j 2.48264e-15+0.00889436j 6.19642e-17+0.000714575j -4.40612e-16-0.00093614j 1.75758e-16+0.000710812j 4.17887e-16+0.0080272j 4.76079e-16+0.000379795j 7.54619e-16+0.000455327j -7.74393e-14+0.00137471j -4.73073e-16+0.0143193j -1.26347e-15+0.00179576j 1.66474e-15-0.00349584j -2.13615e-16+0.00366088j -1.78691e-17-0.000433597j 8.00147e-17-0.00419461j 1.53786e-16+0.00247182j 7.11603e-17-0.00656411j -1.25487e-17-0.000209644j -3.30871e-16+0.0201824j -4.33456e-16-0.00389725j -2.67329e-16+0.0179947j -1.75371e-16+0.00626278j 7.91068e-17+0.00529626j 3.53707e-16-0.0022377j -5.74522e-16-0.026061j 3.3209e-16+0.0270025j -8.47501e-17+0.00483055j -4.40416e-16+0.0430017j 1.11566e-15+0.0126902j -1.52142e-15-0.0488367j 
7.10194e-15+0.223045j 3.85653e-15-0.00627601j -6.75144e-18+0.0516884j -3.03016e-16+0.0123887j 5.1903e-16+0.00190589j 3.93838e-15+0.0223041j -2.8569e-15-0.0509393j -2.12898e-15+0.00225404j -1.15561e-16-0.00628543j 1.51966e-15+0.00187676j -3.0506e-15+0.0240293j 1.02623e-15+0.00746337j 2.62962e-15+0.00404991j 5.42401e-16+0.0202839j 1.02982e-15-0.000471834j 4.23257e-16-0.0230233j -4.08428e-14+0.00839032j -7.01521e-15-0.0203594j -1.01837e-15-0.0311802j 1.74285e-15+0.0156071j 1.25551e-15-0.000165601j 1.18499e-15+0.0186705j -1.45559e-15-0.0558846j 4.54122e-15+0.0212977j -5.34267e-16+0.0281902j -6.3676e-16+0.0024274j 1.15522e-15+0.0867878j -2.76025e-15+0.00631937j 1.03173e-13+0.0295061j -2.89759e-13-0.135837j -4.20736e-13+0.224527j -7.22894e-14+0.0596363j -5.48877e-16+0.0502526j 1.48377e-16+0.0786349j -2.79618e-16-0.112739j -1.06439e-15-0.133877j 1.3444e-15+0.216588j 9.96283e-16-0.083028j -1.04567e-15+0.191706j 1.33061e-17+0.000972699j -2.42507e-15+0.153371j 1.91455e-16+0.0764685j 8.01354e-15-0.0797468j -1.7277e-14-0.118195j -3.17463e-14-0.285927j -3.52573e-14+0.212169j -5.04639e-15-0.00425646j -1.17844e-14-0.236129j -1.34308e-14+0.0109418j -1.09549e-14-0.0672479j 5.6308e-12-0.10001j -6.71934e-16+0.0343094j -8.87924e-15+0.019017j -1.21919e-14+0.0821036j 6.64305e-16-0.204823j 8.78266e-15-0.0200765j -2.27737e-15+0.287076j -1.11716e-14-0.0737106j -1.69496e-14-0.0110735j -1.16884e-14-0.18635j -5.7897e-16-0.100519j 1.45358e-16+0.0832476j 2.46877e-15-0.184263j -3.9332e-16-0.15705j 1.24214e-15-0.151437j 7.90682e-16+0.151022j 5.40183e-16+0.179611j -4.92265e-16-0.0564842j 1.1153e-15-0.103539j 3.4103e-16-0.155103j -6.66847e-15-0.0763882j 9.98724e-15+0.296696j 
-5.28212e-15-0.0602412j -3.04593e-15-0.0563014j -7.6295e-16-0.0264725j 2.28184e-15+0.0929584j 1.46199e-15+0.016562j -5.21371e-17-0.00421583j -5.00438e-16-0.0233429j 1.43078e-15+0.0506076j 2.80688e-16-0.00393993j -4.48634e-15-0.00865481j -9.7677e-16-0.000575997j -1.07992e-15-0.0195607j -4.99058e-15-0.0137126j -2.14186e-16+0.00647913j 3.81543e-16+0.0111697j 2.15431e-16+0.00528803j -2.50164e-14+0.00513058j -6.38727e-16-0.00252288j -1.33724e-15+0.017552j 3.32942e-16+0.00651939j 4.53451e-15+0.00869043j -6.65172e-16-0.0209358j -6.56397e-16-0.0129552j -9.67302e-15-0.0235501j -2.31788e-15-0.0395092j 1.66695e-15+0.0400326j -4.60758e-16+0.0030732j -9.83897e-16+0.0571064j -3.50363e-14+0.00274847j 9.90564e-14+0.0499307j 9.53845e-14-0.0656841j 1.82453e-14+0.0636022j 4.62303e-15+0.146669j -4.64894e-15-0.118057j -3.41122e-15-0.130437j -3.18239e-16-0.0153207j -2.18605e-15-0.0675142j -7.88308e-15-0.322751j -2.1432e-15-0.103866j 3.50555e-15+0.162411j -1.47357e-15+0.0340503j -9.6728e-16-0.04139j 2.76457e-14+0.228241j -8.86178e-14-0.218143j -1.03642e-14-0.185749j 3.44328e-14-0.142723j -2.10288e-15+0.0688872j 2.03366e-15+0.0771722j -1.14078e-14-0.119078j -2.29195e-14-0.123412j 1.84907e-11-0.32875j 1.14458e-14+0.198766j -4.09286e-14+0.100518j -9.60688e-15+0.101367j 8.27836e-15+0.0487329j -3.94845e-15-0.0999312j -1.67556e-14-0.0412192j 2.18951e-14+0.314129j 2.60359e-14+0.225476j 3.54165e-15-0.110227j 2.10293e-15+0.06612j -1.67022e-15-0.069766j 1.57176e-16-0.0923221j 3.00312e-15+0.0805707j -8.5184e-15-0.32374j -3.97896e-15-0.101243j -3.48385e-15-0.105137j 2.95426e-15+0.0883424j -4.82381e-15-0.192292j 2.66309e-15+0.0672972j 3.2135e-16-0.0532925j -6.38668e-15-0.116403j 
-8.20667e-16-0.0264759j -4.51837e-16-0.000480441j 5.03781e-17-0.0093011j 7.82129e-18+5.91254e-05j -1.47356e-16-0.00339791j -6.06562e-16-0.00538927j 4.31422e-16+0.00607548j 2.11951e-16+0.000209834j 4.54654e-16+0.00180719j -3.39346e-15-0.00601755j 1.04949e-16-0.00278302j 2.23846e-17+0.00193415j -9.42029e-16-0.00299868j -1.2387e-16-0.00120616j -1.65534e-16+0.00133209j -9.89122e-17+0.00194421j 8.22297e-16-0.000157385j -3.69499e-16-0.00244492j -1.57148e-16-0.000517978j 1.14363e-17-4.13184e-06j 5.24198e-16+0.00140749j -3.72554e-17+0.00082419j -4.71454e-17+0.00353255j 1.86937e-16+0.000321591j 1.67033e-17-0.00231741j 6.42231e-17-0.00174936j -1.15694e-16-0.0063984j 5.20326e-17+0.00214059j -1.28851e-14-0.00229777j 3.61963e-14+0.0174732j 3.78873e-14-0.0201928j 6.47472e-15-0.00536858j 2.3581e-17-0.00331775j 4.11676e-18-0.00947852j 5.2278e-17+0.00950011j 7.91356e-17+0.0134935j -1.04901e-16-0.0234823j -2.92287e-17+0.00392005j 1.82664e-16-0.0213254j -5.84446e-17+0.00213462j 2.27008e-16-0.0155158j 1.62832e-18-0.00835908j -6.08346e-16+0.0116933j 6.69939e-16+0.00923295j 3.23906e-15+0.02705j 4.30002e-15-0.0241852j 4.48094e-16+0.00146154j 1.17179e-15+0.025819j 1.32249e-15-0.00287684j 8.91146e-16+0.00519877j -3.16217e-13+0.00561529j 9.71892e-17-0.000459787j 2.39853e-16-0.000482443j 1.09347e-15-0.00711041j -1.66041e-17+0.0220829j -9.05393e-16+0.000620438j 6.59385e-17-0.0305413j 1.25448e-15+0.0123055j 1.98695e-15+0.0043614j 1.31653e-15+0.0177787j 2.46647e-17+0.0117135j 1.59451e-17-0.00974057j -2.22285e-16+0.0180792j 1.88827e-18+0.0176133j -4.99109e-17+0.0110962j -4.15066e-17-0.0172321j -1.40843e-17-0.0205993j 2.86698e-17+0.00755154j -6.94304e-17+0.00802902j -7.36754e-17+0.0177324j 7.39903e-16+0.00734852j -1.02719e-15-0.0332704j 
-1.60815e-16-0.00233683j 8.96745e-18-0.00212071j 9.31186e-18-0.0013507j -1.20844e-16+0.00344212j 3.07711e-18+0.000212946j -2.48226e-17-0.000488856j 6.66064e-17-0.000770476j -5.85697e-17+0.0018369j 7.30891e-17-9.40665e-06j -5.20702e-16-0.000980832j -7.05252e-17-3.52702e-05j 1.76412e-17-0.000368504j -2.26804e-16-0.000780021j -3.63066e-17+0.00034866j -1.46731e-17+0.000542526j -2.17965e-19+0.000116692j -1.32441e-15+0.000270309j -1.45488e-16-0.000634876j -1.05097e-16+0.00015771j 1.65941e-17+0.000429803j 2.19949e-16+0.000467855j 2.55731e-17-0.000402077j 1.36183e-18-0.000763707j -2.18513e-16-0.000518914j -1.54237e-17-0.00129975j -2.7808e-17+0.00123855j -5.55843e-17+0.000479157j -1.83762e-16+0.00234274j -1.4254e-15+0.000208702j 3.93366e-15+0.00204678j 2.40815e-15-0.00177879j 3.10106e-16+0.00238327j -1.67289e-16+0.0054287j 5.10738e-17-0.00425277j 2.00248e-16-0.00494043j 7.21687e-17-0.000690537j -2.26466e-17-0.0023279j 4.36769e-16-0.0119853j 6.76288e-17-0.00367782j -2.20919e-16+0.00598453j -1.91841e-16+0.00136586j 2.25831e-17-0.00144847j 5.65988e-16+0.00837925j -2.76437e-15-0.00813254j 1.09448e-16-0.0070736j 1.46798e-15-0.00511698j -2.28105e-16+0.00254306j -4.48893e-18+0.00268899j -1.78052e-16-0.00439061j -5.6028e-16-0.00460864j 6.87946e-13-0.0122177j -2.10133e-17+0.0073923j -1.74534e-15+0.00373072j -6.13071e-16+0.00380027j 2.83178e-16+0.0016544j 8.43517e-17-0.00370759j -6.4707e-16-0.00131662j 1.52571e-16+0.0115549j 4.67186e-16+0.00831133j 4.34941e-16-0.00421101j -2.53502e-17+0.00240118j 5.47606e-17-0.0025221j 2.80717e-16-0.00351823j -3.24509e-19+0.00287036j 4.45967e-16-0.0120644j 1.19409e-17-0.00363199j 2.51758e-17-0.00379357j -5.83323e-17+0.00326602j 2.79153e-16-0.00717325j 1.55046e-17+0.00244144j 1.54608e-16-0.00200487j -9.96078e-17-0.00416008j 
-6.45783e-17-0.00314679j -4.90757e-17+0.000281234j 2.09333e-17-0.00177979j 1.2192e-18-0.000684903j -5.15485e-17-0.0014134j -1.19479e-16-0.00136716j 7.90885e-17+0.0011479j 2.24891e-17-0.000429622j 1.63054e-16+0.000551688j -1.18728e-15-0.00211599j -3.25933e-17-0.000379612j 4.21637e-17+0.00115414j -2.30211e-16-0.000862701j -2.62756e-17+3.13186e-05j -3.45826e-17+0.000362508j -2.71393e-17+3.84076e-05j -5.30733e-16+0.000113889j -3.26282e-16-0.00145242j -6.70231e-17-0.00125132j 5.12738e-17+0.000354602j 1.83593e-16+0.00042728j 1.9412e-17+0.00106035j -5.70413e-17-6.26456e-05j 2.9702e-16+0.000972953j 5.28505e-18+0.000349241j 1.87651e-18-0.00104312j -2.03026e-18-5.39618e-05j -2.5704e-17+0.000335833j -1.61286e-15-8.365e-05j 4.54252e-15+0.00227492j 1.59044e-15-0.000679392j 2.658e-16-0.00109633j -5.97758e-18-0.00151934j 2.10061e-17-7.19958e-05j 9.7645e-19+0.00194331j -6.9259e-18+0.00156658j 8.41718e-18-0.00211562j -8.7179e-18+0.0028293j 3.68602e-17-0.00157877j -5.52793e-18-0.00100106j 5.35895e-17-0.00200236j 5.90713e-18-0.000574759j -2.45473e-16-0.000367341j 6.96061e-16+0.00268155j 3.86278e-16+0.00440557j 2.20099e-16-0.00165382j 7.68535e-17-0.000343794j 1.09948e-16+0.00234835j 2.16443e-16+0.00056103j 2.47179e-16+0.00149729j -1.72642e-13+0.0030676j -4.14987e-17-0.00146987j 3.42582e-16-0.000791538j 2.22547e-16-0.00155935j -7.34848e-17+0.00212451j -8.95761e-17+0.000807699j 1.49364e-16-0.00312886j 2.2093e-17-0.000939205j 6.44443e-17-0.00120559j 8.81024e-17+0.00280526j -1.21118e-17+0.000896532j 8.56413e-18-0.000588202j -5.70613e-17+0.00277397j -2.32007e-17+0.00139818j -5.87141e-18+0.00365856j 2.28897e-17-0.00118751j 2.06709e-17-0.00162407j -8.32091e-18+0.000291494j -1.13204e-17+0.00234031j -3.21082e-17+0.00164628j 6.97647e-17+0.00126422j -6.66545e-17-0.00304354j 
-8.78266e-17-0.00108925j -2.55243e-17-0.00012921j -5.36833e-18-0.000980242j 1.01344e-17+8.42313e-05j -2.36075e-17-0.000806437j -6.14498e-17-0.000768289j 4.48705e-17+0.000340739j 1.07823e-17-1.43644e-05j 1.06028e-16+0.000297205j -7.69548e-16-0.00137532j -4.80867e-17-0.000114347j 2.5238e-17+0.00067773j -1.58332e-16-0.000592583j -1.95562e-17+0.00016068j -1.37874e-17+0.000281942j -7.99245e-18-7.39182e-05j -6.8049e-16+0.000142466j -2.44051e-16-0.00104402j -4.70146e-17-0.000876963j 4.01739e-17+0.000340916j 1.46019e-16+0.000312648j 1.07861e-17+0.000671871j -3.39519e-17-0.000403865j 1.60474e-16+0.000617823j -1.8984e-17+0.000181344j 6.0525e-18-0.000454362j -1.86782e-17+0.000448237j -3.52274e-17+0.000525102j -6.45827e-16+0.000119223j 1.84166e-15+0.000955381j -8.51134e-16+0.000458668j -1.4505e-16-6.52676e-05j 7.69302e-18+1.98047e-05j -3.22844e-17-0.000196503j 6.87911e-18-8.30336e-06j 2.18723e-17+0.000198769j -5.54327e-17-0.000504791j -2.79577e-17-0.000221493j -4.4872e-17-0.000474888j 1.86642e-17+0.000159949j -2.41826e-17-0.000279277j -2.07136e-17-0.00015432j 4.96631e-17+0.000447714j -5.93756e-17+4.23888e-06j 9.05295e-17+0.000352729j 5.85876e-17-0.000601361j 1.47192e-17+9.39911e-05j 7.89282e-17+0.000594255j 2.8548e-18-0.000164271j -5.27286e-19-1.21995e-05j 1.07163e-14-0.000190884j 2.35549e-17+0.000218803j -3.10309e-17+8.90251e-05j 1.12557e-17-5.44227e-05j 5.10001e-17+0.000482431j -2.69297e-17-8.1617e-05j -7.34761e-17-0.000640369j 8.94678e-17+0.000535085j 8.64772e-17+0.00027206j 5.40552e-17+0.000240683j 2.72719e-17+0.000349358j -2.54177e-17-0.0002644j 2.18172e-17+0.000319183j 4.04403e-17+0.000433599j -1.05041e-17-6.83894e-05j -4.23737e-17-0.000432905j -5.02168e-17-0.00057499j 2.3822e-17+0.000310601j -4.56216e-18-7.6698e-06j 3.62829e-17+0.000537007j 2.7686e-17+0.000131769j -9.91638e-17-0.000900189j 
2.28365e-16+0.00114364j 9.05236e-17+0.00024881j 6.06716e-17+0.000211297j -1.11701e-16-0.000422977j -2.62621e-17-0.000212199j 2.48954e-17-3.97045e-06j -2.34966e-18-4.93998e-05j -7.19815e-17-0.00026042j 1.64357e-17+4.16044e-05j -8.38116e-17-0.00017252j -3.53634e-18+9.23618e-05j 3.97797e-17+0.000249039j 3.05871e-17-6.8342e-06j 3.02262e-18+8.34736e-05j -1.29875e-17-1.48174e-05j -1.8145e-17-0.000143856j -1.65298e-16+3.40767e-05j -7.45982e-17-0.00025047j -3.99885e-17-0.000378015j 1.2748e-17+9.19342e-05j -4.67636e-18+4.76485e-06j 4.3158e-17+0.000305809j -2.16672e-17-0.00024952j 1.3507e-16+0.000322575j 6.5873e-17+0.000366189j -5.46064e-17-0.000276166j 4.44097e-17+0.000448321j -7.56294e-17-0.000187585j 5.55238e-16+0.000137921j -1.65241e-15-0.000718515j -2.35186e-15+0.00143446j -4.88364e-16-7.93727e-05j -1.67679e-16-0.000547797j 1.94716e-16+0.000947217j 1.09787e-16+0.000182389j -4.99735e-17-0.000488677j 1.95706e-16+0.00124952j 3.68231e-16+0.00130015j 2.15322e-16+0.00133509j -2.00478e-16-0.000829946j 3.19648e-17+0.000463891j 8.86709e-17+0.000538122j -4.03586e-16-0.00149472j 5.71213e-16+0.0006247j -6.13859e-18-0.000244551j -6.06084e-17+0.00161227j -9.00227e-17-0.00036873j -2.59034e-16-0.00137391j 1.42088e-16+0.000653219j 1.78893e-16+0.000349295j -7.05528e-14+0.00126055j -2.69531e-16-0.000862835j 6.6619e-17-0.000432412j -7.6194e-17-0.000176585j -1.92271e-16-0.00110071j 1.6e-16+0.000425754j 2.59451e-16+0.00140511j -5.47973e-16-0.0019083j -4.6325e-16-0.0011999j -3.12359e-17-0.000215016j -1.35975e-16-0.000745276j 1.27357e-16+0.000700862j 2.56411e-17-0.000287556j -1.82925e-16-0.00106244j 3.41924e-16+0.0010227j 2.10107e-16+0.00114497j 2.24139e-16+0.00127087j -1.43704e-16-0.000671212j 1.96905e-16+0.000551711j -1.62497e-16-0.000966276j -5.13871e-18-3.97051e-05j 3.46451e-16+0.001804j 
4.97246e-17+0.00255127j 5.55585e-17+0.000641607j -2.00175e-17+0.00149779j -1.05662e-17-0.000911853j 1.67412e-17+0.000728178j 6.88744e-17+0.000954076j -3.79877e-17-0.000337155j -1.8415e-17-0.000447318j -1.16008e-16-0.000308732j 8.76927e-16+0.00158037j 3.9058e-17+0.000216548j -2.18103e-17-0.000526601j 2.20901e-16+0.000785603j 1.8285e-17-0.000161253j 1.92127e-17-0.000411748j 2.00554e-17-5.23907e-05j 8.21625e-16-0.000172016j 2.52149e-16+0.00108307j 7.77213e-17+0.000675657j -4.48851e-17-0.000374229j -1.92947e-16-0.000420894j -1.4881e-17-0.000466839j 5.82628e-17+0.000356551j -8.34343e-17-0.000374314j 1.58611e-17+0.000273038j -1.4084e-17+0.000129393j -8.66101e-18-0.000200776j 5.27504e-17-0.00107871j 1.38875e-15-4.81112e-05j -3.89317e-15-0.00199403j -1.60848e-15+0.000926936j -2.81928e-16-0.00030513j -3.14543e-17-0.0012047j 7.29396e-18+0.00159713j 3.44375e-17+0.00081474j 3.13256e-17-0.000558186j -3.3458e-17+0.0019611j 4.64046e-17+0.00294395j -5.37594e-17+0.00217687j -3.72573e-18-0.0016819j -2.80064e-17+0.000541862j -1.50671e-17+0.000829836j -1.76298e-16-0.0028995j 8.13779e-16+0.00159776j -4.3855e-17+0.000310241j -6.51697e-16+0.00275j 8.29266e-18-0.000758686j -1.65739e-17-0.00221892j 1.3093e-17+0.00132639j 1.67034e-16+0.000918382j -1.63408e-13+0.00290505j -8.93098e-17-0.00196342j 4.0459e-16-0.000963413j 2.67408e-17-0.000587041j -2.21977e-17-0.00171938j 7.63826e-17+0.000946069j 8.46444e-17+0.00211889j -2.11992e-16-0.00377197j -3.23768e-16-0.00243429j -8.31369e-17+8.96367e-05j 1.46294e-17-0.00135889j -1.54304e-17+0.00123803j 3.92766e-17-0.000154681j 2.26082e-17-0.00178966j 6.50186e-17+0.00253912j -1.35449e-17+0.00195949j -2.48368e-17+0.00225356j -2.38422e-18-0.00136414j 4.21449e-17+0.00142316j 2.82117e-17-0.00177131j -3.87649e-17+7.62811e-05j 3.28662e-17+0.00313563j 
3.2133e-16+0.0119358j 2.3319e-16-0.000225953j -2.6687e-17+0.00418946j -6.16894e-17+0.000724191j 6.72251e-17+0.00177397j 2.8158e-16+0.00253137j -1.73769e-16-0.00304776j -1.28036e-16+0.000315357j -2.11316e-16-0.000895092j 1.60147e-15+0.00282864j -6.09626e-17+0.00130152j -6.72537e-18-0.00110684j 4.17687e-16+0.00132684j 4.63332e-17+0.000604956j 7.32664e-17-0.000549278j 5.13258e-17-0.000859233j -5.48716e-16+0.000105793j 1.89675e-16+0.00118954j 5.98943e-17+0.000442858j -1.45438e-17+3.24366e-05j -2.23451e-16-0.000606699j 2.30247e-17-0.000599714j 4.5531e-17-0.00172715j -1.63791e-16-0.000382903j -3.09378e-18+0.000747441j -4.95372e-17+0.00117259j 2.30288e-17+0.00298097j -7.53168e-17-0.000568413j 5.75883e-15+0.00108669j -1.62001e-14-0.00781j -1.68633e-14+0.00885694j -2.93108e-15+0.00302764j -1.03432e-16+0.0027418j 2.93791e-17+0.0034741j 8.37175e-17-0.00549517j 1.28333e-17-0.00643445j 1.91876e-17+0.0104409j 2.27537e-16-0.00444408j -7.9312e-17+0.00913624j -7.16811e-17+0.000316544j -1.90895e-16+0.007536j 9.09818e-19+0.00357358j 3.53934e-16-0.00362654j -8.24405e-16-0.00608591j -1.36812e-15-0.014159j -1.68581e-15+0.0101625j -2.79264e-16-0.000126975j -5.21105e-16-0.0114585j -6.21361e-16+0.000383133j -4.85745e-16-0.00343055j 2.97781e-13-0.00528603j -1.18427e-16+0.00181945j -5.27207e-16+0.00103817j -6.93637e-16+0.00414739j 9.83524e-17-0.0099394j 4.75865e-16-0.00109828j -2.20598e-16+0.013958j -6.33287e-16-0.00321824j -8.92138e-16-0.000216148j -4.45109e-16-0.00921002j -1.57593e-17-0.00495031j 8.56481e-18+0.00399433j 2.33086e-16-0.00920959j 7.78316e-18-0.00759115j 2.53128e-16-0.00781089j 2.08249e-17+0.00724478j 6.47461e-18+0.00879371j -4.14698e-17-0.00282459j 1.75003e-16-0.00531272j 5.04633e-17-0.00776171j -2.79102e-16-0.00387195j 4.30647e-16+0.0146361j 
3.21134e-16+0.0087741j 1.27626e-16+0.00139872j -2.1527e-17+0.00360895j 5.78235e-17-0.00203269j 4.45834e-17+0.00107665j 1.95339e-16+0.00199568j -1.62531e-16-0.00129309j -2.92656e-17-0.00111011j -2.00936e-16-0.000583843j 1.48465e-15+0.00267061j 2.79757e-17+0.00080087j -2.4922e-17-0.000551033j 4.39242e-16+0.00146456j 5.85684e-17+5.93958e-05j 5.70931e-17-0.000770596j 3.15252e-17-0.00055573j 7.96443e-16-0.000166872j 2.74014e-16+0.00140083j 1.21771e-16+0.00037064j -2.93287e-17-0.000372912j -3.20205e-16-0.00075887j -9.4908e-18-0.00023506j 3.08381e-17-0.000347152j 1.63376e-17-1.43474e-05j 1.05223e-17+0.00129755j -5.77289e-18-8.25264e-05j 6.02523e-17+0.00125513j 1.01885e-16-0.00211356j 4.47582e-15+0.00044504j -1.25393e-14-0.00616913j -1.11458e-14+0.00621316j -1.85262e-15+7.32568e-05j 7.44227e-17-0.00225921j -2.12581e-17+0.00504054j -1.12951e-16+0.000333282j -5.52122e-17-0.0032545j 4.09437e-17+0.00775876j -2.08404e-16+0.00595671j -8.67306e-17+0.00795434j 1.27711e-16-0.00407804j 4.07708e-17+0.00343108j -1.2109e-17+0.00311011j -1.86285e-16-0.00810162j 1.46317e-15+0.00224114j -9.14916e-16-0.00322492j -2.02539e-15+0.00959003j 4.27647e-18-0.00188961j -3.15303e-16-0.00862j -2.44321e-16+0.00335694j 1.00705e-16+0.00128431j -3.16949e-13+0.0056298j -3.61874e-17-0.00422377j 9.47602e-16-0.0020573j 4.52901e-17-0.000286211j -1.57715e-16-0.00699071j 2.08734e-16+0.00200461j 3.53434e-16+0.00909797j -4.61651e-16-0.0101285j -8.38787e-16-0.00605258j -5.94032e-16-0.00237563j 5.76236e-18-0.0046217j -3.20731e-17+0.00413668j -8.60457e-17-0.00288406j -2.02786e-18-0.00648855j -2.0708e-16+0.00404213j 8.2679e-18+0.00682656j -6.7353e-18+0.00786553j 1.90376e-17-0.00400228j -1.19793e-16+0.00201146j 1.09404e-17-0.00631091j -2.84569e-16-0.00084137j 3.39728e-16+0.0115584j 
