-0.193019+0.115222j 0.481475+0.0766969j 0.169506+0.403788j 0.190437-0.402304j 0.289689-0.0114386j 0.00733019-0.0524311j 0.0490138+0.0266363j -0.016605+0.0120352j 0.0307641-0.0284266j -0.0424667+0.00319573j 0.00324417+0.0447022j 0.056553+0.0191618j 0.0120327-0.0186893j -0.032845-0.00094408j 0.00489327-0.0183493j -0.00400739-0.0245771j -0.0226593-0.0217779j -0.00301617-0.0559571j 0.0280996-0.0162577j 0.088863-0.0145573j 0.0697976-0.0725087j -0.0237429-0.0163164j -0.0302975-0.00750584j -0.0184707+0.0175465j 0.015613+0.0138097j 0.0147055+0.0137029j 0.00597698+0.00168219j 0.0201193-0.0230964j 0.00335148-0.0159721j -0.00168296+0.0108966j 0.0327944-0.0323442j -0.0284496+0.0152485j -0.0223662+0.00466723j -0.0173208-0.0352519j 0.0130926+0.0052725j 0.00995631-0.00747894j 0.00616407-0.0351809j -0.0178651-0.0179168j 0.00913173+0.0302104j -0.0040649-0.00970456j 0.0234411-0.0216878j 0.00640962+0.00893442j 0.038597+0.00953984j 0.00481682-0.041859j 0.0219701+0.00441613j -0.0236473-0.00625008j -0.0274866+0.0243051j -0.0147773-0.0197684j -0.0180252+0.00204213j -0.0222836+0.0059926j 0.0107545-0.0323702j 0.026528-0.0213339j 0.0215319+0.0369202j 0.0205808-0.0142496j -0.0200751-0.0118542j 0.0197948+0.0305303j -0.0191822-0.0151878j 0.0559608-0.00226712j 0.0362397-0.019575j 0.0102448-0.0144268j -0.0086356+0.0247757j -0.00329703+0.00400172j -0.00512675+0.0138982j 0.00315543-0.00552622j 0.00237336-0.014985j -0.00168235-0.00302423j 0.000732146+0.0128602j 0.0134893+0.0129702j -0.00598321+0.0133395j 0.0083227-0.00491843j -0.0127065+0.0190815j 0.000419296+0.00547088j 0.00190331-0.0023696j -0.000884762+0.00058329j 0.0161092+0.00724428j 0.0194295-0.0379305j 0.00998428+0.0110011j -0.00520777+0.000162534j -0.00221843-0.00250651j 0.0217556+0.00300879j 0.00391222+0.00454661j -0.0355059+0.0263578j 0.00291128-0.0057194j 0.019258-0.00727338j -0.00694985-0.000150545j -0.00350316-0.013232j 0.00146759-0.00588437j 0.00620482-0.0116119j -0.00358535-0.00475883j -0.00772572+0.0212048j 0.0190178-0.00484918j -0.00609356+0.0136154j 
-0.0176383+0.0870985j -0.0641182+0.107018j -0.0490024-0.257686j -0.0698378-0.00203351j -0.205414-0.00937748j -0.133746-0.113048j -0.0414308+0.00455605j 0.0160552+0.00393501j 0.00146193-0.0233596j -0.0486476-0.0344877j -0.0327875+0.00663407j 0.0784225+0.0139083j 0.0351459-0.019795j -0.0751346+0.0164223j 0.00271175-0.00421957j 0.0821642-0.0590305j -0.0484687-0.0225415j 0.0188842-0.0420632j -0.0351744+0.0235652j 0.163786-0.0158252j 0.134647+0.000781623j 0.084442+0.0101506j -0.0455254+0.00918761j -0.0119166-0.0365656j 0.0281949-0.0334433j 0.0194745+0.042463j -0.0424319-0.00398252j 0.0181126+0.0425881j -0.0409882+0.0584453j 0.0271343-0.0234112j -0.0187511-0.0618224j -0.0289854+0.0239513j 0.0134173+0.011811j 0.00425538-0.0270132j -0.0588863-0.0185243j -0.00547438-0.0326315j -0.0368971+0.00515518j -0.0470833-0.100166j 0.0461809+0.00544414j -0.00683185+0.0541165j 0.0350405-0.0493707j 0.0233673+0.0453245j -0.0134326+0.0165075j -0.0192464-0.0909106j 0.00271709-0.0168818j -0.00566423-0.105199j -0.0161694+0.0608405j 0.0066248-0.117894j -0.0535464-0.0153108j -0.0230609+0.0144046j -0.0783221-0.110219j -0.00414139-0.0609804j 0.0241217+0.159961j 0.0123466+0.105233j -0.0595904-0.00801813j 0.0213187-0.00577396j -0.105125+0.0336285j 0.0802969-0.0659067j 0.0916824+0.0790915j 0.0247951-0.0133687j -0.0190501+0.0738066j 0.0244242-0.0193441j -0.0130323+0.0393539j -0.0226013+0.0308909j -0.0281875-0.0300883j 0.0181309-0.0178638j 0.000115779+0.00419192j 0.047773+0.0345316j 0.0206209+0.0132564j 0.0278371-0.0117134j 0.0256999+0.0349117j 0.0062663+0.00562333j 0.0302601-0.0384686j -0.0114438-0.0217747j 0.0899026+0.0117274j 0.0393899-0.123995j 0.0663534+0.0779228j 0.00850042-0.0333186j 0.00714214-0.0617778j 0.0323499-0.0488185j 0.0274203-0.00166933j -0.0602111+0.088082j 0.0019223-0.017161j 0.0583215-0.0794781j -0.0341095+0.0146976j -0.0120069-0.0425407j 0.00662189-0.0424782j 0.0226094-0.0463818j -0.0334806-0.0204619j -0.0177905+0.102537j 0.0759515-0.0381757j -0.0174899+0.0743722j 
0.0760678+0.101856j 0.125323+0.0658042j -0.109226+0.0557191j -0.0700917+0.0504736j -0.103774-0.0517765j -0.0474392-0.00365765j 0.0316405+0.0711849j -0.0313934+0.0317335j 0.0109129+0.121248j -0.0700967-0.0545937j 0.0143291+0.0919536j 0.00267646-0.114708j 0.059832+0.0195062j -0.0130201+0.0389488j 0.0053632+0.00800943j -0.111388+0.0949355j 0.00608935+0.191841j -0.142019-0.00309153j 0.107661-0.00474264j -0.100802+0.025652j -0.109495+0.0262143j 0.0141509-0.123992j -0.00883117-0.0535131j 0.0336947-0.0550997j 0.022835-0.0665252j -0.0458757-0.0376525j -0.040516-0.00128996j -0.0305389+0.0877437j -0.046367+0.0819916j 0.019513-0.0284288j -0.0141993-0.0736641j 0.0596969-0.020524j 0.0523038-0.0463981j 0.00597817+0.045324j 0.0280341+0.058611j -0.0297751-0.0556493j -0.0158561+0.0404632j 0.0131338-0.0966529j -0.0173717+0.0223906j -0.00371523+0.091366j -0.00210895+0.0513394j -0.035015+0.0253314j -0.0581477-0.0821213j 0.0627369+0.0685958j 0.0584608-0.0270429j 0.0257037+0.0339503j 0.0110505+0.0831533j 0.0234218+0.0431343j -0.0651577+0.0128008j -0.0451359+0.0683871j 0.0125149-0.063582j 0.0332552+0.0736746j -0.0427212+0.0926493j 0.0335229-0.167478j -0.0290721+0.0590838j -0.00465667+0.0969595j 0.08163-0.0745723j -0.094367+0.0635892j 0.109143-0.0197809j -7.85001e-05-0.0627524j -0.0354705+0.103078j -0.00436686+0.00124327j -0.0262946+0.000411459j -0.0297646+0.001567j 0.014187-0.0663782j 0.0208641-0.0449428j -0.0326429-0.0170613j -0.00466099+0.00987987j -0.00164076+0.0246521j -0.0223086+0.0356278j -0.0175219+0.000551514j -0.0113676-0.0543846j 0.0147899-0.0171468j 0.0567941+0.000971776j 0.0157106+0.039111j 0.0502332+0.000845523j 0.000695746+0.0214739j -0.0250562-0.0308594j -0.0234888+0.114949j 0.0347591+0.0032867j 0.0206979-0.0031722j -0.0207384+0.0673632j 0.0433785-0.00472559j -0.0202842+0.0293411j 0.0110498-0.0326401j 0.022871-0.0623422j 0.00518661+0.0369135j -0.00967096+0.0428291j -0.0239162-0.0115203j -0.061079+0.097081j -0.000509889+0.0623564j -0.0229074+0.0390498j 
-0.00416419+0.127095j -0.0819348+0.128747j 0.114054-0.0956936j 0.0905801-0.0101372j -0.109569+0.0122131j 0.0464311-0.153433j -0.0251408+0.0125306j 0.00147371-0.0274889j -0.111632+0.00203623j -0.00383312-0.0226149j -0.00411066+0.0423522j 0.0661333-0.000670015j 0.0420959+0.0131897j -0.102802-0.0893181j 0.205145+0.0264712j 0.0491755+0.0698853j -0.059159-0.0409998j -0.12501+0.0200138j -0.110163+0.00268326j -0.0360491+0.0881979j -0.024486+0.0152739j 0.0150116+0.0292208j -0.0190174-0.0365987j 0.00964535+0.0389621j -0.00691801+0.110588j 0.0271965-0.01453j -0.0357657+0.0575207j -0.0387256-0.0664796j 0.0142161-0.0757114j -0.008481-0.00302773j 0.00703458+0.0596674j -0.029555+0.054211j 0.0144646-0.00851892j 0.0782323+0.107434j -0.00262783+0.0560037j 0.0495307+0.0228257j 0.0610798-0.0532216j 0.0328779+0.131645j -0.025637+0.0249851j -0.0228077-0.0671987j 0.0254078+0.0962412j 0.00812957-0.0884945j 0.0272168-0.0733786j 0.0489645+0.198874j 0.019624-0.043804j -0.0322277+0.105494j -0.00941157-0.105684j -0.0502473+0.183413j 0.0253586-0.00307743j 0.0394372-0.0929839j 0.011113+0.100237j -0.0604229+0.0587104j 0.0597677-0.126207j -0.10559-0.0682895j 0.0234062+0.0129413j 0.00281277+0.085787j 0.0678685-0.0636063j -0.0417234+0.0811564j 0.0193239-0.0534684j 0.000290041+0.0103843j -0.00428644-0.0318162j -0.0313511+0.0186297j -0.0261947-0.00740148j -0.0105098-0.0100814j 0.0122949+0.020226j -0.00553662-0.0414761j -0.0203091-0.0197305j -0.0345438-0.0195353j 0.0437085+0.0292146j 0.0245324+0.0122498j -0.00937047+0.0075936j -0.0179313-0.00983633j 0.0220133+0.0318987j 0.0113179+0.0118328j 0.028767-0.00752809j 0.0396567+0.0800816j -0.00895284-0.0213036j -0.00445138-0.035143j 0.0177397+0.00261008j 0.0355841+0.0280368j -0.0643345+0.0358048j 0.0339773-0.0424764j 0.0213223-0.00752249j 0.0194676+0.0606622j 0.00450943-0.0254218j -0.0194237-0.0188972j 0.0214391+0.0314224j -0.0139855+0.00617563j 0.0154693-0.0358594j 0.0271101-0.0122497j 0.0496412+0.0473617j -0.014679-0.00337077j 
0.091981-0.0411591j 0.0570334+0.0254604j -0.0286808-0.0927197j -0.0181554-0.155916j 0.00929603+0.0772837j -0.0641274+0.0671876j 0.0310942-0.0210196j 0.00372209+0.036074j -0.0602199+0.0191277j 0.0969018+0.0414697j 0.0223518-0.167415j 0.01512-0.0474715j -0.046627-0.00919182j -0.153211+0.149365j -0.0452266-0.0603446j -0.0282147-0.00847015j -0.113044-0.0341867j 0.0932032+0.0532763j -0.0327272+0.0662775j -0.113402+0.0689651j -0.0201906-0.0138202j 0.0039443-0.0355651j -0.0359591+0.0355017j -0.0107471+0.121424j 0.0294365-0.0132624j 0.0382803-0.0148082j -0.0343543+0.0387278j 0.0112774+0.0837954j 0.0459963+0.000467481j -0.01827-0.0672606j 0.0185411-0.0478046j 0.0581937-0.0685291j 0.0455625+0.00356625j -0.0505042-0.0964509j 0.0296193+0.0185343j -0.00654073-0.0399229j 0.0207394+0.0601088j 0.0148136-0.0247344j -0.0679656-0.0223696j 0.077581-0.0953703j 0.0226893-0.0377176j -0.0582176+0.0159159j -0.0753616-0.0277603j 0.032809+0.0964645j 0.00178859-0.103458j -0.0176429+0.0752843j 0.0379868+0.0717381j 0.0189071-0.0732552j 0.0131896+0.0347846j 0.00664449+0.0103099j 0.064889-0.0825198j -0.00356393+0.0438675j -0.0147993-0.0487607j -0.0130251+0.0272162j -0.016776+0.150024j -0.00544988+0.0077335j 0.0550739-0.0649887j -0.0155964+0.0878214j 0.0392387-0.0658852j -0.0201324+0.00590936j -0.0128267-0.0122728j 0.0214226+0.00729519j 0.0416287+0.00997311j -0.00598726+0.00027242j -0.0174729+0.01051j -0.0118332+0.0121547j -0.00112745-0.00341356j -0.0256487-0.0250297j 0.0113586-0.00312024j -0.0289365+0.0206243j -0.0150455-0.00432986j -0.0087394-0.0157129j 0.00365741+0.0254068j -0.017304-0.0204169j -0.00655145+0.0187892j -0.0519502+0.0205903j 0.0132992+0.0133258j 0.0190331+0.0254737j 0.0194809+0.000190292j 0.0126287-0.0646432j -0.0156057-0.000639271j 0.0163597+0.00416518j 0.00557737-0.0308682j -0.0072601-0.00303023j -0.00436078+0.00311704j -0.00878645+0.00766372j -0.00916044+0.028443j -0.0154618+0.0267614j -0.0111405+0.0181532j 0.000393683+0.0217643j -0.00363103-0.00793721j 0.00745293+0.00805329j 
-0.0989143+0.0230545j -0.134073+0.0462303j 0.164316+0.0558216j 0.238976+0.092796j -0.12843-0.094893j 0.0775824+0.000131098j 0.0280317-0.0434436j -0.0684393-0.0302782j 0.0282093-0.0366429j -0.0458859+0.0481467j -0.0570123-0.065459j -0.0457526+0.0197301j 0.0136624+0.0546483j -0.0574008-0.0674717j -0.132937-0.0600962j -0.175517+0.21152j 0.0688984-0.151838j 0.048096+0.0883385j -0.0150115-0.0364973j -0.0882526+0.110814j -0.0565854+0.0849265j 0.0486283+0.0019213j 0.021067-0.0713412j 0.00423138-0.00475172j -0.00637228-0.00363213j 0.0281316+0.0473398j -0.0314741+0.0174259j -0.000982686+0.0522621j 0.0065486+0.0341279j -0.0057365+0.0415548j 0.0298256-0.0611564j 0.0265262-0.0508212j 0.036064-0.0232083j -0.0712806-0.06489j 0.0515413-0.0292527j -0.0429222-0.0224287j -0.0106178+0.0797669j -0.0199068-0.0534887j 0.0285786-0.0335894j 0.108767+0.032352j 0.0303774-0.0105284j -0.0370214+0.0473182j -0.0460883+0.00608314j -0.0563458-0.110566j -0.0182832+0.0160635j 0.0115195-0.0412948j 0.0335067+0.0540112j 0.015207-0.125515j -0.0658556+0.0356788j 0.0310467+0.0228825j 0.0127433-0.0262339j 0.0612392-0.0545232j -0.00817223+0.11487j 0.00968689+0.00930912j 0.000940767+0.0139636j -0.0680402-0.0411224j 0.0585521-0.0248117j -0.00265131+0.0196195j 0.0201334+0.0686092j 0.0178748-0.00635568j -0.0435252+0.0204822j 0.0267774-0.00741179j -0.0125076+0.017316j -0.00494833-0.0123137j -0.017953+0.000964277j 0.00759937+0.00478335j 0.0372241+0.0170535j 0.025025+0.0187658j -0.0124359+9.83779e-05j -0.0208863+0.0150623j -0.00304263+0.00196655j 0.0147143+0.0424567j 0.00332332-0.00754478j 0.00409579-0.0220251j 0.00728113+0.0289108j -0.0091211-0.0833946j 0.0179816+0.0535847j 0.00161644-0.0190004j 0.0336282-0.0312473j -0.0213353+0.00691649j -0.00265717-0.0269198j -0.0251443+0.0138226j -0.000612554+0.00764301j 0.000112466-0.0306328j 0.00364355+0.0185743j 0.0154171-0.000673837j 0.0151698-0.0357633j 0.0279004-0.0231157j 0.00270713+0.000169135j -0.023193+0.0152357j 0.00445555-0.0254024j -0.0126179+0.0167363j 
0.190222-0.0918573j -0.0066269-0.0615522j 0.156063-0.0464653j 0.156974-0.0583495j -0.083358+0.0573242j -0.0908788+0.0139142j 0.0945662-0.0011604j 0.0149347+0.0300831j 0.190413-0.0501498j 0.0908098+0.0825361j 0.082357+0.201834j 0.0526037+0.0802858j -0.0488447-0.0903479j 0.0694498-0.0245008j 0.0199089-0.0407306j 0.059277-0.0121748j -0.0781548-0.142224j 0.0155792+0.0146576j -0.0105795+0.0299117j 0.00990985-0.0793176j 0.0284679+0.136823j -0.0106813+0.0312731j -0.0190224+0.00677172j -0.0282341-0.078629j 0.043019-0.0996356j -0.0621393-0.0156553j 0.0432874-0.100279j 0.0111809+0.161173j -0.0421888+0.0573695j 0.0357106-0.105933j -0.0569612+0.0549833j 0.0149902+0.0142107j 0.0122393-0.0398078j 0.00330465+0.171319j -0.0836634-0.00367041j 0.0384652-0.0604042j 0.0173368-0.12667j 0.0314779-0.0526618j 0.0138798-0.0474645j -0.0592233+0.0662066j -0.0869539-0.00760732j 0.0579118-0.021552j -0.0360001+0.0152309j 0.0277235+0.103564j 0.0664033-0.0466434j -0.0691292-0.00744154j -0.0128072+0.0293521j -0.012869+0.0692401j -0.0273939-0.0447973j -0.052845+0.00721527j -0.0340257-0.0242775j 0.000238888-0.000247061j 0.0756534+0.0274582j -0.0114066+0.005049j 0.00581802-0.0418244j 0.0548573+0.0141569j -0.0358777+0.0224368j 0.00590268+0.0107879j -0.0162304+0.0149671j -0.0116363-0.0436548j 0.0350998+0.0736631j 0.0406467-0.0357691j 0.00392361-0.00714049j 0.00104906+0.0390338j 0.0171072+0.00316967j 0.0159804-0.00105636j -0.0153814+0.0279729j 0.0136328+0.013989j -0.0110722-0.000650899j -0.00125134-0.00546624j 0.021777-0.000200952j -0.0320521+0.0147826j -0.0260461-0.0126768j -0.0236032-0.00327772j 0.0148518-0.000702101j -0.0193572-0.00845033j 0.0232871+0.010577j -0.00465411-0.0259761j -0.016073+0.00481557j -0.000757902+0.00575424j 0.0230424+0.00414404j 0.00222306+0.0203299j -0.0101575-0.000537047j -0.0125387-0.0254976j -0.0137675+0.00572294j 0.00261874-0.00196363j -0.0143986-0.00242246j 0.0017295+0.0144934j -0.0219811+0.0149276j -0.0103109+0.029063j -0.0210249-0.00948334j 0.0154757+0.013173j 
-0.061667-0.0982618j 0.014174+0.0452837j -0.031374-0.0768226j -0.0497244-0.1741j 0.0340406+0.0391918j -0.0148039+0.0932602j 0.00416293-0.000859987j -0.0964212+0.00881759j -0.0551205+0.060233j 0.117875-0.0291898j 0.0891316-0.0176805j -0.135332-0.142344j -0.0571735+0.0129789j -0.040075-0.0700323j -0.073193-0.035939j -0.0575367+0.178309j -0.139094+0.0510322j -0.0058207+0.0798023j -0.0757907-0.121562j -0.0485166+0.106014j 0.0512512+0.00987167j 0.0224926-0.0435259j -0.0464223-0.0360404j -0.0444512-0.123666j -0.0298618+0.0217671j 0.029311+0.000115499j 0.00900214-0.0402103j -0.0176978-0.0126483j 0.0109683-0.00199558j 0.00871328+0.0872758j -0.0245064+0.00982179j 0.0560728-0.000179598j -0.0370439-0.0265572j -0.00222385+0.0853643j -0.00958577+0.0157491j -0.0208542-0.0596332j 0.0356947-0.0793486j 0.0393105-0.0246322j -0.0311896-0.0167994j 0.124158+0.0842718j -0.00207922+0.0686824j 0.020539-0.0703488j -0.0639636-0.0465013j -0.0112973-0.0236665j -0.0822171+0.0818808j -0.00480106-0.0116674j -0.0340713-0.0642586j -0.0168751+0.0280196j -0.0342423-0.0125862j 0.0560946-0.00782036j 0.00439346+0.0561287j 0.0581797+0.0266078j 0.0360068+0.0311805j 0.00340148-0.0428986j 0.011161-0.133695j -0.0273987-0.0108418j 0.013038-0.0168882j 0.00606122-0.0514117j -0.00100482+0.0596351j -0.00613696-0.00324317j 0.0469867+0.055025j -0.0157505+0.00433617j -0.024588+0.00472101j 0.0122115-0.0324985j 0.00247265-0.0294174j -0.00819737-0.0245205j -0.0168526-0.00242114j 0.0207335+0.00987392j 0.0125722+0.0330871j 0.0156274-0.00233223j 0.018387+0.032472j 0.00391275-0.0133698j -0.014329+0.00339864j 0.000330629+0.0106725j -0.0179627-0.00253253j 0.0514638-0.00787935j -0.0052279+0.00372834j -0.0565489-0.0307885j -0.0124788+0.0411586j 0.012369+0.0226989j 0.0369209+0.0394478j -0.0157841+0.0251983j -0.00208357-0.00280185j -0.00916468+0.0105951j 0.00567838-0.00270173j -0.000347323-0.000739952j 0.00140837-0.0120198j 0.000878682+3.88142e-05j -0.00859069-0.0156585j 0.0055744+0.00270045j -0.0120719+0.00160103j 0.0132404+0.00529229j 
-0.328301-0.0819254j -0.0624723+0.0730606j -0.00377841+0.0549927j -0.108057-0.0239119j 0.00500868-0.101247j 0.102962+0.0558278j 0.0473846-0.0237894j 0.0386734-0.0184095j 0.116269-0.0244067j 0.114036-0.156869j 0.0316499-0.0982548j 0.0256363+0.0978965j 0.00749134+0.0489954j 0.0224036-0.0561791j 0.0472682+0.102992j 0.0101656-0.0774236j -0.0387235+0.074014j -0.0475582-0.103761j -0.00289273-0.000291227j -0.017024+0.0318715j -0.017087-0.0216887j -0.00917412+0.113651j 0.0361841-0.0495105j -0.0534959+0.0251323j -0.0661764-0.0320452j -0.0334621-0.00560398j -0.0273476-0.0902746j 0.0509604+0.151903j 0.0137948+0.0571381j 0.0126311-0.114688j -0.0193237+0.0405742j 0.00803849-0.0358594j 0.0501308-0.055498j 0.0314635+0.115687j -0.0739564+0.0132941j 0.00474259-0.109999j 0.0136602-0.0765728j 0.00997448-0.111483j -0.0318013-0.0540803j -0.0643849+0.0291681j -0.0303007+0.0589586j -0.0254644+0.0221894j -0.0655699-0.0217955j 0.0796493+0.188274j 0.0475755-0.099186j -0.0568425+0.068639j 0.0201336+0.105376j 0.00764923+0.0679774j -0.0177566+0.00940845j -0.0646614+0.0135073j 0.00699728-0.088223j 0.0156925+0.000716564j -0.00654949+0.064672j 0.00683204-0.0436333j -0.0144274+0.0217233j -0.0227125+0.0522765j -0.00481116-0.0328815j -0.00170573+0.0809425j 0.0233297-0.00464588j 0.00998395-0.0333123j 0.00256773+0.0509137j 0.0256963-0.0404758j -0.0426301-0.00132131j 0.0235844+0.0410769j -0.00768154-0.0800575j 0.0194221+0.0101695j -0.0354348+0.00510743j 0.00701031+0.0350639j -0.00805822+0.00339446j -0.019889+0.00378695j 0.00305089+0.0241415j -0.0174101-0.0450384j -0.00454058-0.0189559j -0.0163757+0.00116722j 0.0297668+0.0298454j -0.000965766-0.0374308j 0.0356596+0.038268j -0.0182438-0.0306675j 0.0171154-0.00281111j -0.00826683+0.0169604j -0.00376301-0.0211223j -0.0128051+0.0271447j -0.00781709+0.0067009j -0.00266698-0.035136j -0.00352173+0.0269124j 0.0130355-0.00573942j 0.0134502-0.0304393j 0.0314077-0.0311095j -0.00299274+0.00621397j -0.0129661+0.0215528j -0.00283414-0.0326427j 0.000319037+0.0177959j 
0.0422448+0.161461j 0.146109+0.052435j -0.0192237+0.075991j -0.0211676+0.12913j -0.0472797-0.0127426j 0.152231+0.104036j 0.040842+0.0388779j -0.0577706-0.00250943j 0.0139654-0.0412664j 0.0722012+0.133939j -0.232148-0.143433j -0.0731845-0.0339217j -0.0366424+0.0139856j -0.0312945+0.127098j -0.0240832-0.113629j -0.0217172-0.0357977j 0.0281124-0.159137j -0.0100573+0.0809951j -0.100093-0.00464784j -0.00667591+0.0049861j -0.194939-0.0411826j 0.0760985+0.0258067j -0.0104255+0.00973418j -0.038812-0.0421098j 0.0328055-0.015971j 0.0650694+0.0199544j -0.00721877-0.0476028j 0.0523519+0.0964585j -0.0123439+0.0265291j 0.00905372-0.148434j -0.00901485+0.134459j 0.0119893+0.0115648j -0.00908777+0.000123036j -0.0176464+0.168744j -0.0198603-0.0222552j 0.0533772-0.0984188j 0.0764045-0.169601j 0.0605901+0.00702786j -0.000460142-0.0983288j 0.0696871-0.0561382j -0.0291487-0.0228717j 0.00797198-0.087192j -0.0342213+0.12252j 0.0370757+0.131631j -0.0235559-0.0120403j -0.0578755+0.034376j -0.035651-0.0734879j 0.00282908-0.00138321j -0.0278252-0.106074j 0.0397416-0.027195j -0.00634022+0.0399649j 0.0139136+0.00768399j -0.0212044+0.00813283j 0.0541324+0.0780004j -0.0216635-0.0155459j 0.022027-0.0163377j 0.0373844+0.128886j -0.0334549+0.0330149j 0.0151694+0.0599849j 0.0689825-0.00260945j -0.0260017-0.00481171j 0.0116792-0.0471807j 0.00665881-0.0292348j -0.0179762+0.0781387j 0.0025231-0.0173926j 0.0088692+0.0370194j -0.00845123+0.0200117j 0.0130399+0.00825224j -0.010928+0.00136668j 0.0151349-0.00287188j -0.0061014-0.0136175j -0.0227155+0.0100774j -0.00463882-0.043534j -0.0211972+0.0184891j 0.0221809-0.0111924j -0.0204231+0.0216795j 0.0215058-0.0286052j 0.0330285+0.0225246j -0.013083-0.0156036j -0.0142517+0.0294204j -0.0262886-0.00887737j -0.00523559-0.0329808j 0.00818301-0.00545797j -0.00135313-0.0147027j -0.00816306+0.00687608j 0.00769455-0.0123753j -0.0128593+0.0073761j 0.00119597-0.00176936j 0.00177326+0.00225497j -0.0158728+0.0109616j 0.012923+0.00672528j -0.0143564+0.00658852j 
-0.0753335+0.00696505j -0.00578715+0.097897j 0.0386771-0.124742j 0.0232704-0.0993769j -0.0528357-0.0100048j 0.0232253+0.0209653j -0.0271578-0.102243j -0.0477073-0.0106414j -0.0192873-0.0977891j 6.20985e-05+0.060618j 0.0147-0.0239143j 0.0723849+0.0585368j -0.0268276-0.0122982j -0.0762905+0.0349405j -0.0322874+0.0412129j 0.189432-0.057093j -0.0507414-0.0548015j 0.0876705+1.26501e-05j 0.164884-0.0102926j -0.0129346-0.0194161j 0.0845059+0.0102493j -0.0280929+0.0393296j 0.00750785-0.00322387j -0.00608237-0.0198634j -0.0297382-0.0448947j -0.0203616+0.0149959j -0.00238432-0.0462949j 0.0400681-0.0343965j -0.0234554+0.00176241j -0.0236483+0.0358674j -0.00767342+0.000665429j 0.0143788-0.0107538j -0.00988225-0.0183205j -0.0150285+0.00414035j 0.0543877-0.0507151j 0.0459746+0.0630076j 0.00392531+0.00756197j 0.0347226-0.0206091j 0.02846-0.00899798j -0.000793012-0.0316701j -0.0107936-0.0470869j 0.0111307+0.0117011j 0.0547911+0.0828263j 0.00617044-0.0782433j 0.0478303+0.0571317j 0.0521414-0.0755786j -0.039396-0.0408675j 0.00824419-0.0309716j 0.00148053-0.0913195j 0.00282301+0.147391j 0.0430133+0.018927j 0.0701807-0.00231459j -0.101263-0.030356j 0.0281548-0.044657j -0.047718+0.106444j 0.0447464-0.00261634j 0.0116362+0.0696177j -0.0634055-0.0418591j -0.0268522+0.0822298j -0.0503792+0.0567998j 0.00487204-0.0456481j 0.0143418-0.0436195j -0.0131401-0.0405182j -0.0565382-0.0380924j 0.00269064-0.0164721j 0.015219+0.0499512j 0.0149834+0.0182461j -0.0214752-0.0128809j -0.0363553+0.0957518j -0.0393208+0.0538365j -0.0462448+0.0026908j -0.0278555+0.0355806j 0.0220184+0.0137641j 0.0805035+0.0158402j -0.0350167+0.110548j -0.00406225+0.0870099j -0.0972745-0.00816341j 0.0698572+0.048563j 0.0810698+0.0823585j 0.0714855+0.0461267j -0.0519153-0.0317802j 0.0323297+0.0338582j 0.0737194+0.0458449j -0.0085616+0.0774353j 0.0180462-0.0506512j 0.0396799-0.0781752j 0.0341635+0.0557533j 0.020964+0.0549067j 0.0452999-0.0615034j -0.0819219+0.0254456j -0.0148408+0.164181j -0.0616541-0.0142039j 
