-0.351162-0.143467j -4.33758-0.168927j -15.057-0.888408j -1.56994-0.233391j -1.46059-0.0783429j -32.8332-0.891997j 5.92079+0.202847j 23.0555+0.933126j -35.4692-0.941975j 49.4955+1.40116j -8.74567-0.0880321j -67.2582-2.47366j 23.5536+1.28291j 2.11138+0.0722077j -22.4795-0.676098j -80.9984-3.16818j 75.2781+3.00892j -87.5683-3.39104j -66.8012-2.8206j -3.46217-0.226401j -27.3885-1.10447j -109.539-4.48199j -86.5509-3.54319j -47.8179-2.14452j -73.1618-2.98782j 166.269+6.92377j 24.7324+0.769555j 35.9057+1.26803j -5.02198-0.520203j 88.3957+3.78073j 51.0309+2.48296j -108.374-4.69792j 103.416+4.36986j -48.3115-2.08768j -101.781-4.89186j -1.27152+0.061665j 48.6153+2.30752j -103.494-4.8143j 108.272+5.14593j -50.771-2.50259j -88.1332-4.51314j -5.05528-0.217376j 35.8192+1.90343j -24.5342-1.32035j 166.156+8.65922j -73.2967-3.84756j 48.0117+2.88412j -86.7529-4.59195j 110.08+5.69518j -27.42-1.37282j 3.3663-0.102369j -67.3099-3.80318j 87.8654+4.33886j -75.842-4.01643j 82.0871+3.79752j -22.5822-1.4217j 2.88494+0.3735j -23.6766-0.390119j 67.5134+3.34706j -8.50424-0.820878j 48.5951+2.54097j -35.5854-2.95071j 22.8389+1.19337j 6.56976+0.882192j 33.3062+2.0467j -0.476822-0.0368415j 0.83936+0.579059j 14.1111+1.32653j 3.77241+0.748203j -1.85173-2.46882j 
-0.839778-0.130128j -27.0753+0.0767639j -92.7608+0.259332j -6.81668-1.08769j -8.45415-0.143484j -200.87+0.737866j 38.1542-1.05044j 142.067+0.39223j -217.33+1.25282j 303.496-1.12394j -53.1417+0.651946j -415.235+0.3697j 145.232+1.40694j 13.0013-0.140138j -138.059+0.567575j -499.927+0.0182864j 462.337+0.948194j -538.077-0.994475j -410.424-0.963229j -22.121-0.610678j -168.606-0.587491j -673.231-1.7674j -531.996-1.22673j -294.197-1.17279j -449.828-1.26007j 1022.16+3.55237j 152.689+0.410317j 220.516+0.314072j -30.7871-0.738436j 542.608+2.62261j 312.539+2.30172j -666.326-3.34732j 637.59+2.79327j -299.054-0.708507j -625.224-3.68298j -9.57376+0.756055j 299.197+2.66472j -638.009-4.40364j 666.566+4.44865j -312.292-1.4704j -542.833-3.76025j -30.9294+0.441305j 220.612+2.24498j -152.414-0.977597j 1022.74+7.61067j -450.141-3.87386j 294.693+2.20697j -532.674-4.43443j 673.659+5.71509j -168.707-0.726414j 22.1633-0.576085j -410.626-3.67691j 538.922+4.9519j -462.442-4.10505j 500.416+5.13647j -138.627-1.67929j 13.4821+0.490567j -144.554+0.180773j 415.744+4.82685j -53.3939-1.29502j 303.307+3.85261j -217.94-3.83734j 142.006+2.27401j 38.8168+0.705276j 201.843+2.57834j -7.74709-0.968246j 6.28593-0.809623j 92.1952+2.68941j 28.2625-0.749496j 1.19068-0.449001j 
-1.23367-0.239585j -46.4182+1.26454j -161.46+2.5665j -11.5468-0.887806j -14.275+0.28502j -349.066+6.21197j 66.6628-2.00707j 246.873-3.77314j -377.908+7.27162j 527.099-9.36896j -92.1913+2.00025j -722.074+12.1992j 252.336-2.75391j 22.8793-0.843833j -239.968+4.25684j -869.029+13.8381j 803.42-11.9439j -935.203+13.9382j -713.798+10.6122j -37.7853-0.446012j -292.515+3.79289j -1170.23+16.8478j -924.917+13.5679j -511.904+7.28908j -782.131+11.3316j 1776.69-24.9987j 264.999-3.85373j 383.251-5.66664j -53.759+0.247598j 943.157-12.3192j 543.233-6.46898j -1157.49+15.286j 1107.52-14.6294j -519.869+7.38874j -1086.38+13.9077j -16.8452+0.942842j 519.885-5.56818j -1107.68+13.119j 1157.52-13.5682j -543.156+7.41158j -942.699+11.2597j -53.6435+1.15139j 383.257-3.96298j -264.6+2.05399j 1776.73-19.3725j -782.487+8.17987j 512.301-5.77663j -924.991+9.89938j 1170.38-11.9173j -292.841+3.47085j 38.234-1.52963j -713.822+7.02045j 935.345-10.2177j -802.789+8.53467j 868.86-8.38068j -239.406+2.10687j 22.8588-1.12479j -251.801+3.52992j 721.037-6.78207j -92.6929+0.633855j 526.792-3.68209j -377.982+1.61997j 247.591-1.89869j 66.9977-0.0307415j 348.902-1.92388j -15.6984+0.758397j 12.0517-0.306996j 160.337-2.42475j 46.8162+1.4228j 2.44968-1.8167j 
1.94186+0.753777j 65.472-0.246533j 226.512+2.58601j 17.0575+2.93329j 20.3272+0.396428j 490.27+2.13413j -93.1682+1.78241j -347.243-4.0299j 530.402+0.518386j -740.31-3.15664j 129.37-0.814123j 1014.48+7.92559j -355.272-7.11915j -32.2968+0.506558j 336.394+1.32485j 1221.42+11.7264j -1129.29-12.0075j 1314.51+14.546j 1003.27+11.2523j 53.2341+2.49614j 411.053+5.27413j 1644.89+19.2003j 1299.93+14.9039j 719.848+8.89712j 1099.65+12.817j -2497.54-31.2179j -371.85-3.62429j -539.056-5.50312j 75.4192+2.75521j -1326.01-17.7572j -764.126-11.9869j 1627.73+22.5927j -1557.52-21.641j 731.022+9.02369j 1528.19+22.5783j 23.2057-0.627021j -731.383-13.0188j 1557.1+25.5022j -1628.02-25.5626j 764.017+10.3357j 1325.93+21.2328j 74.8258-0.216401j -539.46-10.2339j 373.039+6.79441j -2498.88-42.4786j 1099.67+19.4504j -719.04-12.2747j 1301.18+23.6936j -1645.84-29.2513j 411.014+7.14671j -52.8163-0.0738836j 1003.89+18.4397j -1315.84-24.4582j 1130.05+21.3367j -1222.64-25.6043j 337.61+8.37501j -32.4414-1.72049j 355.1+3.61849j -1016.55-21.5411j 130.208+4.43759j -741.28-16.9319j 532.08+13.9742j -347.447-7.18393j -92.177-2.92195j -491.549-12.0162j 20.2314+1.15657j -17.1889+0.752663j -225.762-4.17273j -66.2372-1.90796j -1.9696+0.889242j 
1.94063+0.587795j 64.2919-0.351355j 221.211+2.06083j 16.581+2.57362j 19.7232+0.092036j 478.747+1.22145j -90.9286+1.35968j -339.209-3.32471j 518.309+0.143882j -723.282-1.67093j 126.405-1.08907j 990.961+6.36076j -347.035-6.22164j -31.2805+0.348091j 329.047+0.775203j 1192.89+8.93743j -1103.37-9.61668j 1284.25+11.2446j 980.105+9.05971j 52.2942+2.08647j 401.271+4.138j 1606.97+15.3777j 1269.79+12.0807j 702.848+7.80733j 1074.08+10.4851j -2439.37-25.034j -363.585-3.16877j -526.195-4.19991j 73.9253+2.53086j -1295.71-15.0509j -746.314-9.67686j 1589.92+18.6359j -1521.33-17.3873j 713.918+7.32611j 1492.64+18.7385j 22.6345-0.534956j -713.776-10.4442j 1521.22+20.7099j -1590.08-21.4435j 746.202+8.56732j 1294.39+17.5152j 72.9752-0.524521j -526.698-9.09929j 364.194+5.64695j -2440.23-35.9716j 1074.13+16.813j -702.768-10.6219j 1270.19+20.5808j -1607.15-25.0745j 402.371+6.34633j -51.2886+0.418342j 980.15+15.7957j -1284.9-21.4137j 1104.66+18.2762j -1194.13-21.0609j 329.103+7.13175j -30.6455-0.822749j 347.907+2.76459j -991.431-18.451j 126.97+4.08022j -723.311-16.1624j 520.674+11.3689j -338.874-5.95383j -91.7401-3.85785j -480.574-9.26534j 19.9669-2.17149j -16.3999+0.811063j -222.823-3.55551j -65.0421-1.917j -1.45928+0.336467j 
-5.20946-1.03586j -163.027+1.47104j -561.989-1.58659j -41.6891-5.16181j -50.5488-0.0526474j -1215.82+3.07584j 231.278-4.60883j 860.643+3.08118j -1316.09+5.98174j 1835.91-4.89884j -320.921+3.71113j -2515.3-1.60747j 880.368+9.09028j 79.797-1.31408j -835.107+1.93207j -3027.93-5.34347j 2800.25+8.01035j -3258.89-9.30919j -2487.06-8.47746j -131.227-4.22472j -1019.17-4.03477j -4077.55-15.148j -3222.46-11.0343j -1783.86-8.16251j -2725.6-10.5907j 6191.19+26.9956j 923.058+3.05915j 1335.83+3.33873j -186.837-4.54266j 3286.22+18.187j 1893.35+13.7949j -4035.13-22.1408j 3860.29+20.7008j -1811.43-7.90093j -3787.79-24.106j -56.8289+1.71808j 1811.78+15.6279j -3859.99-28.7116j 4034.95+29.2186j -1892.95-10.2878j -3285.96-23.8023j -186.105+1.89883j 1336.4+13.2149j -923.435-8.63797j 6192.24+52.6739j -2725.69-24.3187j 1783.7+14.7342j -3223.8-30.5127j 4078.22+37.1968j -1018.91-8.51267j 131.535-2.53279j -2488.72-23.7575j 3260.12+31.968j -2801.3-27.1177j 3028.17+33.9505j -835.039-12.1602j 79.4083+1.53024j -879.649-1.81036j 2516.86+28.6404j -322.015-6.53523j 1837.38+27.1967j -1317.05-22.0266j 861.79+7.10122j 231.531+5.80245j 1214.81+18.1129j -50.5672-0.159544j 40.7102-3.39223j 561.629+6.42808j 163.039+3.45421j 5.2209-0.774989j 
-0.655425-0.792115j -25.425-0.838342j -87.8922-3.7657j -6.8521-2.245j -8.10367-0.394871j -190.405-6.34983j 35.8477-0.162939j 135.044+6.07373j -205.498-5.82354j 287.652+9.13245j -50.2945-0.771547j -393.749-15.1671j 138.152+7.93776j 12.3067+0.18796j -130.445-4.02624j -474.256-19.5766j 438.741+19.0057j -510.781-21.8053j -389.616-17.0593j -21.3147-1.84884j -160.338-7.2556j -639.018-28.1946j -504.832-21.9715j -279.604-13.0452j -426.835-18.9707j 970.576+43.6508j 144.407+6.1283j 209.502+8.97113j -29.3665-2.06089j 515.236+24.3795j 296.689+14.9873j -632.685-30.1876j 604.679+28.5598j -284.105-13.1495j -593.412-29.3844j -8.77678-0.0853036j 283.989+15.5326j -605.387-30.4531j 631.938+32.7458j -296.931-14.2817j -515.2-26.4953j -28.998-0.275169j 209.84+11.8833j -145.239-8.22327j 971.613+51.7134j -427.76-22.948j 280.407+14.8647j -505.77-28.0422j 639.714+33.8614j -159.579-8.23075j 20.1138+0.0666571j -390.707-20.7745j 511.703+28.4155j -440.427-23.6805j 474.745+26.42j -131.432-8.79843j 13.3831+0.855312j -136.559-5.4864j 395.386+23.9435j -50.4683-3.94141j 288.823+17.5962j -206.414-13.9563j 135.175+6.99292j 35.8622+3.92751j 190.883+10.5731j -9.87021-0.72006j 8.10105-0.727263j 88.8754+4.52473j 25.2552+1.05874j 0.850897-0.780263j 
-6.55068-1.47654j -206.016+2.07756j -710.43-2.01968j -52.7485-6.67236j -63.8394+0.0617629j -1537.18+4.53397j 292.111-5.75192j 1088.17+3.31761j -1664.11+8.02138j 2321.25-6.97849j -405.782+4.76468j -3180.52-0.371686j 1112.76+11.1911j 101.371-1.43636j -1055.9+3.12322j -3828.38-4.61014j 3539.98+8.99539j -4120.7-10.7171j -3144.79-9.30093j -166.034-4.88859j -1288.16-5.09115j -5155.9-16.8688j -4074.62-12.3577j -2255.46-9.39929j -3446.35-11.5945j 7827.99+30.679j 1167.29+2.98045j 1688.86+3.35489j -236.29-5.76445j 4154.88+21.1751j 2394+16.6919j -5101.59-26.4231j 4880.31+24.1507j -2290.76-8.75845j -4788.99-28.8506j -71.9981+2.08162j 2291+18.9267j -4880.43-34.4981j 5101.65+35.0192j -2393.94-11.9785j -4155.45-29.8759j -235.191+2.75172j 1690.1+16.6855j -1167.86-10.6851j 7829.18+63.5502j -3445.96-29.8272j 2256.63+17.8156j -4075.96-37.4035j 5156.47+44.5285j -1287.8-9.98872j 166.044-2.89587j -3144.93-26.5757j 4121.61+38.218j -3541.1-34.4903j 3830.15+40.5688j -1056.01-15.0035j 100.618+2.54976j -1110.94-2.9207j 3181.65+36.4119j -405.422-9.51012j 2323.02+33.8287j -1664.64-27.7897j 1086.4+11.953j 292.191+8.31119j 1537.8+21.1883j -63.6841-0.245955j 51.1415-4.68323j 709.786+6.69888j 206.595+3.8748j 6.36943-0.770827j 
-6.55145-1.7047j -211.978+1.3359j -732.233-5.68222j -54.6045-8.19365j -65.6914-0.38252j -1583.62-1.95874j 300.633-5.65401j 1121.25+9.30022j -1713.97+1.88615j 2391.73+2.59179j -417.934+3.71165j -3276.89-15.382j 1146.97+18.288j 103.475-1.47631j -1088.02-1.21813j -3944.39-23.3042j 3647.54+27.117j -4245.73-30.6925j -3240.48-25.8464j -171.491-6.52847j -1327.24-11.8845j -5312.41-43.5329j -4198.57-33.0629j -2324-21.7159j -3551-29.5752j 8066.12+71.6207j 1202.42+8.23943j 1740.34+11.8253j -243.593-7.66327j 4281.49+43.3022j 2466.99+30.5858j -5256.2-54.2815j 5028.5+50.6195j -2360.13-20.5213j -4935.01-55.961j -73.8262+1.70564j 2361.09+32.1008j -5029.28-63.2061j 5256.97+64.7299j -2467.41-25.8197j -4282.52-53.5918j -243.092+2.11863j 1741.14+27.6753j -1203.17-18.0096j 8068.81+108.575j -3552.13-50.6491j 2324.32+31.1344j -4200.51-60.6795j 5313.82+74.7877j -1328.05-17.5563j 171.115-2.70126j -3241.28-47.5782j 4247.58+63.8846j -3649.22-55.2462j 3947.37+63.5193j -1089.84-23.2656j 103.852+3.71593j -1146.93-8.96077j 3278.89+57.4736j -420.075-12.5858j 2393.85+50.4589j -1714.78-39.1806j 1122.18+15.3221j 301.434+11.2133j 1585.04+33.3444j -65.2841-0.546307j 53.6492-5.51637j 731.851+10.5851j 213.112+5.43291j 6.5863-1.06925j 
1.41061+0.387073j 46.3954-0.272317j 160.662+1.49346j 11.6982+1.8089j 14.1026+0.13341j 347.091+0.316554j -65.7805+1.00224j -245.605-1.98741j 375.647-0.241227j -523.831-0.643737j 91.6907-0.921013j 718.131+3.95079j -250.96-4.29339j -22.5192+0.134066j 238.731+0.500179j 864.39+5.51611j -799.673-6.30734j 930.688+7.40786j 710.211+6.40081j 37.4681+1.46459j 291.079+3.15134j 1164.68+10.485j 919.981+7.61355j 509.512+5.32192j 778.602+6.9065j -1768.23-16.7229j -263.699-1.86948j -381.563-2.22817j 53.5189+2.00381j -938.453-9.69726j -540.956-7.52304j 1152.48+12.4016j -1102.07-11.7024j 517.472+4.52413j 1081.47+12.8074j 16.2007-0.75079j -517.585-7.4293j 1101.97+14.7989j -1151.96-14.5957j 540.772+5.85189j 938.477+12.4914j 52.6952-0.556627j -381.57-5.8829j 264.872+4.43227j -1768.64-25.9005j 778.282+11.4647j -509.301-8.23295j 921.037+13.2635j -1164.77-16.9528j 291.45+4.94321j -38.7775-0.300123j 710.903+10.2407j -930.122-15.3922j 799.732+12.0241j -864.488-15.4067j 238.704+5.18034j -23.3359-0.284804j 251+1.96964j -719.192-14.0473j 91.8901+2.85885j -524.236-10.5139j 376.74+10.0853j -246.088-3.8609j -66.893-0.920397j -346.974-7.39106j 13.5904+0.543193j -12.4837+0.897399j -160.848-2.77294j -46.8888-1.86085j -1.08286+0.0085204j 
10.7301+2.18843j 329.392-4.40307j 1134.27-1.77802j 83.6883+9.0832j 102.238-0.560152j 2455.26-16.2826j -467.26+9.99048j -1737.68+2.5169j 2657.6-21.8308j -3707.74+24.9065j 648.473-9.43835j 5079.23-19.4677j -1776.45-8.79371j -161.66+3.0697j 1686.32-10.8413j 6114.01-17.491j -5653.24+9.74323j 6580.24-10.8418j 5022.2-6.01573j 264.496+6.2758j 2056.99-0.867177j 8233.46-7.84314j 6506.87-7.47815j 3601.92-0.176329j 5503.35-4.63135j -12500.5+4.83498j -1863.58+2.76916j -2697.14+5.7118j 377.249+6.72098j -6634.85-4.32825j -3822.46-8.69687j 8145.94+6.49373j -7792.36-4.65751j 3658.18-1.68241j 7647+12.2698j 115.171-4.17437j -3657.39-13.4783j 7793.31+20.2972j -8145.9-20.1117j 3822.67+2.64708j 6634.69+17.4534j 376.618-5.79545j -2696.72-14.3094j 1863.88+9.45656j -12500.7-43.7467j 5504.46+21.3747j -3602.18-12.0043j 6508.05+27.3737j -8232.67-33.5586j 2057.13+7.75178j -265.103+5.27467j 5021.96+22.5064j -6580.68-31.3038j 5652.54+27.2266j -6115.24-37.0129j 1687+15.1035j -161.073-3.62175j 1777.12-3.08913j -5080.28-36.5127j 648.423+9.96615j -3708.38-36.0235j 2658.08+29.9577j -1738.44-8.782j -467.074-9.80703j -2456.38-23.0248j 102.987+0.608697j -82.5066+8.21787j -1134.7-5.24467j -329.659-4.76977j -10.2245+1.54111j 
